"plb0050","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Yes","2019","Lower Saxony","786","0.530817475287146","0.505989245707506","0.555645704866785"
"Yes","2019","Bremen","67","0.66897938217233","0.585476384846139","0.752482379498521"
"Yes","2019","North Rhine-Westphalia","1625","0.55642340891212","0.53931949187491","0.57352732594933"
"Yes","2019","Hesse","580","0.578176306424872","0.54911079639359","0.607241816456154"
"Yes","2019","Rhineland-Palatinate,Saarland","414","0.508101781486057","0.475548334921913","0.5406552280502"
"Yes","2019","Baden-Württemberg","920","0.537581334580509","0.514535469455658","0.56062719970536"
"Yes","2019","Bavaria","1216","0.531470293139634","0.511862398422399","0.551078187856868"
"Yes","2019","Berlin","295","0.53235833972417","0.492401299792036","0.572315379656303"
"Yes","2019","Brandenburg","282","0.547710067604533","0.50778508387684","0.587635051332225"
"Yes","2019","Mecklenburg-Western Pomerania","129","0.477369432939349","0.423065520894468","0.531673344984229"
"Yes","2019","Saxony","418","0.479736466440216","0.448678861742156","0.510794071138276"
"Yes","2019","Saxony-Anhalt","233","0.559532846938968","0.51614844096277","0.602917252915165"
"Yes","2019","Thuringia","250","0.484789821595465","0.442637628526294","0.526942014664637"
"No","2019","Schleswig-Holstein","316","0.477752144917998","0.437480997314639","0.518023292521356"
"No","2019","Hamburg","160","0.394298810208142","0.339632362986999","0.448965257429285"
"No","2019","Lower Saxony","766","0.469182524712854","0.444354295133214","0.494010754292494"
"No","2019","Bremen","55","0.33102061782767","0.247517620501479","0.414523615153861"
"No","2019","North Rhine-Westphalia","1616","0.44357659108788","0.42647267405067","0.46068050812509"
"No","2019","Hesse","529","0.421823693575128","0.392758183543846","0.45088920360641"
"No","2019","Rhineland-Palatinate,Saarland","492","0.491898218513943","0.4593447719498","0.524451665078087"
"No","2019","Baden-Württemberg","878","0.462418665419491","0.43937280029464","0.485464530544342"
"No","2019","Bavaria","1272","0.468529706860366","0.448921812143131","0.488137601577601"
"No","2019","Berlin","304","0.46764166027583","0.427684620343697","0.507598700207964"
"No","2019","Brandenburg","315","0.452289932395467","0.412364948667775","0.49221491612316"
"No","2019","Mecklenburg-Western Pomerania","196","0.522630567060651","0.468326655015771","0.576934479105532"
"No","2019","Saxony","576","0.520263533559784","0.489205928861724","0.551321138257844"
"No","2019","Saxony-Anhalt","270","0.440467153061032","0.397082747084835","0.48385155903723"
"No","2019","Thuringia","290","0.515210178404535","0.473057985335363","0.557362371473706"
