"plb0050","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"No","2011","(2c_voc) vocational maturity certificate","Female","281","0.450697240689266","0.411147408848745","0.490247072529787"
"No","2011","(3a) lower tertiary education","Male","204","0.355440352542233","0.315618952811732","0.395261752272734"
"No","2011","(3a) lower tertiary education","Female","188","0.324326287548485","0.285485271840802","0.363167303256168"
"No","2011","(3b) higher tertiary education","Male","373","0.382443990842862","0.352032641922853","0.41285533976287"
"No","2011","(3b) higher tertiary education","Female","329","0.398550717327799","0.365656116991066","0.431445317664531"
"Yes","2012","(0) in school","Male","","","",""
"Yes","2012","(0) in school","Female","","","",""
"Yes","2012","(1a) inadequately completed","Male","","","",""
"Yes","2012","(1a) inadequately completed","Female","","","",""
"Yes","2012","(1b) general elementary school","Male","","","",""
"Yes","2012","(1b) general elementary school","Female","","","",""
"Yes","2012","(1c) basic vocational qualification","Male","","","",""
"Yes","2012","(1c) basic vocational qualification","Female","","","",""
"Yes","2012","(2b) intermediate general qualification","Male","","","",""
"Yes","2012","(2b) intermediate general qualification","Female","","","",""
"Yes","2012","(2a) intermediate vocational","Male","","","",""
"Yes","2012","(2a) intermediate vocational","Female","","","",""
"Yes","2012","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2012","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2012","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2012","(3a) lower tertiary education","Male","","","",""
"Yes","2012","(3a) lower tertiary education","Female","","","",""
"Yes","2012","(3b) higher tertiary education","Male","","","",""
"Yes","2012","(3b) higher tertiary education","Female","","","",""
"No","2012","(0) in school","Male","","","",""
"No","2012","(0) in school","Female","","","",""
"No","2012","(1a) inadequately completed","Male","","","",""
"No","2012","(1a) inadequately completed","Female","","","",""
"No","2012","(1b) general elementary school","Male","","","",""
"No","2012","(1b) general elementary school","Female","","","",""
"No","2012","(1c) basic vocational qualification","Male","","","",""
"No","2012","(1c) basic vocational qualification","Female","","","",""
"No","2012","(2b) intermediate general qualification","Male","","","",""
"No","2012","(2b) intermediate general qualification","Female","","","",""
"No","2012","(2a) intermediate vocational","Male","","","",""
"No","2012","(2a) intermediate vocational","Female","","","",""
"No","2012","(2c_gen) general maturity certificate","Male","","","",""
"No","2012","(2c_gen) general maturity certificate","Female","","","",""
"No","2012","(2c_voc) vocational maturity certificate","Male","","","",""
"No","2012","(2c_voc) vocational maturity certificate","Female","","","",""
"No","2012","(3a) lower tertiary education","Male","","","",""
"No","2012","(3a) lower tertiary education","Female","","","",""
"No","2012","(3b) higher tertiary education","Male","","","",""
"No","2012","(3b) higher tertiary education","Female","","","",""
"Yes","2013","(0) in school","Male","","","",""
"Yes","2013","(0) in school","Female","","","",""
"Yes","2013","(1a) inadequately completed","Male","","","",""
"Yes","2013","(1a) inadequately completed","Female","","","",""
"Yes","2013","(1b) general elementary school","Male","","","",""
"Yes","2013","(1b) general elementary school","Female","","","",""
"Yes","2013","(1c) basic vocational qualification","Male","","","",""
"Yes","2013","(1c) basic vocational qualification","Female","","","",""
"Yes","2013","(2b) intermediate general qualification","Male","","","",""
"Yes","2013","(2b) intermediate general qualification","Female","","","",""
"Yes","2013","(2a) intermediate vocational","Male","","","",""
"Yes","2013","(2a) intermediate vocational","Female","","","",""
"Yes","2013","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2013","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2013","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2013","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2013","(3a) lower tertiary education","Male","","","",""
"Yes","2013","(3a) lower tertiary education","Female","","","",""
"Yes","2013","(3b) higher tertiary education","Male","","","",""
"Yes","2013","(3b) higher tertiary education","Female","","","",""
"No","2013","(0) in school","Male","","","",""
"No","2013","(0) in school","Female","","","",""
"No","2013","(1a) inadequately completed","Male","","","",""
"No","2013","(1a) inadequately completed","Female","","","",""
"No","2013","(1b) general elementary school","Male","","","",""
"No","2013","(1b) general elementary school","Female","","","",""
"No","2013","(1c) basic vocational qualification","Male","","","",""
"No","2013","(1c) basic vocational qualification","Female","","","",""
"No","2013","(2b) intermediate general qualification","Male","","","",""
"No","2013","(2b) intermediate general qualification","Female","","","",""
"No","2013","(2a) intermediate vocational","Male","","","",""
"No","2013","(2a) intermediate vocational","Female","","","",""
"No","2013","(2c_gen) general maturity certificate","Male","","","",""
"No","2013","(2c_gen) general maturity certificate","Female","","","",""
"No","2013","(2c_voc) vocational maturity certificate","Male","","","",""
"No","2013","(2c_voc) vocational maturity certificate","Female","","","",""
"No","2013","(3a) lower tertiary education","Male","","","",""
"No","2013","(3a) lower tertiary education","Female","","","",""
"No","2013","(3b) higher tertiary education","Male","","","",""
"No","2013","(3b) higher tertiary education","Female","","","",""
"Yes","2014","(0) in school","Male","","","",""
"Yes","2014","(0) in school","Female","","","",""
"Yes","2014","(1a) inadequately completed","Male","","","",""
"Yes","2014","(1a) inadequately completed","Female","","","",""
"Yes","2014","(1b) general elementary school","Male","","","",""
"Yes","2014","(1b) general elementary school","Female","","","",""
"Yes","2014","(1c) basic vocational qualification","Male","","","",""
"Yes","2014","(1c) basic vocational qualification","Female","","","",""
"Yes","2014","(2b) intermediate general qualification","Male","","","",""
"Yes","2014","(2b) intermediate general qualification","Female","","","",""
"Yes","2014","(2a) intermediate vocational","Male","","","",""
"Yes","2014","(2a) intermediate vocational","Female","","","",""
"Yes","2014","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2014","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2014","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2014","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2014","(3a) lower tertiary education","Male","","","",""
"Yes","2014","(3a) lower tertiary education","Female","","","",""
"Yes","2014","(3b) higher tertiary education","Male","","","",""
"Yes","2014","(3b) higher tertiary education","Female","","","",""
"No","2014","(0) in school","Male","","","",""
"No","2014","(0) in school","Female","","","",""
"No","2014","(1a) inadequately completed","Male","","","",""
"No","2014","(1a) inadequately completed","Female","","","",""
"No","2014","(1b) general elementary school","Male","","","",""
"No","2014","(1b) general elementary school","Female","","","",""
"No","2014","(1c) basic vocational qualification","Male","","","",""
"No","2014","(1c) basic vocational qualification","Female","","","",""
"No","2014","(2b) intermediate general qualification","Male","","","",""
"No","2014","(2b) intermediate general qualification","Female","","","",""
"No","2014","(2a) intermediate vocational","Male","","","",""
"No","2014","(2a) intermediate vocational","Female","","","",""
"No","2014","(2c_gen) general maturity certificate","Male","","","",""
"No","2014","(2c_gen) general maturity certificate","Female","","","",""
"No","2014","(2c_voc) vocational maturity certificate","Male","","","",""
"No","2014","(2c_voc) vocational maturity certificate","Female","","","",""
"No","2014","(3a) lower tertiary education","Male","","","",""
"No","2014","(3a) lower tertiary education","Female","","","",""
"No","2014","(3b) higher tertiary education","Male","","","",""
"No","2014","(3b) higher tertiary education","Female","","","",""
"Yes","2015","(0) in school","Male","","","",""
"Yes","2015","(0) in school","Female","","","",""
"Yes","2015","(1a) inadequately completed","Male","","","",""
"Yes","2015","(1a) inadequately completed","Female","","","",""
"Yes","2015","(1b) general elementary school","Male","","","",""
"Yes","2015","(1b) general elementary school","Female","","","",""
"Yes","2015","(1c) basic vocational qualification","Male","","","",""
"Yes","2015","(1c) basic vocational qualification","Female","","","",""
"Yes","2015","(2b) intermediate general qualification","Male","","","",""
"Yes","2015","(2b) intermediate general qualification","Female","","","",""
"Yes","2015","(2a) intermediate vocational","Male","","","",""
"Yes","2015","(2a) intermediate vocational","Female","","","",""
"Yes","2015","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2015","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2015","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2015","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2015","(3a) lower tertiary education","Male","","","",""
"Yes","2015","(3a) lower tertiary education","Female","","","",""
"Yes","2015","(3b) higher tertiary education","Male","","","",""
"Yes","2015","(3b) higher tertiary education","Female","","","",""
"No","2015","(0) in school","Male","","","",""
"No","2015","(0) in school","Female","","","",""
"No","2015","(1a) inadequately completed","Male","","","",""
"No","2015","(1a) inadequately completed","Female","","","",""
"No","2015","(1b) general elementary school","Male","","","",""
"No","2015","(1b) general elementary school","Female","","","",""
"No","2015","(1c) basic vocational qualification","Male","","","",""
"No","2015","(1c) basic vocational qualification","Female","","","",""
"No","2015","(2b) intermediate general qualification","Male","","","",""
"No","2015","(2b) intermediate general qualification","Female","","","",""
"No","2015","(2a) intermediate vocational","Male","","","",""
"No","2015","(2a) intermediate vocational","Female","","","",""
"No","2015","(2c_gen) general maturity certificate","Male","","","",""
"No","2015","(2c_gen) general maturity certificate","Female","","","",""
"No","2015","(2c_voc) vocational maturity certificate","Male","","","",""
"No","2015","(2c_voc) vocational maturity certificate","Female","","","",""
"No","2015","(3a) lower tertiary education","Male","","","",""
"No","2015","(3a) lower tertiary education","Female","","","",""
"No","2015","(3b) higher tertiary education","Male","","","",""
"No","2015","(3b) higher tertiary education","Female","","","",""
"Yes","2016","(0) in school","Male","6","","",""
"Yes","2016","(0) in school","Female","7","","",""
"Yes","2016","(1a) inadequately completed","Male","48","0.515852195190815","0.422034131118278","0.609670259263352"
"Yes","2016","(1a) inadequately completed","Female","26","","",""
"Yes","2016","(1b) general elementary school","Male","152","0.391554856231105","0.344076891210408","0.439032821251802"
"Yes","2016","(1b) general elementary school","Female","127","0.406871175398645","0.356680024008849","0.457062326788442"
"Yes","2016","(1c) basic vocational qualification","Male","713","0.508375010068195","0.482036626488926","0.534713393647464"
"Yes","2016","(1c) basic vocational qualification","Female","382","0.445488952297535","0.414048698346598","0.476929206248473"
"Yes","2016","(2b) intermediate general qualification","Male","94","0.457599397817782","0.386945811521431","0.528252984114133"
"Yes","2016","(2b) intermediate general qualification","Female","93","0.535408102829641","0.466113431675702","0.60470277398358"
"Yes","2016","(2a) intermediate vocational","Male","796","0.542959903779579","0.517554922792905","0.568364884766252"
"Yes","2016","(2a) intermediate vocational","Female","1018","0.492073865676044","0.470650747647133","0.513496983704955"
"Yes","2016","(2c_gen) general maturity certificate","Male","145","0.545046666318282","0.489343590984924","0.600749741651641"
"Yes","2016","(2c_gen) general maturity certificate","Female","137","0.405498968932035","0.353838952873153","0.457158984990917"
"Yes","2016","(2c_voc) vocational maturity certificate","Male","411","0.580107385434272","0.544475593611091","0.615739177257454"
"Yes","2016","(2c_voc) vocational maturity certificate","Female","530","0.539150221119692","0.508529967214629","0.569770475024754"
"Yes","2016","(3a) lower tertiary education","Male","366","0.706612135620991","0.668867624385292","0.74435664685669"
"Yes","2016","(3a) lower tertiary education","Female","378","0.662979043527339","0.624376563842205","0.701581523212474"
"Yes","2016","(3b) higher tertiary education","Male","844","0.641391301049063","0.615260489631472","0.667522112466654"
"Yes","2016","(3b) higher tertiary education","Female","833","0.632928727230651","0.607004748513808","0.658852705947494"
"No","2016","(0) in school","Male","14","","",""
"No","2016","(0) in school","Female","25","","",""
"No","2016","(1a) inadequately completed","Male","61","0.484147804809185","0.390329740736648","0.577965868881723"
"No","2016","(1a) inadequately completed","Female","55","0.677693828846336","0.575915185532561","0.779472472160112"
"No","2016","(1b) general elementary school","Male","254","0.608445143768895","0.560967178748198","0.655923108789592"
"No","2016","(1b) general elementary school","Female","241","0.593128824601355","0.542937673211558","0.643319975991151"
"No","2016","(1c) basic vocational qualification","Male","671","0.491624989931805","0.465286606352536","0.517963373511074"
"No","2016","(1c) basic vocational qualification","Female","578","0.554511047702465","0.523070793751527","0.585951301653402"
"No","2016","(2b) intermediate general qualification","Male","97","0.542400602182218","0.471747015885867","0.613054188478568"
"No","2016","(2b) intermediate general qualification","Female","106","0.464591897170359","0.39529722601642","0.533886568324298"
"No","2016","(2a) intermediate vocational","Male","681","0.457040096220422","0.431635115233748","0.482445077207095"
"No","2016","(2a) intermediate vocational","Female","1074","0.507926134323956","0.486503016295044","0.529349252352866"
"No","2016","(2c_gen) general maturity certificate","Male","162","0.454953333681717","0.399250258348359","0.510656409015076"
"No","2016","(2c_gen) general maturity certificate","Female","210","0.594501031067965","0.542841015009083","0.646161047126847"
"No","2016","(2c_voc) vocational maturity certificate","Male","326","0.419892614565728","0.384260822742546","0.455524406388909"
"No","2016","(2c_voc) vocational maturity certificate","Female","488","0.460849778880308","0.430229524975246","0.491470032785371"
"No","2016","(3a) lower tertiary education","Male","193","0.293387864379009","0.25564335314331","0.331132375614708"
"No","2016","(3a) lower tertiary education","Female","198","0.337020956472661","0.298418476787526","0.375623436157796"
"No","2016","(3b) higher tertiary education","Male","450","0.358608698950937","0.332477887533346","0.384739510368529"
"No","2016","(3b) higher tertiary education","Female","495","0.367071272769349","0.341147294052506","0.392995251486192"
"Yes","2017","(0) in school","Male","","","",""
"Yes","2017","(0) in school","Female","","","",""
"Yes","2017","(1a) inadequately completed","Male","","","",""
"Yes","2017","(1a) inadequately completed","Female","","","",""
"Yes","2017","(1b) general elementary school","Male","","","",""
"Yes","2017","(1b) general elementary school","Female","","","",""
"Yes","2017","(1c) basic vocational qualification","Male","","","",""
"Yes","2017","(1c) basic vocational qualification","Female","","","",""
"Yes","2017","(2b) intermediate general qualification","Male","","","",""
"Yes","2017","(2b) intermediate general qualification","Female","","","",""
"Yes","2017","(2a) intermediate vocational","Male","","","",""
"Yes","2017","(2a) intermediate vocational","Female","","","",""
"Yes","2017","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2017","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2017","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2017","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2017","(3a) lower tertiary education","Male","","","",""
"Yes","2017","(3a) lower tertiary education","Female","","","",""
"Yes","2017","(3b) higher tertiary education","Male","","","",""
"Yes","2017","(3b) higher tertiary education","Female","","","",""
"No","2017","(0) in school","Male","","","",""
"No","2017","(0) in school","Female","","","",""
"No","2017","(1a) inadequately completed","Male","","","",""
"No","2017","(1a) inadequately completed","Female","","","",""
"No","2017","(1b) general elementary school","Male","","","",""
"No","2017","(1b) general elementary school","Female","","","",""
"No","2017","(1c) basic vocational qualification","Male","","","",""
"No","2017","(1c) basic vocational qualification","Female","","","",""
"No","2017","(2b) intermediate general qualification","Male","","","",""
"No","2017","(2b) intermediate general qualification","Female","","","",""
"No","2017","(2a) intermediate vocational","Male","","","",""
"No","2017","(2a) intermediate vocational","Female","","","",""
"No","2017","(2c_gen) general maturity certificate","Male","","","",""
"No","2017","(2c_gen) general maturity certificate","Female","","","",""
"No","2017","(2c_voc) vocational maturity certificate","Male","","","",""
"No","2017","(2c_voc) vocational maturity certificate","Female","","","",""
"No","2017","(3a) lower tertiary education","Male","","","",""
"No","2017","(3a) lower tertiary education","Female","","","",""
"No","2017","(3b) higher tertiary education","Male","","","",""
"No","2017","(3b) higher tertiary education","Female","","","",""
"Yes","2018","(0) in school","Male","","","",""
"Yes","2018","(0) in school","Female","","","",""
"Yes","2018","(1a) inadequately completed","Male","","","",""
"Yes","2018","(1a) inadequately completed","Female","","","",""
"Yes","2018","(1b) general elementary school","Male","","","",""
"Yes","2018","(1b) general elementary school","Female","","","",""
"Yes","2018","(1c) basic vocational qualification","Male","","","",""
"Yes","2018","(1c) basic vocational qualification","Female","","","",""
"Yes","2018","(2b) intermediate general qualification","Male","","","",""
"Yes","2018","(2b) intermediate general qualification","Female","","","",""
"Yes","2018","(2a) intermediate vocational","Male","","","",""
"Yes","2018","(2a) intermediate vocational","Female","","","",""
"Yes","2018","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2018","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2018","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2018","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2018","(3a) lower tertiary education","Male","","","",""
"Yes","2018","(3a) lower tertiary education","Female","","","",""
"Yes","2018","(3b) higher tertiary education","Male","","","",""
"Yes","2018","(3b) higher tertiary education","Female","","","",""
"No","2018","(0) in school","Male","","","",""
"No","2018","(0) in school","Female","","","",""
"No","2018","(1a) inadequately completed","Male","","","",""
"No","2018","(1a) inadequately completed","Female","","","",""
"No","2018","(1b) general elementary school","Male","","","",""
"No","2018","(1b) general elementary school","Female","","","",""
"No","2018","(1c) basic vocational qualification","Male","","","",""
"No","2018","(1c) basic vocational qualification","Female","","","",""
"No","2018","(2b) intermediate general qualification","Male","","","",""
"No","2018","(2b) intermediate general qualification","Female","","","",""
"No","2018","(2a) intermediate vocational","Male","","","",""
"No","2018","(2a) intermediate vocational","Female","","","",""
"No","2018","(2c_gen) general maturity certificate","Male","","","",""
"No","2018","(2c_gen) general maturity certificate","Female","","","",""
"No","2018","(2c_voc) vocational maturity certificate","Male","","","",""
"No","2018","(2c_voc) vocational maturity certificate","Female","","","",""
"No","2018","(3a) lower tertiary education","Male","","","",""
"No","2018","(3a) lower tertiary education","Female","","","",""
"No","2018","(3b) higher tertiary education","Male","","","",""
"No","2018","(3b) higher tertiary education","Female","","","",""
"Yes","2019","(0) in school","Male","10","","",""
"Yes","2019","(0) in school","Female","13","","",""
"Yes","2019","(1a) inadequately completed","Male","35","0.47451000095063","0.376639231283614","0.572380770617645"
"Yes","2019","(1a) inadequately completed","Female","32","0.482848850856094","0.372657148264487","0.5930405534477"
"Yes","2019","(1b) general elementary school","Male","149","0.412617054319762","0.363312963168484","0.461921145471041"
"Yes","2019","(1b) general elementary school","Female","119","0.364899185318492","0.312880673452471","0.416917697184512"
"Yes","2019","(1c) basic vocational qualification","Male","604","0.512625325894583","0.485048141587143","0.540202510202022"
"Yes","2019","(1c) basic vocational qualification","Female","322","0.40247508829387","0.36917287479907","0.43577730178867"
"Yes","2019","(2b) intermediate general qualification","Male","110","0.491110566699585","0.424899987135485","0.557321146263685"
"Yes","2019","(2b) intermediate general qualification","Female","92","0.423928574811259","0.361407421253185","0.486449728369333"
"Yes","2019","(2a) intermediate vocational","Male","838","0.547118961739344","0.523896476890221","0.570341446588468"
"Yes","2019","(2a) intermediate vocational","Female","1058","0.488772968961428","0.4682140621364","0.509331875786456"
"Yes","2019","(2c_gen) general maturity certificate","Male","184","0.520594319618412","0.472296393768732","0.568892245468091"
"Yes","2019","(2c_gen) general maturity certificate","Female","190","0.435635488790454","0.388327624780273","0.482943352800636"
"Yes","2019","(2c_voc) vocational maturity certificate","Male","445","0.604837050681137","0.572425509881111","0.637248591481163"
"Yes","2019","(2c_voc) vocational maturity certificate","Female","567","0.568850406087533","0.539807870420636","0.597892941754431"
"Yes","2019","(3a) lower tertiary education","Male","404","0.67969289225172","0.647176713567138","0.712209070936301"
"Yes","2019","(3a) lower tertiary education","Female","417","0.657701620392702","0.622065418344401","0.693337822441004"
"Yes","2019","(3b) higher tertiary education","Male","865","0.613597441104626","0.590375686409829","0.636819195799424"
"Yes","2019","(3b) higher tertiary education","Female","908","0.65731705099991","0.633605362665182","0.681028739334638"
"No","2019","(0) in school","Male","18","","",""
"No","2019","(0) in school","Female","18","","",""
"No","2019","(1a) inadequately completed","Male","65","0.52548999904937","0.427619229382355","0.623360768716386"
"No","2019","(1a) inadequately completed","Female","47","0.517151149143906","0.4069594465523","0.627342851735513"
"No","2019","(1b) general elementary school","Male","234","0.587382945680238","0.538078854528959","0.636687036831516"
"No","2019","(1b) general elementary school","Female","210","0.635100814681508","0.583082302815488","0.687119326547529"
"No","2019","(1c) basic vocational qualification","Male","658","0.487374674105417","0.459797489797978","0.514951858412857"
"No","2019","(1c) basic vocational qualification","Female","511","0.59752491170613","0.56422269821133","0.63082712520093"
"No","2019","(2b) intermediate general qualification","Male","109","0.508889433300415","0.442678853736315","0.575100012864515"
"No","2019","(2b) intermediate general qualification","Female","148","0.576071425188741","0.513550271630667","0.638592578746815"
"No","2019","(2a) intermediate vocational","Male","927","0.452881038260656","0.429658553411532","0.476103523109779"
"No","2019","(2a) intermediate vocational","Female","1213","0.511227031038572","0.490668124213544","0.531785937863601"
"No","2019","(2c_gen) general maturity certificate","Male","227","0.479405680381588","0.431107754531908","0.527703606231268"
"No","2019","(2c_gen) general maturity certificate","Female","232","0.564364511209546","0.517056647199364","0.611672375219727"
"No","2019","(2c_voc) vocational maturity certificate","Male","429","0.395162949318863","0.362751408518837","0.427574490118889"
"No","2019","(2c_voc) vocational maturity certificate","Female","550","0.431149593912467","0.402107058245569","0.460192129579364"
"No","2019","(3a) lower tertiary education","Male","387","0.32030710774828","0.287790929063699","0.352823286432862"
"No","2019","(3a) lower tertiary education","Female","264","0.342298379607297","0.306662177558996","0.377934581655599"
"No","2019","(3b) higher tertiary education","Male","824","0.386402558895374","0.363180804200576","0.409624313590172"
"No","2019","(3b) higher tertiary education","Female","631","0.34268294900009","0.318971260665362","0.366394637334818"
