"year","hgtyp1hh","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2018","Single parent","East Germany","","","","","","","","","","","","","",""
"2018","Single parent","West Germany","","","","","","","","","","","","","",""
"2019","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2019","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2019","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2019","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"2019","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2019","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2019","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"2019","Couple + C. LE 16","West Germany","6.32","7","97","4","6","7","7","7","6.06","6.58","1","7","7","7"
"2019","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2019","Couple + C. LE and GT 16","West Germany","6.51","7","60","6","6","7","7","7","6.27","6.75","1","7","7","7"
"2019","Single parent","East Germany","","","","","","","","","","","","","",""
"2019","Single parent","West Germany","","","","","","","","","","","","","",""
