"plh0188","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Tends to agree","2004","(Married) couple without C. ","","","",""
"Tends to agree","2004","Single parent ","","","",""
"Tends to agree","2004","Couple + C. LE 16 ","","","",""
"Tends to agree","2004","Couple + C. GT 16 ","","","",""
"Tends to agree","2004","Couple + C. LE and GT 16","","","",""
"Rather not true","2004","1-pers.-HH","","","",""
"Rather not true","2004","(Married) couple without C. ","","","",""
"Rather not true","2004","Single parent ","","","",""
"Rather not true","2004","Couple + C. LE 16 ","","","",""
"Rather not true","2004","Couple + C. GT 16 ","","","",""
"Rather not true","2004","Couple + C. LE and GT 16","","","",""
"Totally disagree","2004","1-pers.-HH","","","",""
"Totally disagree","2004","(Married) couple without C. ","","","",""
"Totally disagree","2004","Single parent ","","","",""
"Totally disagree","2004","Couple + C. LE 16 ","","","",""
"Totally disagree","2004","Couple + C. GT 16 ","","","",""
"Totally disagree","2004","Couple + C. LE and GT 16","","","",""
"True entirely","2005","1-pers.-HH","","","",""
"True entirely","2005","(Married) couple without C. ","","","",""
"True entirely","2005","Single parent ","","","",""
"True entirely","2005","Couple + C. LE 16 ","","","",""
"True entirely","2005","Couple + C. GT 16 ","","","",""
"True entirely","2005","Couple + C. LE and GT 16","","","",""
"Tends to agree","2005","1-pers.-HH","","","",""
"Tends to agree","2005","(Married) couple without C. ","","","",""
"Tends to agree","2005","Single parent ","","","",""
"Tends to agree","2005","Couple + C. LE 16 ","","","",""
"Tends to agree","2005","Couple + C. GT 16 ","","","",""
"Tends to agree","2005","Couple + C. LE and GT 16","","","",""
"Rather not true","2005","1-pers.-HH","","","",""
"Rather not true","2005","(Married) couple without C. ","","","",""
"Rather not true","2005","Single parent ","","","",""
"Rather not true","2005","Couple + C. LE 16 ","","","",""
"Rather not true","2005","Couple + C. GT 16 ","","","",""
"Rather not true","2005","Couple + C. LE and GT 16","","","",""
"Totally disagree","2005","1-pers.-HH","","","",""
"Totally disagree","2005","(Married) couple without C. ","","","",""
"Totally disagree","2005","Single parent ","","","",""
"Totally disagree","2005","Couple + C. LE 16 ","","","",""
"Totally disagree","2005","Couple + C. GT 16 ","","","",""
"Totally disagree","2005","Couple + C. LE and GT 16","","","",""
"True entirely","2006","1-pers.-HH","","","",""
