"pli0081","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Rarely","2003","16-34 y.","Employed","711","0.177932415839716","0.166380958736512","0.18948387294292","4"
"Rarely","2003","35-65 y.","Not Employed","616","0.214182749002531","0.199630245503966","0.228735252501095","4"
"Rarely","2003","35-65 y.","Employed","2089","0.225480490404238","0.217112650988841","0.233848329819636","4"
"Rarely","2003","66 and older","Employed","45","0.248229213705443","0.189663408817119","0.306795018593767","4"
"Rarely","2003","66 and older","Not Employed","589","0.176419626781454","0.16373698291969","0.189102270643217","4"
"Daily","2004","16-34 y.","Not Employed","","","","","1"
"Daily","2004","16-34 y.","Employed","","","","","1"
"Daily","2004","35-65 y.","Not Employed","","","","","1"
"Daily","2004","66 and older","Not Employed","","","","","1"
"Daily","2004","35-65 y.","Employed","","","","","1"
"Daily","2004","66 and older","Employed","","","","","1"
"Min 1x per month","2004","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2004","16-34 y.","Employed","","","","","3"
"Min 1x per month","2004","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2004","35-65 y.","Employed","","","","","3"
"Min 1x per month","2004","66 and older","Not Employed","","","","","3"
"Min 1x per month","2004","66 and older","Employed","","","","","3"
"Min 1x per week","2004","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2004","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2004","16-34 y.","Employed","","","","","2"
"Min 1x per week","2004","35-65 y.","Employed","","","","","2"
"Min 1x per week","2004","66 and older","Not Employed","","","","","2"
"Min 1x per week","2004","66 and older","Employed","","","","","2"
"Never","2004","16-34 y.","Not Employed","","","","","5"
"Never","2004","16-34 y.","Employed","","","","","5"
"Never","2004","35-65 y.","Not Employed","","","","","5"
"Never","2004","35-65 y.","Employed","","","","","5"
"Never","2004","66 and older","Not Employed","","","","","5"
"Never","2004","66 and older","Employed","","","","","5"
"Rarely","2004","16-34 y.","Not Employed","","","","","4"
"Rarely","2004","16-34 y.","Employed","","","","","4"
"Rarely","2004","35-65 y.","Not Employed","","","","","4"
"Rarely","2004","35-65 y.","Employed","","","","","4"
"Rarely","2004","66 and older","Employed","","","","","4"
"Rarely","2004","66 and older","Not Employed","","","","","4"
"Daily","2005","16-34 y.","Not Employed","","","","","1"
"Daily","2005","16-34 y.","Employed","","","","","1"
"Daily","2005","35-65 y.","Not Employed","","","","","1"
"Daily","2005","35-65 y.","Employed","","","","","1"
"Daily","2005","66 and older","Not Employed","","","","","1"
"Daily","2005","66 and older","Employed","","","","","1"
"Min 1x per month","2005","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2005","16-34 y.","Employed","","","","","3"
"Min 1x per month","2005","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2005","35-65 y.","Employed","","","","","3"
"Min 1x per month","2005","66 and older","Not Employed","","","","","3"
"Min 1x per month","2005","66 and older","Employed","","","","","3"
"Min 1x per week","2005","16-34 y.","Employed","","","","","2"
"Min 1x per week","2005","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2005","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2005","35-65 y.","Employed","","","","","2"
"Min 1x per week","2005","66 and older","Not Employed","","","","","2"
"Min 1x per week","2005","66 and older","Employed","","","","","2"
"Never","2005","16-34 y.","Not Employed","","","","","5"
"Never","2005","35-65 y.","Not Employed","","","","","5"
"Never","2005","16-34 y.","Employed","","","","","5"
"Never","2005","35-65 y.","Employed","","","","","5"
"Never","2005","66 and older","Not Employed","","","","","5"
"Never","2005","66 and older","Employed","","","","","5"
"Rarely","2005","16-34 y.","Not Employed","","","","","4"
"Rarely","2005","16-34 y.","Employed","","","","","4"
"Rarely","2005","35-65 y.","Not Employed","","","","","4"
"Rarely","2005","66 and older","Not Employed","","","","","4"
"Rarely","2005","35-65 y.","Employed","","","","","4"
"Rarely","2005","66 and older","Employed","","","","","4"
"Daily","2006","16-34 y.","Not Employed","","","","","1"
"Daily","2006","16-34 y.","Employed","","","","","1"
"Daily","2006","35-65 y.","Not Employed","","","","","1"
"Daily","2006","35-65 y.","Employed","","","","","1"
"Daily","2006","66 and older","Not Employed","","","","","1"
"Daily","2006","66 and older","Employed","","","","","1"
"Min 1x per month","2006","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2006","16-34 y.","Employed","","","","","3"
"Min 1x per month","2006","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2006","35-65 y.","Employed","","","","","3"
"Min 1x per month","2006","66 and older","Not Employed","","","","","3"
"Min 1x per month","2006","66 and older","Employed","","","","","3"
"Min 1x per week","2006","16-34 y.","Employed","","","","","2"
"Min 1x per week","2006","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2006","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2006","35-65 y.","Employed","","","","","2"
"Min 1x per week","2006","66 and older","Not Employed","","","","","2"
"Min 1x per week","2006","66 and older","Employed","","","","","2"
"Never","2006","16-34 y.","Not Employed","","","","","5"
"Never","2006","16-34 y.","Employed","","","","","5"
"Never","2006","35-65 y.","Not Employed","","","","","5"
"Never","2006","35-65 y.","Employed","","","","","5"
"Never","2006","66 and older","Not Employed","","","","","5"
"Never","2006","66 and older","Employed","","","","","5"
"Rarely","2006","16-34 y.","Employed","","","","","4"
"Rarely","2006","16-34 y.","Not Employed","","","","","4"
"Rarely","2006","35-65 y.","Not Employed","","","","","4"
"Rarely","2006","35-65 y.","Employed","","","","","4"
"Rarely","2006","66 and older","Employed","","","","","4"
"Rarely","2006","66 and older","Not Employed","","","","","4"
"Daily","2007","16-34 y.","Not Employed","","","","","1"
"Daily","2007","16-34 y.","Employed","","","","","1"
"Daily","2007","35-65 y.","Not Employed","","","","","1"
"Daily","2007","35-65 y.","Employed","","","","","1"
"Daily","2007","66 and older","Not Employed","","","","","1"
"Daily","2007","66 and older","Employed","","","","","1"
"Min 1x per month","2007","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2007","16-34 y.","Employed","","","","","3"
"Min 1x per month","2007","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2007","35-65 y.","Employed","","","","","3"
"Min 1x per month","2007","66 and older","Not Employed","","","","","3"
"Min 1x per month","2007","66 and older","Employed","","","","","3"
"Min 1x per week","2007","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2007","16-34 y.","Employed","","","","","2"
"Min 1x per week","2007","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2007","35-65 y.","Employed","","","","","2"
"Min 1x per week","2007","66 and older","Not Employed","","","","","2"
"Min 1x per week","2007","66 and older","Employed","","","","","2"
"Never","2007","16-34 y.","Employed","","","","","5"
"Never","2007","16-34 y.","Not Employed","","","","","5"
"Never","2007","35-65 y.","Not Employed","","","","","5"
"Never","2007","35-65 y.","Employed","","","","","5"
"Never","2007","66 and older","Not Employed","","","","","5"
"Never","2007","66 and older","Employed","","","","","5"
"Rarely","2007","16-34 y.","Employed","","","","","4"
"Rarely","2007","16-34 y.","Not Employed","","","","","4"
"Rarely","2007","35-65 y.","Not Employed","","","","","4"
"Rarely","2007","35-65 y.","Employed","","","","","4"
"Rarely","2007","66 and older","Not Employed","","","","","4"
"Rarely","2007","66 and older","Employed","","","","","4"
"Daily","2008","16-34 y.","Not Employed","107","0.0733881487579318","0.0586091710952348","0.0881671264206289","1"
"Daily","2008","16-34 y.","Employed","260","0.0824618876712856","0.0728774078774657","0.0920463674651056","1"
"Daily","2008","35-65 y.","Not Employed","236","0.100014728004024","0.0875317237015538","0.112497732306494","1"
"Daily","2008","35-65 y.","Employed","525","0.0568572155576781","0.051914221785209","0.0618002093301471","1"
"Daily","2008","66 and older","Employed","21","","","","1"
"Daily","2008","66 and older","Not Employed","411","0.102292057095068","0.0929616227171749","0.111622491472961","1"
"Min 1x per month","2008","16-34 y.","Not Employed","369","0.288589143929786","0.262909869990933","0.31426841786864","3"
"Min 1x per month","2008","16-34 y.","Employed","961","0.318462149669995","0.302228964043988","0.334695335296001","3"
"Min 1x per month","2008","35-65 y.","Not Employed","573","0.252913382243762","0.234827453175895","0.270999311311629","3"
"Min 1x per month","2008","35-65 y.","Employed","2782","0.316605203094558","0.306676251253273","0.326534154935844","3"
"Min 1x per month","2008","66 and older","Not Employed","1141","0.26335118835145","0.2497895780627","0.2769127986402","3"
"Min 1x per month","2008","66 and older","Employed","87","0.361636113588518","0.306048606944236","0.417223620232799","3"
"Min 1x per week","2008","16-34 y.","Not Employed","418","0.372096044099373","0.344701969301834","0.399490118896912","2"
"Min 1x per week","2008","35-65 y.","Not Employed","854","0.369755672693651","0.349670233370744","0.389841112016559","2"
"Min 1x per week","2008","16-34 y.","Employed","1352","0.406086135623567","0.388974139761089","0.423198131486045","2"
"Min 1x per week","2008","35-65 y.","Employed","3056","0.358690610950401","0.348452912110235","0.368928309790566","2"
"Min 1x per week","2008","66 and older","Not Employed","1579","0.377347712810133","0.362422964102102","0.392272461518163","2"
"Min 1x per week","2008","66 and older","Employed","103","0.318811403640513","0.264896634391543","0.372726172889482","2"
"Never","2008","16-34 y.","Employed","33","0.0126008093044739","0.00871415909608976","0.016487459512858","5"
"Never","2008","16-34 y.","Not Employed","27","","","","5"
"Never","2008","35-65 y.","Not Employed","74","0.0428498444051039","0.0344235990319491","0.0512760897782586","5"
"Never","2008","35-65 y.","Employed","147","0.0225298773192762","0.0193622089670842","0.0256975456714682","5"
"Never","2008","66 and older","Not Employed","141","0.0471089989759511","0.040585404993732","0.0536325929581702","5"
"Never","2008","66 and older","Employed","4","","","","5"
"Rarely","2008","16-34 y.","Not Employed","275","0.237437146215292","0.213321735878948","0.261552556551636","4"
"Rarely","2008","16-34 y.","Employed","558","0.180389017730679","0.16699105439498","0.193786981066378","4"
"Rarely","2008","35-65 y.","Not Employed","482","0.234466372653459","0.216838826578063","0.252093918728855","4"
"Rarely","2008","35-65 y.","Employed","1921","0.245317093078087","0.236132610216713","0.254501575939461","4"
"Rarely","2008","66 and older","Employed","72","0.215075216658977","0.167539904734244","0.262610528583709","4"
"Rarely","2008","66 and older","Not Employed","780","0.209900042767398","0.197361107643578","0.222438977891219","4"
"Daily","2009","16-34 y.","Not Employed","","","","","1"
"Daily","2009","16-34 y.","Employed","","","","","1"
"Daily","2009","35-65 y.","Not Employed","","","","","1"
"Daily","2009","35-65 y.","Employed","","","","","1"
"Daily","2009","66 and older","Not Employed","","","","","1"
"Daily","2009","66 and older","Employed","","","","","1"
"Min 1x per month","2009","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2009","16-34 y.","Employed","","","","","3"
"Min 1x per month","2009","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2009","35-65 y.","Employed","","","","","3"
"Min 1x per month","2009","66 and older","Not Employed","","","","","3"
"Min 1x per month","2009","66 and older","Employed","","","","","3"
"Min 1x per week","2009","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2009","16-34 y.","Employed","","","","","2"
"Min 1x per week","2009","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2009","35-65 y.","Employed","","","","","2"
"Min 1x per week","2009","66 and older","Not Employed","","","","","2"
"Min 1x per week","2009","66 and older","Employed","","","","","2"
"Never","2009","16-34 y.","Not Employed","","","","","5"
"Never","2009","16-34 y.","Employed","","","","","5"
"Never","2009","35-65 y.","Not Employed","","","","","5"
"Never","2009","35-65 y.","Employed","","","","","5"
"Never","2009","66 and older","Not Employed","","","","","5"
"Never","2009","66 and older","Employed","","","","","5"
"Rarely","2009","16-34 y.","Not Employed","","","","","4"
"Rarely","2009","16-34 y.","Employed","","","","","4"
"Rarely","2009","35-65 y.","Not Employed","","","","","4"
"Rarely","2009","35-65 y.","Employed","","","","","4"
"Rarely","2009","66 and older","Not Employed","","","","","4"
"Rarely","2009","66 and older","Employed","","","","","4"
"Daily","2010","16-34 y.","Not Employed","","","","","1"
"Daily","2010","16-34 y.","Employed","","","","","1"
"Daily","2010","35-65 y.","Not Employed","","","","","1"
"Daily","2010","35-65 y.","Employed","","","","","1"
"Daily","2010","66 and older","Employed","","","","","1"
"Daily","2010","66 and older","Not Employed","","","","","1"
"Min 1x per month","2010","16-34 y.","Employed","","","","","3"
"Min 1x per month","2010","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2010","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2010","35-65 y.","Employed","","","","","3"
"Min 1x per month","2010","66 and older","Not Employed","","","","","3"
"Min 1x per month","2010","66 and older","Employed","","","","","3"
"Min 1x per week","2010","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2010","16-34 y.","Employed","","","","","2"
"Min 1x per week","2010","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2010","35-65 y.","Employed","","","","","2"
"Min 1x per week","2010","66 and older","Not Employed","","","","","2"
"Min 1x per week","2010","66 and older","Employed","","","","","2"
"Never","2010","16-34 y.","Employed","","","","","5"
"Never","2010","16-34 y.","Not Employed","","","","","5"
"Never","2010","35-65 y.","Not Employed","","","","","5"
"Never","2010","35-65 y.","Employed","","","","","5"
"Never","2010","66 and older","Not Employed","","","","","5"
"Never","2010","66 and older","Employed","","","","","5"
"Rarely","2010","16-34 y.","Employed","","","","","4"
"Rarely","2010","16-34 y.","Not Employed","","","","","4"
"Rarely","2010","35-65 y.","Not Employed","","","","","4"
"Rarely","2010","35-65 y.","Employed","","","","","4"
"Rarely","2010","66 and older","Not Employed","","","","","4"
"Rarely","2010","66 and older","Employed","","","","","4"
"Daily","2011","16-34 y.","Not Employed","","","","","1"
"Daily","2011","16-34 y.","Employed","","","","","1"
"Daily","2011","35-65 y.","Not Employed","","","","","1"
"Daily","2011","35-65 y.","Employed","","","","","1"
"Daily","2011","66 and older","Not Employed","","","","","1"
"Daily","2011","66 and older","Employed","","","","","1"
"Min 1x per month","2011","16-34 y.","Employed","","","","","3"
"Min 1x per month","2011","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2011","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2011","35-65 y.","Employed","","","","","3"
"Min 1x per month","2011","66 and older","Not Employed","","","","","3"
"Min 1x per month","2011","66 and older","Employed","","","","","3"
"Min 1x per week","2011","16-34 y.","Employed","","","","","2"
"Min 1x per week","2011","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2011","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2011","35-65 y.","Employed","","","","","2"
"Min 1x per week","2011","66 and older","Not Employed","","","","","2"
"Min 1x per week","2011","66 and older","Employed","","","","","2"
"Never","2011","16-34 y.","Employed","","","","","5"
"Never","2011","16-34 y.","Not Employed","","","","","5"
"Never","2011","35-65 y.","Not Employed","","","","","5"
"Never","2011","35-65 y.","Employed","","","","","5"
"Never","2011","66 and older","Not Employed","","","","","5"
"Never","2011","66 and older","Employed","","","","","5"
"Rarely","2011","16-34 y.","Not Employed","","","","","4"
"Rarely","2011","16-34 y.","Employed","","","","","4"
"Rarely","2011","35-65 y.","Not Employed","","","","","4"
"Rarely","2011","35-65 y.","Employed","","","","","4"
"Rarely","2011","66 and older","Not Employed","","","","","4"
"Rarely","2011","66 and older","Employed","","","","","4"
"Daily","2012","16-34 y.","Not Employed","","","","","1"
"Daily","2012","16-34 y.","Employed","","","","","1"
"Daily","2012","35-65 y.","Not Employed","","","","","1"
"Daily","2012","35-65 y.","Employed","","","","","1"
"Daily","2012","66 and older","Not Employed","","","","","1"
"Daily","2012","66 and older","Employed","","","","","1"
"Min 1x per month","2012","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2012","16-34 y.","Employed","","","","","3"
"Min 1x per month","2012","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2012","35-65 y.","Employed","","","","","3"
"Min 1x per month","2012","66 and older","Not Employed","","","","","3"
"Min 1x per month","2012","66 and older","Employed","","","","","3"
"Min 1x per week","2012","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2012","16-34 y.","Employed","","","","","2"
"Min 1x per week","2012","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2012","66 and older","Not Employed","","","","","2"
"Min 1x per week","2012","35-65 y.","Employed","","","","","2"
"Min 1x per week","2012","66 and older","Employed","","","","","2"
"Never","2012","16-34 y.","Not Employed","","","","","5"
"Never","2012","16-34 y.","Employed","","","","","5"
"Never","2012","35-65 y.","Not Employed","","","","","5"
"Never","2012","35-65 y.","Employed","","","","","5"
"Never","2012","66 and older","Not Employed","","","","","5"
"Never","2012","66 and older","Employed","","","","","5"
"Rarely","2012","16-34 y.","Employed","","","","","4"
"Rarely","2012","16-34 y.","Not Employed","","","","","4"
"Rarely","2012","35-65 y.","Not Employed","","","","","4"
"Rarely","2012","35-65 y.","Employed","","","","","4"
"Rarely","2012","66 and older","Not Employed","","","","","4"
"Rarely","2012","66 and older","Employed","","","","","4"
"Daily","2013","16-34 y.","Not Employed","151","0.0835726435240806","0.0700796439969315","0.0970656430512297","1"
"Daily","2013","16-34 y.","Employed","372","0.0750096304474999","0.0668640076788463","0.0831552532161536","1"
"Daily","2013","35-65 y.","Not Employed","265","0.0975840458854115","0.0862319453236094","0.108936146447214","1"
"Daily","2013","35-65 y.","Employed","822","0.0655496626382664","0.0611731936678706","0.0699261316086622","1"
"Daily","2013","66 and older","Not Employed","388","0.0860400491425274","0.0779008893028417","0.0941792089822131","1"
"Daily","2013","66 and older","Employed","43","0.102801452255928","0.0741960506939725","0.131406853817883","1"
"Min 1x per month","2013","16-34 y.","Not Employed","488","0.304525043772935","0.28208727501672","0.32696281252915","3"
"Min 1x per month","2013","16-34 y.","Employed","1234","0.329302489468017","0.314769397251365","0.343835581684668","3"
"Min 1x per month","2013","35-65 y.","Not Employed","618","0.223793232727499","0.207849293716552","0.239737171738447","3"
"Min 1x per month","2013","35-65 y.","Employed","3974","0.334205927688582","0.325864554590846","0.342547300786319","3"
"Min 1x per month","2013","66 and older","Not Employed","1310","0.270874665472109","0.257975816493037","0.283773514451181","3"
"Min 1x per month","2013","66 and older","Employed","133","0.27284777598051","0.230893423724583","0.314802128236437","3"
"Min 1x per week","2013","16-34 y.","Not Employed","588","0.349939198459955","0.326685036191156","0.373193360728754","2"
"Min 1x per week","2013","16-34 y.","Employed","1669","0.392619465731609","0.377518193953452","0.407720737509765","2"
"Min 1x per week","2013","35-65 y.","Not Employed","988","0.372824713162645","0.354326479886867","0.391322946438423","2"
"Min 1x per week","2013","35-65 y.","Employed","4610","0.344618299707818","0.336214477929206","0.353022121486429","2"
"Min 1x per week","2013","66 and older","Employed","137","0.319854454279616","0.275922424079311","0.363786484479921","2"
"Min 1x per week","2013","66 and older","Not Employed","1713","0.367984817656999","0.35398751427716","0.381982121036838","2"
"Never","2013","16-34 y.","Not Employed","40","0.0219718666285123","0.0148246562843227","0.0291190769727018","5"
"Never","2013","16-34 y.","Employed","54","0.012949095653842","0.00945297292341696","0.0164452183842671","5"
"Never","2013","35-65 y.","Not Employed","147","0.0673394294464215","0.0577524904974519","0.0769263683953912","5"
"Never","2013","35-65 y.","Employed","248","0.0280785691070039","0.0251573537442192","0.0309997844697886","5"
"Never","2013","66 and older","Not Employed","173","0.0429735471101234","0.0370874388979732","0.0488596553222736","5"
"Never","2013","66 and older","Employed","16","","","","5"
"Rarely","2013","16-34 y.","Not Employed","349","0.239991247614517","0.219168673748056","0.260813821480978","4"
"Rarely","2013","35-65 y.","Not Employed","607","0.238458578778023","0.222156736843299","0.254760420712747","4"
"Rarely","2013","16-34 y.","Employed","688","0.190119318699033","0.177984848495806","0.202253788902259","4"
"Rarely","2013","35-65 y.","Employed","2631","0.22754754085833","0.220133884289301","0.234961197427358","4"
"Rarely","2013","66 and older","Not Employed","976","0.232126920618241","0.21987305408478","0.244380787151702","4"
"Rarely","2013","66 and older","Employed","104","0.257335948291744","0.21615933976014","0.298512556823347","4"
"Daily","2014","16-34 y.","Not Employed","","","","","1"
"Daily","2014","16-34 y.","Employed","","","","","1"
"Daily","2014","35-65 y.","Not Employed","","","","","1"
"Daily","2014","35-65 y.","Employed","","","","","1"
"Daily","2014","66 and older","Not Employed","","","","","1"
"Daily","2014","66 and older","Employed","","","","","1"
"Min 1x per month","2014","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2014","16-34 y.","Employed","","","","","3"
"Min 1x per month","2014","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2014","35-65 y.","Employed","","","","","3"
"Min 1x per month","2014","66 and older","Not Employed","","","","","3"
"Min 1x per month","2014","66 and older","Employed","","","","","3"
"Min 1x per week","2014","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2014","16-34 y.","Employed","","","","","2"
"Min 1x per week","2014","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2014","35-65 y.","Employed","","","","","2"
"Min 1x per week","2014","66 and older","Employed","","","","","2"
"Min 1x per week","2014","66 and older","Not Employed","","","","","2"
"Never","2014","16-34 y.","Not Employed","","","","","5"
"Never","2014","16-34 y.","Employed","","","","","5"
"Never","2014","35-65 y.","Not Employed","","","","","5"
"Never","2014","35-65 y.","Employed","","","","","5"
"Never","2014","66 and older","Not Employed","","","","","5"
"Never","2014","66 and older","Employed","","","","","5"
"Rarely","2014","16-34 y.","Not Employed","","","","","4"
"Rarely","2014","16-34 y.","Employed","","","","","4"
"Rarely","2014","35-65 y.","Not Employed","","","","","4"
"Rarely","2014","35-65 y.","Employed","","","","","4"
"Rarely","2014","66 and older","Not Employed","","","","","4"
"Rarely","2014","66 and older","Employed","","","","","4"
"Daily","2015","16-34 y.","Not Employed","","","","","1"
"Daily","2015","16-34 y.","Employed","","","","","1"
"Daily","2015","35-65 y.","Not Employed","","","","","1"
"Daily","2015","35-65 y.","Employed","","","","","1"
"Daily","2015","66 and older","Not Employed","","","","","1"
"Daily","2015","66 and older","Employed","","","","","1"
"Min 1x per month","2015","16-34 y.","Employed","","","","","3"
"Min 1x per month","2015","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2015","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2015","35-65 y.","Employed","","","","","3"
"Min 1x per month","2015","66 and older","Employed","","","","","3"
"Min 1x per month","2015","66 and older","Not Employed","","","","","3"
"Min 1x per week","2015","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2015","16-34 y.","Employed","","","","","2"
"Min 1x per week","2015","35-65 y.","Employed","","","","","2"
"Min 1x per week","2015","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2015","66 and older","Employed","","","","","2"
"Min 1x per week","2015","66 and older","Not Employed","","","","","2"
"Never","2015","16-34 y.","Not Employed","","","","","5"
"Never","2015","16-34 y.","Employed","","","","","5"
"Never","2015","35-65 y.","Not Employed","","","","","5"
"Never","2015","35-65 y.","Employed","","","","","5"
"Never","2015","66 and older","Not Employed","","","","","5"
"Never","2015","66 and older","Employed","","","","","5"
"Rarely","2015","16-34 y.","Employed","","","","","4"
"Rarely","2015","16-34 y.","Not Employed","","","","","4"
"Rarely","2015","35-65 y.","Not Employed","","","","","4"
"Rarely","2015","35-65 y.","Employed","","","","","4"
"Rarely","2015","66 and older","Not Employed","","","","","4"
"Rarely","2015","66 and older","Employed","","","","","4"
"Daily","2016","16-34 y.","Not Employed","","","","","1"
"Daily","2016","16-34 y.","Employed","","","","","1"
"Daily","2016","35-65 y.","Not Employed","","","","","1"
"Daily","2016","35-65 y.","Employed","","","","","1"
"Daily","2016","66 and older","Not Employed","","","","","1"
"Daily","2016","66 and older","Employed","","","","","1"
"Min 1x per month","2016","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2016","16-34 y.","Employed","","","","","3"
"Min 1x per month","2016","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2016","35-65 y.","Employed","","","","","3"
"Min 1x per month","2016","66 and older","Not Employed","","","","","3"
"Min 1x per month","2016","66 and older","Employed","","","","","3"
"Min 1x per week","2016","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2016","16-34 y.","Employed","","","","","2"
"Min 1x per week","2016","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2016","35-65 y.","Employed","","","","","2"
"Min 1x per week","2016","66 and older","Not Employed","","","","","2"
"Min 1x per week","2016","66 and older","Employed","","","","","2"
"Never","2016","16-34 y.","Not Employed","","","","","5"
"Never","2016","16-34 y.","Employed","","","","","5"
"Never","2016","35-65 y.","Not Employed","","","","","5"
"Never","2016","35-65 y.","Employed","","","","","5"
"Never","2016","66 and older","Not Employed","","","","","5"
"Never","2016","66 and older","Employed","","","","","5"
"Rarely","2016","16-34 y.","Not Employed","","","","","4"
"Rarely","2016","16-34 y.","Employed","","","","","4"
"Rarely","2016","35-65 y.","Not Employed","","","","","4"
"Rarely","2016","35-65 y.","Employed","","","","","4"
"Rarely","2016","66 and older","Not Employed","","","","","4"
"Rarely","2016","66 and older","Employed","","","","","4"
"Daily","2017","16-34 y.","Not Employed","","","","","1"
"Daily","2017","16-34 y.","Employed","","","","","1"
"Daily","2017","35-65 y.","Not Employed","","","","","1"
"Daily","2017","35-65 y.","Employed","","","","","1"
"Daily","2017","66 and older","Not Employed","","","","","1"
"Daily","2017","66 and older","Employed","","","","","1"
"Min 1x per month","2017","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2017","16-34 y.","Employed","","","","","3"
"Min 1x per month","2017","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2017","35-65 y.","Employed","","","","","3"
"Min 1x per month","2017","66 and older","Employed","","","","","3"
"Min 1x per month","2017","66 and older","Not Employed","","","","","3"
"Min 1x per week","2017","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2017","16-34 y.","Employed","","","","","2"
"Min 1x per week","2017","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2017","35-65 y.","Employed","","","","","2"
"Min 1x per week","2017","66 and older","Not Employed","","","","","2"
"Min 1x per week","2017","66 and older","Employed","","","","","2"
"Never","2017","16-34 y.","Not Employed","","","","","5"
"Never","2017","16-34 y.","Employed","","","","","5"
"Never","2017","35-65 y.","Not Employed","","","","","5"
"Never","2017","35-65 y.","Employed","","","","","5"
"Never","2017","66 and older","Not Employed","","","","","5"
"Never","2017","66 and older","Employed","","","","","5"
"Rarely","2017","16-34 y.","Not Employed","","","","","4"
"Rarely","2017","35-65 y.","Not Employed","","","","","4"
"Rarely","2017","16-34 y.","Employed","","","","","4"
"Rarely","2017","66 and older","Not Employed","","","","","4"
"Rarely","2017","35-65 y.","Employed","","","","","4"
"Rarely","2017","66 and older","Employed","","","","","4"
"Daily","2018","16-34 y.","Not Employed","","","","","1"
"Daily","2018","16-34 y.","Employed","","","","","1"
"Daily","2018","35-65 y.","Not Employed","","","","","1"
"Daily","2018","35-65 y.","Employed","","","","","1"
"Daily","2018","66 and older","Not Employed","","","","","1"
"Daily","2018","66 and older","Employed","","","","","1"
"Min 1x per month","2018","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2018","16-34 y.","Employed","","","","","3"
"Min 1x per month","2018","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2018","35-65 y.","Employed","","","","","3"
"Min 1x per month","2018","66 and older","Employed","","","","","3"
"Min 1x per month","2018","66 and older","Not Employed","","","","","3"
"Min 1x per week","2018","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2018","16-34 y.","Employed","","","","","2"
"Min 1x per week","2018","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2018","35-65 y.","Employed","","","","","2"
"Min 1x per week","2018","66 and older","Employed","","","","","2"
"Min 1x per week","2018","66 and older","Not Employed","","","","","2"
"Never","2018","16-34 y.","Not Employed","","","","","5"
"Never","2018","16-34 y.","Employed","","","","","5"
"Never","2018","35-65 y.","Not Employed","","","","","5"
"Never","2018","35-65 y.","Employed","","","","","5"
"Never","2018","66 and older","Not Employed","","","","","5"
"Never","2018","66 and older","Employed","","","","","5"
