"pli0081","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Never","1996","66 and older","Urban Area","","","",""
"Never","1996","66 and older","Rural Area","","","",""
"Daily","1997","16-34 y.","Urban Area","","","",""
"Daily","1997","16-34 y.","Rural Area","","","",""
"Daily","1997","35-65 y.","Urban Area","","","",""
"Daily","1997","35-65 y.","Rural Area","","","",""
"Daily","1997","66 and older","Urban Area","","","",""
"Daily","1997","66 and older","Rural Area","","","",""
"Min 1x per week","1997","16-34 y.","Urban Area","","","",""
"Min 1x per week","1997","16-34 y.","Rural Area","","","",""
"Min 1x per week","1997","35-65 y.","Urban Area","","","",""
"Min 1x per week","1997","35-65 y.","Rural Area","","","",""
"Min 1x per week","1997","66 and older","Urban Area","","","",""
"Min 1x per week","1997","66 and older","Rural Area","","","",""
"Min 1x per month","1997","16-34 y.","Urban Area","","","",""
"Min 1x per month","1997","16-34 y.","Rural Area","","","",""
"Min 1x per month","1997","35-65 y.","Urban Area","","","",""
"Min 1x per month","1997","35-65 y.","Rural Area","","","",""
"Min 1x per month","1997","66 and older","Urban Area","","","",""
"Min 1x per month","1997","66 and older","Rural Area","","","",""
"Rarely","1997","16-34 y.","Urban Area","","","",""
"Rarely","1997","16-34 y.","Rural Area","","","",""
"Rarely","1997","35-65 y.","Urban Area","","","",""
"Rarely","1997","35-65 y.","Rural Area","","","",""
"Rarely","1997","66 and older","Urban Area","","","",""
"Rarely","1997","66 and older","Rural Area","","","",""
"Never","1997","16-34 y.","Urban Area","","","",""
"Never","1997","16-34 y.","Rural Area","","","",""
"Never","1997","35-65 y.","Urban Area","","","",""
"Never","1997","35-65 y.","Rural Area","","","",""
"Never","1997","66 and older","Urban Area","","","",""
"Never","1997","66 and older","Rural Area","","","",""
"Daily","1998","16-34 y.","Urban Area","362","0.095791045192704","0.0856899247516879","0.10589216563372"
"Daily","1998","16-34 y.","Rural Area","127","0.0698511675229196","0.0573770748433275","0.0823252602025118"
"Daily","1998","35-65 y.","Urban Area","378","0.0651911155358523","0.0582442630690289","0.0721379680026757"
"Daily","1998","35-65 y.","Rural Area","188","0.0689189378717442","0.0592797043743184","0.0785581713691701"
"Daily","1998","66 and older","Urban Area","135","0.102072883312355","0.0853897137758593","0.118756052848851"
"Daily","1998","66 and older","Rural Area","88","0.134423259500362","0.107309714658639","0.161536804342084"
"Min 1x per week","1998","16-34 y.","Urban Area","1455","0.423611966299759","0.406652418065358","0.44057151453416"
"Min 1x per week","1998","16-34 y.","Rural Area","704","0.419312762591158","0.395164488858236","0.44346103632408"
"Min 1x per week","1998","35-65 y.","Urban Area","1940","0.383223455467559","0.369542311288886","0.396904599646232"
"Min 1x per week","1998","35-65 y.","Rural Area","984","0.358904986243977","0.340652147728564","0.377157824759391"
"Min 1x per week","1998","66 and older","Urban Area","542","0.409014394802663","0.381921177765134","0.436107611840192"
"Min 1x per week","1998","66 and older","Rural Area","244","0.402310704907713","0.363333128239994","0.441288281575431"
"Min 1x per month","1998","16-34 y.","Urban Area","845","0.275322091269999","0.259991258983842","0.290652923556156"
"Min 1x per month","1998","16-34 y.","Rural Area","477","0.324881157140948","0.301962018830239","0.347800295451656"
"Min 1x per month","1998","35-65 y.","Urban Area","1438","0.295692075648343","0.282850048489771","0.308534102806916"
"Min 1x per month","1998","35-65 y.","Rural Area","923","0.340159142691619","0.32213145018016","0.358186835203078"
"Min 1x per month","1998","66 and older","Urban Area","346","0.268659400410237","0.244232762729208","0.293086038091266"
"Min 1x per month","1998","66 and older","Rural Area","158","0.260841323880568","0.225939080811585","0.295743566949551"
"Rarely","1998","16-34 y.","Urban Area","555","0.189821636891769","0.176361921740691","0.203281352042848"
"Rarely","1998","16-34 y.","Rural Area","280","0.174237303339202","0.155674476668315","0.192800130010089"
"Rarely","1998","35-65 y.","Urban Area","983","0.233460431943949","0.221556062816807","0.245364801071091"
"Rarely","1998","35-65 y.","Rural Area","531","0.216778648723884","0.201099229303563","0.232458068144206"
"Rarely","1998","66 and older","Urban Area","205","0.180506910145911","0.159312448372287","0.201701371919535"
"Rarely","1998","66 and older","Rural Area","104","0.174953809666551","0.14475449169079","0.205153127642312"
"Never","1998","16-34 y.","Urban Area","44","0.0154532603457687","0.0112197471142351","0.0196867735773022"
"Never","1998","16-34 y.","Rural Area","16","","",""
"Never","1998","35-65 y.","Urban Area","112","0.0224329214042958","0.0182656800444345","0.0266001627641572"
"Never","1998","35-65 y.","Rural Area","27","","",""
"Never","1998","66 and older","Urban Area","37","0.0397464113288333","0.0289806497141105","0.050512172943556"
"Never","1998","66 and older","Rural Area","14","","",""
"Daily","1999","16-34 y.","Urban Area","","","",""
"Daily","1999","16-34 y.","Rural Area","","","",""
"Daily","1999","35-65 y.","Urban Area","","","",""
"Daily","1999","35-65 y.","Rural Area","","","",""
"Daily","1999","66 and older","Urban Area","","","",""
"Daily","1999","66 and older","Rural Area","","","",""
"Min 1x per week","1999","16-34 y.","Urban Area","","","",""
"Min 1x per week","1999","16-34 y.","Rural Area","","","",""
"Min 1x per week","1999","35-65 y.","Urban Area","","","",""
"Min 1x per week","1999","35-65 y.","Rural Area","","","",""
"Min 1x per week","1999","66 and older","Urban Area","","","",""
"Min 1x per week","1999","66 and older","Rural Area","","","",""
"Min 1x per month","1999","16-34 y.","Urban Area","","","",""
"Min 1x per month","1999","16-34 y.","Rural Area","","","",""
"Min 1x per month","1999","35-65 y.","Urban Area","","","",""
"Min 1x per month","1999","35-65 y.","Rural Area","","","",""
"Min 1x per month","1999","66 and older","Urban Area","","","",""
"Min 1x per month","1999","66 and older","Rural Area","","","",""
"Rarely","1999","16-34 y.","Urban Area","","","",""
"Rarely","1999","16-34 y.","Rural Area","","","",""
"Rarely","1999","35-65 y.","Urban Area","","","",""
"Rarely","1999","35-65 y.","Rural Area","","","",""
"Rarely","1999","66 and older","Urban Area","","","",""
"Rarely","1999","66 and older","Rural Area","","","",""
"Never","1999","16-34 y.","Urban Area","","","",""
"Never","1999","16-34 y.","Rural Area","","","",""
"Never","1999","35-65 y.","Urban Area","","","",""
"Never","1999","35-65 y.","Rural Area","","","",""
"Never","1999","66 and older","Urban Area","","","",""
"Never","1999","66 and older","Rural Area","","","",""
"Daily","2000","16-34 y.","Urban Area","","","",""
"Daily","2000","16-34 y.","Rural Area","","","",""
"Daily","2000","35-65 y.","Urban Area","","","",""
"Daily","2000","35-65 y.","Rural Area","","","",""
"Daily","2000","66 and older","Urban Area","","","",""
"Daily","2000","66 and older","Rural Area","","","",""
"Min 1x per week","2000","16-34 y.","Urban Area","","","",""
"Min 1x per week","2000","16-34 y.","Rural Area","","","",""
"Min 1x per week","2000","35-65 y.","Urban Area","","","",""
"Min 1x per week","2000","35-65 y.","Rural Area","","","",""
"Min 1x per week","2000","66 and older","Urban Area","","","",""
"Min 1x per week","2000","66 and older","Rural Area","","","",""
"Min 1x per month","2000","16-34 y.","Urban Area","","","",""
"Min 1x per month","2000","16-34 y.","Rural Area","","","",""
"Min 1x per month","2000","35-65 y.","Urban Area","","","",""
"Min 1x per month","2000","35-65 y.","Rural Area","","","",""
"Min 1x per month","2000","66 and older","Urban Area","","","",""
"Min 1x per month","2000","66 and older","Rural Area","","","",""
"Rarely","2000","16-34 y.","Urban Area","","","",""
"Rarely","2000","16-34 y.","Rural Area","","","",""
"Rarely","2000","35-65 y.","Urban Area","","","",""
"Rarely","2000","35-65 y.","Rural Area","","","",""
"Rarely","2000","66 and older","Urban Area","","","",""
"Rarely","2000","66 and older","Rural Area","","","",""
"Never","2000","16-34 y.","Urban Area","","","",""
"Never","2000","16-34 y.","Rural Area","","","",""
"Never","2000","35-65 y.","Urban Area","","","",""
"Never","2000","35-65 y.","Rural Area","","","",""
"Never","2000","66 and older","Urban Area","","","",""
"Never","2000","66 and older","Rural Area","","","",""
"Daily","2001","16-34 y.","Urban Area","","","",""
"Daily","2001","16-34 y.","Rural Area","","","",""
"Daily","2001","35-65 y.","Urban Area","","","",""
"Daily","2001","35-65 y.","Rural Area","","","",""
"Daily","2001","66 and older","Urban Area","","","",""
"Daily","2001","66 and older","Rural Area","","","",""
