"pli0081","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Rarely","1995","Lower Saxony","Not Employed","70","0.191300530838439","0.152658653145011","0.229942408531867"
"Rarely","1995","Lower Saxony","Employed","161","0.28986223766409","0.254956817782753","0.324767657545426"
"Rarely","1995","Bremen","Not Employed","10","","",""
"Rarely","1995","Bremen","Employed","15","","",""
"Rarely","1995","North Rhine-Westphalia","Not Employed","149","0.160621927983897","0.137248352643179","0.183995503324614"
"Rarely","1995","North Rhine-Westphalia","Employed","310","0.224807239047872","0.20453519463364","0.245079283462103"
"Rarely","1995","Hesse","Not Employed","60","0.186208313615053","0.145309131152548","0.227107496077557"
"Rarely","1995","Hesse","Employed","130","0.223594698185777","0.190366666293182","0.256822730078372"
"Rarely","1995","Rhineland-Palatinate,Saarland","Not Employed","53","0.176300836673751","0.133034367231328","0.219567306116175"
"Rarely","1995","Rhineland-Palatinate,Saarland","Employed","88","0.23955383981087","0.198440408495256","0.280667271126485"
"Rarely","1995","Baden-Württemberg","Not Employed","98","0.201146254100067","0.169669229005668","0.232623279194466"
"Rarely","1995","Baden-Württemberg","Employed","216","0.207357556362123","0.184245534068674","0.230469578655573"
"Rarely","1995","Bavaria","Not Employed","126","0.270427718226033","0.233573198476531","0.307282237975534"
"Rarely","1995","Bavaria","Employed","254","0.238930568817541","0.214034307672029","0.263826829963053"
"Rarely","1995","Berlin","Not Employed","39","0.269376195414123","0.207738262023758","0.331014128804488"
"Rarely","1995","Berlin","Employed","78","0.217631965851519","0.175415492539183","0.259848439163854"
"Rarely","1995","Brandenburg","Not Employed","37","0.158485124446409","0.109783172619494","0.207187076273324"
"Rarely","1995","Brandenburg","Employed","86","0.226851164906027","0.184350498976234","0.26935183083582"
"Rarely","1995","Mecklenburg-Western Pomerania","Not Employed","24","","",""
"Rarely","1995","Mecklenburg-Western Pomerania","Employed","43","0.124275397977205","0.0851423996694793","0.163408396284931"
"Rarely","1995","Saxony","Not Employed","80","0.187351567887517","0.149674291599511","0.225028844175522"
"Rarely","1995","Saxony","Employed","126","0.173351030442732","0.145002758947087","0.201699301938377"
"Rarely","1995","Saxony-Anhalt","Not Employed","40","0.152080882777379","0.106070622694796","0.198091142859962"
"Rarely","1995","Saxony-Anhalt","Employed","76","0.159672681538681","0.126015174651977","0.193330188425386"
"Rarely","1995","Thuringia","Not Employed","44","0.219162596894501","0.164867678762944","0.273457515026059"
"Rarely","1995","Thuringia","Employed","77","0.199191632440644","0.161220506733807","0.237162758147482"
"Never","1995","Schleswig-Holstein","Not Employed","2","","",""
"Never","1995","Schleswig-Holstein","Employed","6","","",""
"Never","1995","Hamburg","Not Employed","3","","",""
"Never","1995","Hamburg","Employed","2","","",""
"Never","1995","Lower Saxony","Not Employed","12","","",""
"Never","1995","Lower Saxony","Employed","19","","",""
"Never","1995","Bremen","Not Employed","4","","",""
"Never","1995","Bremen","Employed","3","","",""
"Never","1995","North Rhine-Westphalia","Not Employed","37","0.035463647721432","0.0236904367995957","0.0472368586432684"
"Never","1995","North Rhine-Westphalia","Employed","61","0.0269365971423321","0.0190746615085696","0.0347985327760946"
"Never","1995","Hesse","Not Employed","22","","",""
"Never","1995","Hesse","Employed","25","","",""
"Never","1995","Rhineland-Palatinate,Saarland","Not Employed","19","","",""
"Never","1995","Rhineland-Palatinate,Saarland","Employed","16","","",""
"Never","1995","Baden-Württemberg","Not Employed","14","","",""
"Never","1995","Baden-Württemberg","Employed","36","0.0228972766403256","0.0143701761669045","0.0314243771137466"
"Never","1995","Bavaria","Not Employed","18","","",""
"Never","1995","Bavaria","Employed","24","","",""
"Never","1995","Berlin","Not Employed","12","","",""
"Never","1995","Berlin","Employed","15","","",""
"Never","1995","Brandenburg","Not Employed","7","","",""
"Never","1995","Brandenburg","Employed","9","","",""
"Never","1995","Mecklenburg-Western Pomerania","Not Employed","2","","",""
"Never","1995","Mecklenburg-Western Pomerania","Employed","","","",""
"Never","1995","Saxony","Not Employed","12","","",""
"Never","1995","Saxony","Employed","3","","",""
"Never","1995","Saxony-Anhalt","Not Employed","9","","",""
"Never","1995","Saxony-Anhalt","Employed","3","","",""
"Never","1995","Thuringia","Not Employed","9","","",""
"Never","1995","Thuringia","Employed","3","","",""
"Daily","1996","Schleswig-Holstein","Not Employed","","","",""
"Daily","1996","Schleswig-Holstein","Employed","","","",""
"Daily","1996","Hamburg","Not Employed","","","",""
"Daily","1996","Hamburg","Employed","","","",""
"Daily","1996","Lower Saxony","Not Employed","","","",""
"Daily","1996","Lower Saxony","Employed","","","",""
"Daily","1996","Bremen","Not Employed","","","",""
"Daily","1996","Bremen","Employed","","","",""
"Daily","1996","North Rhine-Westphalia","Not Employed","","","",""
"Daily","1996","North Rhine-Westphalia","Employed","","","",""
"Daily","1996","Hesse","Not Employed","","","",""
"Daily","1996","Hesse","Employed","","","",""
"Daily","1996","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Daily","1996","Rhineland-Palatinate,Saarland","Employed","","","",""
"Daily","1996","Baden-Württemberg","Not Employed","","","",""
"Daily","1996","Baden-Württemberg","Employed","","","",""
"Daily","1996","Bavaria","Not Employed","","","",""
"Daily","1996","Bavaria","Employed","","","",""
"Daily","1996","Berlin","Not Employed","","","",""
"Daily","1996","Berlin","Employed","","","",""
"Daily","1996","Brandenburg","Not Employed","","","",""
"Daily","1996","Brandenburg","Employed","","","",""
"Daily","1996","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Daily","1996","Mecklenburg-Western Pomerania","Employed","","","",""
"Daily","1996","Saxony","Not Employed","","","",""
"Daily","1996","Saxony","Employed","","","",""
"Daily","1996","Saxony-Anhalt","Not Employed","","","",""
"Daily","1996","Saxony-Anhalt","Employed","","","",""
"Daily","1996","Thuringia","Not Employed","","","",""
"Daily","1996","Thuringia","Employed","","","",""
"Min 1x per week","1996","Schleswig-Holstein","Not Employed","","","",""
"Min 1x per week","1996","Schleswig-Holstein","Employed","","","",""
"Min 1x per week","1996","Hamburg","Not Employed","","","",""
"Min 1x per week","1996","Hamburg","Employed","","","",""
"Min 1x per week","1996","Lower Saxony","Not Employed","","","",""
"Min 1x per week","1996","Lower Saxony","Employed","","","",""
"Min 1x per week","1996","Bremen","Not Employed","","","",""
"Min 1x per week","1996","Bremen","Employed","","","",""
"Min 1x per week","1996","North Rhine-Westphalia","Not Employed","","","",""
"Min 1x per week","1996","North Rhine-Westphalia","Employed","","","",""
"Min 1x per week","1996","Hesse","Not Employed","","","",""
"Min 1x per week","1996","Hesse","Employed","","","",""
"Min 1x per week","1996","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Min 1x per week","1996","Rhineland-Palatinate,Saarland","Employed","","","",""
"Min 1x per week","1996","Baden-Württemberg","Not Employed","","","",""
"Min 1x per week","1996","Baden-Württemberg","Employed","","","",""
"Min 1x per week","1996","Bavaria","Not Employed","","","",""
"Min 1x per week","1996","Bavaria","Employed","","","",""
"Min 1x per week","1996","Berlin","Not Employed","","","",""
"Min 1x per week","1996","Berlin","Employed","","","",""
"Min 1x per week","1996","Brandenburg","Not Employed","","","",""
"Min 1x per week","1996","Brandenburg","Employed","","","",""
"Min 1x per week","1996","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Min 1x per week","1996","Mecklenburg-Western Pomerania","Employed","","","",""
"Min 1x per week","1996","Saxony","Not Employed","","","",""
"Min 1x per week","1996","Saxony","Employed","","","",""
"Min 1x per week","1996","Saxony-Anhalt","Not Employed","","","",""
"Min 1x per week","1996","Saxony-Anhalt","Employed","","","",""
"Min 1x per week","1996","Thuringia","Not Employed","","","",""
"Min 1x per week","1996","Thuringia","Employed","","","",""
"Min 1x per month","1996","Schleswig-Holstein","Not Employed","","","",""
"Min 1x per month","1996","Schleswig-Holstein","Employed","","","",""
"Min 1x per month","1996","Hamburg","Not Employed","","","",""
"Min 1x per month","1996","Hamburg","Employed","","","",""
"Min 1x per month","1996","Lower Saxony","Not Employed","","","",""
"Min 1x per month","1996","Lower Saxony","Employed","","","",""
"Min 1x per month","1996","Bremen","Not Employed","","","",""
"Min 1x per month","1996","Bremen","Employed","","","",""
"Min 1x per month","1996","North Rhine-Westphalia","Not Employed","","","",""
"Min 1x per month","1996","North Rhine-Westphalia","Employed","","","",""
"Min 1x per month","1996","Hesse","Not Employed","","","",""
"Min 1x per month","1996","Hesse","Employed","","","",""
"Min 1x per month","1996","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Min 1x per month","1996","Rhineland-Palatinate,Saarland","Employed","","","",""
"Min 1x per month","1996","Baden-Württemberg","Not Employed","","","",""
"Min 1x per month","1996","Baden-Württemberg","Employed","","","",""
"Min 1x per month","1996","Bavaria","Not Employed","","","",""
"Min 1x per month","1996","Bavaria","Employed","","","",""
"Min 1x per month","1996","Berlin","Not Employed","","","",""
"Min 1x per month","1996","Berlin","Employed","","","",""
"Min 1x per month","1996","Brandenburg","Not Employed","","","",""
"Min 1x per month","1996","Brandenburg","Employed","","","",""
"Min 1x per month","1996","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Min 1x per month","1996","Mecklenburg-Western Pomerania","Employed","","","",""
"Min 1x per month","1996","Saxony","Not Employed","","","",""
"Min 1x per month","1996","Saxony","Employed","","","",""
"Min 1x per month","1996","Saxony-Anhalt","Not Employed","","","",""
"Min 1x per month","1996","Saxony-Anhalt","Employed","","","",""
"Min 1x per month","1996","Thuringia","Not Employed","","","",""
"Min 1x per month","1996","Thuringia","Employed","","","",""
"Rarely","1996","Schleswig-Holstein","Not Employed","","","",""
"Rarely","1996","Schleswig-Holstein","Employed","","","",""
"Rarely","1996","Hamburg","Not Employed","","","",""
"Rarely","1996","Hamburg","Employed","","","",""
"Rarely","1996","Lower Saxony","Not Employed","","","",""
"Rarely","1996","Lower Saxony","Employed","","","",""
"Rarely","1996","Bremen","Not Employed","","","",""
"Rarely","1996","Bremen","Employed","","","",""
"Rarely","1996","North Rhine-Westphalia","Not Employed","","","",""
"Rarely","1996","North Rhine-Westphalia","Employed","","","",""
"Rarely","1996","Hesse","Not Employed","","","",""
"Rarely","1996","Hesse","Employed","","","",""
"Rarely","1996","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Rarely","1996","Rhineland-Palatinate,Saarland","Employed","","","",""
"Rarely","1996","Baden-Württemberg","Not Employed","","","",""
"Rarely","1996","Baden-Württemberg","Employed","","","",""
"Rarely","1996","Bavaria","Not Employed","","","",""
"Rarely","1996","Bavaria","Employed","","","",""
"Rarely","1996","Berlin","Not Employed","","","",""
"Rarely","1996","Berlin","Employed","","","",""
"Rarely","1996","Brandenburg","Not Employed","","","",""
"Rarely","1996","Brandenburg","Employed","","","",""
"Rarely","1996","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Rarely","1996","Mecklenburg-Western Pomerania","Employed","","","",""
"Rarely","1996","Saxony","Not Employed","","","",""
"Rarely","1996","Saxony","Employed","","","",""
"Rarely","1996","Saxony-Anhalt","Not Employed","","","",""
"Rarely","1996","Saxony-Anhalt","Employed","","","",""
"Rarely","1996","Thuringia","Not Employed","","","",""
"Rarely","1996","Thuringia","Employed","","","",""
"Never","1996","Schleswig-Holstein","Not Employed","","","",""
"Never","1996","Schleswig-Holstein","Employed","","","",""
"Never","1996","Hamburg","Not Employed","","","",""
"Never","1996","Hamburg","Employed","","","",""
"Never","1996","Lower Saxony","Not Employed","","","",""
"Never","1996","Lower Saxony","Employed","","","",""
"Never","1996","Bremen","Not Employed","","","",""
"Never","1996","Bremen","Employed","","","",""
"Never","1996","North Rhine-Westphalia","Not Employed","","","",""
"Never","1996","North Rhine-Westphalia","Employed","","","",""
"Never","1996","Hesse","Not Employed","","","",""
"Never","1996","Hesse","Employed","","","",""
"Never","1996","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Never","1996","Rhineland-Palatinate,Saarland","Employed","","","",""
"Never","1996","Baden-Württemberg","Not Employed","","","",""
"Never","1996","Baden-Württemberg","Employed","","","",""
"Never","1996","Bavaria","Not Employed","","","",""
"Never","1996","Bavaria","Employed","","","",""
"Never","1996","Berlin","Not Employed","","","",""
"Never","1996","Berlin","Employed","","","",""
"Never","1996","Brandenburg","Not Employed","","","",""
"Never","1996","Brandenburg","Employed","","","",""
"Never","1996","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Never","1996","Mecklenburg-Western Pomerania","Employed","","","",""
"Never","1996","Saxony","Not Employed","","","",""
"Never","1996","Saxony","Employed","","","",""
"Never","1996","Saxony-Anhalt","Not Employed","","","",""
"Never","1996","Saxony-Anhalt","Employed","","","",""
"Never","1996","Thuringia","Not Employed","","","",""
"Never","1996","Thuringia","Employed","","","",""
"Daily","1997","Schleswig-Holstein","Not Employed","","","",""
"Daily","1997","Schleswig-Holstein","Employed","","","",""
"Daily","1997","Hamburg","Not Employed","","","",""
"Daily","1997","Hamburg","Employed","","","",""
"Daily","1997","Lower Saxony","Not Employed","","","",""
"Daily","1997","Lower Saxony","Employed","","","",""
"Daily","1997","Bremen","Not Employed","","","",""
"Daily","1997","Bremen","Employed","","","",""
"Daily","1997","North Rhine-Westphalia","Not Employed","","","",""
"Daily","1997","North Rhine-Westphalia","Employed","","","",""
"Daily","1997","Hesse","Not Employed","","","",""
"Daily","1997","Hesse","Employed","","","",""
"Daily","1997","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Daily","1997","Rhineland-Palatinate,Saarland","Employed","","","",""
"Daily","1997","Baden-Württemberg","Not Employed","","","",""
"Daily","1997","Baden-Württemberg","Employed","","","",""
"Daily","1997","Bavaria","Not Employed","","","",""
"Daily","1997","Bavaria","Employed","","","",""
"Daily","1997","Berlin","Not Employed","","","",""
"Daily","1997","Berlin","Employed","","","",""
"Daily","1997","Brandenburg","Not Employed","","","",""
"Daily","1997","Brandenburg","Employed","","","",""
"Daily","1997","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Daily","1997","Mecklenburg-Western Pomerania","Employed","","","",""
"Daily","1997","Saxony","Not Employed","","","",""
"Daily","1997","Saxony","Employed","","","",""
"Daily","1997","Saxony-Anhalt","Not Employed","","","",""
"Daily","1997","Saxony-Anhalt","Employed","","","",""
"Daily","1997","Thuringia","Not Employed","","","",""
"Daily","1997","Thuringia","Employed","","","",""
"Min 1x per week","1997","Schleswig-Holstein","Not Employed","","","",""
"Min 1x per week","1997","Schleswig-Holstein","Employed","","","",""
"Min 1x per week","1997","Hamburg","Not Employed","","","",""
"Min 1x per week","1997","Hamburg","Employed","","","",""
"Min 1x per week","1997","Lower Saxony","Not Employed","","","",""
"Min 1x per week","1997","Lower Saxony","Employed","","","",""
"Min 1x per week","1997","Bremen","Not Employed","","","",""
"Min 1x per week","1997","Bremen","Employed","","","",""
"Min 1x per week","1997","North Rhine-Westphalia","Not Employed","","","",""
"Min 1x per week","1997","North Rhine-Westphalia","Employed","","","",""
"Min 1x per week","1997","Hesse","Not Employed","","","",""
"Min 1x per week","1997","Hesse","Employed","","","",""
"Min 1x per week","1997","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Min 1x per week","1997","Rhineland-Palatinate,Saarland","Employed","","","",""
"Min 1x per week","1997","Baden-Württemberg","Not Employed","","","",""
"Min 1x per week","1997","Baden-Württemberg","Employed","","","",""
"Min 1x per week","1997","Bavaria","Not Employed","","","",""
"Min 1x per week","1997","Bavaria","Employed","","","",""
"Min 1x per week","1997","Berlin","Not Employed","","","",""
"Min 1x per week","1997","Berlin","Employed","","","",""
"Min 1x per week","1997","Brandenburg","Not Employed","","","",""
"Min 1x per week","1997","Brandenburg","Employed","","","",""
"Min 1x per week","1997","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Min 1x per week","1997","Mecklenburg-Western Pomerania","Employed","","","",""
"Min 1x per week","1997","Saxony","Not Employed","","","",""
"Min 1x per week","1997","Saxony","Employed","","","",""
"Min 1x per week","1997","Saxony-Anhalt","Not Employed","","","",""
"Min 1x per week","1997","Saxony-Anhalt","Employed","","","",""
"Min 1x per week","1997","Thuringia","Not Employed","","","",""
"Min 1x per week","1997","Thuringia","Employed","","","",""
"Min 1x per month","1997","Schleswig-Holstein","Not Employed","","","",""
"Min 1x per month","1997","Schleswig-Holstein","Employed","","","",""
"Min 1x per month","1997","Hamburg","Not Employed","","","",""
"Min 1x per month","1997","Hamburg","Employed","","","",""
"Min 1x per month","1997","Lower Saxony","Not Employed","","","",""
"Min 1x per month","1997","Lower Saxony","Employed","","","",""
"Min 1x per month","1997","Bremen","Not Employed","","","",""
"Min 1x per month","1997","Bremen","Employed","","","",""
"Min 1x per month","1997","North Rhine-Westphalia","Not Employed","","","",""
"Min 1x per month","1997","North Rhine-Westphalia","Employed","","","",""
"Min 1x per month","1997","Hesse","Not Employed","","","",""
"Min 1x per month","1997","Hesse","Employed","","","",""
"Min 1x per month","1997","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Min 1x per month","1997","Rhineland-Palatinate,Saarland","Employed","","","",""
"Min 1x per month","1997","Baden-Württemberg","Not Employed","","","",""
"Min 1x per month","1997","Baden-Württemberg","Employed","","","",""
"Min 1x per month","1997","Bavaria","Not Employed","","","",""
"Min 1x per month","1997","Bavaria","Employed","","","",""
"Min 1x per month","1997","Berlin","Not Employed","","","",""
"Min 1x per month","1997","Berlin","Employed","","","",""
"Min 1x per month","1997","Brandenburg","Not Employed","","","",""
"Min 1x per month","1997","Brandenburg","Employed","","","",""
"Min 1x per month","1997","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Min 1x per month","1997","Mecklenburg-Western Pomerania","Employed","","","",""
"Min 1x per month","1997","Saxony","Not Employed","","","",""
"Min 1x per month","1997","Saxony","Employed","","","",""
"Min 1x per month","1997","Saxony-Anhalt","Not Employed","","","",""
"Min 1x per month","1997","Saxony-Anhalt","Employed","","","",""
"Min 1x per month","1997","Thuringia","Not Employed","","","",""
"Min 1x per month","1997","Thuringia","Employed","","","",""
"Rarely","1997","Schleswig-Holstein","Not Employed","","","",""
"Rarely","1997","Schleswig-Holstein","Employed","","","",""
"Rarely","1997","Hamburg","Not Employed","","","",""
"Rarely","1997","Hamburg","Employed","","","",""
"Rarely","1997","Lower Saxony","Not Employed","","","",""
"Rarely","1997","Lower Saxony","Employed","","","",""
"Rarely","1997","Bremen","Not Employed","","","",""
"Rarely","1997","Bremen","Employed","","","",""
"Rarely","1997","North Rhine-Westphalia","Not Employed","","","",""
"Rarely","1997","North Rhine-Westphalia","Employed","","","",""
"Rarely","1997","Hesse","Not Employed","","","",""
"Rarely","1997","Hesse","Employed","","","",""
"Rarely","1997","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Rarely","1997","Rhineland-Palatinate,Saarland","Employed","","","",""
"Rarely","1997","Baden-Württemberg","Not Employed","","","",""
"Rarely","1997","Baden-Württemberg","Employed","","","",""
"Rarely","1997","Bavaria","Not Employed","","","",""
"Rarely","1997","Bavaria","Employed","","","",""
"Rarely","1997","Berlin","Not Employed","","","",""
"Rarely","1997","Berlin","Employed","","","",""
"Rarely","1997","Brandenburg","Not Employed","","","",""
"Rarely","1997","Brandenburg","Employed","","","",""
"Rarely","1997","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Rarely","1997","Mecklenburg-Western Pomerania","Employed","","","",""
"Rarely","1997","Saxony","Not Employed","","","",""
"Rarely","1997","Saxony","Employed","","","",""
"Rarely","1997","Saxony-Anhalt","Not Employed","","","",""
"Rarely","1997","Saxony-Anhalt","Employed","","","",""
"Rarely","1997","Thuringia","Not Employed","","","",""
"Rarely","1997","Thuringia","Employed","","","",""
"Never","1997","Schleswig-Holstein","Not Employed","","","",""
"Never","1997","Schleswig-Holstein","Employed","","","",""
"Never","1997","Hamburg","Not Employed","","","",""
"Never","1997","Hamburg","Employed","","","",""
"Never","1997","Lower Saxony","Not Employed","","","",""
"Never","1997","Lower Saxony","Employed","","","",""
"Never","1997","Bremen","Not Employed","","","",""
"Never","1997","Bremen","Employed","","","",""
"Never","1997","North Rhine-Westphalia","Not Employed","","","",""
"Never","1997","North Rhine-Westphalia","Employed","","","",""
"Never","1997","Hesse","Not Employed","","","",""
"Never","1997","Hesse","Employed","","","",""
"Never","1997","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Never","1997","Rhineland-Palatinate,Saarland","Employed","","","",""
"Never","1997","Baden-Württemberg","Not Employed","","","",""
"Never","1997","Baden-Württemberg","Employed","","","",""
"Never","1997","Bavaria","Not Employed","","","",""
"Never","1997","Bavaria","Employed","","","",""
"Never","1997","Berlin","Not Employed","","","",""
"Never","1997","Berlin","Employed","","","",""
"Never","1997","Brandenburg","Not Employed","","","",""
"Never","1997","Brandenburg","Employed","","","",""
"Never","1997","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Never","1997","Mecklenburg-Western Pomerania","Employed","","","",""
"Never","1997","Saxony","Not Employed","","","",""
"Never","1997","Saxony","Employed","","","",""
"Never","1997","Saxony-Anhalt","Not Employed","","","",""
"Never","1997","Saxony-Anhalt","Employed","","","",""
"Never","1997","Thuringia","Not Employed","","","",""
"Never","1997","Thuringia","Employed","","","",""
"Daily","1998","Schleswig-Holstein","Not Employed","12","","",""
"Daily","1998","Schleswig-Holstein","Employed","8","","",""
"Daily","1998","Hamburg","Not Employed","5","","",""
"Daily","1998","Hamburg","Employed","4","","",""
"Daily","1998","Lower Saxony","Not Employed","28","","",""
"Daily","1998","Lower Saxony","Employed","47","0.0587778668831693","0.0418311643141845","0.0757245694521541"
"Daily","1998","Bremen","Not Employed","4","","",""
"Daily","1998","Bremen","Employed","","","",""
"Daily","1998","North Rhine-Westphalia","Not Employed","133","0.107526702434616","0.0891699771232726","0.125883427745959"
"Daily","1998","North Rhine-Westphalia","Employed","168","0.084375472841882","0.0713230590228161","0.0974278866609479"
"Daily","1998","Hesse","Not Employed","43","0.113417104621337","0.0807513452927462","0.146082863949929"
"Daily","1998","Hesse","Employed","44","0.0786603735722027","0.056863853562805","0.1004568935816"
"Daily","1998","Rhineland-Palatinate,Saarland","Not Employed","42","0.122094021602538","0.0870874439363838","0.157100599268693"
"Daily","1998","Rhineland-Palatinate,Saarland","Employed","37","0.0672771066782746","0.0445575620790483","0.089996651277501"
"Daily","1998","Baden-Württemberg","Not Employed","141","0.149916183763009","0.122965283550245","0.176867083975772"
"Daily","1998","Baden-Württemberg","Employed","139","0.0930410633706931","0.0761783751521289","0.109903751589257"
"Daily","1998","Bavaria","Not Employed","52","0.0693153167194479","0.0503777159576596","0.0882529174812362"
"Daily","1998","Bavaria","Employed","68","0.0511230000582639","0.0385349762431268","0.063711023873401"
"Daily","1998","Berlin","Not Employed","13","","",""
"Daily","1998","Berlin","Employed","14","","",""
"Daily","1998","Brandenburg","Not Employed","21","","",""
"Daily","1998","Brandenburg","Employed","22","","",""
"Daily","1998","Mecklenburg-Western Pomerania","Not Employed","20","","",""
"Daily","1998","Mecklenburg-Western Pomerania","Employed","20","","",""
"Daily","1998","Saxony","Not Employed","30","0.0560973057605773","0.0341944987100948","0.0780001128110598"
"Daily","1998","Saxony","Employed","32","0.0387027801844576","0.0250075123462124","0.0523980480227028"
"Daily","1998","Saxony-Anhalt","Not Employed","31","0.10381612941205","0.067297735228138","0.140334523595963"
"Daily","1998","Saxony-Anhalt","Employed","25","","",""
"Daily","1998","Thuringia","Not Employed","40","0.153066500948601","0.110818056607486","0.195314945289717"
"Daily","1998","Thuringia","Employed","35","0.0625717911156941","0.0403425840087032","0.0848009982226851"
"Min 1x per week","1998","Schleswig-Holstein","Not Employed","53","0.415342262110175","0.332522772503747","0.498161751716603"
"Min 1x per week","1998","Schleswig-Holstein","Employed","79","0.349834353126242","0.285936768649891","0.413731937602593"
"Min 1x per week","1998","Hamburg","Not Employed","22","","",""
"Min 1x per week","1998","Hamburg","Employed","27","","",""
"Min 1x per week","1998","Lower Saxony","Not Employed","182","0.377725293463068","0.333372512447368","0.422078074478769"
"Min 1x per week","1998","Lower Saxony","Employed","272","0.340124756748491","0.305991142918186","0.374258370578797"
"Min 1x per week","1998","Bremen","Not Employed","16","","",""
"Min 1x per week","1998","Bremen","Employed","21","","",""
"Min 1x per week","1998","North Rhine-Westphalia","Not Employed","495","0.436883194245215","0.407491721798388","0.466274666692042"
"Min 1x per week","1998","North Rhine-Westphalia","Employed","772","0.427660519725232","0.404427778892193","0.45089326055827"
"Min 1x per week","1998","Hesse","Not Employed","143","0.385652262140426","0.335510582355133","0.435793941925719"
"Min 1x per week","1998","Hesse","Employed","231","0.361279830810191","0.322386381872777","0.400173279747605"
"Min 1x per week","1998","Rhineland-Palatinate,Saarland","Not Employed","155","0.443005460932687","0.389891528000381","0.496119393864993"
"Min 1x per week","1998","Rhineland-Palatinate,Saarland","Employed","212","0.415717807392858","0.371018551867915","0.460417062917801"
"Min 1x per week","1998","Baden-Württemberg","Not Employed","306","0.428651401063986","0.391290198218794","0.466012603909178"
"Min 1x per week","1998","Baden-Württemberg","Employed","501","0.399496487200466","0.371064322650696","0.427928651750237"
"Min 1x per week","1998","Bavaria","Not Employed","322","0.436567742695908","0.399588693311462","0.473546792080354"
"Min 1x per week","1998","Bavaria","Employed","461","0.361624124310888","0.334163439655795","0.389084808965981"
"Min 1x per week","1998","Berlin","Not Employed","71","0.336108185363918","0.269291384474636","0.402924986253199"
"Min 1x per week","1998","Berlin","Employed","96","0.270346537900295","0.222997793069057","0.317695282731533"
"Min 1x per week","1998","Brandenburg","Not Employed","92","0.388034918122032","0.325194245282861","0.450875590961202"
"Min 1x per week","1998","Brandenburg","Employed","156","0.423682999631463","0.374766396404568","0.472599602858358"
"Min 1x per week","1998","Mecklenburg-Western Pomerania","Not Employed","45","0.278940523650698","0.204651367791665","0.353229679509731"
"Min 1x per week","1998","Mecklenburg-Western Pomerania","Employed","111","0.401544316179514","0.342963598161424","0.460125034197604"
"Min 1x per week","1998","Saxony","Not Employed","155","0.385041803232259","0.338724645458492","0.431358961006026"
"Min 1x per week","1998","Saxony","Employed","273","0.376205086750843","0.341809410574719","0.410600762926968"
"Min 1x per week","1998","Saxony-Anhalt","Not Employed","110","0.451124627399861","0.391549382726337","0.510699872073385"
"Min 1x per week","1998","Saxony-Anhalt","Employed","186","0.462259709074842","0.414634559482491","0.509884858667193"
"Min 1x per week","1998","Thuringia","Not Employed","126","0.480022218082906","0.421399081319736","0.538645354846075"
"Min 1x per week","1998","Thuringia","Employed","178","0.37242731585152","0.328054350848303","0.416800280854738"
"Min 1x per month","1998","Schleswig-Holstein","Not Employed","46","0.306855035034115","0.22934511297797","0.384364957090259"
"Min 1x per month","1998","Schleswig-Holstein","Employed","82","0.396695046733368","0.331150277506352","0.462239815960385"
"Min 1x per month","1998","Hamburg","Not Employed","13","","",""
"Min 1x per month","1998","Hamburg","Employed","31","0.345575629994154","0.248924284838101","0.442226975150207"
"Min 1x per month","1998","Lower Saxony","Not Employed","139","0.302136047888472","0.260128396315499","0.344143699461444"
"Min 1x per month","1998","Lower Saxony","Employed","229","0.327533615664479","0.293719700354635","0.361347530974324"
"Min 1x per month","1998","Bremen","Not Employed","11","","",""
"Min 1x per month","1998","Bremen","Employed","19","","",""
"Min 1x per month","1998","North Rhine-Westphalia","Not Employed","286","0.270882403263538","0.244547688619818","0.297217117907258"
"Min 1x per month","1998","North Rhine-Westphalia","Employed","464","0.275992924916636","0.255001380350735","0.296984469482537"
"Min 1x per month","1998","Hesse","Not Employed","98","0.275193984814258","0.229186957939077","0.321201011689439"
"Min 1x per month","1998","Hesse","Employed","153","0.272225572480003","0.236187451526133","0.308263693433873"
"Min 1x per month","1998","Rhineland-Palatinate,Saarland","Not Employed","78","0.240406643573252","0.19471442309741","0.286098864049093"
"Min 1x per month","1998","Rhineland-Palatinate,Saarland","Employed","120","0.259554124818482","0.219793767622025","0.299314482014939"
