"ple0005","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"A little","2006","(3b) higher tertiary education","908","0.340649563887526","0.323022814954508","0.358276312820545"
"Not at all","2006","(0) in school","356","0.874264274875383","0.842092966698177","0.906435583052588"
"Not at all","2006","(1a) inadequately completed","68","0.302324996147343","0.244461586960041","0.360188405334645"
"Not at all","2006","(1b) general elementary school","688","0.346226554917073","0.325120745617565","0.36733236421658"
"Not at all","2006","(1c) basic vocational qualification","2382","0.373825794494921","0.361761376986502","0.38589021200334"
"Not at all","2006","(2b) intermediate general qualification","413","0.690826142325573","0.653375788749184","0.728276495901963"
"Not at all","2006","(2a) intermediate vocational","2747","0.519314182373004","0.505700342916538","0.53292802182947"
"Not at all","2006","(2c_gen) general maturity certificate","655","0.781104449921364","0.752956689351578","0.809252210491149"
"Not at all","2006","(2c_voc) vocational maturity certificate","975","0.57315973696963","0.54919200341134","0.597127470527921"
"Not at all","2006","(3a) lower tertiary education","923","0.500466184862686","0.4774125807857","0.523519788939671"
"Not at all","2006","(3b) higher tertiary education","1649","0.568815331078229","0.550395847358459","0.587234814797999"
"Strong","2007","(0) in school","","","",""
"Strong","2007","(1a) inadequately completed","","","",""
"Strong","2007","(1b) general elementary school","","","",""
"Strong","2007","(1c) basic vocational qualification","","","",""
"Strong","2007","(2b) intermediate general qualification","","","",""
"Strong","2007","(2a) intermediate vocational","","","",""
"Strong","2007","(2c_gen) general maturity certificate","","","",""
"Strong","2007","(2c_voc) vocational maturity certificate","","","",""
"Strong","2007","(3a) lower tertiary education","","","",""
"Strong","2007","(3b) higher tertiary education","","","",""
"A little","2007","(0) in school","","","",""
"A little","2007","(1a) inadequately completed","","","",""
"A little","2007","(1b) general elementary school","","","",""
"A little","2007","(1c) basic vocational qualification","","","",""
"A little","2007","(2b) intermediate general qualification","","","",""
"A little","2007","(2a) intermediate vocational","","","",""
"A little","2007","(2c_gen) general maturity certificate","","","",""
"A little","2007","(2c_voc) vocational maturity certificate","","","",""
"A little","2007","(3a) lower tertiary education","","","",""
"A little","2007","(3b) higher tertiary education","","","",""
"Not at all","2007","(0) in school","","","",""
"Not at all","2007","(1a) inadequately completed","","","",""
"Not at all","2007","(1b) general elementary school","","","",""
"Not at all","2007","(1c) basic vocational qualification","","","",""
"Not at all","2007","(2b) intermediate general qualification","","","",""
"Not at all","2007","(2a) intermediate vocational","","","",""
"Not at all","2007","(2c_gen) general maturity certificate","","","",""
"Not at all","2007","(2c_voc) vocational maturity certificate","","","",""
"Not at all","2007","(3a) lower tertiary education","","","",""
"Not at all","2007","(3b) higher tertiary education","","","",""
"Strong","2008","(0) in school","2","","",""
