"ple0005","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"A little","2007","16-34 y.","Part Time","","","",""
"A little","2007","16-34 y.","Not Working","","","",""
"A little","2007","35-65 y.","Full Time","","","",""
"A little","2007","35-65 y.","Part Time","","","",""
"A little","2007","35-65 y.","Not Working","","","",""
"A little","2007","66 and older","Full Time","","","",""
"A little","2007","66 and older","Part Time","","","",""
"A little","2007","66 and older","Not Working","","","",""
"Not at all","2007","16-34 y.","Full Time","","","",""
"Not at all","2007","16-34 y.","Part Time","","","",""
"Not at all","2007","16-34 y.","Not Working","","","",""
"Not at all","2007","35-65 y.","Full Time","","","",""
"Not at all","2007","35-65 y.","Part Time","","","",""
"Not at all","2007","35-65 y.","Not Working","","","",""
"Not at all","2007","66 and older","Full Time","","","",""
"Not at all","2007","66 and older","Part Time","","","",""
"Not at all","2007","66 and older","Not Working","","","",""
"Strong","2008","16-34 y.","Full Time","38","0.019965856700327","0.0135985201689162","0.0263331932317378"
"Strong","2008","16-34 y.","Part Time","25","","",""
"Strong","2008","16-34 y.","Not Working","30","0.0335721451410329","0.0233594961880027","0.0437847940940632"
"Strong","2008","35-65 y.","Full Time","354","0.0797341850924428","0.0726185051579633","0.0868498650269224"
"Strong","2008","35-65 y.","Part Time","269","0.109822116805811","0.0983930052523772","0.121251228359244"
"Strong","2008","35-65 y.","Not Working","559","0.261158113675493","0.242910208025634","0.279406019325352"
"Strong","2008","66 and older","Full Time","10","","",""
"Strong","2008","66 and older","Part Time","33","0.185432551870078","0.135205153233527","0.235659950506628"
"Strong","2008","66 and older","Not Working","1446","0.379916800650504","0.364979629752489","0.394853971548519"
"A little","2008","16-34 y.","Full Time","366","0.209410857640443","0.190889694948403","0.227932020332483"
"A little","2008","16-34 y.","Part Time","266","0.239391476232595","0.216310686560619","0.262472265904571"
"A little","2008","16-34 y.","Not Working","176","0.159788565371232","0.139014031839721","0.180563098902744"
"A little","2008","35-65 y.","Full Time","1982","0.366597454188867","0.353939249765827","0.379255658611907"
"A little","2008","35-65 y.","Part Time","1119","0.418357203283295","0.400325740117462","0.436388666449127"
"A little","2008","35-65 y.","Not Working","879","0.391700733676924","0.371422909651427","0.41197855770242"
"A little","2008","66 and older","Full Time","30","0.552899026682501","0.424943274364505","0.680854779000498"
"A little","2008","66 and older","Part Time","123","0.495643808751434","0.43102816223781","0.560259455265058"
