"plh0204_h","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"6","2004","66 and older","secondary school degree","49","0.111530284163072","0.0849800148912427","0.138080553434901"
"6","2004","66 and older","college entrance qualification","55","0.0970877154002412","0.0721155540179313","0.122059876782551"
"6","2004","66 and older","Other degree","1","","",""
"6","2004","66 and older","no degree/no degree yet","1","","",""
"7","2004","16-34 y.","lower secondary degree","136","0.126034325824047","0.105863530130886","0.146205121517209"
"7","2004","16-34 y.","secondary school degree","258","0.145786511082604","0.129337157173756","0.162235864991453"
"7","2004","16-34 y.","college entrance qualification","304","0.179941076000975","0.161461936965415","0.198420215036536"
"7","2004","16-34 y.","Other degree","9","","",""
"7","2004","16-34 y.","no degree/no degree yet","109","0.170435345519374","0.142090134430024","0.198780556608724"
"7","2004","35-65 y.","lower secondary degree","354","0.0880969378726756","0.0793784770998961","0.0968153986454551"
"7","2004","35-65 y.","secondary school degree","490","0.117401908063821","0.107392511908316","0.127411304219326"
"7","2004","35-65 y.","college entrance qualification","503","0.157500823246668","0.144816080578724","0.170185565914612"
"7","2004","35-65 y.","Other degree","45","0.0553203809788093","0.0397210500722979","0.0709197118853206"
"7","2004","35-65 y.","no degree/no degree yet","6","","",""
"7","2004","66 and older","lower secondary degree","76","0.0318630604518918","0.0249069601152574","0.0388191607885262"
"7","2004","66 and older","secondary school degree","45","0.0756073110703649","0.0533095448124142","0.0979050773283156"
"7","2004","66 and older","college entrance qualification","59","0.0813708731904597","0.0583110589216988","0.104430687459221"
"7","2004","66 and older","Other degree","3","","",""
"7","2004","66 and older","no degree/no degree yet","2","","",""
"8","2004","16-34 y.","lower secondary degree","110","0.113464764979298","0.0941890750800252","0.13274045487857"
"8","2004","16-34 y.","secondary school degree","187","0.110624105428411","0.096003191391825","0.125245019464998"
"8","2004","16-34 y.","college entrance qualification","157","0.0944680057987346","0.0803981929555086","0.108537818641961"
"8","2004","16-34 y.","Other degree","10","","",""
"8","2004","16-34 y.","no degree/no degree yet","80","0.122921344806434","0.0981694947451848","0.147673194867683"
"8","2004","35-65 y.","lower secondary degree","227","0.0566075791188601","0.0494992331554825","0.0637159250822378"
"8","2004","35-65 y.","secondary school degree","277","0.0650354513782066","0.0573678158710353","0.0727030868853778"
"8","2004","35-65 y.","college entrance qualification","269","0.078565343697767","0.0691961270109842","0.0879345603845497"
"8","2004","35-65 y.","Other degree","39","0.0529241722322444","0.0376470860038509","0.0682012584606379"
"8","2004","35-65 y.","no degree/no degree yet","3","","",""
"8","2004","66 and older","lower secondary degree","67","0.0274522736883715","0.0209808725662632","0.0339236748104799"
"8","2004","66 and older","secondary school degree","21","","",""
"8","2004","66 and older","college entrance qualification","46","0.0730876385961489","0.0511347075491006","0.0950405696431973"
"8","2004","66 and older","Other degree","4","","",""
"8","2004","66 and older","no degree/no degree yet","","","",""
"9","2004","16-34 y.","lower secondary degree","27","","",""
"9","2004","16-34 y.","secondary school degree","43","0.0291377892211237","0.021297825410798","0.0369777530314493"
"9","2004","16-34 y.","college entrance qualification","37","0.013708659327421","0.0081150240053449","0.0193022946494971"
"9","2004","16-34 y.","Other degree","2","","",""
"9","2004","16-34 y.","no degree/no degree yet","33","0.0423427566553637","0.0271628410767008","0.0575226722340267"
"9","2004","35-65 y.","lower secondary degree","60","0.0134286804276404","0.0098881691132317","0.016969191742049"
"9","2004","35-65 y.","secondary school degree","59","0.0118621512930744","0.00849564597295254","0.0152286566131962"
"9","2004","35-65 y.","college entrance qualification","73","0.0252642820730843","0.0197997569672983","0.0307288071788704"
"9","2004","35-65 y.","Other degree","11","","",""
"9","2004","35-65 y.","no degree/no degree yet","3","","",""
"9","2004","66 and older","lower secondary degree","10","","",""
"9","2004","66 and older","secondary school degree","5","","",""
"9","2004","66 and older","college entrance qualification","6","","",""
"9","2004","66 and older","Other degree","1","","",""
