"plh0204_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"3","2007","no degree/no degree yet","general elemantary","","","",""
"3","2007","no degree/no degree yet","middle vocational","","","",""
"3","2007","no degree/no degree yet","vocational + Abi","","","",""
"3","2007","no degree/no degree yet","higher vocational","","","",""
"3","2007","no degree/no degree yet","higher education","","","",""
"4","2007","lower secondary degree","in school","","","",""
"4","2007","lower secondary degree","inadequately","","","",""
"4","2007","lower secondary degree","general elemantary","","","",""
"4","2007","lower secondary degree","middle vocational","","","",""
"4","2007","lower secondary degree","vocational + Abi","","","",""
"4","2007","lower secondary degree","higher vocational","","","",""
"4","2007","lower secondary degree","higher education","","","",""
"4","2007","secondary school degree","in school","","","",""
"4","2007","secondary school degree","inadequately","","","",""
"4","2007","secondary school degree","general elemantary","","","",""
"4","2007","secondary school degree","middle vocational","","","",""
"4","2007","secondary school degree","vocational + Abi","","","",""
"4","2007","secondary school degree","higher vocational","","","",""
"4","2007","secondary school degree","higher education","","","",""
"4","2007","college entrance qualification","in school","","","",""
"4","2007","college entrance qualification","inadequately","","","",""
"4","2007","college entrance qualification","general elemantary","","","",""
"4","2007","college entrance qualification","middle vocational","","","",""
"4","2007","college entrance qualification","vocational + Abi","","","",""
"4","2007","college entrance qualification","higher vocational","","","",""
"4","2007","college entrance qualification","higher education","","","",""
"4","2007","Other degree","in school","","","",""
"4","2007","Other degree","inadequately","","","",""
"4","2007","Other degree","general elemantary","","","",""
"4","2007","Other degree","middle vocational","","","",""
"4","2007","Other degree","vocational + Abi","","","",""
"4","2007","Other degree","higher vocational","","","",""
"4","2007","Other degree","higher education","","","",""
"4","2007","no degree/no degree yet","in school","","","",""
"4","2007","no degree/no degree yet","inadequately","","","",""
"4","2007","no degree/no degree yet","general elemantary","","","",""
"4","2007","no degree/no degree yet","middle vocational","","","",""
"4","2007","no degree/no degree yet","vocational + Abi","","","",""
"4","2007","no degree/no degree yet","higher vocational","","","",""
"4","2007","no degree/no degree yet","higher education","","","",""
"5","2007","lower secondary degree","in school","","","",""
"5","2007","lower secondary degree","inadequately","","","",""
"5","2007","lower secondary degree","general elemantary","","","",""
"5","2007","lower secondary degree","middle vocational","","","",""
"5","2007","lower secondary degree","vocational + Abi","","","",""
"5","2007","lower secondary degree","higher vocational","","","",""
"5","2007","lower secondary degree","higher education","","","",""
"5","2007","secondary school degree","in school","","","",""
"5","2007","secondary school degree","inadequately","","","",""
"5","2007","secondary school degree","general elemantary","","","",""
"5","2007","secondary school degree","middle vocational","","","",""
"5","2007","secondary school degree","vocational + Abi","","","",""
"5","2007","secondary school degree","higher vocational","","","",""
"5","2007","secondary school degree","higher education","","","",""
"5","2007","college entrance qualification","in school","","","",""
"5","2007","college entrance qualification","inadequately","","","",""
"5","2007","college entrance qualification","general elemantary","","","",""
"5","2007","college entrance qualification","middle vocational","","","",""
"5","2007","college entrance qualification","vocational + Abi","","","",""
"5","2007","college entrance qualification","higher vocational","","","",""
"5","2007","college entrance qualification","higher education","","","",""
"5","2007","Other degree","in school","","","",""
"5","2007","Other degree","inadequately","","","",""
"5","2007","Other degree","general elemantary","","","",""
"5","2007","Other degree","middle vocational","","","",""
"5","2007","Other degree","vocational + Abi","","","",""
"5","2007","Other degree","higher vocational","","","",""
"5","2007","Other degree","higher education","","","",""
"5","2007","no degree/no degree yet","in school","","","",""
"5","2007","no degree/no degree yet","inadequately","","","",""
"5","2007","no degree/no degree yet","general elemantary","","","",""
"5","2007","no degree/no degree yet","middle vocational","","","",""
"5","2007","no degree/no degree yet","vocational + Abi","","","",""
"5","2007","no degree/no degree yet","higher vocational","","","",""
"5","2007","no degree/no degree yet","higher education","","","",""
"6","2007","lower secondary degree","in school","","","",""
"6","2007","lower secondary degree","inadequately","","","",""
"6","2007","lower secondary degree","general elemantary","","","",""
"6","2007","lower secondary degree","middle vocational","","","",""
"6","2007","lower secondary degree","vocational + Abi","","","",""
"6","2007","lower secondary degree","higher vocational","","","",""
"6","2007","lower secondary degree","higher education","","","",""
"6","2007","secondary school degree","in school","","","",""
"6","2007","secondary school degree","inadequately","","","",""
"6","2007","secondary school degree","general elemantary","","","",""
"6","2007","secondary school degree","middle vocational","","","",""
"6","2007","secondary school degree","vocational + Abi","","","",""
"6","2007","secondary school degree","higher vocational","","","",""
"6","2007","secondary school degree","higher education","","","",""
"6","2007","college entrance qualification","in school","","","",""
"6","2007","college entrance qualification","inadequately","","","",""
"6","2007","college entrance qualification","general elemantary","","","",""
"6","2007","college entrance qualification","middle vocational","","","",""
"6","2007","college entrance qualification","vocational + Abi","","","",""
"6","2007","college entrance qualification","higher vocational","","","",""
"6","2007","college entrance qualification","higher education","","","",""
"6","2007","Other degree","in school","","","",""
"6","2007","Other degree","inadequately","","","",""
"6","2007","Other degree","general elemantary","","","",""
"6","2007","Other degree","middle vocational","","","",""
"6","2007","Other degree","vocational + Abi","","","",""
"6","2007","Other degree","higher vocational","","","",""
"6","2007","Other degree","higher education","","","",""
"6","2007","no degree/no degree yet","in school","","","",""
"6","2007","no degree/no degree yet","inadequately","","","",""
"6","2007","no degree/no degree yet","general elemantary","","","",""
"6","2007","no degree/no degree yet","middle vocational","","","",""
"6","2007","no degree/no degree yet","vocational + Abi","","","",""
"6","2007","no degree/no degree yet","higher vocational","","","",""
"6","2007","no degree/no degree yet","higher education","","","",""
"7","2007","lower secondary degree","in school","","","",""
"7","2007","lower secondary degree","inadequately","","","",""
"7","2007","lower secondary degree","general elemantary","","","",""
"7","2007","lower secondary degree","middle vocational","","","",""
"7","2007","lower secondary degree","vocational + Abi","","","",""
"7","2007","lower secondary degree","higher vocational","","","",""
"7","2007","lower secondary degree","higher education","","","",""
"7","2007","secondary school degree","in school","","","",""
"7","2007","secondary school degree","inadequately","","","",""
"7","2007","secondary school degree","general elemantary","","","",""
"7","2007","secondary school degree","middle vocational","","","",""
"7","2007","secondary school degree","vocational + Abi","","","",""
"7","2007","secondary school degree","higher vocational","","","",""
"7","2007","secondary school degree","higher education","","","",""
"7","2007","college entrance qualification","in school","","","",""
"7","2007","college entrance qualification","inadequately","","","",""
"7","2007","college entrance qualification","general elemantary","","","",""
"7","2007","college entrance qualification","middle vocational","","","",""
"7","2007","college entrance qualification","vocational + Abi","","","",""
"7","2007","college entrance qualification","higher vocational","","","",""
"7","2007","college entrance qualification","higher education","","","",""
"7","2007","Other degree","in school","","","",""
"7","2007","Other degree","inadequately","","","",""
"7","2007","Other degree","general elemantary","","","",""
"7","2007","Other degree","middle vocational","","","",""
"7","2007","Other degree","vocational + Abi","","","",""
"7","2007","Other degree","higher vocational","","","",""
"7","2007","Other degree","higher education","","","",""
"7","2007","no degree/no degree yet","in school","","","",""
"7","2007","no degree/no degree yet","inadequately","","","",""
"7","2007","no degree/no degree yet","general elemantary","","","",""
"7","2007","no degree/no degree yet","middle vocational","","","",""
"7","2007","no degree/no degree yet","vocational + Abi","","","",""
"7","2007","no degree/no degree yet","higher vocational","","","",""
"7","2007","no degree/no degree yet","higher education","","","",""
"8","2007","lower secondary degree","in school","","","",""
"8","2007","lower secondary degree","inadequately","","","",""
"8","2007","lower secondary degree","general elemantary","","","",""
"8","2007","lower secondary degree","middle vocational","","","",""
"8","2007","lower secondary degree","vocational + Abi","","","",""
"8","2007","lower secondary degree","higher vocational","","","",""
"8","2007","lower secondary degree","higher education","","","",""
"8","2007","secondary school degree","in school","","","",""
"8","2007","secondary school degree","inadequately","","","",""
"8","2007","secondary school degree","general elemantary","","","",""
"8","2007","secondary school degree","middle vocational","","","",""
"8","2007","secondary school degree","vocational + Abi","","","",""
"8","2007","secondary school degree","higher vocational","","","",""
"8","2007","secondary school degree","higher education","","","",""
"8","2007","college entrance qualification","in school","","","",""
"8","2007","college entrance qualification","inadequately","","","",""
"8","2007","college entrance qualification","general elemantary","","","",""
"8","2007","college entrance qualification","middle vocational","","","",""
"8","2007","college entrance qualification","vocational + Abi","","","",""
"8","2007","college entrance qualification","higher vocational","","","",""
"8","2007","college entrance qualification","higher education","","","",""
"8","2007","Other degree","in school","","","",""
"8","2007","Other degree","inadequately","","","",""
"8","2007","Other degree","general elemantary","","","",""
"8","2007","Other degree","middle vocational","","","",""
"8","2007","Other degree","vocational + Abi","","","",""
"8","2007","Other degree","higher vocational","","","",""
"8","2007","Other degree","higher education","","","",""
"8","2007","no degree/no degree yet","in school","","","",""
"8","2007","no degree/no degree yet","inadequately","","","",""
"8","2007","no degree/no degree yet","general elemantary","","","",""
"8","2007","no degree/no degree yet","middle vocational","","","",""
"8","2007","no degree/no degree yet","vocational + Abi","","","",""
"8","2007","no degree/no degree yet","higher vocational","","","",""
"8","2007","no degree/no degree yet","higher education","","","",""
"9","2007","lower secondary degree","in school","","","",""
"9","2007","lower secondary degree","inadequately","","","",""
"9","2007","lower secondary degree","general elemantary","","","",""
"9","2007","lower secondary degree","middle vocational","","","",""
"9","2007","lower secondary degree","vocational + Abi","","","",""
"9","2007","lower secondary degree","higher vocational","","","",""
"9","2007","lower secondary degree","higher education","","","",""
"9","2007","secondary school degree","in school","","","",""
"9","2007","secondary school degree","inadequately","","","",""
"9","2007","secondary school degree","general elemantary","","","",""
"9","2007","secondary school degree","middle vocational","","","",""
"9","2007","secondary school degree","vocational + Abi","","","",""
"9","2007","secondary school degree","higher vocational","","","",""
"9","2007","secondary school degree","higher education","","","",""
"9","2007","college entrance qualification","in school","","","",""
"9","2007","college entrance qualification","inadequately","","","",""
"9","2007","college entrance qualification","general elemantary","","","",""
"9","2007","college entrance qualification","middle vocational","","","",""
"9","2007","college entrance qualification","vocational + Abi","","","",""
"9","2007","college entrance qualification","higher vocational","","","",""
"9","2007","college entrance qualification","higher education","","","",""
"9","2007","Other degree","in school","","","",""
"9","2007","Other degree","inadequately","","","",""
"9","2007","Other degree","general elemantary","","","",""
"9","2007","Other degree","middle vocational","","","",""
"9","2007","Other degree","vocational + Abi","","","",""
"9","2007","Other degree","higher vocational","","","",""
"9","2007","Other degree","higher education","","","",""
"9","2007","no degree/no degree yet","in school","","","",""
"9","2007","no degree/no degree yet","inadequately","","","",""
"9","2007","no degree/no degree yet","general elemantary","","","",""
"9","2007","no degree/no degree yet","middle vocational","","","",""
"9","2007","no degree/no degree yet","vocational + Abi","","","",""
"9","2007","no degree/no degree yet","higher vocational","","","",""
"9","2007","no degree/no degree yet","higher education","","","",""
"10 Very willing to take risks","2007","lower secondary degree","in school","","","",""
"10 Very willing to take risks","2007","lower secondary degree","inadequately","","","",""
"10 Very willing to take risks","2007","lower secondary degree","general elemantary","","","",""
"10 Very willing to take risks","2007","lower secondary degree","middle vocational","","","",""
"10 Very willing to take risks","2007","lower secondary degree","vocational + Abi","","","",""
"10 Very willing to take risks","2007","lower secondary degree","higher vocational","","","",""
"10 Very willing to take risks","2007","lower secondary degree","higher education","","","",""
"10 Very willing to take risks","2007","secondary school degree","in school","","","",""
"10 Very willing to take risks","2007","secondary school degree","inadequately","","","",""
"10 Very willing to take risks","2007","secondary school degree","general elemantary","","","",""
"10 Very willing to take risks","2007","secondary school degree","middle vocational","","","",""
"10 Very willing to take risks","2007","secondary school degree","vocational + Abi","","","",""
"10 Very willing to take risks","2007","secondary school degree","higher vocational","","","",""
"10 Very willing to take risks","2007","secondary school degree","higher education","","","",""
"10 Very willing to take risks","2007","college entrance qualification","in school","","","",""
"10 Very willing to take risks","2007","college entrance qualification","inadequately","","","",""
"10 Very willing to take risks","2007","college entrance qualification","general elemantary","","","",""
"10 Very willing to take risks","2007","college entrance qualification","middle vocational","","","",""
"10 Very willing to take risks","2007","college entrance qualification","vocational + Abi","","","",""
"10 Very willing to take risks","2007","college entrance qualification","higher vocational","","","",""
"10 Very willing to take risks","2007","college entrance qualification","higher education","","","",""
"10 Very willing to take risks","2007","Other degree","in school","","","",""
"10 Very willing to take risks","2007","Other degree","inadequately","","","",""
"10 Very willing to take risks","2007","Other degree","general elemantary","","","",""
"10 Very willing to take risks","2007","Other degree","middle vocational","","","",""
"10 Very willing to take risks","2007","Other degree","vocational + Abi","","","",""
"10 Very willing to take risks","2007","Other degree","higher vocational","","","",""
"10 Very willing to take risks","2007","Other degree","higher education","","","",""
"10 Very willing to take risks","2007","no degree/no degree yet","in school","","","",""
"10 Very willing to take risks","2007","no degree/no degree yet","inadequately","","","",""
"10 Very willing to take risks","2007","no degree/no degree yet","general elemantary","","","",""
"10 Very willing to take risks","2007","no degree/no degree yet","middle vocational","","","",""
"10 Very willing to take risks","2007","no degree/no degree yet","vocational + Abi","","","",""
"10 Very willing to take risks","2007","no degree/no degree yet","higher vocational","","","",""
"10 Very willing to take risks","2007","no degree/no degree yet","higher education","","","",""
"0 Not at all Willing to take risks","2008","lower secondary degree","in school","","","",""
"0 Not at all Willing to take risks","2008","lower secondary degree","inadequately","","","",""
"0 Not at all Willing to take risks","2008","lower secondary degree","general elemantary","131","0.121225281952483","0.103489725411125","0.13896083849384"
"0 Not at all Willing to take risks","2008","lower secondary degree","middle vocational","302","0.0677628184450255","0.0604821854808117","0.0750434514092394"
"0 Not at all Willing to take risks","2008","lower secondary degree","vocational + Abi","3","","",""
"0 Not at all Willing to take risks","2008","lower secondary degree","higher vocational","19","","",""
"0 Not at all Willing to take risks","2008","lower secondary degree","higher education","6","","",""
"0 Not at all Willing to take risks","2008","secondary school degree","in school","","","",""
"0 Not at all Willing to take risks","2008","secondary school degree","inadequately","","","",""
"0 Not at all Willing to take risks","2008","secondary school degree","general elemantary","8","","",""
"0 Not at all Willing to take risks","2008","secondary school degree","middle vocational","153","0.0411065839081246","0.0349631881898941","0.0472499796263552"
"0 Not at all Willing to take risks","2008","secondary school degree","vocational + Abi","2","","",""
"0 Not at all Willing to take risks","2008","secondary school degree","higher vocational","17","","",""
"0 Not at all Willing to take risks","2008","secondary school degree","higher education","10","","",""
"0 Not at all Willing to take risks","2008","college entrance qualification","in school","","","",""
"0 Not at all Willing to take risks","2008","college entrance qualification","inadequately","","","",""
"0 Not at all Willing to take risks","2008","college entrance qualification","general elemantary","","","",""
"0 Not at all Willing to take risks","2008","college entrance qualification","middle vocational","10","","",""
"0 Not at all Willing to take risks","2008","college entrance qualification","vocational + Abi","24","","",""
"0 Not at all Willing to take risks","2008","college entrance qualification","higher vocational","6","","",""
"0 Not at all Willing to take risks","2008","college entrance qualification","higher education","56","0.0186403342249406","0.0139549392906766","0.0233257291592045"
"0 Not at all Willing to take risks","2008","Other degree","in school","","","",""
"0 Not at all Willing to take risks","2008","Other degree","inadequately","3","","",""
"0 Not at all Willing to take risks","2008","Other degree","general elemantary","38","0.115175979798515","0.0756040257272104","0.15474793386982"
"0 Not at all Willing to take risks","2008","Other degree","middle vocational","23","","",""
"0 Not at all Willing to take risks","2008","Other degree","vocational + Abi","6","","",""
"0 Not at all Willing to take risks","2008","Other degree","higher vocational","3","","",""
"0 Not at all Willing to take risks","2008","Other degree","higher education","3","","",""
"0 Not at all Willing to take risks","2008","no degree/no degree yet","in school","5","","",""
"0 Not at all Willing to take risks","2008","no degree/no degree yet","inadequately","24","","",""
"0 Not at all Willing to take risks","2008","no degree/no degree yet","general elemantary","","","",""
"0 Not at all Willing to take risks","2008","no degree/no degree yet","middle vocational","3","","",""
"0 Not at all Willing to take risks","2008","no degree/no degree yet","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2008","no degree/no degree yet","higher vocational","1","","",""
"0 Not at all Willing to take risks","2008","no degree/no degree yet","higher education","","","",""
"1","2008","lower secondary degree","in school","","","",""
"1","2008","lower secondary degree","inadequately","","","",""
"1","2008","lower secondary degree","general elemantary","124","0.104016585997752","0.0874279481668057","0.120605223828698"
"1","2008","lower secondary degree","middle vocational","316","0.0677053297122187","0.0604275613905788","0.0749830980338587"
"1","2008","lower secondary degree","vocational + Abi","","","",""
"1","2008","lower secondary degree","higher vocational","27","","",""
"1","2008","lower secondary degree","higher education","3","","",""
"1","2008","secondary school degree","in school","","","",""
"1","2008","secondary school degree","inadequately","","","",""
"1","2008","secondary school degree","general elemantary","22","","",""
"1","2008","secondary school degree","middle vocational","187","0.0429236544294508","0.0366518968250683","0.0491954120338333"
"1","2008","secondary school degree","vocational + Abi","2","","",""
"1","2008","secondary school degree","higher vocational","23","","",""
"1","2008","secondary school degree","higher education","29","","",""
"1","2008","college entrance qualification","in school","","","",""
"1","2008","college entrance qualification","inadequately","","","",""
"1","2008","college entrance qualification","general elemantary","","","",""
"1","2008","college entrance qualification","middle vocational","18","","",""
"1","2008","college entrance qualification","vocational + Abi","46","0.04481429822394","0.031581018238009","0.058047578209871"
"1","2008","college entrance qualification","higher vocational","11","","",""
"1","2008","college entrance qualification","higher education","108","0.0353055241117993","0.0289122771449095","0.0416987710786892"
"1","2008","Other degree","in school","","","",""
"1","2008","Other degree","inadequately","5","","",""
"1","2008","Other degree","general elemantary","30","0.119084138095823","0.0789353666357972","0.15923290955585"
"1","2008","Other degree","middle vocational","29","","",""
"1","2008","Other degree","vocational + Abi","10","","",""
"1","2008","Other degree","higher vocational","2","","",""
"1","2008","Other degree","higher education","10","","",""
"1","2008","no degree/no degree yet","in school","5","","",""
"1","2008","no degree/no degree yet","inadequately","20","","",""
"1","2008","no degree/no degree yet","general elemantary","","","",""
"1","2008","no degree/no degree yet","middle vocational","2","","",""
"1","2008","no degree/no degree yet","vocational + Abi","","","",""
"1","2008","no degree/no degree yet","higher vocational","","","",""
"1","2008","no degree/no degree yet","higher education","","","",""
"2","2008","lower secondary degree","in school","","","",""
"2","2008","lower secondary degree","inadequately","","","",""
"2","2008","lower secondary degree","general elemantary","198","0.142269011698228","0.123287091188956","0.161250932207499"
"2","2008","lower secondary degree","middle vocational","635","0.135083596142722","0.125182151341752","0.144985040943691"
"2","2008","lower secondary degree","vocational + Abi","3","","",""
"2","2008","lower secondary degree","higher vocational","59","0.140234133526815","0.106946960194809","0.17352130685882"
"2","2008","lower secondary degree","higher education","16","","",""
"2","2008","secondary school degree","in school","","","",""
"2","2008","secondary school degree","inadequately","","","",""
"2","2008","secondary school degree","general elemantary","44","0.102507610280285","0.0754295211279056","0.129585699432665"
"2","2008","secondary school degree","middle vocational","491","0.115982470887996","0.106074282724629","0.125890659051363"
"2","2008","secondary school degree","vocational + Abi","6","","",""
"2","2008","secondary school degree","higher vocational","84","0.140544976884234","0.113297435325978","0.16779251844249"
"2","2008","secondary school degree","higher education","66","0.0969504057017535","0.0734502867255429","0.120450524677964"
"2","2008","college entrance qualification","in school","","","",""
"2","2008","college entrance qualification","inadequately","","","",""
"2","2008","college entrance qualification","general elemantary","","","",""
"2","2008","college entrance qualification","middle vocational","68","0.0954207974388717","0.0733550138161957","0.117486581061548"
"2","2008","college entrance qualification","vocational + Abi","115","0.125139025145764","0.103975831746838","0.146302218544691"
"2","2008","college entrance qualification","higher vocational","28","","",""
"2","2008","college entrance qualification","higher education","341","0.111596804930912","0.100689029447573","0.122504580414251"
"2","2008","Other degree","in school","","","",""
"2","2008","Other degree","inadequately","5","","",""
"2","2008","Other degree","general elemantary","42","0.196531587769772","0.147273372562317","0.245789802977227"
"2","2008","Other degree","middle vocational","47","0.164896197843444","0.124301330528878","0.205491065158011"
"2","2008","Other degree","vocational + Abi","19","","",""
"2","2008","Other degree","higher vocational","7","","",""
"2","2008","Other degree","higher education","17","","",""
"2","2008","no degree/no degree yet","in school","14","","",""
"2","2008","no degree/no degree yet","inadequately","20","","",""
"2","2008","no degree/no degree yet","general elemantary","","","",""
"2","2008","no degree/no degree yet","middle vocational","3","","",""
"2","2008","no degree/no degree yet","vocational + Abi","","","",""
"2","2008","no degree/no degree yet","higher vocational","","","",""
"2","2008","no degree/no degree yet","higher education","","","",""
"3","2008","lower secondary degree","in school","","","",""
"3","2008","lower secondary degree","inadequately","","","",""
"3","2008","lower secondary degree","general elemantary","184","0.11941928834931","0.101798259333621","0.137040317365"
"3","2008","lower secondary degree","middle vocational","681","0.15115200161431","0.140775950257823","0.161528052970797"
"3","2008","lower secondary degree","vocational + Abi","2","","",""
"3","2008","lower secondary degree","higher vocational","59","0.110978678795446","0.0808669414481952","0.141090416142696"
"3","2008","lower secondary degree","higher education","27","","",""
"3","2008","secondary school degree","in school","","","",""
"3","2008","secondary school degree","inadequately","","","",""
"3","2008","secondary school degree","general elemantary","65","0.132544086757234","0.102272969078187","0.16281520443628"
"3","2008","secondary school degree","middle vocational","642","0.152553912993679","0.141428008077361","0.163679817909998"
"3","2008","secondary school degree","vocational + Abi","3","","",""
"3","2008","secondary school degree","higher vocational","90","0.159912343638264","0.131177331942057","0.188647355334471"
"3","2008","secondary school degree","higher education","101","0.222334946174318","0.189310191418182","0.255359700930455"
"3","2008","college entrance qualification","in school","","","",""
"3","2008","college entrance qualification","inadequately","","","",""
"3","2008","college entrance qualification","general elemantary","","","",""
"3","2008","college entrance qualification","middle vocational","99","0.132531130432416","0.107065147982703","0.157997112882129"
"3","2008","college entrance qualification","vocational + Abi","161","0.160791436080042","0.137296097627786","0.184286774532298"
"3","2008","college entrance qualification","higher vocational","43","0.160806193053767","0.120367139725723","0.201245246381811"
"3","2008","college entrance qualification","higher education","509","0.156498454100869","0.143912005073563","0.169084903128175"
"3","2008","Other degree","in school","","","",""
"3","2008","Other degree","inadequately","4","","",""
"3","2008","Other degree","general elemantary","28","","",""
"3","2008","Other degree","middle vocational","42","0.0942071798199541","0.062251209195871","0.126163150444037"
"3","2008","Other degree","vocational + Abi","15","","",""
"3","2008","Other degree","higher vocational","9","","",""
"3","2008","Other degree","higher education","18","","",""
"3","2008","no degree/no degree yet","in school","49","0.175286090501046","0.13562303885716","0.214949142144931"
"3","2008","no degree/no degree yet","inadequately","20","","",""
"3","2008","no degree/no degree yet","general elemantary","","","",""
"3","2008","no degree/no degree yet","middle vocational","7","","",""
"3","2008","no degree/no degree yet","vocational + Abi","","","",""
"3","2008","no degree/no degree yet","higher vocational","","","",""
"3","2008","no degree/no degree yet","higher education","2","","",""
"4","2008","lower secondary degree","in school","","","",""
"4","2008","lower secondary degree","inadequately","","","",""
"4","2008","lower secondary degree","general elemantary","103","0.0763453237907047","0.0619156843261445","0.0907749632552649"
"4","2008","lower secondary degree","middle vocational","507","0.112455743560514","0.10330416469804","0.121607322422987"
"4","2008","lower secondary degree","vocational + Abi","","","",""
"4","2008","lower secondary degree","higher vocational","41","0.104093831062638","0.0748183722663848","0.133369289858891"
"4","2008","lower secondary degree","higher education","13","","",""
"4","2008","secondary school degree","in school","","","",""
"4","2008","secondary school degree","inadequately","","","",""
"4","2008","secondary school degree","general elemantary","39","0.0757859860468707","0.0521591645903875","0.0994128075033539"
"4","2008","secondary school degree","middle vocational","480","0.119744051468695","0.109697914680414","0.129790188256975"
"4","2008","secondary school degree","vocational + Abi","5","","",""
"4","2008","secondary school degree","higher vocational","77","0.122833352199271","0.0970993526163578","0.148567351782184"
"4","2008","secondary school degree","higher education","65","0.109950783739048","0.085105405056845","0.134796162421252"
"4","2008","college entrance qualification","in school","","","",""
"4","2008","college entrance qualification","inadequately","","","",""
"4","2008","college entrance qualification","general elemantary","","","",""
"4","2008","college entrance qualification","middle vocational","81","0.0948221626496584","0.0728184269775142","0.116825898321803"
"4","2008","college entrance qualification","vocational + Abi","133","0.158718269841614","0.135346075759898","0.182090463923331"
"4","2008","college entrance qualification","higher vocational","48","0.150879030454443","0.111477083198792","0.190280977710094"
"4","2008","college entrance qualification","higher education","395","0.118537782788222","0.107339910642348","0.129735654934095"
"4","2008","Other degree","in school","","","",""
"4","2008","Other degree","inadequately","2","","",""
"4","2008","Other degree","general elemantary","35","0.134008906818216","0.0917807980472903","0.176237015589141"
"4","2008","Other degree","middle vocational","29","","",""
"4","2008","Other degree","vocational + Abi","10","","",""
"4","2008","Other degree","higher vocational","3","","",""
"4","2008","Other degree","higher education","21","","",""
"4","2008","no degree/no degree yet","in school","44","0.140186106735058","0.103968858080464","0.176403355389652"
"4","2008","no degree/no degree yet","inadequately","15","","",""
"4","2008","no degree/no degree yet","general elemantary","","","",""
"4","2008","no degree/no degree yet","middle vocational","4","","",""
"4","2008","no degree/no degree yet","vocational + Abi","","","",""
"4","2008","no degree/no degree yet","higher vocational","","","",""
"4","2008","no degree/no degree yet","higher education","","","",""
"5","2008","lower secondary degree","in school","","","",""
"5","2008","lower secondary degree","inadequately","","","",""
"5","2008","lower secondary degree","general elemantary","229","0.16727480082296","0.146994445631195","0.187555156014725"
"5","2008","lower secondary degree","middle vocational","922","0.205213232906851","0.193514517076282","0.216911948737419"
"5","2008","lower secondary degree","vocational + Abi","4","","",""
"5","2008","lower secondary degree","higher vocational","85","0.227732561458419","0.187529754408712","0.267935368508126"
"5","2008","lower secondary degree","higher education","50","0.337663399513407","0.267993877742589","0.407332921284226"
"5","2008","secondary school degree","in school","","","",""
"5","2008","secondary school degree","inadequately","","","",""
"5","2008","secondary school degree","general elemantary","109","0.245502681628758","0.207080542319118","0.283924820938398"
"5","2008","secondary school degree","middle vocational","843","0.214044284927062","0.201352623288898","0.226735946565227"
"5","2008","secondary school degree","vocational + Abi","7","","",""
"5","2008","secondary school degree","higher vocational","139","0.174480758219711","0.144726751788625","0.204234764650797"
"5","2008","secondary school degree","higher education","122","0.1934474271736","0.162075784177675","0.224819070169525"
"5","2008","college entrance qualification","in school","","","",""
"5","2008","college entrance qualification","inadequately","","","",""
"5","2008","college entrance qualification","general elemantary","","","",""
"5","2008","college entrance qualification","middle vocational","131","0.201478329300972","0.171352982241453","0.231603676360491"
"5","2008","college entrance qualification","vocational + Abi","154","0.156398444771532","0.133165717418557","0.179631172124508"
"5","2008","college entrance qualification","higher vocational","70","0.218728694268486","0.173222315522968","0.264235073014004"
"5","2008","college entrance qualification","higher education","604","0.188991098936719","0.17542863053082","0.202553567342618"
"5","2008","Other degree","in school","","","",""
"5","2008","Other degree","inadequately","9","","",""
"5","2008","Other degree","general elemantary","33","0.153526367720073","0.1088398727789","0.198212862661246"
"5","2008","Other degree","middle vocational","62","0.192139284449236","0.149039816965642","0.23523875193283"
"5","2008","Other degree","vocational + Abi","17","","",""
"5","2008","Other degree","higher vocational","13","","",""
"5","2008","Other degree","higher education","33","0.260622567505636","0.196315207589109","0.324929927422164"
"5","2008","no degree/no degree yet","in school","68","0.190169022105893","0.149230909362728","0.231107134849058"
"5","2008","no degree/no degree yet","inadequately","28","","",""
"5","2008","no degree/no degree yet","general elemantary","","","",""
"5","2008","no degree/no degree yet","middle vocational","9","","",""
"5","2008","no degree/no degree yet","vocational + Abi","","","",""
"5","2008","no degree/no degree yet","higher vocational","","","",""
"5","2008","no degree/no degree yet","higher education","","","",""
"6","2008","lower secondary degree","in school","","","",""
"6","2008","lower secondary degree","inadequately","","","",""
"6","2008","lower secondary degree","general elemantary","112","0.0958362105316215","0.0798407107485187","0.111831710314724"
"6","2008","lower secondary degree","middle vocational","399","0.0816501736995397","0.0737179888299766","0.0895823585691027"
"6","2008","lower secondary degree","vocational + Abi","3","","",""
"6","2008","lower secondary degree","higher vocational","49","0.117899344700511","0.0869839555135416","0.148814733887479"
"6","2008","lower secondary degree","higher education","22","","",""
"6","2008","secondary school degree","in school","","","",""
"6","2008","secondary school degree","inadequately","","","",""
"6","2008","secondary school degree","general elemantary","56","0.12219492364062","0.0929567528871926","0.151433094394048"
"6","2008","secondary school degree","middle vocational","417","0.112083147091377","0.10232148125468","0.121844812928074"
"6","2008","secondary school degree","vocational + Abi","1","","",""
"6","2008","secondary school degree","higher vocational","69","0.154056573598693","0.125754460668269","0.182358686529117"
"6","2008","secondary school degree","higher education","79","0.102155420910131","0.0781023386850669","0.126208503135194"
"6","2008","college entrance qualification","in school","","","",""
"6","2008","college entrance qualification","inadequately","","","",""
"6","2008","college entrance qualification","general elemantary","","","",""
