"plh0204_h","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"10 Very willing to take risks","2005","college entrance qualification","(2a) intermediate vocational","","","",""
"10 Very willing to take risks","2005","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"10 Very willing to take risks","2005","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"10 Very willing to take risks","2005","college entrance qualification","(3a) lower tertiary education","","","",""
"10 Very willing to take risks","2005","college entrance qualification","(3b) higher tertiary education","","","",""
"10 Very willing to take risks","2005","Other degree","(0) in school","","","",""
"10 Very willing to take risks","2005","Other degree","(1a) inadequately completed","","","",""
"10 Very willing to take risks","2005","Other degree","(1b) general elementary school","","","",""
"10 Very willing to take risks","2005","Other degree","(1c) basic vocational qualification","","","",""
"10 Very willing to take risks","2005","Other degree","(2b) intermediate general qualification","","","",""
"10 Very willing to take risks","2005","Other degree","(2a) intermediate vocational","","","",""
"10 Very willing to take risks","2005","Other degree","(2c_gen) general maturity certificate","","","",""
"10 Very willing to take risks","2005","Other degree","(2c_voc) vocational maturity certificate","","","",""
"10 Very willing to take risks","2005","Other degree","(3a) lower tertiary education","","","",""
"10 Very willing to take risks","2005","Other degree","(3b) higher tertiary education","","","",""
"10 Very willing to take risks","2005","no degree/no degree yet","(0) in school","","","",""
"10 Very willing to take risks","2005","no degree/no degree yet","(1a) inadequately completed","","","",""
"10 Very willing to take risks","2005","no degree/no degree yet","(1b) general elementary school","","","",""
"10 Very willing to take risks","2005","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"10 Very willing to take risks","2005","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"10 Very willing to take risks","2005","no degree/no degree yet","(2a) intermediate vocational","","","",""
"10 Very willing to take risks","2005","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"10 Very willing to take risks","2005","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"10 Very willing to take risks","2005","no degree/no degree yet","(3a) lower tertiary education","","","",""
"10 Very willing to take risks","2005","no degree/no degree yet","(3b) higher tertiary education","","","",""
"0 Not at all Willing to take risks","2006","lower secondary degree","(0) in school","","","",""
"0 Not at all Willing to take risks","2006","lower secondary degree","(1a) inadequately completed","","","",""
"0 Not at all Willing to take risks","2006","lower secondary degree","(1b) general elementary school","191","0.137317653123432","0.120303495107835","0.154331811139029"
"0 Not at all Willing to take risks","2006","lower secondary degree","(1c) basic vocational qualification","365","0.0716000068921948","0.0649428995405502","0.0782571142438394"
"0 Not at all Willing to take risks","2006","lower secondary degree","(2b) intermediate general qualification","","","",""
"0 Not at all Willing to take risks","2006","lower secondary degree","(2a) intermediate vocational","","","",""
"0 Not at all Willing to take risks","2006","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"0 Not at all Willing to take risks","2006","lower secondary degree","(2c_voc) vocational maturity certificate","3","","",""
"0 Not at all Willing to take risks","2006","lower secondary degree","(3a) lower tertiary education","6","","",""
"0 Not at all Willing to take risks","2006","lower secondary degree","(3b) higher tertiary education","1","","",""
"0 Not at all Willing to take risks","2006","secondary school degree","(0) in school","","","",""
"0 Not at all Willing to take risks","2006","secondary school degree","(1a) inadequately completed","","","",""
"0 Not at all Willing to take risks","2006","secondary school degree","(1b) general elementary school","","","",""
"0 Not at all Willing to take risks","2006","secondary school degree","(1c) basic vocational qualification","","","",""
"0 Not at all Willing to take risks","2006","secondary school degree","(2b) intermediate general qualification","19","","",""
"0 Not at all Willing to take risks","2006","secondary school degree","(2a) intermediate vocational","179","0.0364364691052694","0.0313145512539615","0.0415583869565772"
"0 Not at all Willing to take risks","2006","secondary school degree","(2c_gen) general maturity certificate","","","",""
"0 Not at all Willing to take risks","2006","secondary school degree","(2c_voc) vocational maturity certificate","2","","",""
"0 Not at all Willing to take risks","2006","secondary school degree","(3a) lower tertiary education","7","","",""
"0 Not at all Willing to take risks","2006","secondary school degree","(3b) higher tertiary education","1","","",""
"0 Not at all Willing to take risks","2006","college entrance qualification","(0) in school","","","",""
"0 Not at all Willing to take risks","2006","college entrance qualification","(1a) inadequately completed","","","",""
"0 Not at all Willing to take risks","2006","college entrance qualification","(1b) general elementary school","","","",""
"0 Not at all Willing to take risks","2006","college entrance qualification","(1c) basic vocational qualification","","","",""
"0 Not at all Willing to take risks","2006","college entrance qualification","(2b) intermediate general qualification","","","",""
"0 Not at all Willing to take risks","2006","college entrance qualification","(2a) intermediate vocational","","","",""
"0 Not at all Willing to take risks","2006","college entrance qualification","(2c_gen) general maturity certificate","6","","",""
"0 Not at all Willing to take risks","2006","college entrance qualification","(2c_voc) vocational maturity certificate","33","0.0260090229795193","0.0176657972970815","0.0343522486619572"
"0 Not at all Willing to take risks","2006","college entrance qualification","(3a) lower tertiary education","17","","",""
"0 Not at all Willing to take risks","2006","college entrance qualification","(3b) higher tertiary education","55","0.0254751948406789","0.019160931223811","0.0317894584575469"
"0 Not at all Willing to take risks","2006","Other degree","(0) in school","","","",""
"0 Not at all Willing to take risks","2006","Other degree","(1a) inadequately completed","","","",""
"0 Not at all Willing to take risks","2006","Other degree","(1b) general elementary school","61","0.180459747696328","0.141114672799044","0.219804822593612"
"0 Not at all Willing to take risks","2006","Other degree","(1c) basic vocational qualification","49","0.132008390264138","0.0984564033669038","0.165560377161372"
"0 Not at all Willing to take risks","2006","Other degree","(2b) intermediate general qualification","","","",""
"0 Not at all Willing to take risks","2006","Other degree","(2a) intermediate vocational","","","",""
"0 Not at all Willing to take risks","2006","Other degree","(2c_gen) general maturity certificate","5","","",""
"0 Not at all Willing to take risks","2006","Other degree","(2c_voc) vocational maturity certificate","10","","",""
"0 Not at all Willing to take risks","2006","Other degree","(3a) lower tertiary education","","","",""
"0 Not at all Willing to take risks","2006","Other degree","(3b) higher tertiary education","8","","",""
"0 Not at all Willing to take risks","2006","no degree/no degree yet","(0) in school","6","","",""
"0 Not at all Willing to take risks","2006","no degree/no degree yet","(1a) inadequately completed","37","0.137932104208939","0.0941231355513207","0.181741072866557"
"0 Not at all Willing to take risks","2006","no degree/no degree yet","(1b) general elementary school","","","",""
"0 Not at all Willing to take risks","2006","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"0 Not at all Willing to take risks","2006","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"0 Not at all Willing to take risks","2006","no degree/no degree yet","(2a) intermediate vocational","","","",""
"0 Not at all Willing to take risks","2006","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"0 Not at all Willing to take risks","2006","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"0 Not at all Willing to take risks","2006","no degree/no degree yet","(3a) lower tertiary education","","","",""
"0 Not at all Willing to take risks","2006","no degree/no degree yet","(3b) higher tertiary education","","","",""
"1","2006","lower secondary degree","(0) in school","","","",""
"1","2006","lower secondary degree","(1a) inadequately completed","","","",""
"1","2006","lower secondary degree","(1b) general elementary school","130","0.0861703836103985","0.0722985635125082","0.100042203708289"
"1","2006","lower secondary degree","(1c) basic vocational qualification","298","0.0515035041962542","0.0457966376248335","0.0572103707676749"
"1","2006","lower secondary degree","(2b) intermediate general qualification","","","",""
"1","2006","lower secondary degree","(2a) intermediate vocational","1","","",""
"1","2006","lower secondary degree","(2c_gen) general maturity certificate","2","","",""
"1","2006","lower secondary degree","(2c_voc) vocational maturity certificate","1","","",""
"1","2006","lower secondary degree","(3a) lower tertiary education","3","","",""
"1","2006","lower secondary degree","(3b) higher tertiary education","1","","",""
"1","2006","secondary school degree","(0) in school","","","",""
"1","2006","secondary school degree","(1a) inadequately completed","","","",""
"1","2006","secondary school degree","(1b) general elementary school","","","",""
"1","2006","secondary school degree","(1c) basic vocational qualification","","","",""
"1","2006","secondary school degree","(2b) intermediate general qualification","16","","",""
"1","2006","secondary school degree","(2a) intermediate vocational","172","0.0354829241770236","0.0304259707831227","0.0405398775709244"
"1","2006","secondary school degree","(2c_gen) general maturity certificate","","","",""
"1","2006","secondary school degree","(2c_voc) vocational maturity certificate","3","","",""
"1","2006","secondary school degree","(3a) lower tertiary education","12","","",""
"1","2006","secondary school degree","(3b) higher tertiary education","4","","",""
"1","2006","college entrance qualification","(0) in school","","","",""
"1","2006","college entrance qualification","(1a) inadequately completed","","","",""
"1","2006","college entrance qualification","(1b) general elementary school","","","",""
"1","2006","college entrance qualification","(1c) basic vocational qualification","","","",""
"1","2006","college entrance qualification","(2b) intermediate general qualification","","","",""
"1","2006","college entrance qualification","(2a) intermediate vocational","","","",""
"1","2006","college entrance qualification","(2c_gen) general maturity certificate","18","","",""
"1","2006","college entrance qualification","(2c_voc) vocational maturity certificate","33","0.0219138375512217","0.01423947554094","0.0295881995615034"
"1","2006","college entrance qualification","(3a) lower tertiary education","19","","",""
"1","2006","college entrance qualification","(3b) higher tertiary education","45","0.0213754153500196","0.0155793557126103","0.0271714749874289"
"1","2006","Other degree","(0) in school","","","",""
"1","2006","Other degree","(1a) inadequately completed","","","",""
"1","2006","Other degree","(1b) general elementary school","29","","",""
"1","2006","Other degree","(1c) basic vocational qualification","27","","",""
"1","2006","Other degree","(2b) intermediate general qualification","","","",""
"1","2006","Other degree","(2a) intermediate vocational","","","",""
"1","2006","Other degree","(2c_gen) general maturity certificate","2","","",""
"1","2006","Other degree","(2c_voc) vocational maturity certificate","5","","",""
"1","2006","Other degree","(3a) lower tertiary education","","","",""
"1","2006","Other degree","(3b) higher tertiary education","1","","",""
"1","2006","no degree/no degree yet","(0) in school","1","","",""
"1","2006","no degree/no degree yet","(1a) inadequately completed","19","","",""
"1","2006","no degree/no degree yet","(1b) general elementary school","","","",""
"1","2006","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"1","2006","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"1","2006","no degree/no degree yet","(2a) intermediate vocational","","","",""
"1","2006","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"1","2006","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"1","2006","no degree/no degree yet","(3a) lower tertiary education","","","",""
"1","2006","no degree/no degree yet","(3b) higher tertiary education","","","",""
"2","2006","lower secondary degree","(0) in school","","","",""
"2","2006","lower secondary degree","(1a) inadequately completed","","","",""
"2","2006","lower secondary degree","(1b) general elementary school","203","0.116082837484561","0.100248072902662","0.131917602066459"
"2","2006","lower secondary degree","(1c) basic vocational qualification","568","0.0989722811440205","0.0912616961292378","0.106682866158803"
"2","2006","lower secondary degree","(2b) intermediate general qualification","","","",""
"2","2006","lower secondary degree","(2a) intermediate vocational","2","","",""
"2","2006","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"2","2006","lower secondary degree","(2c_voc) vocational maturity certificate","3","","",""
"2","2006","lower secondary degree","(3a) lower tertiary education","6","","",""
"2","2006","lower secondary degree","(3b) higher tertiary education","2","","",""
"2","2006","secondary school degree","(0) in school","","","",""
"2","2006","secondary school degree","(1a) inadequately completed","","","",""
"2","2006","secondary school degree","(1b) general elementary school","","","",""
"2","2006","secondary school degree","(1c) basic vocational qualification","","","",""
"2","2006","secondary school degree","(2b) intermediate general qualification","42","0.0728768986350121","0.0517043835146622","0.0940494137553621"
"2","2006","secondary school degree","(2a) intermediate vocational","424","0.0832899279477328","0.0757366314336755","0.0908432244617901"
"2","2006","secondary school degree","(2c_gen) general maturity certificate","","","",""
"2","2006","secondary school degree","(2c_voc) vocational maturity certificate","4","","",""
"2","2006","secondary school degree","(3a) lower tertiary education","32","0.0476272579082482","0.0299877955034589","0.0652667203130374"
"2","2006","secondary school degree","(3b) higher tertiary education","11","","",""
"2","2006","college entrance qualification","(0) in school","","","",""
"2","2006","college entrance qualification","(1a) inadequately completed","","","",""
"2","2006","college entrance qualification","(1b) general elementary school","","","",""
"2","2006","college entrance qualification","(1c) basic vocational qualification","","","",""
"2","2006","college entrance qualification","(2b) intermediate general qualification","","","",""
"2","2006","college entrance qualification","(2a) intermediate vocational","","","",""
"2","2006","college entrance qualification","(2c_gen) general maturity certificate","48","0.0678176279809518","0.0499183616968614","0.0857168942650422"
"2","2006","college entrance qualification","(2c_voc) vocational maturity certificate","121","0.081009285370485","0.0667066038749188","0.0953119668660511"
"2","2006","college entrance qualification","(3a) lower tertiary education","75","0.0687861686394352","0.053521358712833","0.0840509785660374"
"2","2006","college entrance qualification","(3b) higher tertiary education","183","0.0782615997796265","0.0674982933580957","0.0890249062011573"
"2","2006","Other degree","(0) in school","","","",""
"2","2006","Other degree","(1a) inadequately completed","","","",""
"2","2006","Other degree","(1b) general elementary school","47","0.138514730638905","0.103173068750272","0.173856392527539"
"2","2006","Other degree","(1c) basic vocational qualification","36","0.0976187309898894","0.068200176654633","0.127037285325146"
"2","2006","Other degree","(2b) intermediate general qualification","","","",""
"2","2006","Other degree","(2a) intermediate vocational","","","",""
"2","2006","Other degree","(2c_gen) general maturity certificate","7","","",""
"2","2006","Other degree","(2c_voc) vocational maturity certificate","14","","",""
"2","2006","Other degree","(3a) lower tertiary education","3","","",""
"2","2006","Other degree","(3b) higher tertiary education","14","","",""
"2","2006","no degree/no degree yet","(0) in school","19","","",""
"2","2006","no degree/no degree yet","(1a) inadequately completed","36","0.122484133408725","0.0808329813549466","0.164135285462504"
"2","2006","no degree/no degree yet","(1b) general elementary school","","","",""
"2","2006","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"2","2006","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"2","2006","no degree/no degree yet","(2a) intermediate vocational","","","",""
"2","2006","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"2","2006","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"2","2006","no degree/no degree yet","(3a) lower tertiary education","","","",""
"2","2006","no degree/no degree yet","(3b) higher tertiary education","","","",""
"3","2006","lower secondary degree","(0) in school","","","",""
"3","2006","lower secondary degree","(1a) inadequately completed","","","",""
"3","2006","lower secondary degree","(1b) general elementary school","203","0.114114899733219","0.0983974639243734","0.129832335542065"
"3","2006","lower secondary degree","(1c) basic vocational qualification","774","0.135616664945453","0.126776279788172","0.144457050102735"
"3","2006","lower secondary degree","(2b) intermediate general qualification","","","",""
"3","2006","lower secondary degree","(2a) intermediate vocational","","","",""
"3","2006","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"3","2006","lower secondary degree","(2c_voc) vocational maturity certificate","2","","",""
"3","2006","lower secondary degree","(3a) lower tertiary education","9","","",""
"3","2006","lower secondary degree","(3b) higher tertiary education","3","","",""
"3","2006","secondary school degree","(0) in school","","","",""
"3","2006","secondary school degree","(1a) inadequately completed","","","",""
"3","2006","secondary school degree","(1b) general elementary school","","","",""
"3","2006","secondary school degree","(1c) basic vocational qualification","","","",""
"3","2006","secondary school degree","(2b) intermediate general qualification","49","0.0655599899766771","0.0453993663901115","0.0857206135632426"
"3","2006","secondary school degree","(2a) intermediate vocational","609","0.113890245024081","0.105206415050078","0.122574074998085"
"3","2006","secondary school degree","(2c_gen) general maturity certificate","","","",""
"3","2006","secondary school degree","(2c_voc) vocational maturity certificate","4","","",""
"3","2006","secondary school degree","(3a) lower tertiary education","67","0.119050200998585","0.0922279807470522","0.145872421250118"
"3","2006","secondary school degree","(3b) higher tertiary education","11","","",""
"3","2006","college entrance qualification","(0) in school","","","",""
"3","2006","college entrance qualification","(1a) inadequately completed","","","",""
"3","2006","college entrance qualification","(1b) general elementary school","","","",""
"3","2006","college entrance qualification","(1c) basic vocational qualification","","","",""
"3","2006","college entrance qualification","(2b) intermediate general qualification","","","",""
"3","2006","college entrance qualification","(2a) intermediate vocational","","","",""
"3","2006","college entrance qualification","(2c_gen) general maturity certificate","79","0.095540527057471","0.0746137734727151","0.116467280642227"
"3","2006","college entrance qualification","(2c_voc) vocational maturity certificate","167","0.105868706621856","0.0897407644913059","0.121996648752406"
"3","2006","college entrance qualification","(3a) lower tertiary education","135","0.13743466066548","0.116668305829227","0.158201015501732"
"3","2006","college entrance qualification","(3b) higher tertiary education","295","0.120358851560922","0.10731940108059","0.133398302041254"
"3","2006","Other degree","(0) in school","","","",""
"3","2006","Other degree","(1a) inadequately completed","","","",""
"3","2006","Other degree","(1b) general elementary school","51","0.122888175873567","0.0892991359495504","0.156477215797584"
"3","2006","Other degree","(1c) basic vocational qualification","44","0.123742948582758","0.0911040341750302","0.156381862990486"
"3","2006","Other degree","(2b) intermediate general qualification","","","",""
"3","2006","Other degree","(2a) intermediate vocational","","","",""
"3","2006","Other degree","(2c_gen) general maturity certificate","5","","",""
"3","2006","Other degree","(2c_voc) vocational maturity certificate","20","","",""
"3","2006","Other degree","(3a) lower tertiary education","3","","",""
"3","2006","Other degree","(3b) higher tertiary education","18","","",""
"3","2006","no degree/no degree yet","(0) in school","33","0.0838127092535275","0.0567915187256676","0.110833899781387"
"3","2006","no degree/no degree yet","(1a) inadequately completed","29","","",""
"3","2006","no degree/no degree yet","(1b) general elementary school","","","",""
"3","2006","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"3","2006","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"3","2006","no degree/no degree yet","(2a) intermediate vocational","","","",""
"3","2006","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"3","2006","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"3","2006","no degree/no degree yet","(3a) lower tertiary education","","","",""
"3","2006","no degree/no degree yet","(3b) higher tertiary education","","","",""
"4","2006","lower secondary degree","(0) in school","","","",""
"4","2006","lower secondary degree","(1a) inadequately completed","","","",""
"4","2006","lower secondary degree","(1b) general elementary school","141","0.084540478712908","0.0707882291635587","0.0982927282622573"
"4","2006","lower secondary degree","(1c) basic vocational qualification","599","0.0982150270097961","0.0905307691269283","0.105899284892664"
"4","2006","lower secondary degree","(2b) intermediate general qualification","","","",""
"4","2006","lower secondary degree","(2a) intermediate vocational","5","","",""
"4","2006","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"4","2006","lower secondary degree","(2c_voc) vocational maturity certificate","6","","",""
"4","2006","lower secondary degree","(3a) lower tertiary education","20","","",""
"4","2006","lower secondary degree","(3b) higher tertiary education","7","","",""
"4","2006","secondary school degree","(0) in school","","","",""
"4","2006","secondary school degree","(1a) inadequately completed","","","",""
"4","2006","secondary school degree","(1b) general elementary school","","","",""
"4","2006","secondary school degree","(1c) basic vocational qualification","","","",""
"4","2006","secondary school degree","(2b) intermediate general qualification","38","0.0680598376639202","0.0475459356043327","0.0885737397235077"
"4","2006","secondary school degree","(2a) intermediate vocational","519","0.103830450800976","0.0954920695087626","0.112168832093189"
"4","2006","secondary school degree","(2c_gen) general maturity certificate","","","",""
"4","2006","secondary school degree","(2c_voc) vocational maturity certificate","7","","",""
"4","2006","secondary school degree","(3a) lower tertiary education","64","0.139531408961196","0.11083301596785","0.168229801954542"
"4","2006","secondary school degree","(3b) higher tertiary education","8","","",""
"4","2006","college entrance qualification","(0) in school","","","",""
"4","2006","college entrance qualification","(1a) inadequately completed","","","",""
"4","2006","college entrance qualification","(1b) general elementary school","","","",""
"4","2006","college entrance qualification","(1c) basic vocational qualification","","","",""
"4","2006","college entrance qualification","(2b) intermediate general qualification","","","",""
"4","2006","college entrance qualification","(2a) intermediate vocational","","","",""
"4","2006","college entrance qualification","(2c_gen) general maturity certificate","82","0.0957512174498322","0.0748038424813929","0.116698592418271"
"4","2006","college entrance qualification","(2c_voc) vocational maturity certificate","156","0.1235657557745","0.106315194136212","0.140816317412789"
"4","2006","college entrance qualification","(3a) lower tertiary education","114","0.115213672887945","0.0959567299226266","0.134470615853263"
"4","2006","college entrance qualification","(3b) higher tertiary education","276","0.120137435157992","0.107108344635163","0.133166525680821"
"4","2006","Other degree","(0) in school","","","",""
"4","2006","Other degree","(1a) inadequately completed","","","",""
"4","2006","Other degree","(1b) general elementary school","37","0.0969808404520846","0.0667042815903661","0.127257399313803"
"4","2006","Other degree","(1c) basic vocational qualification","52","0.122971965867897","0.0904205781372692","0.155523353598524"
"4","2006","Other degree","(2b) intermediate general qualification","","","",""
"4","2006","Other degree","(2a) intermediate vocational","","","",""
"4","2006","Other degree","(2c_gen) general maturity certificate","5","","",""
"4","2006","Other degree","(2c_voc) vocational maturity certificate","14","","",""
"4","2006","Other degree","(3a) lower tertiary education","1","","",""
"4","2006","Other degree","(3b) higher tertiary education","16","","",""
"4","2006","no degree/no degree yet","(0) in school","32","0.0822358600990567","0.0554470409604603","0.109024679237653"
"4","2006","no degree/no degree yet","(1a) inadequately completed","19","","",""
"4","2006","no degree/no degree yet","(1b) general elementary school","","","",""
"4","2006","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"4","2006","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"4","2006","no degree/no degree yet","(2a) intermediate vocational","","","",""
"4","2006","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"4","2006","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"4","2006","no degree/no degree yet","(3a) lower tertiary education","1","","",""
"4","2006","no degree/no degree yet","(3b) higher tertiary education","1","","",""
"5","2006","lower secondary degree","(0) in school","","","",""
"5","2006","lower secondary degree","(1a) inadequately completed","","","",""
"5","2006","lower secondary degree","(1b) general elementary school","333","0.228354280840651","0.207603455520841","0.249105106160461"
"5","2006","lower secondary degree","(1c) basic vocational qualification","1436","0.257048518534806","0.245764877977317","0.268332159092295"
"5","2006","lower secondary degree","(2b) intermediate general qualification","1","","",""
"5","2006","lower secondary degree","(2a) intermediate vocational","7","","",""
"5","2006","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"5","2006","lower secondary degree","(2c_voc) vocational maturity certificate","5","","",""
"5","2006","lower secondary degree","(3a) lower tertiary education","48","0.297392844355041","0.224241215139667","0.370544473570415"
"5","2006","lower secondary degree","(3b) higher tertiary education","9","","",""
"5","2006","secondary school degree","(0) in school","","","",""
"5","2006","secondary school degree","(1a) inadequately completed","","","",""
"5","2006","secondary school degree","(1b) general elementary school","","","",""
"5","2006","secondary school degree","(1c) basic vocational qualification","","","",""
"5","2006","secondary school degree","(2b) intermediate general qualification","145","0.230595156962672","0.196285896421936","0.264904417503408"
"5","2006","secondary school degree","(2a) intermediate vocational","1332","0.261143378343063","0.249136119218716","0.273150637467409"
"5","2006","secondary school degree","(2c_gen) general maturity certificate","","","",""
"5","2006","secondary school degree","(2c_voc) vocational maturity certificate","10","","",""
"5","2006","secondary school degree","(3a) lower tertiary education","154","0.287132162513032","0.249660797929581","0.324603527096482"
"5","2006","secondary school degree","(3b) higher tertiary education","34","0.285651201680515","0.209167503540702","0.362134899820328"
"5","2006","college entrance qualification","(0) in school","","","",""
"5","2006","college entrance qualification","(1a) inadequately completed","","","",""
"5","2006","college entrance qualification","(1b) general elementary school","","","",""
"5","2006","college entrance qualification","(1c) basic vocational qualification","","","",""
"5","2006","college entrance qualification","(2b) intermediate general qualification","","","",""
"5","2006","college entrance qualification","(2a) intermediate vocational","","","",""
"5","2006","college entrance qualification","(2c_gen) general maturity certificate","146","0.189009455993152","0.161137775842171","0.216881136144133"
"5","2006","college entrance qualification","(2c_voc) vocational maturity certificate","309","0.20392219835627","0.182801682836882","0.225042713875659"
"5","2006","college entrance qualification","(3a) lower tertiary education","233","0.204291908046474","0.17997442613052","0.228609389962427"
"5","2006","college entrance qualification","(3b) higher tertiary education","482","0.184617524846178","0.169069162541098","0.200165887151258"
"5","2006","Other degree","(0) in school","","","",""
"5","2006","Other degree","(1a) inadequately completed","","","",""
"5","2006","Other degree","(1b) general elementary school","65","0.186314177461819","0.146479034036806","0.226149320886833"
"5","2006","Other degree","(1c) basic vocational qualification","86","0.196590835747491","0.157198680989484","0.235982990505499"
"5","2006","Other degree","(2b) intermediate general qualification","","","",""
"5","2006","Other degree","(2a) intermediate vocational","","","",""
"5","2006","Other degree","(2c_gen) general maturity certificate","15","","",""
"5","2006","Other degree","(2c_voc) vocational maturity certificate","35","0.237152367534926","0.172055693376618","0.302249041693233"
"5","2006","Other degree","(3a) lower tertiary education","9","","",""
"5","2006","Other degree","(3b) higher tertiary education","40","0.234193165725602","0.171979639529495","0.29640669192171"
"5","2006","no degree/no degree yet","(0) in school","73","0.177065183498746","0.139842582778451","0.214287784219041"
"5","2006","no degree/no degree yet","(1a) inadequately completed","40","0.167595950889312","0.120143519983294","0.21504838179533"
"5","2006","no degree/no degree yet","(1b) general elementary school","","","",""
"5","2006","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"5","2006","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"5","2006","no degree/no degree yet","(2a) intermediate vocational","","","",""
"5","2006","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"5","2006","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"5","2006","no degree/no degree yet","(3a) lower tertiary education","","","",""
"5","2006","no degree/no degree yet","(3b) higher tertiary education","","","",""
"6","2006","lower secondary degree","(0) in school","","","",""
"6","2006","lower secondary degree","(1a) inadequately completed","","","",""
"6","2006","lower secondary degree","(1b) general elementary school","119","0.0777117392854813","0.0644775154694258","0.0909459631015369"
"6","2006","lower secondary degree","(1c) basic vocational qualification","588","0.0977653834060648","0.0900968244480073","0.105433942364122"
"6","2006","lower secondary degree","(2b) intermediate general qualification","1","","",""
"6","2006","lower secondary degree","(2a) intermediate vocational","","","",""
"6","2006","lower secondary degree","(2c_gen) general maturity certificate","2","","",""
"6","2006","lower secondary degree","(2c_voc) vocational maturity certificate","2","","",""
"6","2006","lower secondary degree","(3a) lower tertiary education","15","","",""
"6","2006","lower secondary degree","(3b) higher tertiary education","10","","",""
"6","2006","secondary school degree","(0) in school","","","",""
"6","2006","secondary school degree","(1a) inadequately completed","","","",""
"6","2006","secondary school degree","(1b) general elementary school","","","",""
"6","2006","secondary school degree","(1c) basic vocational qualification","","","",""
"6","2006","secondary school degree","(2b) intermediate general qualification","71","0.11621048765651","0.0901065578609822","0.142314417452038"
"6","2006","secondary school degree","(2a) intermediate vocational","664","0.126879556054731","0.117781320157976","0.135977791951485"
"6","2006","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"6","2006","secondary school degree","(2c_voc) vocational maturity certificate","4","","",""
"6","2006","secondary school degree","(3a) lower tertiary education","84","0.123761041382691","0.0964865076881855","0.151035575077197"
"6","2006","secondary school degree","(3b) higher tertiary education","21","","",""
"6","2006","college entrance qualification","(0) in school","","","",""
"6","2006","college entrance qualification","(1a) inadequately completed","","","",""
"6","2006","college entrance qualification","(1b) general elementary school","","","",""
"6","2006","college entrance qualification","(1c) basic vocational qualification","","","",""
"6","2006","college entrance qualification","(2b) intermediate general qualification","","","",""
"6","2006","college entrance qualification","(2a) intermediate vocational","","","",""
"6","2006","college entrance qualification","(2c_gen) general maturity certificate","111","0.152226302726499","0.126652323564561","0.177800281888437"
"6","2006","college entrance qualification","(2c_voc) vocational maturity certificate","196","0.152482795855548","0.133638531418158","0.171327060292938"
"6","2006","college entrance qualification","(3a) lower tertiary education","137","0.116320263648247","0.0969831669491343","0.13565736034736"
"6","2006","college entrance qualification","(3b) higher tertiary education","342","0.148826840243119","0.134563636227379","0.16309004425886"
"6","2006","Other degree","(0) in school","","","",""
"6","2006","Other degree","(1a) inadequately completed","","","",""
"6","2006","Other degree","(1b) general elementary school","24","","",""
"6","2006","Other degree","(1c) basic vocational qualification","31","0.075551110924043","0.0493559185546885","0.101746303293398"
"6","2006","Other degree","(2b) intermediate general qualification","","","",""
"6","2006","Other degree","(2a) intermediate vocational","","","",""
"6","2006","Other degree","(2c_gen) general maturity certificate","8","","",""
"6","2006","Other degree","(2c_voc) vocational maturity certificate","26","","",""
"6","2006","Other degree","(3a) lower tertiary education","5","","",""
"6","2006","Other degree","(3b) higher tertiary education","24","","",""
"6","2006","no degree/no degree yet","(0) in school","61","0.140851017430472","0.106929783435195","0.174772251425749"
"6","2006","no degree/no degree yet","(1a) inadequately completed","19","","",""
