"plh0204_h","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"3","2004","66 and older","(2a) intermediate vocational","45","0.103454617506499","0.073793899620238","0.133115335392761"
"3","2004","66 and older","(2c_gen) general maturity certificate","3","","",""
"3","2004","66 and older","(2c_voc) vocational maturity certificate","17","","",""
"3","2004","66 and older","(3a) lower tertiary education","35","0.140049223871332","0.099181038361338","0.180917409381325"
"3","2004","66 and older","(3b) higher tertiary education","51","0.17421079657695","0.134360587657459","0.214061005496441"
"4","2004","16-34 y.","(0) in school","59","0.0883727921174367","0.0662614978949377","0.110484086339936"
"4","2004","16-34 y.","(1a) inadequately completed","3","","",""
"4","2004","16-34 y.","(1b) general elementary school","39","0.118396855285048","0.0885133478416336","0.148280362728463"
"4","2004","16-34 y.","(1c) basic vocational qualification","66","0.0980504503597236","0.0757479446823211","0.120352956037126"
"4","2004","16-34 y.","(2b) intermediate general qualification","42","0.077165731117389","0.0531677127952879","0.10116374943949"
"4","2004","16-34 y.","(2a) intermediate vocational","131","0.103252664145879","0.0864777527583479","0.12002757553341"
"4","2004","16-34 y.","(2c_gen) general maturity certificate","76","0.1082146539734","0.0853320910354516","0.131097216911348"
"4","2004","16-34 y.","(2c_voc) vocational maturity certificate","64","0.108611834057117","0.0822458973155873","0.134977770798648"
"4","2004","16-34 y.","(3a) lower tertiary education","32","0.180303070609068","0.12927042777367","0.231335713444467"
"4","2004","16-34 y.","(3b) higher tertiary education","51","0.156798128856798","0.117327366952577","0.196268890761019"
"4","2004","35-65 y.","(0) in school","","","",""
"4","2004","35-65 y.","(1a) inadequately completed","9","","",""
"4","2004","35-65 y.","(1b) general elementary school","79","0.0999956899094852","0.0794500782386419","0.120541301580329"
"4","2004","35-65 y.","(1c) basic vocational qualification","423","0.108099112667051","0.098021687731207","0.118176537602895"
"4","2004","35-65 y.","(2b) intermediate general qualification","9","","",""
"4","2004","35-65 y.","(2a) intermediate vocational","385","0.10813624394337","0.0975995373798135","0.118672950506927"
"4","2004","35-65 y.","(2c_gen) general maturity certificate","9","","",""
"4","2004","35-65 y.","(2c_voc) vocational maturity certificate","88","0.0979841109580456","0.0783194820530251","0.117648739863066"
"4","2004","35-65 y.","(3a) lower tertiary education","147","0.119550131566474","0.101254729020503","0.137845534112444"
"4","2004","35-65 y.","(3b) higher tertiary education","201","0.104152226276673","0.0904855788123743","0.117818873740973"
"4","2004","66 and older","(0) in school","","","",""
"4","2004","66 and older","(1a) inadequately completed","2","","",""
"4","2004","66 and older","(1b) general elementary school","64","0.0823422091813246","0.0624965292678163","0.102187889094833"
"4","2004","66 and older","(1c) basic vocational qualification","159","0.0808553216246592","0.0680388214435446","0.0936718218057738"
"4","2004","66 and older","(2b) intermediate general qualification","3","","",""
"4","2004","66 and older","(2a) intermediate vocational","51","0.126040267285673","0.0937165761150903","0.158363958456255"
"4","2004","66 and older","(2c_gen) general maturity certificate","3","","",""
"4","2004","66 and older","(2c_voc) vocational maturity certificate","13","","",""
"4","2004","66 and older","(3a) lower tertiary education","32","0.11174201576918","0.0746409814525741","0.148843050085785"
"4","2004","66 and older","(3b) higher tertiary education","49","0.117597672207593","0.0837529343858957","0.151442410029291"
"5","2004","16-34 y.","(0) in school","142","0.237471197796896","0.204321480149066","0.270620915444725"
"5","2004","16-34 y.","(1a) inadequately completed","7","","",""
"5","2004","16-34 y.","(1b) general elementary school","94","0.216133880506756","0.178061740154993","0.25420602085852"
"5","2004","16-34 y.","(1c) basic vocational qualification","153","0.236546191494885","0.204675821734658","0.268416561255111"
"5","2004","16-34 y.","(2b) intermediate general qualification","102","0.201883613289597","0.165785464173886","0.237981762405309"
"5","2004","16-34 y.","(2a) intermediate vocational","307","0.240236642563559","0.216684341130035","0.263788943997083"
"5","2004","16-34 y.","(2c_gen) general maturity certificate","129","0.197805930407756","0.168463854268744","0.227148006546768"
"5","2004","16-34 y.","(2c_voc) vocational maturity certificate","115","0.229544983557062","0.193909820798906","0.265180146315219"
"5","2004","16-34 y.","(3a) lower tertiary education","44","0.218200675615119","0.163373542794351","0.273027808435887"
"5","2004","16-34 y.","(3b) higher tertiary education","59","0.197099920431775","0.153916875121965","0.240282965741585"
"5","2004","35-65 y.","(0) in school","","","",""
"5","2004","35-65 y.","(1a) inadequately completed","21","","",""
"5","2004","35-65 y.","(1b) general elementary school","148","0.162789164503186","0.137505716069106","0.188072612937266"
"5","2004","35-65 y.","(1c) basic vocational qualification","883","0.257505107644829","0.243313883210575","0.271696332079082"
"5","2004","35-65 y.","(2b) intermediate general qualification","23","","",""
"5","2004","35-65 y.","(2a) intermediate vocational","814","0.245426590506187","0.230825626066206","0.260027554946167"
"5","2004","35-65 y.","(2c_gen) general maturity certificate","27","","",""
"5","2004","35-65 y.","(2c_voc) vocational maturity certificate","195","0.237088221338516","0.208956715342525","0.265219727334507"
"5","2004","35-65 y.","(3a) lower tertiary education","263","0.236963468723065","0.212984638733352","0.260942298712778"
"5","2004","35-65 y.","(3b) higher tertiary education","389","0.194248416363271","0.176547737172317","0.211949095554226"
"5","2004","66 and older","(0) in school","","","",""
"5","2004","66 and older","(1a) inadequately completed","7","","",""
"5","2004","66 and older","(1b) general elementary school","108","0.141887628655927","0.11669585799576","0.167079399316093"
"5","2004","66 and older","(1c) basic vocational qualification","340","0.194363823908144","0.175760077878906","0.212967569937382"
"5","2004","66 and older","(2b) intermediate general qualification","7","","",""
"5","2004","66 and older","(2a) intermediate vocational","88","0.188868562823057","0.150749164764499","0.226987960881616"
"5","2004","66 and older","(2c_gen) general maturity certificate","3","","",""
"5","2004","66 and older","(2c_voc) vocational maturity certificate","28","","",""
"5","2004","66 and older","(3a) lower tertiary education","79","0.250234634348255","0.199225893450509","0.301243375246001"
"5","2004","66 and older","(3b) higher tertiary education","70","0.207318216153144","0.164726352870212","0.249910079436076"
"6","2004","16-34 y.","(0) in school","94","0.118319595120549","0.0931584636000812","0.143480726641017"
"6","2004","16-34 y.","(1a) inadequately completed","4","","",""
"6","2004","16-34 y.","(1b) general elementary school","43","0.0846187180999213","0.0588757181870049","0.110361718012838"
"6","2004","16-34 y.","(1c) basic vocational qualification","81","0.137464330986763","0.111640463620959","0.163288198352567"
"6","2004","16-34 y.","(2b) intermediate general qualification","68","0.118011153978835","0.0889980388583229","0.147024269099346"
"6","2004","16-34 y.","(2a) intermediate vocational","151","0.133320863173372","0.114581588218371","0.152060138128374"
"6","2004","16-34 y.","(2c_gen) general maturity certificate","113","0.160628682830505","0.133581622267391","0.18767574339362"
"6","2004","16-34 y.","(2c_voc) vocational maturity certificate","83","0.137443599042936","0.108267500936601","0.16661969714927"
"6","2004","16-34 y.","(3a) lower tertiary education","22","","",""
"6","2004","16-34 y.","(3b) higher tertiary education","55","0.188698203729218","0.146225061421921","0.231171346036515"
"6","2004","35-65 y.","(0) in school","","","",""
"6","2004","35-65 y.","(1a) inadequately completed","11","","",""
"6","2004","35-65 y.","(1b) general elementary school","56","0.0604131963686839","0.0440961893064515","0.0767302034309163"
"6","2004","35-65 y.","(1c) basic vocational qualification","344","0.0917576863125443","0.0823884907927118","0.101126881832377"
"6","2004","35-65 y.","(2b) intermediate general qualification","3","","",""
"6","2004","35-65 y.","(2a) intermediate vocational","394","0.117312684206751","0.106394613147174","0.128230755266328"
"6","2004","35-65 y.","(2c_gen) general maturity certificate","10","","",""
"6","2004","35-65 y.","(2c_voc) vocational maturity certificate","116","0.135737207215767","0.113081730966084","0.15839268346545"
"6","2004","35-65 y.","(3a) lower tertiary education","159","0.10624301610791","0.0888660264062063","0.123620005809613"
"6","2004","35-65 y.","(3b) higher tertiary education","260","0.141371213976943","0.125783091137426","0.15695933681646"
"6","2004","66 and older","(0) in school","","","",""
"6","2004","66 and older","(1a) inadequately completed","1","","",""
"6","2004","66 and older","(1b) general elementary school","21","","",""
"6","2004","66 and older","(1c) basic vocational qualification","113","0.0625196937490436","0.0511378478173569","0.0739015396807302"
"6","2004","66 and older","(2b) intermediate general qualification","3","","",""
"6","2004","66 and older","(2a) intermediate vocational","39","0.118698914574781","0.0871992371971998","0.150198591952363"
"6","2004","66 and older","(2c_gen) general maturity certificate","1","","",""
"6","2004","66 and older","(2c_voc) vocational maturity certificate","13","","",""
"6","2004","66 and older","(3a) lower tertiary education","22","","",""
"6","2004","66 and older","(3b) higher tertiary education","38","0.129224059180547","0.0939802071587172","0.164467911202377"
"7","2004","16-34 y.","(0) in school","102","0.161300338970883","0.132647536238335","0.189953141703432"
"7","2004","16-34 y.","(1a) inadequately completed","7","","",""
"7","2004","16-34 y.","(1b) general elementary school","44","0.0794384665644143","0.0544254103943141","0.104451522734515"
"7","2004","16-34 y.","(1c) basic vocational qualification","91","0.136446518342509","0.110703255665611","0.162189781019407"
"7","2004","16-34 y.","(2b) intermediate general qualification","81","0.167520513011685","0.133937314714467","0.201103711308903"
"7","2004","16-34 y.","(2a) intermediate vocational","175","0.142258768949223","0.123001609758617","0.161515928139829"
"7","2004","16-34 y.","(2c_gen) general maturity certificate","149","0.193002576329847","0.163932304723144","0.222072847936551"
"7","2004","16-34 y.","(2c_voc) vocational maturity certificate","90","0.182375695255488","0.149654317872792","0.215097072638184"
"7","2004","16-34 y.","(3a) lower tertiary education","32","0.117768045084413","0.074979751276502","0.160556338892324"
"7","2004","16-34 y.","(3b) higher tertiary education","48","0.163040640402822","0.122941098392148","0.203140182413496"
"7","2004","35-65 y.","(0) in school","","","",""
"7","2004","35-65 y.","(1a) inadequately completed","5","","",""
"7","2004","35-65 y.","(1b) general elementary school","28","","",""
"7","2004","35-65 y.","(1c) basic vocational qualification","327","0.0892950778075002","0.0800399416707749","0.0985502139442255"
"7","2004","35-65 y.","(2b) intermediate general qualification","8","","",""
"7","2004","35-65 y.","(2a) intermediate vocational","402","0.117612465375285","0.10668230972194","0.12854262102863"
"7","2004","35-65 y.","(2c_gen) general maturity certificate","24","","",""
"7","2004","35-65 y.","(2c_voc) vocational maturity certificate","109","0.123560342675604","0.101793201434183","0.145327483917024"
"7","2004","35-65 y.","(3a) lower tertiary education","189","0.160036396989176","0.13936098175803","0.180711812220323"
"7","2004","35-65 y.","(3b) higher tertiary education","307","0.147767171754848","0.131889796332483","0.163644547177213"
"7","2004","66 and older","(0) in school","","","",""
"7","2004","66 and older","(1a) inadequately completed","2","","",""
"7","2004","66 and older","(1b) general elementary school","17","","",""
"7","2004","66 and older","(1c) basic vocational qualification","54","0.0328422177993343","0.024463296548097","0.0412211390505716"
"7","2004","66 and older","(2b) intermediate general qualification","3","","",""
"7","2004","66 and older","(2a) intermediate vocational","33","0.0777920691575481","0.05170635882185","0.103877779493246"
"7","2004","66 and older","(2c_gen) general maturity certificate","2","","",""
"7","2004","66 and older","(2c_voc) vocational maturity certificate","10","","",""
"7","2004","66 and older","(3a) lower tertiary education","28","","",""
"7","2004","66 and older","(3b) higher tertiary education","36","0.0818113369291262","0.0530154024285301","0.110607271429722"
"8","2004","16-34 y.","(0) in school","75","0.121206976816598","0.0957824226707186","0.146631530962477"
"8","2004","16-34 y.","(1a) inadequately completed","5","","",""
"8","2004","16-34 y.","(1b) general elementary school","43","0.0864223122583303","0.0604320534865086","0.112412571030152"
"8","2004","16-34 y.","(1c) basic vocational qualification","73","0.127901929284914","0.102854742769948","0.152949115799881"
"8","2004","16-34 y.","(2b) intermediate general qualification","57","0.153392365316472","0.12098496090748","0.185799769725465"
"8","2004","16-34 y.","(2a) intermediate vocational","127","0.0962171201096572","0.0799604053325191","0.112473834886795"
"8","2004","16-34 y.","(2c_gen) general maturity certificate","78","0.119567494111137","0.095668145723632","0.143466842498641"
"8","2004","16-34 y.","(2c_voc) vocational maturity certificate","37","0.0834795988367993","0.0600409568764293","0.106918240797169"
"8","2004","16-34 y.","(3a) lower tertiary education","23","","",""
"8","2004","16-34 y.","(3b) higher tertiary education","26","","",""
"8","2004","35-65 y.","(0) in school","","","",""
"8","2004","35-65 y.","(1a) inadequately completed","3","","",""
"8","2004","35-65 y.","(1b) general elementary school","27","","",""
"8","2004","35-65 y.","(1c) basic vocational qualification","204","0.0577363557269862","0.0501664388468127","0.0653062726071597"
"8","2004","35-65 y.","(2b) intermediate general qualification","5","","",""
"8","2004","35-65 y.","(2a) intermediate vocational","220","0.0633628998353605","0.0550973226043664","0.0716284770663547"
"8","2004","35-65 y.","(2c_gen) general maturity certificate","13","","",""
"8","2004","35-65 y.","(2c_voc) vocational maturity certificate","68","0.0655314639450077","0.0491629930837013","0.0818999348063141"
"8","2004","35-65 y.","(3a) lower tertiary education","108","0.077304310246767","0.0622435905897721","0.0923650299037619"
"8","2004","35-65 y.","(3b) higher tertiary education","167","0.0818721617441582","0.0696053892612397","0.0941389342270768"
"8","2004","66 and older","(0) in school","","","",""
"8","2004","66 and older","(1a) inadequately completed","","","",""
"8","2004","66 and older","(1b) general elementary school","12","","",""
"8","2004","66 and older","(1c) basic vocational qualification","49","0.027484596815991","0.0197983179949392","0.0351708756370428"
"8","2004","66 and older","(2b) intermediate general qualification","1","","",""
"8","2004","66 and older","(2a) intermediate vocational","17","","",""
"8","2004","66 and older","(2c_gen) general maturity certificate","","","",""
"8","2004","66 and older","(2c_voc) vocational maturity certificate","7","","",""
"8","2004","66 and older","(3a) lower tertiary education","20","","",""
"8","2004","66 and older","(3b) higher tertiary education","32","0.0684073246913851","0.0418843149542558","0.0949303344285144"
"9","2004","16-34 y.","(0) in school","33","0.0469699693206583","0.0304879785290706","0.063451960112246"
"9","2004","16-34 y.","(1a) inadequately completed","","","",""
"9","2004","16-34 y.","(1b) general elementary school","11","","",""
"9","2004","16-34 y.","(1c) basic vocational qualification","16","","",""
"9","2004","16-34 y.","(2b) intermediate general qualification","21","","",""
"9","2004","16-34 y.","(2a) intermediate vocational","21","","",""
"9","2004","16-34 y.","(2c_gen) general maturity certificate","17","","",""
"9","2004","16-34 y.","(2c_voc) vocational maturity certificate","9","","",""
"9","2004","16-34 y.","(3a) lower tertiary education","10","","",""
"9","2004","16-34 y.","(3b) higher tertiary education","4","","",""
"9","2004","35-65 y.","(0) in school","","","",""
"9","2004","35-65 y.","(1a) inadequately completed","3","","",""
"9","2004","35-65 y.","(1b) general elementary school","9","","",""
"9","2004","35-65 y.","(1c) basic vocational qualification","53","0.0127815370529499","0.00913585839801041","0.0164272157078895"
