"plh0204_h","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"3","2007","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"3","2007","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"3","2007","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"3","2007","Couple + C. GT 16 ","(0) in school","","","",""
"3","2007","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"3","2007","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"3","2007","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"3","2007","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"3","2007","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"3","2007","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"3","2007","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"3","2007","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"3","2007","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"3","2007","Couple + C. LE and GT 16","(0) in school","","","",""
"3","2007","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"3","2007","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"3","2007","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"3","2007","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"3","2007","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"3","2007","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"3","2007","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"3","2007","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"3","2007","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"4","2007","1-pers.-HH","(0) in school","","","",""
"4","2007","1-pers.-HH","(1a) inadequately completed","","","",""
"4","2007","1-pers.-HH","(1b) general elementary school","","","",""
"4","2007","1-pers.-HH","(1c) basic vocational qualification","","","",""
"4","2007","1-pers.-HH","(2b) intermediate general qualification","","","",""
"4","2007","1-pers.-HH","(2a) intermediate vocational","","","",""
"4","2007","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"4","2007","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"4","2007","1-pers.-HH","(3a) lower tertiary education","","","",""
"4","2007","1-pers.-HH","(3b) higher tertiary education","","","",""
"4","2007","(Married) couple without C. ","(0) in school","","","",""
"4","2007","(Married) couple without C. ","(1a) inadequately completed","","","",""
"4","2007","(Married) couple without C. ","(1b) general elementary school","","","",""
"4","2007","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"4","2007","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"4","2007","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"4","2007","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"4","2007","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"4","2007","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"4","2007","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"4","2007","Single parent ","(0) in school","","","",""
"4","2007","Single parent ","(1a) inadequately completed","","","",""
"4","2007","Single parent ","(1b) general elementary school","","","",""
"4","2007","Single parent ","(1c) basic vocational qualification","","","",""
"4","2007","Single parent ","(2b) intermediate general qualification","","","",""
"4","2007","Single parent ","(2a) intermediate vocational","","","",""
"4","2007","Single parent ","(2c_gen) general maturity certificate","","","",""
"4","2007","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"4","2007","Single parent ","(3a) lower tertiary education","","","",""
"4","2007","Single parent ","(3b) higher tertiary education","","","",""
"4","2007","Couple + C. LE 16 ","(0) in school","","","",""
"4","2007","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"4","2007","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"4","2007","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"4","2007","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"4","2007","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"4","2007","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"4","2007","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"4","2007","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"4","2007","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"4","2007","Couple + C. GT 16 ","(0) in school","","","",""
"4","2007","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"4","2007","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"4","2007","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"4","2007","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"4","2007","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"4","2007","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"4","2007","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"4","2007","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"4","2007","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"4","2007","Couple + C. LE and GT 16","(0) in school","","","",""
"4","2007","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"4","2007","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"4","2007","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"4","2007","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"4","2007","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"4","2007","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"4","2007","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"4","2007","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"4","2007","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"5","2007","1-pers.-HH","(0) in school","","","",""
"5","2007","1-pers.-HH","(1a) inadequately completed","","","",""
"5","2007","1-pers.-HH","(1b) general elementary school","","","",""
"5","2007","1-pers.-HH","(1c) basic vocational qualification","","","",""
"5","2007","1-pers.-HH","(2b) intermediate general qualification","","","",""
"5","2007","1-pers.-HH","(2a) intermediate vocational","","","",""
"5","2007","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"5","2007","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"5","2007","1-pers.-HH","(3a) lower tertiary education","","","",""
"5","2007","1-pers.-HH","(3b) higher tertiary education","","","",""
"5","2007","(Married) couple without C. ","(0) in school","","","",""
"5","2007","(Married) couple without C. ","(1a) inadequately completed","","","",""
"5","2007","(Married) couple without C. ","(1b) general elementary school","","","",""
"5","2007","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"5","2007","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"5","2007","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"5","2007","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"5","2007","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"5","2007","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"5","2007","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"5","2007","Single parent ","(0) in school","","","",""
"5","2007","Single parent ","(1a) inadequately completed","","","",""
"5","2007","Single parent ","(1b) general elementary school","","","",""
"5","2007","Single parent ","(1c) basic vocational qualification","","","",""
"5","2007","Single parent ","(2b) intermediate general qualification","","","",""
"5","2007","Single parent ","(2a) intermediate vocational","","","",""
"5","2007","Single parent ","(2c_gen) general maturity certificate","","","",""
"5","2007","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"5","2007","Single parent ","(3a) lower tertiary education","","","",""
"5","2007","Single parent ","(3b) higher tertiary education","","","",""
"5","2007","Couple + C. LE 16 ","(0) in school","","","",""
"5","2007","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"5","2007","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"5","2007","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"5","2007","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"5","2007","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"5","2007","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"5","2007","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"5","2007","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"5","2007","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"5","2007","Couple + C. GT 16 ","(0) in school","","","",""
"5","2007","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"5","2007","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"5","2007","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"5","2007","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"5","2007","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"5","2007","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"5","2007","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"5","2007","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"5","2007","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"5","2007","Couple + C. LE and GT 16","(0) in school","","","",""
"5","2007","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"5","2007","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"5","2007","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"5","2007","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"5","2007","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"5","2007","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"5","2007","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"5","2007","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"5","2007","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"6","2007","1-pers.-HH","(0) in school","","","",""
"6","2007","1-pers.-HH","(1a) inadequately completed","","","",""
"6","2007","1-pers.-HH","(1b) general elementary school","","","",""
"6","2007","1-pers.-HH","(1c) basic vocational qualification","","","",""
"6","2007","1-pers.-HH","(2b) intermediate general qualification","","","",""
"6","2007","1-pers.-HH","(2a) intermediate vocational","","","",""
"6","2007","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"6","2007","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"6","2007","1-pers.-HH","(3a) lower tertiary education","","","",""
"6","2007","1-pers.-HH","(3b) higher tertiary education","","","",""
"6","2007","(Married) couple without C. ","(0) in school","","","",""
"6","2007","(Married) couple without C. ","(1a) inadequately completed","","","",""
"6","2007","(Married) couple without C. ","(1b) general elementary school","","","",""
"6","2007","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"6","2007","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"6","2007","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"6","2007","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"6","2007","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"6","2007","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"6","2007","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"6","2007","Single parent ","(0) in school","","","",""
"6","2007","Single parent ","(1a) inadequately completed","","","",""
"6","2007","Single parent ","(1b) general elementary school","","","",""
"6","2007","Single parent ","(1c) basic vocational qualification","","","",""
"6","2007","Single parent ","(2b) intermediate general qualification","","","",""
"6","2007","Single parent ","(2a) intermediate vocational","","","",""
"6","2007","Single parent ","(2c_gen) general maturity certificate","","","",""
"6","2007","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"6","2007","Single parent ","(3a) lower tertiary education","","","",""
"6","2007","Single parent ","(3b) higher tertiary education","","","",""
"6","2007","Couple + C. LE 16 ","(0) in school","","","",""
"6","2007","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"6","2007","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"6","2007","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"6","2007","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"6","2007","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"6","2007","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"6","2007","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"6","2007","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"6","2007","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"6","2007","Couple + C. GT 16 ","(0) in school","","","",""
"6","2007","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"6","2007","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"6","2007","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"6","2007","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"6","2007","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"6","2007","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"6","2007","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"6","2007","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"6","2007","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"6","2007","Couple + C. LE and GT 16","(0) in school","","","",""
"6","2007","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"6","2007","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"6","2007","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"6","2007","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"6","2007","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"6","2007","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"6","2007","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"6","2007","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"6","2007","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"7","2007","1-pers.-HH","(0) in school","","","",""
"7","2007","1-pers.-HH","(1a) inadequately completed","","","",""
"7","2007","1-pers.-HH","(1b) general elementary school","","","",""
"7","2007","1-pers.-HH","(1c) basic vocational qualification","","","",""
"7","2007","1-pers.-HH","(2b) intermediate general qualification","","","",""
"7","2007","1-pers.-HH","(2a) intermediate vocational","","","",""
"7","2007","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"7","2007","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"7","2007","1-pers.-HH","(3a) lower tertiary education","","","",""
"7","2007","1-pers.-HH","(3b) higher tertiary education","","","",""
"7","2007","(Married) couple without C. ","(0) in school","","","",""
"7","2007","(Married) couple without C. ","(1a) inadequately completed","","","",""
"7","2007","(Married) couple without C. ","(1b) general elementary school","","","",""
"7","2007","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"7","2007","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"7","2007","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"7","2007","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"7","2007","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"7","2007","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"7","2007","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"7","2007","Single parent ","(0) in school","","","",""
"7","2007","Single parent ","(1a) inadequately completed","","","",""
"7","2007","Single parent ","(1b) general elementary school","","","",""
"7","2007","Single parent ","(1c) basic vocational qualification","","","",""
"7","2007","Single parent ","(2b) intermediate general qualification","","","",""
"7","2007","Single parent ","(2a) intermediate vocational","","","",""
"7","2007","Single parent ","(2c_gen) general maturity certificate","","","",""
"7","2007","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"7","2007","Single parent ","(3a) lower tertiary education","","","",""
"7","2007","Single parent ","(3b) higher tertiary education","","","",""
"7","2007","Couple + C. LE 16 ","(0) in school","","","",""
"7","2007","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"7","2007","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"7","2007","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"7","2007","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"7","2007","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"7","2007","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"7","2007","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"7","2007","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"7","2007","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"7","2007","Couple + C. GT 16 ","(0) in school","","","",""
"7","2007","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"7","2007","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"7","2007","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"7","2007","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"7","2007","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"7","2007","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"7","2007","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"7","2007","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"7","2007","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"7","2007","Couple + C. LE and GT 16","(0) in school","","","",""
"7","2007","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"7","2007","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"7","2007","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"7","2007","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"7","2007","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"7","2007","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"7","2007","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"7","2007","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"7","2007","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"8","2007","1-pers.-HH","(0) in school","","","",""
"8","2007","1-pers.-HH","(1a) inadequately completed","","","",""
"8","2007","1-pers.-HH","(1b) general elementary school","","","",""
"8","2007","1-pers.-HH","(1c) basic vocational qualification","","","",""
"8","2007","1-pers.-HH","(2b) intermediate general qualification","","","",""
"8","2007","1-pers.-HH","(2a) intermediate vocational","","","",""
"8","2007","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"8","2007","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"8","2007","1-pers.-HH","(3a) lower tertiary education","","","",""
"8","2007","1-pers.-HH","(3b) higher tertiary education","","","",""
"8","2007","(Married) couple without C. ","(0) in school","","","",""
"8","2007","(Married) couple without C. ","(1a) inadequately completed","","","",""
"8","2007","(Married) couple without C. ","(1b) general elementary school","","","",""
"8","2007","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"8","2007","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"8","2007","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"8","2007","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"8","2007","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"8","2007","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"8","2007","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"8","2007","Single parent ","(0) in school","","","",""
"8","2007","Single parent ","(1a) inadequately completed","","","",""
"8","2007","Single parent ","(1b) general elementary school","","","",""
"8","2007","Single parent ","(1c) basic vocational qualification","","","",""
"8","2007","Single parent ","(2b) intermediate general qualification","","","",""
"8","2007","Single parent ","(2a) intermediate vocational","","","",""
"8","2007","Single parent ","(2c_gen) general maturity certificate","","","",""
"8","2007","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"8","2007","Single parent ","(3a) lower tertiary education","","","",""
"8","2007","Single parent ","(3b) higher tertiary education","","","",""
"8","2007","Couple + C. LE 16 ","(0) in school","","","",""
"8","2007","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"8","2007","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"8","2007","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"8","2007","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"8","2007","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"8","2007","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"8","2007","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"8","2007","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"8","2007","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"8","2007","Couple + C. GT 16 ","(0) in school","","","",""
"8","2007","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"8","2007","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"8","2007","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"8","2007","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"8","2007","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"8","2007","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"8","2007","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"8","2007","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"8","2007","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"8","2007","Couple + C. LE and GT 16","(0) in school","","","",""
"8","2007","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"8","2007","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"8","2007","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"8","2007","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"8","2007","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"8","2007","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"8","2007","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"8","2007","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"8","2007","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"9","2007","1-pers.-HH","(0) in school","","","",""
"9","2007","1-pers.-HH","(1a) inadequately completed","","","",""
"9","2007","1-pers.-HH","(1b) general elementary school","","","",""
"9","2007","1-pers.-HH","(1c) basic vocational qualification","","","",""
"9","2007","1-pers.-HH","(2b) intermediate general qualification","","","",""
"9","2007","1-pers.-HH","(2a) intermediate vocational","","","",""
"9","2007","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"9","2007","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"9","2007","1-pers.-HH","(3a) lower tertiary education","","","",""
"9","2007","1-pers.-HH","(3b) higher tertiary education","","","",""
"9","2007","(Married) couple without C. ","(0) in school","","","",""
"9","2007","(Married) couple without C. ","(1a) inadequately completed","","","",""
"9","2007","(Married) couple without C. ","(1b) general elementary school","","","",""
"9","2007","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"9","2007","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"9","2007","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"9","2007","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"9","2007","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"9","2007","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"9","2007","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"9","2007","Single parent ","(0) in school","","","",""
"9","2007","Single parent ","(1a) inadequately completed","","","",""
"9","2007","Single parent ","(1b) general elementary school","","","",""
"9","2007","Single parent ","(1c) basic vocational qualification","","","",""
"9","2007","Single parent ","(2b) intermediate general qualification","","","",""
"9","2007","Single parent ","(2a) intermediate vocational","","","",""
"9","2007","Single parent ","(2c_gen) general maturity certificate","","","",""
"9","2007","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"9","2007","Single parent ","(3a) lower tertiary education","","","",""
"9","2007","Single parent ","(3b) higher tertiary education","","","",""
"9","2007","Couple + C. LE 16 ","(0) in school","","","",""
"9","2007","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"9","2007","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"9","2007","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"9","2007","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"9","2007","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"9","2007","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"9","2007","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"9","2007","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"9","2007","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"9","2007","Couple + C. GT 16 ","(0) in school","","","",""
"9","2007","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"9","2007","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"9","2007","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"9","2007","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"9","2007","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"9","2007","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"9","2007","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"9","2007","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"9","2007","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"9","2007","Couple + C. LE and GT 16","(0) in school","","","",""
"9","2007","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"9","2007","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"9","2007","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"9","2007","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"9","2007","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"9","2007","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"9","2007","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"9","2007","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"9","2007","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"10 Very willing to take risks","2007","1-pers.-HH","(0) in school","","","",""
"10 Very willing to take risks","2007","1-pers.-HH","(1a) inadequately completed","","","",""
"10 Very willing to take risks","2007","1-pers.-HH","(1b) general elementary school","","","",""
"10 Very willing to take risks","2007","1-pers.-HH","(1c) basic vocational qualification","","","",""
"10 Very willing to take risks","2007","1-pers.-HH","(2b) intermediate general qualification","","","",""
"10 Very willing to take risks","2007","1-pers.-HH","(2a) intermediate vocational","","","",""
"10 Very willing to take risks","2007","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"10 Very willing to take risks","2007","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"10 Very willing to take risks","2007","1-pers.-HH","(3a) lower tertiary education","","","",""
"10 Very willing to take risks","2007","1-pers.-HH","(3b) higher tertiary education","","","",""
"10 Very willing to take risks","2007","(Married) couple without C. ","(0) in school","","","",""
"10 Very willing to take risks","2007","(Married) couple without C. ","(1a) inadequately completed","","","",""
"10 Very willing to take risks","2007","(Married) couple without C. ","(1b) general elementary school","","","",""
"10 Very willing to take risks","2007","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"10 Very willing to take risks","2007","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"10 Very willing to take risks","2007","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"10 Very willing to take risks","2007","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"10 Very willing to take risks","2007","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"10 Very willing to take risks","2007","(Married) couple without C. ","(3a) lower tertiary education","","","",""
