"plh0204_h","year","education","sex","n","percent","lower_confidence","upper_confidence"
"7","2008","no degree/no degree yet","Male","41","0.139042166696482","0.0964925710810595","0.181591762311904"
"7","2008","no degree/no degree yet","Female","28","","",""
"8","2008","lower secondary degree","Male","285","0.0838542274031106","0.0742193188065904","0.0934891359996307"
"8","2008","lower secondary degree","Female","139","0.0458483153060365","0.0387251449857687","0.0529714856263043"
"8","2008","secondary school degree","Male","234","0.085609811952464","0.0745377918135757","0.0966818320913523"
"8","2008","secondary school degree","Female","181","0.0552459614153234","0.0474583134232785","0.0630336094073683"
"8","2008","college entrance qualification","Male","289","0.101118760436372","0.0896595169045336","0.11257800396821"
"8","2008","college entrance qualification","Female","124","0.0439088674116547","0.0358432876511594","0.0519744471721501"
"8","2008","Other degree","Male","46","0.0890324603006598","0.0624223061002746","0.115642614501045"
"8","2008","Other degree","Female","23","","",""
"8","2008","no degree/no degree yet","Male","36","0.120292525374905","0.0802870260912407","0.160298024658569"
"8","2008","no degree/no degree yet","Female","17","","",""
"9","2008","lower secondary degree","Male","74","0.023889429975909","0.0185811327953038","0.0291977271565143"
"9","2008","lower secondary degree","Female","32","0.0116756016493582","0.00801719211723777","0.0153340111814787"
"9","2008","secondary school degree","Male","75","0.0316713933603569","0.0247412170583616","0.0386015696623522"
"9","2008","secondary school degree","Female","40","0.0123671148711151","0.00859982849655561","0.0161344012456745"
"9","2008","college entrance qualification","Male","62","0.0299169259644157","0.0234417456123482","0.0363921063164831"
"9","2008","college entrance qualification","Female","37","0.0186557794324432","0.0133294599653085","0.0239820988995779"
"9","2008","Other degree","Male","15","","",""
"9","2008","Other degree","Female","10","","",""
"9","2008","no degree/no degree yet","Male","16","","",""
"9","2008","no degree/no degree yet","Female","7","","",""
"10 Very willing to take risks","2008","lower secondary degree","Male","60","0.016266687689812","0.0118693372190943","0.0206640381605298"
"10 Very willing to take risks","2008","lower secondary degree","Female","34","0.0155411020401768","0.011328575721126","0.0197536283592276"
"10 Very willing to take risks","2008","secondary school degree","Male","41","0.0193486705998624","0.0138975951513421","0.0247997460483826"
"10 Very willing to take risks","2008","secondary school degree","Female","16","","",""
"10 Very willing to take risks","2008","college entrance qualification","Male","17","","",""
"10 Very willing to take risks","2008","college entrance qualification","Female","15","","",""
"10 Very willing to take risks","2008","Other degree","Male","9","","",""
"10 Very willing to take risks","2008","Other degree","Female","11","","",""
"10 Very willing to take risks","2008","no degree/no degree yet","Male","5","","",""
"10 Very willing to take risks","2008","no degree/no degree yet","Female","3","","",""
"0 Not at all Willing to take risks","2009","lower secondary degree","Male","284","0.0979841586435804","0.0871881589139932","0.108780158373168"
"0 Not at all Willing to take risks","2009","lower secondary degree","Female","527","0.186272940657718","0.172396711542282","0.200149169773153"
"0 Not at all Willing to take risks","2009","secondary school degree","Male","102","0.0408484344269208","0.0327467114022638","0.0489501574515777"
"0 Not at all Willing to take risks","2009","secondary school degree","Female","265","0.0955484351458301","0.08523824806983","0.10585862222183"
"0 Not at all Willing to take risks","2009","college entrance qualification","Male","93","0.0332184111638315","0.0262243542238514","0.0402124681038115"
"0 Not at all Willing to take risks","2009","college entrance qualification","Female","132","0.056625127937827","0.0473278784785988","0.0659223773970551"
"0 Not at all Willing to take risks","2009","Other degree","Male","44","0.136573365274544","0.101677630508278","0.17146910004081"
"0 Not at all Willing to take risks","2009","Other degree","Female","94","0.241874974737322","0.201587586743384","0.282162362731259"
"0 Not at all Willing to take risks","2009","no degree/no degree yet","Male","21","","",""
"0 Not at all Willing to take risks","2009","no degree/no degree yet","Female","28","","",""
"1","2009","lower secondary degree","Male","225","0.0774711745273796","0.0677629929320528","0.0871793561227064"
"1","2009","lower secondary degree","Female","349","0.120981515771465","0.109358583365238","0.132604448177692"
"1","2009","secondary school degree","Male","110","0.0507967980442083","0.0418091960958376","0.0597843999925789"
"1","2009","secondary school degree","Female","261","0.0757176884446406","0.0664395020435685","0.0849958748457126"
"1","2009","college entrance qualification","Male","105","0.0359171199589335","0.0286546643989042","0.0431795755189627"
"1","2009","college entrance qualification","Female","181","0.0906019772675709","0.0790553918051753","0.102148562729967"
"1","2009","Other degree","Male","23","","",""
"1","2009","Other degree","Female","44","0.0962848328870282","0.0685325986566347","0.124037067117422"
"1","2009","no degree/no degree yet","Male","11","","",""
"1","2009","no degree/no degree yet","Female","17","","",""
"2","2009","lower secondary degree","Male","388","0.128545642352487","0.116391373154346","0.140699911550629"
"2","2009","lower secondary degree","Female","526","0.162719190316001","0.149563545077605","0.175874835554397"
"2","2009","secondary school degree","Male","288","0.129608126013265","0.115860756910852","0.143355495115677"
"2","2009","secondary school degree","Female","527","0.173806063809042","0.16051573999234","0.187096387625744"
"2","2009","college entrance qualification","Male","280","0.0974507971286471","0.0858762584286961","0.109025335828598"
"2","2009","college entrance qualification","Female","433","0.165402258734081","0.150456531421614","0.180347986046548"
"2","2009","Other degree","Male","52","0.130549298661279","0.0963130341052283","0.164785563217329"
"2","2009","Other degree","Female","49","0.108719197518857","0.0794329572251608","0.138005437812553"
"2","2009","no degree/no degree yet","Male","16","","",""
"2","2009","no degree/no degree yet","Female","28","","",""
"3","2009","lower secondary degree","Male","433","0.139088551033925","0.126522385342208","0.151654716725643"
"3","2009","lower secondary degree","Female","488","0.145850255568098","0.133270337793236","0.15843017334296"
"3","2009","secondary school degree","Male","352","0.148268151985149","0.133722893474982","0.162813410495316"
"3","2009","secondary school degree","Female","557","0.171006567230627","0.157801395955697","0.184211738505558"
"3","2009","college entrance qualification","Male","432","0.176088666772383","0.161223099351683","0.190954234193084"
"3","2009","college entrance qualification","Female","429","0.167473328343906","0.152452992703076","0.182493663984737"
"3","2009","Other degree","Male","61","0.142628433436264","0.107092787383967","0.178164079488561"
"3","2009","Other degree","Female","80","0.169440316044706","0.134146629373276","0.204734002716136"
"3","2009","no degree/no degree yet","Male","27","","",""
"3","2009","no degree/no degree yet","Female","37","0.153617904890017","0.107903476565372","0.199332333214662"
"4","2009","lower secondary degree","Male","338","0.122526227871424","0.110619033240977","0.134433422501871"
"4","2009","lower secondary degree","Female","281","0.0871412405285045","0.0770888150942485","0.0971936659627606"
"4","2009","secondary school degree","Male","245","0.106281760454373","0.0936670948048545","0.118896426103892"
"4","2009","secondary school degree","Female","363","0.111970666989228","0.100911360670395","0.123029973308061"
"4","2009","college entrance qualification","Male","323","0.127205146044644","0.114200935903725","0.140209356185563"
"4","2009","college entrance qualification","Female","320","0.135787396749421","0.122007442913553","0.149567350585289"
"4","2009","Other degree","Male","47","0.146630566274037","0.110683999424339","0.182577133123735"
"4","2009","Other degree","Female","49","0.0931249296430096","0.0657842102990873","0.120465648986932"
"4","2009","no degree/no degree yet","Male","29","","",""
"4","2009","no degree/no degree yet","Female","35","0.117824183695108","0.0769504854544248","0.15869788193579"
"5","2009","lower secondary degree","Male","650","0.235795810521311","0.220380559608729","0.251211061433893"
"5","2009","lower secondary degree","Female","541","0.188363770400476","0.174427819824391","0.202299720976562"
"5","2009","secondary school degree","Male","545","0.232519945057953","0.215229358812837","0.249810531303069"
"5","2009","secondary school degree","Female","656","0.212966883931965","0.198608199845923","0.227325568018007"
"5","2009","college entrance qualification","Male","452","0.175232740496546","0.160395645316286","0.190069835676805"
"5","2009","college entrance qualification","Female","444","0.194877968527494","0.17894414653591","0.210811790519078"
"5","2009","Other degree","Male","76","0.199427938434309","0.158823843362741","0.240032033505878"
"5","2009","Other degree","Female","70","0.157001392662567","0.12277442636326","0.191228358961874"
"5","2009","no degree/no degree yet","Male","53","0.232570125776534","0.179990369933828","0.28514988161924"
"5","2009","no degree/no degree yet","Female","49","0.166427955278746","0.119207099880341","0.213648810677151"
"6","2009","lower secondary degree","Male","236","0.0802543555403348","0.0703882439222791","0.0901204671583906"
"6","2009","lower secondary degree","Female","136","0.0437023386735571","0.0364160548628785","0.0509886224842358"
"6","2009","secondary school degree","Male","261","0.119021805791485","0.105767960079038","0.132275651503932"
"6","2009","secondary school degree","Female","232","0.0804826498290028","0.0709416651948745","0.090023634463131"
"6","2009","college entrance qualification","Male","379","0.165351061456308","0.150852297943856","0.179849824968759"
"6","2009","college entrance qualification","Female","235","0.106480660239208","0.0940728518002878","0.118888468678128"
"6","2009","Other degree","Male","24","","",""
"6","2009","Other degree","Female","20","","",""
"6","2009","no degree/no degree yet","Male","46","0.152336125273305","0.107612650287358","0.197059600259252"
"6","2009","no degree/no degree yet","Female","18","","",""
"7","2009","lower secondary degree","Male","215","0.0703224203262619","0.0610372273905256","0.0796076132619982"
"7","2009","lower secondary degree","Female","107","0.0356421381463335","0.0290343184387291","0.0422499578539379"
"7","2009","secondary school degree","Male","231","0.103251743130692","0.0907971360654749","0.115706350195909"
"7","2009","secondary school degree","Female","172","0.0486481141080299","0.0411030020331174","0.0561932261829424"
"7","2009","college entrance qualification","Male","317","0.13397353283196","0.120679687022708","0.147267378641211"
"7","2009","college entrance qualification","Female","149","0.0549852556515408","0.0458156607362444","0.0641548505668372"
"7","2009","Other degree","Male","27","","",""
"7","2009","Other degree","Female","14","","",""
"7","2009","no degree/no degree yet","Male","26","","",""
"7","2009","no degree/no degree yet","Female","21","","",""
"8","2009","lower secondary degree","Male","109","0.0381679188822144","0.0312100423446885","0.0451257954197404"
"8","2009","lower secondary degree","Female","51","0.021073932825773","0.0159546993172128","0.0261931663343332"
"8","2009","secondary school degree","Male","124","0.0548202049210543","0.0455032583373044","0.0641371515048041"
"8","2009","secondary school degree","Female","71","0.0222752856728914","0.0170994314417177","0.0274511399040652"
"8","2009","college entrance qualification","Male","117","0.0450384585700134","0.0369445135490153","0.0531324035910115"
"8","2009","college entrance qualification","Female","46","0.0264052742118251","0.0199555346115328","0.0328550138121173"
"8","2009","Other degree","Male","15","","",""
"8","2009","Other degree","Female","7","","",""
"8","2009","no degree/no degree yet","Male","16","","",""
"8","2009","no degree/no degree yet","Female","5","","",""
"9","2009","lower secondary degree","Male","23","","",""
"9","2009","lower secondary degree","Female","6","","",""
"9","2009","secondary school degree","Male","20","","",""
"9","2009","secondary school degree","Female","12","","",""
"9","2009","college entrance qualification","Male","17","","",""
"9","2009","college entrance qualification","Female","2","","",""
"9","2009","Other degree","Male","2","","",""
"9","2009","Other degree","Female","4","","",""
"9","2009","no degree/no degree yet","Male","3","","",""
"9","2009","no degree/no degree yet","Female","1","","",""
"10 Very willing to take risks","2009","lower secondary degree","Male","12","","",""
"10 Very willing to take risks","2009","lower secondary degree","Female","12","","",""
"10 Very willing to take risks","2009","secondary school degree","Male","15","","",""
"10 Very willing to take risks","2009","secondary school degree","Female","7","","",""
"10 Very willing to take risks","2009","college entrance qualification","Male","7","","",""
"10 Very willing to take risks","2009","college entrance qualification","Female","3","","",""
"10 Very willing to take risks","2009","Other degree","Male","1","","",""
"10 Very willing to take risks","2009","Other degree","Female","3","","",""
"10 Very willing to take risks","2009","no degree/no degree yet","Male","","","",""
"10 Very willing to take risks","2009","no degree/no degree yet","Female","","","",""
"0 Not at all Willing to take risks","2010","lower secondary degree","Male","196","0.0690285850695584","0.0604403703548563","0.0776167997842605"
"0 Not at all Willing to take risks","2010","lower secondary degree","Female","395","0.130248995614867","0.119109516872448","0.141388474357286"
"0 Not at all Willing to take risks","2010","secondary school degree","Male","97","0.0272056660245673","0.021338119188445","0.0330732128606895"
"0 Not at all Willing to take risks","2010","secondary school degree","Female","286","0.0657118783570504","0.0584732556804629","0.0729505010336379"
"0 Not at all Willing to take risks","2010","college entrance qualification","Male","51","0.0190222301796036","0.0143409124535052","0.0237035479057019"
"0 Not at all Willing to take risks","2010","college entrance qualification","Female","143","0.0374130128389112","0.0311580706873673","0.043667954990455"
"0 Not at all Willing to take risks","2010","Other degree","Male","40","0.0672829063761646","0.0489592048705093","0.0856066078818198"
"0 Not at all Willing to take risks","2010","Other degree","Female","110","0.147111699484482","0.123479051939695","0.170744347029269"
"0 Not at all Willing to take risks","2010","no degree/no degree yet","Male","13","","",""
"0 Not at all Willing to take risks","2010","no degree/no degree yet","Female","36","0.115310392295696","0.0838921036502941","0.146728680941098"
"1","2010","lower secondary degree","Male","151","0.0477074438200853","0.0404864245592343","0.0549284630809363"
"1","2010","lower secondary degree","Female","301","0.0948640211398738","0.0851658936914234","0.104562148588324"
"1","2010","secondary school degree","Male","90","0.0284719937036123","0.0224733513534806","0.034470636053744"
"1","2010","secondary school degree","Female","281","0.0709648344869439","0.0634636256223733","0.0784660433515144"
"1","2010","college entrance qualification","Male","86","0.0273072602467819","0.0217221117986641","0.0328924086948998"
"1","2010","college entrance qualification","Female","172","0.0545229620798714","0.0470394204879358","0.0620065036718071"
"1","2010","Other degree","Male","35","0.0633936466868496","0.0455703807916629","0.0812169125820362"
"1","2010","Other degree","Female","71","0.136182305806249","0.113299246683272","0.159065364929227"
"1","2010","no degree/no degree yet","Male","13","","",""
"1","2010","no degree/no degree yet","Female","19","","",""
"2","2010","lower secondary degree","Male","317","0.103739831708736","0.0934096002516059","0.114070063165866"
"2","2010","lower secondary degree","Female","532","0.166726678193254","0.15439061755079","0.179062738835719"
"2","2010","secondary school degree","Male","246","0.0856533587664973","0.0755598072630294","0.0957469102699651"
"2","2010","secondary school degree","Female","645","0.152431757458435","0.141931047791634","0.162932467125236"
"2","2010","college entrance qualification","Male","295","0.0876269345108363","0.0779371781721789","0.0973166908494936"
"2","2010","college entrance qualification","Female","536","0.163696800385608","0.151501459692367","0.175892141078849"
"2","2010","Other degree","Male","81","0.120977439294089","0.0971247103193988","0.144830168268779"
"2","2010","Other degree","Female","125","0.133782972467104","0.111070915333957","0.156495029600251"
"2","2010","no degree/no degree yet","Male","24","","",""
"2","2010","no degree/no degree yet","Female","45","0.147869836628832","0.11295213871203","0.182787534545633"
"3","2010","lower secondary degree","Male","435","0.134571094007943","0.123009656799787","0.146132531216098"
"3","2010","lower secondary degree","Female","556","0.156251227455343","0.144234159863115","0.168268295047571"
"3","2010","secondary school degree","Male","392","0.148209747136488","0.135394674157487","0.16102482011549"
"3","2010","secondary school degree","Female","727","0.172283503853777","0.161251453441217","0.183315554266337"
"3","2010","college entrance qualification","Male","457","0.151071071827716","0.13879854074705","0.163343602908381"
"3","2010","college entrance qualification","Female","644","0.195134739018378","0.182072403033387","0.208197075003369"
"3","2010","Other degree","Male","101","0.158686364868583","0.131960323366507","0.185412406370659"
"3","2010","Other degree","Female","109","0.105357330357024","0.0848740327109453","0.125840628003102"
"3","2010","no degree/no degree yet","Male","42","0.130570857481944","0.0966498524916702","0.164491862472217"
"3","2010","no degree/no degree yet","Female","44","0.127443948180245","0.0946412843050685","0.160246612055421"
"4","2010","lower secondary degree","Male","303","0.096118368466728","0.0861326524627189","0.106104084470737"
"4","2010","lower secondary degree","Female","306","0.0827153163597136","0.0735988770186637","0.0918317557007634"
"4","2010","secondary school degree","Male","277","0.105036966422895","0.0939786248270006","0.116095308018789"
"4","2010","secondary school degree","Female","464","0.100574783839175","0.0917881876429299","0.109361380035419"
"4","2010","college entrance qualification","Male","337","0.110381778796149","0.0996429146585282","0.121120642933769"
"4","2010","college entrance qualification","Female","432","0.107023508659357","0.0968340392901913","0.117212978028522"
"4","2010","Other degree","Male","66","0.0742803678620536","0.0550997484119568","0.0934609873121503"
"4","2010","Other degree","Female","76","0.093600512516941","0.0741674328008868","0.113033592232995"
"4","2010","no degree/no degree yet","Male","25","","",""
"4","2010","no degree/no degree yet","Female","39","0.0832782736212484","0.0560990243611633","0.110457522881334"
"5","2010","lower secondary degree","Male","747","0.222381593971705","0.208293477933431","0.236469710009979"
"5","2010","lower secondary degree","Female","742","0.201428222257201","0.188154358771164","0.214702085743239"
"5","2010","secondary school degree","Male","635","0.223631144256279","0.2086026121618","0.238659676350758"
"5","2010","secondary school degree","Female","1010","0.211346896481294","0.199419805549557","0.223273987413031"
"5","2010","college entrance qualification","Male","601","0.174495068722086","0.161488604997603","0.187501532446569"
"5","2010","college entrance qualification","Female","668","0.183707013599619","0.170943276096871","0.196470751102368"
"5","2010","Other degree","Male","162","0.205712589901737","0.176145734030193","0.235279445773282"
"5","2010","Other degree","Female","172","0.170379835136989","0.145296144275602","0.195463525998377"
"5","2010","no degree/no degree yet","Male","69","0.152095212071685","0.115940925070278","0.188249499073093"
"5","2010","no degree/no degree yet","Female","76","0.174754037428808","0.137398228023844","0.212109846833772"
"6","2010","lower secondary degree","Male","350","0.107805197439812","0.0972984104179565","0.118311984461668"
"6","2010","lower secondary degree","Female","242","0.0605760524531152","0.052680882090171","0.0684712228160593"
"6","2010","secondary school degree","Male","390","0.131330137029373","0.119147930904163","0.143512343154582"
"6","2010","secondary school degree","Female","420","0.0899010053078363","0.0815445869212427","0.0982574236944299"
"6","2010","college entrance qualification","Male","467","0.132611781923558","0.120989119241283","0.144234444605834"
"6","2010","college entrance qualification","Female","381","0.0932089780466173","0.0836265748237127","0.102791381269522"
"6","2010","Other degree","Male","80","0.105919395167978","0.083410097111053","0.128428693224903"
"6","2010","Other degree","Female","71","0.0939197478026584","0.0744569852340609","0.113382510371256"
"6","2010","no degree/no degree yet","Male","49","0.116708641406971","0.0843841289210912","0.14903315389285"
"6","2010","no degree/no degree yet","Female","44","0.111552198100276","0.0805845757295776","0.142519820470975"
"7","2010","lower secondary degree","Male","386","0.0979072486323122","0.0878390157001581","0.107975481564466"
"7","2010","lower secondary degree","Female","199","0.0525945156913412","0.0452066603099493","0.0599823710727331"
"7","2010","secondary school degree","Male","422","0.133101074167564","0.120849514481066","0.145352633854061"
"7","2010","secondary school degree","Female","368","0.0774834799652887","0.0696728651760377","0.0852940947545398"
"7","2010","college entrance qualification","Male","553","0.167283311775932","0.154492951963722","0.180073671588142"
"7","2010","college entrance qualification","Female","329","0.103341110972089","0.0933078489296454","0.113374373014533"
"7","2010","Other degree","Male","61","0.0643345235479181","0.0463885007086434","0.0822805463871928"
"7","2010","Other degree","Female","56","0.0599217684920428","0.0440868073319578","0.0757567296521278"
"7","2010","no degree/no degree yet","Male","63","0.214542488150445","0.173214288075954","0.255870688224937"
"7","2010","no degree/no degree yet","Female","46","0.109293583698592","0.0786021298530898","0.139985037544094"
"8","2010","lower secondary degree","Male","330","0.0882504316270821","0.0786405854264747","0.0978602778276896"
"8","2010","lower secondary degree","Female","170","0.0378574761947192","0.0315409872285827","0.0441739651608558"
"8","2010","secondary school degree","Male","286","0.0834375985607351","0.0734633936868315","0.0934118034346388"
"8","2010","secondary school degree","Female","216","0.0434852309478448","0.037527096279757","0.0494433656159326"
"8","2010","college entrance qualification","Male","327","0.099593305238148","0.0893310632918597","0.109855547184436"
"8","2010","college entrance qualification","Female","182","0.0442436658965564","0.0374658290983367","0.0510215026947762"
"8","2010","Other degree","Male","48","0.0856347653010388","0.0651669835491652","0.106102547052912"
"8","2010","Other degree","Female","45","0.0311756142785405","0.019580561395159","0.042770667161922"
"8","2010","no degree/no degree yet","Male","51","0.118406343944703","0.0858788803126849","0.150933807576722"
"8","2010","no degree/no degree yet","Female","26","","",""
"9","2010","lower secondary degree","Male","68","0.0200387697147207","0.0152913217948478","0.0247862176345937"
"9","2010","lower secondary degree","Female","24","","",""
"9","2010","secondary school degree","Male","70","0.0156656338612701","0.0111868337793862","0.020144433943154"
"9","2010","secondary school degree","Female","46","0.00793696899048968","0.00534463735768625","0.0105293006232931"
"9","2010","college entrance qualification","Male","63","0.0209591709882816","0.0160501456797536","0.0258681962968096"
"9","2010","college entrance qualification","Female","34","0.0121538495381387","0.00854230024734761","0.0157653988289298"
"9","2010","Other degree","Male","18","","",""
"9","2010","Other degree","Female","12","","",""
"9","2010","no degree/no degree yet","Male","10","","",""
"9","2010","no degree/no degree yet","Female","4","","",""
"10 Very willing to take risks","2010","lower secondary degree","Male","64","0.0124514355413173","0.00869471250309419","0.0162081585795405"
"10 Very willing to take risks","2010","lower secondary degree","Female","40","0.0104198209291084","0.0070590738506927","0.0137805680075241"
"10 Very willing to take risks","2010","secondary school degree","Male","48","0.0182566800707191","0.0134280242848652","0.0230853358565731"
"10 Very willing to take risks","2010","secondary school degree","Female","38","0.00787966031186624","0.00529662996200124","0.0104626906617312"
"10 Very willing to take risks","2010","college entrance qualification","Male","34","0.00964808579090846","0.00629825268816296","0.012997918893654"
"10 Very willing to take risks","2010","college entrance qualification","Female","15","","",""
"10 Very willing to take risks","2010","Other degree","Male","26","","",""
"10 Very willing to take risks","2010","Other degree","Female","16","","",""
"10 Very willing to take risks","2010","no degree/no degree yet","Male","20","","",""
"10 Very willing to take risks","2010","no degree/no degree yet","Female","18","","",""
"0 Not at all Willing to take risks","2011","lower secondary degree","Male","177","0.0557773832719457","0.047921231158927","0.0636335353849644"
"0 Not at all Willing to take risks","2011","lower secondary degree","Female","341","0.108252098705908","0.0978649216300321","0.118639275781785"
"0 Not at all Willing to take risks","2011","secondary school degree","Male","61","0.0216680153129838","0.0160908185976341","0.0272452120283335"
"0 Not at all Willing to take risks","2011","secondary school degree","Female","160","0.0499994910422727","0.0428261176731847","0.0571728644113607"
"0 Not at all Willing to take risks","2011","college entrance qualification","Male","33","0.0104787138012128","0.0067617157809511","0.0141957118214745"
"0 Not at all Willing to take risks","2011","college entrance qualification","Female","83","0.0295994609737256","0.0232971564234512","0.0359017655240001"
"0 Not at all Willing to take risks","2011","Other degree","Male","39","0.0712175303445278","0.0485608670246601","0.0938741936643955"
"0 Not at all Willing to take risks","2011","Other degree","Female","70","0.110951529122977","0.086750974656208","0.135152083589747"
"0 Not at all Willing to take risks","2011","no degree/no degree yet","Male","10","","",""
"0 Not at all Willing to take risks","2011","no degree/no degree yet","Female","25","","",""
"1","2011","lower secondary degree","Male","147","0.047138584411144","0.0398834284078605","0.0543937404144275"
"1","2011","lower secondary degree","Female","288","0.092196855531212","0.0825249461034236","0.101868764959"
"1","2011","secondary school degree","Male","72","0.0263734889392702","0.0202352575114402","0.0325117203671002"
"1","2011","secondary school degree","Female","188","0.0606162229337584","0.052762154355713","0.0684702915118039"
"1","2011","college entrance qualification","Male","65","0.0170034433397333","0.0122842235171165","0.0217226631623502"
"1","2011","college entrance qualification","Female","131","0.0418476009081397","0.0344014034503528","0.0492937983659265"
"1","2011","Other degree","Male","31","0.064728725397374","0.0430535401886095","0.0864039106061385"
"1","2011","Other degree","Female","65","0.0931790006748089","0.07078066447279","0.115577336876828"
"1","2011","no degree/no degree yet","Male","15","","",""
"1","2011","no degree/no degree yet","Female","21","","",""
"2","2011","lower secondary degree","Male","320","0.10548241430204","0.0949669588319552","0.115997869772124"
"2","2011","lower secondary degree","Female","502","0.147899839329337","0.136031567093683","0.159768111564992"
"2","2011","secondary school degree","Male","192","0.0735619599944558","0.0635620036163643","0.0835619163725474"
"2","2011","secondary school degree","Female","430","0.125293230613219","0.114397063060161","0.136189398166277"
"2","2011","college entrance qualification","Male","216","0.0640640452791086","0.0551257228922292","0.073002367665988"
"2","2011","college entrance qualification","Female","320","0.117606574559246","0.105627344584048","0.129585804534444"
"2","2011","Other degree","Male","55","0.0962091591738283","0.0702322384484637","0.122186079899193"
"2","2011","Other degree","Female","94","0.14781062214044","0.12046317248664","0.175158071794241"
"2","2011","no degree/no degree yet","Male","15","","",""
"2","2011","no degree/no degree yet","Female","35","0.16140965183829","0.119354993796715","0.203464309879866"
"3","2011","lower secondary degree","Male","355","0.101800132169863","0.0914486084709613","0.112151655868764"
"3","2011","lower secondary degree","Female","511","0.151511867869795","0.13952503259565","0.163498703143941"
"3","2011","secondary school degree","Male","296","0.103379084826909","0.0917167892528269","0.115041380400992"
"3","2011","secondary school degree","Female","538","0.149725550057574","0.13798181490009","0.161469285215059"
"3","2011","college entrance qualification","Male","397","0.143604882354319","0.130803777234073","0.156405987474565"
"3","2011","college entrance qualification","Female","470","0.165204912707746","0.151395239818579","0.179014585596912"
"3","2011","Other degree","Male","56","0.117784547744876","0.0893872522211589","0.146181843268593"
"3","2011","Other degree","Female","82","0.128929129535518","0.10310663338758","0.154751625683456"
"3","2011","no degree/no degree yet","Male","17","","",""
"3","2011","no degree/no degree yet","Female","22","","",""
"4","2011","lower secondary degree","Male","352","0.0989241560290438","0.0887035777944713","0.109144734263616"
"4","2011","lower secondary degree","Female","349","0.0950133085426636","0.0852100232418017","0.104816593843526"
"4","2011","secondary school degree","Male","255","0.0988139557125237","0.0873830763501516","0.110244835074896"
"4","2011","secondary school degree","Female","431","0.1178779141427","0.107264397764106","0.128491430521293"
"4","2011","college entrance qualification","Male","298","0.11103780497246","0.0995694045029517","0.122506205441968"
"4","2011","college entrance qualification","Female","334","0.11240923077613","0.10066324834875","0.12415521320351"
"4","2011","Other degree","Male","43","0.0721699986081717","0.0493740302397394","0.094965966976604"
"4","2011","Other degree","Female","51","0.0651562282044547","0.0461391655195948","0.0841732908893147"
"4","2011","no degree/no degree yet","Male","23","","",""
"4","2011","no degree/no degree yet","Female","26","","",""
"5","2011","lower secondary degree","Male","845","0.260980540468337","0.245946503404489","0.276014577532185"
"5","2011","lower secondary degree","Female","774","0.221492952968048","0.207610393080241","0.235375512855855"
"5","2011","secondary school degree","Male","636","0.242028067438363","0.22562131222571","0.258434822651016"
"5","2011","secondary school degree","Female","857","0.224585372815792","0.210850126450568","0.238320619181016"
"5","2011","college entrance qualification","Male","543","0.194394189121926","0.179948817989583","0.208839560254269"
"5","2011","college entrance qualification","Female","567","0.204209468468044","0.189218858952794","0.219200077983294"
"5","2011","Other degree","Male","105","0.230597342716962","0.193490886341059","0.267703799092866"
"5","2011","Other degree","Female","134","0.228995288971781","0.196618204341028","0.261372373602534"
"5","2011","no degree/no degree yet","Male","55","0.170759795238153","0.126203836058464","0.215315754417842"
"5","2011","no degree/no degree yet","Female","51","0.162370806038748","0.120215300499576","0.20452631157792"
"6","2011","lower secondary degree","Male","338","0.101512120753639","0.091173593467995","0.111850648039284"
"6","2011","lower secondary degree","Female","277","0.074586944108934","0.0658036476177089","0.083370240600159"
"6","2011","secondary school degree","Male","345","0.140551232408122","0.127237782900977","0.153864681915267"
"6","2011","secondary school degree","Female","376","0.105969614233964","0.0958387722413958","0.116100456226531"
"6","2011","college entrance qualification","Male","440","0.145940401066979","0.133053229016291","0.158827573117666"
"6","2011","college entrance qualification","Female","376","0.136849991609467","0.124069501828161","0.149630481390773"
"6","2011","Other degree","Male","45","0.0834581030261514","0.0590936925713506","0.107822513480952"
"6","2011","Other degree","Female","44","0.0708581774844945","0.0510870268902596","0.0906293280787294"
"6","2011","no degree/no degree yet","Male","35","0.115475376671676","0.0776335173372242","0.153317236006127"
"6","2011","no degree/no degree yet","Female","45","0.138844281155301","0.0993186085519167","0.178369953758685"
"7","2011","lower secondary degree","Male","375","0.116811208010995","0.105815767111662","0.127806648910328"
"7","2011","lower secondary degree","Female","195","0.0575292455759194","0.0497446401310502","0.0653138510207885"
"7","2011","secondary school degree","Male","382","0.146568420925326","0.133020650496505","0.160116191354146"
"7","2011","secondary school degree","Female","320","0.0953368901056635","0.085670759552934","0.105003020658393"
"7","2011","college entrance qualification","Male","518","0.17256513519626","0.158771802675307","0.186358467717213"
"7","2011","college entrance qualification","Female","321","0.121169520625129","0.109034759810407","0.133304281439852"
"7","2011","Other degree","Male","66","0.137152083936818","0.106847116322781","0.167457051550855"
"7","2011","Other degree","Female","49","0.0663665699806727","0.0471861181348283","0.085547021826517"
"7","2011","no degree/no degree yet","Male","51","0.21117613841262","0.162849648605501","0.25950262821974"
"7","2011","no degree/no degree yet","Female","34","0.0947474339638684","0.0612707034313117","0.128224164496425"
"8","2011","lower secondary degree","Male","274","0.0846856718518579","0.0751547761841462","0.0942165675195696"
"8","2011","lower secondary degree","Female","147","0.0361240999361662","0.0298857834579702","0.0423624164143622"
"8","2011","secondary school degree","Male","259","0.103311649646671","0.09165271999597","0.114970579297371"
"8","2011","secondary school degree","Female","186","0.0542851034680029","0.0468275019271771","0.0617427050088287"
