"plh0204_h","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"6","2005","(2a) intermediate vocational","higher vocational","","","",""
"6","2005","(2a) intermediate vocational","higher education","","","",""
"6","2005","(2c_gen) general maturity certificate","in school","","","",""
"6","2005","(2c_gen) general maturity certificate","inadequately","","","",""
"6","2005","(2c_gen) general maturity certificate","general elemantary","","","",""
"6","2005","(2c_gen) general maturity certificate","middle vocational","","","",""
"6","2005","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"6","2005","(2c_gen) general maturity certificate","higher vocational","","","",""
"6","2005","(2c_gen) general maturity certificate","higher education","","","",""
"6","2005","(2c_voc) vocational maturity certificate","in school","","","",""
"6","2005","(2c_voc) vocational maturity certificate","inadequately","","","",""
"6","2005","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"6","2005","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"6","2005","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"6","2005","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"6","2005","(2c_voc) vocational maturity certificate","higher education","","","",""
"6","2005","(3a) lower tertiary education","in school","","","",""
"6","2005","(3a) lower tertiary education","inadequately","","","",""
"6","2005","(3a) lower tertiary education","general elemantary","","","",""
"6","2005","(3a) lower tertiary education","middle vocational","","","",""
"6","2005","(3a) lower tertiary education","vocational + Abi","","","",""
"6","2005","(3a) lower tertiary education","higher vocational","","","",""
"6","2005","(3a) lower tertiary education","higher education","","","",""
"6","2005","(3b) higher tertiary education","in school","","","",""
"6","2005","(3b) higher tertiary education","inadequately","","","",""
"6","2005","(3b) higher tertiary education","general elemantary","","","",""
"6","2005","(3b) higher tertiary education","middle vocational","","","",""
"6","2005","(3b) higher tertiary education","vocational + Abi","","","",""
"6","2005","(3b) higher tertiary education","higher vocational","","","",""
"6","2005","(3b) higher tertiary education","higher education","","","",""
"7","2005","(0) in school","in school","","","",""
"7","2005","(0) in school","inadequately","","","",""
"7","2005","(0) in school","general elemantary","","","",""
"7","2005","(0) in school","middle vocational","","","",""
"7","2005","(0) in school","vocational + Abi","","","",""
"7","2005","(0) in school","higher vocational","","","",""
"7","2005","(0) in school","higher education","","","",""
"7","2005","(1a) inadequately completed","in school","","","",""
"7","2005","(1a) inadequately completed","inadequately","","","",""
"7","2005","(1a) inadequately completed","general elemantary","","","",""
"7","2005","(1a) inadequately completed","middle vocational","","","",""
"7","2005","(1a) inadequately completed","vocational + Abi","","","",""
"7","2005","(1a) inadequately completed","higher vocational","","","",""
"7","2005","(1a) inadequately completed","higher education","","","",""
"7","2005","(1b) general elementary school","in school","","","",""
"7","2005","(1b) general elementary school","inadequately","","","",""
"7","2005","(1b) general elementary school","general elemantary","","","",""
"7","2005","(1b) general elementary school","middle vocational","","","",""
"7","2005","(1b) general elementary school","vocational + Abi","","","",""
"7","2005","(1b) general elementary school","higher vocational","","","",""
"7","2005","(1b) general elementary school","higher education","","","",""
"7","2005","(1c) basic vocational qualification","in school","","","",""
"7","2005","(1c) basic vocational qualification","inadequately","","","",""
"7","2005","(1c) basic vocational qualification","general elemantary","","","",""
"7","2005","(1c) basic vocational qualification","middle vocational","","","",""
"7","2005","(1c) basic vocational qualification","vocational + Abi","","","",""
"7","2005","(1c) basic vocational qualification","higher vocational","","","",""
"7","2005","(1c) basic vocational qualification","higher education","","","",""
"7","2005","(2b) intermediate general qualification","in school","","","",""
"7","2005","(2b) intermediate general qualification","inadequately","","","",""
"7","2005","(2b) intermediate general qualification","general elemantary","","","",""
"7","2005","(2b) intermediate general qualification","middle vocational","","","",""
"7","2005","(2b) intermediate general qualification","vocational + Abi","","","",""
"7","2005","(2b) intermediate general qualification","higher vocational","","","",""
"7","2005","(2b) intermediate general qualification","higher education","","","",""
"7","2005","(2a) intermediate vocational","in school","","","",""
"7","2005","(2a) intermediate vocational","inadequately","","","",""
"7","2005","(2a) intermediate vocational","general elemantary","","","",""
"7","2005","(2a) intermediate vocational","middle vocational","","","",""
"7","2005","(2a) intermediate vocational","vocational + Abi","","","",""
"7","2005","(2a) intermediate vocational","higher vocational","","","",""
"7","2005","(2a) intermediate vocational","higher education","","","",""
"7","2005","(2c_gen) general maturity certificate","in school","","","",""
"7","2005","(2c_gen) general maturity certificate","inadequately","","","",""
"7","2005","(2c_gen) general maturity certificate","general elemantary","","","",""
"7","2005","(2c_gen) general maturity certificate","middle vocational","","","",""
"7","2005","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"7","2005","(2c_gen) general maturity certificate","higher vocational","","","",""
"7","2005","(2c_gen) general maturity certificate","higher education","","","",""
"7","2005","(2c_voc) vocational maturity certificate","in school","","","",""
"7","2005","(2c_voc) vocational maturity certificate","inadequately","","","",""
"7","2005","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"7","2005","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"7","2005","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"7","2005","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"7","2005","(2c_voc) vocational maturity certificate","higher education","","","",""
"7","2005","(3a) lower tertiary education","in school","","","",""
"7","2005","(3a) lower tertiary education","inadequately","","","",""
"7","2005","(3a) lower tertiary education","general elemantary","","","",""
"7","2005","(3a) lower tertiary education","middle vocational","","","",""
"7","2005","(3a) lower tertiary education","vocational + Abi","","","",""
"7","2005","(3a) lower tertiary education","higher vocational","","","",""
"7","2005","(3a) lower tertiary education","higher education","","","",""
"7","2005","(3b) higher tertiary education","in school","","","",""
"7","2005","(3b) higher tertiary education","inadequately","","","",""
"7","2005","(3b) higher tertiary education","general elemantary","","","",""
"7","2005","(3b) higher tertiary education","middle vocational","","","",""
"7","2005","(3b) higher tertiary education","vocational + Abi","","","",""
"7","2005","(3b) higher tertiary education","higher vocational","","","",""
"7","2005","(3b) higher tertiary education","higher education","","","",""
"8","2005","(0) in school","in school","","","",""
"8","2005","(0) in school","inadequately","","","",""
"8","2005","(0) in school","general elemantary","","","",""
"8","2005","(0) in school","middle vocational","","","",""
"8","2005","(0) in school","vocational + Abi","","","",""
"8","2005","(0) in school","higher vocational","","","",""
"8","2005","(0) in school","higher education","","","",""
"8","2005","(1a) inadequately completed","in school","","","",""
"8","2005","(1a) inadequately completed","inadequately","","","",""
"8","2005","(1a) inadequately completed","general elemantary","","","",""
"8","2005","(1a) inadequately completed","middle vocational","","","",""
"8","2005","(1a) inadequately completed","vocational + Abi","","","",""
"8","2005","(1a) inadequately completed","higher vocational","","","",""
"8","2005","(1a) inadequately completed","higher education","","","",""
"8","2005","(1b) general elementary school","in school","","","",""
"8","2005","(1b) general elementary school","inadequately","","","",""
"8","2005","(1b) general elementary school","general elemantary","","","",""
"8","2005","(1b) general elementary school","middle vocational","","","",""
"8","2005","(1b) general elementary school","vocational + Abi","","","",""
"8","2005","(1b) general elementary school","higher vocational","","","",""
"8","2005","(1b) general elementary school","higher education","","","",""
"8","2005","(1c) basic vocational qualification","in school","","","",""
"8","2005","(1c) basic vocational qualification","inadequately","","","",""
"8","2005","(1c) basic vocational qualification","general elemantary","","","",""
"8","2005","(1c) basic vocational qualification","middle vocational","","","",""
"8","2005","(1c) basic vocational qualification","vocational + Abi","","","",""
"8","2005","(1c) basic vocational qualification","higher vocational","","","",""
"8","2005","(1c) basic vocational qualification","higher education","","","",""
"8","2005","(2b) intermediate general qualification","in school","","","",""
"8","2005","(2b) intermediate general qualification","inadequately","","","",""
"8","2005","(2b) intermediate general qualification","general elemantary","","","",""
"8","2005","(2b) intermediate general qualification","middle vocational","","","",""
"8","2005","(2b) intermediate general qualification","vocational + Abi","","","",""
"8","2005","(2b) intermediate general qualification","higher vocational","","","",""
"8","2005","(2b) intermediate general qualification","higher education","","","",""
"8","2005","(2a) intermediate vocational","in school","","","",""
"8","2005","(2a) intermediate vocational","inadequately","","","",""
"8","2005","(2a) intermediate vocational","general elemantary","","","",""
"8","2005","(2a) intermediate vocational","middle vocational","","","",""
"8","2005","(2a) intermediate vocational","vocational + Abi","","","",""
"8","2005","(2a) intermediate vocational","higher vocational","","","",""
"8","2005","(2a) intermediate vocational","higher education","","","",""
"8","2005","(2c_gen) general maturity certificate","in school","","","",""
"8","2005","(2c_gen) general maturity certificate","inadequately","","","",""
"8","2005","(2c_gen) general maturity certificate","general elemantary","","","",""
"8","2005","(2c_gen) general maturity certificate","middle vocational","","","",""
"8","2005","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"8","2005","(2c_gen) general maturity certificate","higher vocational","","","",""
"8","2005","(2c_gen) general maturity certificate","higher education","","","",""
"8","2005","(2c_voc) vocational maturity certificate","in school","","","",""
"8","2005","(2c_voc) vocational maturity certificate","inadequately","","","",""
"8","2005","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"8","2005","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"8","2005","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"8","2005","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"8","2005","(2c_voc) vocational maturity certificate","higher education","","","",""
"8","2005","(3a) lower tertiary education","in school","","","",""
"8","2005","(3a) lower tertiary education","inadequately","","","",""
"8","2005","(3a) lower tertiary education","general elemantary","","","",""
"8","2005","(3a) lower tertiary education","middle vocational","","","",""
"8","2005","(3a) lower tertiary education","vocational + Abi","","","",""
"8","2005","(3a) lower tertiary education","higher vocational","","","",""
"8","2005","(3a) lower tertiary education","higher education","","","",""
"8","2005","(3b) higher tertiary education","in school","","","",""
"8","2005","(3b) higher tertiary education","inadequately","","","",""
"8","2005","(3b) higher tertiary education","general elemantary","","","",""
"8","2005","(3b) higher tertiary education","middle vocational","","","",""
"8","2005","(3b) higher tertiary education","vocational + Abi","","","",""
"8","2005","(3b) higher tertiary education","higher vocational","","","",""
"8","2005","(3b) higher tertiary education","higher education","","","",""
"9","2005","(0) in school","in school","","","",""
"9","2005","(0) in school","inadequately","","","",""
"9","2005","(0) in school","general elemantary","","","",""
"9","2005","(0) in school","middle vocational","","","",""
"9","2005","(0) in school","vocational + Abi","","","",""
"9","2005","(0) in school","higher vocational","","","",""
"9","2005","(0) in school","higher education","","","",""
"9","2005","(1a) inadequately completed","in school","","","",""
"9","2005","(1a) inadequately completed","inadequately","","","",""
"9","2005","(1a) inadequately completed","general elemantary","","","",""
"9","2005","(1a) inadequately completed","middle vocational","","","",""
"9","2005","(1a) inadequately completed","vocational + Abi","","","",""
"9","2005","(1a) inadequately completed","higher vocational","","","",""
"9","2005","(1a) inadequately completed","higher education","","","",""
"9","2005","(1b) general elementary school","in school","","","",""
"9","2005","(1b) general elementary school","inadequately","","","",""
"9","2005","(1b) general elementary school","general elemantary","","","",""
"9","2005","(1b) general elementary school","middle vocational","","","",""
"9","2005","(1b) general elementary school","vocational + Abi","","","",""
"9","2005","(1b) general elementary school","higher vocational","","","",""
"9","2005","(1b) general elementary school","higher education","","","",""
"9","2005","(1c) basic vocational qualification","in school","","","",""
"9","2005","(1c) basic vocational qualification","inadequately","","","",""
"9","2005","(1c) basic vocational qualification","general elemantary","","","",""
"9","2005","(1c) basic vocational qualification","middle vocational","","","",""
"9","2005","(1c) basic vocational qualification","vocational + Abi","","","",""
"9","2005","(1c) basic vocational qualification","higher vocational","","","",""
"9","2005","(1c) basic vocational qualification","higher education","","","",""
"9","2005","(2b) intermediate general qualification","in school","","","",""
"9","2005","(2b) intermediate general qualification","inadequately","","","",""
"9","2005","(2b) intermediate general qualification","general elemantary","","","",""
"9","2005","(2b) intermediate general qualification","middle vocational","","","",""
"9","2005","(2b) intermediate general qualification","vocational + Abi","","","",""
"9","2005","(2b) intermediate general qualification","higher vocational","","","",""
"9","2005","(2b) intermediate general qualification","higher education","","","",""
"9","2005","(2a) intermediate vocational","in school","","","",""
"9","2005","(2a) intermediate vocational","inadequately","","","",""
"9","2005","(2a) intermediate vocational","general elemantary","","","",""
"9","2005","(2a) intermediate vocational","middle vocational","","","",""
"9","2005","(2a) intermediate vocational","vocational + Abi","","","",""
"9","2005","(2a) intermediate vocational","higher vocational","","","",""
"9","2005","(2a) intermediate vocational","higher education","","","",""
"9","2005","(2c_gen) general maturity certificate","in school","","","",""
"9","2005","(2c_gen) general maturity certificate","inadequately","","","",""
"9","2005","(2c_gen) general maturity certificate","general elemantary","","","",""
"9","2005","(2c_gen) general maturity certificate","middle vocational","","","",""
"9","2005","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"9","2005","(2c_gen) general maturity certificate","higher vocational","","","",""
"9","2005","(2c_gen) general maturity certificate","higher education","","","",""
"9","2005","(2c_voc) vocational maturity certificate","in school","","","",""
"9","2005","(2c_voc) vocational maturity certificate","inadequately","","","",""
"9","2005","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"9","2005","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"9","2005","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"9","2005","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"9","2005","(2c_voc) vocational maturity certificate","higher education","","","",""
"9","2005","(3a) lower tertiary education","in school","","","",""
"9","2005","(3a) lower tertiary education","inadequately","","","",""
"9","2005","(3a) lower tertiary education","general elemantary","","","",""
"9","2005","(3a) lower tertiary education","middle vocational","","","",""
"9","2005","(3a) lower tertiary education","vocational + Abi","","","",""
"9","2005","(3a) lower tertiary education","higher vocational","","","",""
"9","2005","(3a) lower tertiary education","higher education","","","",""
"9","2005","(3b) higher tertiary education","in school","","","",""
"9","2005","(3b) higher tertiary education","inadequately","","","",""
"9","2005","(3b) higher tertiary education","general elemantary","","","",""
"9","2005","(3b) higher tertiary education","middle vocational","","","",""
"9","2005","(3b) higher tertiary education","vocational + Abi","","","",""
"9","2005","(3b) higher tertiary education","higher vocational","","","",""
"9","2005","(3b) higher tertiary education","higher education","","","",""
"10 Very willing to take risks","2005","(0) in school","in school","","","",""
"10 Very willing to take risks","2005","(0) in school","inadequately","","","",""
"10 Very willing to take risks","2005","(0) in school","general elemantary","","","",""
"10 Very willing to take risks","2005","(0) in school","middle vocational","","","",""
"10 Very willing to take risks","2005","(0) in school","vocational + Abi","","","",""
"10 Very willing to take risks","2005","(0) in school","higher vocational","","","",""
"10 Very willing to take risks","2005","(0) in school","higher education","","","",""
"10 Very willing to take risks","2005","(1a) inadequately completed","in school","","","",""
"10 Very willing to take risks","2005","(1a) inadequately completed","inadequately","","","",""
"10 Very willing to take risks","2005","(1a) inadequately completed","general elemantary","","","",""
"10 Very willing to take risks","2005","(1a) inadequately completed","middle vocational","","","",""
"10 Very willing to take risks","2005","(1a) inadequately completed","vocational + Abi","","","",""
"10 Very willing to take risks","2005","(1a) inadequately completed","higher vocational","","","",""
"10 Very willing to take risks","2005","(1a) inadequately completed","higher education","","","",""
"10 Very willing to take risks","2005","(1b) general elementary school","in school","","","",""
"10 Very willing to take risks","2005","(1b) general elementary school","inadequately","","","",""
"10 Very willing to take risks","2005","(1b) general elementary school","general elemantary","","","",""
"10 Very willing to take risks","2005","(1b) general elementary school","middle vocational","","","",""
"10 Very willing to take risks","2005","(1b) general elementary school","vocational + Abi","","","",""
"10 Very willing to take risks","2005","(1b) general elementary school","higher vocational","","","",""
"10 Very willing to take risks","2005","(1b) general elementary school","higher education","","","",""
"10 Very willing to take risks","2005","(1c) basic vocational qualification","in school","","","",""
"10 Very willing to take risks","2005","(1c) basic vocational qualification","inadequately","","","",""
"10 Very willing to take risks","2005","(1c) basic vocational qualification","general elemantary","","","",""
"10 Very willing to take risks","2005","(1c) basic vocational qualification","middle vocational","","","",""
"10 Very willing to take risks","2005","(1c) basic vocational qualification","vocational + Abi","","","",""
"10 Very willing to take risks","2005","(1c) basic vocational qualification","higher vocational","","","",""
"10 Very willing to take risks","2005","(1c) basic vocational qualification","higher education","","","",""
"10 Very willing to take risks","2005","(2b) intermediate general qualification","in school","","","",""
"10 Very willing to take risks","2005","(2b) intermediate general qualification","inadequately","","","",""
"10 Very willing to take risks","2005","(2b) intermediate general qualification","general elemantary","","","",""
"10 Very willing to take risks","2005","(2b) intermediate general qualification","middle vocational","","","",""
"10 Very willing to take risks","2005","(2b) intermediate general qualification","vocational + Abi","","","",""
"10 Very willing to take risks","2005","(2b) intermediate general qualification","higher vocational","","","",""
"10 Very willing to take risks","2005","(2b) intermediate general qualification","higher education","","","",""
"10 Very willing to take risks","2005","(2a) intermediate vocational","in school","","","",""
"10 Very willing to take risks","2005","(2a) intermediate vocational","inadequately","","","",""
"10 Very willing to take risks","2005","(2a) intermediate vocational","general elemantary","","","",""
"10 Very willing to take risks","2005","(2a) intermediate vocational","middle vocational","","","",""
"10 Very willing to take risks","2005","(2a) intermediate vocational","vocational + Abi","","","",""
"10 Very willing to take risks","2005","(2a) intermediate vocational","higher vocational","","","",""
"10 Very willing to take risks","2005","(2a) intermediate vocational","higher education","","","",""
"10 Very willing to take risks","2005","(2c_gen) general maturity certificate","in school","","","",""
"10 Very willing to take risks","2005","(2c_gen) general maturity certificate","inadequately","","","",""
"10 Very willing to take risks","2005","(2c_gen) general maturity certificate","general elemantary","","","",""
"10 Very willing to take risks","2005","(2c_gen) general maturity certificate","middle vocational","","","",""
"10 Very willing to take risks","2005","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"10 Very willing to take risks","2005","(2c_gen) general maturity certificate","higher vocational","","","",""
"10 Very willing to take risks","2005","(2c_gen) general maturity certificate","higher education","","","",""
"10 Very willing to take risks","2005","(2c_voc) vocational maturity certificate","in school","","","",""
"10 Very willing to take risks","2005","(2c_voc) vocational maturity certificate","inadequately","","","",""
"10 Very willing to take risks","2005","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"10 Very willing to take risks","2005","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"10 Very willing to take risks","2005","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"10 Very willing to take risks","2005","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"10 Very willing to take risks","2005","(2c_voc) vocational maturity certificate","higher education","","","",""
"10 Very willing to take risks","2005","(3a) lower tertiary education","in school","","","",""
"10 Very willing to take risks","2005","(3a) lower tertiary education","inadequately","","","",""
"10 Very willing to take risks","2005","(3a) lower tertiary education","general elemantary","","","",""
"10 Very willing to take risks","2005","(3a) lower tertiary education","middle vocational","","","",""
"10 Very willing to take risks","2005","(3a) lower tertiary education","vocational + Abi","","","",""
"10 Very willing to take risks","2005","(3a) lower tertiary education","higher vocational","","","",""
"10 Very willing to take risks","2005","(3a) lower tertiary education","higher education","","","",""
"10 Very willing to take risks","2005","(3b) higher tertiary education","in school","","","",""
"10 Very willing to take risks","2005","(3b) higher tertiary education","inadequately","","","",""
"10 Very willing to take risks","2005","(3b) higher tertiary education","general elemantary","","","",""
"10 Very willing to take risks","2005","(3b) higher tertiary education","middle vocational","","","",""
"10 Very willing to take risks","2005","(3b) higher tertiary education","vocational + Abi","","","",""
"10 Very willing to take risks","2005","(3b) higher tertiary education","higher vocational","","","",""
"10 Very willing to take risks","2005","(3b) higher tertiary education","higher education","","","",""
"0 Not at all Willing to take risks","2006","(0) in school","in school","6","","",""
"0 Not at all Willing to take risks","2006","(0) in school","inadequately","","","",""
"0 Not at all Willing to take risks","2006","(0) in school","general elemantary","","","",""
"0 Not at all Willing to take risks","2006","(0) in school","middle vocational","","","",""
"0 Not at all Willing to take risks","2006","(0) in school","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2006","(0) in school","higher vocational","","","",""
"0 Not at all Willing to take risks","2006","(0) in school","higher education","","","",""
"0 Not at all Willing to take risks","2006","(1a) inadequately completed","in school","","","",""
"0 Not at all Willing to take risks","2006","(1a) inadequately completed","inadequately","33","0.144360323780293","0.0942546888265901","0.194465958733996"
"0 Not at all Willing to take risks","2006","(1a) inadequately completed","general elemantary","","","",""
"0 Not at all Willing to take risks","2006","(1a) inadequately completed","middle vocational","4","","",""
"0 Not at all Willing to take risks","2006","(1a) inadequately completed","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2006","(1a) inadequately completed","higher vocational","","","",""
"0 Not at all Willing to take risks","2006","(1a) inadequately completed","higher education","","","",""
"0 Not at all Willing to take risks","2006","(1b) general elementary school","in school","","","",""
"0 Not at all Willing to take risks","2006","(1b) general elementary school","inadequately","6","","",""
"0 Not at all Willing to take risks","2006","(1b) general elementary school","general elemantary","246","0.144446792773407","0.128614800573227","0.160278784973586"
"0 Not at all Willing to take risks","2006","(1b) general elementary school","middle vocational","","","",""
"0 Not at all Willing to take risks","2006","(1b) general elementary school","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2006","(1b) general elementary school","higher vocational","","","",""
"0 Not at all Willing to take risks","2006","(1b) general elementary school","higher education","","","",""
"0 Not at all Willing to take risks","2006","(1c) basic vocational qualification","in school","","","",""
"0 Not at all Willing to take risks","2006","(1c) basic vocational qualification","inadequately","","","",""
"0 Not at all Willing to take risks","2006","(1c) basic vocational qualification","general elemantary","","","",""
"0 Not at all Willing to take risks","2006","(1c) basic vocational qualification","middle vocational","389","0.0779169356839597","0.0709302509954229","0.0849036203724964"
"0 Not at all Willing to take risks","2006","(1c) basic vocational qualification","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2006","(1c) basic vocational qualification","higher vocational","25","","",""
"0 Not at all Willing to take risks","2006","(1c) basic vocational qualification","higher education","","","",""
"0 Not at all Willing to take risks","2006","(2b) intermediate general qualification","in school","","","",""
"0 Not at all Willing to take risks","2006","(2b) intermediate general qualification","inadequately","","","",""
"0 Not at all Willing to take risks","2006","(2b) intermediate general qualification","general elemantary","19","","",""
"0 Not at all Willing to take risks","2006","(2b) intermediate general qualification","middle vocational","","","",""
"0 Not at all Willing to take risks","2006","(2b) intermediate general qualification","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2006","(2b) intermediate general qualification","higher vocational","","","",""
"0 Not at all Willing to take risks","2006","(2b) intermediate general qualification","higher education","","","",""
"0 Not at all Willing to take risks","2006","(2a) intermediate vocational","in school","","","",""
"0 Not at all Willing to take risks","2006","(2a) intermediate vocational","inadequately","","","",""
"0 Not at all Willing to take risks","2006","(2a) intermediate vocational","general elemantary","","","",""
"0 Not at all Willing to take risks","2006","(2a) intermediate vocational","middle vocational","160","0.0379102982075756","0.0322896337150102","0.043530962700141"
"0 Not at all Willing to take risks","2006","(2a) intermediate vocational","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2006","(2a) intermediate vocational","higher vocational","19","","",""
"0 Not at all Willing to take risks","2006","(2a) intermediate vocational","higher education","","","",""
"0 Not at all Willing to take risks","2006","(2c_gen) general maturity certificate","in school","","","",""
"0 Not at all Willing to take risks","2006","(2c_gen) general maturity certificate","inadequately","","","",""
"0 Not at all Willing to take risks","2006","(2c_gen) general maturity certificate","general elemantary","","","",""
"0 Not at all Willing to take risks","2006","(2c_gen) general maturity certificate","middle vocational","12","","",""
"0 Not at all Willing to take risks","2006","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2006","(2c_gen) general maturity certificate","higher vocational","","","",""
"0 Not at all Willing to take risks","2006","(2c_gen) general maturity certificate","higher education","","","",""
"0 Not at all Willing to take risks","2006","(2c_voc) vocational maturity certificate","in school","","","",""
"0 Not at all Willing to take risks","2006","(2c_voc) vocational maturity certificate","inadequately","","","",""
"0 Not at all Willing to take risks","2006","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"0 Not at all Willing to take risks","2006","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"0 Not at all Willing to take risks","2006","(2c_voc) vocational maturity certificate","vocational + Abi","38","0.0340763248309591","0.0238707721739532","0.0442818774879651"
"0 Not at all Willing to take risks","2006","(2c_voc) vocational maturity certificate","higher vocational","10","","",""
"0 Not at all Willing to take risks","2006","(2c_voc) vocational maturity certificate","higher education","","","",""
"0 Not at all Willing to take risks","2006","(3a) lower tertiary education","in school","","","",""
"0 Not at all Willing to take risks","2006","(3a) lower tertiary education","inadequately","","","",""
"0 Not at all Willing to take risks","2006","(3a) lower tertiary education","general elemantary","","","",""
"0 Not at all Willing to take risks","2006","(3a) lower tertiary education","middle vocational","","","",""
"0 Not at all Willing to take risks","2006","(3a) lower tertiary education","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2006","(3a) lower tertiary education","higher vocational","","","",""
"0 Not at all Willing to take risks","2006","(3a) lower tertiary education","higher education","30","0.01833190907136","0.0121449762203297","0.0245188419223904"
"0 Not at all Willing to take risks","2006","(3b) higher tertiary education","in school","","","",""
"0 Not at all Willing to take risks","2006","(3b) higher tertiary education","inadequately","","","",""
"0 Not at all Willing to take risks","2006","(3b) higher tertiary education","general elemantary","","","",""
"0 Not at all Willing to take risks","2006","(3b) higher tertiary education","middle vocational","","","",""
"0 Not at all Willing to take risks","2006","(3b) higher tertiary education","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2006","(3b) higher tertiary education","higher vocational","","","",""
"0 Not at all Willing to take risks","2006","(3b) higher tertiary education","higher education","65","0.0268741759266685","0.0208486412765571","0.0328997105767798"
"1","2006","(0) in school","in school","1","","",""
"1","2006","(0) in school","inadequately","","","",""
"1","2006","(0) in school","general elemantary","","","",""
"1","2006","(0) in school","middle vocational","","","",""
"1","2006","(0) in school","vocational + Abi","","","",""
"1","2006","(0) in school","higher vocational","","","",""
"1","2006","(0) in school","higher education","","","",""
"1","2006","(1a) inadequately completed","in school","","","",""
"1","2006","(1a) inadequately completed","inadequately","18","","",""
"1","2006","(1a) inadequately completed","general elemantary","","","",""
"1","2006","(1a) inadequately completed","middle vocational","1","","",""
"1","2006","(1a) inadequately completed","vocational + Abi","","","",""
"1","2006","(1a) inadequately completed","higher vocational","","","",""
"1","2006","(1a) inadequately completed","higher education","","","",""
"1","2006","(1b) general elementary school","in school","","","",""
"1","2006","(1b) general elementary school","inadequately","1","","",""
"1","2006","(1b) general elementary school","general elemantary","158","0.0835505455698741","0.071088566794645","0.0960125243451032"
"1","2006","(1b) general elementary school","middle vocational","","","",""
"1","2006","(1b) general elementary school","vocational + Abi","","","",""
"1","2006","(1b) general elementary school","higher vocational","","","",""
"1","2006","(1b) general elementary school","higher education","","","",""
"1","2006","(1c) basic vocational qualification","in school","","","",""
"1","2006","(1c) basic vocational qualification","inadequately","","","",""
"1","2006","(1c) basic vocational qualification","general elemantary","","","",""
"1","2006","(1c) basic vocational qualification","middle vocational","303","0.0528754748926117","0.0470423554330795","0.0587085943521439"
"1","2006","(1c) basic vocational qualification","vocational + Abi","","","",""
"1","2006","(1c) basic vocational qualification","higher vocational","22","","",""
"1","2006","(1c) basic vocational qualification","higher education","","","",""
"1","2006","(2b) intermediate general qualification","in school","","","",""
"1","2006","(2b) intermediate general qualification","inadequately","","","",""
"1","2006","(2b) intermediate general qualification","general elemantary","16","","",""
"1","2006","(2b) intermediate general qualification","middle vocational","","","",""
"1","2006","(2b) intermediate general qualification","vocational + Abi","","","",""
"1","2006","(2b) intermediate general qualification","higher vocational","","","",""
"1","2006","(2b) intermediate general qualification","higher education","","","",""
"1","2006","(2a) intermediate vocational","in school","","","",""
"1","2006","(2a) intermediate vocational","inadequately","","","",""
"1","2006","(2a) intermediate vocational","general elemantary","","","",""
"1","2006","(2a) intermediate vocational","middle vocational","157","0.0372508095836713","0.0316773389408752","0.0428242802264675"
"1","2006","(2a) intermediate vocational","vocational + Abi","","","",""
"1","2006","(2a) intermediate vocational","higher vocational","16","","",""
"1","2006","(2a) intermediate vocational","higher education","","","",""
"1","2006","(2c_gen) general maturity certificate","in school","","","",""
"1","2006","(2c_gen) general maturity certificate","inadequately","","","",""
"1","2006","(2c_gen) general maturity certificate","general elemantary","","","",""
"1","2006","(2c_gen) general maturity certificate","middle vocational","22","","",""
"1","2006","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"1","2006","(2c_gen) general maturity certificate","higher vocational","","","",""
