"year","hgtyp1hh","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","Couple + C. GT 16 ","Female","","","","","","","","","","","","","",""
"2002","Couple + C. GT 16 ","Male","","","","","","","","","","","","","",""
"2002","Couple + C. LE 16","Female","","","","","","","","","","","","","",""
"2002","Couple + C. LE 16","Male","","","","","","","","","","","","","",""
"2002","Couple + C. LE and GT 16","Female","","","","","","","","","","","","","",""
"2002","Couple + C. LE and GT 16","Male","","","","","","","","","","","","","",""
"2002","Single parent","Female","","","","","","","","","","","","","",""
"2002","Single parent","Male","","","","","","","","","","","","","",""
"2003","(Married) couple without C.","Female","","","","","","","","","","","","","",""
"2003","(Married) couple without C.","Male","","","","","","","","","","","","","",""
"2003","1-pers.-HH","Female","","","","","","","","","","","","","",""
"2003","1-pers.-HH","Male","","","","","","","","","","","","","",""
"2003","Couple + C. GT 16 ","Female","","","","","","","","","","","","","",""
"2003","Couple + C. GT 16 ","Male","","","","","","","","","","","","","",""
"2003","Couple + C. LE 16","Female","","","","","","","","","","","","","",""
"2003","Couple + C. LE 16","Male","","","","","","","","","","","","","",""
"2003","Couple + C. LE and GT 16","Female","","","","","","","","","","","","","",""
"2003","Couple + C. LE and GT 16","Male","","","","","","","","","","","","","",""
"2003","Single parent","Female","","","","","","","","","","","","","",""
"2003","Single parent","Male","","","","","","","","","","","","","",""
"2004","(Married) couple without C.","Female","","","","","","","","","","","","","",""
"2004","(Married) couple without C.","Male","","","","","","","","","","","","","",""
"2004","1-pers.-HH","Female","","","","","","","","","","","","","",""
"2004","1-pers.-HH","Male","","","","","","","","","","","","","",""
"2004","Couple + C. GT 16 ","Female","","","","","","","","","","","","","",""
"2004","Couple + C. GT 16 ","Male","","","","","","","","","","","","","",""
"2004","Couple + C. LE 16","Female","","","","","","","","","","","","","",""
"2004","Couple + C. LE 16","Male","","","","","","","","","","","","","",""
"2004","Couple + C. LE and GT 16","Female","","","","","","","","","","","","","",""
"2004","Couple + C. LE and GT 16","Male","","","","","","","","","","","","","",""
"2004","Single parent","Female","","","","","","","","","","","","","",""
