"ple0081_h","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2012","16-34 y.","general elemantary","237","0.409421644503373","0.368475089291319","0.450368199715427"
"Yes","2012","16-34 y.","middle vocational","644","0.352537978866516","0.330749608559064","0.374326349173969"
"Yes","2012","16-34 y.","vocational + Abi","116","0.310242301860326","0.262053598006406","0.358431005714246"
"Yes","2012","16-34 y.","higher vocational","46","0.383002202117361","0.296741970847516","0.469262433387206"
"Yes","2012","16-34 y.","higher education","117","0.166310675009319","0.138241029597704","0.194380320420934"
"Yes","2012","35-65 y.","in school","","","",""
"Yes","2012","35-65 y.","inadequately","60","0.545582590835604","0.455743609293168","0.635421572378041"
"Yes","2012","35-65 y.","general elemantary","311","0.394518805805222","0.359656283949044","0.429381327661399"
"Yes","2012","35-65 y.","middle vocational","2048","0.364787545884001","0.352359487499785","0.377215604268218"
"Yes","2012","35-65 y.","vocational + Abi","174","0.284038253265642","0.251414540318519","0.316661966212764"
"Yes","2012","35-65 y.","higher vocational","270","0.278698742917982","0.250172745782969","0.307224740052995"
"Yes","2012","35-65 y.","higher education","531","0.202745051718131","0.187927306199539","0.217562797236723"
"Yes","2012","66 and older","in school","","","",""
"Yes","2012","66 and older","inadequately","10","","",""
"Yes","2012","66 and older","general elemantary","69","0.10567321582562","0.0844893893155049","0.126857042335736"
"Yes","2012","66 and older","middle vocational","322","0.123615108939648","0.111181597964346","0.136048619914951"
"Yes","2012","66 and older","vocational + Abi","13","","",""
"Yes","2012","66 and older","higher vocational","27","","",""
"Yes","2012","66 and older","higher education","114","0.107272229268132","0.0893398360170072","0.125204622519257"
"No","2012","16-34 y.","in school","238","0.830909904897223","0.787239127251761","0.874580682542685"
"No","2012","16-34 y.","inadequately","24","","",""
"No","2012","16-34 y.","general elemantary","317","0.590578355496627","0.549631800284573","0.631524910708681"
"No","2012","16-34 y.","middle vocational","1203","0.647462021133484","0.625673650826031","0.669250391440936"
"No","2012","16-34 y.","vocational + Abi","238","0.689757698139674","0.641568994285754","0.737946401993594"
"No","2012","16-34 y.","higher vocational","76","0.616997797882639","0.530737566612794","0.703258029152484"
"No","2012","16-34 y.","higher education","559","0.833689324990681","0.805619679579066","0.861758970402296"
"No","2012","35-65 y.","in school","","","",""
"No","2012","35-65 y.","inadequately","58","0.454417409164396","0.364578427621959","0.544256390706832"
"No","2012","35-65 y.","general elemantary","444","0.605481194194778","0.570618672338601","0.640343716050956"
"No","2012","35-65 y.","middle vocational","3715","0.635212454115998","0.622784395731782","0.647640512500215"
"No","2012","35-65 y.","vocational + Abi","560","0.715961746734358","0.683338033787236","0.748585459681481"
"No","2012","35-65 y.","higher vocational","679","0.721301257082018","0.692775259947005","0.749827254217031"
"No","2012","35-65 y.","higher education","2297","0.797254948281869","0.782437202763277","0.812072693800461"
"No","2012","66 and older","in school","","","",""
"No","2012","66 and older","inadequately","47","0.829994697583147","0.732477871950607","0.927511523215687"
"No","2012","66 and older","general elemantary","740","0.89432678417438","0.873142957664264","0.915510610684495"
"No","2012","66 and older","middle vocational","2370","0.876384891060352","0.86395138008505","0.888818402035654"
"No","2012","66 and older","vocational + Abi","109","0.950246197359271","0.911662895969915","0.988829498748627"
"No","2012","66 and older","higher vocational","342","0.928066418955124","0.901703695266001","0.954429142644246"
"No","2012","66 and older","higher education","1030","0.892727770731868","0.874795377480743","0.910660163982993"
"Yes","2013","16-34 y.","in school","","","",""
"Yes","2013","16-34 y.","inadequately","","","",""
"Yes","2013","16-34 y.","general elemantary","","","",""
"Yes","2013","16-34 y.","middle vocational","","","",""
"Yes","2013","16-34 y.","vocational + Abi","","","",""
"Yes","2013","16-34 y.","higher vocational","","","",""
"Yes","2013","16-34 y.","higher education","","","",""
"Yes","2013","35-65 y.","in school","","","",""
"Yes","2013","35-65 y.","inadequately","","","",""
"Yes","2013","35-65 y.","general elemantary","","","",""
"Yes","2013","35-65 y.","middle vocational","","","",""
"Yes","2013","35-65 y.","vocational + Abi","","","",""
"Yes","2013","35-65 y.","higher vocational","","","",""
"Yes","2013","35-65 y.","higher education","","","",""
"Yes","2013","66 and older","in school","","","",""
"Yes","2013","66 and older","inadequately","","","",""
"Yes","2013","66 and older","general elemantary","","","",""
"Yes","2013","66 and older","middle vocational","","","",""
"Yes","2013","66 and older","vocational + Abi","","","",""
"Yes","2013","66 and older","higher vocational","","","",""
"Yes","2013","66 and older","higher education","","","",""
"No","2013","16-34 y.","in school","","","",""
"No","2013","16-34 y.","inadequately","","","",""
"No","2013","16-34 y.","general elemantary","","","",""
"No","2013","16-34 y.","middle vocational","","","",""
"No","2013","16-34 y.","vocational + Abi","","","",""
"No","2013","16-34 y.","higher vocational","","","",""
"No","2013","16-34 y.","higher education","","","",""
"No","2013","35-65 y.","in school","","","",""
"No","2013","35-65 y.","inadequately","","","",""
"No","2013","35-65 y.","general elemantary","","","",""
"No","2013","35-65 y.","middle vocational","","","",""
"No","2013","35-65 y.","vocational + Abi","","","",""
"No","2013","35-65 y.","higher vocational","","","",""
"No","2013","35-65 y.","higher education","","","",""
"No","2013","66 and older","in school","","","",""
"No","2013","66 and older","inadequately","","","",""
"No","2013","66 and older","general elemantary","","","",""
"No","2013","66 and older","middle vocational","","","",""
"No","2013","66 and older","vocational + Abi","","","",""
"No","2013","66 and older","higher vocational","","","",""
"No","2013","66 and older","higher education","","","",""
"Yes","2014","16-34 y.","in school","64","0.158778684985776","0.124974057456509","0.192583312515043"
"Yes","2014","16-34 y.","inadequately","94","0.585571994447686","0.509946367906662","0.66119762098871"
"Yes","2014","16-34 y.","general elemantary","550","0.426713239589304","0.398528778591181","0.454897700587428"
"Yes","2014","16-34 y.","middle vocational","985","0.344131398617393","0.326247841663758","0.362014955571027"
"Yes","2014","16-34 y.","vocational + Abi","161","0.284835948116958","0.245354191211594","0.324317705022323"
"Yes","2014","16-34 y.","higher vocational","37","0.240941273428016","0.167708457701618","0.314174089154413"
"Yes","2014","16-34 y.","higher education","149","0.162284996197264","0.138863375223847","0.185706617170681"
"Yes","2014","35-65 y.","in school","","","",""
"Yes","2014","35-65 y.","inadequately","151","0.546293105471336","0.489287858702246","0.603298352240427"
"Yes","2014","35-65 y.","general elemantary","549","0.461516197665396","0.433690481631315","0.489341913699477"
"Yes","2014","35-65 y.","middle vocational","2583","0.366622331737504","0.355560548144331","0.377684115330678"
"Yes","2014","35-65 y.","vocational + Abi","375","0.301518715529765","0.277657883902901","0.32537954715663"
"Yes","2014","35-65 y.","higher vocational","268","0.262452200058807","0.236685471969902","0.288218928147711"
"Yes","2014","35-65 y.","higher education","705","0.194221606323254","0.182131633738172","0.206311578908335"
"Yes","2014","66 and older","in school","","","",""
"Yes","2014","66 and older","inadequately","4","","",""
"Yes","2014","66 and older","general elemantary","75","0.119112266548242","0.0951163359829731","0.14310819711351"
"Yes","2014","66 and older","middle vocational","314","0.11963820341057","0.107117762466532","0.132158644354608"
"Yes","2014","66 and older","vocational + Abi","22","","",""
"Yes","2014","66 and older","higher vocational","25","","",""
"Yes","2014","66 and older","higher education","127","0.105865164540634","0.0882359401264641","0.123494388954803"
"No","2014","16-34 y.","in school","385","0.841221315014224","0.807416687484957","0.875025942543491"
"No","2014","16-34 y.","inadequately","69","0.414428005552314","0.33880237901129","0.490053632093338"
"No","2014","16-34 y.","general elemantary","633","0.573286760410696","0.545102299412572","0.601471221408819"
"No","2014","16-34 y.","middle vocational","1726","0.655868601382607","0.637985044428973","0.673752158336242"
"No","2014","16-34 y.","vocational + Abi","341","0.715164051883042","0.675682294977677","0.754645808788406"
"No","2014","16-34 y.","higher vocational","94","0.759058726571984","0.685825910845587","0.832291542298382"
"No","2014","16-34 y.","higher education","803","0.837715003802736","0.814293382829319","0.861136624776153"
"No","2014","35-65 y.","in school","","","",""
"No","2014","35-65 y.","inadequately","142","0.453706894528664","0.396701647759573","0.510712141297754"
"No","2014","35-65 y.","general elemantary","684","0.538483802334604","0.510658086300523","0.566309518368685"
"No","2014","35-65 y.","middle vocational","4707","0.633377668262496","0.622315884669322","0.644439451855669"
"No","2014","35-65 y.","vocational + Abi","1046","0.698481284470235","0.67462045284337","0.722342116097099"
"No","2014","35-65 y.","higher vocational","852","0.737547799941193","0.711781071852289","0.763314528030098"
"No","2014","35-65 y.","higher education","3408","0.805778393676746","0.793688421091665","0.817868366261828"
"No","2014","66 and older","in school","","","",""
"No","2014","66 and older","inadequately","46","0.888450555068148","0.801190913011525","0.975710197124771"
"No","2014","66 and older","general elemantary","625","0.880887733451758","0.85689180288649","0.904883664017027"
"No","2014","66 and older","middle vocational","2267","0.88036179658943","0.867841355645392","0.892882237533468"
"No","2014","66 and older","vocational + Abi","108","0.898287607658826","0.846327378982576","0.950247836335076"
"No","2014","66 and older","higher vocational","321","0.924464208139283","0.896620217083373","0.952308199195192"
"No","2014","66 and older","higher education","1043","0.894134835459366","0.876505611045197","0.911764059873536"
"Yes","2015","16-34 y.","in school","","","",""
"Yes","2015","16-34 y.","inadequately","","","",""
"Yes","2015","16-34 y.","general elemantary","","","",""
"Yes","2015","16-34 y.","middle vocational","","","",""
"Yes","2015","16-34 y.","vocational + Abi","","","",""
"Yes","2015","16-34 y.","higher vocational","","","",""
"Yes","2015","16-34 y.","higher education","","","",""
"Yes","2015","35-65 y.","in school","","","",""
"Yes","2015","35-65 y.","inadequately","","","",""
"Yes","2015","35-65 y.","general elemantary","","","",""
"Yes","2015","35-65 y.","middle vocational","","","",""
"Yes","2015","35-65 y.","vocational + Abi","","","",""
"Yes","2015","35-65 y.","higher vocational","","","",""
"Yes","2015","35-65 y.","higher education","","","",""
"Yes","2015","66 and older","in school","","","",""
"Yes","2015","66 and older","inadequately","","","",""
"Yes","2015","66 and older","general elemantary","","","",""
"Yes","2015","66 and older","middle vocational","","","",""
"Yes","2015","66 and older","vocational + Abi","","","",""
"Yes","2015","66 and older","higher vocational","","","",""
"Yes","2015","66 and older","higher education","","","",""
"No","2015","16-34 y.","in school","","","",""
"No","2015","16-34 y.","inadequately","","","",""
"No","2015","16-34 y.","general elemantary","","","",""
"No","2015","16-34 y.","middle vocational","","","",""
"No","2015","16-34 y.","vocational + Abi","","","",""
"No","2015","16-34 y.","higher vocational","","","",""
"No","2015","16-34 y.","higher education","","","",""
"No","2015","35-65 y.","in school","","","",""
"No","2015","35-65 y.","inadequately","","","",""
"No","2015","35-65 y.","general elemantary","","","",""
"No","2015","35-65 y.","middle vocational","","","",""
"No","2015","35-65 y.","vocational + Abi","","","",""
"No","2015","35-65 y.","higher vocational","","","",""
"No","2015","35-65 y.","higher education","","","",""
"No","2015","66 and older","in school","","","",""
"No","2015","66 and older","inadequately","","","",""
"No","2015","66 and older","general elemantary","","","",""
"No","2015","66 and older","middle vocational","","","",""
"No","2015","66 and older","vocational + Abi","","","",""
"No","2015","66 and older","higher vocational","","","",""
"No","2015","66 and older","higher education","","","",""
"Yes","2016","16-34 y.","in school","43","0.156649900855943","0.117669718189341","0.195630083522545"
"Yes","2016","16-34 y.","inadequately","62","0.478862520401891","0.388728516204442","0.56899652459934"
"Yes","2016","16-34 y.","general elemantary","423","0.421741717607327","0.390188947625936","0.453294487588717"
"Yes","2016","16-34 y.","middle vocational","703","0.302061967205572","0.282738957556398","0.321384976854746"
"Yes","2016","16-34 y.","vocational + Abi","141","0.254883331578492","0.215897183384705","0.293869479772278"
"Yes","2016","16-34 y.","higher vocational","25","","",""
"Yes","2016","16-34 y.","higher education","135","0.162808919535866","0.139232707267112","0.186385131804621"
"Yes","2016","35-65 y.","in school","","","",""
"Yes","2016","35-65 y.","inadequately","120","0.509908107351576","0.447311648336849","0.572504566366303"
"Yes","2016","35-65 y.","general elemantary","463","0.444295102035513","0.4136055018336","0.474984702237426"
"Yes","2016","35-65 y.","middle vocational","2291","0.356673494197228","0.344957906448226","0.36838908194623"
"Yes","2016","35-65 y.","vocational + Abi","391","0.292683528996409","0.26895979546961","0.316407262523208"
"Yes","2016","35-65 y.","higher vocational","233","0.262004721697506","0.234303956696382","0.289705486698631"
"Yes","2016","35-65 y.","higher education","600","0.187021276794456","0.174562767501388","0.199479786087523"
"Yes","2016","66 and older","in school","","","",""
"Yes","2016","66 and older","inadequately","5","","",""
"Yes","2016","66 and older","general elemantary","64","0.119389780689022","0.0939896259625405","0.144789935415504"
"Yes","2016","66 and older","middle vocational","282","0.116554355760145","0.103787987326927","0.129320724193363"
"Yes","2016","66 and older","vocational + Abi","22","","",""
"Yes","2016","66 and older","higher vocational","23","","",""
"Yes","2016","66 and older","higher education","123","0.10691666569734","0.0894259655204872","0.124407365874193"
"No","2016","16-34 y.","in school","291","0.843350099144057","0.804369916477455","0.882330281810659"
"No","2016","16-34 y.","inadequately","56","0.521137479598109","0.43100347540066","0.611271483795558"
"No","2016","16-34 y.","general elemantary","518","0.578258282392673","0.546705512411283","0.609811052374064"
"No","2016","16-34 y.","middle vocational","1466","0.697938032794428","0.678615023145254","0.717261042443602"
"No","2016","16-34 y.","vocational + Abi","339","0.745116668421508","0.706130520227722","0.784102816615295"
"No","2016","16-34 y.","higher vocational","88","0.839007775047682","0.77124451160209","0.906771038493274"
"No","2016","16-34 y.","higher education","807","0.837191080464134","0.813614868195379","0.860767292732888"
"No","2016","35-65 y.","in school","","","",""
"No","2016","35-65 y.","inadequately","125","0.490091892648424","0.427495433633697","0.552688351663151"
"No","2016","35-65 y.","general elemantary","544","0.555704897964487","0.525015297762574","0.5863944981664"
"No","2016","35-65 y.","middle vocational","4131","0.643326505802772","0.63161091805377","0.655042093551774"
"No","2016","35-65 y.","vocational + Abi","1022","0.707316471003591","0.683592737476792","0.73104020453039"
"No","2016","35-65 y.","higher vocational","735","0.737995278302494","0.710294513301369","0.765696043303618"
"No","2016","35-65 y.","higher education","3163","0.812978723205544","0.800520213912477","0.825437232498612"
"No","2016","66 and older","in school","","","",""
"No","2016","66 and older","inadequately","34","0.862500757215548","0.754420670797457","0.97058084363364"
"No","2016","66 and older","general elemantary","562","0.880610219310978","0.855210064584496","0.90601037403746"
"No","2016","66 and older","middle vocational","2145","0.883445644239855","0.870679275806637","0.896212012673073"
"No","2016","66 and older","vocational + Abi","108","0.892258956125684","0.838960765925284","0.945557146326083"
"No","2016","66 and older","higher vocational","306","0.916821108671555","0.886981095693059","0.946661121650051"
"No","2016","66 and older","higher education","1076","0.89308333430266","0.875592634125807","0.910574034479513"
"Yes","2017","16-34 y.","in school","","","",""
"Yes","2017","16-34 y.","inadequately","","","",""
"Yes","2017","16-34 y.","general elemantary","","","",""
"Yes","2017","16-34 y.","middle vocational","","","",""
"Yes","2017","16-34 y.","vocational + Abi","","","",""
"Yes","2017","16-34 y.","higher vocational","","","",""
"Yes","2017","16-34 y.","higher education","","","",""
"Yes","2017","35-65 y.","in school","","","",""
"Yes","2017","35-65 y.","inadequately","","","",""
"Yes","2017","35-65 y.","general elemantary","","","",""
"Yes","2017","35-65 y.","middle vocational","","","",""
"Yes","2017","35-65 y.","vocational + Abi","","","",""
"Yes","2017","35-65 y.","higher vocational","","","",""
"Yes","2017","35-65 y.","higher education","","","",""
"Yes","2017","66 and older","in school","","","",""
"Yes","2017","66 and older","inadequately","","","",""
"Yes","2017","66 and older","general elemantary","","","",""
"Yes","2017","66 and older","middle vocational","","","",""
"Yes","2017","66 and older","vocational + Abi","","","",""
"Yes","2017","66 and older","higher vocational","","","",""
"Yes","2017","66 and older","higher education","","","",""
"No","2017","16-34 y.","in school","","","",""
"No","2017","16-34 y.","inadequately","","","",""
"No","2017","16-34 y.","general elemantary","","","",""
"No","2017","16-34 y.","middle vocational","","","",""
"No","2017","16-34 y.","vocational + Abi","","","",""
"No","2017","16-34 y.","higher vocational","","","",""
"No","2017","16-34 y.","higher education","","","",""
"No","2017","35-65 y.","in school","","","",""
"No","2017","35-65 y.","inadequately","","","",""
"No","2017","35-65 y.","general elemantary","","","",""
"No","2017","35-65 y.","middle vocational","","","",""
"No","2017","35-65 y.","vocational + Abi","","","",""
"No","2017","35-65 y.","higher vocational","","","",""
"No","2017","35-65 y.","higher education","","","",""
"No","2017","66 and older","in school","","","",""
"No","2017","66 and older","inadequately","","","",""
"No","2017","66 and older","general elemantary","","","",""
"No","2017","66 and older","middle vocational","","","",""
"No","2017","66 and older","vocational + Abi","","","",""
"No","2017","66 and older","higher vocational","","","",""
"No","2017","66 and older","higher education","","","",""
"Yes","2018","16-34 y.","in school","32","0.0768412198253341","0.0482778011842888","0.105404638466379"
"Yes","2018","16-34 y.","inadequately","77","0.387040480159424","0.307209003164474","0.466871957154373"
"Yes","2018","16-34 y.","general elemantary","428","0.461744685451331","0.430225026241965","0.493264344660697"
"Yes","2018","16-34 y.","middle vocational","678","0.293894464776919","0.275277251058362","0.312511678495477"
"Yes","2018","16-34 y.","vocational + Abi","136","0.213586923449907","0.177770947336061","0.249402899563752"
"Yes","2018","16-34 y.","higher vocational","28","","",""
"Yes","2018","16-34 y.","higher education","154","0.14718827953335","0.125635037349822","0.168741521716877"
"Yes","2018","35-65 y.","in school","1","","",""
"Yes","2018","35-65 y.","inadequately","141","0.515766190501084","0.458640900846098","0.572891480156071"
"Yes","2018","35-65 y.","general elemantary","512","0.442633256475617","0.413280810671546","0.471985702279688"
"Yes","2018","35-65 y.","middle vocational","2314","0.356294078974249","0.344760375863489","0.367827782085009"
"Yes","2018","35-65 y.","vocational + Abi","391","0.313628262891248","0.289788392677119","0.337468133105376"
"Yes","2018","35-65 y.","higher vocational","220","0.255321570751725","0.227909420768839","0.282733720734611"
"Yes","2018","35-65 y.","higher education","601","0.178211104183714","0.166323358184805","0.190098850182623"
"Yes","2018","66 and older","in school","","","",""
"Yes","2018","66 and older","inadequately","11","","",""
"Yes","2018","66 and older","general elemantary","62","0.11258710170964","0.0873583000191016","0.137815903400178"
"Yes","2018","66 and older","middle vocational","322","0.112280895925569","0.100060654152251","0.124501137698888"
"Yes","2018","66 and older","vocational + Abi","21","","",""
"Yes","2018","66 and older","higher vocational","31","0.0914237886840042","0.0613154323282943","0.121532145039714"
"Yes","2018","66 and older","higher education","129","0.0950927391207435","0.0791221364391709","0.111063341802316"
"No","2018","16-34 y.","in school","302","0.923158780174666","0.894595361533621","0.951722198815711"
"No","2018","16-34 y.","inadequately","66","0.612959519840576","0.533128042845627","0.692790996835526"
"No","2018","16-34 y.","general elemantary","533","0.538255314548669","0.506735655339303","0.569774973758035"
"No","2018","16-34 y.","middle vocational","1622","0.706105535223081","0.687488321504523","0.724722748941638"
"No","2018","16-34 y.","vocational + Abi","367","0.786413076550093","0.750597100436248","0.822229052663939"
"No","2018","16-34 y.","higher vocational","96","0.785878582471664","0.713677280358185","0.858079884585143"
"No","2018","16-34 y.","higher education","884","0.85281172046665","0.831258478283122","0.874364962650178"
"No","2018","35-65 y.","in school","","","",""
"No","2018","35-65 y.","inadequately","153","0.484233809498916","0.427108519843929","0.541359099153902"
"No","2018","35-65 y.","general elemantary","588","0.557366743524383","0.528014297720311","0.586719189328454"
"No","2018","35-65 y.","middle vocational","4309","0.643705921025751","0.632172217914991","0.655239624136511"
"No","2018","35-65 y.","vocational + Abi","1064","0.686371737108752","0.662531866894624","0.710211607322881"
"No","2018","35-65 y.","higher vocational","752","0.744678429248275","0.717266279265389","0.772090579231161"
"No","2018","35-65 y.","higher education","3380","0.821788895816286","0.809901149817376","0.833676641815195"
"No","2018","66 and older","in school","","","",""
"No","2018","66 and older","inadequately","27","","",""
"No","2018","66 and older","general elemantary","541","0.887412898290361","0.862184096599823","0.912641699980899"
"No","2018","66 and older","middle vocational","2242","0.887719104074431","0.875498862301112","0.899939345847749"
"No","2018","66 and older","vocational + Abi","134","0.883989918105882","0.833575615416302","0.934404220795462"
"No","2018","66 and older","higher vocational","321","0.908576211315996","0.878467854960286","0.938684567671706"
"No","2018","66 and older","higher education","1167","0.904907260879257","0.888936658197684","0.920877863560829"
