"ple0081_h","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","2005","Other degree","(3b) higher tertiary education","","","",""
"No","2005","no degree/no degree yet","(0) in school","","","",""
"No","2005","no degree/no degree yet","(1a) inadequately completed","","","",""
"No","2005","no degree/no degree yet","(1b) general elementary school","","","",""
"No","2005","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","2005","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","2005","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","2005","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","2005","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","2005","no degree/no degree yet","(3a) lower tertiary education","","","",""
"No","2005","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Yes","2006","lower secondary degree","(0) in school","","","",""
"Yes","2006","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","2006","lower secondary degree","(1b) general elementary school","473","0.289518208633777","0.267197348966656","0.311839068300899"
"Yes","2006","lower secondary degree","(1c) basic vocational qualification","1737","0.305714825105555","0.293855126930057","0.317574523281053"
"Yes","2006","lower secondary degree","(2b) intermediate general qualification","2","","",""
"Yes","2006","lower secondary degree","(2a) intermediate vocational","7","","",""
"Yes","2006","lower secondary degree","(2c_gen) general maturity certificate","5","","",""
"Yes","2006","lower secondary degree","(2c_voc) vocational maturity certificate","6","","",""
"Yes","2006","lower secondary degree","(3a) lower tertiary education","17","","",""
"Yes","2006","lower secondary degree","(3b) higher tertiary education","8","","",""
"Yes","2006","secondary school degree","(0) in school","","","",""
"Yes","2006","secondary school degree","(1a) inadequately completed","","","",""
"Yes","2006","secondary school degree","(1b) general elementary school","","","",""
"Yes","2006","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","2006","secondary school degree","(2b) intermediate general qualification","250","0.467676023436979","0.427174218267662","0.508177828606296"
"Yes","2006","secondary school degree","(2a) intermediate vocational","1663","0.334344366606782","0.321471148185626","0.347217585027937"
"Yes","2006","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","2006","secondary school degree","(2c_voc) vocational maturity certificate","8","","",""
"Yes","2006","secondary school degree","(3a) lower tertiary education","124","0.246174272461658","0.210558961338523","0.281789583584792"
"Yes","2006","secondary school degree","(3b) higher tertiary education","32","0.246331561103941","0.173104354987074","0.319558767220808"
"Yes","2006","college entrance qualification","(0) in school","","","",""
"Yes","2006","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","2006","college entrance qualification","(1b) general elementary school","","","",""
"Yes","2006","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","2006","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","2006","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","2006","college entrance qualification","(2c_gen) general maturity certificate","227","0.269480599608961","0.237915524100367","0.301045675117555"
"Yes","2006","college entrance qualification","(2c_voc) vocational maturity certificate","379","0.276018628902079","0.252644102421617","0.29939315538254"
"Yes","2006","college entrance qualification","(3a) lower tertiary education","237","0.254824102495515","0.228529203162639","0.281119001828391"
"Yes","2006","college entrance qualification","(3b) higher tertiary education","424","0.191784993026009","0.176053460043713","0.207516526008306"
"Yes","2006","Other degree","(0) in school","","","",""
"Yes","2006","Other degree","(1a) inadequately completed","","","",""
"Yes","2006","Other degree","(1b) general elementary school","110","0.294354977126559","0.248349848529776","0.340360105723341"
"Yes","2006","Other degree","(1c) basic vocational qualification","122","0.342394951237171","0.295540999525473","0.389248902948869"
"Yes","2006","Other degree","(2b) intermediate general qualification","","","",""
"Yes","2006","Other degree","(2a) intermediate vocational","","","",""
"Yes","2006","Other degree","(2c_gen) general maturity certificate","23","","",""
"Yes","2006","Other degree","(2c_voc) vocational maturity certificate","55","0.343767284348997","0.271075157196831","0.416459411501164"
"Yes","2006","Other degree","(3a) lower tertiary education","7","","",""
"Yes","2006","Other degree","(3b) higher tertiary education","32","0.203540128306574","0.144391447693015","0.262688808920134"
"Yes","2006","no degree/no degree yet","(0) in school","90","0.238916455063476","0.197539625850242","0.28029328427671"
"Yes","2006","no degree/no degree yet","(1a) inadequately completed","88","0.407211298549816","0.345564142487697","0.468858454611936"
"Yes","2006","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","2006","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","2006","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","2006","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","2006","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","2006","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","2006","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","2006","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","2006","lower secondary degree","(0) in school","","","",""
"No","2006","lower secondary degree","(1a) inadequately completed","","","",""
"No","2006","lower secondary degree","(1b) general elementary school","1113","0.710481791366223","0.688160931699101","0.732802651033344"
"No","2006","lower secondary degree","(1c) basic vocational qualification","4060","0.694285174894445","0.682425476718947","0.706144873069943"
"No","2006","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","2006","lower secondary degree","(2a) intermediate vocational","13","","",""
"No","2006","lower secondary degree","(2c_gen) general maturity certificate","3","","",""
"No","2006","lower secondary degree","(2c_voc) vocational maturity certificate","20","","",""
"No","2006","lower secondary degree","(3a) lower tertiary education","133","0.877668014229984","0.825231041665503","0.930104986794466"
"No","2006","lower secondary degree","(3b) higher tertiary education","38","0.714925583281553","0.584465180036794","0.845385986526311"
"No","2006","secondary school degree","(0) in school","","","",""
"No","2006","secondary school degree","(1a) inadequately completed","","","",""
"No","2006","secondary school degree","(1b) general elementary school","","","",""
"No","2006","secondary school degree","(1c) basic vocational qualification","","","",""
"No","2006","secondary school degree","(2b) intermediate general qualification","333","0.532323976563021","0.491822171393704","0.572825781732338"
"No","2006","secondary school degree","(2a) intermediate vocational","3496","0.665655633393218","0.652782414972063","0.678528851814374"
"No","2006","secondary school degree","(2c_gen) general maturity certificate","3","","",""
"No","2006","secondary school degree","(2c_voc) vocational maturity certificate","34","0.852613803018064","0.745405596235976","0.959822009800153"
"No","2006","secondary school degree","(3a) lower tertiary education","438","0.753825727538342","0.718210416415208","0.789441038661477"
"No","2006","secondary school degree","(3b) higher tertiary education","101","0.753668438896059","0.680441232779192","0.826895645012926"
"No","2006","college entrance qualification","(0) in school","","","",""
"No","2006","college entrance qualification","(1a) inadequately completed","","","",""
"No","2006","college entrance qualification","(1b) general elementary school","","","",""
"No","2006","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","2006","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","2006","college entrance qualification","(2a) intermediate vocational","","","",""
"No","2006","college entrance qualification","(2c_gen) general maturity certificate","532","0.730519400391039","0.698954324882445","0.762084475899633"
"No","2006","college entrance qualification","(2c_voc) vocational maturity certificate","1026","0.723981371097921","0.70060684461746","0.747355897578383"
"No","2006","college entrance qualification","(3a) lower tertiary education","818","0.745175897504485","0.718880998171609","0.771470796837361"
"No","2006","college entrance qualification","(3b) higher tertiary education","1982","0.808215006973991","0.792483473991694","0.823946539956287"
"No","2006","Other degree","(0) in school","","","",""
"No","2006","Other degree","(1a) inadequately completed","","","",""
"No","2006","Other degree","(1b) general elementary school","267","0.705645022873441","0.659639894276659","0.751650151470224"
"No","2006","Other degree","(1c) basic vocational qualification","272","0.657605048762829","0.610751097051131","0.704459000474527"
"No","2006","Other degree","(2b) intermediate general qualification","","","",""
"No","2006","Other degree","(2a) intermediate vocational","","","",""
"No","2006","Other degree","(2c_gen) general maturity certificate","38","0.479844485790794","0.354472636734489","0.605216334847099"
"No","2006","Other degree","(2c_voc) vocational maturity certificate","109","0.656232715651003","0.583540588498836","0.728924842803169"
"No","2006","Other degree","(3a) lower tertiary education","23","","",""
"No","2006","Other degree","(3b) higher tertiary education","146","0.796459871693426","0.737311191079866","0.855608552306985"
"No","2006","no degree/no degree yet","(0) in school","318","0.761083544936524","0.71970671572329","0.802460374149758"
"No","2006","no degree/no degree yet","(1a) inadequately completed","156","0.592788701450184","0.531141545388064","0.654435857512303"
"No","2006","no degree/no degree yet","(1b) general elementary school","","","",""
"No","2006","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","2006","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","2006","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","2006","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","2006","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","2006","no degree/no degree yet","(3a) lower tertiary education","2","","",""
"No","2006","no degree/no degree yet","(3b) higher tertiary education","3","","",""
"Yes","2007","lower secondary degree","(0) in school","","","",""
"Yes","2007","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","2007","lower secondary degree","(1b) general elementary school","","","",""
"Yes","2007","lower secondary degree","(1c) basic vocational qualification","","","",""
"Yes","2007","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes","2007","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes","2007","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes","2007","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","lower secondary degree","(3a) lower tertiary education","","","",""
"Yes","2007","lower secondary degree","(3b) higher tertiary education","","","",""
"Yes","2007","secondary school degree","(0) in school","","","",""
"Yes","2007","secondary school degree","(1a) inadequately completed","","","",""
"Yes","2007","secondary school degree","(1b) general elementary school","","","",""
"Yes","2007","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","2007","secondary school degree","(2b) intermediate general qualification","","","",""
"Yes","2007","secondary school degree","(2a) intermediate vocational","","","",""
"Yes","2007","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","2007","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","secondary school degree","(3a) lower tertiary education","","","",""
"Yes","2007","secondary school degree","(3b) higher tertiary education","","","",""
"Yes","2007","college entrance qualification","(0) in school","","","",""
"Yes","2007","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","2007","college entrance qualification","(1b) general elementary school","","","",""
"Yes","2007","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","2007","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","2007","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","2007","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Yes","2007","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","college entrance qualification","(3a) lower tertiary education","","","",""
"Yes","2007","college entrance qualification","(3b) higher tertiary education","","","",""
"Yes","2007","Other degree","(0) in school","","","",""
"Yes","2007","Other degree","(1a) inadequately completed","","","",""
"Yes","2007","Other degree","(1b) general elementary school","","","",""
"Yes","2007","Other degree","(1c) basic vocational qualification","","","",""
"Yes","2007","Other degree","(2b) intermediate general qualification","","","",""
"Yes","2007","Other degree","(2a) intermediate vocational","","","",""
"Yes","2007","Other degree","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Other degree","(3a) lower tertiary education","","","",""
"Yes","2007","Other degree","(3b) higher tertiary education","","","",""
"Yes","2007","no degree/no degree yet","(0) in school","","","",""
"Yes","2007","no degree/no degree yet","(1a) inadequately completed","","","",""
"Yes","2007","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","2007","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","2007","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","2007","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","2007","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","2007","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","2007","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","2007","lower secondary degree","(0) in school","","","",""
"No","2007","lower secondary degree","(1a) inadequately completed","","","",""
"No","2007","lower secondary degree","(1b) general elementary school","","","",""
"No","2007","lower secondary degree","(1c) basic vocational qualification","","","",""
"No","2007","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","2007","lower secondary degree","(2a) intermediate vocational","","","",""
"No","2007","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"No","2007","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"No","2007","lower secondary degree","(3a) lower tertiary education","","","",""
"No","2007","lower secondary degree","(3b) higher tertiary education","","","",""
"No","2007","secondary school degree","(0) in school","","","",""
"No","2007","secondary school degree","(1a) inadequately completed","","","",""
"No","2007","secondary school degree","(1b) general elementary school","","","",""
"No","2007","secondary school degree","(1c) basic vocational qualification","","","",""
"No","2007","secondary school degree","(2b) intermediate general qualification","","","",""
"No","2007","secondary school degree","(2a) intermediate vocational","","","",""
"No","2007","secondary school degree","(2c_gen) general maturity certificate","","","",""
"No","2007","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"No","2007","secondary school degree","(3a) lower tertiary education","","","",""
"No","2007","secondary school degree","(3b) higher tertiary education","","","",""
"No","2007","college entrance qualification","(0) in school","","","",""
"No","2007","college entrance qualification","(1a) inadequately completed","","","",""
"No","2007","college entrance qualification","(1b) general elementary school","","","",""
"No","2007","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","2007","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","2007","college entrance qualification","(2a) intermediate vocational","","","",""
"No","2007","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"No","2007","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"No","2007","college entrance qualification","(3a) lower tertiary education","","","",""
"No","2007","college entrance qualification","(3b) higher tertiary education","","","",""
"No","2007","Other degree","(0) in school","","","",""
"No","2007","Other degree","(1a) inadequately completed","","","",""
"No","2007","Other degree","(1b) general elementary school","","","",""
"No","2007","Other degree","(1c) basic vocational qualification","","","",""
"No","2007","Other degree","(2b) intermediate general qualification","","","",""
"No","2007","Other degree","(2a) intermediate vocational","","","",""
"No","2007","Other degree","(2c_gen) general maturity certificate","","","",""
"No","2007","Other degree","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Other degree","(3a) lower tertiary education","","","",""
"No","2007","Other degree","(3b) higher tertiary education","","","",""
"No","2007","no degree/no degree yet","(0) in school","","","",""
"No","2007","no degree/no degree yet","(1a) inadequately completed","","","",""
"No","2007","no degree/no degree yet","(1b) general elementary school","","","",""
"No","2007","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","2007","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","2007","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","2007","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","2007","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","2007","no degree/no degree yet","(3a) lower tertiary education","","","",""
"No","2007","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Yes","2008","lower secondary degree","(0) in school","","","",""
"Yes","2008","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","2008","lower secondary degree","(1b) general elementary school","360","0.28644326065845","0.26185787212569","0.311028649191211"
"Yes","2008","lower secondary degree","(1c) basic vocational qualification","1471","0.310919791102992","0.298049965418976","0.323789616787007"
"Yes","2008","lower secondary degree","(2b) intermediate general qualification","2","","",""
"Yes","2008","lower secondary degree","(2a) intermediate vocational","7","","",""
"Yes","2008","lower secondary degree","(2c_gen) general maturity certificate","4","","",""
"Yes","2008","lower secondary degree","(2c_voc) vocational maturity certificate","5","","",""
"Yes","2008","lower secondary degree","(3a) lower tertiary education","19","","",""
"Yes","2008","lower secondary degree","(3b) higher tertiary education","6","","",""
"Yes","2008","secondary school degree","(0) in school","","","",""
"Yes","2008","secondary school degree","(1a) inadequately completed","","","",""
"Yes","2008","secondary school degree","(1b) general elementary school","","","",""
"Yes","2008","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","2008","secondary school degree","(2b) intermediate general qualification","180","0.370194623147824","0.326953340314665","0.413435905980983"
"Yes","2008","secondary school degree","(2a) intermediate vocational","1399","0.31220695647564","0.298857773745964","0.325556139205317"
"Yes","2008","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","2008","secondary school degree","(2c_voc) vocational maturity certificate","8","","",""
"Yes","2008","secondary school degree","(3a) lower tertiary education","112","0.228078437335043","0.191373462291697","0.26478341237839"
"Yes","2008","secondary school degree","(3b) higher tertiary education","26","","",""
"Yes","2008","college entrance qualification","(0) in school","","","",""
"Yes","2008","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","2008","college entrance qualification","(1b) general elementary school","","","",""
"Yes","2008","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","2008","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","2008","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","2008","college entrance qualification","(2c_gen) general maturity certificate","172","0.233482002570438","0.201755249964708","0.265208755176168"
"Yes","2008","college entrance qualification","(2c_voc) vocational maturity certificate","321","0.254381147844212","0.230314884099681","0.278447411588743"
"Yes","2008","college entrance qualification","(3a) lower tertiary education","200","0.215278345990358","0.189399542370869","0.241157149609847"
"Yes","2008","college entrance qualification","(3b) higher tertiary education","355","0.16116648207952","0.145933206428248","0.176399757730793"
"Yes","2008","Other degree","(0) in school","","","",""
"Yes","2008","Other degree","(1a) inadequately completed","","","",""
"Yes","2008","Other degree","(1b) general elementary school","74","0.264492581656566","0.213729337548394","0.315255825764737"
"Yes","2008","Other degree","(1c) basic vocational qualification","92","0.344124291659821","0.290454083268719","0.397794500050924"
"Yes","2008","Other degree","(2b) intermediate general qualification","","","",""
"Yes","2008","Other degree","(2a) intermediate vocational","","","",""
"Yes","2008","Other degree","(2c_gen) general maturity certificate","14","","",""
"Yes","2008","Other degree","(2c_voc) vocational maturity certificate","42","0.380040330450787","0.297547000824295","0.462533660077279"
"Yes","2008","Other degree","(3a) lower tertiary education","5","","",""
"Yes","2008","Other degree","(3b) higher tertiary education","25","","",""
"Yes","2008","no degree/no degree yet","(0) in school","57","0.181695604139017","0.141697110565031","0.221694097713003"
"Yes","2008","no degree/no degree yet","(1a) inadequately completed","75","0.39951600509714","0.329871140254402","0.469160869939878"
"Yes","2008","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","2008","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","2008","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","2008","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","2008","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","2008","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","2008","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","2008","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","2008","lower secondary degree","(0) in school","","","",""
"No","2008","lower secondary degree","(1a) inadequately completed","","","",""
"No","2008","lower secondary degree","(1b) general elementary school","939","0.71355673934155","0.688971350808789","0.73814212787431"
"No","2008","lower secondary degree","(1c) basic vocational qualification","3498","0.689080208897008","0.676210383212993","0.701950034581024"
"No","2008","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","2008","lower secondary degree","(2a) intermediate vocational","11","","",""
"No","2008","lower secondary degree","(2c_gen) general maturity certificate","3","","",""
"No","2008","lower secondary degree","(2c_voc) vocational maturity certificate","16","","",""
"No","2008","lower secondary degree","(3a) lower tertiary education","118","0.847718535024911","0.787554470274707","0.907882599775115"
"No","2008","lower secondary degree","(3b) higher tertiary education","34","0.763214192596093","0.63147374088963","0.894954644302556"
"No","2008","secondary school degree","(0) in school","","","",""
"No","2008","secondary school degree","(1a) inadequately completed","","","",""
"No","2008","secondary school degree","(1b) general elementary school","","","",""
"No","2008","secondary school degree","(1c) basic vocational qualification","","","",""
"No","2008","secondary school degree","(2b) intermediate general qualification","299","0.629805376852176","0.586564094019017","0.673046659685335"
"No","2008","secondary school degree","(2a) intermediate vocational","3230","0.68779304352436","0.674443860794684","0.701142226254036"
"No","2008","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"No","2008","secondary school degree","(2c_voc) vocational maturity certificate","29","","",""
"No","2008","secondary school degree","(3a) lower tertiary education","390","0.771921562664957","0.735216587621611","0.808626537708303"
"No","2008","secondary school degree","(3b) higher tertiary education","84","0.782119337385732","0.704976145564258","0.859262529207207"
"No","2008","college entrance qualification","(0) in school","","","",""
"No","2008","college entrance qualification","(1a) inadequately completed","","","",""
"No","2008","college entrance qualification","(1b) general elementary school","","","",""
"No","2008","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","2008","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","2008","college entrance qualification","(2a) intermediate vocational","","","",""
"No","2008","college entrance qualification","(2c_gen) general maturity certificate","511","0.766517997429562","0.734791244823832","0.798244750035292"
"No","2008","college entrance qualification","(2c_voc) vocational maturity certificate","937","0.745618852155788","0.721552588411257","0.76968511590032"
"No","2008","college entrance qualification","(3a) lower tertiary education","769","0.784721654009642","0.758842850390153","0.810600457629131"
"No","2008","college entrance qualification","(3b) higher tertiary education","1883","0.83883351792048","0.823600242269207","0.854066793571752"
"No","2008","Other degree","(0) in school","","","",""
"No","2008","Other degree","(1a) inadequately completed","","","",""
"No","2008","Other degree","(1b) general elementary school","216","0.735507418343435","0.684744174235263","0.786270662451606"
"No","2008","Other degree","(1c) basic vocational qualification","209","0.655875708340179","0.602205499949076","0.709545916731282"
"No","2008","Other degree","(2b) intermediate general qualification","","","",""
"No","2008","Other degree","(2a) intermediate vocational","","","",""
"No","2008","Other degree","(2c_gen) general maturity certificate","34","0.612017213209251","0.47416443599977","0.749869990418732"
"No","2008","Other degree","(2c_voc) vocational maturity certificate","91","0.619959669549213","0.537466339922721","0.702452999175705"
"No","2008","Other degree","(3a) lower tertiary education","25","","",""
"No","2008","Other degree","(3b) higher tertiary education","124","0.767237390807309","0.699383236028153","0.835091545586466"
"No","2008","no degree/no degree yet","(0) in school","300","0.818304395860983","0.778305902286997","0.858302889434969"
"No","2008","no degree/no degree yet","(1a) inadequately completed","115","0.60048399490286","0.530839130060122","0.670128859745598"
"No","2008","no degree/no degree yet","(1b) general elementary school","","","",""
"No","2008","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","2008","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","2008","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","2008","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","2008","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","2008","no degree/no degree yet","(3a) lower tertiary education","1","","",""
"No","2008","no degree/no degree yet","(3b) higher tertiary education","3","","",""
"Yes","2009","lower secondary degree","(0) in school","","","",""
"Yes","2009","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","2009","lower secondary degree","(1b) general elementary school","","","",""
"Yes","2009","lower secondary degree","(1c) basic vocational qualification","","","",""
"Yes","2009","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes","2009","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes","2009","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes","2009","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2009","lower secondary degree","(3a) lower tertiary education","","","",""
"Yes","2009","lower secondary degree","(3b) higher tertiary education","","","",""
"Yes","2009","secondary school degree","(0) in school","","","",""
"Yes","2009","secondary school degree","(1a) inadequately completed","","","",""
"Yes","2009","secondary school degree","(1b) general elementary school","","","",""
"Yes","2009","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","2009","secondary school degree","(2b) intermediate general qualification","","","",""
"Yes","2009","secondary school degree","(2a) intermediate vocational","","","",""
"Yes","2009","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","2009","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2009","secondary school degree","(3a) lower tertiary education","","","",""
"Yes","2009","secondary school degree","(3b) higher tertiary education","","","",""
"Yes","2009","college entrance qualification","(0) in school","","","",""
"Yes","2009","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","2009","college entrance qualification","(1b) general elementary school","","","",""
"Yes","2009","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","2009","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","2009","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","2009","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Yes","2009","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Yes","2009","college entrance qualification","(3a) lower tertiary education","","","",""
"Yes","2009","college entrance qualification","(3b) higher tertiary education","","","",""
"Yes","2009","Other degree","(0) in school","","","",""
"Yes","2009","Other degree","(1a) inadequately completed","","","",""
"Yes","2009","Other degree","(1b) general elementary school","","","",""
"Yes","2009","Other degree","(1c) basic vocational qualification","","","",""
"Yes","2009","Other degree","(2b) intermediate general qualification","","","",""
"Yes","2009","Other degree","(2a) intermediate vocational","","","",""
"Yes","2009","Other degree","(2c_gen) general maturity certificate","","","",""
"Yes","2009","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2009","Other degree","(3a) lower tertiary education","","","",""
"Yes","2009","Other degree","(3b) higher tertiary education","","","",""
"Yes","2009","no degree/no degree yet","(0) in school","","","",""
"Yes","2009","no degree/no degree yet","(1a) inadequately completed","","","",""
"Yes","2009","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","2009","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","2009","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","2009","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","2009","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","2009","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","2009","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","2009","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","2009","lower secondary degree","(0) in school","","","",""
"No","2009","lower secondary degree","(1a) inadequately completed","","","",""
"No","2009","lower secondary degree","(1b) general elementary school","","","",""
"No","2009","lower secondary degree","(1c) basic vocational qualification","","","",""
"No","2009","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","2009","lower secondary degree","(2a) intermediate vocational","","","",""
"No","2009","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"No","2009","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"No","2009","lower secondary degree","(3a) lower tertiary education","","","",""
"No","2009","lower secondary degree","(3b) higher tertiary education","","","",""
"No","2009","secondary school degree","(0) in school","","","",""
"No","2009","secondary school degree","(1a) inadequately completed","","","",""
"No","2009","secondary school degree","(1b) general elementary school","","","",""
"No","2009","secondary school degree","(1c) basic vocational qualification","","","",""
"No","2009","secondary school degree","(2b) intermediate general qualification","","","",""
"No","2009","secondary school degree","(2a) intermediate vocational","","","",""
"No","2009","secondary school degree","(2c_gen) general maturity certificate","","","",""
"No","2009","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"No","2009","secondary school degree","(3a) lower tertiary education","","","",""
"No","2009","secondary school degree","(3b) higher tertiary education","","","",""
"No","2009","college entrance qualification","(0) in school","","","",""
"No","2009","college entrance qualification","(1a) inadequately completed","","","",""
"No","2009","college entrance qualification","(1b) general elementary school","","","",""
"No","2009","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","2009","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","2009","college entrance qualification","(2a) intermediate vocational","","","",""
"No","2009","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"No","2009","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"No","2009","college entrance qualification","(3a) lower tertiary education","","","",""
