"ple0081_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","2006","Not Working","higher education","1011","0.869419622792187","0.850129368018121","0.888709877566253"
"Yes","2007","Full Time","in school","","","",""
"Yes","2007","Full Time","inadequately","","","",""
"Yes","2007","Full Time","general elemantary","","","",""
"Yes","2007","Full Time","middle vocational","","","",""
"Yes","2007","Full Time","vocational + Abi","","","",""
"Yes","2007","Full Time","higher vocational","","","",""
"Yes","2007","Full Time","higher education","","","",""
"Yes","2007","Part Time","in school","","","",""
"Yes","2007","Part Time","inadequately","","","",""
"Yes","2007","Part Time","general elemantary","","","",""
"Yes","2007","Part Time","middle vocational","","","",""
"Yes","2007","Part Time","vocational + Abi","","","",""
"Yes","2007","Part Time","higher vocational","","","",""
"Yes","2007","Part Time","higher education","","","",""
"Yes","2007","Not Working","in school","","","",""
"Yes","2007","Not Working","inadequately","","","",""
"Yes","2007","Not Working","general elemantary","","","",""
"Yes","2007","Not Working","middle vocational","","","",""
"Yes","2007","Not Working","vocational + Abi","","","",""
"Yes","2007","Not Working","higher vocational","","","",""
"Yes","2007","Not Working","higher education","","","",""
"No","2007","Full Time","in school","","","",""
"No","2007","Full Time","inadequately","","","",""
"No","2007","Full Time","general elemantary","","","",""
"No","2007","Full Time","middle vocational","","","",""
"No","2007","Full Time","vocational + Abi","","","",""
"No","2007","Full Time","higher vocational","","","",""
"No","2007","Full Time","higher education","","","",""
"No","2007","Part Time","in school","","","",""
"No","2007","Part Time","inadequately","","","",""
"No","2007","Part Time","general elemantary","","","",""
"No","2007","Part Time","middle vocational","","","",""
"No","2007","Part Time","vocational + Abi","","","",""
"No","2007","Part Time","higher vocational","","","",""
"No","2007","Part Time","higher education","","","",""
"No","2007","Not Working","in school","","","",""
"No","2007","Not Working","inadequately","","","",""
"No","2007","Not Working","general elemantary","","","",""
"No","2007","Not Working","middle vocational","","","",""
"No","2007","Not Working","vocational + Abi","","","",""
"No","2007","Not Working","higher vocational","","","",""
"No","2007","Not Working","higher education","","","",""
"Yes","2008","Full Time","in school","","","",""
"Yes","2008","Full Time","inadequately","19","","",""
"Yes","2008","Full Time","general elemantary","194","0.494043970340908","0.446285959182415","0.5418019814994"
"Yes","2008","Full Time","middle vocational","1415","0.394684743689392","0.378735841074229","0.410633646304555"
"Yes","2008","Full Time","vocational + Abi","160","0.301824485108627","0.262062079446435","0.34158689077082"
"Yes","2008","Full Time","higher vocational","194","0.277699167060254","0.243710704470262","0.311687629650247"
"Yes","2008","Full Time","higher education","433","0.205979472167653","0.188877004102251","0.223081940233055"
"Yes","2008","Part Time","in school","21","","",""
"Yes","2008","Part Time","inadequately","17","","",""
"Yes","2008","Part Time","general elemantary","176","0.399108183835865","0.351647947315009","0.446568420356722"
"Yes","2008","Part Time","middle vocational","779","0.348257892467034","0.328787596776783","0.367728188157284"
"Yes","2008","Part Time","vocational + Abi","99","0.35523848220758","0.303524295455257","0.406952668959902"
"Yes","2008","Part Time","higher vocational","76","0.350747962805336","0.296199983765195","0.405295941845477"
"Yes","2008","Part Time","higher education","164","0.218146872723423","0.191105348293661","0.245188397153185"
"Yes","2008","Not Working","in school","35","0.112024686247945","0.0756619560246729","0.148387416471217"
"Yes","2008","Not Working","inadequately","44","0.392249345642327","0.303778741780764","0.480719949503891"
"Yes","2008","Not Working","general elemantary","227","0.19604142578154","0.173598130725521","0.218484720837558"
"Yes","2008","Not Working","middle vocational","784","0.215552649540663","0.202588861403676","0.22851643767765"
"Yes","2008","Not Working","vocational + Abi","40","0.162308282614655","0.11722723692264","0.207389328306671"
"Yes","2008","Not Working","higher vocational","62","0.13706081581619","0.105598658418113","0.168522973214266"
"Yes","2008","Not Working","higher education","153","0.129050940522213","0.109766415555236","0.14833546548919"
"No","2008","Full Time","in school","1","","",""
"No","2008","Full Time","inadequately","20","","",""
"No","2008","Full Time","general elemantary","227","0.505956029659093","0.4581980185006","0.553714040817585"
"No","2008","Full Time","middle vocational","2193","0.605315256310608","0.589366353695445","0.621264158925771"
"No","2008","Full Time","vocational + Abi","352","0.698175514891373","0.65841310922918","0.737937920553566"
"No","2008","Full Time","higher vocational","473","0.722300832939746","0.688312370349753","0.756289295529738"
"No","2008","Full Time","higher education","1715","0.794020527832347","0.776918059766945","0.811122995897749"
"No","2008","Part Time","in school","43","0.516917880944473","0.394490273303881","0.639345488585064"
"No","2008","Part Time","inadequately","14","","",""
"No","2008","Part Time","general elemantary","233","0.600891816164135","0.553431579643278","0.648352052684991"
"No","2008","Part Time","middle vocational","1521","0.651742107532966","0.632271811842716","0.671212403223217"
"No","2008","Part Time","vocational + Abi","230","0.64476151779242","0.593047331040098","0.696475704544743"
"No","2008","Part Time","higher vocational","218","0.649252037194664","0.594704058154523","0.703800016234805"
"No","2008","Part Time","higher education","732","0.781853127276577","0.754811602846816","0.808894651706339"
"No","2008","Not Working","in school","254","0.887975313752055","0.851612583528783","0.924338043975327"
"No","2008","Not Working","inadequately","73","0.607750654357673","0.519280050496109","0.696221258219236"
"No","2008","Not Working","general elemantary","975","0.803958574218461","0.781515279162442","0.826401869274479"
"No","2008","Not Working","middle vocational","3081","0.784447350459337","0.77148356232235","0.797411138596324"
"No","2008","Not Working","vocational + Abi","217","0.837691717385345","0.792610671693329","0.88277276307736"
"No","2008","Not Working","higher vocational","397","0.86293918418381","0.831477026785734","0.894401341581887"
"No","2008","Not Working","higher education","1008","0.870949059477787","0.85166453451081","0.890233584444764"
"Yes","2009","Full Time","in school","","","",""
"Yes","2009","Full Time","inadequately","","","",""
"Yes","2009","Full Time","general elemantary","","","",""
"Yes","2009","Full Time","middle vocational","","","",""
"Yes","2009","Full Time","vocational + Abi","","","",""
"Yes","2009","Full Time","higher vocational","","","",""
"Yes","2009","Full Time","higher education","","","",""
"Yes","2009","Part Time","in school","","","",""
"Yes","2009","Part Time","inadequately","","","",""
"Yes","2009","Part Time","general elemantary","","","",""
"Yes","2009","Part Time","middle vocational","","","",""
"Yes","2009","Part Time","vocational + Abi","","","",""
"Yes","2009","Part Time","higher vocational","","","",""
"Yes","2009","Part Time","higher education","","","",""
"Yes","2009","Not Working","in school","","","",""
"Yes","2009","Not Working","inadequately","","","",""
"Yes","2009","Not Working","general elemantary","","","",""
"Yes","2009","Not Working","middle vocational","","","",""
"Yes","2009","Not Working","vocational + Abi","","","",""
"Yes","2009","Not Working","higher vocational","","","",""
"Yes","2009","Not Working","higher education","","","",""
"No","2009","Full Time","in school","","","",""
"No","2009","Full Time","inadequately","","","",""
"No","2009","Full Time","general elemantary","","","",""
"No","2009","Full Time","middle vocational","","","",""
"No","2009","Full Time","vocational + Abi","","","",""
"No","2009","Full Time","higher vocational","","","",""
"No","2009","Full Time","higher education","","","",""
"No","2009","Part Time","in school","","","",""
"No","2009","Part Time","inadequately","","","",""
"No","2009","Part Time","general elemantary","","","",""
"No","2009","Part Time","middle vocational","","","",""
"No","2009","Part Time","vocational + Abi","","","",""
"No","2009","Part Time","higher vocational","","","",""
"No","2009","Part Time","higher education","","","",""
"No","2009","Not Working","in school","","","",""
"No","2009","Not Working","inadequately","","","",""
"No","2009","Not Working","general elemantary","","","",""
"No","2009","Not Working","middle vocational","","","",""
"No","2009","Not Working","vocational + Abi","","","",""
"No","2009","Not Working","higher vocational","","","",""
"No","2009","Not Working","higher education","","","",""
"Yes","2010","Full Time","in school","1","","",""
"Yes","2010","Full Time","inadequately","14","","",""
"Yes","2010","Full Time","general elemantary","163","0.497637293261711","0.444800795220788","0.550473791302635"
"Yes","2010","Full Time","middle vocational","1158","0.382404341586846","0.365057598073292","0.399751085100401"
"Yes","2010","Full Time","vocational + Abi","132","0.311558144101497","0.268862648312148","0.354253639890846"
"Yes","2010","Full Time","higher vocational","185","0.315269593095113","0.277683265856765","0.352855920333462"
"Yes","2010","Full Time","higher education","384","0.210736778713744","0.192588797229381","0.228884760198106"
"Yes","2010","Part Time","in school","8","","",""
"Yes","2010","Part Time","inadequately","14","","",""
"Yes","2010","Part Time","general elemantary","141","0.416620714839336","0.364063096996105","0.469178332682567"
"Yes","2010","Part Time","middle vocational","667","0.321185250097161","0.300923057507388","0.341447442686934"
"Yes","2010","Part Time","vocational + Abi","70","0.298749480566803","0.244154038567594","0.353344922566012"
"Yes","2010","Part Time","higher vocational","53","0.18925416715326","0.142531105110126","0.235977229196394"
"Yes","2010","Part Time","higher education","146","0.207685656067037","0.179818804832131","0.235552507301944"
"Yes","2010","Not Working","in school","24","","",""
"Yes","2010","Not Working","inadequately","31","0.367440812685815","0.268386890840155","0.466494734531476"
"Yes","2010","Not Working","general elemantary","158","0.157989839368094","0.134821075586817","0.181158603149372"
"Yes","2010","Not Working","middle vocational","684","0.210914711898352","0.196955516513826","0.224873907282877"
"Yes","2010","Not Working","vocational + Abi","37","0.169790577734779","0.120623465210193","0.218957690259364"
"Yes","2010","Not Working","higher vocational","53","0.1698459307088","0.133185083957549","0.206506777460051"
"Yes","2010","Not Working","higher education","131","0.112379602024303","0.0935954947291241","0.131163709319482"
"No","2010","Full Time","in school","","","",""
"No","2010","Full Time","inadequately","9","","",""
"No","2010","Full Time","general elemantary","181","0.502362706738289","0.449526208697365","0.555199204779212"
"No","2010","Full Time","middle vocational","1857","0.617595658413154","0.600248914899599","0.634942401926708"
"No","2010","Full Time","vocational + Abi","320","0.688441855898503","0.645746360109154","0.731137351687852"
"No","2010","Full Time","higher vocational","402","0.684730406904886","0.647144079666538","0.722316734143235"
"No","2010","Full Time","higher education","1556","0.789263221286256","0.771115239801894","0.807411202770619"
"No","2010","Part Time","in school","48","0.77728357004158","0.668310308439082","0.886256831644078"
"No","2010","Part Time","inadequately","13","","",""
"No","2010","Part Time","general elemantary","197","0.583379285160664","0.530821667317433","0.635936903003895"
"No","2010","Part Time","middle vocational","1373","0.678814749902839","0.658552557313066","0.699076942492612"
"No","2010","Part Time","vocational + Abi","200","0.701250519433197","0.646655077433988","0.755845961432406"
"No","2010","Part Time","higher vocational","217","0.81074583284674","0.764022770803606","0.857468894889874"
"No","2010","Part Time","higher education","668","0.792314343932963","0.764447492698056","0.820181195167869"
