"ple0081_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2016","Couple + C. GT 16 ","East Germany","299","0.727523063677504","0.684635025868125","0.770411101486883","2"
"No","2016","Couple + C. LE and GT 16","West Germany","1351","0.792555781231442","0.773697930340642","0.811413632122241","2"
"No","2016","Couple + C. LE and GT 16","East Germany","232","0.701237942634815","0.650449345368197","0.752026539901434","2"
"No","2016","1-pers.-HH","West Germany","1889","0.717535592028021","0.700273955149799","0.734797228906244","2"
"No","2016","1-pers.-HH","East Germany","613","0.694159336962164","0.663647157083415","0.724671516840913","2"
"No","2016","(Married) couple without C. ","West Germany","4346","0.794602544467421","0.783897530483158","0.805307558451683","2"
"No","2016","(Married) couple without C. ","East Germany","1476","0.760275669170984","0.741003348319371","0.779547990022596","2"
"No","2016","Single parent ","West Germany","1104","0.631335271487648","0.6084756567181","0.654194886257195","2"
"No","2016","Single parent ","East Germany","232","0.537354944450536","0.490499717071379","0.584210171829694","2"
"No","2016","Couple + C. LE 16 ","West Germany","3478","0.742556152948899","0.73015485014363","0.754957455754168","2"
"No","2016","Couple + C. LE 16 ","East Germany","693","0.704830398566357","0.676756208153603","0.732904588979111","2"
"Yes","2016","1-pers.-HH","West Germany","724","0.282464407971979","0.265202771093756","0.299726044850201","1"
"Yes","2016","Single parent ","West Germany","607","0.368664728512352","0.345805113742805","0.3915243432819","1"
"Yes","2016","1-pers.-HH","East Germany","263","0.305840663037836","0.275328483159087","0.336352842916585","1"
"Yes","2016","Single parent ","East Germany","203","0.462645055549464","0.415789828170306","0.509500282928621","1"
"Yes","2016","Couple + C. LE 16 ","West Germany","1297","0.257443847051101","0.245042544245832","0.26984514985637","1"
"Yes","2016","Couple + C. LE 16 ","East Germany","321","0.295169601433643","0.267095411020889","0.323243791846397","1"
"Yes","2016","Couple + C. GT 16 ","West Germany","547","0.243958613458384","0.22653165544855","0.261385571468217","1"
"Yes","2016","Couple + C. GT 16 ","East Germany","115","0.272476936322496","0.229588898513118","0.315364974131875","1"
"Yes","2016","Couple + C. LE and GT 16","East Germany","80","0.298762057365185","0.247973460098566","0.349550654631803","1"
"Yes","2016","(Married) couple without C. ","West Germany","1125","0.205397455532579","0.194692441548317","0.216102469516842","1"
"Yes","2016","(Married) couple without C. ","East Germany","409","0.239724330829016","0.220452009977404","0.258996651680629","1"
"Yes","2016","Couple + C. LE and GT 16","West Germany","425","0.207444218768558","0.188586367877759","0.226302069659358","1"
"No","2017","1-pers.-HH","West Germany","","","","","2"
"No","2017","1-pers.-HH","East Germany","","","","","2"
"No","2017","(Married) couple without C. ","West Germany","","","","","2"
"No","2017","(Married) couple without C. ","East Germany","","","","","2"
"No","2017","Single parent ","West Germany","","","","","2"
"No","2017","Single parent ","East Germany","","","","","2"
"No","2017","Couple + C. LE 16 ","West Germany","","","","","2"
"No","2017","Couple + C. LE 16 ","East Germany","","","","","2"
"No","2017","Couple + C. GT 16 ","West Germany","","","","","2"
"No","2017","Couple + C. GT 16 ","East Germany","","","","","2"
"No","2017","Couple + C. LE and GT 16","West Germany","","","","","2"
"No","2017","Couple + C. LE and GT 16","East Germany","","","","","2"
"Yes","2017","1-pers.-HH","West Germany","","","","","1"
"Yes","2017","Single parent ","West Germany","","","","","1"
"Yes","2017","Single parent ","East Germany","","","","","1"
"Yes","2017","Couple + C. LE 16 ","West Germany","","","","","1"
"Yes","2017","1-pers.-HH","East Germany","","","","","1"
"Yes","2017","Couple + C. LE 16 ","East Germany","","","","","1"
"Yes","2017","Couple + C. GT 16 ","West Germany","","","","","1"
"Yes","2017","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","2017","Couple + C. LE and GT 16","West Germany","","","","","1"
"Yes","2017","(Married) couple without C. ","East Germany","","","","","1"
"Yes","2017","Couple + C. LE and GT 16","East Germany","","","","","1"
"Yes","2017","(Married) couple without C. ","West Germany","","","","","1"
"No","2018","1-pers.-HH","West Germany","2224","0.729244283983971","0.713541369728429","0.744947198239513","2"
"No","2018","1-pers.-HH","East Germany","694","0.687946041928021","0.659921051212248","0.715971032643795","2"
"No","2018","(Married) couple without C. ","West Germany","4763","0.79888078446437","0.788680429371191","0.80908113955755","2"
"No","2018","(Married) couple without C. ","East Germany","1623","0.784675022140923","0.766898778618918","0.802451265662928","2"
"No","2018","Single parent ","West Germany","1138","0.629201602374922","0.606629136474143","0.651774068275702","2"
"No","2018","Single parent ","East Germany","263","0.604174849213741","0.559041991371574","0.649307707055907","2"
"No","2018","Couple + C. LE 16 ","West Germany","3296","0.752897607698911","0.740138442382097","0.765656773015726","2"
"No","2018","Couple + C. LE 16 ","East Germany","723","0.728867083907478","0.702004022030059","0.755730145784898","2"
"No","2018","Couple + C. GT 16 ","West Germany","1952","0.7460553895137","0.729200979122798","0.762909799904603","2"
"No","2018","Couple + C. GT 16 ","East Germany","329","0.767113053042512","0.727973907148985","0.806252198936038","2"
"No","2018","Couple + C. LE and GT 16","West Germany","1409","0.783805941064704","0.765002066308118","0.80260981582129","2"
"No","2018","Couple + C. LE and GT 16","East Germany","260","0.695739894851037","0.647538453169966","0.743941336532109","2"
"Yes","2018","1-pers.-HH","West Germany","852","0.270755716016029","0.255052801760487","0.286458630271571","1"
"Yes","2018","1-pers.-HH","East Germany","356","0.312053958071979","0.284028967356205","0.340078948787752","1"
"Yes","2018","Single parent ","West Germany","621","0.370798397625078","0.348225931724298","0.393370863525857","1"
"Yes","2018","Single parent ","East Germany","188","0.395825150786259","0.350692292944092","0.440958008628426","1"
"Yes","2018","(Married) couple without C. ","West Germany","1169","0.20111921553563","0.19091886044245","0.211319570628809","1"
"Yes","2018","Couple + C. LE 16 ","West Germany","1094","0.247102392301089","0.234343226984274","0.259861557617903","1"
"Yes","2018","Couple + C. LE 16 ","East Germany","329","0.271132916092522","0.244269854215102","0.297995977969941","1"
"Yes","2018","Couple + C. GT 16 ","East Germany","119","0.232886946957488","0.193747801063962","0.272026092851015","1"
"Yes","2018","Couple + C. LE and GT 16","East Germany","90","0.304260105148963","0.256058663467891","0.352461546830034","1"
"Yes","2018","(Married) couple without C. ","East Germany","431","0.215324977859077","0.197548734337072","0.233101221381082","1"
"Yes","2018","Couple + C. LE and GT 16","West Germany","432","0.216194058935296","0.19739018417871","0.234997933691882","1"
"Yes","2018","Couple + C. GT 16 ","West Germany","610","0.2539446104863","0.237090200095398","0.270799020877202","1"
