"ple0081_h","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","2006","Bavaria","(2a) intermediate vocational","455","0.722671774210056","0.688069058277259","0.757274490142852"
"No","2006","Bavaria","(2c_gen) general maturity certificate","75","0.699407060838688","0.610425012510006","0.78838910916737"
"No","2006","Bavaria","(2c_voc) vocational maturity certificate","157","0.740133556647826","0.680818002458477","0.799449110837176"
"No","2006","Bavaria","(3a) lower tertiary education","193","0.838217865516172","0.79031308006672","0.886122650965624"
"No","2006","Bavaria","(3b) higher tertiary education","332","0.832353794210946","0.795184606139549","0.869522982282342"
"No","2006","Berlin","(0) in school","8","","",""
"No","2006","Berlin","(1a) inadequately completed","1","","",""
"No","2006","Berlin","(1b) general elementary school","21","","",""
"No","2006","Berlin","(1c) basic vocational qualification","73","0.618154812009047","0.528970605322025","0.707339018696069"
"No","2006","Berlin","(2b) intermediate general qualification","11","","",""
"No","2006","Berlin","(2a) intermediate vocational","135","0.645361280970557","0.577691931036543","0.713030630904571"
"No","2006","Berlin","(2c_gen) general maturity certificate","31","0.576424571616062","0.443395433195395","0.709453710036729"
"No","2006","Berlin","(2c_voc) vocational maturity certificate","43","0.563427173596281","0.440958486834354","0.685895860358208"
"No","2006","Berlin","(3a) lower tertiary education","63","0.645844449048445","0.549672751798426","0.742016146298463"
"No","2006","Berlin","(3b) higher tertiary education","124","0.74139941431477","0.674989835350639","0.807808993278901"
"No","2006","Brandenburg","(0) in school","8","","",""
"No","2006","Brandenburg","(1a) inadequately completed","2","","",""
"No","2006","Brandenburg","(1b) general elementary school","33","0.627421546162038","0.490643607383039","0.764199484941038"
"No","2006","Brandenburg","(1c) basic vocational qualification","143","0.73523010738878","0.673303580087125","0.797156634690435"
"No","2006","Brandenburg","(2b) intermediate general qualification","14","","",""
"No","2006","Brandenburg","(2a) intermediate vocational","198","0.699587012193471","0.646548984700746","0.752625039686195"
"No","2006","Brandenburg","(2c_gen) general maturity certificate","22","","",""
"No","2006","Brandenburg","(2c_voc) vocational maturity certificate","24","","",""
"No","2006","Brandenburg","(3a) lower tertiary education","123","0.785458985129909","0.719098990066829","0.851818980192988"
"No","2006","Brandenburg","(3b) higher tertiary education","105","0.867682307981886","0.807309032935369","0.928055583028402"
"No","2006","Mecklenburg-Western Pomerania","(0) in school","8","","",""
"No","2006","Mecklenburg-Western Pomerania","(1a) inadequately completed","3","","",""
"No","2006","Mecklenburg-Western Pomerania","(1b) general elementary school","21","","",""
"No","2006","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","73","0.654534502192827","0.566468619604881","0.742600384780773"
"No","2006","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","12","","",""
"No","2006","Mecklenburg-Western Pomerania","(2a) intermediate vocational","132","0.64934918978433","0.582715854396146","0.715982525172514"
"No","2006","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","7","","",""
"No","2006","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","10","","",""
"No","2006","Mecklenburg-Western Pomerania","(3a) lower tertiary education","57","0.722439984410288","0.620413817642425","0.82446615117815"
"No","2006","Mecklenburg-Western Pomerania","(3b) higher tertiary education","55","0.74988155258463","0.649846768327438","0.849916336841821"
"No","2006","Saxony","(0) in school","17","","",""
"No","2006","Saxony","(1a) inadequately completed","5","","",""
"No","2006","Saxony","(1b) general elementary school","45","0.753797554325319","0.640966766408076","0.866628342242562"
"No","2006","Saxony","(1c) basic vocational qualification","273","0.809646197113473","0.767731960615027","0.851560433611918"
"No","2006","Saxony","(2b) intermediate general qualification","24","","",""
"No","2006","Saxony","(2a) intermediate vocational","412","0.699540894904959","0.662262323264147","0.736819466545772"
"No","2006","Saxony","(2c_gen) general maturity certificate","37","0.706875952961406","0.58657638317505","0.827175522747761"
"No","2006","Saxony","(2c_voc) vocational maturity certificate","50","0.772835737589424","0.676053547491317","0.869617927687532"
"No","2006","Saxony","(3a) lower tertiary education","165","0.827715499786492","0.774848617085427","0.880582382487558"
"No","2006","Saxony","(3b) higher tertiary education","160","0.756991669628454","0.696165910426367","0.817817428830541"
"No","2006","Saxony-Anhalt","(0) in school","12","","",""
"No","2006","Saxony-Anhalt","(1a) inadequately completed","4","","",""
"No","2006","Saxony-Anhalt","(1b) general elementary school","36","0.893181382648909","0.805799624320887","0.980563140976931"
"No","2006","Saxony-Anhalt","(1c) basic vocational qualification","155","0.734380236176747","0.676282088365667","0.792478383987827"
"No","2006","Saxony-Anhalt","(2b) intermediate general qualification","15","","",""
"No","2006","Saxony-Anhalt","(2a) intermediate vocational","167","0.582722093188706","0.525968608869411","0.639475577508002"
"No","2006","Saxony-Anhalt","(2c_gen) general maturity certificate","20","","",""
"No","2006","Saxony-Anhalt","(2c_voc) vocational maturity certificate","25","","",""
"No","2006","Saxony-Anhalt","(3a) lower tertiary education","100","0.831496158037922","0.765613323554147","0.897378992521696"
"No","2006","Saxony-Anhalt","(3b) higher tertiary education","79","0.822784812958879","0.747566412139385","0.898003213778373"
"No","2006","Thuringia","(0) in school","5","","",""
"No","2006","Thuringia","(1a) inadequately completed","2","","",""
"No","2006","Thuringia","(1b) general elementary school","30","0.757947662883226","0.628409511492187","0.887485814274265"
"No","2006","Thuringia","(1c) basic vocational qualification","203","0.790077094006864","0.740479243039948","0.83967494497378"
"No","2006","Thuringia","(2b) intermediate general qualification","13","","",""
"No","2006","Thuringia","(2a) intermediate vocational","237","0.678424541056738","0.629630253293609","0.727218828819867"
"No","2006","Thuringia","(2c_gen) general maturity certificate","24","","",""
"No","2006","Thuringia","(2c_voc) vocational maturity certificate","20","","",""
"No","2006","Thuringia","(3a) lower tertiary education","80","0.804282592259872","0.725327292654001","0.883237891865742"
"No","2006","Thuringia","(3b) higher tertiary education","76","0.914784278981448","0.857101517427414","0.972467040535482"
"Yes","2007","Schleswig-Holstein","(0) in school","","","",""
"Yes","2007","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Yes","2007","Schleswig-Holstein","(1b) general elementary school","","","",""
"Yes","2007","Schleswig-Holstein","(1c) basic vocational qualification","","","",""
"Yes","2007","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Yes","2007","Schleswig-Holstein","(2a) intermediate vocational","","","",""
"Yes","2007","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Yes","2007","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Yes","2007","Hamburg","(0) in school","","","",""
"Yes","2007","Hamburg","(1a) inadequately completed","","","",""
"Yes","2007","Hamburg","(1b) general elementary school","","","",""
"Yes","2007","Hamburg","(1c) basic vocational qualification","","","",""
"Yes","2007","Hamburg","(2b) intermediate general qualification","","","",""
"Yes","2007","Hamburg","(2a) intermediate vocational","","","",""
"Yes","2007","Hamburg","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Hamburg","(3a) lower tertiary education","","","",""
"Yes","2007","Hamburg","(3b) higher tertiary education","","","",""
"Yes","2007","Lower Saxony","(0) in school","","","",""
"Yes","2007","Lower Saxony","(1a) inadequately completed","","","",""
"Yes","2007","Lower Saxony","(1b) general elementary school","","","",""
"Yes","2007","Lower Saxony","(1c) basic vocational qualification","","","",""
"Yes","2007","Lower Saxony","(2b) intermediate general qualification","","","",""
"Yes","2007","Lower Saxony","(2a) intermediate vocational","","","",""
"Yes","2007","Lower Saxony","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Lower Saxony","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Lower Saxony","(3a) lower tertiary education","","","",""
"Yes","2007","Lower Saxony","(3b) higher tertiary education","","","",""
"Yes","2007","Bremen","(0) in school","","","",""
"Yes","2007","Bremen","(1a) inadequately completed","","","",""
"Yes","2007","Bremen","(1b) general elementary school","","","",""
"Yes","2007","Bremen","(1c) basic vocational qualification","","","",""
"Yes","2007","Bremen","(2b) intermediate general qualification","","","",""
"Yes","2007","Bremen","(2a) intermediate vocational","","","",""
"Yes","2007","Bremen","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Bremen","(3a) lower tertiary education","","","",""
"Yes","2007","Bremen","(3b) higher tertiary education","","","",""
"Yes","2007","North Rhine-Westphalia","(0) in school","","","",""
"Yes","2007","North Rhine-Westphalia","(1a) inadequately completed","","","",""
"Yes","2007","North Rhine-Westphalia","(1b) general elementary school","","","",""
"Yes","2007","North Rhine-Westphalia","(1c) basic vocational qualification","","","",""
"Yes","2007","North Rhine-Westphalia","(2b) intermediate general qualification","","","",""
"Yes","2007","North Rhine-Westphalia","(2a) intermediate vocational","","","",""
"Yes","2007","North Rhine-Westphalia","(2c_gen) general maturity certificate","","","",""
"Yes","2007","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","North Rhine-Westphalia","(3a) lower tertiary education","","","",""
"Yes","2007","North Rhine-Westphalia","(3b) higher tertiary education","","","",""
"Yes","2007","Hesse","(0) in school","","","",""
"Yes","2007","Hesse","(1a) inadequately completed","","","",""
"Yes","2007","Hesse","(1b) general elementary school","","","",""
"Yes","2007","Hesse","(1c) basic vocational qualification","","","",""
"Yes","2007","Hesse","(2b) intermediate general qualification","","","",""
"Yes","2007","Hesse","(2a) intermediate vocational","","","",""
"Yes","2007","Hesse","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Hesse","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Hesse","(3a) lower tertiary education","","","",""
"Yes","2007","Hesse","(3b) higher tertiary education","","","",""
"Yes","2007","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Yes","2007","Rhineland-Palatinate,Saarland","(1a) inadequately completed","","","",""
"Yes","2007","Rhineland-Palatinate,Saarland","(1b) general elementary school","","","",""
"Yes","2007","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","","","",""
"Yes","2007","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","","","",""
"Yes","2007","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","","","",""
"Yes","2007","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","",""
"Yes","2007","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","","","",""
"Yes","2007","Baden-Württemberg","(0) in school","","","",""
"Yes","2007","Baden-Württemberg","(1a) inadequately completed","","","",""
"Yes","2007","Baden-Württemberg","(1b) general elementary school","","","",""
"Yes","2007","Baden-Württemberg","(1c) basic vocational qualification","","","",""
"Yes","2007","Baden-Württemberg","(2b) intermediate general qualification","","","",""
"Yes","2007","Baden-Württemberg","(2a) intermediate vocational","","","",""
"Yes","2007","Baden-Württemberg","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Baden-Württemberg","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Baden-Württemberg","(3a) lower tertiary education","","","",""
"Yes","2007","Baden-Württemberg","(3b) higher tertiary education","","","",""
"Yes","2007","Bavaria","(0) in school","","","",""
"Yes","2007","Bavaria","(1a) inadequately completed","","","",""
"Yes","2007","Bavaria","(1b) general elementary school","","","",""
"Yes","2007","Bavaria","(1c) basic vocational qualification","","","",""
"Yes","2007","Bavaria","(2b) intermediate general qualification","","","",""
"Yes","2007","Bavaria","(2a) intermediate vocational","","","",""
"Yes","2007","Bavaria","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Bavaria","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Bavaria","(3a) lower tertiary education","","","",""
"Yes","2007","Bavaria","(3b) higher tertiary education","","","",""
"Yes","2007","Berlin","(0) in school","","","",""
"Yes","2007","Berlin","(1a) inadequately completed","","","",""
"Yes","2007","Berlin","(1b) general elementary school","","","",""
"Yes","2007","Berlin","(1c) basic vocational qualification","","","",""
"Yes","2007","Berlin","(2b) intermediate general qualification","","","",""
"Yes","2007","Berlin","(2a) intermediate vocational","","","",""
"Yes","2007","Berlin","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Berlin","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Berlin","(3a) lower tertiary education","","","",""
"Yes","2007","Berlin","(3b) higher tertiary education","","","",""
"Yes","2007","Brandenburg","(0) in school","","","",""
"Yes","2007","Brandenburg","(1a) inadequately completed","","","",""
"Yes","2007","Brandenburg","(1b) general elementary school","","","",""
"Yes","2007","Brandenburg","(1c) basic vocational qualification","","","",""
"Yes","2007","Brandenburg","(2b) intermediate general qualification","","","",""
"Yes","2007","Brandenburg","(2a) intermediate vocational","","","",""
"Yes","2007","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Brandenburg","(3a) lower tertiary education","","","",""
"Yes","2007","Brandenburg","(3b) higher tertiary education","","","",""
"Yes","2007","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Yes","2007","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Yes","2007","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Yes","2007","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"Yes","2007","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"Yes","2007","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"Yes","2007","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"Yes","2007","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"Yes","2007","Saxony","(0) in school","","","",""
"Yes","2007","Saxony","(1a) inadequately completed","","","",""
"Yes","2007","Saxony","(1b) general elementary school","","","",""
"Yes","2007","Saxony","(1c) basic vocational qualification","","","",""
"Yes","2007","Saxony","(2b) intermediate general qualification","","","",""
"Yes","2007","Saxony","(2a) intermediate vocational","","","",""
"Yes","2007","Saxony","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Saxony","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Saxony","(3a) lower tertiary education","","","",""
"Yes","2007","Saxony","(3b) higher tertiary education","","","",""
"Yes","2007","Saxony-Anhalt","(0) in school","","","",""
"Yes","2007","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Yes","2007","Saxony-Anhalt","(1b) general elementary school","","","",""
"Yes","2007","Saxony-Anhalt","(1c) basic vocational qualification","","","",""
"Yes","2007","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"Yes","2007","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"Yes","2007","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"Yes","2007","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"Yes","2007","Thuringia","(0) in school","","","",""
"Yes","2007","Thuringia","(1a) inadequately completed","","","",""
"Yes","2007","Thuringia","(1b) general elementary school","","","",""
"Yes","2007","Thuringia","(1c) basic vocational qualification","","","",""
"Yes","2007","Thuringia","(2b) intermediate general qualification","","","",""
"Yes","2007","Thuringia","(2a) intermediate vocational","","","",""
"Yes","2007","Thuringia","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Thuringia","(3a) lower tertiary education","","","",""
"Yes","2007","Thuringia","(3b) higher tertiary education","","","",""
"No","2007","Schleswig-Holstein","(0) in school","","","",""
"No","2007","Schleswig-Holstein","(1a) inadequately completed","","","",""
"No","2007","Schleswig-Holstein","(1b) general elementary school","","","",""
"No","2007","Schleswig-Holstein","(1c) basic vocational qualification","","","",""
"No","2007","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"No","2007","Schleswig-Holstein","(2a) intermediate vocational","","","",""
"No","2007","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"No","2007","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"No","2007","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"No","2007","Hamburg","(0) in school","","","",""
"No","2007","Hamburg","(1a) inadequately completed","","","",""
"No","2007","Hamburg","(1b) general elementary school","","","",""
"No","2007","Hamburg","(1c) basic vocational qualification","","","",""
"No","2007","Hamburg","(2b) intermediate general qualification","","","",""
"No","2007","Hamburg","(2a) intermediate vocational","","","",""
"No","2007","Hamburg","(2c_gen) general maturity certificate","","","",""
"No","2007","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Hamburg","(3a) lower tertiary education","","","",""
"No","2007","Hamburg","(3b) higher tertiary education","","","",""
"No","2007","Lower Saxony","(0) in school","","","",""
"No","2007","Lower Saxony","(1a) inadequately completed","","","",""
"No","2007","Lower Saxony","(1b) general elementary school","","","",""
"No","2007","Lower Saxony","(1c) basic vocational qualification","","","",""
"No","2007","Lower Saxony","(2b) intermediate general qualification","","","",""
"No","2007","Lower Saxony","(2a) intermediate vocational","","","",""
"No","2007","Lower Saxony","(2c_gen) general maturity certificate","","","",""
"No","2007","Lower Saxony","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Lower Saxony","(3a) lower tertiary education","","","",""
"No","2007","Lower Saxony","(3b) higher tertiary education","","","",""
"No","2007","Bremen","(0) in school","","","",""
"No","2007","Bremen","(1a) inadequately completed","","","",""
"No","2007","Bremen","(1b) general elementary school","","","",""
"No","2007","Bremen","(1c) basic vocational qualification","","","",""
"No","2007","Bremen","(2b) intermediate general qualification","","","",""
"No","2007","Bremen","(2a) intermediate vocational","","","",""
"No","2007","Bremen","(2c_gen) general maturity certificate","","","",""
"No","2007","Bremen","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Bremen","(3a) lower tertiary education","","","",""
"No","2007","Bremen","(3b) higher tertiary education","","","",""
"No","2007","North Rhine-Westphalia","(0) in school","","","",""
"No","2007","North Rhine-Westphalia","(1a) inadequately completed","","","",""
"No","2007","North Rhine-Westphalia","(1b) general elementary school","","","",""
"No","2007","North Rhine-Westphalia","(1c) basic vocational qualification","","","",""
"No","2007","North Rhine-Westphalia","(2b) intermediate general qualification","","","",""
"No","2007","North Rhine-Westphalia","(2a) intermediate vocational","","","",""
"No","2007","North Rhine-Westphalia","(2c_gen) general maturity certificate","","","",""
"No","2007","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","","","",""
"No","2007","North Rhine-Westphalia","(3a) lower tertiary education","","","",""
"No","2007","North Rhine-Westphalia","(3b) higher tertiary education","","","",""
"No","2007","Hesse","(0) in school","","","",""
"No","2007","Hesse","(1a) inadequately completed","","","",""
"No","2007","Hesse","(1b) general elementary school","","","",""
"No","2007","Hesse","(1c) basic vocational qualification","","","",""
"No","2007","Hesse","(2b) intermediate general qualification","","","",""
"No","2007","Hesse","(2a) intermediate vocational","","","",""
"No","2007","Hesse","(2c_gen) general maturity certificate","","","",""
"No","2007","Hesse","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Hesse","(3a) lower tertiary education","","","",""
"No","2007","Hesse","(3b) higher tertiary education","","","",""
"No","2007","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"No","2007","Rhineland-Palatinate,Saarland","(1a) inadequately completed","","","",""
"No","2007","Rhineland-Palatinate,Saarland","(1b) general elementary school","","","",""
"No","2007","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","","","",""
"No","2007","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","","","",""
"No","2007","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","","","",""
"No","2007","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","","","",""
"No","2007","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","","","",""
"No","2007","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","","","",""
"No","2007","Baden-Württemberg","(0) in school","","","",""
"No","2007","Baden-Württemberg","(1a) inadequately completed","","","",""
"No","2007","Baden-Württemberg","(1b) general elementary school","","","",""
"No","2007","Baden-Württemberg","(1c) basic vocational qualification","","","",""
"No","2007","Baden-Württemberg","(2b) intermediate general qualification","","","",""
"No","2007","Baden-Württemberg","(2a) intermediate vocational","","","",""
"No","2007","Baden-Württemberg","(2c_gen) general maturity certificate","","","",""
"No","2007","Baden-Württemberg","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Baden-Württemberg","(3a) lower tertiary education","","","",""
"No","2007","Baden-Württemberg","(3b) higher tertiary education","","","",""
"No","2007","Bavaria","(0) in school","","","",""
"No","2007","Bavaria","(1a) inadequately completed","","","",""
"No","2007","Bavaria","(1b) general elementary school","","","",""
"No","2007","Bavaria","(1c) basic vocational qualification","","","",""
"No","2007","Bavaria","(2b) intermediate general qualification","","","",""
"No","2007","Bavaria","(2a) intermediate vocational","","","",""
"No","2007","Bavaria","(2c_gen) general maturity certificate","","","",""
"No","2007","Bavaria","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Bavaria","(3a) lower tertiary education","","","",""
"No","2007","Bavaria","(3b) higher tertiary education","","","",""
"No","2007","Berlin","(0) in school","","","",""
"No","2007","Berlin","(1a) inadequately completed","","","",""
"No","2007","Berlin","(1b) general elementary school","","","",""
"No","2007","Berlin","(1c) basic vocational qualification","","","",""
"No","2007","Berlin","(2b) intermediate general qualification","","","",""
"No","2007","Berlin","(2a) intermediate vocational","","","",""
"No","2007","Berlin","(2c_gen) general maturity certificate","","","",""
"No","2007","Berlin","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Berlin","(3a) lower tertiary education","","","",""
"No","2007","Berlin","(3b) higher tertiary education","","","",""
"No","2007","Brandenburg","(0) in school","","","",""
"No","2007","Brandenburg","(1a) inadequately completed","","","",""
"No","2007","Brandenburg","(1b) general elementary school","","","",""
"No","2007","Brandenburg","(1c) basic vocational qualification","","","",""
"No","2007","Brandenburg","(2b) intermediate general qualification","","","",""
"No","2007","Brandenburg","(2a) intermediate vocational","","","",""
"No","2007","Brandenburg","(2c_gen) general maturity certificate","","","",""
"No","2007","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Brandenburg","(3a) lower tertiary education","","","",""
"No","2007","Brandenburg","(3b) higher tertiary education","","","",""
"No","2007","Mecklenburg-Western Pomerania","(0) in school","","","",""
"No","2007","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"No","2007","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"No","2007","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"No","2007","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"No","2007","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"No","2007","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"No","2007","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"No","2007","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"No","2007","Saxony","(0) in school","","","",""
"No","2007","Saxony","(1a) inadequately completed","","","",""
"No","2007","Saxony","(1b) general elementary school","","","",""
"No","2007","Saxony","(1c) basic vocational qualification","","","",""
"No","2007","Saxony","(2b) intermediate general qualification","","","",""
"No","2007","Saxony","(2a) intermediate vocational","","","",""
"No","2007","Saxony","(2c_gen) general maturity certificate","","","",""
"No","2007","Saxony","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Saxony","(3a) lower tertiary education","","","",""
"No","2007","Saxony","(3b) higher tertiary education","","","",""
"No","2007","Saxony-Anhalt","(0) in school","","","",""
"No","2007","Saxony-Anhalt","(1a) inadequately completed","","","",""
"No","2007","Saxony-Anhalt","(1b) general elementary school","","","",""
"No","2007","Saxony-Anhalt","(1c) basic vocational qualification","","","",""
"No","2007","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"No","2007","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"No","2007","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"No","2007","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"No","2007","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"No","2007","Thuringia","(0) in school","","","",""
"No","2007","Thuringia","(1a) inadequately completed","","","",""
"No","2007","Thuringia","(1b) general elementary school","","","",""
"No","2007","Thuringia","(1c) basic vocational qualification","","","",""
"No","2007","Thuringia","(2b) intermediate general qualification","","","",""
"No","2007","Thuringia","(2a) intermediate vocational","","","",""
"No","2007","Thuringia","(2c_gen) general maturity certificate","","","",""
"No","2007","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Thuringia","(3a) lower tertiary education","","","",""
"No","2007","Thuringia","(3b) higher tertiary education","","","",""
"Yes","2008","Schleswig-Holstein","(0) in school","1","","",""
"Yes","2008","Schleswig-Holstein","(1a) inadequately completed","2","","",""
"Yes","2008","Schleswig-Holstein","(1b) general elementary school","16","","",""
"Yes","2008","Schleswig-Holstein","(1c) basic vocational qualification","46","0.356668926741899","0.284018234427321","0.429319619056477"
"Yes","2008","Schleswig-Holstein","(2b) intermediate general qualification","6","","",""
"Yes","2008","Schleswig-Holstein","(2a) intermediate vocational","36","0.304818984742102","0.227167249591408","0.382470719892796"
"Yes","2008","Schleswig-Holstein","(2c_gen) general maturity certificate","2","","",""
"Yes","2008","Schleswig-Holstein","(2c_voc) vocational maturity certificate","11","","",""
"Yes","2008","Schleswig-Holstein","(3a) lower tertiary education","11","","",""
"Yes","2008","Schleswig-Holstein","(3b) higher tertiary education","4","","",""
"Yes","2008","Hamburg","(0) in school","2","","",""
"Yes","2008","Hamburg","(1a) inadequately completed","1","","",""
"Yes","2008","Hamburg","(1b) general elementary school","1","","",""
"Yes","2008","Hamburg","(1c) basic vocational qualification","18","","",""
"Yes","2008","Hamburg","(2b) intermediate general qualification","3","","",""
"Yes","2008","Hamburg","(2a) intermediate vocational","23","","",""
"Yes","2008","Hamburg","(2c_gen) general maturity certificate","6","","",""
"Yes","2008","Hamburg","(2c_voc) vocational maturity certificate","6","","",""
"Yes","2008","Hamburg","(3a) lower tertiary education","6","","",""
"Yes","2008","Hamburg","(3b) higher tertiary education","10","","",""
"Yes","2008","Lower Saxony","(0) in school","5","","",""
"Yes","2008","Lower Saxony","(1a) inadequately completed","6","","",""
"Yes","2008","Lower Saxony","(1b) general elementary school","44","0.272679398557329","0.203018772521675","0.342340024592983"
"Yes","2008","Lower Saxony","(1c) basic vocational qualification","145","0.267375670251564","0.228503836262575","0.306247504240554"
"Yes","2008","Lower Saxony","(2b) intermediate general qualification","20","","",""
"Yes","2008","Lower Saxony","(2a) intermediate vocational","133","0.33070602720109","0.287852447325147","0.373559607077033"
"Yes","2008","Lower Saxony","(2c_gen) general maturity certificate","12","","",""
"Yes","2008","Lower Saxony","(2c_voc) vocational maturity certificate","30","0.302476040169161","0.224704491647576","0.380247588690746"
"Yes","2008","Lower Saxony","(3a) lower tertiary education","28","","",""
"Yes","2008","Lower Saxony","(3b) higher tertiary education","33","0.144130532551255","0.0952093148785059","0.193051750224003"
"Yes","2008","Bremen","(0) in school","","","",""
"Yes","2008","Bremen","(1a) inadequately completed","","","",""
