"ple0081_h","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"No","2002","Rhineland-Palatinate,Saarland","no degree/no degree yet","48","0.811636500363115","0.711866207891074","0.911406792835155"
"No","2002","Baden-Württemberg","lower secondary degree","704","0.711662874120328","0.683917821655658","0.739407926584998"
"No","2002","Baden-Württemberg","secondary school degree","455","0.706301679220853","0.671314941618052","0.741288416823654"
"No","2002","Baden-Württemberg","college entrance qualification","518","0.765723839882418","0.733700723971037","0.797746955793798"
"No","2002","Baden-Württemberg","Other degree","212","0.746769388193668","0.697805248043675","0.795733528343661"
"No","2002","Baden-Württemberg","no degree/no degree yet","103","0.651475795529995","0.573376757061411","0.729574833998578"
"No","2002","Bavaria","lower secondary degree","922","0.679932319207421","0.655372779114699","0.704491859300142"
"No","2002","Bavaria","secondary school degree","573","0.72201941385868","0.691186161699813","0.752852666017547"
"No","2002","Bavaria","college entrance qualification","634","0.792166778333699","0.763836504017999","0.820497052649398"
"No","2002","Bavaria","Other degree","148","0.811441742772093","0.754769030669627","0.868114454874559"
"No","2002","Bavaria","no degree/no degree yet","58","0.703596015592006","0.603525346883892","0.80366668430012"
"No","2002","Berlin","lower secondary degree","100","0.583895093184601","0.509580591479826","0.658209594889375"
"No","2002","Berlin","secondary school degree","171","0.597769203330708","0.540231778924622","0.655306627736794"
"No","2002","Berlin","college entrance qualification","195","0.650694084611407","0.596564915775068","0.704823253447746"
"No","2002","Berlin","Other degree","23","","",""
"No","2002","Berlin","no degree/no degree yet","26","","",""
"No","2002","Brandenburg","lower secondary degree","228","0.804343974234871","0.758527742437969","0.850160206031774"
"No","2002","Brandenburg","secondary school degree","290","0.645521493728543","0.600413187010065","0.690629800447021"
"No","2002","Brandenburg","college entrance qualification","148","0.689919694020563","0.626136131937854","0.753703256103272"
"No","2002","Brandenburg","Other degree","7","","",""
"No","2002","Brandenburg","no degree/no degree yet","24","","",""
"No","2002","Mecklenburg-Western Pomerania","lower secondary degree","93","0.706078071729592","0.628363316851607","0.783792826607578"
"No","2002","Mecklenburg-Western Pomerania","secondary school degree","168","0.658528569770323","0.600211495159429","0.716845644381216"
"No","2002","Mecklenburg-Western Pomerania","college entrance qualification","81","0.719896812266282","0.633175941575416","0.806617682957149"
"No","2002","Mecklenburg-Western Pomerania","Other degree","5","","",""
"No","2002","Mecklenburg-Western Pomerania","no degree/no degree yet","12","","",""
"No","2002","Saxony","lower secondary degree","374","0.799707386146471","0.763829060827562","0.83558571146538"
"No","2002","Saxony","secondary school degree","528","0.676435688218481","0.643240175155718","0.709631201281245"
"No","2002","Saxony","college entrance qualification","270","0.795985873920467","0.753463123893281","0.838508623947653"
"No","2002","Saxony","Other degree","12","","",""
"No","2002","Saxony","no degree/no degree yet","36","0.793481147668058","0.677750783447852","0.909211511888264"
"No","2002","Saxony-Anhalt","lower secondary degree","239","0.750353563070115","0.70379766488658","0.796909461253649"
"No","2002","Saxony-Anhalt","secondary school degree","255","0.623984862995289","0.576751692326538","0.671218033664041"
"No","2002","Saxony-Anhalt","college entrance qualification","136","0.687224409051793","0.621301402586201","0.753147415517385"
"No","2002","Saxony-Anhalt","Other degree","6","","",""
"No","2002","Saxony-Anhalt","no degree/no degree yet","24","","",""
"No","2002","Thuringia","lower secondary degree","244","0.771940361062412","0.726463518388526","0.817417203736298"
"No","2002","Thuringia","secondary school degree","271","0.629947642995239","0.584523468731699","0.675371817258778"
"No","2002","Thuringia","college entrance qualification","127","0.776711713286539","0.713360207058211","0.840063219514866"
"No","2002","Thuringia","Other degree","2","","",""
"No","2002","Thuringia","no degree/no degree yet","23","","",""
"Yes","2003","Schleswig-Holstein","lower secondary degree","","","",""
"Yes","2003","Schleswig-Holstein","secondary school degree","","","",""
"Yes","2003","Schleswig-Holstein","college entrance qualification","","","",""
"Yes","2003","Schleswig-Holstein","Other degree","","","",""
"Yes","2003","Schleswig-Holstein","no degree/no degree yet","","","",""
"Yes","2003","Hamburg","lower secondary degree","","","",""
"Yes","2003","Hamburg","secondary school degree","","","",""
"Yes","2003","Hamburg","college entrance qualification","","","",""
"Yes","2003","Hamburg","Other degree","","","",""
"Yes","2003","Hamburg","no degree/no degree yet","","","",""
"Yes","2003","Lower Saxony","lower secondary degree","","","",""
"Yes","2003","Lower Saxony","secondary school degree","","","",""
"Yes","2003","Lower Saxony","college entrance qualification","","","",""
"Yes","2003","Lower Saxony","Other degree","","","",""
"Yes","2003","Lower Saxony","no degree/no degree yet","","","",""
"Yes","2003","Bremen","lower secondary degree","","","",""
"Yes","2003","Bremen","secondary school degree","","","",""
"Yes","2003","Bremen","college entrance qualification","","","",""
"Yes","2003","Bremen","Other degree","","","",""
"Yes","2003","Bremen","no degree/no degree yet","","","",""
"Yes","2003","North Rhine-Westphalia","lower secondary degree","","","",""
"Yes","2003","North Rhine-Westphalia","secondary school degree","","","",""
"Yes","2003","North Rhine-Westphalia","college entrance qualification","","","",""
"Yes","2003","North Rhine-Westphalia","Other degree","","","",""
"Yes","2003","North Rhine-Westphalia","no degree/no degree yet","","","",""
"Yes","2003","Hesse","lower secondary degree","","","",""
"Yes","2003","Hesse","secondary school degree","","","",""
"Yes","2003","Hesse","college entrance qualification","","","",""
"Yes","2003","Hesse","Other degree","","","",""
"Yes","2003","Hesse","no degree/no degree yet","","","",""
"Yes","2003","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Yes","2003","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
