"ple0081_h","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"No","2010","(1c) basic vocational qualification","West Germany","2478","0.70233097642783","0.687247603408564","0.717414349447096"
"No","2010","(1c) basic vocational qualification","East Germany","638","0.761667500713863","0.733058503205944","0.790276498221782"
"No","2010","(2b) intermediate general qualification","West Germany","200","0.570674539917763","0.516185892107276","0.625163187728249"
"No","2010","(2b) intermediate general qualification","East Germany","53","0.545490789614248","0.440254889358656","0.650726689869839"
"No","2010","(2a) intermediate vocational","West Germany","1847","0.683064727588632","0.665255381858912","0.700874073318352"
"No","2010","(2a) intermediate vocational","East Germany","992","0.697007980828267","0.673354309387716","0.720661652268817"
"No","2010","(2c_gen) general maturity certificate","West Germany","398","0.792680256739637","0.757358509008881","0.828002004470392"
"No","2010","(2c_gen) general maturity certificate","East Germany","102","0.756703186116121","0.687341376404495","0.826064995827747"
"No","2010","(2c_voc) vocational maturity certificate","West Germany","828","0.738932121855769","0.712688670606775","0.765175573104764"
"No","2010","(2c_voc) vocational maturity certificate","East Germany","128","0.694491179635179","0.629336934049038","0.759645425221321"
"No","2010","(3a) lower tertiary education","West Germany","757","0.762478955419415","0.735331628561888","0.789626282276942"
"No","2010","(3a) lower tertiary education","East Germany","458","0.819742057865411","0.787932877872195","0.851551237858627"
"No","2010","(3b) higher tertiary education","West Germany","1492","0.848916400417254","0.83224642931901","0.865586371515499"
"No","2010","(3b) higher tertiary education","East Germany","472","0.823324058884923","0.79179187553929","0.854856242230556"
"Yes","2011","(0) in school","West Germany","","","",""
"Yes","2011","(0) in school","East Germany","","","",""
"Yes","2011","(1a) inadequately completed","West Germany","","","",""
"Yes","2011","(1a) inadequately completed","East Germany","","","",""
"Yes","2011","(1b) general elementary school","West Germany","","","",""
"Yes","2011","(1b) general elementary school","East Germany","","","",""
"Yes","2011","(1c) basic vocational qualification","West Germany","","","",""
"Yes","2011","(1c) basic vocational qualification","East Germany","","","",""
"Yes","2011","(2b) intermediate general qualification","West Germany","","","",""
"Yes","2011","(2b) intermediate general qualification","East Germany","","","",""
"Yes","2011","(2a) intermediate vocational","West Germany","","","",""
"Yes","2011","(2a) intermediate vocational","East Germany","","","",""
"Yes","2011","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","2011","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","2011","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","2011","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","2011","(3a) lower tertiary education","West Germany","","","",""
"Yes","2011","(3a) lower tertiary education","East Germany","","","",""
"Yes","2011","(3b) higher tertiary education","West Germany","","","",""
"Yes","2011","(3b) higher tertiary education","East Germany","","","",""
"No","2011","(0) in school","West Germany","","","",""
"No","2011","(0) in school","East Germany","","","",""
"No","2011","(1a) inadequately completed","West Germany","","","",""
"No","2011","(1a) inadequately completed","East Germany","","","",""
"No","2011","(1b) general elementary school","West Germany","","","",""
"No","2011","(1b) general elementary school","East Germany","","","",""
"No","2011","(1c) basic vocational qualification","West Germany","","","",""
"No","2011","(1c) basic vocational qualification","East Germany","","","",""
"No","2011","(2b) intermediate general qualification","West Germany","","","",""
"No","2011","(2b) intermediate general qualification","East Germany","","","",""
"No","2011","(2a) intermediate vocational","West Germany","","","",""
"No","2011","(2a) intermediate vocational","East Germany","","","",""
"No","2011","(2c_gen) general maturity certificate","West Germany","","","",""
"No","2011","(2c_gen) general maturity certificate","East Germany","","","",""
"No","2011","(2c_voc) vocational maturity certificate","West Germany","","","",""
"No","2011","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No","2011","(3a) lower tertiary education","West Germany","","","",""
"No","2011","(3a) lower tertiary education","East Germany","","","",""
"No","2011","(3b) higher tertiary education","West Germany","","","",""
"No","2011","(3b) higher tertiary education","East Germany","","","",""
"Yes","2012","(0) in school","West Germany","39","0.172287679180622","0.12584705447901","0.218728303882234"
"Yes","2012","(0) in school","East Germany","7","","",""
"Yes","2012","(1a) inadequately completed","West Germany","89","0.390402125537868","0.326084535529432","0.454719715546304"
"Yes","2012","(1a) inadequately completed","East Germany","15","","",""
"Yes","2012","(1b) general elementary school","West Germany","398","0.26269727328219","0.239830949775917","0.285563596788463"
"Yes","2012","(1b) general elementary school","East Germany","65","0.349181025313763","0.283603429118925","0.414758621508601"
"Yes","2012","(1c) basic vocational qualification","West Germany","1237","0.289388488111273","0.275878305793685","0.302898670428861"
"Yes","2012","(1c) basic vocational qualification","East Germany","269","0.253898571282608","0.227188375615739","0.280608766949477"
"Yes","2012","(2b) intermediate general qualification","West Germany","142","0.339572159520985","0.295671296879239","0.383473022162732"
"Yes","2012","(2b) intermediate general qualification","East Germany","35","0.370419838029946","0.267757473110422","0.473082202949469"
"Yes","2012","(2a) intermediate vocational","West Germany","926","0.304497021008999","0.288537433718643","0.320456608299356"
"Yes","2012","(2a) intermediate vocational","East Germany","570","0.333636953122658","0.311321353817759","0.355952552427557"
"Yes","2012","(2c_gen) general maturity certificate","West Germany","135","0.204821462809293","0.175010100830653","0.234632824787932"
"Yes","2012","(2c_gen) general maturity certificate","East Germany","38","0.194152982172817","0.129548123713542","0.258757840632091"
"Yes","2012","(2c_voc) vocational maturity certificate","West Germany","310","0.25523361977829","0.231828439637047","0.278638799919532"
"Yes","2012","(2c_voc) vocational maturity certificate","East Germany","85","0.296392759417741","0.240990588550238","0.351794930285244"
"Yes","2012","(3a) lower tertiary education","West Germany","221","0.211836096947908","0.188452714201559","0.235219479694256"
"Yes","2012","(3a) lower tertiary education","East Germany","108","0.176210521163902","0.14577548068379","0.206645561644013"
"Yes","2012","(3b) higher tertiary education","West Germany","330","0.154076254026315","0.139021152216302","0.169131355836328"
"Yes","2012","(3b) higher tertiary education","East Germany","103","0.157184318103494","0.12949992783513","0.184868708371858"
"No","2012","(0) in school","West Germany","215","0.827712320819378","0.781271696117765","0.87415294552099"
"No","2012","(0) in school","East Germany","26","","",""
"No","2012","(1a) inadequately completed","West Germany","132","0.609597874462132","0.545280284453696","0.673915464470568"
"No","2012","(1a) inadequately completed","East Germany","20","","",""
"No","2012","(1b) general elementary school","West Germany","1025","0.73730272671781","0.714436403211537","0.760169050224083"
"No","2012","(1b) general elementary school","East Germany","138","0.650818974686237","0.585241378491399","0.716396570881075"
"No","2012","(1c) basic vocational qualification","West Germany","3091","0.710611511888727","0.697101329571139","0.724121694206315"
"No","2012","(1c) basic vocational qualification","East Germany","751","0.746101428717392","0.719391233050523","0.772811624384261"
"No","2012","(2b) intermediate general qualification","West Germany","305","0.660427840479015","0.616526977837268","0.704328703120761"
"No","2012","(2b) intermediate general qualification","East Germany","50","0.629580161970055","0.526917797050531","0.732242526889578"
"No","2012","(2a) intermediate vocational","West Germany","2268","0.695502978991001","0.679543391700644","0.711462566281357"
"No","2012","(2a) intermediate vocational","East Germany","1145","0.666363046877342","0.644047447572443","0.688678646182241"
"No","2012","(2c_gen) general maturity certificate","West Germany","569","0.795178537190707","0.765367175212068","0.824989899169347"
"No","2012","(2c_gen) general maturity certificate","East Germany","106","0.805847017827183","0.741242159367909","0.870451876286457"
"No","2012","(2c_voc) vocational maturity certificate","West Germany","1023","0.74476638022171","0.721361200080468","0.768171560362953"
"No","2012","(2c_voc) vocational maturity certificate","East Germany","176","0.703607240582259","0.648205069714756","0.759009411449762"
"No","2012","(3a) lower tertiary education","West Germany","952","0.788163903052092","0.764780520305744","0.811547285798441"
"No","2012","(3a) lower tertiary education","East Germany","494","0.823789478836098","0.793354438355987","0.85422451931621"
"No","2012","(3b) higher tertiary education","West Germany","1879","0.845923745973685","0.830868644163672","0.860978847783698"
"No","2012","(3b) higher tertiary education","East Germany","561","0.842815681896506","0.815131291628142","0.87050007216487"
"Yes","2013","(0) in school","West Germany","","","",""
"Yes","2013","(0) in school","East Germany","","","",""
"Yes","2013","(1a) inadequately completed","West Germany","","","",""
"Yes","2013","(1a) inadequately completed","East Germany","","","",""
"Yes","2013","(1b) general elementary school","West Germany","","","",""
"Yes","2013","(1b) general elementary school","East Germany","","","",""
"Yes","2013","(1c) basic vocational qualification","West Germany","","","",""
"Yes","2013","(1c) basic vocational qualification","East Germany","","","",""
"Yes","2013","(2b) intermediate general qualification","West Germany","","","",""
"Yes","2013","(2b) intermediate general qualification","East Germany","","","",""
"Yes","2013","(2a) intermediate vocational","West Germany","","","",""
"Yes","2013","(2a) intermediate vocational","East Germany","","","",""
"Yes","2013","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","2013","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","2013","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","2013","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","2013","(3a) lower tertiary education","West Germany","","","",""
"Yes","2013","(3a) lower tertiary education","East Germany","","","",""
"Yes","2013","(3b) higher tertiary education","West Germany","","","",""
"Yes","2013","(3b) higher tertiary education","East Germany","","","",""
"No","2013","(0) in school","West Germany","","","",""
"No","2013","(0) in school","East Germany","","","",""
"No","2013","(1a) inadequately completed","West Germany","","","",""
"No","2013","(1a) inadequately completed","East Germany","","","",""
"No","2013","(1b) general elementary school","West Germany","","","",""
"No","2013","(1b) general elementary school","East Germany","","","",""
"No","2013","(1c) basic vocational qualification","West Germany","","","",""
"No","2013","(1c) basic vocational qualification","East Germany","","","",""
"No","2013","(2b) intermediate general qualification","West Germany","","","",""
"No","2013","(2b) intermediate general qualification","East Germany","","","",""
"No","2013","(2a) intermediate vocational","West Germany","","","",""
"No","2013","(2a) intermediate vocational","East Germany","","","",""
"No","2013","(2c_gen) general maturity certificate","West Germany","","","",""
"No","2013","(2c_gen) general maturity certificate","East Germany","","","",""
"No","2013","(2c_voc) vocational maturity certificate","West Germany","","","",""
"No","2013","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No","2013","(3a) lower tertiary education","West Germany","","","",""
"No","2013","(3a) lower tertiary education","East Germany","","","",""
"No","2013","(3b) higher tertiary education","West Germany","","","",""
"No","2013","(3b) higher tertiary education","East Germany","","","",""
"Yes","2014","(0) in school","West Germany","53","0.144221476603457","0.109921704977474","0.17852124822944"
"Yes","2014","(0) in school","East Germany","12","","",""
"Yes","2014","(1a) inadequately completed","West Germany","230","0.440093350430363","0.395960683522479","0.484226017338247"
"Yes","2014","(1a) inadequately completed","East Germany","29","","",""
"Yes","2014","(1b) general elementary school","West Germany","780","0.327739282907815","0.307715916658986","0.347762649156644"
"Yes","2014","(1b) general elementary school","East Germany","105","0.378188840526095","0.319016077492603","0.437361603559586"
"Yes","2014","(1c) basic vocational qualification","West Germany","1514","0.287418185042422","0.27470520705389","0.300131163030955"
"Yes","2014","(1c) basic vocational qualification","East Germany","306","0.296098892142743","0.267873546056762","0.324324238228723"
"Yes","2014","(2b) intermediate general qualification","West Germany","250","0.35292863387372","0.316877764426317","0.388979503321123"
"Yes","2014","(2b) intermediate general qualification","East Germany","76","0.440582145079675","0.357449917895338","0.523714372264013"
"Yes","2014","(2a) intermediate vocational","West Germany","1146","0.282700343955114","0.268909793651809","0.296490894258418"
"Yes","2014","(2a) intermediate vocational","East Germany","675","0.340210744887178","0.319310510859881","0.361110978914476"
"Yes","2014","(2c_gen) general maturity certificate","West Germany","315","0.219736756425921","0.197210829343917","0.242262683507924"
"Yes","2014","(2c_gen) general maturity certificate","East Germany","44","0.257075751612986","0.188932575574161","0.325218927651811"
"Yes","2014","(2c_voc) vocational maturity certificate","West Germany","556","0.266586746935805","0.247878767383248","0.285294726488363"
"Yes","2014","(2c_voc) vocational maturity certificate","East Germany","93","0.250209466257931","0.206016133662487","0.294402798853374"
"Yes","2014","(3a) lower tertiary education","West Germany","259","0.190837113525005","0.170455743001421","0.211218484048589"
"Yes","2014","(3a) lower tertiary education","East Germany","109","0.161033214287039","0.131959935009676","0.190106493564402"
"Yes","2014","(3b) higher tertiary education","West Germany","489","0.159303352342598","0.146933020448714","0.171673684236482"
"Yes","2014","(3b) higher tertiary education","East Germany","124","0.158673431684273","0.133831693045209","0.183515170323337"
"No","2014","(0) in school","West Germany","350","0.855778523396543","0.82147875177056","0.890078295022526"
"No","2014","(0) in school","East Germany","44","0.736800426561895","0.621462642728256","0.852138210395535"
"No","2014","(1a) inadequately completed","West Germany","256","0.559906649569637","0.515773982661753","0.604039316477521"
"No","2014","(1a) inadequately completed","East Germany","29","","",""
"No","2014","(1b) general elementary school","West Germany","1331","0.672260717092185","0.652237350843356","0.692284083341014"
"No","2014","(1b) general elementary school","East Germany","153","0.621811159473905","0.562638396440414","0.680983922507397"
"No","2014","(1c) basic vocational qualification","West Germany","3354","0.712581814957578","0.699868836969045","0.72529479294611"
"No","2014","(1c) basic vocational qualification","East Germany","699","0.703901107857257","0.675675761771277","0.732126453943238"
"No","2014","(2b) intermediate general qualification","West Germany","425","0.64707136612628","0.611020496678877","0.683122235573683"
"No","2014","(2b) intermediate general qualification","East Germany","61","0.559417854920325","0.476285627735987","0.642550082104662"
"No","2014","(2a) intermediate vocational","West Germany","2950","0.717299656044886","0.703509105741582","0.731090206348191"
"No","2014","(2a) intermediate vocational","East Germany","1299","0.659789255112822","0.638889021085524","0.68068948914012"
"No","2014","(2c_gen) general maturity certificate","West Germany","983","0.780263243574079","0.757737316492076","0.802789170656083"
"No","2014","(2c_gen) general maturity certificate","East Germany","114","0.742924248387014","0.674781072348189","0.811067424425839"
"No","2014","(2c_voc) vocational maturity certificate","West Germany","1590","0.733413253064195","0.714705273511637","0.752121232616752"
"No","2014","(2c_voc) vocational maturity certificate","East Germany","276","0.749790533742069","0.705597201146626","0.793983866337513"
"No","2014","(3a) lower tertiary education","West Germany","1169","0.809162886474995","0.788781515951411","0.829544256998579"
"No","2014","(3a) lower tertiary education","East Germany","505","0.838966785712961","0.809893506435598","0.868040064990324"
"No","2014","(3b) higher tertiary education","West Germany","2873","0.840696647657402","0.828326315763518","0.853066979551286"
"No","2014","(3b) higher tertiary education","East Germany","707","0.841326568315727","0.816484829676663","0.866168306954791"
"Yes","2015","(0) in school","West Germany","","","",""
"Yes","2015","(0) in school","East Germany","","","",""
"Yes","2015","(1a) inadequately completed","West Germany","","","",""
"Yes","2015","(1a) inadequately completed","East Germany","","","",""
"Yes","2015","(1b) general elementary school","West Germany","","","",""
"Yes","2015","(1b) general elementary school","East Germany","","","",""
"Yes","2015","(1c) basic vocational qualification","West Germany","","","",""
"Yes","2015","(1c) basic vocational qualification","East Germany","","","",""
"Yes","2015","(2b) intermediate general qualification","West Germany","","","",""
"Yes","2015","(2b) intermediate general qualification","East Germany","","","",""
"Yes","2015","(2a) intermediate vocational","West Germany","","","",""
"Yes","2015","(2a) intermediate vocational","East Germany","","","",""
"Yes","2015","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","2015","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","2015","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","2015","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","2015","(3a) lower tertiary education","West Germany","","","",""
"Yes","2015","(3a) lower tertiary education","East Germany","","","",""
"Yes","2015","(3b) higher tertiary education","West Germany","","","",""
"Yes","2015","(3b) higher tertiary education","East Germany","","","",""
"No","2015","(0) in school","West Germany","","","",""
"No","2015","(0) in school","East Germany","","","",""
"No","2015","(1a) inadequately completed","West Germany","","","",""
"No","2015","(1a) inadequately completed","East Germany","","","",""
"No","2015","(1b) general elementary school","West Germany","","","",""
"No","2015","(1b) general elementary school","East Germany","","","",""
"No","2015","(1c) basic vocational qualification","West Germany","","","",""
"No","2015","(1c) basic vocational qualification","East Germany","","","",""
"No","2015","(2b) intermediate general qualification","West Germany","","","",""
"No","2015","(2b) intermediate general qualification","East Germany","","","",""
"No","2015","(2a) intermediate vocational","West Germany","","","",""
"No","2015","(2a) intermediate vocational","East Germany","","","",""
"No","2015","(2c_gen) general maturity certificate","West Germany","","","",""
"No","2015","(2c_gen) general maturity certificate","East Germany","","","",""
"No","2015","(2c_voc) vocational maturity certificate","West Germany","","","",""
"No","2015","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No","2015","(3a) lower tertiary education","West Germany","","","",""
"No","2015","(3a) lower tertiary education","East Germany","","","",""
"No","2015","(3b) higher tertiary education","West Germany","","","",""
"No","2015","(3b) higher tertiary education","East Germany","","","",""
"Yes","2016","(0) in school","West Germany","36","0.16238526665572","0.120084120908577","0.204686412402862"
"Yes","2016","(0) in school","East Germany","7","","",""
"Yes","2016","(1a) inadequately completed","West Germany","196","0.416657282481824","0.369786197721491","0.463528367242157"
"Yes","2016","(1a) inadequately completed","East Germany","27","","",""
"Yes","2016","(1b) general elementary school","West Germany","623","0.318822734380753","0.296741273630956","0.34090419513055"
"Yes","2016","(1b) general elementary school","East Germany","96","0.383056081613266","0.318375748377198","0.447736414849334"
"Yes","2016","(1c) basic vocational qualification","West Germany","1282","0.270886648607037","0.257478056144531","0.284295241069544"
"Yes","2016","(1c) basic vocational qualification","East Germany","262","0.279073873485067","0.249008264417225","0.309139482552908"
"Yes","2016","(2b) intermediate general qualification","West Germany","196","0.33502190578656","0.296609247211752","0.373434564361368"
"Yes","2016","(2b) intermediate general qualification","East Germany","59","0.350257141744798","0.263067794193892","0.437446489295704"
"Yes","2016","(2a) intermediate vocational","West Germany","955","0.26599098771118","0.251468153751129","0.280513821671231"
"Yes","2016","(2a) intermediate vocational","East Germany","592","0.351373919647545","0.329196038330578","0.373551800964513"
"Yes","2016","(2c_gen) general maturity certificate","West Germany","224","0.187524653076508","0.164489313641924","0.210559992511092"
"Yes","2016","(2c_gen) general maturity certificate","East Germany","27","","",""
"Yes","2016","(2c_voc) vocational maturity certificate","West Germany","542","0.257342995214955","0.238627437715552","0.276058552714358"
"Yes","2016","(2c_voc) vocational maturity certificate","East Germany","97","0.241105297688283","0.195836895256663","0.286373700119903"
"Yes","2016","(3a) lower tertiary education","West Germany","213","0.178354475562877","0.157456419724983","0.199252531400771"
"Yes","2016","(3a) lower tertiary education","East Germany","89","0.146723055102718","0.11701706539304","0.176429044812395"
"Yes","2016","(3b) higher tertiary education","West Germany","443","0.161164383378784","0.148552513981641","0.173776252775926"
"Yes","2016","(3b) higher tertiary education","East Germany","113","0.161596062640241","0.136169234197096","0.187022891083385"
"No","2016","(0) in school","West Germany","256","0.837614733344281","0.795313587597139","0.879915879091423"
"No","2016","(0) in school","East Germany","36","0.901871865422507","0.812955223155148","0.990788507689867"
"No","2016","(1a) inadequately completed","West Germany","229","0.583342717518176","0.536471632757843","0.630213802278509"
"No","2016","(1a) inadequately completed","East Germany","26","","",""
"No","2016","(1b) general elementary school","West Germany","1088","0.681177265619247","0.659095804869451","0.703258726369044"
"No","2016","(1b) general elementary school","East Germany","121","0.616943918386734","0.552263585150666","0.681624251622802"
"No","2016","(1c) basic vocational qualification","West Germany","2938","0.729113351392963","0.715704758930456","0.742521943855469"
"No","2016","(1c) basic vocational qualification","East Germany","593","0.720926126514934","0.690860517447093","0.750991735582775"
"No","2016","(2b) intermediate general qualification","West Germany","384","0.66497809421344","0.626565435638632","0.703390752788248"
"No","2016","(2b) intermediate general qualification","East Germany","56","0.649742858255202","0.562553510704296","0.736932205806108"
"No","2016","(2a) intermediate vocational","West Germany","2601","0.73400901228882","0.719486178328769","0.748531846248871"
"No","2016","(2a) intermediate vocational","East Germany","1188","0.648626080352455","0.626448199035488","0.670803961669422"
"No","2016","(2c_gen) general maturity certificate","West Germany","879","0.812475346923492","0.789440007488908","0.835510686358076"
"No","2016","(2c_gen) general maturity certificate","East Germany","127","0.856533245546291","0.801168223188927","0.911898267903655"
"No","2016","(2c_voc) vocational maturity certificate","West Germany","1554","0.742657004785045","0.723941447285642","0.761372562284448"
"No","2016","(2c_voc) vocational maturity certificate","East Germany","246","0.758894702311717","0.713626299880097","0.804163104743337"
"No","2016","(3a) lower tertiary education","West Germany","1076","0.821645524437123","0.800747468599229","0.842543580275017"
"No","2016","(3a) lower tertiary education","East Germany","456","0.853276944897282","0.823570955187605","0.88298293460696"
"No","2016","(3b) higher tertiary education","West Germany","2822","0.838835616621216","0.826223747224074","0.851447486018359"
"No","2016","(3b) higher tertiary education","East Germany","692","0.838403937359759","0.812977108916615","0.863830765802904"
"Yes","2017","(0) in school","West Germany","","","",""
"Yes","2017","(0) in school","East Germany","","","",""
"Yes","2017","(1a) inadequately completed","West Germany","","","",""
"Yes","2017","(1a) inadequately completed","East Germany","","","",""
"Yes","2017","(1b) general elementary school","West Germany","","","",""
"Yes","2017","(1b) general elementary school","East Germany","","","",""
"Yes","2017","(1c) basic vocational qualification","West Germany","","","",""
"Yes","2017","(1c) basic vocational qualification","East Germany","","","",""
"Yes","2017","(2b) intermediate general qualification","West Germany","","","",""
"Yes","2017","(2b) intermediate general qualification","East Germany","","","",""
"Yes","2017","(2a) intermediate vocational","West Germany","","","",""
"Yes","2017","(2a) intermediate vocational","East Germany","","","",""
"Yes","2017","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","2017","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","2017","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","2017","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","2017","(3a) lower tertiary education","West Germany","","","",""
"Yes","2017","(3a) lower tertiary education","East Germany","","","",""
"Yes","2017","(3b) higher tertiary education","West Germany","","","",""
"Yes","2017","(3b) higher tertiary education","East Germany","","","",""
"No","2017","(0) in school","West Germany","","","",""
"No","2017","(0) in school","East Germany","","","",""
"No","2017","(1a) inadequately completed","West Germany","","","",""
"No","2017","(1a) inadequately completed","East Germany","","","",""
"No","2017","(1b) general elementary school","West Germany","","","",""
"No","2017","(1b) general elementary school","East Germany","","","",""
"No","2017","(1c) basic vocational qualification","West Germany","","","",""
"No","2017","(1c) basic vocational qualification","East Germany","","","",""
"No","2017","(2b) intermediate general qualification","West Germany","","","",""
"No","2017","(2b) intermediate general qualification","East Germany","","","",""
"No","2017","(2a) intermediate vocational","West Germany","","","",""
"No","2017","(2a) intermediate vocational","East Germany","","","",""
"No","2017","(2c_gen) general maturity certificate","West Germany","","","",""
"No","2017","(2c_gen) general maturity certificate","East Germany","","","",""
"No","2017","(2c_voc) vocational maturity certificate","West Germany","","","",""
"No","2017","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No","2017","(3a) lower tertiary education","West Germany","","","",""
"No","2017","(3a) lower tertiary education","East Germany","","","",""
"No","2017","(3b) higher tertiary education","West Germany","","","",""
"No","2017","(3b) higher tertiary education","East Germany","","","",""
"Yes","2018","(0) in school","West Germany","27","","",""
"Yes","2018","(0) in school","East Germany","6","","",""
"Yes","2018","(1a) inadequately completed","West Germany","223","0.472516755973875","0.427091012734459","0.517942499213291"
"Yes","2018","(1a) inadequately completed","East Germany","34","0.476039019879039","0.360679725238314","0.591398314519764"
"Yes","2018","(1b) general elementary school","West Germany","629","0.329758697921509","0.307170314383641","0.352347081459377"
"Yes","2018","(1b) general elementary school","East Germany","120","0.418753619370768","0.358436450732161","0.479070788009375"
"Yes","2018","(1c) basic vocational qualification","West Germany","1204","0.268286176577024","0.254623770591976","0.281948582562073"
"Yes","2018","(1c) basic vocational qualification","East Germany","259","0.285629225684789","0.254482989591267","0.31677546177831"
"Yes","2018","(2b) intermediate general qualification","West Germany","208","0.314720626650506","0.278853086679917","0.350588166621095"
"Yes","2018","(2b) intermediate general qualification","East Germany","67","0.34920028169446","0.273414581429638","0.424985981959283"
"Yes","2018","(2a) intermediate vocational","West Germany","984","0.261538304622728","0.247570872583513","0.275505736661943"
"Yes","2018","(2a) intermediate vocational","East Germany","639","0.317454617790364","0.297069453910397","0.337839781670331"
"Yes","2018","(2c_gen) general maturity certificate","West Germany","259","0.204599384088716","0.182456299397314","0.226742468780119"
"Yes","2018","(2c_gen) general maturity certificate","East Germany","31","0.124927043504294","0.0781591467774676","0.17169494023112"
"Yes","2018","(2c_voc) vocational maturity certificate","West Germany","512","0.248395628442624","0.230127396955552","0.266663859929697"
"Yes","2018","(2c_voc) vocational maturity certificate","East Germany","119","0.297459004264559","0.252147434484713","0.342770574044406"
"Yes","2018","(3a) lower tertiary education","West Germany","232","0.15577433133285","0.136945737671067","0.174602924994632"
"Yes","2018","(3a) lower tertiary education","East Germany","93","0.135368842413903","0.106880445794865","0.163857239032942"
"Yes","2018","(3b) higher tertiary education","West Germany","435","0.151780637698505","0.139888428171068","0.163672847225941"
"Yes","2018","(3b) higher tertiary education","East Germany","124","0.157005142824334","0.132388064223745","0.181622221424923"
"No","2018","(0) in school","West Germany","254","0.925576076252076","0.894888875608145","0.956263276896007"
"No","2018","(0) in school","East Germany","50","0.883281025830737","0.799185234978261","0.967376816683212"
"No","2018","(1a) inadequately completed","West Germany","241","0.527483244026125","0.482057500786709","0.572908987265541"
"No","2018","(1a) inadequately completed","East Germany","38","0.523960980120961","0.408601685480236","0.639320274761686"
"No","2018","(1b) general elementary school","West Germany","1035","0.670241302078491","0.647652918540623","0.692829685616359"
"No","2018","(1b) general elementary school","East Germany","137","0.581246380629232","0.520929211990625","0.641563549267839"
"No","2018","(1c) basic vocational qualification","West Germany","2836","0.731713823422976","0.718051417437927","0.745376229408024"
"No","2018","(1c) basic vocational qualification","East Germany","549","0.714370774315212","0.68322453822169","0.745517010408733"
"No","2018","(2b) intermediate general qualification","West Germany","436","0.685279373349494","0.649411833378905","0.721146913320083"
"No","2018","(2b) intermediate general qualification","East Germany","85","0.65079971830554","0.575014018040717","0.726585418570362"
"No","2018","(2a) intermediate vocational","West Germany","2819","0.738461695377272","0.724494263338057","0.752429127416487"
"No","2018","(2a) intermediate vocational","East Germany","1364","0.682545382209636","0.662160218329669","0.702930546089603"
"No","2018","(2c_gen) general maturity certificate","West Germany","1016","0.795400615911284","0.773257531219881","0.817543700602686"
"No","2018","(2c_gen) general maturity certificate","East Germany","161","0.875072956495706","0.82830505976888","0.921840853222533"
"No","2018","(2c_voc) vocational maturity certificate","West Germany","1637","0.751604371557376","0.733336140070303","0.769872603044448"
"No","2018","(2c_voc) vocational maturity certificate","East Germany","272","0.702540995735441","0.657229425955594","0.747852565515288"
"No","2018","(3a) lower tertiary education","West Germany","1193","0.84422566866715","0.825397075005368","0.863054262328933"
"No","2018","(3a) lower tertiary education","East Germany","461","0.864631157586097","0.836142760967058","0.893119554205135"
"No","2018","(3b) higher tertiary education","West Germany","3062","0.848219362301495","0.836327152774059","0.860111571828932"
"No","2018","(3b) higher tertiary education","East Germany","715","0.842994857175666","0.818377778575077","0.867611935776255"
