"pli0080","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","2006","Not Employed","Rural Area","","","",""
"Min 1x per week","2006","Employed","Urban Area","","","",""
"Min 1x per week","2006","Employed","Rural Area","","","",""
"Min 1x per month","2006","Not Employed","Urban Area","","","",""
"Min 1x per month","2006","Not Employed","Rural Area","","","",""
"Min 1x per month","2006","Employed","Urban Area","","","",""
"Min 1x per month","2006","Employed","Rural Area","","","",""
"Rarely","2006","Not Employed","Urban Area","","","",""
"Rarely","2006","Not Employed","Rural Area","","","",""
"Rarely","2006","Employed","Urban Area","","","",""
"Rarely","2006","Employed","Rural Area","","","",""
"Never","2006","Not Employed","Urban Area","","","",""
"Never","2006","Not Employed","Rural Area","","","",""
"Never","2006","Employed","Urban Area","","","",""
"Never","2006","Employed","Rural Area","","","",""
"Daily","2007","Not Employed","Urban Area","","","",""
"Daily","2007","Not Employed","Rural Area","","","",""
"Daily","2007","Employed","Urban Area","","","",""
"Daily","2007","Employed","Rural Area","","","",""
"Min 1x per week","2007","Not Employed","Urban Area","","","",""
"Min 1x per week","2007","Not Employed","Rural Area","","","",""
"Min 1x per week","2007","Employed","Urban Area","","","",""
"Min 1x per week","2007","Employed","Rural Area","","","",""
"Min 1x per month","2007","Not Employed","Urban Area","","","",""
"Min 1x per month","2007","Not Employed","Rural Area","","","",""
"Min 1x per month","2007","Employed","Urban Area","","","",""
"Min 1x per month","2007","Employed","Rural Area","","","",""
"Rarely","2007","Not Employed","Urban Area","","","",""
"Rarely","2007","Not Employed","Rural Area","","","",""
"Rarely","2007","Employed","Urban Area","","","",""
"Rarely","2007","Employed","Rural Area","","","",""
"Never","2007","Not Employed","Urban Area","","","",""
"Never","2007","Not Employed","Rural Area","","","",""
"Never","2007","Employed","Urban Area","","","",""
"Never","2007","Employed","Rural Area","","","",""
"Daily","2008","Not Employed","Urban Area","237","0.0486291981616612","0.0426036688074132","0.0546547275159091"
"Daily","2008","Not Employed","Rural Area","128","0.0576463490051884","0.0486370725271822","0.0666556254831946"
"Daily","2008","Employed","Urban Area","278","0.0417601011733176","0.0373508979355731","0.0461693044110621"
"Daily","2008","Employed","Rural Area","132","0.0391008810724643","0.0330781525047491","0.0451236096401795"
"Min 1x per week","2008","Not Employed","Urban Area","1909","0.380675503026867","0.367073328672536","0.394277677381199"
"Min 1x per week","2008","Not Employed","Rural Area","880","0.345086261923409","0.326710179163725","0.363462344683093"
"Min 1x per week","2008","Employed","Urban Area","3270","0.412464674981672","0.401614103978697","0.423315245984647"
"Min 1x per week","2008","Employed","Rural Area","1447","0.380062999324552","0.364980868763427","0.395145129885677"
"Min 1x per month","2008","Not Employed","Urban Area","1397","0.273823879039191","0.26133198234373","0.286315775734651"
"Min 1x per month","2008","Not Employed","Rural Area","765","0.285714409638147","0.268252205168084","0.303176614108209"
"Min 1x per month","2008","Employed","Urban Area","2816","0.338908284196105","0.32847516494284","0.34934140344937"
"Min 1x per month","2008","Employed","Rural Area","1414","0.323789123675603","0.309250164217417","0.338328083133788"
"Rarely","2008","Not Employed","Urban Area","1134","0.247435155615593","0.23534660012423","0.259523711106956"
"Rarely","2008","Not Employed","Rural Area","639","0.247170800545029","0.230496644462426","0.263844956627631"
"Rarely","2008","Employed","Urban Area","1421","0.186397546197219","0.177813966538331","0.194981125856106"
"Rarely","2008","Employed","Rural Area","936","0.241159643497439","0.2278676950644","0.254451591930478"
"Never","2008","Not Employed","Urban Area","218","0.049436264156688","0.0433635171867493","0.0555090111266267"
"Never","2008","Not Employed","Rural Area","159","0.0643821788882273","0.0548951738630322","0.0738691839134225"
"Never","2008","Employed","Urban Area","122","0.0204693934516869","0.0173483219812337","0.02359046492214"
"Never","2008","Employed","Rural Area","50","0.0158873524299419","0.0120021889935207","0.0197725158663631"
"Daily","2009","Not Employed","Urban Area","","","",""
"Daily","2009","Not Employed","Rural Area","","","",""
"Daily","2009","Employed","Urban Area","","","",""
"Daily","2009","Employed","Rural Area","","","",""
"Min 1x per week","2009","Not Employed","Urban Area","","","",""
"Min 1x per week","2009","Not Employed","Rural Area","","","",""
"Min 1x per week","2009","Employed","Urban Area","","","",""
"Min 1x per week","2009","Employed","Rural Area","","","",""
"Min 1x per month","2009","Not Employed","Urban Area","","","",""
"Min 1x per month","2009","Not Employed","Rural Area","","","",""
"Min 1x per month","2009","Employed","Urban Area","","","",""
"Min 1x per month","2009","Employed","Rural Area","","","",""
"Rarely","2009","Not Employed","Urban Area","","","",""
"Rarely","2009","Not Employed","Rural Area","","","",""
"Rarely","2009","Employed","Urban Area","","","",""
"Rarely","2009","Employed","Rural Area","","","",""
"Never","2009","Not Employed","Urban Area","","","",""
"Never","2009","Not Employed","Rural Area","","","",""
"Never","2009","Employed","Urban Area","","","",""
"Never","2009","Employed","Rural Area","","","",""
"Daily","2010","Not Employed","Urban Area","","","",""
"Daily","2010","Not Employed","Rural Area","","","",""
