"pli0080","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","1993","Part Time","higher vocational","","","",""
"Never","1993","Part Time","higher education","","","",""
"Never","1993","Not Working","in school","","","",""
"Never","1993","Not Working","inadequately","","","",""
"Never","1993","Not Working","general elemantary","","","",""
"Never","1993","Not Working","middle vocational","","","",""
"Never","1993","Not Working","vocational + Abi","","","",""
"Never","1993","Not Working","higher vocational","","","",""
"Never","1993","Not Working","higher education","","","",""
"Daily","1994","Full Time","in school","","","",""
"Daily","1994","Full Time","inadequately","","","",""
"Daily","1994","Full Time","general elemantary","","","",""
"Daily","1994","Full Time","middle vocational","","","",""
"Daily","1994","Full Time","vocational + Abi","","","",""
"Daily","1994","Full Time","higher vocational","","","",""
"Daily","1994","Full Time","higher education","","","",""
"Daily","1994","Part Time","in school","","","",""
"Daily","1994","Part Time","inadequately","","","",""
"Daily","1994","Part Time","general elemantary","","","",""
"Daily","1994","Part Time","middle vocational","","","",""
"Daily","1994","Part Time","vocational + Abi","","","",""
"Daily","1994","Part Time","higher vocational","","","",""
"Daily","1994","Part Time","higher education","","","",""
"Daily","1994","Not Working","in school","","","",""
"Daily","1994","Not Working","inadequately","","","",""
"Daily","1994","Not Working","general elemantary","","","",""
"Daily","1994","Not Working","middle vocational","","","",""
"Daily","1994","Not Working","vocational + Abi","","","",""
"Daily","1994","Not Working","higher vocational","","","",""
"Daily","1994","Not Working","higher education","","","",""
"Min 1x per week","1994","Full Time","in school","","","",""
"Min 1x per week","1994","Full Time","inadequately","","","",""
"Min 1x per week","1994","Full Time","general elemantary","","","",""
"Min 1x per week","1994","Full Time","middle vocational","","","",""
"Min 1x per week","1994","Full Time","vocational + Abi","","","",""
"Min 1x per week","1994","Full Time","higher vocational","","","",""
"Min 1x per week","1994","Full Time","higher education","","","",""
"Min 1x per week","1994","Part Time","in school","","","",""
"Min 1x per week","1994","Part Time","inadequately","","","",""
"Min 1x per week","1994","Part Time","general elemantary","","","",""
"Min 1x per week","1994","Part Time","middle vocational","","","",""
"Min 1x per week","1994","Part Time","vocational + Abi","","","",""
"Min 1x per week","1994","Part Time","higher vocational","","","",""
"Min 1x per week","1994","Part Time","higher education","","","",""
"Min 1x per week","1994","Not Working","in school","","","",""
"Min 1x per week","1994","Not Working","inadequately","","","",""
"Min 1x per week","1994","Not Working","general elemantary","","","",""
"Min 1x per week","1994","Not Working","middle vocational","","","",""
"Min 1x per week","1994","Not Working","vocational + Abi","","","",""
"Min 1x per week","1994","Not Working","higher vocational","","","",""
"Min 1x per week","1994","Not Working","higher education","","","",""
"Min 1x per month","1994","Full Time","in school","","","",""
"Min 1x per month","1994","Full Time","inadequately","","","",""
"Min 1x per month","1994","Full Time","general elemantary","","","",""
"Min 1x per month","1994","Full Time","middle vocational","","","",""
"Min 1x per month","1994","Full Time","vocational + Abi","","","",""
"Min 1x per month","1994","Full Time","higher vocational","","","",""
"Min 1x per month","1994","Full Time","higher education","","","",""
"Min 1x per month","1994","Part Time","in school","","","",""
"Min 1x per month","1994","Part Time","inadequately","","","",""
"Min 1x per month","1994","Part Time","general elemantary","","","",""
"Min 1x per month","1994","Part Time","middle vocational","","","",""
"Min 1x per month","1994","Part Time","vocational + Abi","","","",""
"Min 1x per month","1994","Part Time","higher vocational","","","",""
"Min 1x per month","1994","Part Time","higher education","","","",""
"Min 1x per month","1994","Not Working","in school","","","",""
"Min 1x per month","1994","Not Working","inadequately","","","",""
"Min 1x per month","1994","Not Working","general elemantary","","","",""
"Min 1x per month","1994","Not Working","middle vocational","","","",""
"Min 1x per month","1994","Not Working","vocational + Abi","","","",""
"Min 1x per month","1994","Not Working","higher vocational","","","",""
"Min 1x per month","1994","Not Working","higher education","","","",""
"Rarely","1994","Full Time","in school","","","",""
"Rarely","1994","Full Time","inadequately","","","",""
"Rarely","1994","Full Time","general elemantary","","","",""
"Rarely","1994","Full Time","middle vocational","","","",""
"Rarely","1994","Full Time","vocational + Abi","","","",""
"Rarely","1994","Full Time","higher vocational","","","",""
"Rarely","1994","Full Time","higher education","","","",""
"Rarely","1994","Part Time","in school","","","",""
"Rarely","1994","Part Time","inadequately","","","",""
"Rarely","1994","Part Time","general elemantary","","","",""
"Rarely","1994","Part Time","middle vocational","","","",""
"Rarely","1994","Part Time","vocational + Abi","","","",""
"Rarely","1994","Part Time","higher vocational","","","",""
"Rarely","1994","Part Time","higher education","","","",""
"Rarely","1994","Not Working","in school","","","",""
