"pli0080","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1994","Full Time","indirect migration background","","","",""
"Min 1x per week","1994","Part Time","no migration background","","","",""
"Min 1x per week","1994","Part Time","direct migration background","","","",""
"Min 1x per week","1994","Part Time","indirect migration background","","","",""
"Min 1x per week","1994","Not Working","no migration background","","","",""
"Min 1x per week","1994","Not Working","direct migration background","","","",""
"Min 1x per week","1994","Not Working","indirect migration background","","","",""
"Min 1x per month","1994","Full Time","no migration background","","","",""
"Min 1x per month","1994","Full Time","direct migration background","","","",""
"Min 1x per month","1994","Full Time","indirect migration background","","","",""
"Min 1x per month","1994","Part Time","no migration background","","","",""
"Min 1x per month","1994","Part Time","direct migration background","","","",""
"Min 1x per month","1994","Part Time","indirect migration background","","","",""
"Min 1x per month","1994","Not Working","no migration background","","","",""
"Min 1x per month","1994","Not Working","direct migration background","","","",""
"Min 1x per month","1994","Not Working","indirect migration background","","","",""
"Rarely","1994","Full Time","no migration background","","","",""
"Rarely","1994","Full Time","direct migration background","","","",""
"Rarely","1994","Full Time","indirect migration background","","","",""
"Rarely","1994","Part Time","no migration background","","","",""
"Rarely","1994","Part Time","direct migration background","","","",""
"Rarely","1994","Part Time","indirect migration background","","","",""
"Rarely","1994","Not Working","no migration background","","","",""
"Rarely","1994","Not Working","direct migration background","","","",""
"Rarely","1994","Not Working","indirect migration background","","","",""
"Never","1994","Full Time","no migration background","","","",""
"Never","1994","Full Time","direct migration background","","","",""
"Never","1994","Full Time","indirect migration background","","","",""
"Never","1994","Part Time","no migration background","","","",""
"Never","1994","Part Time","direct migration background","","","",""
"Never","1994","Part Time","indirect migration background","","","",""
"Never","1994","Not Working","no migration background","","","",""
"Never","1994","Not Working","direct migration background","","","",""
"Never","1994","Not Working","indirect migration background","","","",""
"Daily","1995","Full Time","no migration background","133","0.0325902155482268","0.0274218147208813","0.0377586163755722"
"Daily","1995","Full Time","direct migration background","80","0.0622943979320795","0.0483800094413448","0.0762087864228143"
"Daily","1995","Full Time","indirect migration background","36","0.169682471177527","0.118300382549467","0.221064559805586"
"Daily","1995","Part Time","no migration background","116","0.0616103586627203","0.0508664074341554","0.0723543098912853"
"Daily","1995","Part Time","direct migration background","44","0.072979675382144","0.0511224901484724","0.0948368606158157"
"Daily","1995","Part Time","indirect migration background","32","0.245311930531242","0.172730707145164","0.317893153917321"
"Daily","1995","Not Working","no migration background","265","0.0695584273411739","0.0611708942040316","0.0779459604783163"
"Daily","1995","Not Working","direct migration background","121","0.093764222272374","0.0765301295727984","0.11099831497195"
"Daily","1995","Not Working","indirect migration background","50","0.277228490194019","0.209939645343032","0.344517335045005"
"Min 1x per week","1995","Full Time","no migration background","1654","0.378734266009111","0.364614960569058","0.392853571449163"
"Min 1x per week","1995","Full Time","direct migration background","611","0.48149641183024","0.452730457696818","0.510262365963661"
"Min 1x per week","1995","Full Time","indirect migration background","128","0.598149818762333","0.531036574603774","0.665263062920892"
"Min 1x per week","1995","Part Time","no migration background","780","0.411488676638125","0.389499857190749","0.4334774960855"
"Min 1x per week","1995","Part Time","direct migration background","289","0.495510539251021","0.453495851702293","0.53752522679975"
"Min 1x per week","1995","Part Time","indirect migration background","65","0.449548773697729","0.365635814417161","0.533461732978296"
"Min 1x per week","1995","Not Working","no migration background","1335","0.375562743750649","0.359596583885373","0.391528903615926"
"Min 1x per week","1995","Not Working","direct migration background","539","0.406278251300426","0.377241200056289","0.435315302544563"
"Min 1x per week","1995","Not Working","indirect migration background","91","0.486602914044255","0.411468711258639","0.561737116829871"
"Min 1x per month","1995","Full Time","no migration background","1554","0.333659407214878","0.319934571474497","0.347384242955259"
"Min 1x per month","1995","Full Time","direct migration background","308","0.307672703386417","0.281101783846603","0.334243622926231"
"Min 1x per month","1995","Full Time","indirect migration background","28","","",""
"Min 1x per month","1995","Part Time","no migration background","609","0.323854872734983","0.302945512909268","0.344764232560698"
"Min 1x per month","1995","Part Time","direct migration background","128","0.249721752770774","0.213348008759912","0.286095496781636"
"Min 1x per month","1995","Part Time","indirect migration background","25","","",""
"Min 1x per month","1995","Not Working","no migration background","981","0.273372318505109","0.258678047142217","0.288066589868001"
"Min 1x per month","1995","Not Working","direct migration background","253","0.276850778318927","0.25039709923179","0.303304457406063"
"Min 1x per month","1995","Not Working","indirect migration background","17","","",""
"Rarely","1995","Full Time","no migration background","1103","0.233854647671052","0.221533932389932","0.246175362952172"
"Rarely","1995","Full Time","direct migration background","134","0.125142276663322","0.106093060328356","0.144191492998289"
"Rarely","1995","Full Time","indirect migration background","11","","",""
"Rarely","1995","Part Time","no migration background","373","0.177935597468382","0.160846076121733","0.195025118815032"
"Rarely","1995","Part Time","direct migration background","69","0.158921317729842","0.128198713046599","0.189643922413085"
"Rarely","1995","Part Time","indirect migration background","12","","",""
"Rarely","1995","Not Working","no migration background","792","0.227065367149531","0.213253205528447","0.240877528770616"
"Rarely","1995","Not Working","direct migration background","146","0.165286689324388","0.143326460822694","0.187246917826082"
