"year","e11103","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1998","Not Working","lower secondary degree","","","","","","","","","","","","","",""
"1998","Not Working","no degree/no degree yet","","","","","","","","","","","","","",""
"1998","Not Working","Other degree","","","","","","","","","","","","","",""
"1998","Not Working","secondary school degree","","","","","","","","","","","","","",""
"1998","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"1998","Part Time","lower secondary degree","","","","","","","","","","","","","",""
"1998","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1998","Part Time","Other degree","","","","","","","","","","","","","",""
"1998","Part Time","secondary school degree","","","","","","","","","","","","","",""
"1999","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"1999","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"1999","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1999","Full Time","Other degree","","","","","","","","","","","","","",""
"1999","Full Time","secondary school degree","","","","","","","","","","","","","",""
"1999","Not Working","college entrance qualification","","","","","","","","","","","","","",""
"1999","Not Working","lower secondary degree","","","","","","","","","","","","","",""
"1999","Not Working","no degree/no degree yet","","","","","","","","","","","","","",""
"1999","Not Working","Other degree","","","","","","","","","","","","","",""
"1999","Not Working","secondary school degree","","","","","","","","","","","","","",""
"1999","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"1999","Part Time","lower secondary degree","","","","","","","","","","","","","",""
"1999","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1999","Part Time","Other degree","","","","","","","","","","","","","",""
"1999","Part Time","secondary school degree","","","","","","","","","","","","","",""
"2000","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"2000","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"2000","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"2000","Full Time","Other degree","","","","","","","","","","","","","",""
"2000","Full Time","secondary school degree","","","","","","","","","","","","","",""
"2000","Not Working","college entrance qualification","","","","","","","","","","","","","",""
"2000","Not Working","lower secondary degree","","","","","","","","","","","","","",""
"2000","Not Working","no degree/no degree yet","","","","","","","","","","","","","",""
"2000","Not Working","Other degree","","","","","","","","","","","","","",""
"2000","Not Working","secondary school degree","","","","","","","","","","","","","",""
"2000","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"2000","Part Time","lower secondary degree","","","","","","","","","","","","","",""
"2000","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
