"year","bula_h","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1992","Bremen","1-pers.-HH","","","","","","","","","","","","","",""
"1992","Bremen","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1992","Bremen","Couple + C. LE 16","","","","","","","","","","","","","",""
"1992","Bremen","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1992","Bremen","Single parent","","","","","","","","","","","","","",""
"1992","Hamburg","(Married) couple without C.","2.91","3","42","2","3","3","4","4","2.68","3.14","1","4","3","3"
"1992","Hamburg","1-pers.-HH","3.31","3.16","37","2","3","4","4","4","3.03","3.59","1","4","3","4"
"1992","Hamburg","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1992","Hamburg","Couple + C. LE 16","","","","","","","","","","","","","",""
"1992","Hamburg","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1992","Hamburg","Single parent","","","","","","","","","","","","","",""
"1992","Hesse","(Married) couple without C.","3.3","3","227","2","3","4","4","4","3.21","3.39","1","4","3","3"
"1992","Hesse","1-pers.-HH","3.24","3","70","2","3","4","4","4","3.04","3.44","1","4","3","4"
"1992","Hesse","Couple + C. GT 16 ","3.14","3","129","2","3","4","4","4","3.01","3.27","1","4","3","3"
"1992","Hesse","Couple + C. LE 16","3.04","3","107","2","3","3","4","4","2.92","3.16","1","4","3","3"
"1992","Hesse","Couple + C. LE and GT 16","3.29","3","46","2","3","4","4","4","3.05","3.53","1","4","3","4"
"1992","Hesse","Single parent","2.99","3","35","2","3","3","4","4","2.76","3.22","2","4","3","3"
"1992","Lower Saxony","(Married) couple without C.","3.16","3","248","2","3","4","4","4","3.06","3.26","1","4","3","3"
"1992","Lower Saxony","1-pers.-HH","3.2","3","103","2","3","4","4","4","3.04","3.36","1","4","3","3"
"1992","Lower Saxony","Couple + C. GT 16 ","3.05","3","191","2","3","4","4","4","2.95","3.15","1","4","3","3"
"1992","Lower Saxony","Couple + C. LE 16","3.07","3","169","2","3","4","4","4","2.96","3.18","1","4","3","3"
"1992","Lower Saxony","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1992","Lower Saxony","Single parent","2.99","3","37","2","3","3","4","4","2.75","3.23","1","4","3","3"
"1992","Mecklenburg-Western Pomerania","(Married) couple without C.","3.14","3","89","2","3","4","4","4","2.98","3.3","1","4","3","3"
"1992","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","","","","","","","","","",""
"1992","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","3.04","3","104","2","3","4","4","4","2.89","3.19","1","4","3","3"
"1992","Mecklenburg-Western Pomerania","Couple + C. LE 16","3.15","3","126","2","3","4","4","4","3.04","3.26","1","4","3","3"
"1992","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1992","Mecklenburg-Western Pomerania","Single parent","","","","","","","","","","","","","",""
"1992","North Rhine-Westphalia","(Married) couple without C.","3.12","3","524","2","3","4","4","4","3.06","3.18","1","4","3","3"
"1992","North Rhine-Westphalia","1-pers.-HH","3.08","3","245","2","3","4","4","4","2.98","3.18","1","4","3","3"
"1992","North Rhine-Westphalia","Couple + C. GT 16 ","3.11","3","378","2","3","4","4","4","3.03","3.19","1","4","3","3"
"1992","North Rhine-Westphalia","Couple + C. LE 16","2.99","3","435","2","3","3","4","4","2.93","3.05","1","4","3","3"
"1992","North Rhine-Westphalia","Couple + C. LE and GT 16","3.11","3","125","2","3","4","4","4","2.98","3.24","1","4","3","3"
"1992","North Rhine-Westphalia","Single parent","3.29","3","98","2","3","4","4","4","3.14","3.44","1","4","3","4"
"1992","Rhineland-Palatinate,Saarland","(Married) couple without C.","3.23","3","159","2","3","4","4","4","3.1","3.36","1","4","3","4"
"1992","Rhineland-Palatinate,Saarland","1-pers.-HH","3.4","4","58","2","3","4","4","4","3.2","3.6","2","4","3","4"
"1992","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","3.01","3","105","2","3","4","4","4","2.84","3.18","1","4","3","3"
"1992","Rhineland-Palatinate,Saarland","Couple + C. LE 16","3.16","3","124","2","3","4","4","4","3.04","3.28","1","4","3","3"
"1992","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1992","Rhineland-Palatinate,Saarland","Single parent","3.17","3","31","2","3","4","4","4","2.83","3.51","1","4","3","4"
"1992","Saxony","(Married) couple without C.","3.33","3","300","2","3","4","4","4","3.25","3.41","1","4","3","4"
"1992","Saxony","1-pers.-HH","3.43","4","86","2","3","4","4","4","3.28","3.58","2","4","3","4"
"1992","Saxony","Couple + C. GT 16 ","3.14","3","186","2","3","4","4","4","3.04","3.24","1","4","3","3"
"1992","Saxony","Couple + C. LE 16","3.23","3","354","3","3","4","4","4","3.16","3.3","1","4","3","3"
"1992","Saxony","Couple + C. LE and GT 16","2.95","3","96","2","3","3","4","4","2.83","3.07","1","4","3","3"
"1992","Saxony","Single parent","3.21","3","37","3","3","4","4","4","3.05","3.37","2","4","3","3"
"1992","Saxony-Anhalt","(Married) couple without C.","3.47","4","179","3","3","4","4","4","3.37","3.57","1","4","3","4"
"1992","Saxony-Anhalt","1-pers.-HH","3.6","4","61","3","3","4","4","4","3.43","3.77","1","4","4","4"
"1992","Saxony-Anhalt","Couple + C. GT 16 ","3.11","3","179","2","3","4","4","4","3","3.22","1","4","3","3"
"1992","Saxony-Anhalt","Couple + C. LE 16","3.14","3","223","2","3","4","4","4","3.05","3.23","1","4","3","3"
"1992","Saxony-Anhalt","Couple + C. LE and GT 16","2.9","3","44","2","3","3","4","4","2.7","3.1","1","4","3","3"
"1992","Saxony-Anhalt","Single parent","3.07","3","36","2","3","4","4","4","2.83","3.31","1","4","3","3"
"1992","Schleswig-Holstein","(Married) couple without C.","3.07","3","77","2","3","3","4","4","2.92","3.22","1","4","3","3"
"1992","Schleswig-Holstein","1-pers.-HH","3.27","3","34","2","3","4","4","4","3.03","3.51","1","4","3","4"
"1992","Schleswig-Holstein","Couple + C. GT 16 ","2.88","3","37","2","3","3","4","4","2.65","3.11","1","4","3","3"
"1992","Schleswig-Holstein","Couple + C. LE 16","3.14","3","62","2","3","4","4","4","2.95","3.33","1","4","3","3"
"1992","Schleswig-Holstein","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1992","Schleswig-Holstein","Single parent","","","","","","","","","","","","","",""
"1992","Thuringia","(Married) couple without C.","3.33","3","135","2","3","4","4","4","3.2","3.46","1","4","3","4"
"1992","Thuringia","1-pers.-HH","3.37","3","49","2","3","4","4","4","3.16","3.58","2","4","3","4"
"1992","Thuringia","Couple + C. GT 16 ","3.18","3","130","2","3","4","4","4","3.07","3.29","1","4","3","3"
"1992","Thuringia","Couple + C. LE 16","3.04","3","218","2","3","3","4","4","2.96","3.12","1","4","3","3"
"1992","Thuringia","Couple + C. LE and GT 16","3.26","3","66","2","3","4","4","4","3.09","3.43","1","4","3","3"
"1992","Thuringia","Single parent","","","","","","","","","","","","","",""
"1993","Baden-Württemberg","(Married) couple without C.","","","","","","","","","","","","","",""
"1993","Baden-Württemberg","1-pers.-HH","","","","","","","","","","","","","",""
"1993","Baden-Württemberg","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1993","Baden-Württemberg","Couple + C. LE 16","","","","","","","","","","","","","",""
"1993","Baden-Württemberg","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1993","Baden-Württemberg","Single parent","","","","","","","","","","","","","",""
"1993","Bavaria","(Married) couple without C.","","","","","","","","","","","","","",""
"1993","Bavaria","1-pers.-HH","","","","","","","","","","","","","",""
"1993","Bavaria","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1993","Bavaria","Couple + C. LE 16","","","","","","","","","","","","","",""
"1993","Bavaria","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1993","Bavaria","Single parent","","","","","","","","","","","","","",""
"1993","Berlin","(Married) couple without C.","","","","","","","","","","","","","",""
"1993","Berlin","1-pers.-HH","","","","","","","","","","","","","",""
"1993","Berlin","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1993","Berlin","Couple + C. LE 16","","","","","","","","","","","","","",""
"1993","Berlin","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1993","Berlin","Single parent","","","","","","","","","","","","","",""
"1993","Brandenburg","(Married) couple without C.","","","","","","","","","","","","","",""
"1993","Brandenburg","1-pers.-HH","","","","","","","","","","","","","",""
"1993","Brandenburg","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1993","Brandenburg","Couple + C. LE 16","","","","","","","","","","","","","",""
