"ple0098_v5","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Yes","2010","Part Time","secondary school degree","520","0.240331135052399","0.222172569906079","0.25848970019872"
"Yes","2010","Part Time","college entrance qualification","457","0.300992040808837","0.278060685502464","0.323923396115211"
"Yes","2010","Part Time","Other degree","35","0.111484021140563","0.0814200755466524","0.141547966734473"
"Yes","2010","Part Time","no degree/no degree yet","14","","",""
"Yes","2010","Not Working","lower secondary degree","357","0.108047343068118","0.0975033788861325","0.118591307250104"
"Yes","2010","Not Working","secondary school degree","347","0.214039592779367","0.194996318013002","0.233082867545733"
"Yes","2010","Not Working","college entrance qualification","321","0.291661665038331","0.265493912655049","0.317829417421613"
"Yes","2010","Not Working","Other degree","40","0.0532922081150414","0.0358766460489162","0.0707077701811665"
"Yes","2010","Not Working","no degree/no degree yet","40","0.0522681037807439","0.0325816058317816","0.0719546017297061"
"No","2010","Full Time","lower secondary degree","1456","0.791029985670313","0.772473057262987","0.80958691407764"
"No","2010","Full Time","secondary school degree","2157","0.740198045475785","0.724009951120953","0.756386139830618"
"No","2010","Full Time","college entrance qualification","1426","0.642444776455603","0.622152700923704","0.662736851987502"
"No","2010","Full Time","Other degree","399","0.898074265141283","0.869963922652043","0.926184607630522"
"No","2010","Full Time","no degree/no degree yet","57","0.824306032767168","0.733854423386983","0.914757642147352"
"No","2010","Part Time","lower secondary degree","1136","0.859719181480707","0.841187297608574","0.87825106535284"
"No","2010","Part Time","secondary school degree","1607","0.759668864947601","0.74151029980128","0.777827430093921"
"No","2010","Part Time","college entrance qualification","1080","0.699007959191163","0.676076603884789","0.721939314497536"
"No","2010","Part Time","Other degree","386","0.888515978859437","0.858452033265527","0.918579924453348"
"No","2010","Part Time","no degree/no degree yet","116","0.896072088418502","0.84361381529895","0.948530361538055"
"No","2010","Not Working","lower secondary degree","2973","0.891952656931882","0.881408692749896","0.902496621113868"
"No","2010","Not Working","secondary school degree","1435","0.785960407220633","0.766917132454267","0.805003681986998"
"No","2010","Not Working","college entrance qualification","838","0.708338334961669","0.682170582578387","0.734506087344951"
"No","2010","Not Working","Other degree","599","0.946707791884959","0.929292229818834","0.964123353951084"
"No","2010","Not Working","no degree/no degree yet","451","0.947731896219256","0.928045398270294","0.967418394168218"
"Yes","2011","Full Time","lower secondary degree","368","0.230837096553781","0.210112560903072","0.251561632204491"
"Yes","2011","Full Time","secondary school degree","617","0.25222688670503","0.234902412182751","0.269551361227308"
"Yes","2011","Full Time","college entrance qualification","605","0.34578896320979","0.323593546780839","0.367984379638741"
"Yes","2011","Full Time","Other degree","32","0.0866502064088211","0.0553842826324658","0.117916130185176"
"Yes","2011","Full Time","no degree/no degree yet","5","","",""
"Yes","2011","Part Time","lower secondary degree","205","0.172529558226722","0.150489683595485","0.194569432857959"
"Yes","2011","Part Time","secondary school degree","421","0.264119774160578","0.242242670886896","0.285996877434259"
"Yes","2011","Part Time","college entrance qualification","345","0.287696526165599","0.261208383752672","0.314184668578525"
"Yes","2011","Part Time","Other degree","26","","",""
"Yes","2011","Part Time","no degree/no degree yet","14","","",""
"Yes","2011","Not Working","lower secondary degree","433","0.118383574668884","0.107818672294387","0.12894847704338"
"Yes","2011","Not Working","secondary school degree","366","0.252984687527972","0.230926209239351","0.275043165816594"
"Yes","2011","Not Working","college entrance qualification","296","0.287456583061383","0.259750319972696","0.31516284615007"
"Yes","2011","Not Working","Other degree","36","0.0730475726532783","0.050101084195104","0.0959940611114526"
"Yes","2011","Not Working","no degree/no degree yet","36","0.0773961979996751","0.0490755966042092","0.105716799395141"
"No","2011","Full Time","lower secondary degree","1220","0.769162903446219","0.748438367795509","0.789887439096928"
"No","2011","Full Time","secondary school degree","1797","0.74777311329497","0.730448638772692","0.765097587817249"
"No","2011","Full Time","college entrance qualification","1159","0.65421103679021","0.632015620361259","0.676406453219161"
"No","2011","Full Time","Other degree","279","0.913349793591179","0.882083869814824","0.944615717367534"
"No","2011","Full Time","no degree/no degree yet","44","0.933716695461063","0.864060509779317","1.00337288114281"
"No","2011","Part Time","lower secondary degree","924","0.827470441773278","0.805430567142041","0.849510316404515"
"No","2011","Part Time","secondary school degree","1139","0.735880225839422","0.714003122565741","0.757757329113104"
"No","2011","Part Time","college entrance qualification","777","0.712303473834401","0.685815331421475","0.738791616247327"
"No","2011","Part Time","Other degree","239","0.902462714889694","0.866741590581821","0.938183839197567"
"No","2011","Part Time","no degree/no degree yet","84","0.899395978116998","0.839840982739927","0.958950973494068"
"No","2011","Not Working","lower secondary degree","3159","0.881616425331116","0.87105152295662","0.892181327705613"
"No","2011","Not Working","secondary school degree","1126","0.747015312472028","0.724956834183406","0.769073790760649"
"No","2011","Not Working","college entrance qualification","729","0.712543416938617","0.68483715384993","0.740249680027304"
"No","2011","Not Working","Other degree","458","0.926952427346722","0.904005938888547","0.949898915804896"
"No","2011","Not Working","no degree/no degree yet","306","0.922603802000325","0.894283200604859","0.950924403395791"
"Yes","2012","Full Time","lower secondary degree","473","0.239860009677295","0.221220755055189","0.2584992642994"
"Yes","2012","Full Time","secondary school degree","835","0.279066620655534","0.263410375279978","0.29472286603109"
"Yes","2012","Full Time","college entrance qualification","873","0.343289090416988","0.324665820561411","0.361912360272564"
"Yes","2012","Full Time","Other degree","61","0.10134813628188","0.0765731007381511","0.126123171825608"
"Yes","2012","Full Time","no degree/no degree yet","5","","",""
"Yes","2012","Part Time","lower secondary degree","277","0.1880875119782","0.168732795954432","0.207442228001968"
"Yes","2012","Part Time","secondary school degree","644","0.252394890995841","0.235173275033236","0.269616506958447"
"Yes","2012","Part Time","college entrance qualification","605","0.307541595176156","0.286478780359761","0.32860440999255"
"Yes","2012","Part Time","Other degree","49","0.0958066786109284","0.0699045298990641","0.121708827322793"
"Yes","2012","Part Time","no degree/no degree yet","17","","",""
"Yes","2012","Not Working","lower secondary degree","509","0.123554150534927","0.113269789085492","0.133838511984363"
"Yes","2012","Not Working","secondary school degree","466","0.250410724960051","0.231493879730809","0.269327570189293"
"Yes","2012","Not Working","college entrance qualification","371","0.294153111411514","0.269383545794225","0.318922677028803"
"Yes","2012","Not Working","Other degree","40","0.0578389635973306","0.0404713088625456","0.0752066183321156"
"Yes","2012","Not Working","no degree/no degree yet","43","0.068327489855496","0.046987690974484","0.0896672887365079"
"No","2012","Full Time","lower secondary degree","1543","0.760139990322705","0.7415007357006","0.778779244944811"
"No","2012","Full Time","secondary school degree","2318","0.720933379344466","0.70527713396891","0.736589624720022"
"No","2012","Full Time","college entrance qualification","1624","0.656710909583013","0.638087639727436","0.675334179438589"
"No","2012","Full Time","Other degree","509","0.89865186371812","0.873876828174392","0.923426899261849"
"No","2012","Full Time","no degree/no degree yet","83","0.946961185774133","0.900137052502059","0.993785319046207"
"No","2012","Part Time","lower secondary degree","1289","0.8119124880218","0.792557771998032","0.831267204045568"
"No","2012","Part Time","secondary school degree","1800","0.747605109004159","0.730383493041553","0.764826724966764"
"No","2012","Part Time","college entrance qualification","1239","0.692458404823844","0.67139559000745","0.713521219640239"
"No","2012","Part Time","Other degree","447","0.904193321389072","0.878291172677207","0.930095470100936"
"No","2012","Part Time","no degree/no degree yet","165","0.916333224921822","0.876106411734071","0.956560038109572"
"No","2012","Not Working","lower secondary degree","3424","0.876445849465073","0.866161488015637","0.886730210914508"
"No","2012","Not Working","secondary school degree","1549","0.749589275039949","0.730672429810707","0.768506120269191"
"No","2012","Not Working","college entrance qualification","929","0.705846888588486","0.681077322971197","0.730616454205775"
"No","2012","Not Working","Other degree","654","0.942161036402669","0.924793381667884","0.959528691137454"
"No","2012","Not Working","no degree/no degree yet","494","0.931672510144504","0.910332711263492","0.953012309025516"
"Yes","2013","Full Time","lower secondary degree","313","0.249666993436935","0.226246892376519","0.273087094497351"
"Yes","2013","Full Time","secondary school degree","626","0.292829388515636","0.273709380156176","0.311949396875097"
"Yes","2013","Full Time","college entrance qualification","624","0.358704095431394","0.335918220254032","0.381489970608757"
"Yes","2013","Full Time","Other degree","39","0.102518278956589","0.0666024190365209","0.138434138876658"
"Yes","2013","Full Time","no degree/no degree yet","3","","",""
"Yes","2013","Part Time","lower secondary degree","238","0.234366878563026","0.208829925883909","0.259903831242142"
"Yes","2013","Part Time","secondary school degree","405","0.289909051054429","0.265996556911112","0.313821545197747"
"Yes","2013","Part Time","college entrance qualification","369","0.305968051405343","0.279111851536581","0.332824251274105"
"Yes","2013","Part Time","Other degree","22","","",""
"Yes","2013","Part Time","no degree/no degree yet","16","","",""
"Yes","2013","Not Working","lower secondary degree","473","0.137531850259873","0.125521754950451","0.149541945569296"
"Yes","2013","Not Working","secondary school degree","405","0.285342494445264","0.262123281729848","0.30856170716068"
"Yes","2013","Not Working","college entrance qualification","301","0.330310240363487","0.299968178564554","0.360652302162419"
"Yes","2013","Not Working","Other degree","38","0.0839267348768081","0.0581355155857829","0.109717954167833"
"Yes","2013","Not Working","no degree/no degree yet","42","0.153159753929259","0.111566306112796","0.194753201745722"
"No","2013","Full Time","lower secondary degree","999","0.750333006563065","0.726912905502649","0.773753107623482"
"No","2013","Full Time","secondary school degree","1550","0.707170611484364","0.688050603124903","0.726290619843824"
"No","2013","Full Time","college entrance qualification","1078","0.641295904568606","0.618510029391244","0.664081779745968"
"No","2013","Full Time","Other degree","235","0.897481721043411","0.861565861123342","0.933397580963479"
"No","2013","Full Time","no degree/no degree yet","40","0.990233321488177","0.960839498292321","1.01962714468403"
"No","2013","Part Time","lower secondary degree","819","0.765633121436975","0.740096168757858","0.791170074116092"
"No","2013","Part Time","secondary school degree","978","0.710090948945571","0.686178454802253","0.734003443088888"
"No","2013","Part Time","college entrance qualification","762","0.694031948594657","0.667175748725895","0.720888148463419"
"No","2013","Part Time","Other degree","222","0.888953858788034","0.84953132596655","0.928376391609518"
"No","2013","Part Time","no degree/no degree yet","86","0.879593587382314","0.816437700092002","0.942749474672626"
"No","2013","Not Working","lower secondary degree","2686","0.862468149740127","0.850458054430704","0.87447824504955"
"No","2013","Not Working","secondary school degree","1048","0.714657505554736","0.69143829283932","0.737876718270152"
"No","2013","Not Working","college entrance qualification","622","0.669689759636513","0.639347697837581","0.700031821435446"
"No","2013","Not Working","Other degree","406","0.916073265123192","0.890282045832167","0.941864484414217"
"No","2013","Not Working","no degree/no degree yet","246","0.846840246070741","0.805246798254278","0.888433693887204"
"Yes","2014","Full Time","lower secondary degree","425","0.247422128946472","0.227409582377578","0.267434675515366"
"Yes","2014","Full Time","secondary school degree","793","0.288430068366412","0.271820970684571","0.305039166048254"
"Yes","2014","Full Time","college entrance qualification","843","0.366278840219151","0.346995666178753","0.38556201425955"
"Yes","2014","Full Time","Other degree","119","0.122461307386712","0.103473363886857","0.141449250886568"
"Yes","2014","Full Time","no degree/no degree yet","6","","",""
"Yes","2014","Part Time","lower secondary degree","306","0.217642830656284","0.196172852158771","0.239112809153798"
"Yes","2014","Part Time","secondary school degree","595","0.28939722730872","0.270201864180156","0.308592590437283"
"Yes","2014","Part Time","college entrance qualification","625","0.301061236665304","0.280292490330367","0.321829983000242"
"Yes","2014","Part Time","Other degree","79","0.0715496077838664","0.0555187615846513","0.0875804539830816"
"Yes","2014","Part Time","no degree/no degree yet","20","","",""
"Yes","2014","Not Working","lower secondary degree","485","0.141379276542197","0.129580981617145","0.153177571467249"
"Yes","2014","Not Working","secondary school degree","490","0.298022552022375","0.277129237529633","0.318915866515118"
"Yes","2014","Not Working","college entrance qualification","361","0.31817092239496","0.291618303909984","0.344723540879937"
"Yes","2014","Not Working","Other degree","54","0.0726525279458561","0.0569149984496769","0.0883900574420354"
"Yes","2014","Not Working","no degree/no degree yet","51","0.0979129716477037","0.07430907092047","0.121516872374937"
"No","2014","Full Time","lower secondary degree","1361","0.752577871053528","0.732565324484634","0.772590417622422"
"No","2014","Full Time","secondary school degree","2065","0.711569931633588","0.694960833951746","0.728179029315429"
"No","2014","Full Time","college entrance qualification","1555","0.633721159780849","0.61443798574045","0.653004333821247"
"No","2014","Full Time","Other degree","1026","0.877538692613288","0.858550749113432","0.896526636113143"
"No","2014","Full Time","no degree/no degree yet","99","0.932462742866337","0.884462780701475","0.9804627050312"
"No","2014","Part Time","lower secondary degree","1113","0.782357169343716","0.760887190846202","0.803827147841229"
"No","2014","Part Time","secondary school degree","1549","0.71060277269128","0.691407409562717","0.729798135819844"
"No","2014","Part Time","college entrance qualification","1249","0.698938763334696","0.678170016999758","0.719707509669633"
"No","2014","Part Time","Other degree","914","0.928450392216134","0.912419546016918","0.944481238415349"
"No","2014","Part Time","no degree/no degree yet","206","0.932921799440328","0.900307564606929","0.965536034273726"
"No","2014","Not Working","lower secondary degree","2865","0.858620723457803","0.846822428532751","0.870419018382855"
"No","2014","Not Working","secondary school degree","1351","0.701977447977625","0.681084133484882","0.722870762470367"
"No","2014","Not Working","college entrance qualification","821","0.68182907760504","0.655276459120063","0.708381696090016"
"No","2014","Not Working","Other degree","991","0.927347472054144","0.911609942557965","0.943085001550323"
"No","2014","Not Working","no degree/no degree yet","558","0.902087028352296","0.878483127625063","0.92569092907953"
"Yes","2015","Full Time","lower secondary degree","","","",""
"Yes","2015","Full Time","secondary school degree","","","",""
"Yes","2015","Full Time","college entrance qualification","","","",""
"Yes","2015","Full Time","Other degree","","","",""
"Yes","2015","Full Time","no degree/no degree yet","","","",""
"Yes","2015","Part Time","lower secondary degree","","","",""
"Yes","2015","Part Time","secondary school degree","","","",""
"Yes","2015","Part Time","college entrance qualification","","","",""
"Yes","2015","Part Time","Other degree","","","",""
"Yes","2015","Part Time","no degree/no degree yet","","","",""
"Yes","2015","Not Working","lower secondary degree","","","",""
"Yes","2015","Not Working","secondary school degree","","","",""
"Yes","2015","Not Working","college entrance qualification","","","",""
"Yes","2015","Not Working","Other degree","","","",""
"Yes","2015","Not Working","no degree/no degree yet","","","",""
"No","2015","Full Time","lower secondary degree","","","",""
"No","2015","Full Time","secondary school degree","","","",""
"No","2015","Full Time","college entrance qualification","","","",""
"No","2015","Full Time","Other degree","","","",""
"No","2015","Full Time","no degree/no degree yet","","","",""
"No","2015","Part Time","lower secondary degree","","","",""
"No","2015","Part Time","secondary school degree","","","",""
"No","2015","Part Time","college entrance qualification","","","",""
"No","2015","Part Time","Other degree","","","",""
"No","2015","Part Time","no degree/no degree yet","","","",""
"No","2015","Not Working","lower secondary degree","","","",""
"No","2015","Not Working","secondary school degree","","","",""
"No","2015","Not Working","college entrance qualification","","","",""
"No","2015","Not Working","Other degree","","","",""
"No","2015","Not Working","no degree/no degree yet","","","",""
"Yes","2016","Full Time","lower secondary degree","333","0.236710058443381","0.215270652701533","0.25814946418523"
"Yes","2016","Full Time","secondary school degree","670","0.284219234966127","0.266566944309774","0.30187152562248"
"Yes","2016","Full Time","college entrance qualification","735","0.33257184319598","0.312969208768988","0.352174477622973"
"Yes","2016","Full Time","Other degree","101","0.10487389718564","0.0876031647898685","0.122144629581412"
"Yes","2016","Full Time","no degree/no degree yet","6","","",""
"Yes","2016","Part Time","lower secondary degree","224","0.188633930376207","0.166690294559206","0.210577566193208"
"Yes","2016","Part Time","secondary school degree","496","0.254123283848197","0.23452133559829","0.273725232098103"
"Yes","2016","Part Time","college entrance qualification","536","0.283846200491452","0.26269207539889","0.305000325584015"
"Yes","2016","Part Time","Other degree","84","0.0940981731468501","0.0762330680937807","0.111963278199919"
"Yes","2016","Part Time","no degree/no degree yet","14","","",""
"Yes","2016","Not Working","lower secondary degree","352","0.119513212679935","0.107563773077755","0.131462652282114"
"Yes","2016","Not Working","secondary school degree","337","0.224011484025737","0.203569526002091","0.244453442049383"
"Yes","2016","Not Working","college entrance qualification","294","0.289438367985415","0.262176200235178","0.316700535735651"
"Yes","2016","Not Working","Other degree","48","0.0611440380376098","0.0455770734493846","0.0767110026258349"
"Yes","2016","Not Working","no degree/no degree yet","34","0.0784175380274179","0.0538777204133296","0.102957355641506"
"No","2016","Full Time","lower secondary degree","1177","0.763289941556618","0.74185053581477","0.784729347298467"
"No","2016","Full Time","secondary school degree","1838","0.715780765033873","0.69812847437752","0.733433055690226"
"No","2016","Full Time","college entrance qualification","1484","0.66742815680402","0.647825522377027","0.687030791231012"
"No","2016","Full Time","Other degree","1108","0.895126102814359","0.877855370418588","0.912396835210131"
"No","2016","Full Time","no degree/no degree yet","95","0.938188291581906","0.891223999310441","0.985152583853371"
"No","2016","Part Time","lower secondary degree","997","0.811366069623793","0.789422433806792","0.833309705440794"
"No","2016","Part Time","secondary school degree","1399","0.745876716151803","0.726274767901897","0.76547866440171"
"No","2016","Part Time","college entrance qualification","1209","0.716153799508548","0.694999674415985","0.73730792460111"
"No","2016","Part Time","Other degree","942","0.90590182685315","0.888036721800081","0.923766931906219"
"No","2016","Part Time","no degree/no degree yet","183","0.942690740949428","0.910233470412936","0.97514801148592"
"No","2016","Not Working","lower secondary degree","2479","0.880486787320065","0.868537347717886","0.892436226922245"
"No","2016","Not Working","secondary school degree","1261","0.775988515974263","0.755546557950617","0.796430473997909"
"No","2016","Not Working","college entrance qualification","769","0.710561632014585","0.683299464264349","0.737823799764822"
"No","2016","Not Working","Other degree","862","0.93885596196239","0.923288997374165","0.954422926550615"
"No","2016","Not Working","no degree/no degree yet","427","0.921582461972582","0.897042644358494","0.94612227958667"
"Yes","2017","Full Time","lower secondary degree","","","",""
"Yes","2017","Full Time","secondary school degree","","","",""
"Yes","2017","Full Time","college entrance qualification","","","",""
"Yes","2017","Full Time","Other degree","","","",""
"Yes","2017","Full Time","no degree/no degree yet","","","",""
"Yes","2017","Part Time","lower secondary degree","","","",""
"Yes","2017","Part Time","secondary school degree","","","",""
"Yes","2017","Part Time","college entrance qualification","","","",""
"Yes","2017","Part Time","Other degree","","","",""
"Yes","2017","Part Time","no degree/no degree yet","","","",""
"Yes","2017","Not Working","lower secondary degree","","","",""
"Yes","2017","Not Working","secondary school degree","","","",""
"Yes","2017","Not Working","college entrance qualification","","","",""
"Yes","2017","Not Working","Other degree","","","",""
"Yes","2017","Not Working","no degree/no degree yet","","","",""
"No","2017","Full Time","lower secondary degree","","","",""
"No","2017","Full Time","secondary school degree","","","",""
"No","2017","Full Time","college entrance qualification","","","",""
"No","2017","Full Time","Other degree","","","",""
"No","2017","Full Time","no degree/no degree yet","","","",""
"No","2017","Part Time","lower secondary degree","","","",""
"No","2017","Part Time","secondary school degree","","","",""
"No","2017","Part Time","college entrance qualification","","","",""
"No","2017","Part Time","Other degree","","","",""
"No","2017","Part Time","no degree/no degree yet","","","",""
"No","2017","Not Working","lower secondary degree","","","",""
"No","2017","Not Working","secondary school degree","","","",""
"No","2017","Not Working","college entrance qualification","","","",""
"No","2017","Not Working","Other degree","","","",""
"No","2017","Not Working","no degree/no degree yet","","","",""
"Yes","2018","Full Time","lower secondary degree","309","0.211393562197178","0.190710576650367","0.23207654774399"
"Yes","2018","Full Time","secondary school degree","792","0.293842222375793","0.277032732987638","0.310651711763948"
"Yes","2018","Full Time","college entrance qualification","887","0.353299884319277","0.334841300473963","0.371758468164592"
"Yes","2018","Full Time","Other degree","106","0.110429703369326","0.0917716410526767","0.129087765685976"
"Yes","2018","Full Time","no degree/no degree yet","9","","",""
"Yes","2018","Part Time","lower secondary degree","211","0.185599422882496","0.164123958038118","0.207074887726875"
"Yes","2018","Part Time","secondary school degree","540","0.258200046504654","0.239432805549931","0.276967287459377"
"Yes","2018","Part Time","college entrance qualification","597","0.269552171692373","0.250357988519779","0.288746354864968"
"Yes","2018","Part Time","Other degree","72","0.0838513237063104","0.0659995843069351","0.101703063105686"
"Yes","2018","Part Time","no degree/no degree yet","14","","",""
"Yes","2018","Not Working","lower secondary degree","369","0.144857877150841","0.131535249441321","0.15818050486036"
"Yes","2018","Not Working","secondary school degree","384","0.240455730701312","0.220080672857188","0.260830788545436"
"Yes","2018","Not Working","college entrance qualification","275","0.260084914178385","0.234575091044939","0.28559473731183"
"Yes","2018","Not Working","Other degree","43","0.082544255906934","0.0637545286689712","0.101333983144897"
"Yes","2018","Not Working","no degree/no degree yet","29","","",""
"No","2018","Full Time","lower secondary degree","1188","0.788606437802821","0.76792345225601","0.809289423349633"
"No","2018","Full Time","secondary school degree","2029","0.706157777624207","0.689348288236052","0.722967267012362"
"No","2018","Full Time","college entrance qualification","1689","0.646700115680723","0.628241531835408","0.665158699526037"
"No","2018","Full Time","Other degree","978","0.889570296630674","0.870912234314024","0.908228358947323"
"No","2018","Full Time","no degree/no degree yet","96","0.911584162385638","0.857282033035467","0.965886291735809"
"No","2018","Part Time","lower secondary degree","1048","0.814400577117504","0.792925112273125","0.835876041961882"
"No","2018","Part Time","secondary school degree","1549","0.741799953495346","0.723032712540623","0.760567194450069"
"No","2018","Part Time","college entrance qualification","1456","0.730447828307627","0.711253645135032","0.749642011480221"
"No","2018","Part Time","Other degree","854","0.91614867629369","0.898296936894314","0.934000415693065"
"No","2018","Part Time","no degree/no degree yet","185","0.909185182898604","0.869261914927883","0.949108450869324"
"No","2018","Not Working","lower secondary degree","2312","0.855142122849159","0.84181949513964","0.868464750558679"
"No","2018","Not Working","secondary school degree","1306","0.759544269298688","0.739169211454564","0.779919327142812"
"No","2018","Not Working","college entrance qualification","861","0.739915085821615","0.71440526268817","0.765424908955061"
"No","2018","Not Working","Other degree","781","0.917455744093066","0.898666016855103","0.936245471331029"
"No","2018","Not Working","no degree/no degree yet","490","0.91861593970528","0.895092486425057","0.942139392985503"
