"ple0098_v5","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No","2003","no degree/no degree yet","Couple + C. GT 16 ","254","0.908667249373091","0.875279989252192","0.94205450949399"
"No","2003","no degree/no degree yet","Couple + C. LE and GT 16","199","0.977272401354214","0.956920777199188","0.99762402550924"
"Yes","2004","lower secondary degree","1-pers.-HH","67","0.0662619052110997","0.0521115536543291","0.0804122567678703"
"Yes","2004","lower secondary degree","(Married) couple without C. ","269","0.0833970416682691","0.0734719836785038","0.0933220996580344"
"Yes","2004","lower secondary degree","Single parent ","16","","",""
"Yes","2004","lower secondary degree","Couple + C. LE 16 ","98","0.108770847155132","0.0891974636156065","0.128344230694658"
"Yes","2004","lower secondary degree","Couple + C. GT 16 ","99","0.0836396525985398","0.0664722496401471","0.100807055556933"
"Yes","2004","lower secondary degree","Couple + C. LE and GT 16","49","0.144867928266777","0.110631551553619","0.179104304979935"
"Yes","2004","secondary school degree","1-pers.-HH","99","0.165828259423301","0.137410348285494","0.194246170561107"
"Yes","2004","secondary school degree","(Married) couple without C. ","276","0.170919718315049","0.152480317594321","0.189359119035777"
"Yes","2004","secondary school degree","Single parent ","36","0.117388930210008","0.0829716371526327","0.151806223267383"
"Yes","2004","secondary school degree","Couple + C. LE 16 ","159","0.120422218152179","0.102798283259872","0.138046153044486"
"Yes","2004","secondary school degree","Couple + C. GT 16 ","134","0.121330627469673","0.101693235958521","0.140968018980826"
"Yes","2004","secondary school degree","Couple + C. LE and GT 16","49","0.135674532218465","0.104139969624963","0.167209094811968"
"Yes","2004","college entrance qualification","1-pers.-HH","90","0.162544236213969","0.131511869320589","0.193576603107349"
"Yes","2004","college entrance qualification","(Married) couple without C. ","253","0.210361955225666","0.1862108471362","0.234513063315131"
"Yes","2004","college entrance qualification","Single parent ","28","","",""
"Yes","2004","college entrance qualification","Couple + C. LE 16 ","189","0.219897058552293","0.191703071659541","0.248091045445045"
"Yes","2004","college entrance qualification","Couple + C. GT 16 ","160","0.248140268120842","0.215555604582555","0.28072493165913"
"Yes","2004","college entrance qualification","Couple + C. LE and GT 16","37","0.172178826455211","0.123174005769923","0.221183647140498"
"Yes","2004","Other degree","1-pers.-HH","","","",""
"Yes","2004","Other degree","(Married) couple without C. ","9","","",""
"Yes","2004","Other degree","Single parent ","1","","",""
"Yes","2004","Other degree","Couple + C. LE 16 ","6","","",""
"Yes","2004","Other degree","Couple + C. GT 16 ","8","","",""
"Yes","2004","Other degree","Couple + C. LE and GT 16","3","","",""
"Yes","2004","no degree/no degree yet","1-pers.-HH","1","","",""
"Yes","2004","no degree/no degree yet","(Married) couple without C. ","5","","",""
"Yes","2004","no degree/no degree yet","Single parent ","8","","",""
"Yes","2004","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","2004","no degree/no degree yet","Couple + C. GT 16 ","21","","",""
"Yes","2004","no degree/no degree yet","Couple + C. LE and GT 16","14","","",""
"No","2004","lower secondary degree","1-pers.-HH","1120","0.9337380947889","0.91958774323213","0.947888446345671"
"No","2004","lower secondary degree","(Married) couple without C. ","2712","0.916602958331731","0.906677900341966","0.926528016321496"
"No","2004","lower secondary degree","Single parent ","337","0.948531567715216","0.925482301560328","0.971580833870105"
"No","2004","lower secondary degree","Couple + C. LE 16 ","874","0.891229152844868","0.871655769305342","0.910802536384394"
"No","2004","lower secondary degree","Couple + C. GT 16 ","900","0.91636034740146","0.899192944443068","0.933527750359853"
"No","2004","lower secondary degree","Couple + C. LE and GT 16","357","0.855132071733223","0.820895695020065","0.889368448446381"
"No","2004","secondary school degree","1-pers.-HH","559","0.834171740576699","0.805753829438893","0.862589651714506"
"No","2004","secondary school degree","(Married) couple without C. ","1325","0.829080281684951","0.810640880964223","0.847519682405679"
"No","2004","secondary school degree","Single parent ","300","0.882611069789992","0.848193776732617","0.917028362847367"
"No","2004","secondary school degree","Couple + C. LE 16 ","1151","0.879577781847821","0.861953846955514","0.897201716740127"
"No","2004","secondary school degree","Couple + C. GT 16 ","928","0.878669372530327","0.859031981019174","0.898306764041479"
"No","2004","secondary school degree","Couple + C. LE and GT 16","404","0.864325467781535","0.832790905188032","0.895860030375037"
"No","2004","college entrance qualification","1-pers.-HH","453","0.837455763786031","0.806423396892652","0.868488130679411"
"No","2004","college entrance qualification","(Married) couple without C. ","841","0.789638044774334","0.765486936684869","0.8137891528638"
"No","2004","college entrance qualification","Single parent ","109","0.79109199842346","0.723018379262394","0.859165617584526"
"No","2004","college entrance qualification","Couple + C. LE 16 ","640","0.780102941447707","0.751908954554955","0.808296928340459"
"No","2004","college entrance qualification","Couple + C. GT 16 ","515","0.751859731879158","0.719275068340871","0.784444395417445"
"No","2004","college entrance qualification","Couple + C. LE and GT 16","191","0.827821173544789","0.778816352859502","0.876825994230077"
"No","2004","Other degree","1-pers.-HH","90","1","1","1"
"No","2004","Other degree","(Married) couple without C. ","330","0.97980617776395","0.964832530676563","0.994779824851336"
"No","2004","Other degree","Single parent ","57","0.982411504272557","0.948582036689704","1.01624097185541"
"No","2004","Other degree","Couple + C. LE 16 ","229","0.973329418469396","0.952729745419325","0.993929091519467"
"No","2004","Other degree","Couple + C. GT 16 ","197","0.946712930541227","0.915966745732477","0.977459115349978"
"No","2004","Other degree","Couple + C. LE and GT 16","129","0.992950645293181","0.978678158871666","1.00722313171469"
"No","2004","no degree/no degree yet","1-pers.-HH","27","","",""
"No","2004","no degree/no degree yet","(Married) couple without C. ","78","0.928264153064157","0.872748820006973","0.983779486121341"
"No","2004","no degree/no degree yet","Single parent ","72","0.880499713994008","0.809418934872287","0.95158049311573"
"No","2004","no degree/no degree yet","Couple + C. LE 16 ","37","1","1","1"
"No","2004","no degree/no degree yet","Couple + C. GT 16 ","246","0.95803710207783","0.933987031188632","0.982087172967027"
"No","2004","no degree/no degree yet","Couple + C. LE and GT 16","220","0.951926397963448","0.924517272456243","0.979335523470653"
"Yes","2005","lower secondary degree","1-pers.-HH","95","0.0915653937720258","0.0751165391998054","0.108014248344246"
"Yes","2005","lower secondary degree","(Married) couple without C. ","281","0.100371926420759","0.0892475885300365","0.111496264311482"
"Yes","2005","lower secondary degree","Single parent ","18","","",""
"Yes","2005","lower secondary degree","Couple + C. LE 16 ","111","0.126399227708475","0.104280137635715","0.148518317781235"
"Yes","2005","lower secondary degree","Couple + C. GT 16 ","78","0.0725292851716602","0.0557148689176504","0.0893437014256699"
"Yes","2005","lower secondary degree","Couple + C. LE and GT 16","31","0.113583424479045","0.0810758952483932","0.146090953709697"
"Yes","2005","secondary school degree","1-pers.-HH","106","0.179935696609538","0.150673850969286","0.20919754224979"
"Yes","2005","secondary school degree","(Married) couple without C. ","291","0.183323243137039","0.164097764612161","0.202548721661918"
"Yes","2005","secondary school degree","Single parent ","37","0.122197938637476","0.086807953508136","0.157587923766816"
"Yes","2005","secondary school degree","Couple + C. LE 16 ","194","0.144475337658241","0.124491895878867","0.164458779437616"
"Yes","2005","secondary school degree","Couple + C. GT 16 ","117","0.132861776413841","0.111760968138778","0.153962584688903"
"Yes","2005","secondary school degree","Couple + C. LE and GT 16","49","0.126007772068101","0.0948934871485665","0.157122056987636"
"Yes","2005","college entrance qualification","1-pers.-HH","103","0.211123233049406","0.177201089149544","0.245045376949267"
"Yes","2005","college entrance qualification","(Married) couple without C. ","279","0.237714232931325","0.212489537669154","0.262938928193496"
"Yes","2005","college entrance qualification","Single parent ","26","","",""
"Yes","2005","college entrance qualification","Couple + C. LE 16 ","175","0.209240846040164","0.180713069643088","0.23776862243724"
"Yes","2005","college entrance qualification","Couple + C. GT 16 ","133","0.185123320941353","0.154097280366757","0.216149361515948"
"Yes","2005","college entrance qualification","Couple + C. LE and GT 16","49","0.196933125554064","0.145979463158583","0.247886787949546"
"Yes","2005","Other degree","1-pers.-HH","1","","",""
"Yes","2005","Other degree","(Married) couple without C. ","14","","",""
"Yes","2005","Other degree","Single parent ","","","",""
"Yes","2005","Other degree","Couple + C. LE 16 ","10","","",""
"Yes","2005","Other degree","Couple + C. GT 16 ","9","","",""
"Yes","2005","Other degree","Couple + C. LE and GT 16","3","","",""
"Yes","2005","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2005","no degree/no degree yet","(Married) couple without C. ","5","","",""
"Yes","2005","no degree/no degree yet","Single parent ","3","","",""
"Yes","2005","no degree/no degree yet","Couple + C. LE 16 ","1","","",""
"Yes","2005","no degree/no degree yet","Couple + C. GT 16 ","14","","",""
"Yes","2005","no degree/no degree yet","Couple + C. LE and GT 16","19","","",""
"No","2005","lower secondary degree","1-pers.-HH","1086","0.908434606227974","0.891985751655754","0.924883460800195"
"No","2005","lower secondary degree","(Married) couple without C. ","2522","0.899628073579241","0.888503735688518","0.910752411469964"
"No","2005","lower secondary degree","Single parent ","320","0.930119063872849","0.902939757392178","0.95729837035352"
"No","2005","lower secondary degree","Couple + C. LE 16 ","756","0.873600772291525","0.851481682218765","0.895719862364285"
"No","2005","lower secondary degree","Couple + C. GT 16 ","836","0.92747071482834","0.91065629857433","0.944285131082349"
"No","2005","lower secondary degree","Couple + C. LE and GT 16","335","0.886416575520955","0.853909046290303","0.918924104751607"
"No","2005","secondary school degree","1-pers.-HH","556","0.820064303390462","0.79080245775021","0.849326149030714"
"No","2005","secondary school degree","(Married) couple without C. ","1265","0.816676756862961","0.797451278338082","0.835902235387839"
"No","2005","secondary school degree","Single parent ","292","0.877802061362524","0.842412076233184","0.913192046491864"
"No","2005","secondary school degree","Couple + C. LE 16 ","995","0.855524662341759","0.835541220562384","0.875508104121133"
"No","2005","secondary school degree","Couple + C. GT 16 ","877","0.867138223586159","0.846037415311097","0.888239031861222"
"No","2005","secondary school degree","Couple + C. LE and GT 16","388","0.873992227931899","0.842877943012364","0.905106512851434"
"No","2005","college entrance qualification","1-pers.-HH","453","0.788876766950594","0.754954623050733","0.822798910850456"
"No","2005","college entrance qualification","(Married) couple without C. ","815","0.762285767068675","0.737061071806504","0.787510462330846"
"No","2005","college entrance qualification","Single parent ","119","0.860981327002438","0.804669771316767","0.91729288268811"
"No","2005","college entrance qualification","Couple + C. LE 16 ","606","0.790759153959836","0.76223137756276","0.819286930356912"
"No","2005","college entrance qualification","Couple + C. GT 16 ","469","0.814876679058647","0.783850638484052","0.845902719633243"
"No","2005","college entrance qualification","Couple + C. LE and GT 16","185","0.803066874445936","0.752113212050454","0.854020536841417"
"No","2005","Other degree","1-pers.-HH","88","0.988156154406856","0.965680505151505","1.01063180366221"
"No","2005","Other degree","(Married) couple without C. ","308","0.970737809199616","0.952329048736318","0.989146569662914"
"No","2005","Other degree","Single parent ","59","1","1","1"
"No","2005","Other degree","Couple + C. LE 16 ","191","0.93682495596806","0.903193004734321","0.970456907201799"
"No","2005","Other degree","Couple + C. GT 16 ","202","0.969819288697545","0.946734972859339","0.992903604535752"
"No","2005","Other degree","Couple + C. LE and GT 16","105","0.966061817665377","0.931912426806407","1.00021120852435"
"No","2005","no degree/no degree yet","1-pers.-HH","32","1","1","1"
"No","2005","no degree/no degree yet","(Married) couple without C. ","77","0.93443039869963","0.880854937849996","0.988005859549264"
"No","2005","no degree/no degree yet","Single parent ","99","0.956016778963272","0.916222166662033","0.995811391264511"
"No","2005","no degree/no degree yet","Couple + C. LE 16 ","33","0.944328382234034","0.867258077754122","1.02139868671395"
"No","2005","no degree/no degree yet","Couple + C. GT 16 ","226","0.951438921551008","0.924244671380181","0.978633171721834"
"No","2005","no degree/no degree yet","Couple + C. LE and GT 16","208","0.901892269305587","0.863196444357847","0.940588094253326"
"Yes","2006","lower secondary degree","1-pers.-HH","113","0.0827910940393658","0.0678630052314311","0.0977191828473005"
"Yes","2006","lower secondary degree","(Married) couple without C. ","343","0.104284770181481","0.0935190512173662","0.115050489145596"
"Yes","2006","lower secondary degree","Single parent ","22","","",""
"Yes","2006","lower secondary degree","Couple + C. LE 16 ","134","0.12564128288764","0.103730158885141","0.147552406890139"
"Yes","2006","lower secondary degree","Couple + C. GT 16 ","112","0.102768601582162","0.0834794968162736","0.12205770634805"
"Yes","2006","lower secondary degree","Couple + C. LE and GT 16","39","0.123328352389302","0.0887815055587685","0.157875199219836"
"Yes","2006","secondary school degree","1-pers.-HH","125","0.186413078019283","0.158597328227969","0.214228827810597"
"Yes","2006","secondary school degree","(Married) couple without C. ","400","0.210579289272971","0.191584978312819","0.229573600233124"
"Yes","2006","secondary school degree","Single parent ","50","0.15489673599926","0.117779324516655","0.192014147481866"
"Yes","2006","secondary school degree","Couple + C. LE 16 ","230","0.192339116363524","0.170285788058774","0.214392444668274"
"Yes","2006","secondary school degree","Couple + C. GT 16 ","146","0.139662258371923","0.118645585541538","0.160678931202308"
"Yes","2006","secondary school degree","Couple + C. LE and GT 16","61","0.133831050393787","0.100169697668211","0.167492403119363"
"Yes","2006","college entrance qualification","1-pers.-HH","140","0.244534404598009","0.210918438282025","0.278150370913993"
"Yes","2006","college entrance qualification","(Married) couple without C. ","335","0.260282555428294","0.235538545275639","0.28502656558095"
"Yes","2006","college entrance qualification","Single parent ","37","0.209769299267398","0.14909944492771","0.270439153607086"
"Yes","2006","college entrance qualification","Couple + C. LE 16 ","229","0.255545678291054","0.226562783336661","0.284528573245448"
"Yes","2006","college entrance qualification","Couple + C. GT 16 ","135","0.208804328185626","0.177115859589036","0.240492796782217"
"Yes","2006","college entrance qualification","Couple + C. LE and GT 16","51","0.233962239389549","0.178147368048713","0.289777110730385"
"Yes","2006","Other degree","1-pers.-HH","3","","",""
"Yes","2006","Other degree","(Married) couple without C. ","30","0.0566233761308632","0.0334160001316604","0.079830752130066"
"Yes","2006","Other degree","Single parent ","","","",""
"Yes","2006","Other degree","Couple + C. LE 16 ","12","","",""
"Yes","2006","Other degree","Couple + C. GT 16 ","6","","",""
"Yes","2006","Other degree","Couple + C. LE and GT 16","2","","",""
"Yes","2006","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2006","no degree/no degree yet","(Married) couple without C. ","5","","",""
"Yes","2006","no degree/no degree yet","Single parent ","4","","",""
"Yes","2006","no degree/no degree yet","Couple + C. LE 16 ","1","","",""
"Yes","2006","no degree/no degree yet","Couple + C. GT 16 ","12","","",""
"Yes","2006","no degree/no degree yet","Couple + C. LE and GT 16","7","","",""
"No","2006","lower secondary degree","1-pers.-HH","1196","0.917208905960634","0.902280817152699","0.932136994768569"
"No","2006","lower secondary degree","(Married) couple without C. ","2753","0.895715229818519","0.884949510854404","0.906480948782634"
"No","2006","lower secondary degree","Single parent ","325","0.949308489197983","0.926227487473535","0.972389490922432"
"No","2006","lower secondary degree","Couple + C. LE 16 ","745","0.87435871711236","0.852447593109861","0.896269841114859"
"No","2006","lower secondary degree","Couple + C. GT 16 ","840","0.897231398417838","0.87794229365195","0.916520503183726"
"No","2006","lower secondary degree","Couple + C. LE and GT 16","309","0.876671647610698","0.842124800780164","0.911218494441231"
"No","2006","secondary school degree","1-pers.-HH","628","0.813586921980717","0.785771172189403","0.841402671772031"
"No","2006","secondary school degree","(Married) couple without C. ","1370","0.789420710727028","0.770426399766876","0.808415021687181"
"No","2006","secondary school degree","Single parent ","315","0.84510326400074","0.807985852518134","0.882220675483345"
"No","2006","secondary school degree","Couple + C. LE 16 ","997","0.807660883636475","0.785607555331725","0.829714211941226"
"No","2006","secondary school degree","Couple + C. GT 16 ","899","0.860337741628077","0.839321068797693","0.881354414458462"
"No","2006","secondary school degree","Couple + C. LE and GT 16","332","0.866168949606213","0.832507596880637","0.899830302331789"
"No","2006","college entrance qualification","1-pers.-HH","488","0.755465595401991","0.721849629086007","0.789081561717975"
"No","2006","college entrance qualification","(Married) couple without C. ","873","0.739717444571706","0.71497343441905","0.764461454724361"
"No","2006","college entrance qualification","Single parent ","136","0.790230700732602","0.729560846392914","0.85090055507229"
"No","2006","college entrance qualification","Couple + C. LE 16 ","641","0.744454321708946","0.715471426754553","0.773437216663339"
"No","2006","college entrance qualification","Couple + C. GT 16 ","497","0.791195671814374","0.759507203217783","0.822884140410964"
"No","2006","college entrance qualification","Couple + C. LE and GT 16","170","0.766037760610451","0.710222889269615","0.821852631951287"
"No","2006","Other degree","1-pers.-HH","99","0.96713023824915","0.932529229179818","1.00173124731848"
"No","2006","Other degree","(Married) couple without C. ","351","0.943376623869137","0.920169247869934","0.96658399986834"
"No","2006","Other degree","Single parent ","64","1","1","1"
"No","2006","Other degree","Couple + C. LE 16 ","217","0.951318546150924","0.923446098948148","0.9791909933537"
"No","2006","Other degree","Couple + C. GT 16 ","184","0.978658293697695","0.958108787017258","0.999207800378132"
"No","2006","Other degree","Couple + C. LE and GT 16","100","0.979915554283245","0.952690280477816","1.00714082808867"
"No","2006","no degree/no degree yet","1-pers.-HH","39","1","1","1"
"No","2006","no degree/no degree yet","(Married) couple without C. ","102","0.925949804495503","0.876334800681815","0.975564808309192"
"No","2006","no degree/no degree yet","Single parent ","58","0.849272477058394","0.760214658670826","0.938330295445961"
"No","2006","no degree/no degree yet","Couple + C. LE 16 ","24","","",""
"No","2006","no degree/no degree yet","Couple + C. GT 16 ","136","0.945748681784728","0.909255624128092","0.982241739441365"
"No","2006","no degree/no degree yet","Couple + C. LE and GT 16","122","0.91670064843865","0.869014986510255","0.964386310367044"
"Yes","2007","lower secondary degree","1-pers.-HH","113","0.0966032098093406","0.0799510722209066","0.113255347397775"
"Yes","2007","lower secondary degree","(Married) couple without C. ","385","0.130934696037276","0.118545826585062","0.143323565489489"
"Yes","2007","lower secondary degree","Single parent ","13","","",""
"Yes","2007","lower secondary degree","Couple + C. LE 16 ","111","0.124817786330582","0.10139681767295","0.148238754988214"
"Yes","2007","lower secondary degree","Couple + C. GT 16 ","112","0.113676965027597","0.0927643323643642","0.13458959769083"
"Yes","2007","lower secondary degree","Couple + C. LE and GT 16","29","","",""
"Yes","2007","secondary school degree","1-pers.-HH","145","0.198142053665816","0.169403631483758","0.226880475847873"
"Yes","2007","secondary school degree","(Married) couple without C. ","402","0.231559800296521","0.211267528611768","0.251852071981274"
"Yes","2007","secondary school degree","Single parent ","49","0.173065174521978","0.133261438527768","0.212868910516188"
"Yes","2007","secondary school degree","Couple + C. LE 16 ","227","0.204540716891796","0.180864652009532","0.228216781774059"
"Yes","2007","secondary school degree","Couple + C. GT 16 ","137","0.139287244318167","0.117642317346713","0.160932171289622"
"Yes","2007","secondary school degree","Couple + C. LE and GT 16","61","0.173568695399096","0.135736912773448","0.211400478024743"
"Yes","2007","college entrance qualification","1-pers.-HH","138","0.238942035880057","0.204763563615194","0.273120508144919"
"Yes","2007","college entrance qualification","(Married) couple without C. ","376","0.305575119577917","0.279325237894096","0.331825001261738"
"Yes","2007","college entrance qualification","Single parent ","38","0.241994362335401","0.177801184163434","0.306187540507367"
"Yes","2007","college entrance qualification","Couple + C. LE 16 ","222","0.246413795809742","0.217062187607614","0.275765404011871"
"Yes","2007","college entrance qualification","Couple + C. GT 16 ","139","0.282503861730941","0.246479653507725","0.318528069954156"
"Yes","2007","college entrance qualification","Couple + C. LE and GT 16","44","0.204203144844568","0.148612113836569","0.259794175852566"
"Yes","2007","Other degree","1-pers.-HH","4","","",""
"Yes","2007","Other degree","(Married) couple without C. ","26","","",""
"Yes","2007","Other degree","Single parent ","1","","",""
"Yes","2007","Other degree","Couple + C. LE 16 ","17","","",""
"Yes","2007","Other degree","Couple + C. GT 16 ","10","","",""
"Yes","2007","Other degree","Couple + C. LE and GT 16","1","","",""
"Yes","2007","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2007","no degree/no degree yet","(Married) couple without C. ","5","","",""
"Yes","2007","no degree/no degree yet","Single parent ","2","","",""
"Yes","2007","no degree/no degree yet","Couple + C. LE 16 ","2","","",""
"Yes","2007","no degree/no degree yet","Couple + C. GT 16 ","10","","",""
"Yes","2007","no degree/no degree yet","Couple + C. LE and GT 16","10","","",""
"No","2007","lower secondary degree","1-pers.-HH","1096","0.903396790190659","0.886744652602225","0.920048927779093"
"No","2007","lower secondary degree","(Married) couple without C. ","2463","0.869065303962724","0.856676434510511","0.881454173414938"
"No","2007","lower secondary degree","Single parent ","300","0.959317302797106","0.937431527788293","0.98120307780592"
"No","2007","lower secondary degree","Couple + C. LE 16 ","654","0.875182213669418","0.851761245011786","0.89860318232705"
"No","2007","lower secondary degree","Couple + C. GT 16 ","773","0.886323034972403","0.86541040230917","0.907235667635636"
"No","2007","lower secondary degree","Couple + C. LE and GT 16","278","0.921995641604972","0.891996918329953","0.951994364879991"
"No","2007","secondary school degree","1-pers.-HH","594","0.801857946334184","0.773119524152127","0.830596368516242"
"No","2007","secondary school degree","(Married) couple without C. ","1258","0.768440199703479","0.748147928018726","0.788732471388232"
"No","2007","secondary school degree","Single parent ","298","0.826934825478022","0.787131089483812","0.866738561472232"
"No","2007","secondary school degree","Couple + C. LE 16 ","888","0.795459283108204","0.771783218225941","0.819135347990468"
"No","2007","secondary school degree","Couple + C. GT 16 ","846","0.860712755681833","0.839067828710378","0.882357682653287"
"No","2007","secondary school degree","Couple + C. LE and GT 16","324","0.826431304600904","0.788599521975257","0.864263087226552"
"No","2007","college entrance qualification","1-pers.-HH","460","0.761057964119943","0.726879491855081","0.795236436384806"
"No","2007","college entrance qualification","(Married) couple without C. ","807","0.694424880422083","0.668174998738262","0.720674762105904"
"No","2007","college entrance qualification","Single parent ","133","0.758005637664599","0.693812459492633","0.822198815836566"
"No","2007","college entrance qualification","Couple + C. LE 16 ","606","0.753586204190258","0.724234595988129","0.782937812392386"
"No","2007","college entrance qualification","Couple + C. GT 16 ","461","0.717496138269059","0.681471930045844","0.753520346492275"
"No","2007","college entrance qualification","Couple + C. LE and GT 16","158","0.795796855155432","0.740205824147433","0.851387886163431"
"No","2007","Other degree","1-pers.-HH","88","0.94701297222216","0.901239177152766","0.992786767291554"
"No","2007","Other degree","(Married) couple without C. ","326","0.949246092975605","0.926316259100583","0.972175926850626"
"No","2007","Other degree","Single parent ","50","0.987198408361903","0.956345421736094","1.01805139498771"
"No","2007","Other degree","Couple + C. LE 16 ","191","0.931477191906948","0.897143531101297","0.965810852712599"
"No","2007","Other degree","Couple + C. GT 16 ","176","0.980985909246021","0.96135859911647","1.00061321937557"
"No","2007","Other degree","Couple + C. LE and GT 16","85","0.977397962610718","0.945985037813418","1.00881088740802"
"No","2007","no degree/no degree yet","1-pers.-HH","30","1","1","1"
"No","2007","no degree/no degree yet","(Married) couple without C. ","77","0.975823687133988","0.942579028608265","1.00906834565971"
"No","2007","no degree/no degree yet","Single parent ","50","0.981715585686968","0.945300629737585","1.01813054163635"
"No","2007","no degree/no degree yet","Couple + C. LE 16 ","23","","",""
"No","2007","no degree/no degree yet","Couple + C. GT 16 ","137","0.92759979255241","0.885706967282241","0.969492617822579"
"No","2007","no degree/no degree yet","Couple + C. LE and GT 16","106","0.914736457376008","0.863914805466488","0.965558109285528"
"Yes","2008","lower secondary degree","1-pers.-HH","133","0.117223173427392","0.0988998419169301","0.135546504937854"
"Yes","2008","lower secondary degree","(Married) couple without C. ","410","0.156905933024876","0.143146056565715","0.170665809484038"
"Yes","2008","lower secondary degree","Single parent ","21","","",""
"Yes","2008","lower secondary degree","Couple + C. LE 16 ","129","0.182185363789718","0.153173353947892","0.211197373631545"
"Yes","2008","lower secondary degree","Couple + C. GT 16 ","130","0.124374288763113","0.102407675700051","0.146340901826174"
"Yes","2008","lower secondary degree","Couple + C. LE and GT 16","32","0.115635970024055","0.0763859385108911","0.154886001537219"
"Yes","2008","secondary school degree","1-pers.-HH","158","0.243878086789819","0.212089488078638","0.275666685500999"
"Yes","2008","secondary school degree","(Married) couple without C. ","442","0.277871104083411","0.256354683383469","0.299387524783352"
"Yes","2008","secondary school degree","Single parent ","58","0.174662837083263","0.133883333966355","0.215442340200172"
"Yes","2008","secondary school degree","Couple + C. LE 16 ","226","0.218391465250161","0.193049067813542","0.24373386268678"
"Yes","2008","secondary school degree","Couple + C. GT 16 ","157","0.169219265678546","0.145338886796596","0.193099644560496"
"Yes","2008","secondary school degree","Couple + C. LE and GT 16","72","0.166894627204097","0.127829862357882","0.205959392050313"
"Yes","2008","college entrance qualification","1-pers.-HH","168","0.305076447514202","0.26792335739116","0.342229537637244"
"Yes","2008","college entrance qualification","(Married) couple without C. ","384","0.34554099530024","0.31785091916958","0.373231071430901"
"Yes","2008","college entrance qualification","Single parent ","43","0.220156092876344","0.159285534428046","0.281026651324642"
"Yes","2008","college entrance qualification","Couple + C. LE 16 ","229","0.289867606442762","0.257945853316079","0.321789359569444"
"Yes","2008","college entrance qualification","Couple + C. GT 16 ","138","0.246355159109915","0.210762692224669","0.281947625995161"
"Yes","2008","college entrance qualification","Couple + C. LE and GT 16","54","0.290006257410775","0.227275431245913","0.352737083575637"
"Yes","2008","Other degree","1-pers.-HH","4","","",""
"Yes","2008","Other degree","(Married) couple without C. ","27","","",""
"Yes","2008","Other degree","Single parent ","2","","",""
"Yes","2008","Other degree","Couple + C. LE 16 ","11","","",""
"Yes","2008","Other degree","Couple + C. GT 16 ","9","","",""
"Yes","2008","Other degree","Couple + C. LE and GT 16","3","","",""
"Yes","2008","no degree/no degree yet","1-pers.-HH","2","","",""
"Yes","2008","no degree/no degree yet","(Married) couple without C. ","4","","",""
"Yes","2008","no degree/no degree yet","Single parent ","6","","",""
"Yes","2008","no degree/no degree yet","Couple + C. LE 16 ","4","","",""
"Yes","2008","no degree/no degree yet","Couple + C. GT 16 ","10","","",""
"Yes","2008","no degree/no degree yet","Couple + C. LE and GT 16","14","","",""
"No","2008","lower secondary degree","1-pers.-HH","1051","0.882776826572608","0.864453495062146","0.90110015808307"
"No","2008","lower secondary degree","(Married) couple without C. ","2274","0.843094066975124","0.829334190515962","0.856853943434285"
"No","2008","lower secondary degree","Single parent ","287","0.942203732929055","0.916142495211983","0.968264970646126"
"No","2008","lower secondary degree","Couple + C. LE 16 ","551","0.817814636210281","0.788802626368455","0.846826646052108"
"No","2008","lower secondary degree","Couple + C. GT 16 ","737","0.875625711236887","0.853659098173826","0.897592324299949"
"No","2008","lower secondary degree","Couple + C. LE and GT 16","223","0.884364029975945","0.845113998462781","0.923614061489109"
"No","2008","secondary school degree","1-pers.-HH","543","0.756121913210181","0.724333314499001","0.787910511921362"
"No","2008","secondary school degree","(Married) couple without C. ","1223","0.722128895916589","0.700612475216648","0.743645316616531"
"No","2008","secondary school degree","Single parent ","275","0.825337162916737","0.784557659799828","0.866116666033645"
"No","2008","secondary school degree","Couple + C. LE 16 ","795","0.781608534749839","0.75626613731322","0.806950932186458"
"No","2008","secondary school degree","Couple + C. GT 16 ","790","0.830780734321454","0.806900355439504","0.854661113203404"
"No","2008","secondary school degree","Couple + C. LE and GT 16","278","0.833105372795903","0.794040607949687","0.872170137642118"
"No","2008","college entrance qualification","1-pers.-HH","422","0.694923552485798","0.657770462362756","0.73207664260884"
"No","2008","college entrance qualification","(Married) couple without C. ","749","0.65445900469976","0.626768928569099","0.68214908083042"
"No","2008","college entrance qualification","Single parent ","135","0.779843907123656","0.718973348675358","0.840714465571954"
"No","2008","college entrance qualification","Couple + C. LE 16 ","547","0.710132393557238","0.678210640430556","0.742054146683921"
"No","2008","college entrance qualification","Couple + C. GT 16 ","425","0.753644840890085","0.718052374004839","0.789237307775331"
"No","2008","college entrance qualification","Couple + C. LE and GT 16","147","0.709993742589225","0.647262916424363","0.772724568754087"
"No","2008","Other degree","1-pers.-HH","83","0.932360790593858","0.879591685775538","0.985129895412178"
"No","2008","Other degree","(Married) couple without C. ","299","0.931217236583466","0.903744330340066","0.958690142826866"
"No","2008","Other degree","Single parent ","52","0.972786739295118","0.929390677081579","1.01618280150866"
"No","2008","Other degree","Couple + C. LE 16 ","169","0.911283226936439","0.869745627384362","0.952820826488516"
