"ple0098_v5","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","2004","Bremen","Employed","76","0.932741630907806","0.879178951422411","0.986304310393201","2"
"No","2004","North Rhine-Westphalia","Not Employed","1323","0.885186904919526","0.869197151183598","0.901176658655454","2"
"No","2004","Bremen","Not Employed","55","0.888966735522504","0.811995685083643","0.965937785961365","2"
"No","2004","North Rhine-Westphalia","Employed","1812","0.827277500931238","0.81160253629352","0.842952465568957","2"
"No","2004","Hesse","Not Employed","372","0.931811440138628","0.907231705686972","0.956391174590283","2"
"No","2004","Hesse","Employed","667","0.895548426075659","0.873889558901478","0.917207293249839","2"
"No","2004","Rhineland-Palatinate,Saarland","Not Employed","412","0.920406300429348","0.895481704453487","0.94533089640521","2"
"No","2004","Rhineland-Palatinate,Saarland","Employed","574","0.884537452973246","0.859912544176201","0.909162361770291","2"
"No","2004","Baden-Württemberg","Not Employed","722","0.865454814107778","0.842253966061584","0.888655662153971","2"
"No","2004","Baden-Württemberg","Employed","1165","0.840966818433856","0.82174839180982","0.860185245057891","2"
"No","2004","Bavaria","Not Employed","770","0.886522011425135","0.865648916061582","0.907395106788688","2"
"No","2004","Bavaria","Employed","1304","0.809467126296298","0.790090455602767","0.828843796989828","2"
"No","2004","Berlin","Not Employed","249","0.949349942887268","0.922797738686986","0.975902147087549","2"
"No","2004","Berlin","Employed","365","0.916423063406336","0.889502986036127","0.943343140776544","2"
"No","2004","Mecklenburg-Western Pomerania","Not Employed","191","0.998854336733694","0.994069390626944","1.00363928284044","2"
"No","2004","Mecklenburg-Western Pomerania","Employed","251","0.89256566905974","0.855832499923118","0.929298838196362","2"
"No","2004","Saxony","Not Employed","607","0.964999619599272","0.950614473603715","0.979384765594829","2"
"No","2004","Saxony","Employed","738","0.909061233113862","0.889488930357911","0.928633535869814","2"
"No","2004","Saxony-Anhalt","Not Employed","393","0.988726988677097","0.978354935825428","0.999099041528766","2"
"No","2004","Saxony-Anhalt","Employed","425","0.930013452535046","0.906849800473459","0.953177104596633","2"
"No","2004","Thuringia","Not Employed","367","0.983035309909251","0.970016846848657","0.996053772969845","2"
"No","2004","Thuringia","Employed","454","0.935303696654084","0.913633564982541","0.956973828325628","2"
"Yes","2004","Hesse","Not Employed","32","0.0681885598613721","0.0436088254097165","0.0927682943130278","1"
"Yes","2004","Hesse","Employed","99","0.104451573924341","0.082792706750161","0.126110441098522","1"
"Yes","2004","Rhineland-Palatinate,Saarland","Not Employed","41","0.0795936995706517","0.0546691035947901","0.104518295546513","1"
"Yes","2004","Rhineland-Palatinate,Saarland","Employed","73","0.115462547026754","0.0908376382297087","0.140087455823799","1"
"Yes","2004","Baden-Württemberg","Not Employed","109","0.134545185892222","0.111344337846029","0.157746033938416","1"
"Yes","2004","Baden-Württemberg","Employed","226","0.159033181566144","0.139814754942109","0.17825160819018","1"
"Yes","2004","Bavaria","Not Employed","117","0.113477988574865","0.0926048932113117","0.134351083938418","1"
"Yes","2004","Bavaria","Employed","274","0.190532873703702","0.171156203010172","0.209909544397233","1"
"Yes","2004","Berlin","Not Employed","13","","","","1"
"Yes","2004","Berlin","Employed","41","0.0835769365936642","0.0566568592234557","0.110497013963873","1"
"Yes","2004","Brandenburg","Not Employed","17","","","","1"
"Yes","2004","Brandenburg","Employed","45","0.112838641389978","0.084050121720908","0.141627161059048","1"
"Yes","2004","Mecklenburg-Western Pomerania","Not Employed","1","","","","1"
"Yes","2004","Mecklenburg-Western Pomerania","Employed","22","","","","1"
"Yes","2004","Saxony","Not Employed","20","","","","1"
"Yes","2004","Saxony","Employed","91","0.0909387668861376","0.0713664641301864","0.110511069642089","1"
"Yes","2004","Saxony-Anhalt","Not Employed","5","","","","1"
"Yes","2004","Saxony-Anhalt","Employed","41","0.0699865474649542","0.0468228954033673","0.0931501995265411","1"
"Yes","2004","Schleswig-Holstein","Not Employed","12","","","","1"
"Yes","2004","Schleswig-Holstein","Employed","37","0.0867355663623206","0.056775337703159","0.116695795021482","1"
"Yes","2004","Hamburg","Not Employed","8","","","","1"
"Yes","2004","Hamburg","Employed","22","","","","1"
"Yes","2004","Lower Saxony","Not Employed","63","0.0880385199062861","0.0656078384721736","0.110469201340399","1"
"Yes","2004","Lower Saxony","Employed","143","0.127326787510336","0.106562539514372","0.148091035506299","1"
"Yes","2004","Bremen","Not Employed","9","","","","1"
"Yes","2004","Bremen","Employed","8","","","","1"
"Yes","2004","North Rhine-Westphalia","Not Employed","204","0.114813095080474","0.0988233413445461","0.130802848816402","1"
"Yes","2004","North Rhine-Westphalia","Employed","422","0.172722499068762","0.157047534431044","0.18839746370648","1"
"Yes","2004","Thuringia","Not Employed","11","","","","1"
"Yes","2004","Thuringia","Employed","41","0.0646963033459156","0.043026171674372","0.0863664350174591","1"
"No","2005","Schleswig-Holstein","Employed","289","0.929586123549116","0.901728149534729","0.957444097563503","2"
"No","2005","Schleswig-Holstein","Not Employed","199","0.96665255467147","0.942194078016521","0.991111031326419","2"
"No","2005","Hamburg","Not Employed","93","0.966685610467406","0.93168739014147","1.00168383079334","2"
"No","2005","Brandenburg","Not Employed","352","0.950358624350649","0.928404312306313","0.972312936394986","2"
"No","2005","Hamburg","Employed","122","0.796470061061079","0.731161435795434","0.861778686326723","2"
"No","2005","Lower Saxony","Not Employed","534","0.905832703210311","0.882482809673462","0.92918259674716","2"
"No","2005","Lower Saxony","Employed","779","0.854740218143819","0.832045104532539","0.877435331755099","2"
"No","2005","Brandenburg","Employed","403","0.858330167518531","0.826111489793021","0.89054884524404","2"
"No","2005","Bremen","Not Employed","51","0.823884256418725","0.729067643181998","0.918700869655451","2"
"No","2005","Bremen","Employed","62","0.94273562512815","0.887511244183567","0.997960006072734","2"
"No","2005","North Rhine-Westphalia","Not Employed","1255","0.868691118078121","0.851426015384836","0.885956220771407","2"
"No","2005","North Rhine-Westphalia","Employed","1714","0.814859354985916","0.798302119954857","0.831416590016975","2"
"No","2005","Hesse","Not Employed","349","0.895671415195738","0.865294105725258","0.926048724666219","2"
"No","2005","Hesse","Employed","608","0.853119499729479","0.827334578215252","0.878904421243705","2"
"No","2005","Rhineland-Palatinate,Saarland","Not Employed","370","0.899114161783156","0.87020719083415","0.928021132732163","2"
"No","2005","Rhineland-Palatinate,Saarland","Employed","539","0.86375173535118","0.836770474097158","0.890732996605202","2"
"No","2005","Baden-Württemberg","Not Employed","705","0.875896998912196","0.853219887305144","0.898574110519248","2"
"No","2005","Baden-Württemberg","Employed","1089","0.820528840002794","0.799819323805098","0.84123835620049","2"
"No","2005","Bavaria","Not Employed","717","0.881427206528022","0.859286478780065","0.903567934275978","2"
"No","2005","Bavaria","Employed","1220","0.807227705695035","0.787377014269422","0.827078397120647","2"
"No","2005","Berlin","Not Employed","243","0.962426224396102","0.93904014738371","0.985812301408495","2"
"No","2005","Berlin","Employed","338","0.907412068163419","0.87815324305575","0.936670893271088","2"
"No","2005","Mecklenburg-Western Pomerania","Not Employed","199","0.991221247247959","0.978325343812594","1.00411715068333","2"
"No","2005","Mecklenburg-Western Pomerania","Employed","236","0.958224841894287","0.933473201071016","0.982976482717558","2"
"No","2005","Saxony","Not Employed","579","0.979629253229104","0.968316481406484","0.990942025051724","2"
"No","2005","Saxony","Employed","685","0.873653741258521","0.850544339463717","0.896763143053326","2"
"No","2005","Saxony-Anhalt","Not Employed","365","0.973955149217933","0.957835229559431","0.990075068876435","2"
"No","2005","Saxony-Anhalt","Employed","413","0.926316364693468","0.902415867324153","0.950216862062783","2"
"No","2005","Thuringia","Not Employed","353","0.98045363703417","0.966251680821417","0.994655593246922","2"
"No","2005","Thuringia","Employed","411","0.91796830436513","0.892918616667532","0.943017992062728","2"
"Yes","2005","Hesse","Not Employed","40","0.104328584804262","0.0739512753337811","0.134705894274742","1"
"Yes","2005","Hesse","Employed","116","0.146880500270521","0.121095578756295","0.172665421784748","1"
"Yes","2005","Rhineland-Palatinate,Saarland","Not Employed","47","0.100885838216844","0.0719788672678372","0.12979280916585","1"
"Yes","2005","Schleswig-Holstein","Not Employed","8","","","","1"
"Yes","2005","Schleswig-Holstein","Employed","35","0.0704138764508838","0.042555902436497","0.0982718504652705","1"
"Yes","2005","Hamburg","Not Employed","8","","","","1"
"Yes","2005","Hamburg","Employed","24","","","","1"
"Yes","2005","Lower Saxony","Not Employed","67","0.0941672967896889","0.0708174032528397","0.117517190326538","1"
"Yes","2005","Lower Saxony","Employed","147","0.145259781856181","0.122564668244901","0.167954895467461","1"
"Yes","2005","Bremen","Not Employed","11","","","","1"
"Yes","2005","Bremen","Employed","6","","","","1"
"Yes","2005","Rhineland-Palatinate,Saarland","Employed","82","0.13624826464882","0.109267003394798","0.163229525902842","1"
"Yes","2005","Baden-Württemberg","Not Employed","107","0.124103001087804","0.101425889480752","0.146780112694856","1"
"Yes","2005","Baden-Württemberg","Employed","230","0.179471159997206","0.15876164379951","0.200180676194902","1"
"Yes","2005","Bavaria","Not Employed","102","0.118572793471978","0.0964320657240216","0.140713521219935","1"
"Yes","2005","Bavaria","Employed","297","0.192772294304965","0.172921602879353","0.212622985730578","1"
"Yes","2005","Berlin","Not Employed","11","","","","1"
"Yes","2005","Berlin","Employed","39","0.0925879318365812","0.0633291067289123","0.12184675694425","1"
"Yes","2005","Brandenburg","Not Employed","24","","","","1"
"Yes","2005","Brandenburg","Employed","47","0.141669832481469","0.10945115475596","0.173888510206979","1"
"Yes","2005","Mecklenburg-Western Pomerania","Not Employed","2","","","","1"
"Yes","2005","Mecklenburg-Western Pomerania","Employed","15","","","","1"
"Yes","2005","Saxony","Not Employed","20","","","","1"
"Yes","2005","Saxony","Employed","109","0.126346258741479","0.103236856946674","0.149455660536284","1"
"Yes","2005","Saxony-Anhalt","Not Employed","10","","","","1"
"Yes","2005","Saxony-Anhalt","Employed","46","0.0736836353065321","0.0497831379372169","0.0975841326758474","1"
"Yes","2005","Thuringia","Not Employed","12","","","","1"
"Yes","2005","Thuringia","Employed","50","0.0820316956348701","0.0569820079372723","0.107081383332468","1"
"Yes","2005","North Rhine-Westphalia","Not Employed","215","0.131308881921879","0.114043779228594","0.148573984615165","1"
"Yes","2005","North Rhine-Westphalia","Employed","400","0.185140645014084","0.168583409983025","0.201697880045142","1"
"No","2006","Brandenburg","Not Employed","371","0.951578827354851","0.930543071000915","0.972614583708786","2"
"No","2006","Brandenburg","Employed","415","0.810036378823966","0.774980324399731","0.845092433248201","2"
"No","2006","Hamburg","Not Employed","107","0.896510316290152","0.842237597087685","0.95078303549262","2"
"No","2006","Hamburg","Employed","111","0.769314918217573","0.699028667089597","0.839601169345548","2"
"No","2006","North Rhine-Westphalia","Not Employed","1345","0.87490692345919","0.858579043161341","0.891234803757039","2"
"No","2006","Schleswig-Holstein","Employed","284","0.891676465204225","0.858245869692863","0.925107060715587","2"
"No","2006","Lower Saxony","Not Employed","578","0.882473591501776","0.857996722722429","0.906950460281122","2"
"No","2006","Lower Saxony","Employed","828","0.842754846748543","0.820259724163782","0.865249969333304","2"
"No","2006","Bremen","Not Employed","50","0.908340806623521","0.834082246793985","0.982599366453056","2"
"No","2006","Bremen","Employed","60","0.925892210983895","0.86452855669499","0.987255865272801","2"
"No","2006","Mecklenburg-Western Pomerania","Not Employed","216","0.983840745639667","0.967179410063058","1.00050208121628","2"
"No","2006","Mecklenburg-Western Pomerania","Employed","243","0.911967977761447","0.878171118541069","0.945764836981825","2"
"No","2006","Saxony","Not Employed","607","0.967245569384218","0.953444871025678","0.981046267742757","2"
"No","2006","Schleswig-Holstein","Not Employed","206","0.888353486592224","0.848002361314256","0.928704611870191","2"
"No","2006","Saxony","Employed","716","0.862106663820262","0.838607766868451","0.885605560772073","2"
"No","2006","North Rhine-Westphalia","Employed","1684","0.792463681431127","0.775388891335505","0.809538471526748","2"
"No","2006","Hesse","Not Employed","383","0.896613893783359","0.868100766194553","0.925127021372165","2"
"No","2006","Hesse","Employed","605","0.836209630141842","0.809846200008243","0.86257306027544","2"
"No","2006","Rhineland-Palatinate,Saarland","Not Employed","374","0.922377883087217","0.89660309506658","0.948152671107854","2"
"No","2006","Rhineland-Palatinate,Saarland","Employed","568","0.861128937307573","0.834766392405463","0.887491482209684","2"
"No","2006","Baden-Württemberg","Not Employed","757","0.866651671118228","0.844267175748204","0.889036166488251","2"
"No","2006","Baden-Württemberg","Employed","1112","0.810374931109343","0.789862830871556","0.83088703134713","2"
"No","2006","Bavaria","Not Employed","771","0.852607703897472","0.829688350887493","0.87552705690745","2"
"No","2006","Bavaria","Employed","1251","0.770439839671823","0.750011243826214","0.790868435517432","2"
"No","2006","Berlin","Not Employed","240","0.909571008041559","0.874975614370006","0.944166401713112","2"
"No","2006","Berlin","Employed","336","0.883877847177785","0.8517928232123","0.91596287114327","2"
"No","2006","Saxony-Anhalt","Not Employed","370","0.983122195932658","0.970153682174108","0.996090709691208","2"
"No","2006","Saxony-Anhalt","Employed","421","0.896593276030637","0.869152925860623","0.924033626200651","2"
"No","2006","Thuringia","Not Employed","373","0.959398653024791","0.939885763356251","0.978911542693331","2"
"No","2006","Thuringia","Employed","427","0.926440735215372","0.903135575525888","0.949745894904855","2"
"Yes","2006","Schleswig-Holstein","Not Employed","28","","","","1"
"Yes","2006","Schleswig-Holstein","Employed","48","0.108323534795775","0.0748929392844134","0.141754130307137","1"
"Yes","2006","Hamburg","Not Employed","14","","","","1"
"Yes","2006","Hamburg","Employed","27","","","","1"
"Yes","2006","Hesse","Not Employed","55","0.103386106216641","0.0748729786278354","0.131899233805447","1"
"Yes","2006","Hesse","Employed","152","0.163790369858158","0.13742693972456","0.190153799991757","1"
"Yes","2006","Rhineland-Palatinate,Saarland","Not Employed","40","0.0776221169127831","0.051847328892146","0.10339690493342","1"
"Yes","2006","Rhineland-Palatinate,Saarland","Employed","93","0.138871062692427","0.112508517790316","0.165233607594537","1"
"Yes","2006","Baden-Württemberg","Not Employed","129","0.133348328881772","0.110963833511749","0.155732824251796","1"
"Yes","2006","Baden-Württemberg","Employed","291","0.189625068890657","0.16911296865287","0.210137169128444","1"
"Yes","2006","Bavaria","Not Employed","148","0.147392296102528","0.12447294309255","0.170311649112507","1"
"Yes","2006","Bavaria","Employed","377","0.229560160328177","0.209131564482568","0.249988756173785","1"
"Yes","2006","Berlin","Not Employed","24","","","","1"
"Yes","2006","Berlin","Employed","47","0.116122152822215","0.0840371288567298","0.1482071767877","1"
"Yes","2006","Brandenburg","Not Employed","29","","","","1"
"Yes","2006","Brandenburg","Employed","66","0.189963621176034","0.154907566751799","0.225019675600269","1"
"Yes","2006","Mecklenburg-Western Pomerania","Not Employed","4","","","","1"
"Yes","2006","Mecklenburg-Western Pomerania","Employed","27","","","","1"
"Yes","2006","Saxony","Not Employed","32","0.0327544306157824","0.0189537322572427","0.046555128974322","1"
"Yes","2006","Saxony","Employed","111","0.137893336179738","0.114394439227927","0.161392233131549","1"
"Yes","2006","Saxony-Anhalt","Not Employed","9","","","","1"
"Yes","2006","Saxony-Anhalt","Employed","52","0.103406723969363","0.075966373799349","0.130847074139377","1"
"Yes","2006","Lower Saxony","Not Employed","87","0.117526408498224","0.0930495397188779","0.142003277277571","1"
"Yes","2006","Lower Saxony","Employed","178","0.157245153251457","0.134750030666696","0.179740275836218","1"
"Yes","2006","Bremen","Not Employed","8","","","","1"
"Yes","2006","Bremen","Employed","10","","","","1"
"Yes","2006","North Rhine-Westphalia","Not Employed","232","0.12509307654081","0.108765196242961","0.141420956838659","1"
"Yes","2006","North Rhine-Westphalia","Employed","483","0.207536318568873","0.190461528473252","0.224611108664495","1"
"Yes","2006","Thuringia","Not Employed","20","","","","1"
"Yes","2006","Thuringia","Employed","55","0.0735592647846283","0.050254105095145","0.0968644244741116","1"
"No","2007","Schleswig-Holstein","Employed","249","0.850990754297275","0.810560265867936","0.891421242726613","2"
"No","2007","Schleswig-Holstein","Not Employed","197","0.870888005915059","0.826877120226062","0.914898891604055","2"
"No","2007","Brandenburg","Employed","358","0.822158079514706","0.785761556511042","0.85855460251837","2"
"No","2007","Mecklenburg-Western Pomerania","Not Employed","184","0.959691493300947","0.932226521644243","0.98715646495765","2"
"No","2007","Mecklenburg-Western Pomerania","Employed","237","0.927386046773647","0.895903623284906","0.958868470262389","2"
"No","2007","Saxony","Not Employed","552","0.941986196009303","0.923107222173501","0.960865169845104","2"
"No","2007","Saxony","Employed","677","0.859279963060632","0.835198817343564","0.8833611087777","2"
"No","2007","Brandenburg","Not Employed","342","0.939297858873024","0.915065407699834","0.963530310046214","2"
"No","2007","Hamburg","Not Employed","101","0.901711576190574","0.847535929481843","0.955887222899305","2"
"No","2007","Hamburg","Employed","100","0.732489364510762","0.656686846661633","0.808291882359891","2"
"No","2007","Lower Saxony","Not Employed","530","0.886352737136521","0.861020577262046","0.911684897010995","2"
"No","2007","Bremen","Employed","56","0.86373903865723","0.78279207843646","0.944685998878","2"
"No","2007","North Rhine-Westphalia","Not Employed","1191","0.859628599691617","0.841535573641027","0.877721625742208","2"
"No","2007","North Rhine-Westphalia","Employed","1560","0.784998609816145","0.767179939193869","0.802817280438421","2"
"No","2007","Lower Saxony","Employed","745","0.79916628673235","0.773569222061246","0.824763351403453","2"
"No","2007","Bremen","Not Employed","52","0.887999304289671","0.808858611728565","0.967139996850776","2"
"No","2007","Hesse","Not Employed","344","0.87373816267156","0.8415093197058","0.905967005637319","2"
"No","2007","Hesse","Employed","559","0.826516238806855","0.798682701679579","0.854349775934131","2"
"No","2007","Rhineland-Palatinate,Saarland","Not Employed","348","0.91117939636766","0.883088940597254","0.939269852138066","2"
"No","2007","Rhineland-Palatinate,Saarland","Employed","491","0.829246369910493","0.798727501293738","0.859765238527248","2"
"No","2007","Baden-Württemberg","Not Employed","678","0.850046203883623","0.825459201691197","0.874633206076048","2"
"No","2007","Baden-Württemberg","Employed","997","0.782109113390917","0.759511775231781","0.804706451550052","2"
"No","2007","Bavaria","Not Employed","723","0.833850387682174","0.809117080102557","0.858583695261791","2"
"No","2007","Bavaria","Employed","1180","0.771648095817058","0.75068966637911","0.792606525255006","2"
"No","2007","Berlin","Not Employed","211","0.915416484556461","0.880212266676135","0.950620702436788","2"
"No","2007","Berlin","Employed","325","0.872746844319278","0.839371394464119","0.906122294174436","2"
"No","2007","Saxony-Anhalt","Not Employed","346","0.959994920246906","0.939862803650786","0.980127036843026","2"
"No","2007","Saxony-Anhalt","Employed","396","0.906866225042456","0.879803505001071","0.933928945083841","2"
"No","2007","Thuringia","Not Employed","373","0.971660057172318","0.955211933138264","0.988108181206372","2"
"No","2007","Thuringia","Employed","395","0.891542389683514","0.862938757893697","0.920146021473331","2"
"Yes","2007","Schleswig-Holstein","Not Employed","26","","","","1"
"Yes","2007","Schleswig-Holstein","Employed","49","0.149009245702725","0.108578757273387","0.189439734132064","1"
"Yes","2007","Hamburg","Not Employed","15","","","","1"
"Yes","2007","Hamburg","Employed","31","0.267510635489237","0.191708117640108","0.343313153338367","1"
"Yes","2007","Hesse","Not Employed","64","0.12626183732844","0.0940329943626806","0.1584906802942","1"
"Yes","2007","Hesse","Employed","152","0.173483761193145","0.145650224065869","0.201317298320421","1"
"Yes","2007","Rhineland-Palatinate,Saarland","Not Employed","46","0.08882060363234","0.0607301478619341","0.116911059402746","1"
"Yes","2007","Rhineland-Palatinate,Saarland","Employed","93","0.170753630089507","0.140234761472752","0.201272498706262","1"
"Yes","2007","Baden-Württemberg","Not Employed","132","0.149953796116378","0.125366793923953","0.174540798308803","1"
"Yes","2007","Baden-Württemberg","Employed","285","0.217890886609083","0.195293548449948","0.240488224768219","1"
"Yes","2007","Lower Saxony","Not Employed","73","0.113647262863479","0.0883151029890052","0.138979422737954","1"
"Yes","2007","Lower Saxony","Employed","196","0.20083371326765","0.175236648596547","0.226430777938754","1"
"Yes","2007","Bremen","Not Employed","9","","","","1"
"Yes","2007","Bremen","Employed","13","","","","1"
"Yes","2007","Bavaria","Not Employed","147","0.166149612317826","0.141416304738209","0.190882919897443","1"
"Yes","2007","Bavaria","Employed","361","0.228351904182942","0.207393474744994","0.24931033362089","1"
"Yes","2007","Berlin","Not Employed","29","","","","1"
"Yes","2007","Berlin","Employed","58","0.127253155680723","0.0938777058255645","0.160628605535881","1"
"Yes","2007","Brandenburg","Not Employed","31","0.0607021411269763","0.0364696899537863","0.0849345923001664","1"
"Yes","2007","Brandenburg","Employed","66","0.177841920485294","0.14144539748163","0.214238443488958","1"
"Yes","2007","Mecklenburg-Western Pomerania","Not Employed","13","","","","1"
"Yes","2007","Mecklenburg-Western Pomerania","Employed","24","","","","1"
"Yes","2007","Saxony","Not Employed","37","0.0580138039906972","0.0391348301548956","0.0768927778264988","1"
"Yes","2007","Saxony","Employed","124","0.140720036939368","0.1166388912223","0.164801182656436","1"
"Yes","2007","Saxony-Anhalt","Not Employed","18","","","","1"
"Yes","2007","Saxony-Anhalt","Employed","47","0.0931337749575437","0.0660710549161585","0.120196494998929","1"
"Yes","2007","Thuringia","Not Employed","18","","","","1"
"Yes","2007","Thuringia","Employed","59","0.108457610316486","0.0798539785266685","0.137061242106303","1"
"Yes","2007","North Rhine-Westphalia","Not Employed","225","0.140371400308383","0.122278374257792","0.158464426358973","1"
"Yes","2007","North Rhine-Westphalia","Employed","482","0.215001390183855","0.197182719561579","0.232820060806131","1"
"No","2008","Brandenburg","Not Employed","334","0.938199284421715","0.913597393861881","0.962801174981549","2"
"No","2008","Brandenburg","Employed","333","0.809646400573598","0.770980445723454","0.848312355423742","2"
"No","2008","Schleswig-Holstein","Not Employed","173","0.835482150059787","0.78545774136975","0.885506558749823","2"
"No","2008","Schleswig-Holstein","Employed","222","0.823700595165554","0.778330095877873","0.869071094453235","2"
"No","2008","Hamburg","Not Employed","85","0.769612109732142","0.689451515381276","0.849772704083008","2"
"No","2008","Hamburg","Employed","88","0.629269490252501","0.545920424180721","0.71261855632428","2"
"No","2008","Lower Saxony","Not Employed","490","0.834167349572851","0.804079534243429","0.864255164902273","2"
"No","2008","Lower Saxony","Employed","684","0.790571124748149","0.763942997502745","0.817199251993553","2"
"No","2008","Bremen","Not Employed","48","0.917775382765349","0.845175506789679","0.99037525874102","2"
"No","2008","Bremen","Employed","47","0.74554849949702","0.640469342103813","0.850627656890227","2"
"No","2008","North Rhine-Westphalia","Not Employed","1079","0.861646467793921","0.842884900112545","0.880408035475297","2"
"No","2008","North Rhine-Westphalia","Employed","1460","0.754809389805895","0.735734748687898","0.773884030923893","2"
"No","2008","Hesse","Not Employed","320","0.864028323363567","0.82965633741952","0.898400309307614","2"
"No","2008","Mecklenburg-Western Pomerania","Not Employed","184","0.967699833534704","0.942948832473201","0.992450834596207","2"
"No","2008","Mecklenburg-Western Pomerania","Employed","215","0.855141510213981","0.811425613793973","0.898857406633988","2"
"No","2008","Saxony","Not Employed","496","0.909189331908241","0.885109689740469","0.933268974076013","2"
"No","2008","Saxony","Employed","645","0.846672251264875","0.821499611106407","0.871844891423343","2"
"No","2008","Hesse","Employed","527","0.807100217011373","0.777594965294848","0.836605468727898","2"
"No","2008","Rhineland-Palatinate,Saarland","Not Employed","320","0.89936235403908","0.868624625641346","0.930100082436815","2"
"No","2008","Rhineland-Palatinate,Saarland","Employed","457","0.838905171171141","0.808041536085181","0.869768806257102","2"
"No","2008","Baden-Württemberg","Not Employed","600","0.787440760532471","0.7583734599156","0.816508061149341","2"
"No","2008","Baden-Württemberg","Employed","931","0.743376523856328","0.71915399485963","0.767599052853025","2"
"No","2008","Bavaria","Not Employed","652","0.806422869576147","0.779061346129015","0.833784393023278","2"
"No","2008","Bavaria","Employed","1075","0.728756173885514","0.706004985394684","0.751507362376344","2"
"No","2008","Berlin","Not Employed","192","0.870637285949962","0.826979837198228","0.914294734701696","2"
"No","2008","Berlin","Employed","296","0.828338017662656","0.790018725341451","0.866657309983861","2"
"No","2008","Saxony-Anhalt","Not Employed","309","0.945806886216267","0.921380208102579","0.970233564329956","2"
"No","2008","Saxony-Anhalt","Employed","375","0.868393297117412","0.836769569062361","0.900017025172464","2"
"No","2008","Thuringia","Not Employed","356","0.969788594468944","0.952464264040165","0.987112924897723","2"
"No","2008","Thuringia","Employed","377","0.849953680466285","0.81677352714551","0.883133833787059","2"
"Yes","2008","Schleswig-Holstein","Not Employed","38","0.164517849940213","0.114493441250177","0.21454225863025","1"
"Yes","2008","Schleswig-Holstein","Employed","49","0.176299404834446","0.130928905546765","0.221669904122127","1"
"Yes","2008","Hamburg","Not Employed","21","","","","1"
"Yes","2008","Hamburg","Employed","41","0.370730509747499","0.28738144367572","0.454079575819279","1"
"Yes","2008","Hesse","Not Employed","62","0.135971676636433","0.101599690692386","0.17034366258048","1"
"Yes","2008","Hesse","Employed","160","0.192899782988627","0.163394531272102","0.222405034705152","1"
"Yes","2008","Rhineland-Palatinate,Saarland","Not Employed","48","0.10063764596092","0.0698999175631854","0.131375374358654","1"
"Yes","2008","Rhineland-Palatinate,Saarland","Employed","88","0.161094828828859","0.130231193742898","0.191958463914819","1"
"Yes","2008","Baden-Württemberg","Not Employed","161","0.212559239467529","0.183491938850659","0.2416265400844","1"
"Yes","2008","Baden-Württemberg","Employed","318","0.256623476143672","0.232400947146975","0.28084600514037","1"
"Yes","2008","Bavaria","Not Employed","149","0.193577130423853","0.166215606976722","0.220938653870985","1"
"Yes","2008","Bavaria","Employed","392","0.271243826114486","0.248492637623656","0.293995014605316","1"
"Yes","2008","Berlin","Not Employed","35","0.129362714050038","0.0857052652983037","0.173020162801772","1"
"Yes","2008","Berlin","Employed","76","0.171661982337344","0.133342690016139","0.209981274658549","1"
"Yes","2008","Brandenburg","Not Employed","34","0.0618007155782848","0.0371988250184508","0.0864026061381188","1"
"Yes","2008","Brandenburg","Employed","63","0.190353599426402","0.151687644576258","0.229019554276546","1"
"Yes","2008","Mecklenburg-Western Pomerania","Not Employed","12","","","","1"
"Yes","2008","Mecklenburg-Western Pomerania","Employed","34","0.144858489786019","0.101142593366011","0.188574386206027","1"
"Yes","2008","Saxony","Not Employed","51","0.0908106680917588","0.0667310259239868","0.114890310259531","1"
"Yes","2008","Saxony","Employed","142","0.153327748735125","0.128155108576657","0.178500388893593","1"
"Yes","2008","Saxony-Anhalt","Not Employed","21","","","","1"
"Yes","2008","Saxony-Anhalt","Employed","64","0.131606702882588","0.0999829748275365","0.163230430937639","1"
"Yes","2008","Lower Saxony","Not Employed","97","0.165832650427149","0.135744835097727","0.195920465756571","1"
"Yes","2008","Lower Saxony","Employed","213","0.209428875251851","0.182800748006447","0.236057002497255","1"
"Yes","2008","Bremen","Not Employed","7","","","","1"
"Yes","2008","Bremen","Employed","19","","","","1"
"Yes","2008","North Rhine-Westphalia","Not Employed","222","0.138353532206079","0.119591964524703","0.157115099887454","1"
"Yes","2008","North Rhine-Westphalia","Employed","494","0.245190610194105","0.226115969076107","0.264265251312102","1"
"Yes","2008","Thuringia","Not Employed","19","","","","1"
"Yes","2008","Thuringia","Employed","68","0.150046319533716","0.116866166212941","0.18322647285449","1"
"No","2009","Schleswig-Holstein","Not Employed","","","","","2"
"No","2009","Schleswig-Holstein","Employed","","","","","2"
"No","2009","Brandenburg","Not Employed","","","","","2"
"No","2009","Brandenburg","Employed","","","","","2"
"No","2009","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"No","2009","Mecklenburg-Western Pomerania","Employed","","","","","2"
"No","2009","Saxony","Not Employed","","","","","2"
"No","2009","Saxony","Employed","","","","","2"
"No","2009","Hamburg","Not Employed","","","","","2"
"No","2009","Hamburg","Employed","","","","","2"
"No","2009","Lower Saxony","Not Employed","","","","","2"
"No","2009","Lower Saxony","Employed","","","","","2"
"No","2009","Bremen","Not Employed","","","","","2"
"No","2009","Bremen","Employed","","","","","2"
"No","2009","North Rhine-Westphalia","Not Employed","","","","","2"
