"ple0098_v5","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Yes","2004","Saxony-Anhalt","lower secondary degree","2","","",""
"Yes","2004","Saxony-Anhalt","secondary school degree","27","","",""
"Yes","2004","Saxony-Anhalt","college entrance qualification","16","","",""
"Yes","2004","Saxony-Anhalt","Other degree","","","",""
"Yes","2004","Saxony-Anhalt","no degree/no degree yet","1","","",""
"Yes","2004","Thuringia","lower secondary degree","9","","",""
"Yes","2004","Thuringia","secondary school degree","26","","",""
"Yes","2004","Thuringia","college entrance qualification","13","","",""
"Yes","2004","Thuringia","Other degree","","","",""
"Yes","2004","Thuringia","no degree/no degree yet","4","","",""
"No","2004","Schleswig-Holstein","lower secondary degree","230","0.946176045455158","0.917975707476236","0.974376383434081"
"No","2004","Schleswig-Holstein","secondary school degree","132","0.948740417519383","0.912595993723319","0.984884841315446"
"No","2004","Schleswig-Holstein","college entrance qualification","89","0.789390380427808","0.713193574765297","0.865587186090318"
"No","2004","Schleswig-Holstein","Other degree","23","","",""
"No","2004","Schleswig-Holstein","no degree/no degree yet","17","","",""
"No","2004","Hamburg","lower secondary degree","68","0.979752542311338","0.947219453977066","1.01228563064561"
"No","2004","Hamburg","secondary school degree","72","0.932001469411581","0.877513675163586","0.986489263659576"
"No","2004","Hamburg","college entrance qualification","52","0.817108290960492","0.724543141358678","0.909673440562306"
"No","2004","Hamburg","Other degree","9","","",""
"No","2004","Hamburg","no degree/no degree yet","9","","",""
"No","2004","Lower Saxony","lower secondary degree","586","0.932793898276941","0.913380799571799","0.952206996982084"
"No","2004","Lower Saxony","secondary school degree","416","0.840809956940984","0.808580546244626","0.873039367637343"
"No","2004","Lower Saxony","college entrance qualification","226","0.808486802238017","0.763198617498532","0.853774986977502"
"No","2004","Lower Saxony","Other degree","79","0.983772824100943","0.956425801633757","1.01111984656813"
"No","2004","Lower Saxony","no degree/no degree yet","68","0.925437805282977","0.865587662464525","0.985287948101429"
"No","2004","Bremen","lower secondary degree","48","0.928895075769142","0.860348718468597","0.997441433069687"
"No","2004","Bremen","secondary school degree","38","0.852462277167003","0.748845290768005","0.956079263566"
"No","2004","Bremen","college entrance qualification","25","","",""
"No","2004","Bremen","Other degree","13","","",""
"No","2004","Bremen","no degree/no degree yet","5","","",""
"No","2004","North Rhine-Westphalia","lower secondary degree","1369","0.889365176000958","0.873769343273159","0.904961008728757"
"No","2004","North Rhine-Westphalia","secondary school degree","670","0.803803994210693","0.776900696173352","0.830707292248033"
"No","2004","North Rhine-Westphalia","college entrance qualification","575","0.733860785257778","0.703630810213022","0.764090760302535"
"No","2004","North Rhine-Westphalia","Other degree","293","0.978697085089908","0.962412065576262","0.994982104603554"
"No","2004","North Rhine-Westphalia","no degree/no degree yet","171","0.949261982434459","0.917722728915246","0.980801235953672"
"No","2004","Hesse","lower secondary degree","402","0.96240523619478","0.944426608784892","0.980383863604667"
"No","2004","Hesse","secondary school degree","250","0.822691726975989","0.779473143483967","0.86591031046801"
"No","2004","Hesse","college entrance qualification","211","0.838796239209181","0.794185064493667","0.883407413924695"
"No","2004","Hesse","Other degree","113","0.991033077658503","0.973803884093884","1.00826227122312"
"No","2004","Hesse","no degree/no degree yet","47","0.951584994322964","0.890863666716364","1.01230632192956"
"No","2004","Rhineland-Palatinate,Saarland","lower secondary degree","517","0.906808352698393","0.882666714132667","0.930949991264119"
"No","2004","Rhineland-Palatinate,Saarland","secondary school degree","209","0.869140421193551","0.826650283235449","0.911630559151652"
"No","2004","Rhineland-Palatinate,Saarland","college entrance qualification","116","0.838401508269704","0.779299854446814","0.897503162092593"
"No","2004","Rhineland-Palatinate,Saarland","Other degree","82","0.968696538126233","0.931677196853937","1.00571587939853"
"No","2004","Rhineland-Palatinate,Saarland","no degree/no degree yet","43","0.973645824228371","0.927850157737889","1.01944149071885"
"No","2004","Baden-Württemberg","lower secondary degree","764","0.887079246411155","0.866012055269318","0.908146437552992"
"No","2004","Baden-Württemberg","secondary school degree","420","0.806115621375009","0.772233755043383","0.839997487706634"
"No","2004","Baden-Württemberg","college entrance qualification","296","0.730429814409336","0.687213696266148","0.773645932552524"
"No","2004","Baden-Württemberg","Other degree","261","0.955326094052957","0.93063872928722","0.980013458818694"
"No","2004","Baden-Württemberg","no degree/no degree yet","110","0.933817955651695","0.888578195292886","0.979057716010504"
"No","2004","Bavaria","lower secondary degree","1036","0.883273113269846","0.864842840095113","0.90170338644458"
"No","2004","Bavaria","secondary school degree","473","0.729152547432602","0.69405883514335","0.764246259721853"
"No","2004","Bavaria","college entrance qualification","314","0.754837111641081","0.713548141525554","0.796126081756607"
"No","2004","Bavaria","Other degree","144","0.976153258629843","0.951737175974642","1.00056934128504"
"No","2004","Bavaria","no degree/no degree yet","70","0.924300002522367","0.865597691474232","0.983002313570502"
"No","2004","Berlin","lower secondary degree","129","0.954146630742815","0.918862908578186","0.989430352907444"
"No","2004","Berlin","secondary school degree","218","0.946003779516317","0.916921247467819","0.975086311564816"
"No","2004","Berlin","college entrance qualification","190","0.869372883081529","0.82504353755064","0.913702228612419"
"No","2004","Berlin","Other degree","32","1","1","1"
"No","2004","Berlin","no degree/no degree yet","25","","",""
"No","2004","Brandenburg","lower secondary degree","255","0.970978369264858","0.950805254639094","0.991151483890622"
"No","2004","Brandenburg","secondary school degree","347","0.93047397696283","0.904522581385449","0.956425372540212"
"No","2004","Brandenburg","college entrance qualification","144","0.847374272743953","0.793314384868551","0.901434160619354"
"No","2004","Brandenburg","Other degree","12","","",""
"No","2004","Brandenburg","no degree/no degree yet","26","","",""
"No","2004","Mecklenburg-Western Pomerania","lower secondary degree","127","0.961026511578298","0.9278855757665","0.994167447390095"
"No","2004","Mecklenburg-Western Pomerania","secondary school degree","224","0.911297030294958","0.875099997148872","0.947494063441045"
"No","2004","Mecklenburg-Western Pomerania","college entrance qualification","61","0.978707178069306","0.94414081497949","1.01327354115912"
"No","2004","Mecklenburg-Western Pomerania","Other degree","8","","",""
"No","2004","Mecklenburg-Western Pomerania","no degree/no degree yet","14","","",""
"No","2004","Saxony","lower secondary degree","402","0.965057799768806","0.947411517890068","0.982704081647544"
"No","2004","Saxony","secondary school degree","618","0.920362086507607","0.899983571170519","0.940740601844696"
"No","2004","Saxony","college entrance qualification","252","0.919667464933511","0.888166328478361","0.951168601388662"
"No","2004","Saxony","Other degree","13","","",""
"No","2004","Saxony","no degree/no degree yet","44","0.933793639261761","0.861940708190155","1.00564657033337"
"No","2004","Saxony-Anhalt","lower secondary degree","294","0.998066147252121","0.993061268058241","1.003071026446"
"No","2004","Saxony-Anhalt","secondary school degree","329","0.934971820632968","0.909358071572547","0.96058556969339"
"No","2004","Saxony-Anhalt","college entrance qualification","145","0.919337954169092","0.877274264527905","0.961401643810279"
"No","2004","Saxony-Anhalt","Other degree","10","","",""
"No","2004","Saxony-Anhalt","no degree/no degree yet","29","","",""
"No","2004","Thuringia","lower secondary degree","291","0.979129368558729","0.962953213669541","0.995305523447918"
"No","2004","Thuringia","secondary school degree","362","0.944563614964553","0.921794545311767","0.967332684617338"
"No","2004","Thuringia","college entrance qualification","125","0.948309236271866","0.911369821343227","0.985248651200505"
"No","2004","Thuringia","Other degree","4","","",""
"No","2004","Thuringia","no degree/no degree yet","26","","",""
"Yes","2005","Schleswig-Holstein","lower secondary degree","10","","",""
"Yes","2005","Schleswig-Holstein","secondary school degree","14","","",""
"Yes","2005","Schleswig-Holstein","college entrance qualification","18","","",""
"Yes","2005","Schleswig-Holstein","Other degree","","","",""
"Yes","2005","Schleswig-Holstein","no degree/no degree yet","","","",""
"Yes","2005","Hamburg","lower secondary degree","3","","",""
"Yes","2005","Hamburg","secondary school degree","13","","",""
"Yes","2005","Hamburg","college entrance qualification","15","","",""
"Yes","2005","Hamburg","Other degree","","","",""
"Yes","2005","Hamburg","no degree/no degree yet","1","","",""
"Yes","2005","Lower Saxony","lower secondary degree","56","0.0845222339965166","0.0622644537601124","0.106780014232921"
"Yes","2005","Lower Saxony","secondary school degree","84","0.169415254581385","0.135645558521841","0.203184950640928"
"Yes","2005","Lower Saxony","college entrance qualification","64","0.201266177730573","0.153704933834077","0.248827421627068"
"Yes","2005","Lower Saxony","Other degree","3","","",""
"Yes","2005","Lower Saxony","no degree/no degree yet","4","","",""
"Yes","2005","Bremen","lower secondary degree","4","","",""
"Yes","2005","Bremen","secondary school degree","8","","",""
"Yes","2005","Bremen","college entrance qualification","5","","",""
"Yes","2005","Bremen","Other degree","","","",""
"Yes","2005","Bremen","no degree/no degree yet","","","",""
"Yes","2005","North Rhine-Westphalia","lower secondary degree","169","0.117353376972903","0.100759212313627","0.133947541632179"
"Yes","2005","North Rhine-Westphalia","secondary school degree","173","0.214526104522808","0.186186973992598","0.242865235053019"
"Yes","2005","North Rhine-Westphalia","college entrance qualification","242","0.292073971070121","0.260345440631124","0.323802501509117"
"Yes","2005","North Rhine-Westphalia","Other degree","10","","",""
"Yes","2005","North Rhine-Westphalia","no degree/no degree yet","13","","",""
"Yes","2005","Hesse","lower secondary degree","34","0.0729754596060936","0.0477376276427165","0.0982132915694707"
"Yes","2005","Hesse","secondary school degree","53","0.198026275429529","0.151348456531904","0.244704094327153"
"Yes","2005","Hesse","college entrance qualification","61","0.216349617923058","0.166774427029275","0.265924808816841"
"Yes","2005","Hesse","Other degree","4","","",""
"Yes","2005","Hesse","no degree/no degree yet","4","","",""
"Yes","2005","Rhineland-Palatinate,Saarland","lower secondary degree","50","0.127009883175557","0.0986343731194453","0.155385393231669"
"Yes","2005","Rhineland-Palatinate,Saarland","secondary school degree","38","0.140966053645937","0.0959935974983046","0.18593850979357"
"Yes","2005","Rhineland-Palatinate,Saarland","college entrance qualification","35","0.154094555147327","0.0940746578706227","0.214114452424032"
"Yes","2005","Rhineland-Palatinate,Saarland","Other degree","4","","",""
"Yes","2005","Rhineland-Palatinate,Saarland","no degree/no degree yet","1","","",""
"Yes","2005","Baden-Württemberg","lower secondary degree","109","0.140651019230864","0.116694150393591","0.164607888068137"
"Yes","2005","Baden-Württemberg","secondary school degree","113","0.24479991688436","0.206768369792387","0.282831463976332"
"Yes","2005","Baden-Württemberg","college entrance qualification","92","0.229393658447319","0.187558711612921","0.271228605281716"
"Yes","2005","Baden-Württemberg","Other degree","10","","",""
"Yes","2005","Baden-Württemberg","no degree/no degree yet","4","","",""
"Yes","2005","Bavaria","lower secondary degree","141","0.126486320353398","0.106762440411812","0.146210200294984"
"Yes","2005","Bavaria","secondary school degree","134","0.249721420242671","0.214615461394964","0.284827379090377"
"Yes","2005","Bavaria","college entrance qualification","104","0.25187834148136","0.209757257812274","0.293999425150445"
"Yes","2005","Bavaria","Other degree","8","","",""
"Yes","2005","Bavaria","no degree/no degree yet","9","","",""
"Yes","2005","Berlin","lower secondary degree","5","","",""
"Yes","2005","Berlin","secondary school degree","19","","",""
"Yes","2005","Berlin","college entrance qualification","24","","",""
"Yes","2005","Berlin","Other degree","","","",""
"Yes","2005","Berlin","no degree/no degree yet","2","","",""
"Yes","2005","Brandenburg","lower secondary degree","13","","",""
"Yes","2005","Brandenburg","secondary school degree","26","","",""
"Yes","2005","Brandenburg","college entrance qualification","29","","",""
"Yes","2005","Brandenburg","Other degree","","","",""
"Yes","2005","Brandenburg","no degree/no degree yet","2","","",""
"Yes","2005","Mecklenburg-Western Pomerania","lower secondary degree","1","","",""
"Yes","2005","Mecklenburg-Western Pomerania","secondary school degree","10","","",""
"Yes","2005","Mecklenburg-Western Pomerania","college entrance qualification","6","","",""
"Yes","2005","Mecklenburg-Western Pomerania","Other degree","","","",""
"Yes","2005","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Yes","2005","Saxony","lower secondary degree","17","","",""
"Yes","2005","Saxony","secondary school degree","62","0.0851919169357565","0.0638452733880297","0.106538560483483"
"Yes","2005","Saxony","college entrance qualification","49","0.130802365033324","0.0910946155972167","0.170510114469432"
"Yes","2005","Saxony","Other degree","","","",""
"Yes","2005","Saxony","no degree/no degree yet","1","","",""
"Yes","2005","Saxony-Anhalt","lower secondary degree","5","","",""
"Yes","2005","Saxony-Anhalt","secondary school degree","32","0.0736586371161968","0.045811079661955","0.101506194570439"
"Yes","2005","Saxony-Anhalt","college entrance qualification","17","","",""
"Yes","2005","Saxony-Anhalt","Other degree","","","",""
"Yes","2005","Saxony-Anhalt","no degree/no degree yet","1","","",""
"Yes","2005","Thuringia","lower secondary degree","10","","",""
"Yes","2005","Thuringia","secondary school degree","30","0.0709117664992267","0.0442860308954909","0.0975375021029626"
"Yes","2005","Thuringia","college entrance qualification","18","","",""
"Yes","2005","Thuringia","Other degree","","","",""
"Yes","2005","Thuringia","no degree/no degree yet","3","","",""
"No","2005","Schleswig-Holstein","lower secondary degree","223","0.962042008125525","0.937505160674999","0.98657885557605"
"No","2005","Schleswig-Holstein","secondary school degree","126","0.934255200686528","0.893201951320013","0.975308450053044"
"No","2005","Schleswig-Holstein","college entrance qualification","84","0.889750293628718","0.828968880086966","0.95053170717047"
"No","2005","Schleswig-Holstein","Other degree","20","","",""
"No","2005","Schleswig-Holstein","no degree/no degree yet","24","","",""
"No","2005","Hamburg","lower secondary degree","63","0.9286452669685","0.866542286878027","0.990748247058973"
"No","2005","Hamburg","secondary school degree","70","0.886145857709804","0.817811979602129","0.95447973581748"
"No","2005","Hamburg","college entrance qualification","61","0.75564777989326","0.659040657776537","0.852254902009983"
"No","2005","Hamburg","Other degree","9","","",""
"No","2005","Hamburg","no degree/no degree yet","10","","",""
"No","2005","Lower Saxony","lower secondary degree","544","0.915477766003484","0.893219985767079","0.937735546239888"
"No","2005","Lower Saxony","secondary school degree","390","0.830584745418615","0.796815049359072","0.864354441478159"
"No","2005","Lower Saxony","college entrance qualification","209","0.798733822269428","0.751172578372932","0.846295066165923"
"No","2005","Lower Saxony","Other degree","78","0.985446693139804","0.959366969009388","1.01152641727022"
"No","2005","Lower Saxony","no degree/no degree yet","67","0.92381276767243","0.862103272254899","0.985522263089961"
"No","2005","Bremen","lower secondary degree","39","0.944069111799004","0.875387320177718","1.01275090342029"
"No","2005","Bremen","secondary school degree","33","0.805411635872779","0.684233701262717","0.92658957048284"
"No","2005","Bremen","college entrance qualification","21","","",""
"No","2005","Bremen","Other degree","8","","",""
"No","2005","Bremen","no degree/no degree yet","9","","",""
"No","2005","North Rhine-Westphalia","lower secondary degree","1276","0.882646623027097","0.866052458367822","0.899240787686373"
"No","2005","North Rhine-Westphalia","secondary school degree","633","0.785473895477192","0.757134764946981","0.813813026007402"
"No","2005","North Rhine-Westphalia","college entrance qualification","547","0.707926028929879","0.676197498490883","0.739654559368876"
"No","2005","North Rhine-Westphalia","Other degree","287","0.963595518595529","0.942294779322995","0.984896257868063"
"No","2005","North Rhine-Westphalia","no degree/no degree yet","164","0.932249464496035","0.89522541692821","0.969273512063861"
"No","2005","Hesse","lower secondary degree","374","0.927024540393906","0.901786708430529","0.952262372357284"
"No","2005","Hesse","secondary school degree","227","0.801973724570471","0.755295905672847","0.848651543468096"
"No","2005","Hesse","college entrance qualification","204","0.783650382076942","0.734075191183159","0.833225572970725"
"No","2005","Hesse","Other degree","95","0.973622785476023","0.942055275676349","1.0051902952757"
"No","2005","Hesse","no degree/no degree yet","39","0.801633212047994","0.682444206918871","0.920822217177116"
"No","2005","Rhineland-Palatinate,Saarland","lower secondary degree","479","0.872990116824443","0.844614606768331","0.901365626880555"
"No","2005","Rhineland-Palatinate,Saarland","secondary school degree","192","0.859033946354063","0.81406149020643","0.904006402501695"
"No","2005","Rhineland-Palatinate,Saarland","college entrance qualification","104","0.845905444852673","0.785885547575968","0.905925342129377"
"No","2005","Rhineland-Palatinate,Saarland","Other degree","73","0.953351665728984","0.90624879639821","1.00045453505976"
"No","2005","Rhineland-Palatinate,Saarland","no degree/no degree yet","41","0.984555341274929","0.947261881943698","1.02184880060616"
"No","2005","Baden-Württemberg","lower secondary degree","700","0.859348980769136","0.835392111931863","0.883305849606409"
"No","2005","Baden-Württemberg","secondary school degree","378","0.75520008311564","0.717168536023668","0.793231630207613"
"No","2005","Baden-Württemberg","college entrance qualification","296","0.770606341552682","0.728771394718284","0.812441288387079"
"No","2005","Baden-Württemberg","Other degree","248","0.966534127562545","0.944588504762033","0.988479750363057"
"No","2005","Baden-Württemberg","no degree/no degree yet","129","0.965564358555741","0.934574687074717","0.996554030036765"
"No","2005","Bavaria","lower secondary degree","950","0.873513679646602","0.853789799705016","0.893237559588188"
"No","2005","Bavaria","secondary school degree","450","0.750278579757329","0.715172620909623","0.785384538605036"
"No","2005","Bavaria","college entrance qualification","304","0.74812165851864","0.706000574849555","0.790242742187726"
"No","2005","Bavaria","Other degree","127","0.9435331865935","0.90459672904352","0.98246964414348"
"No","2005","Bavaria","no degree/no degree yet","70","0.932383663148735","0.877015808957449","0.98775151734002"
"No","2005","Berlin","lower secondary degree","122","0.964105157761558","0.93175142021914","0.996458895303977"
"No","2005","Berlin","secondary school degree","194","0.926385445561938","0.891315427074567","0.961455464049309"
"No","2005","Berlin","college entrance qualification","187","0.881639571833023","0.838052703694794","0.925226439971251"
"No","2005","Berlin","Other degree","30","1","1","1"
"No","2005","Berlin","no degree/no degree yet","26","","",""
"No","2005","Brandenburg","lower secondary degree","219","0.954400408079651","0.927556243993247","0.981244572166055"
"No","2005","Brandenburg","secondary school degree","341","0.894174717912445","0.862702962349441","0.92564647347545"
"No","2005","Brandenburg","college entrance qualification","146","0.82210727714994","0.765447820659472","0.878766733640409"
"No","2005","Brandenburg","Other degree","10","","",""
"No","2005","Brandenburg","no degree/no degree yet","26","","",""
"No","2005","Mecklenburg-Western Pomerania","lower secondary degree","128","0.987803205520357","0.96886183915219","1.00674457188852"
"No","2005","Mecklenburg-Western Pomerania","secondary school degree","210","0.958648829838361","0.932339461226446","0.984958198450277"
"No","2005","Mecklenburg-Western Pomerania","college entrance qualification","59","0.9712021217585","0.930545951208977","1.01185829230802"
"No","2005","Mecklenburg-Western Pomerania","Other degree","8","","",""
"No","2005","Mecklenburg-Western Pomerania","no degree/no degree yet","17","","",""
"No","2005","Saxony","lower secondary degree","376","0.962812064680683","0.944104226223171","0.981519903138195"
"No","2005","Saxony","secondary school degree","595","0.914808083064244","0.893461439516517","0.93615472661197"
"No","2005","Saxony","college entrance qualification","228","0.869197634966676","0.829489885530568","0.908905384402783"
"No","2005","Saxony","Other degree","8","","",""
"No","2005","Saxony","no degree/no degree yet","37","0.98240651047664","0.940606354530192","1.02420666642309"
"No","2005","Saxony-Anhalt","lower secondary degree","271","0.982040717507786","0.966373106214611","0.997708328800961"
"No","2005","Saxony-Anhalt","secondary school degree","306","0.926341362883803","0.898493805429561","0.954188920338045"
"No","2005","Saxony-Anhalt","college entrance qualification","147","0.937511158701259","0.900467350603348","0.974554966799171"
"No","2005","Saxony-Anhalt","Other degree","11","","",""
"No","2005","Saxony-Anhalt","no degree/no degree yet","28","","",""
"No","2005","Thuringia","lower secondary degree","279","0.978892054074874","0.962319495689387","0.995464612460361"
"No","2005","Thuringia","secondary school degree","327","0.929088233500773","0.902462497897037","0.955713969104509"
"No","2005","Thuringia","college entrance qualification","120","0.920158729238273","0.874936325460207","0.965381133016339"
"No","2005","Thuringia","Other degree","4","","",""
"No","2005","Thuringia","no degree/no degree yet","18","","",""
"Yes","2006","Schleswig-Holstein","lower secondary degree","20","","",""
"Yes","2006","Schleswig-Holstein","secondary school degree","22","","",""
"Yes","2006","Schleswig-Holstein","college entrance qualification","31","0.241251099255489","0.164701811205546","0.317800387305433"
"Yes","2006","Schleswig-Holstein","Other degree","","","",""
"Yes","2006","Schleswig-Holstein","no degree/no degree yet","1","","",""
"Yes","2006","Hamburg","lower secondary degree","8","","",""
"Yes","2006","Hamburg","secondary school degree","14","","",""
"Yes","2006","Hamburg","college entrance qualification","17","","",""
"Yes","2006","Hamburg","Other degree","1","","",""
"Yes","2006","Hamburg","no degree/no degree yet","","","",""
"Yes","2006","Lower Saxony","lower secondary degree","62","0.0707970395741866","0.0513904298447105","0.0902036493036628"
"Yes","2006","Lower Saxony","secondary school degree","119","0.218681286299182","0.183289509154938","0.254073063443426"
"Yes","2006","Lower Saxony","college entrance qualification","77","0.240508566200817","0.192700011158303","0.288317121243331"
"Yes","2006","Lower Saxony","Other degree","2","","",""
"Yes","2006","Lower Saxony","no degree/no degree yet","3","","",""
"Yes","2006","Bremen","lower secondary degree","6","","",""
"Yes","2006","Bremen","secondary school degree","7","","",""
"Yes","2006","Bremen","college entrance qualification","5","","",""
"Yes","2006","Bremen","Other degree","","","",""
"Yes","2006","Bremen","no degree/no degree yet","","","",""
"Yes","2006","North Rhine-Westphalia","lower secondary degree","202","0.124868965564499","0.108283234317264","0.141454696811735"
"Yes","2006","North Rhine-Westphalia","secondary school degree","196","0.212191372814814","0.184476098604729","0.239906647024899"
"Yes","2006","North Rhine-Westphalia","college entrance qualification","286","0.324643679489422","0.293016387681094","0.356270971297749"
"Yes","2006","North Rhine-Westphalia","Other degree","14","","",""
"Yes","2006","North Rhine-Westphalia","no degree/no degree yet","8","","",""
"Yes","2006","Hesse","lower secondary degree","52","0.0847697970089582","0.0587437927710744","0.110795801246842"
"Yes","2006","Hesse","secondary school degree","73","0.208498371604861","0.163565879461005","0.253430863748717"
"Yes","2006","Hesse","college entrance qualification","73","0.246898762621163","0.196748286757276","0.297049238485049"
"Yes","2006","Hesse","Other degree","6","","",""
"Yes","2006","Hesse","no degree/no degree yet","1","","",""
"Yes","2006","Rhineland-Palatinate,Saarland","lower secondary degree","49","0.0912787378542776","0.0669874036503916","0.115570072058164"
"Yes","2006","Rhineland-Palatinate,Saarland","secondary school degree","42","0.183787036608306","0.135089820338158","0.232484252878455"
"Yes","2006","Rhineland-Palatinate,Saarland","college entrance qualification","35","0.163700310081029","0.105071903021198","0.222328717140859"
"Yes","2006","Rhineland-Palatinate,Saarland","Other degree","4","","",""
"Yes","2006","Rhineland-Palatinate,Saarland","no degree/no degree yet","2","","",""
"Yes","2006","Baden-Württemberg","lower secondary degree","124","0.115355282682474","0.0941524914761525","0.136558073888796"
"Yes","2006","Baden-Württemberg","secondary school degree","139","0.240508442682692","0.204919109821781","0.276097775543604"
"Yes","2006","Baden-Württemberg","college entrance qualification","136","0.284436782910423","0.242707415277036","0.326166150543811"
"Yes","2006","Baden-Württemberg","Other degree","11","","",""
"Yes","2006","Baden-Württemberg","no degree/no degree yet","4","","",""
"Yes","2006","Bavaria","lower secondary degree","189","0.148349925188622","0.128213829048554","0.16848602132869"
"Yes","2006","Bavaria","secondary school degree","186","0.319593897223197","0.283381129929503","0.355806664516892"
"Yes","2006","Bavaria","college entrance qualification","126","0.271291121720622","0.229980388189012","0.312601855252232"
"Yes","2006","Bavaria","Other degree","12","","",""
"Yes","2006","Bavaria","no degree/no degree yet","9","","",""
"Yes","2006","Berlin","lower secondary degree","9","","",""
"Yes","2006","Berlin","secondary school degree","26","","",""
"Yes","2006","Berlin","college entrance qualification","32","0.17946816977308","0.128173729578565","0.230762609967596"
"Yes","2006","Berlin","Other degree","1","","",""
"Yes","2006","Berlin","no degree/no degree yet","1","","",""
"Yes","2006","Brandenburg","lower secondary degree","21","","",""
"Yes","2006","Brandenburg","secondary school degree","43","0.160454104235365","0.123648492012454","0.197259716458276"
"Yes","2006","Brandenburg","college entrance qualification","28","","",""
"Yes","2006","Brandenburg","Other degree","1","","",""
"Yes","2006","Brandenburg","no degree/no degree yet","","","",""
"Yes","2006","Mecklenburg-Western Pomerania","lower secondary degree","2","","",""
"Yes","2006","Mecklenburg-Western Pomerania","secondary school degree","21","","",""
"Yes","2006","Mecklenburg-Western Pomerania","college entrance qualification","7","","",""
"Yes","2006","Mecklenburg-Western Pomerania","Other degree","","","",""
"Yes","2006","Mecklenburg-Western Pomerania","no degree/no degree yet","1","","",""
"Yes","2006","Saxony","lower secondary degree","16","","",""
"Yes","2006","Saxony","secondary school degree","76","0.120072702620749","0.0958195006180529","0.144325904623445"
"Yes","2006","Saxony","college entrance qualification","48","0.111796386026739","0.0763152981601755","0.147277473893302"
"Yes","2006","Saxony","Other degree","1","","",""
"Yes","2006","Saxony","no degree/no degree yet","1","","",""
"Yes","2006","Saxony-Anhalt","lower secondary degree","5","","",""
"Yes","2006","Saxony-Anhalt","secondary school degree","30","0.0684851375944647","0.0421367648367669","0.0948335103521625"
"Yes","2006","Saxony-Anhalt","college entrance qualification","26","","",""
"Yes","2006","Saxony-Anhalt","Other degree","","","",""
"Yes","2006","Saxony-Anhalt","no degree/no degree yet","","","",""
"Yes","2006","Thuringia","lower secondary degree","14","","",""
"Yes","2006","Thuringia","secondary school degree","36","0.064037416260175","0.0396459025596834","0.0884289299606666"
"Yes","2006","Thuringia","college entrance qualification","20","","",""
"Yes","2006","Thuringia","Other degree","","","",""
"Yes","2006","Thuringia","no degree/no degree yet","1","","",""
"No","2006","Schleswig-Holstein","lower secondary degree","215","0.927603133936383","0.894470562205312","0.960735705667454"
"No","2006","Schleswig-Holstein","secondary school degree","139","0.898175153478053","0.851461637819779","0.944888669136326"
"No","2006","Schleswig-Holstein","college entrance qualification","89","0.758748900744511","0.682199612694567","0.835298188794454"
"No","2006","Schleswig-Holstein","Other degree","18","","",""
"No","2006","Schleswig-Holstein","no degree/no degree yet","14","","",""
"No","2006","Hamburg","lower secondary degree","66","0.894146550837208","0.824051219843786","0.964241881830631"
"No","2006","Hamburg","secondary school degree","67","0.845956659738896","0.767342441132017","0.924570878345776"
"No","2006","Hamburg","college entrance qualification","57","0.679542644192353","0.573220014027104","0.785865274357603"
"No","2006","Hamburg","Other degree","15","","",""
"No","2006","Hamburg","no degree/no degree yet","5","","",""
"No","2006","Lower Saxony","lower secondary degree","609","0.929202960425813","0.909796350696337","0.948609570155289"
"No","2006","Lower Saxony","secondary school degree","405","0.781318713700818","0.745926936556574","0.816710490845062"
"No","2006","Lower Saxony","college entrance qualification","230","0.759491433799183","0.711682878756669","0.807299988841697"
"No","2006","Lower Saxony","Other degree","82","0.983075572895899","0.955491468434404","1.01065967735739"
"No","2006","Lower Saxony","no degree/no degree yet","49","0.970001099916536","0.923636640734936","1.01636555909814"
"No","2006","Bremen","lower secondary degree","38","0.930265258204341","0.855007764247744","1.00552275216094"
"No","2006","Bremen","secondary school degree","32","0.933384397824329","0.855125444507696","1.01164335114096"
"No","2006","Bremen","college entrance qualification","24","","",""
"No","2006","Bremen","Other degree","8","","",""
"No","2006","Bremen","no degree/no degree yet","4","","",""
"No","2006","North Rhine-Westphalia","lower secondary degree","1324","0.875131034435501","0.858545303188265","0.891716765682736"
"No","2006","North Rhine-Westphalia","secondary school degree","640","0.787808627185186","0.760093352975101","0.815523901395271"
"No","2006","North Rhine-Westphalia","college entrance qualification","556","0.675356320510578","0.643729028702251","0.706983612318906"
"No","2006","North Rhine-Westphalia","Other degree","298","0.96842287074074","0.94901894360396","0.987826797877519"
"No","2006","North Rhine-Westphalia","no degree/no degree yet","134","0.943342659001273","0.905317875480755","0.98136744252179"
"No","2006","Hesse","lower secondary degree","388","0.915230202991042","0.889204198753158","0.941256207228926"
"No","2006","Hesse","secondary school degree","241","0.791501628395139","0.746569136251283","0.836434120538995"
"No","2006","Hesse","college entrance qualification","211","0.753101237378837","0.702950761514951","0.803251713242724"
"No","2006","Hesse","Other degree","93","0.974306759747486","0.943140277199495","1.00547324229548"
"No","2006","Hesse","no degree/no degree yet","34","0.897647095159834","0.797227845928103","0.998066344391564"
"No","2006","Rhineland-Palatinate,Saarland","lower secondary degree","491","0.908721262145722","0.884429927941836","0.933012596349608"
"No","2006","Rhineland-Palatinate,Saarland","secondary school degree","201","0.816212963391694","0.767515747121545","0.864910179661842"
"No","2006","Rhineland-Palatinate,Saarland","college entrance qualification","118","0.836299689918971","0.777671282859141","0.894928096978802"
