"ple0098_v5","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Yes","2002","Couple + C. LE 16 ","vocational + Abi","53","0.122005324288226","0.0859192297407319","0.15809141883572","1"
"Yes","2002","Couple + C. LE 16 ","higher vocational","61","0.171666913023283","0.134896101746385","0.208437724300182","1"
"Yes","2002","Couple + C. LE 16 ","higher education","135","0.197652738360133","0.16858487809203","0.226720598628235","1"
"Yes","2002","Couple + C. GT 16 ","in school","26","","","","1"
"Yes","2002","Couple + C. GT 16 ","inadequately","1","","","","1"
"Yes","2002","Couple + C. GT 16 ","general elemantary","23","","","","1"
"Yes","2002","Couple + C. GT 16 ","middle vocational","197","0.0928166401078665","0.0791508543918137","0.106482425823919","1"
"Yes","2002","Couple + C. GT 16 ","vocational + Abi","15","","","","1"
"Yes","2002","Couple + C. GT 16 ","higher vocational","24","","","","1"
"Yes","2002","Couple + C. GT 16 ","higher education","96","0.218844385944143","0.180298907514841","0.257389864373446","1"
"Yes","2002","Couple + C. LE and GT 16","in school","12","","","","1"
"Yes","2002","Couple + C. LE and GT 16","inadequately","","","","","1"
"Yes","2002","Couple + C. LE and GT 16","general elemantary","16","","","","1"
"Yes","2002","Couple + C. LE and GT 16","middle vocational","66","0.0860492006135816","0.0655651107981735","0.10653329042899","1"
"Yes","2002","Couple + C. LE and GT 16","vocational + Abi","6","","","","1"
"Yes","2002","Couple + C. LE and GT 16","higher vocational","14","","","","1"
"Yes","2002","Couple + C. LE and GT 16","higher education","28","","","","1"
"No","2003","(Married) couple without C. ","middle vocational","3077","0.89046043319","0.88011213480631","0.900808731573689","2"
"No","2003","(Married) couple without C. ","vocational + Abi","243","0.839863212223301","0.798294905639554","0.881431518807049","2"
"No","2003","(Married) couple without C. ","higher vocational","441","0.88309438466949","0.854931033104371","0.911257736234608","2"
"No","2003","(Married) couple without C. ","higher education","847","0.80433154962937","0.780426854349335","0.828236244909406","2"
"No","2003","Couple + C. GT 16 ","in school","207","0.90027929180411","0.862132745386994","0.938425838221226","2"
"No","2003","Couple + C. GT 16 ","inadequately","60","0.971464198170076","0.929681968338307","1.01324642800185","2"
"No","2003","1-pers.-HH","inadequately","23","","","","2"
"No","2003","Couple + C. GT 16 ","general elemantary","493","0.960423600984233","0.943634294350367","0.977212907618098","2"
"No","2003","1-pers.-HH","vocational + Abi","132","0.859151137172577","0.804030550320167","0.914271724024988","2"
"No","2003","Couple + C. GT 16 ","middle vocational","1494","0.886209767150502","0.871051831290679","0.901367703010325","2"
"No","2003","Couple + C. GT 16 ","vocational + Abi","121","0.799698868755337","0.735219292430262","0.864178445080413","2"
"No","2003","1-pers.-HH","general elemantary","410","0.961927376302026","0.943733251407886","0.980121501196165","2"
"No","2003","1-pers.-HH","middle vocational","1307","0.903038817500117","0.887696741216221","0.918380893784013","2"
"No","2003","1-pers.-HH","in school","4","","","","2"
"No","2003","1-pers.-HH","higher vocational","171","0.883359744687827","0.838190767236031","0.928528722139622","2"
"No","2003","1-pers.-HH","higher education","288","0.83287934248863","0.793454044652592","0.872304640324669","2"
"No","2003","(Married) couple without C. ","in school","1","","","","2"
"No","2003","(Married) couple without C. ","inadequately","67","1","1","1","2"
"No","2003","(Married) couple without C. ","general elemantary","714","0.963928724582402","0.950547930491977","0.977309518672826","2"
"No","2003","Couple + C. GT 16 ","higher vocational","180","0.904907943801584","0.864455317191357","0.94536057041181","2"
"No","2003","Couple + C. LE and GT 16","middle vocational","608","0.895373073918477","0.872368331088766","0.918377816748188","2"
"No","2003","Couple + C. LE and GT 16","vocational + Abi","52","0.958200887849754","0.906246470803823","1.01015530489569","2"
"No","2003","Couple + C. LE and GT 16","higher vocational","83","0.907228140331264","0.848266032013181","0.966190248649347","2"
"No","2003","Couple + C. LE and GT 16","higher education","160","0.904016007408237","0.861220334168947","0.946811680647527","2"
"No","2003","Single parent ","in school","55","0.939681603382516","0.878411395927848","1.00095181083718","2"
"No","2003","Single parent ","inadequately","23","","","","2"
"No","2003","Single parent ","general elemantary","219","0.979186786706763","0.960491745725735","0.99788182768779","2"
"No","2003","Single parent ","middle vocational","469","0.921303488525248","0.897934382374968","0.944672594675528","2"
"No","2003","Single parent ","vocational + Abi","40","0.898440760648629","0.808155198511156","0.988726322786103","2"
"No","2003","Single parent ","higher vocational","41","0.927863076401865","0.852273382090922","1.00345277071281","2"
"No","2003","Single parent ","higher education","71","0.864709594817027","0.792421379455828","0.936997810178227","2"
"No","2003","Couple + C. LE 16 ","in school","","","","","2"
"No","2003","Couple + C. LE 16 ","inadequately","38","0.972473323147819","0.921124377801331","1.02382226849431","2"
"No","2003","Couple + C. LE 16 ","general elemantary","307","0.967929790594874","0.94853472351137","0.987324857678377","2"
"No","2003","Couple + C. LE 16 ","middle vocational","1750","0.883748493143794","0.869630299494552","0.897866686793037","2"
"No","2003","Couple + C. LE 16 ","vocational + Abi","252","0.852290099245562","0.812535635216404","0.892044563274719","2"
"No","2003","Couple + C. LE 16 ","higher vocational","313","0.81172039628562","0.772047076559968","0.851393716011271","2"
"No","2003","Couple + C. LE 16 ","higher education","508","0.795491847717066","0.764145083856627","0.826838611577506","2"
"No","2003","Couple + C. GT 16 ","higher education","324","0.726386514546722","0.683750551073893","0.769022478019551","2"
"No","2003","Couple + C. LE and GT 16","in school","177","0.973972897922599","0.950967723874472","0.996978071970726","2"
"No","2003","Couple + C. LE and GT 16","inadequately","24","","","","2"
"No","2003","Couple + C. LE and GT 16","general elemantary","280","0.949993430118295","0.925036675169162","0.974950185067428","2"
"Yes","2003","1-pers.-HH","in school","","","","","1"
"Yes","2003","1-pers.-HH","inadequately","","","","","1"
"Yes","2003","1-pers.-HH","general elemantary","15","","","","1"
"Yes","2003","1-pers.-HH","middle vocational","122","0.0969611824998828","0.0816191062159867","0.112303258783779","1"
"Yes","2003","1-pers.-HH","vocational + Abi","21","","","","1"
"Yes","2003","1-pers.-HH","higher vocational","23","","","","1"
"Yes","2003","1-pers.-HH","higher education","56","0.16712065751137","0.127695359675331","0.206545955347408","1"
"Yes","2003","(Married) couple without C. ","in school","","","","","1"
"Yes","2003","(Married) couple without C. ","inadequately","","","","","1"
"Yes","2003","(Married) couple without C. ","general elemantary","32","0.0360712754175985","0.0226904813271736","0.0494520695080235","1"
"Yes","2003","(Married) couple without C. ","middle vocational","422","0.10953956681","0.0991912684263106","0.11988786519369","1"
"Yes","2003","(Married) couple without C. ","vocational + Abi","56","0.160136787776699","0.118568481192951","0.201705094360446","1"
"Yes","2003","(Married) couple without C. ","higher vocational","59","0.11690561533051","0.0887422637653922","0.145068966895629","1"
"Yes","2003","(Married) couple without C. ","higher education","211","0.19566845037063","0.171763755090594","0.219573145650665","1"
"Yes","2003","Single parent ","in school","3","","","","1"
"Yes","2003","Single parent ","inadequately","1","","","","1"
"Yes","2003","Single parent ","general elemantary","5","","","","1"
"Yes","2003","Single parent ","middle vocational","41","0.0786965114747524","0.0553274053244725","0.102065617625032","1"
"Yes","2003","Single parent ","vocational + Abi","3","","","","1"
"Yes","2003","Single parent ","higher vocational","4","","","","1"
"Yes","2003","Single parent ","higher education","15","","","","1"
"Yes","2003","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2003","Couple + C. LE 16 ","inadequately","1","","","","1"
"Yes","2003","Couple + C. LE 16 ","general elemantary","10","","","","1"
"Yes","2003","Couple + C. LE 16 ","middle vocational","230","0.116251506856206","0.102133313206963","0.130369700505448","1"
"Yes","2003","Couple + C. LE 16 ","vocational + Abi","54","0.147709900754438","0.10795543672528","0.187464364783596","1"
"Yes","2003","Couple + C. LE 16 ","higher vocational","60","0.18827960371438","0.148606283988729","0.227952923440032","1"
"Yes","2003","Couple + C. LE 16 ","higher education","128","0.204508152282934","0.173161388422494","0.235854916143373","1"
"Yes","2003","Couple + C. GT 16 ","in school","30","0.0997207081958902","0.0615741617787745","0.137867254613006","1"
"Yes","2003","Couple + C. GT 16 ","inadequately","1","","","","1"
"Yes","2003","Couple + C. GT 16 ","general elemantary","25","","","","1"
"Yes","2003","Couple + C. GT 16 ","middle vocational","192","0.113790232849498","0.0986322969896753","0.128948168709321","1"
"Yes","2003","Couple + C. GT 16 ","vocational + Abi","27","","","","1"
"Yes","2003","Couple + C. GT 16 ","higher vocational","22","","","","1"
"Yes","2003","Couple + C. GT 16 ","higher education","96","0.273613485453278","0.230977521980449","0.316249448926107","1"
"Yes","2003","Couple + C. LE and GT 16","in school","7","","","","1"
"Yes","2003","Couple + C. LE and GT 16","inadequately","","","","","1"
"Yes","2003","Couple + C. LE and GT 16","general elemantary","13","","","","1"
"Yes","2003","Couple + C. LE and GT 16","middle vocational","72","0.104626926081523","0.081622183251812","0.127631668911234","1"
"Yes","2003","Couple + C. LE and GT 16","vocational + Abi","5","","","","1"
"Yes","2003","Couple + C. LE and GT 16","higher vocational","10","","","","1"
"Yes","2003","Couple + C. LE and GT 16","higher education","22","","","","1"
"No","2004","(Married) couple without C. ","middle vocational","3037","0.884427297089988","0.873791268686436","0.89506332549354","2"
"No","2004","(Married) couple without C. ","vocational + Abi","239","0.831262974678301","0.788882884501208","0.873643064855394","2"
"No","2004","(Married) couple without C. ","higher vocational","436","0.873285064159483","0.844243183060231","0.902326945258734","2"
"No","2004","(Married) couple without C. ","higher education","836","0.807469563677429","0.783654777661618","0.831284349693239","2"
"No","2004","1-pers.-HH","inadequately","19","","","","2"
"No","2004","1-pers.-HH","general elemantary","400","0.943121720798558","0.920997695774179","0.965245745822936","2"
"No","2004","1-pers.-HH","middle vocational","1264","0.898770135583299","0.882913197329065","0.914627073837533","2"
"No","2004","1-pers.-HH","vocational + Abi","124","0.858381222491908","0.801434678842792","0.915327766141025","2"
"No","2004","1-pers.-HH","higher vocational","152","0.857124312869381","0.806001715396172","0.908246910342589","2"
"No","2004","1-pers.-HH","higher education","293","0.82027787220109","0.780280843103488","0.860274901298692","2"
"No","2004","(Married) couple without C. ","in school","2","","","","2"
"No","2004","(Married) couple without C. ","inadequately","62","1","1","1","2"
"No","2004","(Married) couple without C. ","general elemantary","690","0.965063228878018","0.951678850400897","0.978447607355139","2"
"No","2004","Couple + C. GT 16 ","in school","195","0.949272498440205","0.91994020324431","0.9786047936361","2"
"No","2004","Couple + C. GT 16 ","inadequately","61","1","1","1","2"
"No","2004","Couple + C. GT 16 ","general elemantary","442","0.977686922751609","0.964247867533985","0.991125977969234","2"
"No","2004","Couple + C. GT 16 ","middle vocational","1478","0.877055041456109","0.861408559675799","0.89270152323642","2"
"No","2004","Couple + C. GT 16 ","vocational + Abi","131","0.769507606461932","0.705823918218699","0.833191294705166","2"
"No","2004","Couple + C. LE and GT 16","middle vocational","572","0.859060037030043","0.832185933119624","0.885934140940462","2"
"No","2004","Couple + C. LE and GT 16","vocational + Abi","51","0.975153631539912","0.934016431539429","1.0162908315404","2"
"No","2004","Couple + C. LE and GT 16","higher vocational","77","0.76859909225331","0.683794620920984","0.853403563585635","2"
"No","2004","Couple + C. LE and GT 16","higher education","154","0.841302280618735","0.787774042176207","0.894830519061262","2"
"No","2004","1-pers.-HH","in school","2","","","","2"
"No","2004","Couple + C. GT 16 ","higher vocational","164","0.911079969995312","0.870608466338302","0.951551473652323","2"
"No","2004","Couple + C. GT 16 ","higher education","325","0.712685840239521","0.669865804541258","0.755505875937784","2"
"No","2004","Couple + C. LE and GT 16","in school","193","0.943493876752288","0.912039562785069","0.974948190719507","2"
"No","2004","Couple + C. LE and GT 16","inadequately","31","1","1","1","2"
"No","2004","Couple + C. LE and GT 16","general elemantary","234","0.934719657726346","0.904281404204884","0.965157911247808","2"
"No","2004","Single parent ","in school","56","0.842118500422609","0.752785827314841","0.931451173530376","2"
"No","2004","Single parent ","inadequately","19","","","","2"
"No","2004","Single parent ","general elemantary","212","0.9291663668835","0.895342874050817","0.962989859716183","2"
"No","2004","Single parent ","middle vocational","448","0.916946528370502","0.892561883208679","0.941331173532325","2"
"No","2004","Single parent ","vocational + Abi","39","0.926931666417733","0.849145507927285","1.00471782490818","2"
"No","2004","Single parent ","higher vocational","39","0.858965083543232","0.756122534905405","0.961807632181059","2"
"No","2004","Single parent ","higher education","65","0.783528626649004","0.695456979583413","0.871600273714595","2"
"No","2004","Couple + C. LE 16 ","in school","","","","","2"
"No","2004","Couple + C. LE 16 ","inadequately","34","1","1","1","2"
"No","2004","Couple + C. LE 16 ","general elemantary","294","0.94782688904082","0.922829239304526","0.972824538777115","2"
"No","2004","Couple + C. LE 16 ","middle vocational","1621","0.893595152397296","0.87944804124606","0.907742263548532","2"
"No","2004","Couple + C. LE 16 ","vocational + Abi","243","0.856748146078185","0.816770815145461","0.896725477010909","2"
"No","2004","Couple + C. LE 16 ","higher vocational","299","0.800958676664511","0.759713466484054","0.842203886844968","2"
"No","2004","Couple + C. LE 16 ","higher education","444","0.778808359959705","0.744765213467682","0.812851506451728","2"
"Yes","2004","1-pers.-HH","in school","1","","","","1"
"Yes","2004","1-pers.-HH","inadequately","","","","","1"
"Yes","2004","1-pers.-HH","general elemantary","21","","","","1"
"Yes","2004","1-pers.-HH","middle vocational","126","0.101229864416701","0.0853729261624671","0.117086802670935","1"
"Yes","2004","1-pers.-HH","vocational + Abi","20","","","","1"
"Yes","2004","1-pers.-HH","higher vocational","28","","","","1"
"Yes","2004","1-pers.-HH","higher education","61","0.17972212779891","0.139725098701308","0.219719156896512","1"
"Yes","2004","(Married) couple without C. ","in school","","","","","1"
"Yes","2004","(Married) couple without C. ","inadequately","","","","","1"
"Yes","2004","(Married) couple without C. ","general elemantary","33","0.0349367711219816","0.0215523926448606","0.0483211495991026","1"
"Yes","2004","(Married) couple without C. ","middle vocational","434","0.115572702910012","0.10493667450646","0.126208731313564","1"
"Yes","2004","(Married) couple without C. ","vocational + Abi","61","0.168737025321699","0.126356935144605","0.211117115498792","1"
"Yes","2004","(Married) couple without C. ","higher vocational","68","0.126714935840517","0.0976730547412656","0.155756816939769","1"
"Yes","2004","(Married) couple without C. ","higher education","217","0.192530436322572","0.168715650306761","0.216345222338383","1"
"Yes","2004","Single parent ","in school","8","","","","1"
"Yes","2004","Single parent ","inadequately","","","","","1"
"Yes","2004","Single parent ","general elemantary","9","","","","1"
"Yes","2004","Single parent ","middle vocational","44","0.0830534716294984","0.0586688264676755","0.107438116791321","1"
"Yes","2004","Single parent ","vocational + Abi","4","","","","1"
"Yes","2004","Single parent ","higher vocational","5","","","","1"
"Yes","2004","Single parent ","higher education","19","","","","1"
"Yes","2004","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2004","Couple + C. LE 16 ","inadequately","","","","","1"
"Yes","2004","Couple + C. LE 16 ","general elemantary","10","","","","1"
"Yes","2004","Couple + C. LE 16 ","middle vocational","204","0.106404847602704","0.0922577364514682","0.12055195875394","1"
"Yes","2004","Couple + C. LE 16 ","vocational + Abi","52","0.143251853921815","0.103274522989091","0.183229184854539","1"
"Yes","2004","Couple + C. LE 16 ","higher vocational","61","0.199041323335489","0.157796113155032","0.240286533515946","1"
"Yes","2004","Couple + C. LE 16 ","higher education","127","0.221191640040295","0.187148493548272","0.255234786532318","1"
"Yes","2004","Couple + C. GT 16 ","in school","20","","","","1"
"Yes","2004","Couple + C. GT 16 ","inadequately","","","","","1"
"Yes","2004","Couple + C. GT 16 ","general elemantary","22","","","","1"
"Yes","2004","Couple + C. GT 16 ","middle vocational","214","0.12294495854389","0.10729847676358","0.138591440324201","1"
"Yes","2004","Couple + C. GT 16 ","vocational + Abi","37","0.230492393538068","0.166808705294834","0.294176081781301","1"
"Yes","2004","Couple + C. GT 16 ","higher vocational","26","","","","1"
"Yes","2004","Couple + C. GT 16 ","higher education","104","0.287314159760479","0.244494124062216","0.330134195458742","1"
"Yes","2004","Couple + C. LE and GT 16","in school","14","","","","1"
"Yes","2004","Couple + C. LE and GT 16","inadequately","","","","","1"
"Yes","2004","Couple + C. LE and GT 16","general elemantary","19","","","","1"
"Yes","2004","Couple + C. LE and GT 16","middle vocational","72","0.140939962969957","0.114065859059538","0.167814066880376","1"
"Yes","2004","Couple + C. LE and GT 16","vocational + Abi","4","","","","1"
"Yes","2004","Couple + C. LE and GT 16","higher vocational","18","","","","1"
"Yes","2004","Couple + C. LE and GT 16","higher education","25","","","","1"
"No","2005","1-pers.-HH","inadequately","25","","","","2"
"No","2005","1-pers.-HH","general elemantary","401","0.94512962890633","0.923427989395703","0.966831268416957","2"
"No","2005","1-pers.-HH","middle vocational","1232","0.868438656149454","0.85068833329804","0.886188979000869","2"
"No","2005","1-pers.-HH","vocational + Abi","130","0.806528827409521","0.744739090774493","0.86831856404455","2"
"No","2005","1-pers.-HH","higher vocational","140","0.812555454078155","0.753889445779256","0.871221462377053","2"
"No","2005","1-pers.-HH","higher education","291","0.782871118126356","0.740103219050694","0.825639017202018","2"
"No","2005","(Married) couple without C. ","in school","4","","","","2"
"No","2005","(Married) couple without C. ","inadequately","60","1","1","1","2"
"No","2005","(Married) couple without C. ","general elemantary","641","0.956087767497061","0.940572747875882","0.971602787118239","2"
"No","2005","(Married) couple without C. ","middle vocational","2849","0.866738461962298","0.855153540028352","0.878323383896243","2"
"No","2005","(Married) couple without C. ","vocational + Abi","222","0.791431171264192","0.745532922015811","0.837329420512574","2"
"No","2005","(Married) couple without C. ","higher vocational","405","0.854900321947822","0.823260387183756","0.886540256711888","2"
"No","2005","(Married) couple without C. ","higher education","821","0.792165502377725","0.767715886636794","0.816615118118656","2"
"No","2005","1-pers.-HH","in school","3","","","","2"
"No","2005","Couple + C. GT 16 ","in school","189","0.944077535818892","0.91239139206417","0.975763679573615","2"
"No","2005","Couple + C. GT 16 ","inadequately","47","1","1","1","2"
"No","2005","Couple + C. GT 16 ","general elemantary","395","0.950241384560717","0.929193557015696","0.971289212105739","2"
"No","2005","Couple + C. GT 16 ","middle vocational","1413","0.895638678820724","0.880662927161012","0.910614430480436","2"
"No","2005","Couple + C. GT 16 ","vocational + Abi","129","0.845622890048575","0.788742566214383","0.902503213882767","2"
"No","2005","Couple + C. LE and GT 16","middle vocational","528","0.880944095445753","0.85478997691355","0.907098213977956","2"
"No","2005","Couple + C. LE and GT 16","vocational + Abi","45","0.958954121263963","0.903962467210677","1.01394577531725","2"
"No","2005","Couple + C. LE and GT 16","higher vocational","70","0.774402059149671","0.685545509902895","0.863258608396447","2"
"No","2005","Couple + C. LE and GT 16","higher education","157","0.757567996847347","0.697875288934753","0.817260704759941","2"
"No","2005","Couple + C. GT 16 ","higher vocational","150","0.852816787977967","0.799869846685892","0.905763729270042","2"
"No","2005","Couple + C. GT 16 ","higher education","302","0.794437008201859","0.754381530928507","0.83449248547521","2"
"No","2005","Couple + C. LE and GT 16","in school","179","0.878892947054668","0.833449820527678","0.924336073581657","2"
"No","2005","Couple + C. LE and GT 16","inadequately","29","","","","2"
"No","2005","Couple + C. LE and GT 16","general elemantary","223","0.960024273521301","0.934923942337347","0.985124604705256","2"
"No","2005","Single parent ","in school","84","0.946651356354263","0.899429268312257","0.993873444396268","2"
"No","2005","Single parent ","inadequately","19","","","","2"
"No","2005","Single parent ","general elemantary","198","0.930803449685362","0.896062444939272","0.965544454431452","2"
"No","2005","Single parent ","middle vocational","450","0.904701728889881","0.878913076951469","0.930490380828293","2"
"No","2005","Single parent ","vocational + Abi","37","0.941239181941218","0.868358569941133","1.0141197939413","2"
"No","2005","Single parent ","higher vocational","40","0.89859698412315","0.810400809564918","0.986793158681382","2"
"No","2005","Single parent ","higher education","69","0.833348991134447","0.755041033847464","0.911656948421431","2"
"No","2005","Couple + C. LE 16 ","in school","2","","","","2"
"No","2005","Couple + C. LE 16 ","inadequately","33","0.93569559774506","0.853244531092548","1.01814666439757","2"
"No","2005","Couple + C. LE 16 ","general elemantary","249","0.951416840057182","0.925580227706823","0.97725345240754","2"
"No","2005","Couple + C. LE 16 ","middle vocational","1386","0.85530132546674","0.838285486627418","0.872317164306062","2"
"No","2005","Couple + C. LE 16 ","vocational + Abi","225","0.805613308774272","0.759830364078551","0.851396253469994","2"
"No","2005","Couple + C. LE 16 ","higher vocational","279","0.823950040507316","0.78340696909314","0.864493111921491","2"
"No","2005","Couple + C. LE 16 ","higher education","413","0.832047085802778","0.799603359665319","0.864490811940238","2"
"Yes","2005","1-pers.-HH","in school","","","","","1"
"Yes","2005","1-pers.-HH","inadequately","","","","","1"
"Yes","2005","1-pers.-HH","general elemantary","22","","","","1"
"Yes","2005","1-pers.-HH","middle vocational","161","0.131561343850546","0.113811020999131","0.14931166670196","1"
"Yes","2005","1-pers.-HH","vocational + Abi","27","","","","1"
"Yes","2005","1-pers.-HH","higher vocational","30","0.187444545921845","0.128778537622947","0.246110554220744","1"
"Yes","2005","1-pers.-HH","higher education","66","0.217128881873644","0.174360982797982","0.259896780949306","1"
"Yes","2005","(Married) couple without C. ","in school","","","","","1"
"Yes","2005","(Married) couple without C. ","inadequately","","","","","1"
"Yes","2005","(Married) couple without C. ","general elemantary","29","","","","1"
"Yes","2005","(Married) couple without C. ","middle vocational","457","0.133261538037702","0.121676616103757","0.144846459971648","1"
"Yes","2005","(Married) couple without C. ","vocational + Abi","79","0.208568828735807","0.162670579487425","0.254467077984189","1"
"Yes","2005","(Married) couple without C. ","higher vocational","71","0.145099678052178","0.113459743288113","0.176739612816244","1"
"Yes","2005","(Married) couple without C. ","higher education","237","0.207834497622275","0.183384881881344","0.232284113363206","1"
"Yes","2005","Single parent ","in school","3","","","","1"
"Yes","2005","Single parent ","inadequately","","","","","1"
"Yes","2005","Single parent ","general elemantary","7","","","","1"
"Yes","2005","Single parent ","middle vocational","48","0.0952982711101189","0.0695096191717067","0.121086923048531","1"
"Yes","2005","Single parent ","vocational + Abi","3","","","","1"
"Yes","2005","Single parent ","higher vocational","5","","","","1"
"Yes","2005","Single parent ","higher education","18","","","","1"
"Yes","2005","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2005","Couple + C. LE 16 ","inadequately","1","","","","1"
"Yes","2005","Couple + C. LE 16 ","general elemantary","17","","","","1"
"Yes","2005","Couple + C. LE 16 ","middle vocational","256","0.14469867453326","0.127682835693938","0.161714513372582","1"
"Yes","2005","Couple + C. LE 16 ","vocational + Abi","62","0.194386691225728","0.148603746530006","0.240169635921449","1"
"Yes","2005","Couple + C. LE 16 ","higher vocational","60","0.176049959492684","0.135506888078509","0.21659303090686","1"
"Yes","2005","Couple + C. LE 16 ","higher education","97","0.167952914197222","0.135509188059762","0.200396640334681","1"
"Yes","2005","Couple + C. GT 16 ","in school","13","","","","1"
"Yes","2005","Couple + C. GT 16 ","inadequately","","","","","1"
"Yes","2005","Couple + C. GT 16 ","general elemantary","15","","","","1"
"Yes","2005","Couple + C. GT 16 ","middle vocational","188","0.104361321179276","0.0893855695195645","0.119337072838988","1"
"Yes","2005","Couple + C. GT 16 ","vocational + Abi","26","","","","1"
"Yes","2005","Couple + C. GT 16 ","higher vocational","22","","","","1"
"Yes","2005","Couple + C. GT 16 ","higher education","89","0.205562991798141","0.16550751452479","0.245618469071493","1"
"Yes","2005","Couple + C. LE and GT 16","in school","19","","","","1"
"Yes","2005","Couple + C. LE and GT 16","inadequately","","","","","1"
"Yes","2005","Couple + C. LE and GT 16","general elemantary","11","","","","1"
"Yes","2005","Couple + C. LE and GT 16","middle vocational","61","0.119055904554247","0.0929017860220436","0.14521002308645","1"
"Yes","2005","Couple + C. LE and GT 16","vocational + Abi","5","","","","1"
"Yes","2005","Couple + C. LE and GT 16","higher vocational","15","","","","1"
"Yes","2005","Couple + C. LE and GT 16","higher education","41","0.242432003152653","0.182739295240059","0.302124711065247","1"
"No","2006","1-pers.-HH","in school","5","","","","2"
"No","2006","1-pers.-HH","inadequately","28","","","","2"
"No","2006","1-pers.-HH","general elemantary","449","0.948552045632028","0.928706673234738","0.968397418029318","2"
"No","2006","1-pers.-HH","middle vocational","1369","0.873336155289753","0.856815744661972","0.889856565917535","2"
"No","2006","1-pers.-HH","vocational + Abi","136","0.759883067029195","0.696046629193759","0.823719504864632","2"
"No","2006","1-pers.-HH","higher vocational","163","0.819458566744877","0.765610266614179","0.873306866875575","2"
"No","2006","1-pers.-HH","higher education","315","0.726009117106967","0.683098660501238","0.768919573712696","2"
"No","2006","(Married) couple without C. ","in school","5","","","","2"
"No","2006","(Married) couple without C. ","inadequately","69","1","1","1","2"
"No","2006","(Married) couple without C. ","general elemantary","665","0.944390247959984","0.92750984971464","0.961270646205329","2"
"No","2006","(Married) couple without C. ","middle vocational","3166","0.856760143838015","0.845546366293069","0.86797392138296","2"
"No","2006","(Married) couple without C. ","vocational + Abi","226","0.760757564228407","0.713570222282386","0.807944906174428","2"
"No","2006","(Married) couple without C. ","higher vocational","456","0.854464600789462","0.824804027934042","0.884125173644881","2"
"No","2006","(Married) couple without C. ","higher education","891","0.761013994366545","0.736935067679845","0.785092921053245","2"
"No","2006","Couple + C. LE and GT 16","middle vocational","465","0.859548734930716","0.830351164039783","0.888746305821649","2"
"No","2006","Couple + C. LE and GT 16","vocational + Abi","50","0.929176455712494","0.86315698761784","0.995195923807148","2"
"No","2006","Couple + C. LE and GT 16","higher vocational","65","0.806967598912058","0.723063769387149","0.890871428436967","2"
"No","2006","Couple + C. LE and GT 16","higher education","138","0.751633608217936","0.687435389765789","0.815831826670083","2"
"No","2006","Couple + C. GT 16 ","in school","109","0.945983093655815","0.905368589865214","0.986597597446416","2"
"No","2006","Couple + C. GT 16 ","inadequately","44","0.979068912850518","0.937243103099172","1.02089472260186","2"
"No","2006","Couple + C. GT 16 ","general elemantary","399","0.941722797162751","0.919344969015069","0.964100625310432","2"
"No","2006","Couple + C. GT 16 ","middle vocational","1441","0.87366212997377","0.857742291703726","0.889581968243815","2"
"No","2006","Couple + C. GT 16 ","vocational + Abi","115","0.766060183393135","0.698313821287384","0.833806545498885","2"
"No","2006","Couple + C. GT 16 ","higher vocational","151","0.862993674801351","0.811902300829334","0.914085048773368","2"
"No","2006","Couple + C. GT 16 ","higher education","321","0.790435834551035","0.751183554680707","0.829688114421363","2"
"No","2006","Couple + C. LE and GT 16","in school","96","0.884773345264599","0.823110725673169","0.946435964856029","2"
"No","2006","Couple + C. LE and GT 16","inadequately","28","","","","2"
"No","2006","Couple + C. LE and GT 16","general elemantary","200","0.965954914482439","0.941486123773818","0.990423705191061","2"
"No","2006","Single parent ","in school","42","0.82476910862163","0.713694865556142","0.935843351687118","2"
"No","2006","Single parent ","inadequately","23","","","","2"
"No","2006","Single parent ","general elemantary","198","0.95960062118548","0.932842905954004","0.986358336416955","2"
"No","2006","Single parent ","middle vocational","483","0.87882405124622","0.851401502160581","0.90624660033186","2"
"No","2006","Single parent ","vocational + Abi","38","0.907284465077727","0.820595891922571","0.993973038232882","2"
"No","2006","Single parent ","higher vocational","40","0.890270349139161","0.800914679182217","0.979626019096106","2"
"No","2006","Single parent ","higher education","83","0.74708072395358","0.665477076196912","0.828684371710249","2"
"No","2006","Couple + C. LE 16 ","in school","","","","","2"
"No","2006","Couple + C. LE 16 ","inadequately","26","","","","2"
"No","2006","Couple + C. LE 16 ","general elemantary","254","0.965557603592326","0.94360121398429","0.987513993200362","2"
"No","2006","Couple + C. LE 16 ","middle vocational","1410","0.833972239752082","0.816402246115303","0.851542233388862","2"
"No","2006","Couple + C. LE 16 ","vocational + Abi","245","0.742355579034822","0.695662823922163","0.789048334147481","2"
"No","2006","Couple + C. LE 16 ","higher vocational","261","0.790784515225345","0.746426426969402","0.835142603481289","2"
"No","2006","Couple + C. LE 16 ","higher education","435","0.801441523002677","0.768490110953399","0.834392935051954","2"
"Yes","2006","1-pers.-HH","in school","","","","","1"
"Yes","2006","1-pers.-HH","inadequately","","","","","1"
"Yes","2006","1-pers.-HH","general elemantary","27","","","","1"
