"ple0098_v5","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2011","general elemantary","Rural Area","60","0.0769186059362495","0.0574281692436866","0.0964090426288124"
"Yes","2011","middle vocational","Urban Area","1326","0.220045168839514","0.209434611363752","0.230655726315275"
"Yes","2011","middle vocational","Rural Area","632","0.166577508913154","0.154581516752978","0.17857350107333"
"Yes","2011","vocational + Abi","Urban Area","276","0.341527089203023","0.308541869988798","0.374512308417249"
"Yes","2011","vocational + Abi","Rural Area","75","0.263475566578339","0.213460170559974","0.313490962596704"
"Yes","2011","higher vocational","Urban Area","212","0.274215508404938","0.241629460526384","0.306801556283491"
"Yes","2011","higher vocational","Rural Area","99","0.150543382164222","0.119198652733622","0.181888111594822"
"Yes","2011","higher education","Urban Area","723","0.344337581761573","0.323873587765135","0.364801575758012"
"Yes","2011","higher education","Rural Area","265","0.308203456749312","0.278669390728012","0.337737522770612"
"No","2011","in school","Urban Area","148","0.839523892622388","0.786344390500363","0.892703394744413"
"No","2011","in school","Rural Area","62","0.992027260213324","0.970066700016046","1.0139878204106"
"No","2011","inadequately","Urban Area","158","0.99423697842627","0.982508054263255","1.00596590258929"
"No","2011","inadequately","Rural Area","62","0.98406715507086","0.953389854815945","1.01474445532577"
"No","2011","general elemantary","Urban Area","1251","0.904192198831599","0.888668969766444","0.919715427896753"
"No","2011","general elemantary","Rural Area","658","0.92308139406375","0.903590957371188","0.942571830756313"
"No","2011","middle vocational","Urban Area","4530","0.779954831160486","0.769344273684725","0.790565388636248"
"No","2011","middle vocational","Rural Area","3074","0.833422491086846","0.82142649892667","0.845418483247022"
"No","2011","vocational + Abi","Urban Area","518","0.658472910796977","0.625487691582751","0.691458130011202"
"No","2011","vocational + Abi","Rural Area","223","0.736524433421661","0.686509037403296","0.786539829440026"
"No","2011","higher vocational","Urban Area","508","0.725784491595063","0.693198443716509","0.758370539473616"
"No","2011","higher vocational","Rural Area","401","0.849456617835778","0.818111888405178","0.880801347266378"
"No","2011","higher education","Urban Area","1348","0.655662418238427","0.635198424241988","0.676126412234865"
"No","2011","higher education","Rural Area","674","0.691796543250688","0.662262477229388","0.721330609271988"
"Yes","2012","in school","Urban Area","35","0.117929134500385","0.0793152948781048","0.156542974122666"
"Yes","2012","in school","Rural Area","8","","",""
"Yes","2012","inadequately","Urban Area","3","","",""
"Yes","2012","inadequately","Rural Area","7","","",""
"Yes","2012","general elemantary","Urban Area","185","0.109131936819381","0.0947634367596207","0.123500436879141"
"Yes","2012","general elemantary","Rural Area","87","0.0748209403666693","0.0584976653135538","0.0911442154197848"
"Yes","2012","middle vocational","Urban Area","1738","0.232561931427517","0.222929923001042","0.242193939853992"
"Yes","2012","middle vocational","Rural Area","957","0.175822598128378","0.16541080417544","0.186234392081316"
"Yes","2012","vocational + Abi","Urban Area","422","0.29858150769746","0.273627696015433","0.323535319379486"
"Yes","2012","vocational + Abi","Rural Area","140","0.258666416754695","0.22102869910279","0.296304134406599"
"Yes","2012","higher vocational","Urban Area","271","0.299769419283965","0.269635486987508","0.329903351580422"
"Yes","2012","higher vocational","Rural Area","141","0.208167774418835","0.176762404536219","0.239573144301451"
"Yes","2012","higher education","Urban Area","979","0.334771691181879","0.31764046157965","0.351902920784109"
"Yes","2012","higher education","Rural Area","344","0.27434163816536","0.249325258819265","0.299358017511455"
"No","2012","in school","Urban Area","233","0.882070865499615","0.843457025877334","0.920684705121895"
"No","2012","in school","Rural Area","112","0.953049711566329","0.915202457338153","0.990896965794506"
"No","2012","inadequately","Urban Area","258","0.988052336431354","0.974871004257208","1.0012336686055"
"No","2012","inadequately","Rural Area","113","0.949539062856966","0.910374657060864","0.988703468653069"
"No","2012","general elemantary","Urban Area","1624","0.890868063180619","0.876499563120859","0.905236563240379"
"No","2012","general elemantary","Rural Area","911","0.925179059633331","0.908855784580215","0.941502334686446"
"No","2012","middle vocational","Urban Area","5652","0.767438068572483","0.757806060146008","0.777070076998958"
"No","2012","middle vocational","Rural Area","4178","0.824177401871622","0.813765607918683","0.83458919582456"
"No","2012","vocational + Abi","Urban Area","870","0.70141849230254","0.676464680620513","0.726372303984567"
"No","2012","vocational + Abi","Rural Area","380","0.741333583245305","0.703695865593401","0.77897130089721"
"No","2012","higher vocational","Urban Area","617","0.700230580716035","0.670096648419578","0.730364513012491"
"No","2012","higher vocational","Rural Area","501","0.791832225581165","0.760426855698549","0.823237595463781"
"No","2012","higher education","Urban Area","1936","0.665228308818121","0.648097079215891","0.68235953842035"
"No","2012","higher education","Rural Area","878","0.72565836183464","0.700641982488545","0.750674741180735"
"Yes","2013","in school","Urban Area","31","0.160155281254836","0.101267514192629","0.219043048317043"
"Yes","2013","in school","Rural Area","11","","",""
"Yes","2013","inadequately","Urban Area","3","","",""
"Yes","2013","inadequately","Rural Area","5","","",""
"Yes","2013","general elemantary","Urban Area","131","0.114790999174461","0.0966872285296898","0.132894769819233"
"Yes","2013","general elemantary","Rural Area","51","0.0859068035278747","0.0635030970973416","0.108310509958408"
"Yes","2013","middle vocational","Urban Area","1375","0.258749208597953","0.246849309520598","0.270649107675308"
"Yes","2013","middle vocational","Rural Area","664","0.189590576751899","0.176501346937896","0.202679806565902"
"Yes","2013","vocational + Abi","Urban Area","280","0.361445646589596","0.326523468738515","0.396367824440677"
"Yes","2013","vocational + Abi","Rural Area","83","0.296765863300709","0.243256963810986","0.350274762790432"
"Yes","2013","higher vocational","Urban Area","205","0.300112168546312","0.264743048296926","0.335481288795698"
"Yes","2013","higher vocational","Rural Area","104","0.217491911216081","0.179668912012502","0.255314910419659"
"Yes","2013","higher education","Urban Area","744","0.365468692312344","0.344728649014573","0.386208735610114"
"Yes","2013","higher education","Rural Area","280","0.307863354443087","0.277502322511057","0.338224386375116"
"No","2013","in school","Urban Area","118","0.839844718745164","0.780956951682957","0.898732485807371"
"No","2013","in school","Rural Area","53","0.670488858586929","0.555332230808124","0.785645486365734"
"No","2013","inadequately","Urban Area","122","0.993960514294024","0.980378079478934","1.00754294910911"
"No","2013","inadequately","Rural Area","59","0.929670511592311","0.867024797942376","0.992316225242246"
"No","2013","general elemantary","Urban Area","1060","0.885209000825539","0.867105230180767","0.90331277147031"
"No","2013","general elemantary","Rural Area","550","0.914093196472125","0.891689490041592","0.936496902902658"
"No","2013","middle vocational","Urban Area","3828","0.741250791402047","0.729350892324692","0.753150690479402"
"No","2013","middle vocational","Rural Area","2781","0.810409423248101","0.797320193434098","0.823498653062104"
"No","2013","vocational + Abi","Urban Area","447","0.638554353410404","0.603632175559323","0.673476531261485"
"No","2013","vocational + Abi","Rural Area","197","0.703234136699291","0.649725237209568","0.756743036189014"
"No","2013","higher vocational","Urban Area","440","0.699887831453688","0.664518711204302","0.735256951703074"
"No","2013","higher vocational","Rural Area","353","0.782508088783919","0.744685089580341","0.820331087987498"
"No","2013","higher education","Urban Area","1327","0.634531307687656","0.613791264389886","0.655271350985427"
"No","2013","higher education","Rural Area","608","0.692136645556913","0.661775613624884","0.722497677488943"
"Yes","2014","in school","Urban Area","29","","",""
"Yes","2014","in school","Rural Area","17","","",""
"Yes","2014","inadequately","Urban Area","9","","",""
"Yes","2014","inadequately","Rural Area","6","","",""
"Yes","2014","general elemantary","Urban Area","179","0.106490591002484","0.0930918377944767","0.119889344210491"
"Yes","2014","general elemantary","Rural Area","92","0.104844140325442","0.0857125361586465","0.123975744492237"
"Yes","2014","middle vocational","Urban Area","1686","0.243543488430671","0.233558909674222","0.25352806718712"
"Yes","2014","middle vocational","Rural Area","958","0.213231149158282","0.201366385292823","0.22509591302374"
"Yes","2014","vocational + Abi","Urban Area","426","0.298399364967592","0.274414435850879","0.322384294084306"
"Yes","2014","vocational + Abi","Rural Area","140","0.299188298393279","0.260167762526028","0.33820883426053"
"Yes","2014","higher vocational","Urban Area","259","0.316799311034268","0.284480318132188","0.349118303936348"
"Yes","2014","higher vocational","Rural Area","134","0.235097935025695","0.199560854056337","0.270635015995053"
"Yes","2014","higher education","Urban Area","1019","0.348807404699002","0.332258365678207","0.365356443719798"
"Yes","2014","higher education","Rural Area","367","0.320065727735318","0.293813223134868","0.346318232335767"
"No","2014","in school","Urban Area","230","0.87376247939738","0.833315216969935","0.914209741824826"
"No","2014","in school","Rural Area","120","0.896962726541918","0.846056350116678","0.947869102967158"
"No","2014","inadequately","Urban Area","343","0.978121106740395","0.962838911305214","0.993403302175577"
"No","2014","inadequately","Rural Area","134","0.952566788334113","0.917356218250239","0.987777358417988"
"No","2014","general elemantary","Urban Area","1857","0.893509408997516","0.880110655789509","0.906908162205523"
"No","2014","general elemantary","Rural Area","893","0.895155859674558","0.876024255507763","0.914287463841354"
"No","2014","middle vocational","Urban Area","5413","0.756456511569329","0.74647193281288","0.766441090325778"
"No","2014","middle vocational","Rural Area","3620","0.786768850841718","0.77490408697626","0.798633614707177"
"No","2014","vocational + Abi","Urban Area","972","0.701600635032408","0.677615705915694","0.725585564149121"
"No","2014","vocational + Abi","Rural Area","389","0.700811701606721","0.66179116573947","0.739832237473972"
"No","2014","higher vocational","Urban Area","537","0.683200688965732","0.650881696063652","0.715519681867812"
"No","2014","higher vocational","Rural Area","413","0.764902064974305","0.729364984004947","0.800439145943663"
"No","2014","higher education","Urban Area","2167","0.651192595300998","0.634643556280202","0.667741634321793"
"No","2014","higher education","Rural Area","846","0.679934272264682","0.653681767664233","0.706186776865132"
"Yes","2015","in school","Urban Area","","","",""
"Yes","2015","in school","Rural Area","","","",""
"Yes","2015","inadequately","Urban Area","","","",""
"Yes","2015","inadequately","Rural Area","","","",""
"Yes","2015","general elemantary","Urban Area","","","",""
"Yes","2015","general elemantary","Rural Area","","","",""
"Yes","2015","middle vocational","Urban Area","","","",""
"Yes","2015","middle vocational","Rural Area","","","",""
"Yes","2015","vocational + Abi","Urban Area","","","",""
"Yes","2015","vocational + Abi","Rural Area","","","",""
"Yes","2015","higher vocational","Urban Area","","","",""
"Yes","2015","higher vocational","Rural Area","","","",""
"Yes","2015","higher education","Urban Area","","","",""
"Yes","2015","higher education","Rural Area","","","",""
"No","2015","in school","Urban Area","","","",""
"No","2015","in school","Rural Area","","","",""
"No","2015","inadequately","Urban Area","","","",""
"No","2015","inadequately","Rural Area","","","",""
"No","2015","general elemantary","Urban Area","","","",""
"No","2015","general elemantary","Rural Area","","","",""
"No","2015","middle vocational","Urban Area","","","",""
"No","2015","middle vocational","Rural Area","","","",""
"No","2015","vocational + Abi","Urban Area","","","",""
"No","2015","vocational + Abi","Rural Area","","","",""
"No","2015","higher vocational","Urban Area","","","",""
"No","2015","higher vocational","Rural Area","","","",""
"No","2015","higher education","Urban Area","","","",""
"No","2015","higher education","Rural Area","","","",""
"Yes","2016","in school","Urban Area","22","","",""
"Yes","2016","in school","Rural Area","7","","",""
"Yes","2016","inadequately","Urban Area","6","","",""
"Yes","2016","inadequately","Rural Area","5","","",""
"Yes","2016","general elemantary","Urban Area","135","0.0871836923753591","0.0735470795953669","0.100820305155351"
"Yes","2016","general elemantary","Rural Area","65","0.0874243719822177","0.0684582304442397","0.106390513520196"
"Yes","2016","middle vocational","Urban Area","1310","0.218805479110648","0.208486902152289","0.229124056069007"
"Yes","2016","middle vocational","Rural Area","753","0.194999205754181","0.182846500168343","0.207151911340018"
"Yes","2016","vocational + Abi","Urban Area","360","0.262869461073661","0.239876810827274","0.285862111320048"
"Yes","2016","vocational + Abi","Rural Area","129","0.292069726098926","0.252797728672637","0.331341723525216"
"Yes","2016","higher vocational","Urban Area","209","0.268328420142988","0.235713493704546","0.30094334658143"
"Yes","2016","higher vocational","Rural Area","125","0.2469217079739","0.208701472173656","0.285141943774145"
"Yes","2016","higher education","Urban Area","893","0.311500781051594","0.295103002900065","0.327898559203123"
"Yes","2016","higher education","Rural Area","290","0.266671680948189","0.241310799311121","0.292032562585258"
"No","2016","in school","Urban Area","187","0.887372352548018","0.844512526796008","0.930232178300028"
"No","2016","in school","Rural Area","69","0.949504864440232","0.900276584325643","0.998733144554821"
"No","2016","inadequately","Urban Area","271","0.987735171292164","0.974773553550643","1.00069678903368"
"No","2016","inadequately","Rural Area","114","0.98108272215327","0.956605803454568","1.00555964085197"
"No","2016","general elemantary","Urban Area","1509","0.912816307624641","0.899179694844649","0.926452920404633"
"No","2016","general elemantary","Rural Area","787","0.912575628017782","0.893609486479804","0.93154176955576"
"No","2016","middle vocational","Urban Area","4857","0.781194520889352","0.770875943930993","0.791513097847711"
"No","2016","middle vocational","Rural Area","3330","0.805000794245819","0.792848088659982","0.817153499831657"
"No","2016","vocational + Abi","Urban Area","1048","0.737130538926339","0.714137888679952","0.760123189172725"
"No","2016","vocational + Abi","Rural Area","386","0.707930273901074","0.668658276474784","0.747202271327363"
"No","2016","higher vocational","Urban Area","500","0.731671579857012","0.69905665341857","0.764286506295454"
"No","2016","higher vocational","Rural Area","364","0.7530782920261","0.714858056225855","0.791298527826344"
"No","2016","higher education","Urban Area","2171","0.688499218948406","0.672101440796877","0.704896997099935"
"No","2016","higher education","Rural Area","878","0.733328319051811","0.707967437414742","0.758689200688879"
"Yes","2017","in school","Urban Area","","","",""
"Yes","2017","in school","Rural Area","","","",""
"Yes","2017","inadequately","Urban Area","","","",""
"Yes","2017","inadequately","Rural Area","","","",""
"Yes","2017","general elemantary","Urban Area","","","",""
"Yes","2017","general elemantary","Rural Area","","","",""
"Yes","2017","middle vocational","Urban Area","","","",""
"Yes","2017","middle vocational","Rural Area","","","",""
"Yes","2017","vocational + Abi","Urban Area","","","",""
"Yes","2017","vocational + Abi","Rural Area","","","",""
"Yes","2017","higher vocational","Urban Area","","","",""
"Yes","2017","higher vocational","Rural Area","","","",""
"Yes","2017","higher education","Urban Area","","","",""
"Yes","2017","higher education","Rural Area","","","",""
"No","2017","in school","Urban Area","","","",""
"No","2017","in school","Rural Area","","","",""
"No","2017","inadequately","Urban Area","","","",""
"No","2017","inadequately","Rural Area","","","",""
"No","2017","general elemantary","Urban Area","","","",""
"No","2017","general elemantary","Rural Area","","","",""
"No","2017","middle vocational","Urban Area","","","",""
"No","2017","middle vocational","Rural Area","","","",""
"No","2017","vocational + Abi","Urban Area","","","",""
"No","2017","vocational + Abi","Rural Area","","","",""
"No","2017","higher vocational","Urban Area","","","",""
"No","2017","higher vocational","Rural Area","","","",""
"No","2017","higher education","Urban Area","","","",""
"No","2017","higher education","Rural Area","","","",""
"Yes","2018","in school","Urban Area","21","","",""
"Yes","2018","in school","Rural Area","6","","",""
"Yes","2018","inadequately","Urban Area","7","","",""
"Yes","2018","inadequately","Rural Area","4","","",""
"Yes","2018","general elemantary","Urban Area","140","0.102810272747636","0.0881381288609179","0.117482416634355"
"Yes","2018","general elemantary","Rural Area","80","0.0926319759878975","0.0740390880250715","0.111224863950723"
"Yes","2018","middle vocational","Urban Area","1339","0.223686730901655","0.213438911521975","0.233934550281335"
"Yes","2018","middle vocational","Rural Area","891","0.208420229665344","0.19630240535846","0.220538053972229"
"Yes","2018","vocational + Abi","Urban Area","380","0.280924475589258","0.257547627127457","0.304301324051059"
"Yes","2018","vocational + Abi","Rural Area","150","0.269153402098673","0.23321297699503","0.305093827202316"
"Yes","2018","higher vocational","Urban Area","208","0.280756802704435","0.247538804753276","0.313974800655594"
"Yes","2018","higher vocational","Rural Area","155","0.300814884685633","0.261770740828359","0.339859028542907"
"Yes","2018","higher education","Urban Area","984","0.30213830016394","0.286452533493248","0.317824066834632"
"Yes","2018","higher education","Rural Area","350","0.286601892777591","0.261926803120243","0.31127698243494"
"No","2018","in school","Urban Area","194","0.838429928824599","0.789232466080811","0.887627391568387"
"No","2018","in school","Rural Area","74","0.930810270120635","0.875200064833634","0.986420475407637"
"No","2018","inadequately","Urban Area","330","0.984961634308658","0.971967626646356","0.99795564197096"
"No","2018","inadequately","Rural Area","127","0.977013558601882","0.951351079450119","1.00267603775364"
"No","2018","general elemantary","Urban Area","1506","0.897189727252364","0.882517583365645","0.911861871139082"
"No","2018","general elemantary","Rural Area","854","0.907368024012102","0.888775136049276","0.925960911974928"
"No","2018","middle vocational","Urban Area","5013","0.776313269098345","0.766065449718666","0.786561088478025"
"No","2018","middle vocational","Rural Area","3425","0.791579770334656","0.779461946027771","0.80369759464154"
"No","2018","vocational + Abi","Urban Area","1040","0.719075524410742","0.695698675948941","0.742452372872543"
"No","2018","vocational + Abi","Rural Area","435","0.730846597901327","0.694906172797684","0.76678702300497"
"No","2018","higher vocational","Urban Area","495","0.719243197295565","0.686025199344406","0.752461195246724"
"No","2018","higher vocational","Rural Area","375","0.699185115314367","0.660140971457093","0.738229259171641"
"No","2018","higher education","Urban Area","2308","0.69786169983606","0.682175933165368","0.713547466506752"
"No","2018","higher education","Rural Area","940","0.713398107222408","0.68872301756506","0.738073196879757"
