"ple0098_v5","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2007","16-34 y.","Couple + C. LE 16 ","137","0.13953448628768","0.117336290369529","0.161732682205831"
"Yes","2007","16-34 y.","Couple + C. GT 16 ","123","0.146346045972429","0.124885258378834","0.167806833566024"
"Yes","2007","16-34 y.","Couple + C. LE and GT 16","27","","",""
"Yes","2007","35-65 y.","1-pers.-HH","180","0.181752255003081","0.158569568024453","0.20493494198171"
"Yes","2007","35-65 y.","(Married) couple without C. ","660","0.202219185007332","0.187798266224455","0.216640103790209"
"Yes","2007","35-65 y.","Single parent ","72","0.144553000400772","0.114810939599293","0.174295061202251"
"Yes","2007","35-65 y.","Couple + C. LE 16 ","442","0.196197563344062","0.178905379887951","0.213489746800172"
"Yes","2007","35-65 y.","Couple + C. GT 16 ","283","0.140682801209909","0.124443562392924","0.156922040026894"
"Yes","2007","35-65 y.","Couple + C. LE and GT 16","118","0.143583283185519","0.119283768194221","0.167882798176818"
"Yes","2007","66 and older","1-pers.-HH","124","0.11688917313819","0.0977981857301433","0.135980160546236"
"Yes","2007","66 and older","(Married) couple without C. ","373","0.12842821680136","0.115218012130192","0.141638421472528"
"Yes","2007","66 and older","Single parent ","4","","",""
"Yes","2007","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2007","66 and older","Couple + C. GT 16 ","22","","",""
"Yes","2007","66 and older","Couple + C. LE and GT 16","","","",""
"No","2007","16-34 y.","1-pers.-HH","469","0.839150111477799","0.808936396108286","0.869363826847311"
"No","2007","16-34 y.","(Married) couple without C. ","584","0.770429366400942","0.740351106813814","0.800507625988071"
"No","2007","16-34 y.","Single parent ","351","0.919817844533582","0.89254845712134","0.947087231945823"
"No","2007","16-34 y.","Couple + C. LE 16 ","799","0.86046551371232","0.838267317794169","0.882663709630471"
"No","2007","16-34 y.","Couple + C. GT 16 ","919","0.853653954027571","0.832193166433976","0.875114741621166"
"No","2007","16-34 y.","Couple + C. LE and GT 16","338","0.938227033444452","0.913529427390119","0.962924639498785"
"No","2007","35-65 y.","1-pers.-HH","883","0.818247744996919","0.79506505801829","0.841430431975547"
"No","2007","35-65 y.","(Married) couple without C. ","2320","0.797780814992668","0.783359896209791","0.812201733775545"
"No","2007","35-65 y.","Single parent ","465","0.855446999599228","0.825704938797749","0.885189060400707"
"No","2007","35-65 y.","Couple + C. LE 16 ","1584","0.803802436655938","0.786510253199828","0.821094620112049"
"No","2007","35-65 y.","Couple + C. GT 16 ","1478","0.859317198790091","0.843077959973106","0.875556437607076"
"No","2007","35-65 y.","Couple + C. LE and GT 16","682","0.856416716814481","0.832117201823182","0.880716231805779"
"No","2007","66 and older","1-pers.-HH","964","0.88311082686181","0.864019839453764","0.902201814269857"
"No","2007","66 and older","(Married) couple without C. ","2091","0.87157178319864","0.858361578527472","0.884781987869808"
"No","2007","66 and older","Single parent ","60","0.94135165837169","0.88378620648758","0.998917110255801"
"No","2007","66 and older","Couple + C. LE 16 ","3","","",""
"No","2007","66 and older","Couple + C. GT 16 ","143","0.856358088314443","0.80284322640497","0.909872950223915"
"No","2007","66 and older","Couple + C. LE and GT 16","2","","",""
"Yes","2008","16-34 y.","1-pers.-HH","107","0.197788120046242","0.163876010842211","0.231700229250273"
"Yes","2008","16-34 y.","(Married) couple without C. ","181","0.263852168025772","0.231749460646626","0.295954875404918"
"Yes","2008","16-34 y.","Single parent ","41","0.0816516401483892","0.0550482446940797","0.108255035602699"
"Yes","2008","16-34 y.","Couple + C. LE 16 ","133","0.160182521341969","0.135032574004854","0.185332468679085"
"Yes","2008","16-34 y.","Couple + C. GT 16 ","123","0.127639256185174","0.107151179621313","0.148127332749035"
"Yes","2008","16-34 y.","Couple + C. LE and GT 16","39","0.105170968012903","0.0723692628276693","0.137972673198137"
"Yes","2008","35-65 y.","1-pers.-HH","204","0.216124090997357","0.190938644235112","0.241309537759602"
"Yes","2008","35-65 y.","(Married) couple without C. ","659","0.234824461814241","0.219058794502501","0.250590129125982"
"Yes","2008","35-65 y.","Single parent ","89","0.165746459261697","0.133907885372624","0.197585033150769"
"Yes","2008","35-65 y.","Couple + C. LE 16 ","467","0.237657256389749","0.218482782392912","0.256831730386586"
"Yes","2008","35-65 y.","Couple + C. GT 16 ","320","0.157465988461429","0.140090021885188","0.174841955037671"
"Yes","2008","35-65 y.","Couple + C. LE and GT 16","143","0.179386659784157","0.151184806515064","0.20758851305325"
"Yes","2008","66 and older","1-pers.-HH","157","0.156461825228921","0.134953857267269","0.177969793190574"
"Yes","2008","66 and older","(Married) couple without C. ","434","0.165439435744512","0.1507019393852","0.180176932103823"
"Yes","2008","66 and older","Single parent ","5","","",""
"Yes","2008","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2008","66 and older","Couple + C. GT 16 ","22","","",""
"Yes","2008","66 and older","Couple + C. LE and GT 16","","","",""
"No","2008","16-34 y.","1-pers.-HH","423","0.802211879953758","0.768299770749727","0.836123989157789"
"No","2008","16-34 y.","(Married) couple without C. ","543","0.736147831974228","0.704045124595082","0.768250539353374"
"No","2008","16-34 y.","Single parent ","366","0.918348359851611","0.891744964397301","0.94495175530592"
"No","2008","16-34 y.","Couple + C. LE 16 ","684","0.839817478658031","0.814667531320915","0.864967425995146"
"No","2008","16-34 y.","Couple + C. GT 16 ","896","0.872360743814826","0.851872667250965","0.892848820378687"
"No","2008","16-34 y.","Couple + C. LE and GT 16","297","0.894829031987097","0.862027326801863","0.927630737172331"
"No","2008","35-65 y.","1-pers.-HH","822","0.783875909002643","0.758690462240398","0.809061355764888"
"No","2008","35-65 y.","(Married) couple without C. ","2118","0.765175538185759","0.749409870874018","0.780941205497499"
"No","2008","35-65 y.","Single parent ","435","0.834253540738303","0.802414966849231","0.866092114627376"
"No","2008","35-65 y.","Couple + C. LE 16 ","1426","0.762342743610251","0.743168269613414","0.781517217607088"
"No","2008","35-65 y.","Couple + C. GT 16 ","1368","0.842534011538571","0.825158044962329","0.859909978114812"
"No","2008","35-65 y.","Couple + C. LE and GT 16","568","0.820613340215843","0.79241148694675","0.848815193484936"
"No","2008","66 and older","1-pers.-HH","939","0.843538174771079","0.822030206809426","0.865046142732731"
"No","2008","66 and older","(Married) couple without C. ","2008","0.834560564255488","0.819823067896177","0.8492980606148"
"No","2008","66 and older","Single parent ","57","0.923797434227892","0.857754643094423","0.989840225361362"
"No","2008","66 and older","Couple + C. LE 16 ","2","","",""
"No","2008","66 and older","Couple + C. GT 16 ","140","0.857337164190322","0.803482684410645","0.91119164397"
"No","2008","66 and older","Couple + C. LE and GT 16","2","","",""
"Yes","2009","16-34 y.","1-pers.-HH","","","",""
"Yes","2009","16-34 y.","(Married) couple without C. ","","","",""
"Yes","2009","16-34 y.","Single parent ","","","",""
"Yes","2009","16-34 y.","Couple + C. LE 16 ","","","",""
"Yes","2009","16-34 y.","Couple + C. GT 16 ","","","",""
"Yes","2009","16-34 y.","Couple + C. LE and GT 16","","","",""
"Yes","2009","35-65 y.","1-pers.-HH","","","",""
"Yes","2009","35-65 y.","(Married) couple without C. ","","","",""
"Yes","2009","35-65 y.","Single parent ","","","",""
"Yes","2009","35-65 y.","Couple + C. LE 16 ","","","",""
"Yes","2009","35-65 y.","Couple + C. GT 16 ","","","",""
"Yes","2009","35-65 y.","Couple + C. LE and GT 16","","","",""
"Yes","2009","66 and older","1-pers.-HH","","","",""
"Yes","2009","66 and older","(Married) couple without C. ","","","",""
"Yes","2009","66 and older","Single parent ","","","",""
"Yes","2009","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2009","66 and older","Couple + C. GT 16 ","","","",""
"Yes","2009","66 and older","Couple + C. LE and GT 16","","","",""
"No","2009","16-34 y.","1-pers.-HH","","","",""
"No","2009","16-34 y.","(Married) couple without C. ","","","",""
"No","2009","16-34 y.","Single parent ","","","",""
"No","2009","16-34 y.","Couple + C. LE 16 ","","","",""
"No","2009","16-34 y.","Couple + C. GT 16 ","","","",""
"No","2009","16-34 y.","Couple + C. LE and GT 16","","","",""
"No","2009","35-65 y.","1-pers.-HH","","","",""
"No","2009","35-65 y.","(Married) couple without C. ","","","",""
"No","2009","35-65 y.","Single parent ","","","",""
"No","2009","35-65 y.","Couple + C. LE 16 ","","","",""
"No","2009","35-65 y.","Couple + C. GT 16 ","","","",""
"No","2009","35-65 y.","Couple + C. LE and GT 16","","","",""
"No","2009","66 and older","1-pers.-HH","","","",""
"No","2009","66 and older","(Married) couple without C. ","","","",""
"No","2009","66 and older","Single parent ","","","",""
"No","2009","66 and older","Couple + C. LE 16 ","","","",""
"No","2009","66 and older","Couple + C. GT 16 ","","","",""
"No","2009","66 and older","Couple + C. LE and GT 16","","","",""
"Yes","2010","16-34 y.","1-pers.-HH","96","0.2102720171714","0.172495333166693","0.248048701176108"
"Yes","2010","16-34 y.","(Married) couple without C. ","182","0.315642416634639","0.278668712011371","0.352616121257907"
"Yes","2010","16-34 y.","Single parent ","72","0.0771036593848728","0.0579742418166657","0.0962330769530799"
"Yes","2010","16-34 y.","Couple + C. LE 16 ","449","0.143745173796105","0.130731840999138","0.156758506593072"
"Yes","2010","16-34 y.","Couple + C. GT 16 ","123","0.159289702968821","0.135083990640594","0.183495415297047"
"Yes","2010","16-34 y.","Couple + C. LE and GT 16","52","0.116308358528855","0.0864543904056835","0.146162326652026"
"Yes","2010","35-65 y.","1-pers.-HH","198","0.207008328746331","0.180756124979198","0.233260532513463"
"Yes","2010","35-65 y.","(Married) couple without C. ","669","0.263924236015234","0.246406934655009","0.281441537375458"
"Yes","2010","35-65 y.","Single parent ","261","0.181227778015534","0.160368158806773","0.202087397224296"
"Yes","2010","35-65 y.","Couple + C. LE 16 ","950","0.248933751854483","0.235421991669476","0.262445512039491"
"Yes","2010","35-65 y.","Couple + C. GT 16 ","308","0.186266235950317","0.166261868107202","0.206270603793431"
"Yes","2010","35-65 y.","Couple + C. LE and GT 16","187","0.189185968315189","0.164727172879136","0.213644763751242"
"Yes","2010","66 and older","1-pers.-HH","158","0.164242707591556","0.141572393044138","0.186913022138973"
"Yes","2010","66 and older","(Married) couple without C. ","430","0.172148700989555","0.156483847111389","0.187813554867722"
"Yes","2010","66 and older","Single parent ","14","","",""
"Yes","2010","66 and older","Couple + C. LE 16 ","1","","",""
"Yes","2010","66 and older","Couple + C. GT 16 ","20","","",""
"Yes","2010","66 and older","Couple + C. LE and GT 16","","","",""
"No","2010","16-34 y.","1-pers.-HH","351","0.7897279828286","0.751951298823892","0.827504666833307"
"No","2010","16-34 y.","(Married) couple without C. ","425","0.684357583365361","0.647383878742093","0.72133128798863"
"No","2010","16-34 y.","Single parent ","675","0.922896340615127","0.90376692304692","0.942025758183334"
"No","2010","16-34 y.","Couple + C. LE 16 ","2343","0.856254826203895","0.843241493406928","0.869268159000862"
"No","2010","16-34 y.","Couple + C. GT 16 ","755","0.840710297031179","0.816504584702953","0.864916009359406"
"No","2010","16-34 y.","Couple + C. LE and GT 16","391","0.883691641471145","0.853837673347974","0.913545609594317"
"No","2010","35-65 y.","1-pers.-HH","717","0.792991671253669","0.766739467486537","0.819243875020802"
"No","2010","35-65 y.","(Married) couple without C. ","1763","0.736075763984766","0.718558462624542","0.753593065344991"
"No","2010","35-65 y.","Single parent ","1049","0.818772221984466","0.797912602775704","0.839631841193227"
"No","2010","35-65 y.","Couple + C. LE 16 ","2984","0.751066248145517","0.737554487960509","0.764578008330524"
"No","2010","35-65 y.","Couple + C. GT 16 ","1147","0.813733764049683","0.793729396206569","0.833738131892798"
"No","2010","35-65 y.","Couple + C. LE and GT 16","798","0.810814031684811","0.786355236248758","0.835272827120864"
"No","2010","66 and older","1-pers.-HH","868","0.835757292408444","0.813086977861027","0.858427606955862"
"No","2010","66 and older","(Married) couple without C. ","1801","0.827851299010445","0.812186445132278","0.843516152888611"
"No","2010","66 and older","Single parent ","50","0.739350625325038","0.631800314472863","0.846900936177214"
"No","2010","66 and older","Couple + C. LE 16 ","2","","",""
"No","2010","66 and older","Couple + C. GT 16 ","114","0.791630587339132","0.722864556326937","0.860396618351327"
"No","2010","66 and older","Couple + C. LE and GT 16","1","","",""
"Yes","2011","16-34 y.","1-pers.-HH","110","0.181793736519969","0.150159970734643","0.213427502305295"
"Yes","2011","16-34 y.","(Married) couple without C. ","204","0.257176831436613","0.22568551091591","0.288668151957315"
"Yes","2011","16-34 y.","Single parent ","46","0.110494551707252","0.0801485903087905","0.140840513105714"
"Yes","2011","16-34 y.","Couple + C. LE 16 ","124","0.1657127002918","0.139030945380108","0.192394455203492"
"Yes","2011","16-34 y.","Couple + C. GT 16 ","134","0.145361960378841","0.122889600455684","0.167834320301998"
"Yes","2011","16-34 y.","Couple + C. LE and GT 16","42","0.160559153052709","0.121536102564758","0.19958220354066"
"Yes","2011","35-65 y.","1-pers.-HH","277","0.215895738102898","0.19305953977597","0.238731936429826"
"Yes","2011","35-65 y.","(Married) couple without C. ","867","0.263668041792999","0.248449055457107","0.278887028128892"
"Yes","2011","35-65 y.","Single parent ","114","0.182443617947066","0.150985553076398","0.213901682817733"
"Yes","2011","35-65 y.","Couple + C. LE 16 ","510","0.27089118551075","0.250721353357538","0.291061017663962"
"Yes","2011","35-65 y.","Couple + C. GT 16 ","352","0.195990150783699","0.176557630136063","0.215422671431335"
"Yes","2011","35-65 y.","Couple + C. LE and GT 16","177","0.229797517614998","0.199424393098424","0.260170642131573"
"Yes","2011","66 and older","1-pers.-HH","196","0.167768958128479","0.147394100003646","0.188143816253311"
"Yes","2011","66 and older","(Married) couple without C. ","627","0.211731731341415","0.196648041510812","0.226815421172019"
"Yes","2011","66 and older","Single parent ","9","","",""
"Yes","2011","66 and older","Couple + C. LE 16 ","1","","",""
"Yes","2011","66 and older","Couple + C. GT 16 ","24","","",""
"Yes","2011","66 and older","Couple + C. LE and GT 16","","","",""
"No","2011","16-34 y.","1-pers.-HH","461","0.818206263480031","0.786572497694704","0.849840029265357"
"No","2011","16-34 y.","(Married) couple without C. ","536","0.742823168563387","0.711331848042685","0.77431448908409"
"No","2011","16-34 y.","Single parent ","364","0.889505448292748","0.859159486894286","0.919851409691209"
"No","2011","16-34 y.","Couple + C. LE 16 ","622","0.8342872997082","0.807605544796508","0.860969054619892"
"No","2011","16-34 y.","Couple + C. GT 16 ","811","0.854638039621159","0.832165679698002","0.877110399544316"
"No","2011","16-34 y.","Couple + C. LE and GT 16","298","0.839440846947291","0.80041779645934","0.878463897435242"
"No","2011","35-65 y.","1-pers.-HH","970","0.784104261897102","0.761268063570174","0.80694046022403"
"No","2011","35-65 y.","(Married) couple without C. ","2353","0.736331958207","0.721112971871108","0.751550944542893"
"No","2011","35-65 y.","Single parent ","465","0.817556382052934","0.786098317182267","0.849014446923602"
"No","2011","35-65 y.","Couple + C. LE 16 ","1355","0.72910881448925","0.708938982336038","0.749278646642462"
"No","2011","35-65 y.","Couple + C. GT 16 ","1251","0.804009849216301","0.784577328568665","0.823442369863937"
"No","2011","35-65 y.","Couple + C. LE and GT 16","560","0.770202482385002","0.739829357868427","0.800575606901576"
"No","2011","66 and older","1-pers.-HH","1096","0.832231041871521","0.811856183746689","0.852605899996354"
"No","2011","66 and older","(Married) couple without C. ","2191","0.788268268658585","0.773184578827981","0.803351958489188"
"No","2011","66 and older","Single parent ","65","0.854326234674365","0.773948682588212","0.934703786760518"
"No","2011","66 and older","Couple + C. LE 16 ","5","","",""
"No","2011","66 and older","Couple + C. GT 16 ","143","0.853880776876358","0.800308247584128","0.907453306168588"
"No","2011","66 and older","Couple + C. LE and GT 16","1","","",""
"Yes","2012","16-34 y.","1-pers.-HH","136","0.192889329935178","0.162272628560626","0.223506031309729"
"Yes","2012","16-34 y.","(Married) couple without C. ","208","0.284339549015955","0.251903658326109","0.316775439705801"
"Yes","2012","16-34 y.","Single parent ","83","0.0733709888261613","0.0558524272664655","0.090889550385857"
"Yes","2012","16-34 y.","Couple + C. LE 16 ","337","0.175358836396877","0.15867203975378","0.192045633039973"
"Yes","2012","16-34 y.","Couple + C. GT 16 ","125","0.132800030042214","0.110739046881594","0.154861013202833"
"Yes","2012","16-34 y.","Couple + C. LE and GT 16","54","0.0814734874636594","0.0587348364265459","0.104212138500773"
"Yes","2012","35-65 y.","1-pers.-HH","318","0.218475176957526","0.196538411021197","0.240411942893854"
"Yes","2012","35-65 y.","(Married) couple without C. ","952","0.296598297996627","0.28082685764874","0.312369738344515"
"Yes","2012","35-65 y.","Single parent ","383","0.213577737667093","0.193790946149331","0.233364529184855"
"Yes","2012","35-65 y.","Couple + C. LE 16 ","1133","0.271591284002429","0.258315682854125","0.284866885150733"
"Yes","2012","35-65 y.","Couple + C. GT 16 ","385","0.205468226326588","0.185829388170091","0.225107064483084"
"Yes","2012","35-65 y.","Couple + C. LE and GT 16","284","0.196977530838923","0.174991205735825","0.218963855942021"
"Yes","2012","66 and older","1-pers.-HH","207","0.168462147023309","0.147942265841297","0.188982028205321"
"Yes","2012","66 and older","(Married) couple without C. ","651","0.210024369798521","0.195153280040697","0.224895459556345"
"Yes","2012","66 and older","Single parent ","13","","",""
"Yes","2012","66 and older","Couple + C. LE 16 ","4","","",""
"Yes","2012","66 and older","Couple + C. GT 16 ","21","","",""
"Yes","2012","66 and older","Couple + C. LE and GT 16","1","","",""
"No","2012","16-34 y.","1-pers.-HH","502","0.807110670064822","0.776493968690271","0.837727371439374"
"No","2012","16-34 y.","(Married) couple without C. ","535","0.715660450984045","0.683224560294199","0.748096341673891"
"No","2012","16-34 y.","Single parent ","768","0.926629011173839","0.909110449614143","0.944147572733535"
"No","2012","16-34 y.","Couple + C. LE 16 ","1658","0.824641163603123","0.807954366960027","0.84132796024622"
"No","2012","16-34 y.","Couple + C. GT 16 ","784","0.867199969957786","0.845138986797167","0.889260953118406"
"No","2012","16-34 y.","Couple + C. LE and GT 16","502","0.918526512536341","0.895787861499227","0.941265163573454"
"No","2012","35-65 y.","1-pers.-HH","1045","0.781524823042474","0.759588057106146","0.803461588978803"
"No","2012","35-65 y.","(Married) couple without C. ","2270","0.703401702003373","0.687630261655485","0.71917314235126"
"No","2012","35-65 y.","Single parent ","1265","0.786422262332907","0.766635470815145","0.806209053850669"
"No","2012","35-65 y.","Couple + C. LE 16 ","3179","0.728408715997571","0.715133114849267","0.741684317145875"
"No","2012","35-65 y.","Couple + C. GT 16 ","1241","0.794531773673412","0.774892935516916","0.814170611829909"
"No","2012","35-65 y.","Couple + C. LE and GT 16","973","0.803022469161077","0.781036144057979","0.825008794264175"
"No","2012","66 and older","1-pers.-HH","1071","0.831537852976691","0.811017971794679","0.852057734158703"
"No","2012","66 and older","(Married) couple without C. ","2231","0.789975630201479","0.775104540443655","0.804846719959303"
"No","2012","66 and older","Single parent ","61","0.800531935023241","0.709486484503946","0.891577385542536"
"No","2012","66 and older","Couple + C. LE 16 ","6","","",""
"No","2012","66 and older","Couple + C. GT 16 ","117","0.849002807615378","0.789265238345281","0.908740376885476"
"No","2012","66 and older","Couple + C. LE and GT 16","","","",""
"Yes","2013","16-34 y.","1-pers.-HH","116","0.207854991612792","0.173788107427509","0.241921875798075"
"Yes","2013","16-34 y.","(Married) couple without C. ","172","0.233453741464837","0.200932956774052","0.265974526155622"
"Yes","2013","16-34 y.","Single parent ","44","0.100550679836985","0.0700313825495641","0.131069977124407"
"Yes","2013","16-34 y.","Couple + C. LE 16 ","133","0.216070447925422","0.184382304691155","0.24775859115969"
"Yes","2013","16-34 y.","Couple + C. GT 16 ","109","0.150982555691279","0.125238594199546","0.176726517183012"
"Yes","2013","16-34 y.","Couple + C. LE and GT 16","36","0.159067898143828","0.115762249628279","0.202373546659376"
"Yes","2013","35-65 y.","1-pers.-HH","307","0.243620711656052","0.219747315161591","0.267494108150513"
"Yes","2013","35-65 y.","(Married) couple without C. ","886","0.296613854807226","0.280200504928883","0.31302720468557"
"Yes","2013","35-65 y.","Single parent ","140","0.249920635049858","0.21465404446885","0.285187225630866"
"Yes","2013","35-65 y.","Couple + C. LE 16 ","525","0.316007341012889","0.293874480556543","0.338140201469234"
"Yes","2013","35-65 y.","Couple + C. GT 16 ","373","0.256241975356497","0.233250641207801","0.279233309505192"
"Yes","2013","35-65 y.","Couple + C. LE and GT 16","150","0.291687700374243","0.253421098530008","0.329954302218478"
"Yes","2013","66 and older","1-pers.-HH","236","0.198245937737575","0.175947643566092","0.220544231909059"
"Yes","2013","66 and older","(Married) couple without C. ","677","0.235522783768043","0.21964338980887","0.251402177727216"
"Yes","2013","66 and older","Single parent ","7","","",""
"Yes","2013","66 and older","Couple + C. LE 16 ","2","","",""
"Yes","2013","66 and older","Couple + C. GT 16 ","21","","",""
"Yes","2013","66 and older","Couple + C. LE and GT 16","","","",""
"No","2013","16-34 y.","1-pers.-HH","429","0.792145008387208","0.758078124201925","0.826211892572491"
"No","2013","16-34 y.","(Married) couple without C. ","478","0.766546258535163","0.734025473844378","0.799067043225948"
"No","2013","16-34 y.","Single parent ","329","0.899449320163015","0.868930022875593","0.929968617450436"
"No","2013","16-34 y.","Couple + C. LE 16 ","515","0.783929552074578","0.75224140884031","0.815617695308845"
"No","2013","16-34 y.","Couple + C. GT 16 ","634","0.849017444308721","0.823273482816988","0.874761405800454"
"No","2013","16-34 y.","Couple + C. LE and GT 16","238","0.840932101856172","0.797626453340624","0.884237750371721"
"No","2013","35-65 y.","1-pers.-HH","935","0.756379288343948","0.732505891849487","0.780252684838409"
"No","2013","35-65 y.","(Married) couple without C. ","2089","0.703386145192774","0.68697279531443","0.719799495071117"
"No","2013","35-65 y.","Single parent ","439","0.750079364950142","0.714812774369134","0.78534595553115"
"No","2013","35-65 y.","Couple + C. LE 16 ","1170","0.683992658987111","0.661859798530766","0.706125519443457"
"No","2013","35-65 y.","Couple + C. GT 16 ","1012","0.743758024643503","0.720766690494808","0.766749358792199"
"No","2013","35-65 y.","Couple + C. LE and GT 16","392","0.708312299625757","0.670045697781522","0.746578901469992"
"No","2013","66 and older","1-pers.-HH","992","0.801754062262425","0.779455768090941","0.824052356433908"
"No","2013","66 and older","(Married) couple without C. ","2066","0.764477216231957","0.748597822272784","0.78035661019113"
"No","2013","66 and older","Single parent ","55","0.860194064151664","0.773873698284176","0.946514430019152"
"No","2013","66 and older","Couple + C. LE 16 ","5","","",""
"No","2013","66 and older","Couple + C. GT 16 ","98","0.818260168132447","0.748974186128694","0.8875461501362"
"No","2013","66 and older","Couple + C. LE and GT 16","","","",""
"Yes","2014","16-34 y.","1-pers.-HH","122","0.168108357177753","0.139315244232994","0.196901470122513"
"Yes","2014","16-34 y.","(Married) couple without C. ","193","0.263197837446938","0.234331217403767","0.29206445749011"
"Yes","2014","16-34 y.","Single parent ","90","0.129677560890982","0.106412492151609","0.152942629630354"
"Yes","2014","16-34 y.","Couple + C. LE 16 ","278","0.180832777793143","0.162957986023271","0.198707569563015"
"Yes","2014","16-34 y.","Couple + C. GT 16 ","113","0.146852184587207","0.124344094969747","0.169360274204668"
"Yes","2014","16-34 y.","Couple + C. LE and GT 16","83","0.13503812529048","0.108744381589567","0.161331868991392"
"Yes","2014","35-65 y.","1-pers.-HH","328","0.244655750048716","0.22146518648179","0.267846313615641"
"Yes","2014","35-65 y.","(Married) couple without C. ","886","0.299378134786896","0.283420014432983","0.315336255140809"
"Yes","2014","35-65 y.","Single parent ","333","0.226388115826324","0.204521104940547","0.248255126712102"
"Yes","2014","35-65 y.","Couple + C. LE 16 ","1176","0.295882821151353","0.282137576923116","0.30962806537959"
"Yes","2014","35-65 y.","Couple + C. GT 16 ","389","0.25376285678431","0.232669695624572","0.274856017944049"
"Yes","2014","35-65 y.","Couple + C. LE and GT 16","310","0.234570935057746","0.212149644357609","0.256992225757882"
"Yes","2014","66 and older","1-pers.-HH","251","0.203279297885847","0.180779854375408","0.225778741396285"
"Yes","2014","66 and older","(Married) couple without C. ","685","0.247052147196756","0.230795854381795","0.263308440011717"
"Yes","2014","66 and older","Single parent ","6","","",""
"Yes","2014","66 and older","Couple + C. LE 16 ","4","","",""
"Yes","2014","66 and older","Couple + C. GT 16 ","29","","",""
"Yes","2014","66 and older","Couple + C. LE and GT 16","","","",""
"No","2014","16-34 y.","1-pers.-HH","526","0.831891642822247","0.803098529877487","0.860684755767006"
"No","2014","16-34 y.","(Married) couple without C. ","701","0.736802162553062","0.70793554250989","0.765668782596233"
"No","2014","16-34 y.","Single parent ","711","0.870322439109018","0.847057370369646","0.893587507848391"
"No","2014","16-34 y.","Couple + C. LE 16 ","1503","0.819167222206857","0.801292430436985","0.837042013976729"
"No","2014","16-34 y.","Couple + C. GT 16 ","837","0.853147815412793","0.830639725795332","0.875655905030253"
"No","2014","16-34 y.","Couple + C. LE and GT 16","566","0.864961874709521","0.838668131008608","0.891255618410434"
"No","2014","35-65 y.","1-pers.-HH","992","0.755344249951284","0.732153686384359","0.77853481351821"
"No","2014","35-65 y.","(Married) couple without C. ","2278","0.700621865213104","0.684663744859191","0.716579985567017"
"No","2014","35-65 y.","Single parent ","1074","0.773611884173675","0.751744873287898","0.795478895059453"
"No","2014","35-65 y.","Couple + C. LE 16 ","3060","0.704117178848647","0.690371934620411","0.717862423076884"
"No","2014","35-65 y.","Couple + C. GT 16 ","1246","0.74623714321569","0.725143982055951","0.767330304375428"
"No","2014","35-65 y.","Couple + C. LE and GT 16","1062","0.765429064942254","0.743007774242118","0.787850355642391"
"No","2014","66 and older","1-pers.-HH","978","0.796720702114153","0.774221258603714","0.819220145624592"
"No","2014","66 and older","(Married) couple without C. ","2019","0.752947852803244","0.736691559988283","0.769204145618205"
"No","2014","66 and older","Single parent ","61","0.871387564559688","0.791227538496411","0.951547590622965"
"No","2014","66 and older","Couple + C. LE 16 ","8","","",""
"No","2014","66 and older","Couple + C. GT 16 ","104","0.769201516439785","0.697593966933912","0.840809065945658"
"No","2014","66 and older","Couple + C. LE and GT 16","4","","",""
"Yes","2015","16-34 y.","1-pers.-HH","","","",""
"Yes","2015","16-34 y.","(Married) couple without C. ","","","",""
"Yes","2015","16-34 y.","Single parent ","","","",""
"Yes","2015","16-34 y.","Couple + C. LE 16 ","","","",""
"Yes","2015","16-34 y.","Couple + C. GT 16 ","","","",""
"Yes","2015","16-34 y.","Couple + C. LE and GT 16","","","",""
"Yes","2015","35-65 y.","1-pers.-HH","","","",""
"Yes","2015","35-65 y.","(Married) couple without C. ","","","",""
"Yes","2015","35-65 y.","Single parent ","","","",""
"Yes","2015","35-65 y.","Couple + C. LE 16 ","","","",""
"Yes","2015","35-65 y.","Couple + C. GT 16 ","","","",""
"Yes","2015","35-65 y.","Couple + C. LE and GT 16","","","",""
"Yes","2015","66 and older","1-pers.-HH","","","",""
"Yes","2015","66 and older","(Married) couple without C. ","","","",""
"Yes","2015","66 and older","Single parent ","","","",""
"Yes","2015","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2015","66 and older","Couple + C. GT 16 ","","","",""
"Yes","2015","66 and older","Couple + C. LE and GT 16","","","",""
"No","2015","16-34 y.","1-pers.-HH","","","",""
"No","2015","16-34 y.","(Married) couple without C. ","","","",""
"No","2015","16-34 y.","Single parent ","","","",""
"No","2015","16-34 y.","Couple + C. LE 16 ","","","",""
"No","2015","16-34 y.","Couple + C. GT 16 ","","","",""
"No","2015","16-34 y.","Couple + C. LE and GT 16","","","",""
"No","2015","35-65 y.","1-pers.-HH","","","",""
"No","2015","35-65 y.","(Married) couple without C. ","","","",""
"No","2015","35-65 y.","Single parent ","","","",""
"No","2015","35-65 y.","Couple + C. LE 16 ","","","",""
"No","2015","35-65 y.","Couple + C. GT 16 ","","","",""
"No","2015","35-65 y.","Couple + C. LE and GT 16","","","",""
"No","2015","66 and older","1-pers.-HH","","","",""
"No","2015","66 and older","(Married) couple without C. ","","","",""
"No","2015","66 and older","Single parent ","","","",""
