"plh0038","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1985","Saxony","lower secondary degree","","","",""
"Big worries","1985","Saxony","secondary school degree","","","",""
"Big worries","1985","Saxony","college entrance qualification","","","",""
"Big worries","1985","Saxony","Other degree","","","",""
"Big worries","1985","Saxony","no degree/no degree yet","","","",""
"Big worries","1985","Saxony-Anhalt","lower secondary degree","","","",""
"Big worries","1985","Saxony-Anhalt","secondary school degree","","","",""
"Big worries","1985","Saxony-Anhalt","college entrance qualification","","","",""
"Big worries","1985","Saxony-Anhalt","Other degree","","","",""
"Big worries","1985","Saxony-Anhalt","no degree/no degree yet","","","",""
"Big worries","1985","Thuringia","lower secondary degree","","","",""
"Big worries","1985","Thuringia","secondary school degree","","","",""
"Big worries","1985","Thuringia","college entrance qualification","","","",""
"Big worries","1985","Thuringia","Other degree","","","",""
"Big worries","1985","Thuringia","no degree/no degree yet","","","",""
"Some worries","1985","Schleswig-Holstein","lower secondary degree","91","0.455958363610965","0.386584775387148","0.525331951834783"
"Some worries","1985","Schleswig-Holstein","secondary school degree","32","0.404238663390668","0.296701598241922","0.511775728539414"
"Some worries","1985","Schleswig-Holstein","college entrance qualification","15","","",""
"Some worries","1985","Schleswig-Holstein","Other degree","7","","",""
"Some worries","1985","Schleswig-Holstein","no degree/no degree yet","5","","",""
"Some worries","1985","Hamburg","lower secondary degree","48","0.407968241158492","0.31966832510703","0.496268157209953"
"Some worries","1985","Hamburg","secondary school degree","21","","",""
"Some worries","1985","Hamburg","college entrance qualification","13","","",""
"Some worries","1985","Hamburg","Other degree","6","","",""
"Some worries","1985","Hamburg","no degree/no degree yet","10","","",""
"Some worries","1985","Lower Saxony","lower secondary degree","246","0.406643499448922","0.367273784675419","0.446013214222425"
"Some worries","1985","Lower Saxony","secondary school degree","100","0.432197117514125","0.36746846570661","0.49692576932164"
"Some worries","1985","Lower Saxony","college entrance qualification","53","0.46140450123471","0.372211712849092","0.550597289620327"
"Some worries","1985","Lower Saxony","Other degree","24","","",""
"Some worries","1985","Lower Saxony","no degree/no degree yet","32","0.499613342354316","0.38720173199805","0.612024952710581"
"Some worries","1985","Bremen","lower secondary degree","15","","",""
"Some worries","1985","Bremen","secondary school degree","6","","",""
"Some worries","1985","Bremen","college entrance qualification","","","",""
"Some worries","1985","Bremen","Other degree","3","","",""
"Some worries","1985","Bremen","no degree/no degree yet","1","","",""
"Some worries","1985","North Rhine-Westphalia","lower secondary degree","556","0.399928249717526","0.374221118201528","0.425635381233525"
"Some worries","1985","North Rhine-Westphalia","secondary school degree","187","0.386442922316154","0.34246772453452","0.430418120097788"
"Some worries","1985","North Rhine-Westphalia","college entrance qualification","159","0.424180625508965","0.374159782353482","0.474201468664447"
"Some worries","1985","North Rhine-Westphalia","Other degree","121","0.37705604951525","0.323450381817242","0.430661717213259"
"Some worries","1985","North Rhine-Westphalia","no degree/no degree yet","117","0.368727241933874","0.316594414622258","0.42086006924549"
"Some worries","1985","Hesse","lower secondary degree","190","0.38765288567218","0.344557805465052","0.430747965879309"
"Some worries","1985","Hesse","secondary school degree","71","0.377947375090233","0.30750376131779","0.448390988862676"
"Some worries","1985","Hesse","college entrance qualification","42","0.293120577365263","0.218251972171007","0.367989182559518"
"Some worries","1985","Hesse","Other degree","52","0.264332358292146","0.199367656361069","0.329297060223224"
"Some worries","1985","Hesse","no degree/no degree yet","41","0.251292092158193","0.174323454998147","0.328260729318239"
"Some worries","1985","Rhineland-Palatinate,Saarland","lower secondary degree","218","0.438635653192057","0.394382022890613","0.4828892834935"
"Some worries","1985","Rhineland-Palatinate,Saarland","secondary school degree","49","0.461762309313776","0.366856793856651","0.556667824770901"
"Some worries","1985","Rhineland-Palatinate,Saarland","college entrance qualification","27","","",""
"Some worries","1985","Rhineland-Palatinate,Saarland","Other degree","14","","",""
"Some worries","1985","Rhineland-Palatinate,Saarland","no degree/no degree yet","17","","",""
"Some worries","1985","Baden-Württemberg","lower secondary degree","405","0.427671973462737","0.39617840847074","0.459165538454733"
"Some worries","1985","Baden-Württemberg","secondary school degree","118","0.437651946804369","0.379647410224571","0.495656483384167"
"Some worries","1985","Baden-Württemberg","college entrance qualification","63","0.37640548592028","0.305232169141514","0.447578802699046"
"Some worries","1985","Baden-Württemberg","Other degree","101","0.392618529888214","0.337814267514817","0.447422792261612"
"Some worries","1985","Baden-Württemberg","no degree/no degree yet","123","0.362478102332848","0.307990093471843","0.416966111193852"
"Some worries","1985","Bavaria","lower secondary degree","440","0.439047075172669","0.408133499152293","0.469960651193046"
"Some worries","1985","Bavaria","secondary school degree","137","0.38834637851676","0.338209512424906","0.438483244608613"
"Some worries","1985","Bavaria","college entrance qualification","67","0.308199054980721","0.246903910785456","0.369494199175986"
"Some worries","1985","Bavaria","Other degree","71","0.372446265056686","0.304935621343059","0.439956908770313"
"Some worries","1985","Bavaria","no degree/no degree yet","30","0.333256880308782","0.24040315608025","0.426110604537314"
"Some worries","1985","Berlin","lower secondary degree","59","0.438975670141542","0.357352211751959","0.520599128531124"
"Some worries","1985","Berlin","secondary school degree","24","","",""
"Some worries","1985","Berlin","college entrance qualification","18","","",""
"Some worries","1985","Berlin","Other degree","12","","",""
"Some worries","1985","Berlin","no degree/no degree yet","21","","",""
"Some worries","1985","Brandenburg","lower secondary degree","","","",""
