"plh0038","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1985","Couple + C. LE 16 ","higher vocational","84","0.425725236476946","0.354856963187728","0.496593509766165","1"
"Big worries","1985","Couple + C. LE 16 ","higher education","130","0.489035232868096","0.426441536194798","0.551628929541395","1"
"Big worries","1985","Couple + C. GT 16 ","in school","37","0.4451545865982","0.336250412973681","0.55405876022272","1"
"Big worries","1985","Couple + C. GT 16 ","inadequately","60","0.387603481445677","0.302194552508547","0.473012410382807","1"
"Big worries","1985","Couple + C. GT 16 ","general elemantary","308","0.502938997856376","0.463261372254567","0.542616623458186","1"
"Big worries","1985","Couple + C. GT 16 ","middle vocational","455","0.498889251817883","0.466632831228135","0.53114567240763","1"
"Big worries","1985","Couple + C. GT 16 ","vocational + Abi","16","","","","1"
"Big worries","1985","Couple + C. GT 16 ","higher vocational","41","0.417395690702378","0.320257206884786","0.514534174519969","1"
"Big worries","1985","Couple + C. GT 16 ","higher education","56","0.490409829018861","0.39656184531641","0.584257812721313","1"
"Big worries","1985","Couple + C. LE and GT 16","in school","34","0.473487808707207","0.364076625661823","0.582898991752591","1"
"Big worries","1985","Couple + C. LE and GT 16","inadequately","74","0.415675260740264","0.346679202317926","0.484671319162603","1"
"Big worries","1985","Couple + C. LE and GT 16","general elemantary","226","0.463910091437746","0.420501085833981","0.507319097041512","1"
"Big worries","1985","Couple + C. LE and GT 16","middle vocational","260","0.45990756963909","0.418956874160396","0.500858265117784","1"
"Big worries","1985","Couple + C. LE and GT 16","vocational + Abi","5","","","","1"
"Big worries","1985","Couple + C. LE and GT 16","higher vocational","18","","","","1"
"Big worries","1985","Couple + C. LE and GT 16","higher education","21","","","","1"
"No worries","1985","Couple + C. LE 16 ","vocational + Abi","7","","","","3"
"No worries","1985","Couple + C. LE 16 ","in school","","","","","3"
"No worries","1985","Couple + C. GT 16 ","inadequately","22","","","","3"
"No worries","1985","Couple + C. GT 16 ","higher education","6","","","","3"
