"plj0587","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Often","2015","66 and older","higher education","","","",""
"Sometimes","2015","16-34 y.","in school","","","",""
"Sometimes","2015","16-34 y.","inadequately","","","",""
"Sometimes","2015","16-34 y.","general elemantary","","","",""
"Sometimes","2015","16-34 y.","middle vocational","","","",""
"Sometimes","2015","16-34 y.","vocational + Abi","","","",""
"Sometimes","2015","16-34 y.","higher vocational","","","",""
"Sometimes","2015","16-34 y.","higher education","","","",""
"Sometimes","2015","35-65 y.","in school","","","",""
"Sometimes","2015","35-65 y.","inadequately","","","",""
"Sometimes","2015","35-65 y.","general elemantary","","","",""
"Sometimes","2015","35-65 y.","middle vocational","","","",""
"Sometimes","2015","35-65 y.","vocational + Abi","","","",""
"Sometimes","2015","35-65 y.","higher vocational","","","",""
"Sometimes","2015","35-65 y.","higher education","","","",""
"Sometimes","2015","66 and older","in school","","","",""
"Sometimes","2015","66 and older","inadequately","","","",""
"Sometimes","2015","66 and older","general elemantary","","","",""
"Sometimes","2015","66 and older","middle vocational","","","",""
"Sometimes","2015","66 and older","vocational + Abi","","","",""
"Sometimes","2015","66 and older","higher vocational","","","",""
"Sometimes","2015","66 and older","higher education","","","",""
"Rarely ","2015","16-34 y.","in school","","","",""
"Rarely ","2015","16-34 y.","inadequately","","","",""
"Rarely ","2015","16-34 y.","general elemantary","","","",""
"Rarely ","2015","16-34 y.","middle vocational","","","",""
"Rarely ","2015","16-34 y.","vocational + Abi","","","",""
"Rarely ","2015","16-34 y.","higher vocational","","","",""
"Rarely ","2015","16-34 y.","higher education","","","",""
"Rarely ","2015","35-65 y.","in school","","","",""
"Rarely ","2015","35-65 y.","inadequately","","","",""
"Rarely ","2015","35-65 y.","general elemantary","","","",""
"Rarely ","2015","35-65 y.","middle vocational","","","",""
"Rarely ","2015","35-65 y.","vocational + Abi","","","",""
"Rarely ","2015","35-65 y.","higher vocational","","","",""
"Rarely ","2015","35-65 y.","higher education","","","",""
"Rarely ","2015","66 and older","in school","","","",""
"Rarely ","2015","66 and older","inadequately","","","",""
"Rarely ","2015","66 and older","general elemantary","","","",""
"Rarely ","2015","66 and older","middle vocational","","","",""
"Rarely ","2015","66 and older","vocational + Abi","","","",""
"Rarely ","2015","66 and older","higher vocational","","","",""
"Rarely ","2015","66 and older","higher education","","","",""
"Never","2015","16-34 y.","in school","","","",""
"Never","2015","16-34 y.","inadequately","","","",""
"Never","2015","16-34 y.","general elemantary","","","",""
"Never","2015","16-34 y.","middle vocational","","","",""
"Never","2015","16-34 y.","vocational + Abi","","","",""
"Never","2015","16-34 y.","higher vocational","","","",""
"Never","2015","16-34 y.","higher education","","","",""
"Never","2015","35-65 y.","in school","","","",""
"Never","2015","35-65 y.","inadequately","","","",""
