"plj0587","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Sometimes","2015","(3b) higher tertiary education","","","",""
"Rarely ","2015","(0) in school","","","",""
"Rarely ","2015","(1a) inadequately completed","","","",""
"Rarely ","2015","(1b) general elementary school","","","",""
"Rarely ","2015","(1c) basic vocational qualification","","","",""
"Rarely ","2015","(2b) intermediate general qualification","","","",""
"Rarely ","2015","(2a) intermediate vocational","","","",""
"Rarely ","2015","(2c_gen) general maturity certificate","","","",""
"Rarely ","2015","(2c_voc) vocational maturity certificate","","","",""
"Rarely ","2015","(3a) lower tertiary education","","","",""
"Rarely ","2015","(3b) higher tertiary education","","","",""
"Never","2015","(0) in school","","","",""
"Never","2015","(1a) inadequately completed","","","",""
"Never","2015","(1b) general elementary school","","","",""
"Never","2015","(1c) basic vocational qualification","","","",""
"Never","2015","(2b) intermediate general qualification","","","",""
"Never","2015","(2a) intermediate vocational","","","",""
"Never","2015","(2c_gen) general maturity certificate","","","",""
"Never","2015","(2c_voc) vocational maturity certificate","","","",""
"Never","2015","(3a) lower tertiary education","","","",""
"Never","2015","(3b) higher tertiary education","","","",""
"Very often","2016","(0) in school","","","",""
"Very often","2016","(1a) inadequately completed","273","0.214050363641546","0.19365094894202","0.234449778341072"
"Very often","2016","(1b) general elementary school","114","0.139140720228739","0.115277139128423","0.163004301329056"
"Very often","2016","(1c) basic vocational qualification","","","",""
"Very often","2016","(2b) intermediate general qualification","","","",""
"Very often","2016","(2a) intermediate vocational","","","",""
"Very often","2016","(2c_gen) general maturity certificate","96","0.156670993947235","0.128082247740655","0.185259740153814"
"Very often","2016","(2c_voc) vocational maturity certificate","","","",""
"Very often","2016","(3a) lower tertiary education","","","",""
"Very often","2016","(3b) higher tertiary education","118","0.17845632340096","0.15103499553756","0.205877651264361"
"Often","2016","(0) in school","","","",""
"Often","2016","(1a) inadequately completed","281","0.203507545201948","0.183483885587195","0.223531204816702"
"Often","2016","(1b) general elementary school","143","0.207980219476609","0.179995468879357","0.235964970073861"
"Often","2016","(1c) basic vocational qualification","","","",""
"Often","2016","(2b) intermediate general qualification","","","",""
"Often","2016","(2a) intermediate vocational","","","",""
"Often","2016","(2c_gen) general maturity certificate","132","0.250339560063803","0.216267426462051","0.284411693665556"
"Often","2016","(2c_voc) vocational maturity certificate","","","",""
"Often","2016","(3a) lower tertiary education","","","",""
"Often","2016","(3b) higher tertiary education","124","0.172629749643986","0.145564318291457","0.199695180996514"
"Sometimes","2016","(0) in school","","","",""
"Sometimes","2016","(1a) inadequately completed","418","0.290566178125073","0.267985299395645","0.313147056854501"
"Sometimes","2016","(1b) general elementary school","267","0.344365216259656","0.311602262970392","0.377128169548919"
"Sometimes","2016","(1c) basic vocational qualification","34","0.30466204490996","0.213997468232255","0.395326621587665"
"Sometimes","2016","(2b) intermediate general qualification","","","",""
"Sometimes","2016","(2a) intermediate vocational","","","",""
"Sometimes","2016","(2c_gen) general maturity certificate","199","0.295507233903436","0.259621269806063","0.331393198000809"
"Sometimes","2016","(2c_voc) vocational maturity certificate","32","0.389775680382748","0.296492022704228","0.483059338061267"
"Sometimes","2016","(3a) lower tertiary education","","","",""
"Sometimes","2016","(3b) higher tertiary education","217","0.276405765315244","0.244377878887065","0.308433651743424"
"Rarely ","2016","(0) in school","","","",""
"Rarely ","2016","(1a) inadequately completed","226","0.114209661671944","0.0983906533276784","0.13002867001621"
"Rarely ","2016","(1b) general elementary school","108","0.124626153118635","0.101851918567821","0.14740038766945"
"Rarely ","2016","(1c) basic vocational qualification","","","",""
"Rarely ","2016","(2b) intermediate general qualification","","","",""
"Rarely ","2016","(2a) intermediate vocational","","","",""
"Rarely ","2016","(2c_gen) general maturity certificate","103","0.156647204124923","0.128060225337826","0.185234182912019"
"Rarely ","2016","(2c_voc) vocational maturity certificate","","","",""
"Rarely ","2016","(3a) lower tertiary education","","","",""
"Rarely ","2016","(3b) higher tertiary education","134","0.170674349860618","0.143730859219189","0.197617840502048"
"Never","2016","(0) in school","","","",""
"Never","2016","(1a) inadequately completed","355","0.177666251359488","0.158655954892844","0.196676547826132"
"Never","2016","(1b) general elementary school","176","0.18388769091636","0.157176472139475","0.210598909693246"
"Never","2016","(1c) basic vocational qualification","","","",""
"Never","2016","(2b) intermediate general qualification","","","",""
"Never","2016","(2a) intermediate vocational","","","",""
"Never","2016","(2c_gen) general maturity certificate","91","0.140835007960603","0.113476280783449","0.168193735137758"
"Never","2016","(2c_voc) vocational maturity certificate","30","0.238755771998051","0.157211701319893","0.320299842676209"
"Never","2016","(3a) lower tertiary education","","","",""
"Never","2016","(3b) higher tertiary education","156","0.201833811779191","0.173089573360469","0.230578050197913"
"Very often","2017","(0) in school","","","",""
"Very often","2017","(1a) inadequately completed","234","0.0718767816751359","0.059733939925431","0.0840196234248409"
"Very often","2017","(1b) general elementary school","139","0.0310776811194308","0.024325304764097","0.0378300574747647"
"Very often","2017","(1c) basic vocational qualification","106","0.0185351314436947","0.0148867213063821","0.0221835415810073"
"Very often","2017","(2b) intermediate general qualification","","","",""
"Very often","2017","(2a) intermediate vocational","83","0.0155793399145266","0.0124814629830683","0.0186772168459849"
"Very often","2017","(2c_gen) general maturity certificate","88","0.0222352846642816","0.0155878249164636","0.0288827444120996"
"Very often","2017","(2c_voc) vocational maturity certificate","57","0.026932767253221","0.0208689894032947","0.0329965451031473"
"Very often","2017","(3a) lower tertiary education","","","",""
"Very often","2017","(3b) higher tertiary education","141","0.00939560471150102","0.00670831727548758","0.0120828921475145"
"Often","2017","(0) in school","30","0.0394906362825945","0.0211885191839495","0.0577927533812395"
"Often","2017","(1a) inadequately completed","322","0.138154597914288","0.121931994135901","0.154377201692675"
"Often","2017","(1b) general elementary school","339","0.112170495727758","0.0998906767791517","0.124450314676365"
"Often","2017","(1c) basic vocational qualification","410","0.0731716890441019","0.0661273601436988","0.0802160179445051"
"Often","2017","(2b) intermediate general qualification","76","0.0798355795433631","0.061284374558325","0.0983867845284011"
"Often","2017","(2a) intermediate vocational","390","0.0610003391658167","0.0550134927524696","0.0669871855791639"
"Often","2017","(2c_gen) general maturity certificate","197","0.0916507417744026","0.0786427092537818","0.104658774295024"
"Often","2017","(2c_voc) vocational maturity certificate","217","0.0794794596082783","0.0693479172658024","0.0896110019507542"
"Often","2017","(3a) lower tertiary education","115","0.0483063857786332","0.0390248036738472","0.0575879678834192"
"Often","2017","(3b) higher tertiary education","410","0.07608832104006","0.0687028898380787","0.0834737522420412"
"Sometimes","2017","(0) in school","135","0.309550557057088","0.2661060174485","0.352995096665676"
"Sometimes","2017","(1a) inadequately completed","548","0.32004289731989","0.298111411316724","0.341974383323056"
"Sometimes","2017","(1b) general elementary school","834","0.301089144368204","0.283238812319086","0.318939476417323"
"Sometimes","2017","(1c) basic vocational qualification","1655","0.323655064839064","0.310999143577782","0.336310986100345"
"Sometimes","2017","(2b) intermediate general qualification","250","0.315628555508318","0.283817707337938","0.347439403678698"
"Sometimes","2017","(2a) intermediate vocational","1903","0.322991034025934","0.311293570009457","0.33468849804241"
"Sometimes","2017","(2c_gen) general maturity certificate","640","0.316735677293694","0.295762701591838","0.33770865299555"
"Sometimes","2017","(2c_voc) vocational maturity certificate","856","0.297661451762795","0.280535058206019","0.314787845319571"
"Sometimes","2017","(3a) lower tertiary education","637","0.335299674308421","0.314863449472698","0.355735899144143"
"Sometimes","2017","(3b) higher tertiary education","1505","0.28750207326224","0.274895010329998","0.300109136194482"
"Rarely ","2017","(0) in school","175","0.439505628388447","0.392864257044397","0.486146999732497"
"Rarely ","2017","(1a) inadequately completed","303","0.282930865040468","0.261754867230622","0.304106862850314"
"Rarely ","2017","(1b) general elementary school","696","0.343347153122888","0.324870534333001","0.361823771912774"
"Rarely ","2017","(1c) basic vocational qualification","1938","0.377489126297229","0.364376365668014","0.390601886926445"
"Rarely ","2017","(2b) intermediate general qualification","316","0.401611363705644","0.368058018117851","0.435164709293437"
"Rarely ","2017","(2a) intermediate vocational","2537","0.415896414420081","0.403567160454846","0.428225668385315"
"Rarely ","2017","(2c_gen) general maturity certificate","614","0.358037462755441","0.336423407032942","0.37965151847794"
"Rarely ","2017","(2c_voc) vocational maturity certificate","1046","0.394010893337405","0.375708078240355","0.412313708434454"
"Rarely ","2017","(3a) lower tertiary education","910","0.428018380871557","0.406599666133669","0.449437095609445"
"Rarely ","2017","(3b) higher tertiary education","1981","0.45282669404969","0.438961367921955","0.466692020177425"
"Never","2017","(0) in school","90","0.203466421369692","0.165635067803169","0.241297774936216"
