"plj0587","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Very often","2017","higher vocational","East Germany","6","","","","1"
"Very often","2017","higher education","West Germany","146","0.0106302107316273","0.00792188195227359","0.013338539510981","1"
"Very often","2017","higher education","East Germany","20","","","","1"
"Never","2018","in school","West Germany","2","","","","5"
"Never","2018","general elemantary","West Germany","19","","","","5"
"Never","2018","general elemantary","East Germany","5","","","","5"
"Never","2018","higher vocational","East Germany","","","","","5"
"Never","2018","higher education","West Germany","4","","","","5"
"Never","2018","higher education","East Germany","4","","","","5"
"Never","2018","in school","East Germany","","","","","5"
"Never","2018","inadequately","West Germany","37","0.242985207758768","0.174803417896589","0.311166997620948","5"
"Never","2018","inadequately","East Germany","4","","","","5"
"Never","2018","middle vocational","West Germany","14","","","","5"
"Never","2018","middle vocational","East Germany","1","","","","5"
"Never","2018","vocational + Abi","West Germany","5","","","","5"
"Never","2018","vocational + Abi","East Germany","","","","","5"
"Never","2018","higher vocational","West Germany","","","","","5"
"Often","2018","in school","West Germany","2","","","","2"
"Often","2018","in school","East Germany","","","","","2"
"Often","2018","inadequately","West Germany","29","","","","2"
"Often","2018","general elemantary","West Germany","13","","","","2"
"Often","2018","general elemantary","East Germany","4","","","","2"
"Often","2018","middle vocational","West Germany","6","","","","2"
"Often","2018","middle vocational","East Germany","1","","","","2"
"Often","2018","vocational + Abi","West Germany","","","","","2"
"Often","2018","vocational + Abi","East Germany","","","","","2"
"Often","2018","higher vocational","West Germany","","","","","2"
"Often","2018","higher vocational","East Germany","","","","","2"
"Often","2018","higher education","West Germany","7","","","","2"
"Often","2018","higher education","East Germany","3","","","","2"
"Often","2018","inadequately","East Germany","4","","","","2"
"Rarely ","2018","in school","West Germany","3","","","","4"
"Rarely ","2018","inadequately","East Germany","","","","","4"
"Rarely ","2018","general elemantary","West Germany","14","","","","4"
"Rarely ","2018","general elemantary","East Germany","3","","","","4"
"Rarely ","2018","middle vocational","West Germany","7","","","","4"
"Rarely ","2018","middle vocational","East Germany","","","","","4"
"Rarely ","2018","vocational + Abi","West Germany","1","","","","4"
"Rarely ","2018","in school","East Germany","","","","","4"
"Rarely ","2018","inadequately","West Germany","14","","","","4"
"Rarely ","2018","higher vocational","East Germany","","","","","4"
"Rarely ","2018","higher vocational","West Germany","","","","","4"
"Rarely ","2018","higher education","West Germany","3","","","","4"
"Rarely ","2018","vocational + Abi","East Germany","","","","","4"
"Rarely ","2018","higher education","East Germany","1","","","","4"
"Sometimes","2018","in school","East Germany","","","","","3"
"Sometimes","2018","in school","West Germany","1","","","","3"
"Sometimes","2018","inadequately","East Germany","2","","","","3"
"Sometimes","2018","inadequately","West Germany","49","0.432823405312945","0.354057038022775","0.511589772603114","3"
"Sometimes","2018","general elemantary","West Germany","26","","","","3"
"Sometimes","2018","general elemantary","East Germany","5","","","","3"
"Sometimes","2018","middle vocational","West Germany","19","","","","3"
"Sometimes","2018","middle vocational","East Germany","2","","","","3"
"Sometimes","2018","vocational + Abi","West Germany","","","","","3"
"Sometimes","2018","vocational + Abi","East Germany","","","","","3"
"Sometimes","2018","higher vocational","West Germany","","","","","3"
"Sometimes","2018","higher vocational","East Germany","","","","","3"
"Sometimes","2018","higher education","West Germany","16","","","","3"
"Sometimes","2018","higher education","East Germany","1","","","","3"
"Very often","2018","general elemantary","East Germany","1","","","","1"
"Very often","2018","middle vocational","West Germany","8","","","","1"
"Very often","2018","middle vocational","East Germany","1","","","","1"
"Very often","2018","vocational + Abi","West Germany","1","","","","1"
"Very often","2018","vocational + Abi","East Germany","","","","","1"
"Very often","2018","higher vocational","East Germany","","","","","1"
