"plb0218","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Yes, every week","2009","16-34 y.","indirect migration background","61","0.229598573961513","0.182705145765672","0.276492002157355"
"Yes, every week","2009","35-65 y.","no migration background","998","0.152899344540663","0.144201643201773","0.161597045879552"
"Yes, every week","2009","35-65 y.","direct migration background","112","0.178883032515047","0.149927760682405","0.207838304347689"
"Yes, every week","2009","35-65 y.","indirect migration background","21","","",""
"Yes, every week","2009","66 and older","no migration background","51","0.205611127939661","0.150152018552247","0.261070237327076"
"Yes, every week","2009","66 and older","direct migration background","4","","",""
"Yes, every week","2009","66 and older","indirect migration background","","","",""
"Yes, every 2 weeks","2009","16-34 y.","no migration background","370","0.172703199404445","0.156513431741044","0.188892967067846"
"Yes, every 2 weeks","2009","16-34 y.","direct migration background","29","","",""
"Yes, every 2 weeks","2009","16-34 y.","indirect migration background","43","0.12544505344459","0.0885142146246814","0.162375892264499"
"Yes, every 2 weeks","2009","35-65 y.","no migration background","878","0.145955933431078","0.137423258761466","0.154488608100689"
"Yes, every 2 weeks","2009","35-65 y.","direct migration background","100","0.134400873456515","0.10863172845588","0.160170018457149"
"Yes, every 2 weeks","2009","35-65 y.","indirect migration background","24","","",""
"Yes, every 2 weeks","2009","66 and older","no migration background","15","","",""
"Yes, every 2 weeks","2009","66 and older","direct migration background","1","","",""
"Yes, every 2 weeks","2009","66 and older","indirect migration background","1","","",""
"Yes, every 3-4 weeks","2009","16-34 y.","no migration background","192","0.092911751474198","0.0804774942812631","0.105346008667133"
"Yes, every 3-4 weeks","2009","16-34 y.","direct migration background","11","","",""
"Yes, every 3-4 weeks","2009","16-34 y.","indirect migration background","15","","",""
"Yes, every 3-4 weeks","2009","35-65 y.","no migration background","624","0.0906391446207507","0.0837007308230808","0.0975775584184205"
"Yes, every 3-4 weeks","2009","35-65 y.","direct migration background","48","0.0816377008153753","0.0609509175316382","0.102324484099112"
"Yes, every 3-4 weeks","2009","35-65 y.","indirect migration background","13","","",""
"Yes, every 3-4 weeks","2009","66 and older","no migration background","9","","",""
"Yes, every 3-4 weeks","2009","66 and older","direct migration background","2","","",""
"Yes, every 3-4 weeks","2009","66 and older","indirect migration background","","","",""
"Rarely","2009","16-34 y.","no migration background","485","0.236618378804507","0.218414881261146","0.254821876347867"
"Rarely","2009","16-34 y.","direct migration background","42","0.207844277376239","0.149995856713166","0.265692698039313"
"Rarely","2009","16-34 y.","indirect migration background","43","0.135738837313469","0.0975493865435808","0.173928288083358"
"Rarely","2009","35-65 y.","no migration background","1783","0.274855441189131","0.264066007857876","0.285644874520386"
"Rarely","2009","35-65 y.","direct migration background","133","0.169802922507045","0.141436554074956","0.198169290939134"
"Rarely","2009","35-65 y.","indirect migration background","40","0.309035356577711","0.234838252639335","0.383232460516087"
"Rarely","2009","66 and older","no migration background","59","0.262088514753845","0.201741035075936","0.322435994431753"
"Rarely","2009","66 and older","direct migration background","3","","",""
"Rarely","2009","66 and older","indirect migration background","","","",""
"No, never","2010","16-34 y.","no migration background","337","0.344692381074108","0.315235514899884","0.374149247248332"
"No, never","2010","16-34 y.","direct migration background","76","0.268153704229317","0.21635763879173","0.319949769666905"
"No, never","2010","16-34 y.","indirect migration background","49","0.314565348970808","0.236810715972977","0.392319981968638"
"No, never","2010","35-65 y.","no migration background","892","0.369879039447233","0.351122789073152","0.388635289821313"
"No, never","2010","35-65 y.","direct migration background","136","0.329252184461408","0.28514099056595","0.373363378356866"
"No, never","2010","35-65 y.","indirect migration background","44","0.383625423284901","0.29698282756238","0.470268019007421"
"No, never","2010","66 and older","no migration background","","","",""
"No, never","2010","66 and older","direct migration background","","","",""
"No, never","2010","66 and older","indirect migration background","","","",""
"Yes, every week","2010","16-34 y.","no migration background","133","0.124797146302327","0.104313617313303","0.14528067529135"
"Yes, every week","2010","16-34 y.","direct migration background","50","0.189065681617355","0.143283748832554","0.234847614402155"
"Yes, every week","2010","16-34 y.","indirect migration background","21","","",""
"Yes, every week","2010","35-65 y.","no migration background","352","0.133721857736875","0.120498733551335","0.146944981922415"
"Yes, every week","2010","35-65 y.","direct migration background","58","0.107353067529907","0.0782959898698954","0.136410145189918"
"Yes, every week","2010","35-65 y.","indirect migration background","18","","",""
"Yes, every week","2010","66 and older","no migration background","1","","",""
"Yes, every week","2010","66 and older","direct migration background","","","",""
"Yes, every week","2010","66 and older","indirect migration background","","","",""
