"m11125","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"5 on Scale 1 to 10","1986","general elemantary","Rural Area","103","0.172542160100546","0.144204871573733","0.200879448627359","5"
"5 on Scale 1 to 10","1986","in school","Urban Area","7","","","","5"
"5 on Scale 1 to 10","1986","middle vocational","Rural Area","151","0.14718839493915","0.125910109883226","0.168466679995075","5"
"5 on Scale 1 to 10","1986","inadequately","Urban Area","113","0.14247243960009","0.116239595540832","0.168705283659347","5"
"5 on Scale 1 to 10","1986","inadequately","Rural Area","11","","","","5"
"5 on Scale 1 to 10","1986","higher vocational","Urban Area","63","0.144597608504495","0.112493293094065","0.176701923914925","5"
"5 on Scale 1 to 10","1986","higher vocational","Rural Area","13","","","","5"
"5 on Scale 1 to 10","1986","higher education","Urban Area","60","0.0957931934571098","0.0728116587219078","0.118774728192312","5"
"5 on Scale 1 to 10","1986","higher education","Rural Area","12","","","","5"
"5 on Scale 1 to 10","1986","general elemantary","Urban Area","384","0.191665625290238","0.175328964238756","0.20800228634172","5"
"5 on Scale 1 to 10","1986","in school","Rural Area","1","","","","5"
"5 on Scale 1 to 10","1986","vocational + Abi","Urban Area","33","0.149407182018726","0.103534863459574","0.195279500577879","5"
"5 on Scale 1 to 10","1986","vocational + Abi","Rural Area","9","","","","5"
"6 on Scale 1 to 10","1986","inadequately","Urban Area","59","0.0850962612749009","0.0641551924238392","0.106037330125963","6"
"6 on Scale 1 to 10","1986","in school","Urban Area","10","","","","6"
"6 on Scale 1 to 10","1986","vocational + Abi","Rural Area","1","","","","6"
"6 on Scale 1 to 10","1986","in school","Rural Area","","","","","6"
"6 on Scale 1 to 10","1986","middle vocational","Rural Area","88","0.0873930617361153","0.0704319760717986","0.104354147400432","6"
"6 on Scale 1 to 10","1986","vocational + Abi","Urban Area","24","","","","6"
"6 on Scale 1 to 10","1986","inadequately","Rural Area","7","","","","6"
"6 on Scale 1 to 10","1986","higher education","Rural Area","9","","","","6"
"6 on Scale 1 to 10","1986","middle vocational","Urban Area","343","0.0903378087883759","0.0813856052283315","0.0992900123484203","6"
"6 on Scale 1 to 10","1986","general elemantary","Rural Area","65","0.102671934943474","0.0799084244434132","0.125435445443535","6"
"6 on Scale 1 to 10","1986","general elemantary","Urban Area","197","0.0933353365122377","0.081261590011609","0.105409083012866","6"
"6 on Scale 1 to 10","1986","higher vocational","Urban Area","37","0.0806588619012201","0.0558011002038642","0.105516623598576","6"
"6 on Scale 1 to 10","1986","higher vocational","Rural Area","8","","","","6"
"6 on Scale 1 to 10","1986","higher education","Urban Area","46","0.0801541696098093","0.0589511166583033","0.101357222561315","6"
