"m11125","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"7 on Scale 1 to 10","1990","35-65 y.","Employed","599","0.167934870160444","0.155336615242028","0.180533125078859","7"
"7 on Scale 1 to 10","1990","16-34 y.","Employed","404","0.16273758507748","0.148911281105553","0.176563889049407","7"
"7 on Scale 1 to 10","1990","66 and older","Not Employed","127","0.12386038098197","0.103584395150867","0.144136366813074","7"
"7 on Scale 1 to 10","1990","66 and older","Employed","5","","","","7"
"8 on Scale 1 to 10","1990","16-34 y.","Not Employed","218","0.232854410409572","0.205454059578194","0.26025476124095","8"
"8 on Scale 1 to 10","1990","16-34 y.","Employed","748","0.282776869156666","0.265908214249666","0.299645524063666","8"
"8 on Scale 1 to 10","1990","35-65 y.","Not Employed","252","0.17510981901259","0.155272094664676","0.194947543360504","8"
"8 on Scale 1 to 10","1990","66 and older","Employed","10","","","","8"
"8 on Scale 1 to 10","1990","35-65 y.","Employed","786","0.238253596284703","0.223895851541202","0.252611341028204","8"
"8 on Scale 1 to 10","1990","66 and older","Not Employed","159","0.148772435316153","0.126868951866319","0.170675918765987","8"
"9 on Scale 1 to 10","1990","16-34 y.","Not Employed","187","0.215377956286474","0.188727424975543","0.242028487597405","9"
"9 on Scale 1 to 10","1990","16-34 y.","Employed","509","0.177301239310127","0.162995586647024","0.191606891973231","9"
"9 on Scale 1 to 10","1990","35-65 y.","Not Employed","81","0.0553043636242735","0.0433737113252081","0.0672350159233389","9"
"9 on Scale 1 to 10","1990","35-65 y.","Employed","297","0.0887674118462113","0.0791821785078393","0.0983526451845832","9"
"9 on Scale 1 to 10","1990","66 and older","Employed","3","","","","9"
"9 on Scale 1 to 10","1990","66 and older","Not Employed","41","0.0401108716155121","0.0280335481067494","0.0521881951242749","9"
"0 Completely dissatisfied","1991","16-34 y.","Not Employed","10","","","","0"
"0 Completely dissatisfied","1991","16-34 y.","Employed","21","","","","0"
"0 Completely dissatisfied","1991","35-65 y.","Not Employed","43","0.037322349175092","0.027142978968995","0.0475017193811889","0"
"0 Completely dissatisfied","1991","35-65 y.","Employed","37","0.0131884974770619","0.009370674451898","0.0170063205022259","0"
"0 Completely dissatisfied","1991","66 and older","Not Employed","58","0.0617383981084686","0.0470542792062291","0.0764225170107081","0"
"0 Completely dissatisfied","1991","66 and older","Employed","1","","","","0"
"1 on Scale 1 to 10","1991","16-34 y.","Not Employed","5","","","","1"
"1 on Scale 1 to 10","1991","16-34 y.","Employed","8","","","","1"
"1 on Scale 1 to 10","1991","35-65 y.","Not Employed","23","","","","1"
"1 on Scale 1 to 10","1991","35-65 y.","Employed","27","","","","1"
"1 on Scale 1 to 10","1991","66 and older","Not Employed","38","0.0348758725397732","0.0236824636225111","0.0460692814570352","1"
"1 on Scale 1 to 10","1991","66 and older","Employed","3","","","","1"
"10 Completely satisfied","1991","16-34 y.","Employed","425","0.138364789017247","0.125381707511837","0.151347870522657","10"
"10 Completely satisfied","1991","16-34 y.","Not Employed","173","0.143044068014423","0.120131907643569","0.165956228385278","10"
"10 Completely satisfied","1991","35-65 y.","Not Employed","69","0.0534234840500617","0.0413470157655719","0.0654999523345514","10"
"10 Completely satisfied","1991","35-65 y.","Employed","233","0.0713079381420005","0.0626959021296104","0.0799199741543906","10"
"10 Completely satisfied","1991","66 and older","Not Employed","40","0.0379354357019535","0.0262798825312174","0.0495909888726896","10"
"10 Completely satisfied","1991","66 and older","Employed","3","","","","10"
"2 on Scale 1 to 10","1991","16-34 y.","Not Employed","7","","","","2"
"2 on Scale 1 to 10","1991","16-34 y.","Employed","35","0.0135451072410678","0.00919867302056643","0.0178915414615692","2"
"2 on Scale 1 to 10","1991","35-65 y.","Employed","66","0.0196624829436199","0.0150161746590304","0.0243087912282094","2"
"2 on Scale 1 to 10","1991","35-65 y.","Not Employed","66","0.0554782694345843","0.0431851129945592","0.0677714258746094","2"
"2 on Scale 1 to 10","1991","66 and older","Not Employed","53","0.0505612446966111","0.0371937322125595","0.0639287571806627","2"
"2 on Scale 1 to 10","1991","66 and older","Employed","","","","","2"
"3 on Scale 1 to 10","1991","16-34 y.","Not Employed","16","","","","3"
"3 on Scale 1 to 10","1991","16-34 y.","Employed","73","0.0336005112104863","0.0268248051090492","0.0403762173119233","3"
"3 on Scale 1 to 10","1991","35-65 y.","Not Employed","106","0.0790551896963721","0.064564869789759","0.0935455096029852","3"
"3 on Scale 1 to 10","1991","35-65 y.","Employed","172","0.0441664613433144","0.0372904202125421","0.0510425024740867","3"
"3 on Scale 1 to 10","1991","66 and older","Not Employed","87","0.0828368409324686","0.0660200429435591","0.0996536389213782","3"
"3 on Scale 1 to 10","1991","66 and older","Employed","","","","","3"
"4 on Scale 1 to 10","1991","16-34 y.","Not Employed","26","","","","4"
"4 on Scale 1 to 10","1991","35-65 y.","Employed","182","0.0580864087158115","0.0502585347254252","0.0659142827061979","4"
"4 on Scale 1 to 10","1991","16-34 y.","Employed","95","0.0365067684383159","0.0294547359982365","0.0435588008783953","4"
"4 on Scale 1 to 10","1991","35-65 y.","Not Employed","98","0.0701767403637979","0.0564586778549296","0.0838948028726662","4"
"4 on Scale 1 to 10","1991","66 and older","Not Employed","73","0.0761680925150301","0.0599838916032407","0.0923522934268196","4"
"4 on Scale 1 to 10","1991","66 and older","Employed","5","","","","4"
"5 on Scale 1 to 10","1991","16-34 y.","Not Employed","75","0.0936331372204983","0.0745689336647219","0.112697340776275","5"
"5 on Scale 1 to 10","1991","16-34 y.","Employed","249","0.0993547044375966","0.0881067284091277","0.110602680466065","5"
"5 on Scale 1 to 10","1991","35-65 y.","Not Employed","228","0.173160953512303","0.152840590990266","0.193481316034339","5"
"5 on Scale 1 to 10","1991","35-65 y.","Employed","549","0.165922614655839","0.153472968860625","0.178372260451053","5"
"5 on Scale 1 to 10","1991","66 and older","Employed","9","","","","5"
"5 on Scale 1 to 10","1991","66 and older","Not Employed","212","0.210043299184325","0.185191129989415","0.234895468379235","5"
"6 on Scale 1 to 10","1991","16-34 y.","Not Employed","61","0.0863030945827266","0.0679264535996354","0.104679735565818","6"
"6 on Scale 1 to 10","1991","16-34 y.","Employed","159","0.0589916192981006","0.050132405629181","0.0678508329670201","6"
"6 on Scale 1 to 10","1991","35-65 y.","Not Employed","149","0.110981923756308","0.0941133875110508","0.127850460001565","6"
"6 on Scale 1 to 10","1991","35-65 y.","Employed","404","0.114770307355956","0.104103270645515","0.125437344066397","6"
"6 on Scale 1 to 10","1991","66 and older","Not Employed","121","0.121739261369295","0.101789610121094","0.141688912617495","6"
"6 on Scale 1 to 10","1991","66 and older","Employed","4","","","","6"
"7 on Scale 1 to 10","1991","16-34 y.","Not Employed","124","0.154299121335671","0.130659419917112","0.17793882275423","7"
"7 on Scale 1 to 10","1991","16-34 y.","Employed","379","0.148757573698485","0.135377162953772","0.162137984443198","7"
"7 on Scale 1 to 10","1991","35-65 y.","Not Employed","201","0.146329660327847","0.127349177449764","0.16531014320593","7"
"7 on Scale 1 to 10","1991","35-65 y.","Employed","589","0.170122642650082","0.157548191187974","0.18269709411219","7"
"7 on Scale 1 to 10","1991","66 and older","Not Employed","137","0.128732948007156","0.108300107489716","0.149165788524596","7"
"7 on Scale 1 to 10","1991","66 and older","Employed","5","","","","7"
"8 on Scale 1 to 10","1991","16-34 y.","Not Employed","209","0.223380945262549","0.196123888871208","0.25063800165389","8"
"8 on Scale 1 to 10","1991","16-34 y.","Employed","756","0.273226098119133","0.256470342266","0.289981853972266","8"
"8 on Scale 1 to 10","1991","35-65 y.","Not Employed","260","0.196498505194306","0.175159756508534","0.217837253880079","8"
"8 on Scale 1 to 10","1991","35-65 y.","Employed","795","0.232307212960486","0.218174481453279","0.246439944467694","8"
"8 on Scale 1 to 10","1991","66 and older","Not Employed","164","0.148584412526082","0.126884116090293","0.170284708961872","8"
"8 on Scale 1 to 10","1991","66 and older","Employed","8","","","","8"
"9 on Scale 1 to 10","1991","16-34 y.","Not Employed","191","0.221098985009799","0.193941698206009","0.248256271813588","9"
"9 on Scale 1 to 10","1991","35-65 y.","Not Employed","89","0.0626892704251785","0.0496715667721105","0.0757069740782464","9"
"9 on Scale 1 to 10","1991","16-34 y.","Employed","517","0.187011418912697","0.172349880000499","0.201672957824894","9"
"9 on Scale 1 to 10","1991","35-65 y.","Employed","376","0.103922504856755","0.0937100859933666","0.114134923720144","9"
"9 on Scale 1 to 10","1991","66 and older","Not Employed","49","0.046784194418837","0.0339001136798791","0.0596682751577948","9"
"9 on Scale 1 to 10","1991","66 and older","Employed","2","","","","9"
"0 Completely dissatisfied","1992","16-34 y.","Not Employed","14","","","","0"
"0 Completely dissatisfied","1992","16-34 y.","Employed","11","","","","0"
"0 Completely dissatisfied","1992","35-65 y.","Not Employed","82","0.0508119559878325","0.0403166723135477","0.0613072396621172","0"
"0 Completely dissatisfied","1992","35-65 y.","Employed","57","0.0124860838201826","0.00947147737887259","0.0155006902614926","0"
"0 Completely dissatisfied","1992","66 and older","Not Employed","83","0.0600929267462485","0.0477794013279925","0.0724064521645045","0"
"0 Completely dissatisfied","1992","66 and older","Employed","1","","","","0"
"1 on Scale 1 to 10","1992","16-34 y.","Not Employed","5","","","","1"
"1 on Scale 1 to 10","1992","16-34 y.","Employed","16","","","","1"
"1 on Scale 1 to 10","1992","35-65 y.","Not Employed","42","0.0265502353714577","0.0188673198960109","0.0342331508469045","1"
"1 on Scale 1 to 10","1992","35-65 y.","Employed","41","0.00818242070041494","0.0057367234751632","0.0106281179256667","1"
"1 on Scale 1 to 10","1992","66 and older","Not Employed","50","0.0373008808788401","0.0274826530541697","0.0471191087035105","1"
"1 on Scale 1 to 10","1992","66 and older","Employed","1","","","","1"
"10 Completely satisfied","1992","16-34 y.","Not Employed","238","0.191213748417177","0.168365474448808","0.214062022385546","10"
"10 Completely satisfied","1992","16-34 y.","Employed","608","0.149222102449967","0.137955471015197","0.160488733884738","10"
"10 Completely satisfied","1992","35-65 y.","Employed","388","0.0780875107820807","0.0708033164075111","0.0853717051566503","10"
"10 Completely satisfied","1992","35-65 y.","Not Employed","69","0.0395674741748306","0.0302512980850701","0.048883650264591","10"
"10 Completely satisfied","1992","66 and older","Not Employed","65","0.046717074843579","0.0357831268925489","0.0576510227946091","10"
"10 Completely satisfied","1992","66 and older","Employed","3","","","","10"
"2 on Scale 1 to 10","1992","16-34 y.","Not Employed","11","","","","2"
"2 on Scale 1 to 10","1992","16-34 y.","Employed","33","0.0108595641725432","0.00758235179227019","0.0141367765528161","2"
"2 on Scale 1 to 10","1992","35-65 y.","Not Employed","97","0.0491578017928323","0.0388257744682366","0.059489829117428","2"
"2 on Scale 1 to 10","1992","66 and older","Not Employed","90","0.0640544125446251","0.0513683134057938","0.0767405116834564","2"
"2 on Scale 1 to 10","1992","35-65 y.","Employed","116","0.0220415012451219","0.0180555986125249","0.0260274038777189","2"
"2 on Scale 1 to 10","1992","66 and older","Employed","","","","","2"
"3 on Scale 1 to 10","1992","16-34 y.","Not Employed","18","","","","3"
"3 on Scale 1 to 10","1992","16-34 y.","Employed","81","0.0220575093871815","0.017413380060148","0.026701638714215","3"
"3 on Scale 1 to 10","1992","35-65 y.","Employed","212","0.0396681313353977","0.0343693325350222","0.0449669301357733","3"
"3 on Scale 1 to 10","1992","35-65 y.","Not Employed","130","0.0801920063772118","0.0672127675211183","0.0931712452333053","3"
"3 on Scale 1 to 10","1992","66 and older","Not Employed","118","0.0830156303738637","0.0687204652700218","0.0973107954777055","3"
"3 on Scale 1 to 10","1992","66 and older","Employed","1","","","","3"
"4 on Scale 1 to 10","1992","16-34 y.","Not Employed","26","","","","4"
"4 on Scale 1 to 10","1992","16-34 y.","Employed","99","0.0259063337647852","0.0208832230714383","0.0309294444581321","4"
"4 on Scale 1 to 10","1992","35-65 y.","Employed","287","0.0554817529561142","0.0492669673554536","0.0616965385567748","4"
"4 on Scale 1 to 10","1992","66 and older","Not Employed","126","0.0882841914251606","0.0735847954674719","0.102983587382849","4"
"4 on Scale 1 to 10","1992","35-65 y.","Not Employed","117","0.0678279046444578","0.0558111458244545","0.0798446634644612","4"
"4 on Scale 1 to 10","1992","66 and older","Employed","1","","","","4"
"5 on Scale 1 to 10","1992","16-34 y.","Not Employed","86","0.0813696619229399","0.0654849768938628","0.097254346952017","5"
"5 on Scale 1 to 10","1992","16-34 y.","Employed","327","0.082088147118343","0.0734083389661396","0.0907679552705464","5"
"5 on Scale 1 to 10","1992","35-65 y.","Not Employed","299","0.177902757745168","0.159626468145095","0.196179047345241","5"
"5 on Scale 1 to 10","1992","35-65 y.","Employed","783","0.148617082188773","0.138960071349505","0.15827409302804","5"
"5 on Scale 1 to 10","1992","66 and older","Not Employed","292","0.201332469151065","0.180556169590566","0.222108768711563","5"
"5 on Scale 1 to 10","1992","66 and older","Employed","7","","","","5"
"6 on Scale 1 to 10","1992","66 and older","Not Employed","173","0.114982286841686","0.0984543088232596","0.131510264860112","6"
"6 on Scale 1 to 10","1992","16-34 y.","Not Employed","61","0.0548447465970091","0.041616689725931","0.0680728034680872","6"
"6 on Scale 1 to 10","1992","16-34 y.","Employed","219","0.0589639326270544","0.0515154850424544","0.0664123802116544","6"
"6 on Scale 1 to 10","1992","35-65 y.","Not Employed","193","0.112752993873996","0.097637532503422","0.127868455244569","6"
"6 on Scale 1 to 10","1992","35-65 y.","Employed","523","0.0966101374424602","0.0885897593162832","0.104630515568637","6"
"6 on Scale 1 to 10","1992","66 and older","Employed","6","","","","6"
"7 on Scale 1 to 10","1992","16-34 y.","Not Employed","131","0.109537409959939","0.0913920313984288","0.12768278852145","7"
"7 on Scale 1 to 10","1992","16-34 y.","Employed","536","0.147347849526235","0.136139871841934","0.158555827210536","7"
"7 on Scale 1 to 10","1992","66 and older","Not Employed","195","0.141721455156104","0.123651369812874","0.159791540499333","7"
"7 on Scale 1 to 10","1992","35-65 y.","Employed","911","0.173778356980245","0.163491279413992","0.184065434546499","7"
"7 on Scale 1 to 10","1992","35-65 y.","Not Employed","245","0.15137307652219","0.134244636268214","0.168501516776165","7"
"7 on Scale 1 to 10","1992","66 and older","Employed","7","","","","7"
"8 on Scale 1 to 10","1992","16-34 y.","Not Employed","294","0.280220635750846","0.254127473622173","0.30631379787952","8"
"8 on Scale 1 to 10","1992","16-34 y.","Employed","1123","0.298057815171763","0.283594417105929","0.312521213237596","8"
"8 on Scale 1 to 10","1992","35-65 y.","Not Employed","301","0.183397484732926","0.164903217039937","0.201891752425915","8"
"8 on Scale 1 to 10","1992","35-65 y.","Employed","1351","0.261677776394591","0.249744703918744","0.273610848870438","8"
"8 on Scale 1 to 10","1992","66 and older","Not Employed","197","0.131694968224822","0.114174366237742","0.149215570211902","8"
"8 on Scale 1 to 10","1992","66 and older","Employed","9","","","","8"
"9 on Scale 1 to 10","1992","16-34 y.","Not Employed","254","0.215795265672105","0.191894454203314","0.239696077140896","9"
"9 on Scale 1 to 10","1992","16-34 y.","Employed","789","0.19876915618039","0.18615022018837","0.211388092172409","9"
"9 on Scale 1 to 10","1992","35-65 y.","Not Employed","107","0.060466308777098","0.0490756720045208","0.0718569455496751","9"
"9 on Scale 1 to 10","1992","35-65 y.","Employed","543","0.103369246154619","0.0951041411124011","0.111634351196836","9"
"9 on Scale 1 to 10","1992","66 and older","Not Employed","42","0.0308037038140073","0.0218513834252729","0.0397560242027417","9"
"9 on Scale 1 to 10","1992","66 and older","Employed","2","","","","9"
"0 Completely dissatisfied","1993","35-65 y.","Employed","66","0.0115637118481754","0.00858420761951817","0.0145432160768326","0"
"0 Completely dissatisfied","1993","16-34 y.","Not Employed","11","","","","0"
"0 Completely dissatisfied","1993","16-34 y.","Employed","24","","","","0"
"0 Completely dissatisfied","1993","35-65 y.","Not Employed","58","0.0384742672976787","0.0295913244212835","0.0473572101740739","0"
"0 Completely dissatisfied","1993","66 and older","Not Employed","69","0.0525625804939","0.0410921559171758","0.0640330050706242","0"
"0 Completely dissatisfied","1993","66 and older","Employed","","","","","0"
"1 on Scale 1 to 10","1993","16-34 y.","Not Employed","7","","","","1"
"1 on Scale 1 to 10","1993","35-65 y.","Not Employed","41","0.0210321772521808","0.0144051682595315","0.0276591862448301","1"
"1 on Scale 1 to 10","1993","35-65 y.","Employed","34","0.00741482148818041","0.00502395525780165","0.00980568771855918","1"
"1 on Scale 1 to 10","1993","16-34 y.","Employed","12","","","","1"
"1 on Scale 1 to 10","1993","66 and older","Not Employed","59","0.0426200758660666","0.032237259927743","0.0530028918043901","1"
"1 on Scale 1 to 10","1993","66 and older","Employed","","","","","1"
"10 Completely satisfied","1993","16-34 y.","Employed","589","0.139404729039137","0.128301055783601","0.150508402294673","10"
"10 Completely satisfied","1993","16-34 y.","Not Employed","223","0.184336803367709","0.162108705771441","0.206564900963977","10"
"10 Completely satisfied","1993","35-65 y.","Not Employed","84","0.0512652343528472","0.0410799040889449","0.0614505646167494","10"
"10 Completely satisfied","1993","35-65 y.","Employed","315","0.0685260096156539","0.0614850132083255","0.0755670060229824","10"
"10 Completely satisfied","1993","66 and older","Not Employed","58","0.0481751341779047","0.0371684659106098","0.0591818024451996","10"
"10 Completely satisfied","1993","66 and older","Employed","3","","","","10"
"2 on Scale 1 to 10","1993","16-34 y.","Not Employed","14","","","","2"
"2 on Scale 1 to 10","1993","16-34 y.","Employed","42","0.0112316223127614","0.00785333196573365","0.0146099126597892","2"
"2 on Scale 1 to 10","1993","35-65 y.","Not Employed","107","0.0531930592771047","0.0428285335159146","0.0635575850382949","2"
"2 on Scale 1 to 10","1993","35-65 y.","Employed","126","0.0263537154070381","0.0218895264757719","0.0308179043383042","2"
"2 on Scale 1 to 10","1993","66 and older","Not Employed","100","0.0665754933723934","0.0537621435254729","0.079388843219314","2"
"2 on Scale 1 to 10","1993","66 and older","Employed","1","","","","2"
"3 on Scale 1 to 10","1993","16-34 y.","Employed","84","0.0235556035992006","0.0186937786286273","0.0284174285697739","3"
"3 on Scale 1 to 10","1993","16-34 y.","Not Employed","25","","","","3"
"3 on Scale 1 to 10","1993","35-65 y.","Not Employed","135","0.0708549232365844","0.0590049323712218","0.082704914101947","3"
"3 on Scale 1 to 10","1993","35-65 y.","Employed","231","0.0476960029266633","0.0417565036843266","0.0536355021690001","3"
"3 on Scale 1 to 10","1993","66 and older","Not Employed","129","0.0897505024907896","0.0750590560541697","0.10444194892741","3"
"3 on Scale 1 to 10","1993","66 and older","Employed","1","","","","3"
"4 on Scale 1 to 10","1993","16-34 y.","Not Employed","29","","","","4"
"4 on Scale 1 to 10","1993","16-34 y.","Employed","112","0.0314822112465313","0.0258844437281498","0.0370799787649128","4"
"4 on Scale 1 to 10","1993","35-65 y.","Not Employed","166","0.0915323647381744","0.0782145396777175","0.104850189798631","4"
"4 on Scale 1 to 10","1993","35-65 y.","Employed","300","0.061512815257671","0.0548167757063213","0.0682088548090208","4"
"4 on Scale 1 to 10","1993","66 and older","Not Employed","106","0.0701522416348453","0.0570244223865268","0.0832800608831638","4"
"4 on Scale 1 to 10","1993","66 and older","Employed","4","","","","4"
"5 on Scale 1 to 10","1993","16-34 y.","Not Employed","90","0.0761782276438761","0.0609709888976376","0.0913854663901145","5"
"5 on Scale 1 to 10","1993","16-34 y.","Employed","319","0.088982110313821","0.0798547909686797","0.0981094296589623","5"
"5 on Scale 1 to 10","1993","35-65 y.","Not Employed","381","0.206653292886123","0.187953193647031","0.225353392125215","5"
"5 on Scale 1 to 10","1993","35-65 y.","Employed","790","0.151603046734038","0.141608236570171","0.161597856897905","5"
"5 on Scale 1 to 10","1993","66 and older","Not Employed","330","0.222429231687435","0.201052968821858","0.243805494553012","5"
"5 on Scale 1 to 10","1993","66 and older","Employed","6","","","","5"
"6 on Scale 1 to 10","1993","16-34 y.","Not Employed","84","0.0774182851366203","0.0620980641276304","0.0927385061456103","6"
"6 on Scale 1 to 10","1993","16-34 y.","Employed","272","0.0736198036724764","0.0652479736673822","0.0819916336775706","6"
"6 on Scale 1 to 10","1993","35-65 y.","Not Employed","216","0.12463332014631","0.109378632390552","0.139888007902068","6"
"6 on Scale 1 to 10","1993","35-65 y.","Employed","621","0.119617775588476","0.110573901056586","0.128661650120366","6"
"6 on Scale 1 to 10","1993","66 and older","Not Employed","183","0.12073041321767","0.103983481211386","0.137477345223954","6"
"6 on Scale 1 to 10","1993","66 and older","Employed","3","","","","6"
"7 on Scale 1 to 10","1993","16-34 y.","Employed","577","0.159669470073976","0.147926864985552","0.1714120751624","7"
"7 on Scale 1 to 10","1993","16-34 y.","Not Employed","161","0.13801944723424","0.118247032508781","0.157791861959699","7"
"7 on Scale 1 to 10","1993","35-65 y.","Employed","896","0.186823770483923","0.175961279251981","0.197686261715865","7"
"7 on Scale 1 to 10","1993","66 and older","Not Employed","161","0.113893377042123","0.0975644324930096","0.130222321591236","7"
"7 on Scale 1 to 10","1993","35-65 y.","Not Employed","228","0.124319140936758","0.109080958694383","0.139557323179132","7"
"7 on Scale 1 to 10","1993","66 and older","Employed","4","","","","7"
"8 on Scale 1 to 10","1993","16-34 y.","Not Employed","319","0.286870917972377","0.260942968548897","0.312798867395857","8"
"8 on Scale 1 to 10","1993","16-34 y.","Employed","1026","0.286735160140204","0.272237619802763","0.301232700477645","8"
"8 on Scale 1 to 10","1993","35-65 y.","Not Employed","288","0.161186953492689","0.144204956233928","0.17816895075145","8"
"8 on Scale 1 to 10","1993","35-65 y.","Employed","1129","0.231120282398318","0.219372138236671","0.242868426559964","8"
"8 on Scale 1 to 10","1993","66 and older","Not Employed","224","0.149563867385718","0.131232279598319","0.167895455173117","8"
"8 on Scale 1 to 10","1993","66 and older","Employed","9","","","","8"
"9 on Scale 1 to 10","1993","16-34 y.","Not Employed","206","0.160963902005691","0.13989725568413","0.182030548327252","9"
"9 on Scale 1 to 10","1993","16-34 y.","Employed","681","0.173370554831188","0.16123466717176","0.185506442490615","9"
"9 on Scale 1 to 10","1993","35-65 y.","Employed","438","0.0877680482518632","0.0798823183949374","0.095653778108789","9"
"9 on Scale 1 to 10","1993","35-65 y.","Not Employed","97","0.0568552663835508","0.0461606365804752","0.0675498961866264","9"
"9 on Scale 1 to 10","1993","66 and older","Not Employed","35","0.0235470826311544","0.0157530881250918","0.0313410771372169","9"
"9 on Scale 1 to 10","1993","66 and older","Employed","6","","","","9"
"0 Completely dissatisfied","1994","35-65 y.","Employed","59","0.013464255192901","0.0101738684168475","0.0167546419689545","0"
"0 Completely dissatisfied","1994","16-34 y.","Not Employed","8","","","","0"
"0 Completely dissatisfied","1994","16-34 y.","Employed","18","","","","0"
"0 Completely dissatisfied","1994","35-65 y.","Not Employed","67","0.0362910820508099","0.0278284672821545","0.0447536968194653","0"
"0 Completely dissatisfied","1994","66 and older","Not Employed","72","0.0531928405796038","0.0417517287102947","0.0646339524489128","0"
"0 Completely dissatisfied","1994","66 and older","Employed","1","","","","0"
"1 on Scale 1 to 10","1994","16-34 y.","Not Employed","2","","","","1"
"1 on Scale 1 to 10","1994","16-34 y.","Employed","20","","","","1"
"1 on Scale 1 to 10","1994","35-65 y.","Not Employed","41","0.0249951554195416","0.017930955497863","0.0320593553412203","1"
"1 on Scale 1 to 10","1994","35-65 y.","Employed","29","","","","1"
"1 on Scale 1 to 10","1994","66 and older","Not Employed","54","0.0398109819970141","0.0298433800476121","0.0497785839464162","1"
"1 on Scale 1 to 10","1994","66 and older","Employed","1","","","","1"
"10 Completely satisfied","1994","16-34 y.","Not Employed","200","0.161706223417427","0.140986727808761","0.182425719026093","10"
"10 Completely satisfied","1994","16-34 y.","Employed","497","0.125121245077307","0.114298427690426","0.135944062464189","10"
"10 Completely satisfied","1994","35-65 y.","Employed","266","0.058054109151634","0.0513779169420657","0.0647303013612022","10"
"10 Completely satisfied","1994","35-65 y.","Not Employed","66","0.03837711986254","0.0296841082993855","0.0470701314256946","10"
"10 Completely satisfied","1994","66 and older","Not Employed","50","0.0363554282385459","0.0268131089077713","0.0458977475693204","10"
"10 Completely satisfied","1994","66 and older","Employed","2","","","","10"
"2 on Scale 1 to 10","1994","16-34 y.","Not Employed","17","","","","2"
"2 on Scale 1 to 10","1994","16-34 y.","Employed","41","0.0125162590048518","0.00887959553270632","0.0161529224769972","2"
"2 on Scale 1 to 10","1994","35-65 y.","Not Employed","83","0.0456831619092209","0.0362348103347515","0.0551315134836903","2"
"2 on Scale 1 to 10","1994","35-65 y.","Employed","120","0.0252918788151342","0.0208093074804952","0.0297744501497732","2"
"2 on Scale 1 to 10","1994","66 and older","Not Employed","106","0.0769898615720481","0.0633995041382006","0.0905802190058957","2"
"2 on Scale 1 to 10","1994","66 and older","Employed","","","","","2"
"3 on Scale 1 to 10","1994","16-34 y.","Not Employed","29","","","","3"
"3 on Scale 1 to 10","1994","35-65 y.","Not Employed","156","0.0787492136023278","0.066560897120699","0.0909375300839565","3"
"3 on Scale 1 to 10","1994","35-65 y.","Employed","266","0.0574461050294393","0.0508028219104001","0.0640893881484784","3"
"3 on Scale 1 to 10","1994","16-34 y.","Employed","120","0.0392583303290309","0.0329054585065854","0.0456112021514765","3"
"3 on Scale 1 to 10","1994","66 and older","Not Employed","136","0.0930238001290088","0.0782154778391451","0.107832122418872","3"
"3 on Scale 1 to 10","1994","66 and older","Employed","1","","","","3"
"4 on Scale 1 to 10","1994","16-34 y.","Not Employed","43","0.0362792227334944","0.0257566414635089","0.0468018040034799","4"
"4 on Scale 1 to 10","1994","35-65 y.","Not Employed","177","0.08335032119221","0.0708423460877533","0.0958582962966668","4"
"4 on Scale 1 to 10","1994","35-65 y.","Employed","307","0.0667423905643317","0.059617125581913","0.0738676555467504","4"
"4 on Scale 1 to 10","1994","66 and older","Not Employed","116","0.0724277500577925","0.0592136605329003","0.0856418395826847","4"
"4 on Scale 1 to 10","1994","66 and older","Employed","1","","","","4"
"4 on Scale 1 to 10","1994","16-34 y.","Employed","104","0.0292088834806909","0.0237005371064095","0.0347172298549723","4"
"5 on Scale 1 to 10","1994","16-34 y.","Employed","329","0.0900215757138068","0.0806591212252016","0.099384030202412","5"
"5 on Scale 1 to 10","1994","16-34 y.","Not Employed","102","0.0902784424692904","0.0741510571401139","0.106405827798467","5"
"5 on Scale 1 to 10","1994","35-65 y.","Not Employed","386","0.208585216238947","0.190199713267956","0.226970719209939","5"
"5 on Scale 1 to 10","1994","35-65 y.","Employed","768","0.159802818990016","0.149341602269672","0.170264035710361","5"
"5 on Scale 1 to 10","1994","66 and older","Not Employed","319","0.213092700505524","0.19221623618634","0.233969164824708","5"
"5 on Scale 1 to 10","1994","66 and older","Employed","7","","","","5"
"6 on Scale 1 to 10","1994","16-34 y.","Not Employed","73","0.0637233571020017","0.0499775859595457","0.0774691282444576","6"
"6 on Scale 1 to 10","1994","16-34 y.","Employed","272","0.068395566183804","0.0601384078075208","0.0766527245600871","6"
"6 on Scale 1 to 10","1994","35-65 y.","Not Employed","233","0.119693918493183","0.105005177683161","0.134382659303206","6"
"6 on Scale 1 to 10","1994","35-65 y.","Employed","576","0.112286027993284","0.103272418088542","0.121299637898025","6"
"6 on Scale 1 to 10","1994","66 and older","Not Employed","184","0.121212340954443","0.104573377491471","0.137851304417415","6"
"6 on Scale 1 to 10","1994","66 and older","Employed","7","","","","6"
"7 on Scale 1 to 10","1994","16-34 y.","Not Employed","168","0.134606171807514","0.115399280710638","0.15381306290439","7"
"7 on Scale 1 to 10","1994","16-34 y.","Employed","572","0.174972130763934","0.16254360500955","0.187400656518318","7"
"7 on Scale 1 to 10","1994","35-65 y.","Employed","825","0.175280550744317","0.164425812528746","0.186135288959888","7"
"7 on Scale 1 to 10","1994","66 and older","Not Employed","197","0.129302846044799","0.112196845619668","0.14640884646993","7"
"7 on Scale 1 to 10","1994","35-65 y.","Not Employed","292","0.166474197315571","0.149617803738689","0.183330590892453","7"
