"m11125","year","migback","n","percent","lower_confidence","upper_confidence"
"2 on Scale 1 to 10","1993","indirect migration background","4","","",""
"3 on Scale 1 to 10","1993","no migration background","473","0.0517151283356995","0.0474133065317004","0.0560169501396986"
"3 on Scale 1 to 10","1993","direct migration background","126","0.0479906165273312","0.0395967896740055","0.056384443380657"
"3 on Scale 1 to 10","1993","indirect migration background","6","","",""
"4 on Scale 1 to 10","1993","no migration background","551","0.0575292690039426","0.0530059984453129","0.0620525395625723"
"4 on Scale 1 to 10","1993","direct migration background","153","0.0665570985823727","0.0567689107058378","0.0763452864589076"
"4 on Scale 1 to 10","1993","indirect migration background","13","","",""
"5 on Scale 1 to 10","1993","no migration background","1514","0.153322509719032","0.146323506895802","0.160321512542263"
"5 on Scale 1 to 10","1993","direct migration background","364","0.152576005842231","0.138455354613082","0.166696657071381"
"5 on Scale 1 to 10","1993","indirect migration background","38","0.0646236964360449","0.0424903032120035","0.0867570896600862"
"6 on Scale 1 to 10","1993","no migration background","1073","0.106285269797539","0.100298256817821","0.112272282777257"
"6 on Scale 1 to 10","1993","direct migration background","279","0.114415984330136","0.101915712350751","0.126916256309522"
"6 on Scale 1 to 10","1993","indirect migration background","27","","",""
"7 on Scale 1 to 10","1993","no migration background","1630","0.157275683342662","0.150203593728351","0.164347772956973"
"7 on Scale 1 to 10","1993","direct migration background","340","0.137991679933653","0.1244477902733","0.151535569594006"
"7 on Scale 1 to 10","1993","indirect migration background","57","0.126592896288278","0.0966584004445804","0.156527392131976"
"8 on Scale 1 to 10","1993","no migration background","2403","0.227540142995357","0.219396079048874","0.23568420694184"
"8 on Scale 1 to 10","1993","direct migration background","486","0.197528478368428","0.181893729823143","0.213163226913713"
"8 on Scale 1 to 10","1993","indirect migration background","106","0.222261463069105","0.184832498415581","0.25969042772263"
"9 on Scale 1 to 10","1993","no migration background","1082","0.0962243894446227","0.0904958079901925","0.101952970899053"
"9 on Scale 1 to 10","1993","direct migration background","285","0.0999052231082684","0.0881291784210086","0.111681267795528"
"9 on Scale 1 to 10","1993","indirect migration background","96","0.174258759659288","0.140109741849409","0.208407777469168"
"10 Completely satisfied","1993","no migration background","870","0.0814400766571868","0.0761269883340038","0.0867531649803699"
"10 Completely satisfied","1993","direct migration background","279","0.105199098819487","0.0931506692466604","0.117247528392314"
"10 Completely satisfied","1993","indirect migration background","123","0.284238292308246","0.243632831532937","0.324843753083555"
"0 Completely dissatisfied","1994","no migration background","170","0.0211548598881513","0.018341767975594","0.0239679518007085"
"0 Completely dissatisfied","1994","direct migration background","50","0.0267338472820287","0.0202328638388447","0.0332348307252128"
"0 Completely dissatisfied","1994","indirect migration background","5","","",""
"1 on Scale 1 to 10","1994","no migration background","120","0.0161143991142742","0.0136528913422843","0.0185759068862642"
"1 on Scale 1 to 10","1994","direct migration background","26","","",""
"1 on Scale 1 to 10","1994","indirect migration background","1","","",""
"2 on Scale 1 to 10","1994","no migration background","279","0.0340718000114017","0.0305253665767621","0.0376182334460414"
"2 on Scale 1 to 10","1994","direct migration background","79","0.0361808389701282","0.0286547454077831","0.0437069325324733"
"2 on Scale 1 to 10","1994","indirect migration background","9","","",""
"3 on Scale 1 to 10","1994","no migration background","551","0.0611346025842785","0.0564511399003186","0.0658180652682385"
"3 on Scale 1 to 10","1994","direct migration background","149","0.0635940186390944","0.0537590553548141","0.0734289819233748"
"3 on Scale 1 to 10","1994","indirect migration background","8","","",""
"4 on Scale 1 to 10","1994","no migration background","585","0.0590980353103614","0.0544882514786027","0.0637078191421201"
"4 on Scale 1 to 10","1994","direct migration background","149","0.0628904346450916","0.053106354488427","0.0726745148017562"
"4 on Scale 1 to 10","1994","indirect migration background","14","","",""
"5 on Scale 1 to 10","1994","no migration background","1522","0.158723699018867","0.151580182283121","0.165867215754613"
"5 on Scale 1 to 10","1994","direct migration background","352","0.144814753179282","0.130631723140347","0.158997783218217"
"5 on Scale 1 to 10","1994","indirect migration background","37","0.0982275670683405","0.0719557686874082","0.124499365449273"
"6 on Scale 1 to 10","1994","no migration background","1068","0.100299043233619","0.0944265931037371","0.1061714933635"
"6 on Scale 1 to 10","1994","direct migration background","249","0.115326167867461","0.102452922715878","0.128199413019044"
"6 on Scale 1 to 10","1994","indirect migration background","28","","",""
"7 on Scale 1 to 10","1994","no migration background","1664","0.163254620305115","0.15602939734849","0.170479843261741"
"7 on Scale 1 to 10","1994","direct migration background","342","0.162699960456015","0.147824623983404","0.177575296928627"
"7 on Scale 1 to 10","1994","indirect migration background","54","0.107850109499906","0.0804688236065116","0.135231395393301"
"8 on Scale 1 to 10","1994","no migration background","2236","0.213416522250264","0.205406969236987","0.221426075263541"
"8 on Scale 1 to 10","1994","direct migration background","499","0.216236319588414","0.199644676143055","0.232827963033773"
"8 on Scale 1 to 10","1994","indirect migration background","116","0.197585418656216","0.162437348617092","0.23273348869534"
"9 on Scale 1 to 10","1994","no migration background","1088","0.100420269735751","0.094544667689186","0.106295871782315"
"9 on Scale 1 to 10","1994","direct migration background","272","0.0865247563795611","0.0751942034991601","0.097855309259962"
"9 on Scale 1 to 10","1994","indirect migration background","107","0.238585463148277","0.200962135660446","0.276208790636108"
"10 Completely satisfied","1994","no migration background","769","0.0723121485479174","0.067248909657211","0.0773753874386239"
"10 Completely satisfied","1994","direct migration background","198","0.0726079048597253","0.0621497235701304","0.0830660861493202"
"10 Completely satisfied","1994","indirect migration background","114","0.179022005673332","0.145180973660101","0.212863037686563"
"0 Completely dissatisfied","1995","no migration background","148","0.0199271163027981","0.0171888905147337","0.0226653420908625"
"0 Completely dissatisfied","1995","direct migration background","42","0.0195847888260363","0.0144522346493244","0.0247173430027482"
"0 Completely dissatisfied","1995","indirect migration background","2","","",""
"1 on Scale 1 to 10","1995","no migration background","100","0.01208414798159","0.0099432999678838","0.0142249959952962"
"1 on Scale 1 to 10","1995","direct migration background","30","0.0109821912033496","0.00712193942622974","0.0148424429804694"
"1 on Scale 1 to 10","1995","indirect migration background","2","","",""
"2 on Scale 1 to 10","1995","no migration background","259","0.032590109782305","0.0291110169673254","0.0360692025972846"
"2 on Scale 1 to 10","1995","direct migration background","90","0.0343172807570096","0.0275744425474818","0.0410601189665374"
"2 on Scale 1 to 10","1995","indirect migration background","7","","",""
"3 on Scale 1 to 10","1995","no migration background","540","0.0608057970774861","0.0561234021966714","0.0654881919583007"
"3 on Scale 1 to 10","1995","direct migration background","145","0.0519967308518438","0.0437731301947442","0.0602203315089434"
"3 on Scale 1 to 10","1995","indirect migration background","17","","",""
"4 on Scale 1 to 10","1995","no migration background","589","0.0617082917499043","0.0569935431192496","0.0664230403805589"
"4 on Scale 1 to 10","1995","direct migration background","147","0.0527357457637769","0.0444571401065108","0.061014351421043"
"4 on Scale 1 to 10","1995","indirect migration background","12","","",""
"5 on Scale 1 to 10","1995","no migration background","1448","0.153881803298629","0.146811679916326","0.160951926680932"
"5 on Scale 1 to 10","1995","direct migration background","443","0.159303837677192","0.145748768855634","0.17285890649875"
"5 on Scale 1 to 10","1995","indirect migration background","37","0.10301839572741","0.0766102225511709","0.129426568903649"
"6 on Scale 1 to 10","1995","no migration background","1064","0.106332678371767","0.10029264751701","0.112372709226524"
"6 on Scale 1 to 10","1995","direct migration background","266","0.0901459466538407","0.0795380801826123","0.100753813125069"
"6 on Scale 1 to 10","1995","indirect migration background","36","0.0779679114672517","0.05467519350464","0.101260629429863"
"7 on Scale 1 to 10","1995","no migration background","1721","0.169271718751767","0.161924219650331","0.176619217853204"
"7 on Scale 1 to 10","1995","direct migration background","386","0.141627584886819","0.12871298735849","0.154542182415148"
"7 on Scale 1 to 10","1995","indirect migration background","54","0.129018534435896","0.0998966342728639","0.158140434598928"
"8 on Scale 1 to 10","1995","no migration background","2355","0.221586956307468","0.213449381572079","0.229724531042856"
"8 on Scale 1 to 10","1995","direct migration background","608","0.211757709079711","0.196624934727144","0.226890483432277"
"8 on Scale 1 to 10","1995","indirect migration background","122","0.219555635154023","0.183594576486411","0.255516693821635"
"9 on Scale 1 to 10","1995","no migration background","1105","0.100801264092022","0.0949022603075639","0.106700267876479"
"9 on Scale 1 to 10","1995","direct migration background","322","0.115056436371478","0.103237393116469","0.126875479626487"
"9 on Scale 1 to 10","1995","indirect migration background","105","0.191319612099448","0.157148634710638","0.225490589488259"
"10 Completely satisfied","1995","no migration background","677","0.0610101162842632","0.0563203713299709","0.0656998612385554"
"10 Completely satisfied","1995","direct migration background","321","0.112491747928943","0.100788252016946","0.12419524384094"
"10 Completely satisfied","1995","indirect migration background","115","0.194514778855916","0.160127778749383","0.228901778962449"
"0 Completely dissatisfied","1996","no migration background","146","0.0169996640070524","0.0144592819648826","0.0195400460492222"
"0 Completely dissatisfied","1996","direct migration background","44","0.0261569303753515","0.0200397664095693","0.0322740943411337"
"0 Completely dissatisfied","1996","indirect migration background","2","","",""
"1 on Scale 1 to 10","1996","no migration background","95","0.0126044833558216","0.0104121321274625","0.0147968345841808"
"1 on Scale 1 to 10","1996","direct migration background","42","0.0182463802157111","0.013116563360241","0.0233761970711812"
"1 on Scale 1 to 10","1996","indirect migration background","2","","",""
"2 on Scale 1 to 10","1996","no migration background","282","0.0343721099932377","0.0307918873994643","0.0379523325870112"
"2 on Scale 1 to 10","1996","direct migration background","83","0.0308285726481968","0.0242035212160683","0.0374536240803253"
"2 on Scale 1 to 10","1996","indirect migration background","7","","",""
"3 on Scale 1 to 10","1996","no migration background","486","0.0514989715806637","0.0471556677267711","0.0558422754345562"
"3 on Scale 1 to 10","1996","direct migration background","141","0.054952066448829","0.0462177046584406","0.0636864282392175"
"3 on Scale 1 to 10","1996","indirect migration background","15","","",""
"4 on Scale 1 to 10","1996","no migration background","592","0.0656172418278507","0.0607512270265144","0.070483256629187"
"4 on Scale 1 to 10","1996","direct migration background","147","0.0606372525700267","0.0514898315421463","0.069784673597907"
"4 on Scale 1 to 10","1996","indirect migration background","22","","",""
"5 on Scale 1 to 10","1996","no migration background","1483","0.158903437265493","0.151719019023145","0.166087855507841"
"5 on Scale 1 to 10","1996","direct migration background","392","0.169215980993504","0.154845311564586","0.183586650422423"
"5 on Scale 1 to 10","1996","indirect migration background","52","0.0983401853094371","0.0734316157833192","0.123248754835555"
"6 on Scale 1 to 10","1996","no migration background","1102","0.107066846429023","0.100990549173234","0.113143143684812"
"6 on Scale 1 to 10","1996","direct migration background","288","0.103300424787617","0.0916353700742159","0.114965479501018"
"6 on Scale 1 to 10","1996","indirect migration background","36","0.0691461176225587","0.04792410461867","0.0903681306264474"
"7 on Scale 1 to 10","1996","no migration background","1714","0.167389299065362","0.160052833700984","0.174725764429739"
"7 on Scale 1 to 10","1996","direct migration background","391","0.145651719389573","0.132131382064031","0.159172056715116"
"7 on Scale 1 to 10","1996","indirect migration background","56","0.099139123574656","0.0741406598748428","0.124137587274469"
"8 on Scale 1 to 10","1996","no migration background","2327","0.224160764446628","0.215965410763158","0.232356118130099"
"8 on Scale 1 to 10","1996","direct migration background","594","0.210417780383825","0.194795222517928","0.226040338249723"
"8 on Scale 1 to 10","1996","indirect migration background","118","0.194721602971749","0.161597661308552","0.227845544634945"
"9 on Scale 1 to 10","1996","no migration background","1069","0.098596742586471","0.0927381556730313","0.104455329499911"
"9 on Scale 1 to 10","1996","direct migration background","256","0.0890411590785239","0.0781253225225464","0.0999569956345015"
"9 on Scale 1 to 10","1996","indirect migration background","122","0.220453506496918","0.185776513120554","0.255130499873282"
"10 Completely satisfied","1996","no migration background","651","0.0627904394423972","0.0580231979935472","0.0675576808912472"
"10 Completely satisfied","1996","direct migration background","237","0.0915517331088414","0.080498339642781","0.102605126574902"
"10 Completely satisfied","1996","indirect migration background","117","0.186185039636821","0.153624083879545","0.218745995394098"
"0 Completely dissatisfied","1997","no migration background","108","0.0142149788270817","0.0118740390834406","0.0165559185707229"
"0 Completely dissatisfied","1997","direct migration background","33","0.0156931389434673","0.010807541328311","0.0205787365586236"
"0 Completely dissatisfied","1997","indirect migration background","2","","",""
"1 on Scale 1 to 10","1997","no migration background","122","0.015098547975963","0.0126870327990502","0.0175100631528757"
"1 on Scale 1 to 10","1997","direct migration background","27","","",""
"1 on Scale 1 to 10","1997","indirect migration background","4","","",""
"2 on Scale 1 to 10","1997","no migration background","265","0.0316877886644426","0.0282237742554125","0.0351518030734727"
"2 on Scale 1 to 10","1997","direct migration background","81","0.0371894980847663","0.0297511226124697","0.0446278735570628"
"2 on Scale 1 to 10","1997","indirect migration background","4","","",""
"3 on Scale 1 to 10","1997","no migration background","539","0.0612383844105082","0.0564968867221105","0.065979882098906"
"3 on Scale 1 to 10","1997","direct migration background","146","0.0580779849265575","0.0488838521248593","0.0672721177282557"
"3 on Scale 1 to 10","1997","indirect migration background","15","","",""
"4 on Scale 1 to 10","1997","no migration background","654","0.0716024292824039","0.0665037593872583","0.0767010991775495"
"4 on Scale 1 to 10","1997","direct migration background","158","0.0657347966423929","0.0559931969867842","0.0754763962980016"
"4 on Scale 1 to 10","1997","indirect migration background","8","","",""
"5 on Scale 1 to 10","1997","no migration background","1412","0.146102075633153","0.139117223915034","0.153086927351271"
"5 on Scale 1 to 10","1997","direct migration background","342","0.143357452269783","0.129581948608925","0.157132955930642"
"5 on Scale 1 to 10","1997","indirect migration background","39","0.0833658521431067","0.060731769721621","0.105999934564592"
"6 on Scale 1 to 10","1997","no migration background","1097","0.108232767112976","0.102089050780716","0.114376483445236"
"6 on Scale 1 to 10","1997","direct migration background","288","0.11632863630544","0.10372527930775","0.12893199330313"
"6 on Scale 1 to 10","1997","indirect migration background","27","","",""
"7 on Scale 1 to 10","1997","no migration background","1753","0.175304663610656","0.167785500201132","0.182823827020181"
"7 on Scale 1 to 10","1997","direct migration background","405","0.162407929982989","0.147909618603668","0.176906241362309"
"7 on Scale 1 to 10","1997","indirect migration background","72","0.140459827829293","0.112009980811414","0.168909674847173"
"8 on Scale 1 to 10","1997","no migration background","2313","0.225970809512936","0.21770032677853","0.234241292247342"
"8 on Scale 1 to 10","1997","direct migration background","531","0.207047305864272","0.19111949975834","0.222975111970203"
"8 on Scale 1 to 10","1997","indirect migration background","143","0.222412295233529","0.188361687432309","0.256462903034748"
"9 on Scale 1 to 10","1997","no migration background","991","0.0932167583304381","0.0874673287422432","0.098966187918633"
"9 on Scale 1 to 10","1997","direct migration background","239","0.0869513855968867","0.0758753910502553","0.0980273801435181"
"9 on Scale 1 to 10","1997","indirect migration background","126","0.201461683257868","0.168620795449718","0.234302571066018"
"10 Completely satisfied","1997","no migration background","569","0.057330796639442","0.0527335302811279","0.061928062997756"
"10 Completely satisfied","1997","direct migration background","236","0.0956091192088856","0.0840499858351759","0.107168252582595"
"10 Completely satisfied","1997","indirect migration background","133","0.224919922491521","0.190733155681587","0.259106689301455"
"0 Completely dissatisfied","1998","no migration background","138","0.013298712416538","0.0111828090663986","0.0154146157666775"
"0 Completely dissatisfied","1998","direct migration background","38","0.0172144758244385","0.0120247345534311","0.0224042170954458"
"0 Completely dissatisfied","1998","indirect migration background","1","","",""
"1 on Scale 1 to 10","1998","no migration background","110","0.0114046773050777","0.00944335504292331","0.0133659995672321"
"1 on Scale 1 to 10","1998","direct migration background","36","0.0162164216735256","0.0111768139960927","0.0212560293509585"
"1 on Scale 1 to 10","1998","indirect migration background","2","","",""
"2 on Scale 1 to 10","1998","no migration background","332","0.0384784486492579","0.0349255201311806","0.0420313771673352"
"2 on Scale 1 to 10","1998","direct migration background","85","0.0394244368392663","0.0316598572443653","0.0471890164341672"
"2 on Scale 1 to 10","1998","indirect migration background","6","","",""
"3 on Scale 1 to 10","1998","no migration background","578","0.0548300720332695","0.0506251055606959","0.0590350385058431"
"3 on Scale 1 to 10","1998","direct migration background","124","0.0458981223482453","0.0375485493694795","0.054247695327011"
"3 on Scale 1 to 10","1998","indirect migration background","14","","",""
"4 on Scale 1 to 10","1998","no migration background","629","0.0579186448533655","0.0536039351463132","0.0622333545604178"
"4 on Scale 1 to 10","1998","direct migration background","153","0.0665735754335159","0.0566273014863304","0.0765198493807014"
"4 on Scale 1 to 10","1998","indirect migration background","14","","",""
"5 on Scale 1 to 10","1998","no migration background","1615","0.150145472578546","0.143547255519886","0.156743689637205"
"5 on Scale 1 to 10","1998","direct migration background","349","0.159239680154213","0.144640408768787","0.173838951539639"
"5 on Scale 1 to 10","1998","indirect migration background","53","0.1117906868412","0.0866191159878374","0.136962257694562"
"6 on Scale 1 to 10","1998","no migration background","1232","0.107248890525025","0.101533317408618","0.112964463641431"
"6 on Scale 1 to 10","1998","direct migration background","231","0.0885344322498314","0.0772001071072159","0.0998687573924469"
"6 on Scale 1 to 10","1998","indirect migration background","41","0.0653870135120926","0.045639541728719","0.0851344852954661"
"7 on Scale 1 to 10","1998","no migration background","1940","0.165491426887895","0.158627046638882","0.172355807136907"
"7 on Scale 1 to 10","1998","direct migration background","406","0.153119138682001","0.138751171479352","0.167487105884651"
"7 on Scale 1 to 10","1998","indirect migration background","74","0.116437772235997","0.0908156345888743","0.142059909883119"
"8 on Scale 1 to 10","1998","no migration background","2710","0.2258683760747","0.218144535506133","0.233592216643266"
"8 on Scale 1 to 10","1998","direct migration background","537","0.218387250579751","0.201902632571914","0.234871868587588"
"8 on Scale 1 to 10","1998","indirect migration background","156","0.243799498103863","0.209500239737368","0.278098756470358"
"9 on Scale 1 to 10","1998","no migration background","1161","0.101309501935366","0.0957359975584388","0.106883006312293"
"9 on Scale 1 to 10","1998","direct migration background","236","0.0986820824004579","0.0867826133136102","0.110581551487306"
"9 on Scale 1 to 10","1998","indirect migration background","109","0.161834762962756","0.132414227303701","0.19125529862181"
"10 Completely satisfied","1998","no migration background","814","0.0740057767409607","0.0691703464055197","0.0788412070764017"
"10 Completely satisfied","1998","direct migration background","218","0.0967103838147545","0.0849175143215958","0.108503253307913"
"10 Completely satisfied","1998","indirect migration background","132","0.236204014929163","0.202274147041114","0.270133882817211"
"0 Completely dissatisfied","1999","no migration background","161","0.0184932002774676","0.0159645547739115","0.0210218457810236"
"0 Completely dissatisfied","1999","direct migration background","31","0.0169893786638093","0.0116051284086839","0.0223736289189346"
"0 Completely dissatisfied","1999","indirect migration background","1","","",""
"1 on Scale 1 to 10","1999","no migration background","117","0.0131997427081322","0.0110576778517023","0.0153418075645621"
"1 on Scale 1 to 10","1999","direct migration background","28","","",""
"1 on Scale 1 to 10","1999","indirect migration background","5","","",""
"2 on Scale 1 to 10","1999","no migration background","312","0.0321111818973533","0.0288023390749242","0.0354200247197823"
"2 on Scale 1 to 10","1999","direct migration background","73","0.0337167824399749","0.0261965257574026","0.0412370391225472"
"2 on Scale 1 to 10","1999","indirect migration background","9","","",""
"3 on Scale 1 to 10","1999","no migration background","588","0.0601720907713929","0.0557087815521487","0.0646353999906371"
"3 on Scale 1 to 10","1999","direct migration background","120","0.0632247343670648","0.0530851863000741","0.0733642824340556"
"3 on Scale 1 to 10","1999","indirect migration background","12","","",""
"4 on Scale 1 to 10","1999","no migration background","630","0.0593174282175622","0.0548839154684567","0.0637509409666677"
"4 on Scale 1 to 10","1999","direct migration background","134","0.0639689584601862","0.0537739603504523","0.0741639565699202"
"4 on Scale 1 to 10","1999","indirect migration background","17","","",""
"5 on Scale 1 to 10","1999","no migration background","1551","0.144732291418839","0.138128870022102","0.151335712815576"
"5 on Scale 1 to 10","1999","direct migration background","319","0.141476163536069","0.126955876550156","0.155996450521982"
"5 on Scale 1 to 10","1999","indirect migration background","51","0.107190450828863","0.0826410647683775","0.131739836889349"
"6 on Scale 1 to 10","1999","no migration background","1155","0.108949049125911","0.103101171886897","0.114796926364926"
"6 on Scale 1 to 10","1999","direct migration background","256","0.10415895789774","0.0914321005916602","0.116885815203819"
"6 on Scale 1 to 10","1999","indirect migration background","41","0.0721543161949384","0.0516213256558083","0.0926873067340685"
"7 on Scale 1 to 10","1999","no migration background","1902","0.165656701981399","0.158679004247474","0.172634399715324"
"7 on Scale 1 to 10","1999","direct migration background","372","0.151516259989154","0.136577698915682","0.166454821062626"
"7 on Scale 1 to 10","1999","indirect migration background","86","0.142956917442343","0.115179805567761","0.170734029316924"
"8 on Scale 1 to 10","1999","no migration background","2565","0.223519417795364","0.21570029227982","0.231338543310907"
"8 on Scale 1 to 10","1999","direct migration background","463","0.220416594091031","0.203145859076591","0.237687329105472"
"8 on Scale 1 to 10","1999","indirect migration background","135","0.20827760502029","0.176052753428577","0.240502456612003"
"9 on Scale 1 to 10","1999","no migration background","1216","0.10761393841319","0.101797650343966","0.113430226482415"
"9 on Scale 1 to 10","1999","direct migration background","237","0.101995295951338","0.0893861183712906","0.114604473531385"
"9 on Scale 1 to 10","1999","indirect migration background","132","0.189729787432501","0.158615069352208","0.220844505512793"
"10 Completely satisfied","1999","no migration background","708","0.0662349573933889","0.0615673137459482","0.0709026010408295"
"10 Completely satisfied","1999","direct migration background","180","0.0858526099225271","0.0741806914058029","0.0975245284392512"
"10 Completely satisfied","1999","indirect migration background","121","0.194362863819889","0.162960701312033","0.225765026327746"
"0 Completely dissatisfied","2000","no migration background","283","0.0158043028355875","0.0140782920461521","0.017530313625023"
"0 Completely dissatisfied","2000","direct migration background","49","0.0178258495098141","0.0133364386215595","0.0223152603980687"
"0 Completely dissatisfied","2000","indirect migration background","5","","",""
"1 on Scale 1 to 10","2000","no migration background","211","0.0128304861667343","0.0112729701279591","0.0143880022055096"
"1 on Scale 1 to 10","2000","direct migration background","48","0.0149882378315197","0.0108656873360549","0.0191107883269845"
"1 on Scale 1 to 10","2000","indirect migration background","2","","",""
"2 on Scale 1 to 10","2000","no migration background","506","0.0270866823938734","0.0248400599893053","0.0293333047984416"
"2 on Scale 1 to 10","2000","direct migration background","98","0.0287057694184093","0.0230403771147413","0.0343711617220774"
"2 on Scale 1 to 10","2000","indirect migration background","8","","",""
"3 on Scale 1 to 10","2000","no migration background","959","0.0520355648245418","0.0489618663443954","0.0551092633046881"
"3 on Scale 1 to 10","2000","direct migration background","155","0.052615198333124","0.0450400908353514","0.0601903058308965"
"3 on Scale 1 to 10","2000","indirect migration background","17","","",""
"4 on Scale 1 to 10","2000","no migration background","1048","0.0544106683811092","0.0512715447805301","0.0575497919816882"
"4 on Scale 1 to 10","2000","direct migration background","189","0.0558379600148236","0.0480475910475226","0.0636283289821247"
"4 on Scale 1 to 10","2000","indirect migration background","18","","",""
"5 on Scale 1 to 10","2000","no migration background","2825","0.146818304052385","0.141920222970226","0.151716385134544"
"5 on Scale 1 to 10","2000","direct migration background","480","0.138669141838502","0.126943276430798","0.150395007246205"
"5 on Scale 1 to 10","2000","indirect migration background","63","0.0885140230716441","0.0691903322228113","0.107837713920477"
"6 on Scale 1 to 10","2000","no migration background","2041","0.0993551332215216","0.0952152599405769","0.103495006502466"
"6 on Scale 1 to 10","2000","direct migration background","341","0.0953177902580295","0.0853544492337217","0.105281131282337"
"6 on Scale 1 to 10","2000","indirect migration background","45","0.0511515314472194","0.0361637691828463","0.0661392937115926"
"7 on Scale 1 to 10","2000","no migration background","3303","0.161937756607341","0.156839434144664","0.167036079070018"
"7 on Scale 1 to 10","2000","direct migration background","483","0.143443585251167","0.13155066410505","0.155336506397284"
"7 on Scale 1 to 10","2000","indirect migration background","117","0.143207533753356","0.119377217979732","0.167037849526979"
"8 on Scale 1 to 10","2000","no migration background","4648","0.223264096709053","0.217500929255491","0.229027264162614"
"8 on Scale 1 to 10","2000","direct migration background","728","0.211491102799196","0.197635694203689","0.225346511394702"
"8 on Scale 1 to 10","2000","indirect migration background","216","0.256740745835573","0.227022264895785","0.28645922677536"
"9 on Scale 1 to 10","2000","no migration background","2329","0.10991508844289","0.10558636858798","0.114243808297801"
"9 on Scale 1 to 10","2000","direct migration background","380","0.116277191120838","0.105401038684652","0.127153343557024"
"9 on Scale 1 to 10","2000","indirect migration background","154","0.176275767174006","0.150352109802902","0.202199424545111"
"10 Completely satisfied","2000","no migration background","1904","0.0965419163649632","0.0924547052993241","0.100629127430602"
"10 Completely satisfied","2000","direct migration background","386","0.124828173624578","0.113613853223363","0.136042494025792"
"10 Completely satisfied","2000","indirect migration background","185","0.222086055521348","0.193808916408733","0.250363194633964"
"0 Completely dissatisfied","2001","no migration background","242","0.0148078706004181","0.0130565175450369","0.0165592236557992"
"0 Completely dissatisfied","2001","direct migration background","32","0.0143389542376193","0.0100387151610016","0.018639193314237"
"0 Completely dissatisfied","2001","indirect migration background","6","","",""
"1 on Scale 1 to 10","2001","no migration background","181","0.0117723021750089","0.0102083403653866","0.0133362639846312"
"1 on Scale 1 to 10","2001","direct migration background","20","","",""
"1 on Scale 1 to 10","2001","indirect migration background","3","","",""
"2 on Scale 1 to 10","2001","no migration background","488","0.0297918144538066","0.0273266387620149","0.0322569901455982"
"2 on Scale 1 to 10","2001","direct migration background","72","0.0255041196087957","0.0198016203514784","0.031206618866113"
"2 on Scale 1 to 10","2001","indirect migration background","4","","",""
"3 on Scale 1 to 10","2001","no migration background","902","0.0529711332686255","0.0497234910915546","0.0562187754456963"
"3 on Scale 1 to 10","2001","direct migration background","148","0.0525789723531679","0.044505736839583","0.0606522078667528"
"3 on Scale 1 to 10","2001","indirect migration background","20","","",""
"4 on Scale 1 to 10","2001","no migration background","1006","0.0557964039336709","0.0524682541607893","0.0591245537065524"
"4 on Scale 1 to 10","2001","direct migration background","166","0.0547123579010224","0.0464862429994572","0.0629384728025876"
"4 on Scale 1 to 10","2001","indirect migration background","18","","",""
"5 on Scale 1 to 10","2001","no migration background","2479","0.140659912535528","0.135618704270719","0.145701120800336"
"5 on Scale 1 to 10","2001","direct migration background","411","0.140791930302877","0.128211134290103","0.153372726315651"
"5 on Scale 1 to 10","2001","indirect migration background","59","0.0946287666282434","0.0740346975141675","0.115222835742319"
"6 on Scale 1 to 10","2001","no migration background","1814","0.100745781250979","0.0963814107800766","0.105110151721881"
"6 on Scale 1 to 10","2001","direct migration background","287","0.0993260680697658","0.0885071088474893","0.110145027292042"
"6 on Scale 1 to 10","2001","indirect migration background","52","0.0629694797844782","0.0458788073108572","0.0800601522580992"
"7 on Scale 1 to 10","2001","no migration background","3028","0.161883205725941","0.156542236177897","0.167224175273985"
"7 on Scale 1 to 10","2001","direct migration background","482","0.158627964526361","0.145413365863236","0.171842563189486"
"7 on Scale 1 to 10","2001","indirect migration background","100","0.133154021825854","0.10925031002917","0.157057733622537"
"8 on Scale 1 to 10","2001","no migration background","4379","0.228030094817294","0.221946459098453","0.234113730536136"
"8 on Scale 1 to 10","2001","direct migration background","673","0.22071192689895","0.205710520336478","0.235713333461423"
"8 on Scale 1 to 10","2001","indirect migration background","202","0.247176859552215","0.216826236180648","0.277527482923782"
"9 on Scale 1 to 10","2001","no migration background","2136","0.111299794409538","0.106739511841746","0.11586007697733"
"9 on Scale 1 to 10","2001","direct migration background","332","0.111478282832707","0.100094169144117","0.122862396521297"
"9 on Scale 1 to 10","2001","indirect migration background","153","0.201565390362987","0.173339679438295","0.229791101287678"
"10 Completely satisfied","2001","no migration background","1616","0.0922416868291905","0.0880458782387209","0.0964374954196601"
"10 Completely satisfied","2001","direct migration background","313","0.113298990094847","0.10183405273312","0.124763927456574"
"10 Completely satisfied","2001","indirect migration background","159","0.19848678727398","0.170423510823507","0.226550063724453"
"0 Completely dissatisfied","2002","no migration background","228","0.0135936760269775","0.0119688580772132","0.0152184939767417"
"0 Completely dissatisfied","2002","direct migration background","36","0.0166842734854664","0.0119492971721457","0.0214192497987872"
"0 Completely dissatisfied","2002","indirect migration background","6","","",""
"1 on Scale 1 to 10","2002","no migration background","191","0.0129068260180805","0.0113230377236644","0.0144906143124966"
"1 on Scale 1 to 10","2002","direct migration background","32","0.011980203019205","0.00795829086656351","0.0160021151718464"
"1 on Scale 1 to 10","2002","indirect migration background","3","","",""
