"plb0219","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Rarely","2007","Couple + C. LE 16 ","East Germany","105","0.210399608576087","0.174236619410856","0.246562597741318"
"Rarely","2007","Couple + C. GT 16 ","West Germany","260","0.150278258448303","0.1325114661293","0.168045050767305"
"Rarely","2007","Couple + C. GT 16 ","East Germany","111","0.196154247782795","0.165604265559152","0.226704230006439"
"Rarely","2007","Couple + C. LE and GT 16","West Germany","106","0.151283933558413","0.125236886092889","0.177330981023937"
"Rarely","2007","Couple + C. LE and GT 16","East Germany","30","0.204943104715513","0.145137095082415","0.264749114348612"
"No, never","2008","1-pers.-HH","West Germany","","","",""
"No, never","2008","1-pers.-HH","East Germany","","","",""
"No, never","2008","(Married) couple without C. ","West Germany","","","",""
"No, never","2008","(Married) couple without C. ","East Germany","","","",""
"No, never","2008","Single parent ","West Germany","","","",""
"No, never","2008","Single parent ","East Germany","","","",""
"No, never","2008","Couple + C. LE 16 ","West Germany","","","",""
"No, never","2008","Couple + C. LE 16 ","East Germany","","","",""
"No, never","2008","Couple + C. GT 16 ","West Germany","","","",""
"No, never","2008","Couple + C. GT 16 ","East Germany","","","",""
"No, never","2008","Couple + C. LE and GT 16","West Germany","","","",""
"No, never","2008","Couple + C. LE and GT 16","East Germany","","","",""
"Yes, every week","2008","1-pers.-HH","West Germany","","","",""
"Yes, every week","2008","1-pers.-HH","East Germany","","","",""
"Yes, every week","2008","(Married) couple without C. ","West Germany","","","",""
"Yes, every week","2008","(Married) couple without C. ","East Germany","","","",""
"Yes, every week","2008","Single parent ","West Germany","","","",""
"Yes, every week","2008","Single parent ","East Germany","","","",""
"Yes, every week","2008","Couple + C. LE 16 ","West Germany","","","",""
"Yes, every week","2008","Couple + C. LE 16 ","East Germany","","","",""
"Yes, every week","2008","Couple + C. GT 16 ","West Germany","","","",""
"Yes, every week","2008","Couple + C. GT 16 ","East Germany","","","",""
"Yes, every week","2008","Couple + C. LE and GT 16","West Germany","","","",""
"Yes, every week","2008","Couple + C. LE and GT 16","East Germany","","","",""
"Yes, every 2 weeks","2008","1-pers.-HH","West Germany","","","",""
"Yes, every 2 weeks","2008","1-pers.-HH","East Germany","","","",""
"Yes, every 2 weeks","2008","(Married) couple without C. ","West Germany","","","",""
"Yes, every 2 weeks","2008","(Married) couple without C. ","East Germany","","","",""
"Yes, every 2 weeks","2008","Single parent ","West Germany","","","",""
"Yes, every 2 weeks","2008","Single parent ","East Germany","","","",""
"Yes, every 2 weeks","2008","Couple + C. LE 16 ","West Germany","","","",""
"Yes, every 2 weeks","2008","Couple + C. LE 16 ","East Germany","","","",""
"Yes, every 2 weeks","2008","Couple + C. GT 16 ","West Germany","","","",""
"Yes, every 2 weeks","2008","Couple + C. GT 16 ","East Germany","","","",""
"Yes, every 2 weeks","2008","Couple + C. LE and GT 16","West Germany","","","",""
"Yes, every 2 weeks","2008","Couple + C. LE and GT 16","East Germany","","","",""
"Yes, every 3-4 weeks","2008","1-pers.-HH","West Germany","","","",""
"Yes, every 3-4 weeks","2008","1-pers.-HH","East Germany","","","",""
"Yes, every 3-4 weeks","2008","(Married) couple without C. ","West Germany","","","",""
"Yes, every 3-4 weeks","2008","(Married) couple without C. ","East Germany","","","",""
"Yes, every 3-4 weeks","2008","Single parent ","West Germany","","","",""
"Yes, every 3-4 weeks","2008","Single parent ","East Germany","","","",""
"Yes, every 3-4 weeks","2008","Couple + C. LE 16 ","West Germany","","","",""
"Yes, every 3-4 weeks","2008","Couple + C. LE 16 ","East Germany","","","",""
"Yes, every 3-4 weeks","2008","Couple + C. GT 16 ","West Germany","","","",""
"Yes, every 3-4 weeks","2008","Couple + C. GT 16 ","East Germany","","","",""
"Yes, every 3-4 weeks","2008","Couple + C. LE and GT 16","West Germany","","","",""
"Yes, every 3-4 weeks","2008","Couple + C. LE and GT 16","East Germany","","","",""
"Rarely","2008","1-pers.-HH","West Germany","","","",""
"Rarely","2008","1-pers.-HH","East Germany","","","",""
"Rarely","2008","(Married) couple without C. ","West Germany","","","",""
"Rarely","2008","(Married) couple without C. ","East Germany","","","",""
"Rarely","2008","Single parent ","West Germany","","","",""
"Rarely","2008","Single parent ","East Germany","","","",""
"Rarely","2008","Couple + C. LE 16 ","West Germany","","","",""
"Rarely","2008","Couple + C. LE 16 ","East Germany","","","",""
"Rarely","2008","Couple + C. GT 16 ","West Germany","","","",""
"Rarely","2008","Couple + C. GT 16 ","East Germany","","","",""
"Rarely","2008","Couple + C. LE and GT 16","West Germany","","","",""
"Rarely","2008","Couple + C. LE and GT 16","East Germany","","","",""
"No, never","2009","1-pers.-HH","West Germany","570","0.568583170521003","0.537542992347837","0.59962334869417"
"No, never","2009","1-pers.-HH","East Germany","143","0.483149639570585","0.425235005565948","0.541064273575222"
"No, never","2009","(Married) couple without C. ","West Germany","1278","0.580539354481718","0.559728847587461","0.601349861375975"
"No, never","2009","(Married) couple without C. ","East Germany","386","0.552463269773747","0.514868320645504","0.59005821890199"
"No, never","2009","Single parent ","West Germany","291","0.668754296581202","0.625268217265345","0.71224037589706"
"No, never","2009","Single parent ","East Germany","84","0.575711931067523","0.493843381193008","0.657580480942037"
"No, never","2009","Couple + C. LE 16 ","West Germany","1026","0.586533256163763","0.563096269131187","0.609970243196339"
"No, never","2009","Couple + C. LE 16 ","East Germany","253","0.517108881214345","0.471394025262615","0.562823737166076"
"No, never","2009","Couple + C. GT 16 ","West Germany","958","0.646554400338521","0.622265354701655","0.670843445975386"
"No, never","2009","Couple + C. GT 16 ","East Germany","320","0.59649512907709","0.555381835491114","0.637608422663065"
"No, never","2009","Couple + C. LE and GT 16","West Germany","389","0.605829818471258","0.5683776970152","0.643281939927316"
"No, never","2009","Couple + C. LE and GT 16","East Germany","93","0.616221164886097","0.538655694093309","0.693786635678885"
"Yes, every week","2009","1-pers.-HH","West Germany","85","0.0916531003167455","0.0735697825948535","0.109736418038638"
"Yes, every week","2009","1-pers.-HH","East Germany","32","0.0896777915829011","0.0565642908977354","0.122791292268067"
"Yes, every week","2009","(Married) couple without C. ","West Germany","148","0.0735004794300858","0.0624955084702602","0.0845054503899113"
"Yes, every week","2009","(Married) couple without C. ","East Germany","57","0.0798892662216924","0.0593905001609155","0.100388032282469"
"Yes, every week","2009","Single parent ","West Germany","24","","",""
"Yes, every week","2009","Single parent ","East Germany","10","","",""
"Yes, every week","2009","Couple + C. LE 16 ","West Germany","106","0.0627284136162932","0.051188566769264","0.0742682604633224"
"Yes, every week","2009","Couple + C. LE 16 ","East Germany","28","","",""
"Yes, every week","2009","Couple + C. GT 16 ","West Germany","95","0.0588018568367696","0.0468486983881424","0.0707550152853968"
"Yes, every week","2009","Couple + C. GT 16 ","East Germany","35","0.0552225455662242","0.0360809824622491","0.0743641086701992"
"Yes, every week","2009","Couple + C. LE and GT 16","West Germany","50","0.0754584749429181","0.0552154020183313","0.0957015478675049"
"Yes, every week","2009","Couple + C. LE and GT 16","East Germany","7","","",""
"Yes, every 2 weeks","2009","1-pers.-HH","West Germany","90","0.0880466555644226","0.0702875370360276","0.105805774092818"
"Yes, every 2 weeks","2009","1-pers.-HH","East Germany","30","0.134970657446205","0.0953702024537508","0.174571112438659"
"Yes, every 2 weeks","2009","(Married) couple without C. ","West Germany","171","0.0775145972855376","0.0662376197754178","0.0887915747956574"
"Yes, every 2 weeks","2009","(Married) couple without C. ","East Germany","55","0.0768425542884608","0.0567052079621152","0.0969799006148064"
"Yes, every 2 weeks","2009","Single parent ","West Germany","48","0.0983728182891393","0.0708563375094302","0.125889299068848"
"Yes, every 2 weeks","2009","Single parent ","East Germany","21","","",""
"Yes, every 2 weeks","2009","Couple + C. LE 16 ","West Germany","134","0.076455343588995","0.0638089108317277","0.0891017763462622"
"Yes, every 2 weeks","2009","Couple + C. LE 16 ","East Germany","48","0.102085093246048","0.0743875975255624","0.129782588966534"
"Yes, every 2 weeks","2009","Couple + C. GT 16 ","West Germany","119","0.0835812119147998","0.0695191841976613","0.0976432396319384"
"Yes, every 2 weeks","2009","Couple + C. GT 16 ","East Germany","47","0.0842008367087301","0.0609299596043597","0.107471713813101"
"Yes, every 2 weeks","2009","Couple + C. LE and GT 16","West Germany","52","0.0704510632387261","0.0508382848109156","0.0900638416665366"
"Yes, every 2 weeks","2009","Couple + C. LE and GT 16","East Germany","14","","",""
"Yes, every 3-4 weeks","2009","1-pers.-HH","West Germany","46","0.0521741810833818","0.0382371345010617","0.0661112276657019"
"Yes, every 3-4 weeks","2009","1-pers.-HH","East Germany","25","","",""
