"plb0219","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes, every week","2016","Not Working","Female","","","","","2"
"No, never","2017","Full Time","Male","3740","0.58230013963397","0.570219334801407","0.594380944466534","1"
"No, never","2017","Full Time","Female","2136","0.608806549583271","0.592687088282321","0.624926010884221","1"
"No, never","2017","Part Time","Female","3304","0.700082263043306","0.687005785705995","0.713158740380617","1"
"No, never","2017","Not Working","Male","89","0.730593796401016","0.653128960617771","0.80805863218426","1"
"No, never","2017","Part Time","Male","995","0.634120836294396","0.610094956840051","0.658146715748742","1"
"No, never","2017","Not Working","Female","204","0.802660684640495","0.755011716726239","0.850309652554751","1"
"Rarely","2017","Full Time","Male","1164","0.191639940614777","0.181998638464798","0.201281242764755","5"
"Rarely","2017","Full Time","Female","445","0.142396764004478","0.130854039134869","0.153939488874086","5"
"Rarely","2017","Part Time","Male","229","0.15386857851692","0.135870823938023","0.171866333095816","5"
"Rarely","2017","Part Time","Female","458","0.10699149067885","0.0981704957839134","0.115812485573786","5"
"Rarely","2017","Not Working","Male","11","","","","5"
"Rarely","2017","Not Working","Female","16","","","","5"
"Yes, every 2 weeks","2017","Full Time","Male","572","0.0881178018010872","0.0811740937567202","0.0950615098454543","3"
"Yes, every 2 weeks","2017","Part Time","Male","134","0.0923650530320169","0.0779228352509381","0.106807270813096","3"
"Yes, every 2 weeks","2017","Not Working","Male","9","","","","3"
"Yes, every 2 weeks","2017","Full Time","Female","431","0.116888588594207","0.106276304097285","0.127500873091129","3"
"Yes, every 2 weeks","2017","Part Time","Female","459","0.0963875360282623","0.0879655076880152","0.104809564368509","3"
"Yes, every 2 weeks","2017","Not Working","Female","21","","","","3"
"Yes, every 3-4 weeks","2017","Full Time","Male","481","0.0699870014289454","0.0637375275268234","0.0762364753310674","4"
"Yes, every 3-4 weeks","2017","Full Time","Female","209","0.0559552740677381","0.0483636992368458","0.0635468488986305","4"
"Yes, every 3-4 weeks","2017","Part Time","Male","87","0.0569316620012365","0.0453739210458774","0.0684894029565957","4"
"Yes, every 3-4 weeks","2017","Not Working","Male","7","","","","4"
"Yes, every 3-4 weeks","2017","Part Time","Female","241","0.0440727516905449","0.0382152468415693","0.0499302565395206","4"
"Yes, every 3-4 weeks","2017","Not Working","Female","12","","","","4"
"Yes, every week","2017","Full Time","Male","445","0.06795511652122","0.0617903057537047","0.0741199272887354","2"
"Yes, every week","2017","Full Time","Female","300","0.0759528237503062","0.0672022986904127","0.0847033488101997","2"
"Yes, every week","2017","Part Time","Male","99","0.0627138701554306","0.0506206394132558","0.0748071008976054","2"
"Yes, every week","2017","Part Time","Female","255","0.0524659585590373","0.046103113182079","0.0588288039359956","2"
"Yes, every week","2017","Not Working","Male","10","","","","2"
"Yes, every week","2017","Not Working","Female","15","","","","2"
"No, never","2018","Full Time","Male","","","","","1"
"No, never","2018","Full Time","Female","","","","","1"
"No, never","2018","Part Time","Male","","","","","1"
"No, never","2018","Part Time","Female","","","","","1"
"No, never","2018","Not Working","Male","","","","","1"
"No, never","2018","Not Working","Female","","","","","1"
"Rarely","2018","Full Time","Male","","","","","5"
"Rarely","2018","Full Time","Female","","","","","5"
"Rarely","2018","Not Working","Male","","","","","5"
"Rarely","2018","Not Working","Female","","","","","5"
"Rarely","2018","Part Time","Male","","","","","5"
"Rarely","2018","Part Time","Female","","","","","5"
"Yes, every 2 weeks","2018","Not Working","Female","","","","","3"
"Yes, every 2 weeks","2018","Full Time","Male","","","","","3"
"Yes, every 2 weeks","2018","Full Time","Female","","","","","3"
"Yes, every 2 weeks","2018","Part Time","Male","","","","","3"
"Yes, every 2 weeks","2018","Part Time","Female","","","","","3"
"Yes, every 2 weeks","2018","Not Working","Male","","","","","3"
"Yes, every 3-4 weeks","2018","Full Time","Male","","","","","4"
"Yes, every 3-4 weeks","2018","Full Time","Female","","","","","4"
"Yes, every 3-4 weeks","2018","Part Time","Male","","","","","4"
"Yes, every 3-4 weeks","2018","Part Time","Female","","","","","4"
"Yes, every 3-4 weeks","2018","Not Working","Male","","","","","4"
"Yes, every 3-4 weeks","2018","Not Working","Female","","","","","4"
"Yes, every week","2018","Full Time","Male","","","","","2"
"Yes, every week","2018","Full Time","Female","","","","","2"
"Yes, every week","2018","Part Time","Male","","","","","2"
"Yes, every week","2018","Part Time","Female","","","","","2"
"Yes, every week","2018","Not Working","Male","","","","","2"
"Yes, every week","2018","Not Working","Female","","","","","2"
"No, never","2019","Full Time","Male","3624","0.581333632891015","0.569403501633353","0.593263764148678","1"
"No, never","2019","Full Time","Female","2100","0.639008622146377","0.623133194557223","0.654884049735531","1"
"No, never","2019","Part Time","Male","998","0.675456041889993","0.652086983496083","0.698825100283902","1"
"No, never","2019","Part Time","Female","3102","0.698102833491502","0.684524214847938","0.711681452135067","1"
"No, never","2019","Not Working","Male","158","0.505115817948948","0.447671263235387","0.56256037266251","1"
"No, never","2019","Not Working","Female","229","0.520191760267193","0.470545232966082","0.569838287568304","1"
"Rarely","2019","Full Time","Male","1334","0.190458746099323","0.180963233528858","0.199954258669788","5"
"Rarely","2019","Full Time","Female","505","0.127453983065065","0.116431116908911","0.138476849221219","5"
"Rarely","2019","Part Time","Male","231","0.133617529299658","0.11663538796323","0.150599670636087","5"
"Rarely","2019","Part Time","Female","457","0.111643620578537","0.102328747510167","0.120958493646906","5"
"Rarely","2019","Not Working","Male","57","0.225066458692894","0.177083257917904","0.273049659467883","5"
"Rarely","2019","Not Working","Female","47","0.18388561982337","0.145388991903789","0.22238224774295","5"
"Yes, every 2 weeks","2019","Full Time","Male","616","0.0930097976482401","0.0859861274995499","0.10003346779693","3"
"Yes, every 2 weeks","2019","Full Time","Female","444","0.117401483217722","0.106761472968384","0.128041493467059","3"
"Yes, every 2 weeks","2019","Part Time","Male","117","0.0809657662880831","0.0673506152361134","0.0945809173400529","3"
"Yes, every 2 weeks","2019","Not Working","Male","24","","","","3"
"Yes, every 2 weeks","2019","Not Working","Female","38","0.126259730984311","0.0932534269224573","0.159266035046165","3"
"Yes, every 2 weeks","2019","Part Time","Female","386","0.0909616399689685","0.0824563990792774","0.0994668808586595","3"
"Yes, every 3-4 weeks","2019","Full Time","Male","463","0.0662480752234512","0.0602335569667696","0.0722625934801329","4"
"Yes, every 3-4 weeks","2019","Full Time","Female","198","0.0477458173021238","0.0406977869085669","0.0547938476956808","4"
"Yes, every 3-4 weeks","2019","Part Time","Male","81","0.0502120484651594","0.0393121311902883","0.0611119657400305","4"
"Yes, every 3-4 weeks","2019","Not Working","Male","27","","","","4"
"Yes, every 3-4 weeks","2019","Not Working","Female","37","0.0852617825681749","0.0575094873622738","0.113014077774076","4"
"Yes, every 3-4 weeks","2019","Part Time","Female","222","0.0440994240243584","0.0380266210274667","0.0501722270212502","4"
"Yes, every week","2019","Full Time","Male","532","0.0689497481379703","0.0628226990030584","0.0750767972728821","2"
"Yes, every week","2019","Part Time","Male","115","0.0597486140571065","0.0479184215117354","0.0715788066024775","2"
"Yes, every week","2019","Full Time","Female","269","0.0683900942687125","0.0600468048720327","0.0767333836653923","2"
"Yes, every week","2019","Not Working","Male","25","","","","2"
"Yes, every week","2019","Part Time","Female","224","0.055192481936634","0.048438218354767","0.0619467455185011","2"
"Yes, every week","2019","Not Working","Female","38","0.0844011063569515","0.0567762524633803","0.112025960250523","2"
