"plb0219","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"No, never","2011","35-65 y.","indirect migration background","215","0.559080965405956","0.509678456473722","0.60848347433819","1"
"No, never","2011","66 and older","no migration background","113","0.567635900650296","0.498805342190033","0.636466459110559","1"
"No, never","2011","66 and older","direct migration background","10","","","","1"
"No, never","2011","66 and older","indirect migration background","","","","","1"
"Rarely","2011","16-34 y.","no migration background","493","0.169105649782915","0.156116134874615","0.182095164691215","5"
"Rarely","2011","16-34 y.","direct migration background","41","0.100902685227766","0.07313538948601","0.128669980969523","5"
"Rarely","2011","16-34 y.","indirect migration background","45","0.101471918807391","0.0726627565783989","0.130281081036384","5"
"Rarely","2011","35-65 y.","no migration background","1917","0.195735874181003","0.188151507486328","0.203320240875679","5"
"Rarely","2011","35-65 y.","direct migration background","161","0.108042838735388","0.0910297639794857","0.12505591349129","5"
"Rarely","2011","35-65 y.","indirect migration background","81","0.193928487444738","0.154587992472725","0.233268982416751","5"
"Rarely","2011","66 and older","no migration background","43","0.202671645428781","0.146819912340208","0.258523378517354","5"
"Rarely","2011","66 and older","direct migration background","3","","","","5"
"Rarely","2011","66 and older","indirect migration background","","","","","5"
"Yes, every 2 weeks","2011","16-34 y.","no migration background","349","0.0978307186478605","0.0875358073137372","0.108125629981984","3"
"Yes, every 2 weeks","2011","35-65 y.","direct migration background","138","0.103762637553759","0.0870500058585827","0.120475269248935","3"
"Yes, every 2 weeks","2011","35-65 y.","indirect migration background","39","0.120036274314589","0.0876977002083267","0.152374848420851","3"
"Yes, every 2 weeks","2011","16-34 y.","direct migration background","33","0.0905063143018976","0.0640567722251061","0.116955856378689","3"
"Yes, every 2 weeks","2011","16-34 y.","indirect migration background","50","0.130718123332191","0.0985563430771813","0.162879903587201","3"
"Yes, every 2 weeks","2011","35-65 y.","no migration background","985","0.0927128774033103","0.0871688270994976","0.098256927707123","3"
"Yes, every 2 weeks","2011","66 and older","no migration background","17","","","","3"
"Yes, every 2 weeks","2011","66 and older","indirect migration background","","","","","3"
"Yes, every 2 weeks","2011","66 and older","direct migration background","","","","","3"
"Yes, every 3-4 weeks","2011","16-34 y.","no migration background","168","0.0467930753884138","0.0394745200682941","0.0541116307085334","4"
"Yes, every 3-4 weeks","2011","35-65 y.","no migration background","637","0.0540417585114898","0.0497197513946491","0.0583637656283305","4"
"Yes, every 3-4 weeks","2011","16-34 y.","indirect migration background","32","0.0801701266993383","0.0542610518570376","0.106079201541639","4"
"Yes, every 3-4 weeks","2011","16-34 y.","direct migration background","22","","","","4"
"Yes, every 3-4 weeks","2011","35-65 y.","direct migration background","69","0.0563344851993816","0.0436985024007155","0.0689704679980477","4"
"Yes, every 3-4 weeks","2011","35-65 y.","indirect migration background","27","","","","4"
"Yes, every 3-4 weeks","2011","66 and older","no migration background","7","","","","4"
"Yes, every 3-4 weeks","2011","66 and older","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2011","66 and older","indirect migration background","","","","","4"
"Yes, every week","2011","16-34 y.","direct migration background","39","0.0646451198860032","0.0419759845912518","0.0873142551807546","2"
"Yes, every week","2011","16-34 y.","no migration background","183","0.0612964301536253","0.0529840997616077","0.0696087605456428","2"
"Yes, every week","2011","35-65 y.","direct migration background","89","0.0710802327294663","0.0569978435691195","0.085162621889813","2"
"Yes, every week","2011","16-34 y.","indirect migration background","31","0.0700813856611551","0.0457248410549266","0.0944379302673837","2"
"Yes, every week","2011","35-65 y.","no migration background","801","0.0736795375626605","0.0686856491559793","0.0786734259693417","2"
"Yes, every week","2011","66 and older","no migration background","19","","","","2"
"Yes, every week","2011","66 and older","direct migration background","3","","","","2"
"Yes, every week","2011","35-65 y.","indirect migration background","26","","","","2"
"Yes, every week","2011","66 and older","indirect migration background","","","","","2"
"No, never","2012","35-65 y.","direct migration background","321","0.67514374027674","0.634135326527894","0.716152154025586","1"
"No, never","2012","35-65 y.","indirect migration background","103","0.567228776121698","0.496963667381109","0.637493884862286","1"
"No, never","2012","66 and older","no migration background","2","","","","1"
"No, never","2012","66 and older","direct migration background","","","","","1"
"No, never","2012","66 and older","indirect migration background","","","","","1"
"No, never","2012","16-34 y.","no migration background","583","0.671897847769994","0.640929081536838","0.702866614003151","1"
"No, never","2012","16-34 y.","direct migration background","129","0.608006752778663","0.543051882725679","0.672961622831648","1"
"No, never","2012","16-34 y.","indirect migration background","79","0.724788481036296","0.644544298853245","0.805032663219346","1"
"No, never","2012","35-65 y.","no migration background","1954","0.60738054139023","0.590568326880312","0.624192755900149","1"
"Rarely","2012","35-65 y.","indirect migration background","33","0.143068732797915","0.0934121571107094","0.192725308485121","5"
"Rarely","2012","66 and older","no migration background","","","","","5"
"Rarely","2012","66 and older","direct migration background","","","","","5"
"Rarely","2012","66 and older","indirect migration background","","","","","5"
"Rarely","2012","16-34 y.","no migration background","117","0.12635784979614","0.104443144120104","0.148272555472176","5"
"Rarely","2012","16-34 y.","direct migration background","27","","","","5"
"Rarely","2012","16-34 y.","indirect migration background","12","","","","5"
"Rarely","2012","35-65 y.","no migration background","511","0.166689741505478","0.153858568042577","0.179520914968378","5"
"Rarely","2012","35-65 y.","direct migration background","62","0.0938240172330395","0.0682915658367091","0.11935646862937","5"
"Yes, every 2 weeks","2012","66 and older","direct migration background","","","","","3"
"Yes, every 2 weeks","2012","16-34 y.","no migration background","80","0.0858784412451448","0.0673980231842804","0.104358859306009","3"
"Yes, every 2 weeks","2012","16-34 y.","indirect migration background","15","","","","3"
"Yes, every 2 weeks","2012","35-65 y.","no migration background","322","0.0910868211231064","0.0811808388004332","0.10099280344578","3"
"Yes, every 2 weeks","2012","35-65 y.","direct migration background","49","0.104284359306029","0.0775220309050871","0.131046687706971","3"
"Yes, every 2 weeks","2012","35-65 y.","indirect migration background","33","0.17028767974001","0.116980366891404","0.223594992588616","3"
"Yes, every 2 weeks","2012","66 and older","no migration background","","","","","3"
"Yes, every 2 weeks","2012","66 and older","indirect migration background","","","","","3"
"Yes, every 2 weeks","2012","16-34 y.","direct migration background","27","","","","3"
"Yes, every 3-4 weeks","2012","16-34 y.","no migration background","48","0.0537573065457193","0.0388812521024863","0.0686333609889523","4"
"Yes, every 3-4 weeks","2012","16-34 y.","direct migration background","16","","","","4"
