"plb0219","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"No, never","2017","indirect migration background","Male","337","0.608553918355825","0.568201883515645","0.648905953196004"
"No, never","2017","indirect migration background","Female","402","0.705606604201384","0.668892529459398","0.74232067894337"
"Yes, every week","2017","no migration background","Male","397","0.060643803157452","0.0546256103457723","0.0666619959691317"
"Yes, every week","2017","no migration background","Female","445","0.0639229594566312","0.057946770692612","0.0698991482206505"
"Yes, every week","2017","direct migration background","Male","105","0.0880215589026276","0.0735281055496168","0.102515012255638"
"Yes, every week","2017","direct migration background","Female","86","0.0654037464281935","0.0527992875730792","0.0780082052833077"
"Yes, every week","2017","indirect migration background","Male","52","0.107729563577579","0.0820967879888134","0.133362339166344"
"Yes, every week","2017","indirect migration background","Female","39","0.0469219294339707","0.0298870365460209","0.0639568223219205"
"Yes, every 2 weeks","2017","no migration background","Male","508","0.0858854995273806","0.078820405394764","0.0929505936599971"
"Yes, every 2 weeks","2017","no migration background","Female","662","0.102531019860856","0.0951200092466051","0.109942030475107"
"Yes, every 2 weeks","2017","direct migration background","Male","150","0.0961407598424089","0.0810611800576759","0.111220339627142"
"Yes, every 2 weeks","2017","direct migration background","Female","180","0.110842478800671","0.0948375649084374","0.126847392692904"
"Yes, every 2 weeks","2017","indirect migration background","Male","57","0.101213245582914","0.0762772368853809","0.126149254280447"
"Yes, every 2 weeks","2017","indirect migration background","Female","69","0.120051092049396","0.0938693208376429","0.146232863261149"
"Yes, every 3-4 weeks","2017","no migration background","Male","442","0.0646801711525908","0.0584782908284501","0.0708820514767315"
"Yes, every 3-4 weeks","2017","no migration background","Female","378","0.0512308765392946","0.0458446298778413","0.0566171232007479"
"Yes, every 3-4 weeks","2017","direct migration background","Male","94","0.0756369322746418","0.0621108100047972","0.0891630545444864"
"Yes, every 3-4 weeks","2017","direct migration background","Female","52","0.0370900182359412","0.0274554503359892","0.0467245861358932"
"Yes, every 3-4 weeks","2017","indirect migration background","Male","39","0.0699599831017515","0.0488710019397227","0.0910489642637803"
"Yes, every 3-4 weeks","2017","indirect migration background","Female","32","0.0608472812064432","0.0415908440535158","0.0801037183593707"
"Rarely","2017","no migration background","Male","1159","0.196997972623506","0.186969219746809","0.207026725500203"
"Rarely","2017","no migration background","Female","737","0.130629962848928","0.122396854912896","0.138863070784959"
"Rarely","2017","direct migration background","Male","168","0.133777682140238","0.11636396117103","0.151191403109446"
"Rarely","2017","direct migration background","Female","132","0.0985274897306076","0.0833337099685931","0.113721269492622"
"Rarely","2017","indirect migration background","Male","77","0.112543289381931","0.0864148588038932","0.138671719959969"
"Rarely","2017","indirect migration background","Female","50","0.0665730931088063","0.0464924894995719","0.0866536967180406"
"No, never","2018","no migration background","Male","","","",""
"No, never","2018","no migration background","Female","","","",""
"No, never","2018","direct migration background","Male","","","",""
"No, never","2018","direct migration background","Female","","","",""
"No, never","2018","indirect migration background","Male","","","",""
"No, never","2018","indirect migration background","Female","","","",""
"Yes, every week","2018","no migration background","Male","","","",""
"Yes, every week","2018","no migration background","Female","","","",""
"Yes, every week","2018","direct migration background","Male","","","",""
"Yes, every week","2018","direct migration background","Female","","","",""
"Yes, every week","2018","indirect migration background","Male","","","",""
"Yes, every week","2018","indirect migration background","Female","","","",""
"Yes, every 2 weeks","2018","no migration background","Male","","","",""
"Yes, every 2 weeks","2018","no migration background","Female","","","",""
"Yes, every 2 weeks","2018","direct migration background","Male","","","",""
"Yes, every 2 weeks","2018","direct migration background","Female","","","",""
"Yes, every 2 weeks","2018","indirect migration background","Male","","","",""
"Yes, every 2 weeks","2018","indirect migration background","Female","","","",""
"Yes, every 3-4 weeks","2018","no migration background","Male","","","",""
"Yes, every 3-4 weeks","2018","no migration background","Female","","","",""
"Yes, every 3-4 weeks","2018","direct migration background","Male","","","",""
"Yes, every 3-4 weeks","2018","direct migration background","Female","","","",""
"Yes, every 3-4 weeks","2018","indirect migration background","Male","","","",""
"Yes, every 3-4 weeks","2018","indirect migration background","Female","","","",""
"Rarely","2018","no migration background","Male","","","",""
"Rarely","2018","no migration background","Female","","","",""
"Rarely","2018","direct migration background","Male","","","",""
"Rarely","2018","direct migration background","Female","","","",""
"Rarely","2018","indirect migration background","Male","","","",""
"Rarely","2018","indirect migration background","Female","","","",""
"No, never","2019","no migration background","Male","3626","0.588197788035279","0.57627167689781","0.600123899172748"
"No, never","2019","no migration background","Female","4169","0.661743290059648","0.650148527837323","0.673338052281974"
"No, never","2019","direct migration background","Male","805","0.645343914776713","0.618917725361867","0.671770104191559"
"No, never","2019","direct migration background","Female","857","0.65815587997616","0.632170950284624","0.684140809667696"
"No, never","2019","indirect migration background","Male","349","0.588444186828203","0.549100245508346","0.627788128148059"
"No, never","2019","indirect migration background","Female","405","0.695585366111405","0.659364383511743","0.731806348711067"
"Yes, every week","2019","no migration background","Male","517","0.0642214939030844","0.0582810410167107","0.0701619467894581"
"Yes, every week","2019","no migration background","Female","422","0.0614307570973624","0.0555461163254665","0.0673153978692582"
"Yes, every week","2019","direct migration background","Male","101","0.0808464804774866","0.0657887398389778","0.0959042211159953"
"Yes, every week","2019","direct migration background","Female","70","0.0708125326330095","0.0567601540471065","0.0848649112189125"
"Yes, every week","2019","indirect migration background","Male","54","0.0827898135830147","0.0607588373471754","0.104820789818854"
"Yes, every week","2019","indirect migration background","Female","39","0.0543350121482018","0.0364923034354532","0.0721777208609503"
"Yes, every 2 weeks","2019","no migration background","Male","577","0.0856305494035272","0.0788499507322587","0.0924111480747957"
"Yes, every 2 weeks","2019","no migration background","Female","613","0.0972221605322086","0.0899616536331427","0.104482667431274"
"Yes, every 2 weeks","2019","direct migration background","Male","120","0.0989312535679768","0.0824389642355177","0.115423542900436"
"Yes, every 2 weeks","2019","direct migration background","Female","168","0.12641745960668","0.10821212739462","0.14462279181874"
"Yes, every 2 weeks","2019","indirect migration background","Male","60","0.123155102318268","0.0968827808622625","0.149427423774274"
"Yes, every 2 weeks","2019","indirect migration background","Female","87","0.13201425003756","0.105369052128922","0.158659447946197"
"Yes, every 3-4 weeks","2019","no migration background","Male","467","0.0675525436014167","0.0614708314837544","0.073634255719079"
"Yes, every 3-4 weeks","2019","no migration background","Female","377","0.049658473126733","0.0443345668930341","0.0549823793604319"
"Yes, every 3-4 weeks","2019","direct migration background","Male","63","0.0484467217737468","0.0365867411790988","0.0603067023683947"
"Yes, every 3-4 weeks","2019","direct migration background","Female","55","0.0470653589905584","0.0354635596098214","0.0586671583712954"
"Yes, every 3-4 weeks","2019","indirect migration background","Male","41","0.0581063839378717","0.0394028485204227","0.0768099193553206"
"Yes, every 3-4 weeks","2019","indirect migration background","Female","25","","",""
"Rarely","2019","no migration background","Male","1355","0.194397625056693","0.184808065350352","0.203987184763033"
"Rarely","2019","no migration background","Female","815","0.129945319184048","0.121704935045346","0.138185703322749"
"Rarely","2019","direct migration background","Male","170","0.126431629404077","0.108074213641873","0.144789045166281"
"Rarely","2019","direct migration background","Female","130","0.0975487687935918","0.0812945585377323","0.113802979049451"
"Rarely","2019","indirect migration background","Male","97","0.147504513332643","0.11915408964037","0.175854937024916"
"Rarely","2019","indirect migration background","Female","64","0.0924780876868392","0.0696746550714553","0.115281520302223"
