"plb0219","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes, every 2 weeks","2016","Full Time","Rural Area","","","",""
"Yes, every 2 weeks","2016","Part Time","Urban Area","","","",""
"Yes, every 2 weeks","2016","Part Time","Rural Area","","","",""
"Yes, every 2 weeks","2016","Not Working","Urban Area","","","",""
"Yes, every 2 weeks","2016","Not Working","Rural Area","","","",""
"Yes, every 3-4 weeks","2016","Full Time","Urban Area","","","",""
"Yes, every 3-4 weeks","2016","Full Time","Rural Area","","","",""
"Yes, every 3-4 weeks","2016","Part Time","Urban Area","","","",""
"Yes, every 3-4 weeks","2016","Part Time","Rural Area","","","",""
"Yes, every 3-4 weeks","2016","Not Working","Urban Area","","","",""
"Yes, every 3-4 weeks","2016","Not Working","Rural Area","","","",""
"Rarely","2016","Full Time","Urban Area","","","",""
"Rarely","2016","Full Time","Rural Area","","","",""
"Rarely","2016","Part Time","Urban Area","","","",""
"Rarely","2016","Part Time","Rural Area","","","",""
"Rarely","2016","Not Working","Urban Area","","","",""
"Rarely","2016","Not Working","Rural Area","","","",""
"No, never","2017","Full Time","Urban Area","3758","0.590290771046052","0.578184550396094","0.60239699169601"
"No, never","2017","Full Time","Rural Area","2118","0.593610956639994","0.577530956805776","0.609690956474212"
"No, never","2017","Part Time","Urban Area","2826","0.670143027562699","0.655821329732819","0.684464725392579"
"No, never","2017","Part Time","Rural Area","1473","0.702967442038543","0.683520675970189","0.722414208106898"
"No, never","2017","Not Working","Urban Area","194","0.756031053253726","0.703927789303601","0.808134317203851"
"No, never","2017","Not Working","Rural Area","99","0.815896786176999","0.750029379209989","0.881764193144009"
"Yes, every week","2017","Full Time","Urban Area","480","0.0720805400174104","0.0657140234685366","0.0784470565662842"
"Yes, every week","2017","Full Time","Rural Area","265","0.0677418813821367","0.0595145156285743","0.075969247135699"
"Yes, every week","2017","Part Time","Urban Area","241","0.0552149323933016","0.0482576007939553","0.062172263992648"
"Yes, every week","2017","Part Time","Rural Area","113","0.0564513198724564","0.0466293869751265","0.0662732527697864"
"Yes, every week","2017","Not Working","Urban Area","18","","",""
"Yes, every week","2017","Not Working","Rural Area","7","","",""
"Yes, every 2 weeks","2017","Full Time","Urban Area","607","0.0929465874379584","0.085798812482107","0.10009436239381"
"Yes, every 2 weeks","2017","Full Time","Rural Area","396","0.108525904550379","0.0983426837249359","0.118709125375822"
"Yes, every 2 weeks","2017","Part Time","Urban Area","381","0.0987095453318326","0.0896238141763145","0.107795276487351"
"Yes, every 2 weeks","2017","Part Time","Rural Area","212","0.0868972101051902","0.0749093819619511","0.0988850382484294"
"Yes, every 2 weeks","2017","Not Working","Urban Area","19","","",""
"Yes, every 2 weeks","2017","Not Working","Rural Area","11","","",""
"Yes, every 3-4 weeks","2017","Full Time","Urban Area","435","0.0703777330756139","0.0640810967451454","0.0766743694060825"
"Yes, every 3-4 weeks","2017","Full Time","Rural Area","255","0.0542265314883201","0.0468123439504131","0.0616407190262271"
"Yes, every 3-4 weeks","2017","Part Time","Urban Area","225","0.0484507507193615","0.0419102076286865","0.0549912938100364"
"Yes, every 3-4 weeks","2017","Part Time","Rural Area","103","0.0469093665404839","0.037910772872219","0.0559079602087489"
"Yes, every 3-4 weeks","2017","Not Working","Urban Area","12","","",""
"Yes, every 3-4 weeks","2017","Not Working","Rural Area","7","","",""
"Rarely","2017","Full Time","Urban Area","1059","0.174304368422966","0.164965336834406","0.183643400011525"
"Rarely","2017","Full Time","Rural Area","550","0.175894725939171","0.163430025487179","0.188359426391162"
"Rarely","2017","Part Time","Urban Area","467","0.127481743992805","0.117322551720409","0.137640936265202"
"Rarely","2017","Part Time","Rural Area","220","0.106774661443326","0.0936317259756846","0.119917596910967"
"Rarely","2017","Not Working","Urban Area","18","","",""
"Rarely","2017","Not Working","Rural Area","9","","",""
"No, never","2018","Full Time","Urban Area","","","",""
"No, never","2018","Full Time","Rural Area","","","",""
"No, never","2018","Part Time","Urban Area","","","",""
"No, never","2018","Part Time","Rural Area","","","",""
"No, never","2018","Not Working","Urban Area","","","",""
"No, never","2018","Not Working","Rural Area","","","",""
"Yes, every week","2018","Full Time","Urban Area","","","",""
"Yes, every week","2018","Full Time","Rural Area","","","",""
"Yes, every week","2018","Part Time","Urban Area","","","",""
"Yes, every week","2018","Part Time","Rural Area","","","",""
"Yes, every week","2018","Not Working","Urban Area","","","",""
"Yes, every week","2018","Not Working","Rural Area","","","",""
"Yes, every 2 weeks","2018","Full Time","Urban Area","","","",""
"Yes, every 2 weeks","2018","Full Time","Rural Area","","","",""
"Yes, every 2 weeks","2018","Part Time","Urban Area","","","",""
"Yes, every 2 weeks","2018","Part Time","Rural Area","","","",""
"Yes, every 2 weeks","2018","Not Working","Urban Area","","","",""
"Yes, every 2 weeks","2018","Not Working","Rural Area","","","",""
"Yes, every 3-4 weeks","2018","Full Time","Urban Area","","","",""
"Yes, every 3-4 weeks","2018","Full Time","Rural Area","","","",""
"Yes, every 3-4 weeks","2018","Part Time","Urban Area","","","",""
"Yes, every 3-4 weeks","2018","Part Time","Rural Area","","","",""
"Yes, every 3-4 weeks","2018","Not Working","Urban Area","","","",""
"Yes, every 3-4 weeks","2018","Not Working","Rural Area","","","",""
"Rarely","2018","Full Time","Urban Area","","","",""
"Rarely","2018","Full Time","Rural Area","","","",""
"Rarely","2018","Part Time","Urban Area","","","",""
"Rarely","2018","Part Time","Rural Area","","","",""
"Rarely","2018","Not Working","Urban Area","","","",""
"Rarely","2018","Not Working","Rural Area","","","",""
"No, never","2019","Full Time","Urban Area","3418","0.603906939024172","0.591568588546423","0.616245289501922"
"No, never","2019","Full Time","Rural Area","2031","0.610773684454992","0.59453922893444","0.627008139975545"
"No, never","2019","Part Time","Urban Area","2587","0.715294612231785","0.700662597175858","0.729926627287712"
"No, never","2019","Part Time","Rural Area","1309","0.668081511945785","0.646946466158171","0.689216557733399"
"No, never","2019","Not Working","Urban Area","216","0.49622420478249","0.446410340941219","0.54603806862376"
"No, never","2019","Not Working","Rural Area","147","0.542523997987939","0.480769055447367","0.604278940528511"
"Yes, every week","2019","Full Time","Urban Area","480","0.0694614612954821","0.0630477026154159","0.0758752199755483"
"Yes, every week","2019","Full Time","Rural Area","262","0.064468050082822","0.0562909737701249","0.0726451263955191"
"Yes, every week","2019","Part Time","Urban Area","199","0.0536195311545534","0.0463155741157996","0.0609234881933072"
"Yes, every week","2019","Part Time","Rural Area","115","0.0620871845196837","0.0512565235192255","0.072917845520142"
"Yes, every week","2019","Not Working","Urban Area","35","0.0959691189410687","0.0666230458199758","0.125315192062162"
"Yes, every week","2019","Not Working","Rural Area","24","","",""
"Yes, every 2 weeks","2019","Full Time","Urban Area","606","0.095312784138959","0.0879048300863552","0.102720738191563"
"Yes, every 2 weeks","2019","Full Time","Rural Area","386","0.111972569017423","0.101473144796445","0.122471993238401"
"Yes, every 2 weeks","2019","Part Time","Urban Area","283","0.0829562618913851","0.0740132577605033","0.0918992660222669"
"Yes, every 2 weeks","2019","Part Time","Rural Area","180","0.0908733702410494","0.0779729680121205","0.103773772469978"
"Yes, every 2 weeks","2019","Not Working","Urban Area","37","0.139157431163824","0.104674221919297","0.173640640408351"
"Yes, every 2 weeks","2019","Not Working","Rural Area","21","","",""
"Yes, every 3-4 weeks","2019","Full Time","Urban Area","394","0.0577269378897147","0.051843229718651","0.0636106460607784"
"Yes, every 3-4 weeks","2019","Full Time","Rural Area","220","0.0606721110771241","0.0527233465229357","0.0686208756313125"
"Yes, every 3-4 weeks","2019","Part Time","Urban Area","173","0.044675788013818","0.0379773225484226","0.0513742534792134"
"Yes, every 3-4 weeks","2019","Part Time","Rural Area","99","0.0473840629748819","0.0378484675993124","0.0569196583504515"
"Yes, every 3-4 weeks","2019","Not Working","Urban Area","38","0.081771724544457","0.0544712926252165","0.109072156463697"
"Yes, every 3-4 weeks","2019","Not Working","Rural Area","20","","",""
"Rarely","2019","Full Time","Urban Area","1138","0.173591877651672","0.164036772640854","0.18314698266249"
"Rarely","2019","Full Time","Rural Area","566","0.152113585367639","0.140155839718285","0.164071331016993"
"Rarely","2019","Part Time","Urban Area","412","0.103453806708458","0.0935791184759225","0.113328494940994"
"Rarely","2019","Part Time","Rural Area","204","0.1315738703186","0.116402527898308","0.146745212738892"
"Rarely","2019","Not Working","Urban Area","61","0.186877520568161","0.148040212140209","0.225714828996113"
"Rarely","2019","Not Working","Rural Area","38","0.247120424259649","0.193652273371214","0.300588575148084"
