"year","pgcasmin","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2013","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","4.85","5","387","4.73","4.97","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2013","(2c_gen) general maturity certificate","Ostdeutschland, neue Bundeslaender","4.78","5","111","4.59","4.97","3.33333325386047","4","5.33333349227905","6"
"2013","(2c_gen) general maturity certificate","Westdeutschland, alte Bundeslaender","5.01","5","658","4.92","5.1","3.33333325386047","4.33333349227905","6","6.33333349227905"
"2013","(2c_voc) vocational maturity certificate","Ostdeutschland, neue Bundeslaender","4.87","4.67","232","4.72","5.02","3.33333325386047","4","5.66666650772095","6.66666650772095"
"2013","(2c_voc) vocational maturity certificate","Westdeutschland, alte Bundeslaender","4.93","5","1228","4.87","4.99","3.33333325386047","4.33333349227905","5.66666650772095","6.33333349227905"
"2013","(3a) lower tertiary education","Ostdeutschland, neue Bundeslaender","4.79","4.67","574","4.7","4.88","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2013","(3a) lower tertiary education","Westdeutschland, alte Bundeslaender","4.77","5","1107","4.7","4.84","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2013","(3b) higher tertiary education","Ostdeutschland, neue Bundeslaender","4.88","5","633","4.79","4.97","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2013","(3b) higher tertiary education","Westdeutschland, alte Bundeslaender","4.83","5","2151","4.78","4.88","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2014","(0) in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","(0) in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2014","(1a) inadequately completed","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","(1a) inadequately completed","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2014","(1b) general elementary school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","(1b) general elementary school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2014","(1c) basic vocational qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","(1c) basic vocational qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2014","(2a) intermediate vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","(2a) intermediate vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2014","(2b) intermediate general qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","(2b) intermediate general qualification","Westdeutschland, alte Bundeslaender","","","","","","","","",""
