"pgoeffd","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","1985","Couple + C. GT 16 ","(1b) general elementary school","189","0.779039468312874","0.725993639012188","0.83208529761356"
"No","1985","Couple + C. GT 16 ","(1c) basic vocational qualification","395","0.812705925488533","0.777546137098401","0.847865713878665"
"No","1985","Couple + C. GT 16 ","(2b) intermediate general qualification","60","0.776472051310547","0.684604238721868","0.868339863899225"
"No","1985","Couple + C. GT 16 ","(2a) intermediate vocational","119","0.711026102793659","0.643480494169804","0.778571711417513"
"No","1985","Couple + C. GT 16 ","(2c_gen) general maturity certificate","24","","",""
"No","1985","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","25","","",""
"No","1985","Couple + C. GT 16 ","(3a) lower tertiary education","22","","",""
"No","1985","Couple + C. GT 16 ","(3b) higher tertiary education","27","","",""
"No","1985","Couple + C. LE and GT 16","(0) in school","","","",""
"No","1985","Couple + C. LE and GT 16","(1a) inadequately completed","86","0.84698402991277","0.777459914877019","0.916508144948522"
"No","1985","Couple + C. LE and GT 16","(1b) general elementary school","199","0.876738917187713","0.833495526894121","0.919982307481305"
"No","1985","Couple + C. LE and GT 16","(1c) basic vocational qualification","277","0.826684166654553","0.785657791744748","0.867710541564359"
"No","1985","Couple + C. LE and GT 16","(2b) intermediate general qualification","45","0.822851763438933","0.721950648507033","0.923752878370833"
"No","1985","Couple + C. LE and GT 16","(2a) intermediate vocational","44","0.652718752905627","0.539557604542992","0.765879901268262"
"No","1985","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","13","","",""
"No","1985","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","6","","",""
"No","1985","Couple + C. LE and GT 16","(3a) lower tertiary education","11","","",""
"No","1985","Couple + C. LE and GT 16","(3b) higher tertiary education","13","","",""
"Yes","1986","1-pers.-HH","(0) in school","","","",""
"Yes","1986","1-pers.-HH","(1a) inadequately completed","3","","",""
"Yes","1986","1-pers.-HH","(1b) general elementary school","11","","",""
"Yes","1986","1-pers.-HH","(1c) basic vocational qualification","40","0.301821030906859","0.227864698850853","0.375777362962865"
"Yes","1986","1-pers.-HH","(2b) intermediate general qualification","4","","",""
"Yes","1986","1-pers.-HH","(2a) intermediate vocational","28","","",""
"Yes","1986","1-pers.-HH","(2c_gen) general maturity certificate","5","","",""
"Yes","1986","1-pers.-HH","(2c_voc) vocational maturity certificate","20","","",""
"Yes","1986","1-pers.-HH","(3a) lower tertiary education","9","","",""
"Yes","1986","1-pers.-HH","(3b) higher tertiary education","35","0.652595966589071","0.526759542874646","0.778432390303496"
"Yes","1986","(Married) couple without C. ","(0) in school","","","",""
"Yes","1986","(Married) couple without C. ","(1a) inadequately completed","4","","",""
"Yes","1986","(Married) couple without C. ","(1b) general elementary school","29","","",""
"Yes","1986","(Married) couple without C. ","(1c) basic vocational qualification","114","0.245040410596489","0.207226586001406","0.282854235191572"
"Yes","1986","(Married) couple without C. ","(2b) intermediate general qualification","12","","",""
"Yes","1986","(Married) couple without C. ","(2a) intermediate vocational","76","0.323327013155154","0.262612700539286","0.384041325771022"
"Yes","1986","(Married) couple without C. ","(2c_gen) general maturity certificate","3","","",""
"Yes","1986","(Married) couple without C. ","(2c_voc) vocational maturity certificate","16","","",""
"Yes","1986","(Married) couple without C. ","(3a) lower tertiary education","14","","",""
"Yes","1986","(Married) couple without C. ","(3b) higher tertiary education","44","0.540010711503968","0.43079675413155","0.649224668876387"
"Yes","1986","Single parent ","(0) in school","","","",""
"Yes","1986","Single parent ","(1a) inadequately completed","2","","",""
"Yes","1986","Single parent ","(1b) general elementary school","10","","",""
"Yes","1986","Single parent ","(1c) basic vocational qualification","15","","",""
"Yes","1986","Single parent ","(2b) intermediate general qualification","4","","",""
"Yes","1986","Single parent ","(2a) intermediate vocational","11","","",""
"Yes","1986","Single parent ","(2c_gen) general maturity certificate","2","","",""
"Yes","1986","Single parent ","(2c_voc) vocational maturity certificate","5","","",""
"Yes","1986","Single parent ","(3a) lower tertiary education","","","",""
"Yes","1986","Single parent ","(3b) higher tertiary education","9","","",""
"Yes","1986","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","1986","Couple + C. LE 16 ","(1a) inadequately completed","10","","",""
"Yes","1986","Couple + C. LE 16 ","(1b) general elementary school","22","","",""
"Yes","1986","Couple + C. LE 16 ","(1c) basic vocational qualification","108","0.212468538531658","0.179545340371645","0.24539173669167"
"Yes","1986","Couple + C. LE 16 ","(2b) intermediate general qualification","4","","",""
"Yes","1986","Couple + C. LE 16 ","(2a) intermediate vocational","61","0.289744872810537","0.228242762694171","0.351246982926903"
"Yes","1986","Couple + C. LE 16 ","(2c_gen) general maturity certificate","2","","",""
"Yes","1986","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","12","","",""
"Yes","1986","Couple + C. LE 16 ","(3a) lower tertiary education","14","","",""
"Yes","1986","Couple + C. LE 16 ","(3b) higher tertiary education","81","0.579400721872909","0.497628113575739","0.66117333017008"
"Yes","1986","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","1986","Couple + C. GT 16 ","(1a) inadequately completed","5","","",""
"Yes","1986","Couple + C. GT 16 ","(1b) general elementary school","40","0.17846224374831","0.131739840187709","0.225184647308911"
"Yes","1986","Couple + C. GT 16 ","(1c) basic vocational qualification","75","0.1764428779224","0.142053365232572","0.210832390612228"
"Yes","1986","Couple + C. GT 16 ","(2b) intermediate general qualification","15","","",""
"Yes","1986","Couple + C. GT 16 ","(2a) intermediate vocational","57","0.312748094183033","0.241576023533458","0.383920164832608"
"Yes","1986","Couple + C. GT 16 ","(2c_gen) general maturity certificate","9","","",""
"Yes","1986","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","7","","",""
"Yes","1986","Couple + C. GT 16 ","(3a) lower tertiary education","8","","",""
"Yes","1986","Couple + C. GT 16 ","(3b) higher tertiary education","30","0.582917073454931","0.451404945460512","0.714429201449351"
"Yes","1986","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes","1986","Couple + C. LE and GT 16","(1a) inadequately completed","16","","",""
"Yes","1986","Couple + C. LE and GT 16","(1b) general elementary school","22","","",""
"Yes","1986","Couple + C. LE and GT 16","(1c) basic vocational qualification","51","0.191486268267663","0.146355868218034","0.236616668317292"
"Yes","1986","Couple + C. LE and GT 16","(2b) intermediate general qualification","16","","",""
"Yes","1986","Couple + C. LE and GT 16","(2a) intermediate vocational","20","","",""
"Yes","1986","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","2","","",""
"Yes","1986","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","6","","",""
"Yes","1986","Couple + C. LE and GT 16","(3a) lower tertiary education","3","","",""
"Yes","1986","Couple + C. LE and GT 16","(3b) higher tertiary education","14","","",""
"No","1986","1-pers.-HH","(0) in school","","","",""
"No","1986","1-pers.-HH","(1a) inadequately completed","35","0.945598683028254","0.873485539302044","1.01771182675446"
"No","1986","1-pers.-HH","(1b) general elementary school","58","0.764814022979832","0.664743267515261","0.864884778444402"
"No","1986","1-pers.-HH","(1c) basic vocational qualification","108","0.698178969093141","0.624222637037135","0.772135301149146"
"No","1986","1-pers.-HH","(2b) intermediate general qualification","8","","",""
"No","1986","1-pers.-HH","(2a) intermediate vocational","64","0.704419959369433","0.61117882337117","0.797661095367696"
"No","1986","1-pers.-HH","(2c_gen) general maturity certificate","13","","",""
"No","1986","1-pers.-HH","(2c_voc) vocational maturity certificate","19","","",""
"No","1986","1-pers.-HH","(3a) lower tertiary education","12","","",""
"No","1986","1-pers.-HH","(3b) higher tertiary education","20","","",""
"No","1986","(Married) couple without C. ","(0) in school","","","",""
"No","1986","(Married) couple without C. ","(1a) inadequately completed","52","0.93754666126231","0.874170146345482","1.00092317617914"
"No","1986","(Married) couple without C. ","(1b) general elementary school","160","0.823237871992827","0.768853455868035","0.877622288117619"
"No","1986","(Married) couple without C. ","(1c) basic vocational qualification","383","0.754959589403511","0.717145764808428","0.792773413998594"
"No","1986","(Married) couple without C. ","(2b) intermediate general qualification","15","","",""
"No","1986","(Married) couple without C. ","(2a) intermediate vocational","152","0.676672986844846","0.615958674228978","0.737387299460714"
"No","1986","(Married) couple without C. ","(2c_gen) general maturity certificate","8","","",""
