"pgoeffd","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No","1986","(Married) couple without C. ","(2c_voc) vocational maturity certificate","44","0.734283654892746","0.622516670995932","0.84605063878956"
"No","1986","(Married) couple without C. ","(3a) lower tertiary education","29","","",""
"No","1986","(Married) couple without C. ","(3b) higher tertiary education","36","0.459989288496032","0.350775331123613","0.56920324586845"
"No","1986","Single parent ","(0) in school","1","","",""
"No","1986","Single parent ","(1a) inadequately completed","18","","",""
"No","1986","Single parent ","(1b) general elementary school","58","0.877332435004751","0.799360089300127","0.955304780709374"
"No","1986","Single parent ","(1c) basic vocational qualification","81","0.841071669739196","0.767935933592815","0.914207405885577"
"No","1986","Single parent ","(2b) intermediate general qualification","6","","",""
"No","1986","Single parent ","(2a) intermediate vocational","27","","",""
"No","1986","Single parent ","(2c_gen) general maturity certificate","7","","",""
"No","1986","Single parent ","(2c_voc) vocational maturity certificate","7","","",""
"No","1986","Single parent ","(3a) lower tertiary education","","","",""
"No","1986","Single parent ","(3b) higher tertiary education","5","","",""
"No","1986","Couple + C. LE 16 ","(0) in school","","","",""
"No","1986","Couple + C. LE 16 ","(1a) inadequately completed","125","0.943835337251819","0.904996975627112","0.982673698876525"
"No","1986","Couple + C. LE 16 ","(1b) general elementary school","235","0.892636581665348","0.85478822435218","0.930484938978516"
"No","1986","Couple + C. LE 16 ","(1c) basic vocational qualification","485","0.787531461468342","0.75460826330833","0.820454659628355"
"No","1986","Couple + C. LE 16 ","(2b) intermediate general qualification","11","","",""
"No","1986","Couple + C. LE 16 ","(2a) intermediate vocational","148","0.710255127189463","0.648753017073097","0.771757237305829"
"No","1986","Couple + C. LE 16 ","(2c_gen) general maturity certificate","16","","",""
"No","1986","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","59","0.776060837212951","0.679092080852499","0.873029593573404"
"No","1986","Couple + C. LE 16 ","(3a) lower tertiary education","40","0.725416997480697","0.606380017620885","0.844453977340508"
"No","1986","Couple + C. LE 16 ","(3b) higher tertiary education","59","0.420599278127091","0.33882666982992","0.502371886424261"
"No","1986","Couple + C. GT 16 ","(0) in school","1","","",""
"No","1986","Couple + C. GT 16 ","(1a) inadequately completed","70","0.789398762738149","0.69712119492851","0.881676330547788"
"No","1986","Couple + C. GT 16 ","(1b) general elementary school","218","0.82153775625169","0.774815352691089","0.868260159812291"
"No","1986","Couple + C. GT 16 ","(1c) basic vocational qualification","397","0.8235571220776","0.789167609387772","0.857946634767428"
"No","1986","Couple + C. GT 16 ","(2b) intermediate general qualification","61","0.824076095599205","0.738473411827913","0.909678779370497"
"No","1986","Couple + C. GT 16 ","(2a) intermediate vocational","106","0.687251905816967","0.616079835167391","0.758423976466542"
"No","1986","Couple + C. GT 16 ","(2c_gen) general maturity certificate","25","","",""
"No","1986","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","27","","",""
"No","1986","Couple + C. GT 16 ","(3a) lower tertiary education","25","","",""
"No","1986","Couple + C. GT 16 ","(3b) higher tertiary education","24","","",""
"No","1986","Couple + C. LE and GT 16","(0) in school","","","",""
"No","1986","Couple + C. LE and GT 16","(1a) inadequately completed","66","0.840868346298689","0.761694188029104","0.920042504568275"
"No","1986","Couple + C. LE and GT 16","(1b) general elementary school","168","0.824274823929037","0.770158996679108","0.878390651178967"
"No","1986","Couple + C. LE and GT 16","(1c) basic vocational qualification","241","0.808513731732337","0.763383331682708","0.853644131781966"
"No","1986","Couple + C. LE and GT 16","(2b) intermediate general qualification","38","0.682552786913159","0.558400394566032","0.806705179260287"
"No","1986","Couple + C. LE and GT 16","(2a) intermediate vocational","49","0.693379702513157","0.584584546793422","0.802174858232892"
"No","1986","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","15","","",""
"No","1986","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","10","","",""
"No","1986","Couple + C. LE and GT 16","(3a) lower tertiary education","11","","",""
"No","1986","Couple + C. LE and GT 16","(3b) higher tertiary education","13","","",""
"Yes","1987","1-pers.-HH","(0) in school","","","",""
"Yes","1987","1-pers.-HH","(1a) inadequately completed","4","","",""
"Yes","1987","1-pers.-HH","(1b) general elementary school","11","","",""
"Yes","1987","1-pers.-HH","(1c) basic vocational qualification","31","0.244022620945744","0.174825714798114","0.313219527093373"
"Yes","1987","1-pers.-HH","(2b) intermediate general qualification","4","","",""
"Yes","1987","1-pers.-HH","(2a) intermediate vocational","30","0.336406025179025","0.237689501131822","0.435122549226228"
"Yes","1987","1-pers.-HH","(2c_gen) general maturity certificate","5","","",""
"Yes","1987","1-pers.-HH","(2c_voc) vocational maturity certificate","21","","",""
"Yes","1987","1-pers.-HH","(3a) lower tertiary education","9","","",""
"Yes","1987","1-pers.-HH","(3b) higher tertiary education","33","0.574028558472966","0.449937592564815","0.698119524381116"
"Yes","1987","(Married) couple without C. ","(0) in school","","","",""
"Yes","1987","(Married) couple without C. ","(1a) inadequately completed","3","","",""
"Yes","1987","(Married) couple without C. ","(1b) general elementary school","29","","",""
"Yes","1987","(Married) couple without C. ","(1c) basic vocational qualification","122","0.262133355183907","0.223775661699731","0.300491048668084"
"Yes","1987","(Married) couple without C. ","(2b) intermediate general qualification","10","","",""
"Yes","1987","(Married) couple without C. ","(2a) intermediate vocational","73","0.30656359407145","0.246977107060539","0.366150081082361"
"Yes","1987","(Married) couple without C. ","(2c_gen) general maturity certificate","3","","",""
"Yes","1987","(Married) couple without C. ","(2c_voc) vocational maturity certificate","15","","",""
"Yes","1987","(Married) couple without C. ","(3a) lower tertiary education","12","","",""
"Yes","1987","(Married) couple without C. ","(3b) higher tertiary education","41","0.488963335260897","0.380768795878478","0.597157874643317"
"Yes","1987","Single parent ","(0) in school","","","",""
"Yes","1987","Single parent ","(1a) inadequately completed","2","","",""
"Yes","1987","Single parent ","(1b) general elementary school","9","","",""
"Yes","1987","Single parent ","(1c) basic vocational qualification","14","","",""
"Yes","1987","Single parent ","(2b) intermediate general qualification","4","","",""
"Yes","1987","Single parent ","(2a) intermediate vocational","13","","",""
"Yes","1987","Single parent ","(2c_gen) general maturity certificate","3","","",""
"Yes","1987","Single parent ","(2c_voc) vocational maturity certificate","3","","",""
"Yes","1987","Single parent ","(3a) lower tertiary education","","","",""
"Yes","1987","Single parent ","(3b) higher tertiary education","9","","",""
"Yes","1987","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","1987","Couple + C. LE 16 ","(1a) inadequately completed","7","","",""
"Yes","1987","Couple + C. LE 16 ","(1b) general elementary school","24","","",""
"Yes","1987","Couple + C. LE 16 ","(1c) basic vocational qualification","94","0.186046677829032","0.154593093891469","0.217500261766595"
"Yes","1987","Couple + C. LE 16 ","(2b) intermediate general qualification","5","","",""
"Yes","1987","Couple + C. LE 16 ","(2a) intermediate vocational","66","0.294560288711326","0.234461045333957","0.354659532088696"
"Yes","1987","Couple + C. LE 16 ","(2c_gen) general maturity certificate","2","","",""
"Yes","1987","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","17","","",""
"Yes","1987","Couple + C. LE 16 ","(3a) lower tertiary education","16","","",""
"Yes","1987","Couple + C. LE 16 ","(3b) higher tertiary education","70","0.532275634596834","0.445837298836436","0.618713970357231"
"Yes","1987","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","1987","Couple + C. GT 16 ","(1a) inadequately completed","4","","",""
"Yes","1987","Couple + C. GT 16 ","(1b) general elementary school","43","0.191816015019286","0.144231267534701","0.23940076250387"
"Yes","1987","Couple + C. GT 16 ","(1c) basic vocational qualification","86","0.187266651643849","0.152968228070519","0.22156507521718"
"Yes","1987","Couple + C. GT 16 ","(2b) intermediate general qualification","19","","",""
"Yes","1987","Couple + C. GT 16 ","(2a) intermediate vocational","64","0.327961293594757","0.258993468796016","0.396929118393498"
"Yes","1987","Couple + C. GT 16 ","(2c_gen) general maturity certificate","15","","",""
"Yes","1987","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","8","","",""
"Yes","1987","Couple + C. GT 16 ","(3a) lower tertiary education","7","","",""
"Yes","1987","Couple + C. GT 16 ","(3b) higher tertiary education","32","0.612931238008712","0.484205116028343","0.74165735998908"
"Yes","1987","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes","1987","Couple + C. LE and GT 16","(1a) inadequately completed","15","","",""
"Yes","1987","Couple + C. LE and GT 16","(1b) general elementary school","17","","",""
"Yes","1987","Couple + C. LE and GT 16","(1c) basic vocational qualification","47","0.204575364748878","0.155636485066988","0.253514244430767"
"Yes","1987","Couple + C. LE and GT 16","(2b) intermediate general qualification","18","","",""
"Yes","1987","Couple + C. LE and GT 16","(2a) intermediate vocational","16","","",""
"Yes","1987","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","2","","",""
"Yes","1987","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","5","","",""
"Yes","1987","Couple + C. LE and GT 16","(3a) lower tertiary education","3","","",""
"Yes","1987","Couple + C. LE and GT 16","(3b) higher tertiary education","17","","",""
"No","1987","1-pers.-HH","(0) in school","","","",""
"No","1987","1-pers.-HH","(1a) inadequately completed","35","0.864117092778962","0.756573510076688","0.971660675481236"
"No","1987","1-pers.-HH","(1b) general elementary school","66","0.796054587900393","0.706056947457503","0.886052228343284"
"No","1987","1-pers.-HH","(1c) basic vocational qualification","117","0.755977379054256","0.686780472906627","0.825174285201886"
"No","1987","1-pers.-HH","(2b) intermediate general qualification","10","","",""
"No","1987","1-pers.-HH","(2a) intermediate vocational","58","0.663593974820975","0.564877450773772","0.762310498868178"
"No","1987","1-pers.-HH","(2c_gen) general maturity certificate","9","","",""
"No","1987","1-pers.-HH","(2c_voc) vocational maturity certificate","20","","",""
"No","1987","1-pers.-HH","(3a) lower tertiary education","14","","",""
"No","1987","1-pers.-HH","(3b) higher tertiary education","28","","",""
"No","1987","(Married) couple without C. ","(0) in school","","","",""
"No","1987","(Married) couple without C. ","(1a) inadequately completed","56","0.952186029378839","0.897740729655774","1.0066313291019"
"No","1987","(Married) couple without C. ","(1b) general elementary school","144","0.803534781215696","0.744328168183295","0.862741394248098"
"No","1987","(Married) couple without C. ","(1c) basic vocational qualification","383","0.737866644816093","0.699508951331916","0.776224338300269"
"No","1987","(Married) couple without C. ","(2b) intermediate general qualification","14","","",""
"No","1987","(Married) couple without C. ","(2a) intermediate vocational","157","0.69343640592855","0.633849918917639","0.753022892939461"
"No","1987","(Married) couple without C. ","(2c_gen) general maturity certificate","8","","",""
"No","1987","(Married) couple without C. ","(2c_voc) vocational maturity certificate","51","0.781593378937745","0.681915345966995","0.881271411908495"
"No","1987","(Married) couple without C. ","(3a) lower tertiary education","31","0.716495325699297","0.58178507144214","0.851205579956454"
"No","1987","(Married) couple without C. ","(3b) higher tertiary education","41","0.511036664739103","0.402842125356683","0.619231204121522"
"No","1987","Single parent ","(0) in school","1","","",""
"No","1987","Single parent ","(1a) inadequately completed","14","","",""
"No","1987","Single parent ","(1b) general elementary school","64","0.876963431048252","0.801611478785668","0.952315383310836"
"No","1987","Single parent ","(1c) basic vocational qualification","90","0.869171613780858","0.804362634623009","0.933980592938706"
"No","1987","Single parent ","(2b) intermediate general qualification","9","","",""
"No","1987","Single parent ","(2a) intermediate vocational","25","","",""
"No","1987","Single parent ","(2c_gen) general maturity certificate","9","","",""
"No","1987","Single parent ","(2c_voc) vocational maturity certificate","5","","",""
"No","1987","Single parent ","(3a) lower tertiary education","","","",""
"No","1987","Single parent ","(3b) higher tertiary education","3","","",""
"No","1987","Couple + C. LE 16 ","(0) in school","","","",""
