"pgoeffd","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Yes","2001","66 and older","general elemantary","1","","","","1"
"Yes","2001","66 and older","middle vocational","5","","","","1"
"Yes","2001","66 and older","vocational + Abi","","","","","1"
"Yes","2001","66 and older","higher vocational","2","","","","1"
"Yes","2001","66 and older","higher education","4","","","","1"
"Yes","2001","16-34 y.","general elemantary","75","0.147995823506918","0.120089765649052","0.175901881364784","1"
"Yes","2001","16-34 y.","middle vocational","360","0.184455628581981","0.167350186829321","0.201561070334641","1"
"Yes","2001","16-34 y.","higher education","174","0.312222747026968","0.271725987534979","0.352719506518956","1"
"Yes","2001","16-34 y.","in school","2","","","","1"
"Yes","2001","16-34 y.","inadequately","5","","","","1"
"Yes","2001","16-34 y.","vocational + Abi","54","0.177119981759723","0.133406407466974","0.220833556052472","1"
"Yes","2001","16-34 y.","higher vocational","87","0.351332462570924","0.291185925212797","0.411478999929051","1"
"No","2002","66 and older","inadequately","1","","","","2"
"No","2002","66 and older","general elemantary","10","","","","2"
"No","2002","66 and older","higher vocational","6","","","","2"
"No","2002","66 and older","higher education","43","0.850100216487361","0.753075588685876","0.947124844288845","2"
"No","2002","66 and older","in school","","","","","2"
"No","2002","66 and older","middle vocational","39","0.816016113624316","0.702807076736507","0.929225150512125","2"
"No","2002","66 and older","vocational + Abi","2","","","","2"
"No","2002","16-34 y.","in school","63","0.895545538904506","0.823897154028802","0.967193923780209","2"
"No","2002","16-34 y.","inadequately","32","0.904699680744198","0.808782537170874","1.00061682431752","2"
"No","2002","16-34 y.","general elemantary","564","0.874352686156417","0.848633472860026","0.900071899452807","2"
"No","2002","16-34 y.","middle vocational","1602","0.812653730796705","0.795510335312753","0.829797126280657","2"
"No","2002","16-34 y.","vocational + Abi","269","0.85783309720023","0.81963020657895","0.89603598782151","2"
"No","2002","16-34 y.","higher vocational","177","0.654393981615603","0.595793912663346","0.71299405056786","2"
"No","2002","16-34 y.","higher education","342","0.681820463202632","0.641978605719083","0.721662320686181","2"
"No","2002","35-65 y.","in school","","","","","2"
"No","2002","35-65 y.","inadequately","48","0.855016018406006","0.765927937727717","0.944104099084294","2"
"No","2002","35-65 y.","general elemantary","444","0.826931732157963","0.794964833406517","0.858898630909408","2"
"No","2002","35-65 y.","middle vocational","3493","0.780874882470863","0.768770148083608","0.792979616858118","2"
"No","2002","35-65 y.","vocational + Abi","366","0.77932459648576","0.741344898370906","0.817304294600613","2"
"No","2002","35-65 y.","higher vocational","688","0.736381566479363","0.708245590705246","0.76451754225348","2"
"No","2002","35-65 y.","higher education","1675","0.631974198453938","0.614215398657183","0.649732998250692","2"
"Yes","2002","35-65 y.","in school","","","","","1"
"Yes","2002","35-65 y.","inadequately","12","","","","1"
"Yes","2002","35-65 y.","general elemantary","94","0.173068267842037","0.141101369090592","0.205035166593483","1"
"Yes","2002","35-65 y.","middle vocational","993","0.219125117529137","0.207020383141882","0.231229851916392","1"
"Yes","2002","35-65 y.","vocational + Abi","92","0.220675403514241","0.182695705399387","0.258655101629094","1"
"Yes","2002","35-65 y.","higher vocational","254","0.263618433520637","0.23548245774652","0.291754409294754","1"
"Yes","2002","35-65 y.","higher education","1158","0.368025801546062","0.350267001749308","0.385784601342817","1"
"Yes","2002","16-34 y.","in school","7","","","","1"
"Yes","2002","16-34 y.","inadequately","4","","","","1"
"Yes","2002","16-34 y.","general elemantary","74","0.125647313843583","0.0999281005471925","0.151366527139974","1"
"Yes","2002","16-34 y.","middle vocational","388","0.187346269203295","0.170202873719343","0.204489664687247","1"
"Yes","2002","16-34 y.","vocational + Abi","52","0.14216690279977","0.10396401217849","0.18036979342105","1"
"Yes","2002","16-34 y.","higher vocational","76","0.345606018384397","0.28700594943214","0.404206087336654","1"
"Yes","2002","16-34 y.","higher education","183","0.318179536797368","0.278337679313819","0.358021394280917","1"
"Yes","2002","66 and older","in school","","","","","1"
"Yes","2002","66 and older","inadequately","","","","","1"
"Yes","2002","66 and older","general elemantary","","","","","1"
"Yes","2002","66 and older","middle vocational","6","","","","1"
"Yes","2002","66 and older","vocational + Abi","2","","","","1"
"Yes","2002","66 and older","higher vocational","1","","","","1"
"Yes","2002","66 and older","higher education","9","","","","1"
"No","2003","66 and older","in school","","","","","2"
"No","2003","66 and older","inadequately","1","","","","2"
"No","2003","66 and older","general elemantary","9","","","","2"
"No","2003","66 and older","higher vocational","6","","","","2"
"No","2003","66 and older","higher education","32","0.891241468733047","0.79353008864806","0.988952848818033","2"
"No","2003","66 and older","middle vocational","37","0.851414784137399","0.743847094925824","0.958982473348974","2"
"No","2003","66 and older","vocational + Abi","2","","","","2"
"No","2003","16-34 y.","in school","35","0.96949525045764","0.914817219390477","1.0241732815248","2"
"No","2003","16-34 y.","inadequately","25","","","","2"
"No","2003","16-34 y.","general elemantary","464","0.859038865579738","0.829300895608139","0.888776835551337","2"
"No","2003","16-34 y.","middle vocational","1308","0.780776352552804","0.760783619594453","0.800769085511154","2"
"No","2003","16-34 y.","vocational + Abi","254","0.798268106956688","0.75345197152323","0.843084242390146","2"
"No","2003","16-34 y.","higher vocational","133","0.640439748302012","0.573767280581602","0.707112216022422","2"
"No","2003","16-34 y.","higher education","279","0.714532299359426","0.67218782037305","0.756876778345803","2"
"No","2003","35-65 y.","in school","","","","","2"
"No","2003","35-65 y.","inadequately","42","0.877207572749004","0.787133462436513","0.967281683061494","2"
"No","2003","35-65 y.","general elemantary","366","0.789865000520915","0.752512848988669","0.827217152053161","2"
"No","2003","35-65 y.","middle vocational","3156","0.774009752609483","0.761193784546407","0.786825720672559","2"
"No","2003","35-65 y.","vocational + Abi","331","0.76011611072072","0.719326688592274","0.800905532849165","2"
"No","2003","35-65 y.","higher vocational","613","0.718980110919467","0.688903325702615","0.749056896136318","2"
"No","2003","35-65 y.","higher education","1540","0.634537989987994","0.615927297103546","0.653148682872443","2"
"Yes","2003","35-65 y.","in school","","","","","1"
"Yes","2003","35-65 y.","inadequately","9","","","","1"
"Yes","2003","35-65 y.","general elemantary","91","0.210134999479085","0.172782847946839","0.247487151011331","1"
"Yes","2003","35-65 y.","middle vocational","935","0.225990247390517","0.213174279327441","0.238806215453593","1"
"Yes","2003","35-65 y.","vocational + Abi","90","0.23988388927928","0.199094467150835","0.280673311407725","1"
"Yes","2003","35-65 y.","higher vocational","245","0.281019889080533","0.250943103863682","0.311096674297385","1"
"Yes","2003","35-65 y.","higher education","1032","0.365462010012006","0.346851317127557","0.384072702896454","1"
"Yes","2003","16-34 y.","in school","3","","","","1"
"Yes","2003","16-34 y.","inadequately","3","","","","1"
"Yes","2003","16-34 y.","general elemantary","62","0.140961134420262","0.111223164448663","0.170699104391861","1"
"Yes","2003","16-34 y.","middle vocational","337","0.219223647447196","0.199230914488845","0.239216380405547","1"
"Yes","2003","16-34 y.","vocational + Abi","54","0.201731893043312","0.156915757609854","0.24654802847677","1"
"Yes","2003","16-34 y.","higher vocational","66","0.359560251697988","0.292887783977578","0.426232719418398","1"
"Yes","2003","16-34 y.","higher education","158","0.285467700640574","0.243123221654197","0.32781217962695","1"
"Yes","2003","66 and older","in school","","","","","1"
"Yes","2003","66 and older","inadequately","","","","","1"
"Yes","2003","66 and older","general elemantary","","","","","1"
"Yes","2003","66 and older","middle vocational","5","","","","1"
"Yes","2003","66 and older","vocational + Abi","1","","","","1"
"Yes","2003","66 and older","higher vocational","","","","","1"
"Yes","2003","66 and older","higher education","7","","","","1"
"No","2004","66 and older","higher vocational","10","","","","2"
"No","2004","66 and older","higher education","57","0.949736950640477","0.895785403870715","1.00368849741024","2"
"No","2004","66 and older","in school","","","","","2"
"No","2004","66 and older","inadequately","","","","","2"
"No","2004","66 and older","general elemantary","14","","","","2"
"No","2004","66 and older","middle vocational","56","0.956404438186692","0.903854038319795","1.00895483805359","2"
"No","2004","66 and older","vocational + Abi","5","","","","2"
"No","2004","16-34 y.","in school","44","0.918861615164911","0.840800024630043","0.996923205699779","2"
"No","2004","16-34 y.","inadequately","20","","","","2"
"No","2004","16-34 y.","general elemantary","470","0.856469736638732","0.82706078647385","0.885878686803614","2"
"No","2004","16-34 y.","middle vocational","1388","0.808806055824416","0.790029868830626","0.827582242818207","2"
"No","2004","16-34 y.","vocational + Abi","261","0.80346698960617","0.760197939772076","0.846736039440263","2"
"No","2004","16-34 y.","higher vocational","139","0.612039285057528","0.545817642522573","0.678260927592482","2"
"No","2004","16-34 y.","higher education","278","0.642751934134471","0.599056733037018","0.686447135231923","2"
"No","2004","35-65 y.","in school","","","","","2"
"No","2004","35-65 y.","inadequately","41","0.864973233574639","0.769284387149069","0.960662080000209","2"
"No","2004","35-65 y.","general elemantary","371","0.809333583517056","0.772876531765833","0.845790635268278","2"
"No","2004","35-65 y.","middle vocational","3241","0.783704675490575","0.771199421547703","0.796209929433447","2"
"No","2004","35-65 y.","vocational + Abi","367","0.774294273770159","0.736133080984337","0.81245546655598","2"
"No","2004","35-65 y.","higher vocational","634","0.721062863065743","0.691398121660206","0.750727604471281","2"
"No","2004","35-65 y.","higher education","1552","0.633433288939344","0.614889859408566","0.651976718470123","2"
"Yes","2004","35-65 y.","in school","","","","","1"
"Yes","2004","35-65 y.","inadequately","8","","","","1"
"Yes","2004","35-65 y.","general elemantary","75","0.190666416482944","0.154209364731722","0.227123468234166","1"
"Yes","2004","35-65 y.","middle vocational","923","0.216295324509425","0.203790070566553","0.228800578452297","1"
"Yes","2004","35-65 y.","vocational + Abi","94","0.225705726229841","0.18754453344402","0.263866919015663","1"
"Yes","2004","35-65 y.","higher vocational","244","0.278937136934257","0.249272395528719","0.308601878339794","1"
"Yes","2004","35-65 y.","higher education","1042","0.366566711060656","0.348023281529877","0.385110140591434","1"
"Yes","2004","16-34 y.","in school","3","","","","1"
"Yes","2004","16-34 y.","inadequately","7","","","","1"
"Yes","2004","16-34 y.","general elemantary","76","0.143530263361268","0.114121313196386","0.17293921352615","1"
"Yes","2004","16-34 y.","middle vocational","297","0.191193944175583","0.172417757181793","0.209970131169374","1"
"Yes","2004","16-34 y.","vocational + Abi","63","0.19653301039383","0.153263960559737","0.239802060227924","1"
"Yes","2004","16-34 y.","higher vocational","69","0.387960714942472","0.321739072407518","0.454182357477427","1"
"Yes","2004","16-34 y.","higher education","184","0.357248065865529","0.313552864768077","0.400943266962982","1"
"Yes","2004","66 and older","in school","","","","","1"
"Yes","2004","66 and older","inadequately","","","","","1"
"Yes","2004","66 and older","general elemantary","","","","","1"
"Yes","2004","66 and older","middle vocational","2","","","","1"
"Yes","2004","66 and older","vocational + Abi","","","","","1"
"Yes","2004","66 and older","higher vocational","","","","","1"
"Yes","2004","66 and older","higher education","6","","","","1"
"No","2005","66 and older","higher vocational","8","","","","2"
"No","2005","66 and older","higher education","49","0.959082323181504","0.904713938482031","1.01345070788098","2"
"No","2005","66 and older","in school","","","","","2"
"No","2005","66 and older","inadequately","1","","","","2"
"No","2005","66 and older","general elemantary","10","","","","2"
"No","2005","66 and older","middle vocational","35","0.982592931349727","0.939871432667436","1.02531443003202","2"
"No","2005","66 and older","vocational + Abi","2","","","","2"
"No","2005","16-34 y.","in school","27","","","","2"
"No","2005","16-34 y.","inadequately","19","","","","2"
"No","2005","16-34 y.","general elemantary","364","0.86027182737127","0.827192878138992","0.893350776603548","2"
"No","2005","16-34 y.","middle vocational","1130","0.799854691195704","0.778644621799338","0.821064760592071","2"
"No","2005","16-34 y.","vocational + Abi","247","0.782939533372555","0.73652208593905","0.829356980806059","2"
"No","2005","16-34 y.","higher vocational","122","0.673458147836894","0.601686833631428","0.745229462042361","2"
"No","2005","16-34 y.","higher education","251","0.692417240705661","0.647909249251373","0.736925232159949","2"
"No","2005","35-65 y.","in school","","","","","2"
"No","2005","35-65 y.","inadequately","31","0.814704974231335","0.695775848297188","0.933634100165481","2"
"No","2005","35-65 y.","general elemantary","325","0.788000348890877","0.747895912147171","0.828104785634583","2"
"No","2005","35-65 y.","middle vocational","2992","0.786847253616491","0.773905960293696","0.799788546939285","2"
"No","2005","35-65 y.","vocational + Abi","340","0.77902344133013","0.739988674252409","0.81805820840785","2"
"No","2005","35-65 y.","higher vocational","574","0.710562942023443","0.679370568634581","0.741755315412304","2"
"No","2005","35-65 y.","higher education","1422","0.624407809493218","0.605016947115789","0.643798671870647","2"
"Yes","2005","35-65 y.","in school","","","","","1"
"Yes","2005","35-65 y.","inadequately","10","","","","1"
"Yes","2005","35-65 y.","general elemantary","74","0.211999651109123","0.171895214365417","0.252104087852829","1"
"Yes","2005","35-65 y.","middle vocational","855","0.21315274638351","0.200211453060715","0.226094039706304","1"
"Yes","2005","35-65 y.","vocational + Abi","94","0.22097655866987","0.18194179159215","0.260011325747591","1"
"Yes","2005","35-65 y.","higher vocational","238","0.289437057976557","0.258244684587696","0.320629431365419","1"
"Yes","2005","35-65 y.","higher education","974","0.375592190506782","0.356201328129353","0.394983052884211","1"
"Yes","2005","16-34 y.","general elemantary","58","0.13972817262873","0.106649223396452","0.172807121861008","1"
"Yes","2005","16-34 y.","middle vocational","237","0.200145308804296","0.178935239407929","0.221355378200662","1"
"Yes","2005","16-34 y.","vocational + Abi","56","0.217060466627445","0.170643019193941","0.26347791406095","1"
"Yes","2005","16-34 y.","higher vocational","42","0.326541852163106","0.254770537957639","0.398313166368572","1"
"Yes","2005","16-34 y.","higher education","162","0.307582759294339","0.263074767840051","0.352090750748627","1"
"Yes","2005","16-34 y.","in school","","","","","1"
"Yes","2005","16-34 y.","inadequately","3","","","","1"
"Yes","2005","66 and older","in school","","","","","1"
"Yes","2005","66 and older","inadequately","","","","","1"
"Yes","2005","66 and older","general elemantary","2","","","","1"
"Yes","2005","66 and older","middle vocational","1","","","","1"
"Yes","2005","66 and older","vocational + Abi","","","","","1"
"Yes","2005","66 and older","higher vocational","","","","","1"
"Yes","2005","66 and older","higher education","2","","","","1"
"No","2006","66 and older","higher vocational","11","","","","2"
"No","2006","66 and older","higher education","49","0.872281017586796","0.78325700882382","0.961305026349772","2"
"No","2006","66 and older","in school","1","","","","2"
"No","2006","66 and older","inadequately","1","","","","2"
"No","2006","66 and older","general elemantary","16","","","","2"
"No","2006","66 and older","middle vocational","48","0.972526669978901","0.927219232439956","1.01783410751785","2"
"No","2006","66 and older","vocational + Abi","3","","","","2"
"No","2006","16-34 y.","in school","22","","","","2"
"No","2006","16-34 y.","inadequately","19","","","","2"
"No","2006","16-34 y.","general elemantary","312","0.850101243040981","0.813825947247593","0.88637653883437","2"
"No","2006","16-34 y.","middle vocational","1085","0.794424608094805","0.772615515273984","0.816233700915627","2"
"No","2006","16-34 y.","vocational + Abi","249","0.804708319595104","0.760145525221009","0.849271113969199","2"
"No","2006","16-34 y.","higher vocational","110","0.729053579135093","0.656208284417576","0.801898873852611","2"
"No","2006","16-34 y.","higher education","265","0.667518101110699","0.62267654354614","0.712359658675259","2"
"No","2006","35-65 y.","in school","2","","","","2"
"No","2006","35-65 y.","inadequately","32","0.849656001315741","0.738896062167478","0.960415940464004","2"
"No","2006","35-65 y.","general elemantary","326","0.790557746973037","0.750681245829861","0.830434248116213","2"
"No","2006","35-65 y.","middle vocational","3132","0.78635407728144","0.773722860054313","0.798985294508568","2"
"No","2006","35-65 y.","vocational + Abi","355","0.765080723131454","0.726422662690272","0.803738783572637","2"
"No","2006","35-65 y.","higher vocational","583","0.714061238893642","0.683540412371704","0.74458206541558","2"
"No","2006","35-65 y.","higher education","1515","0.634232559111162","0.615472118724835","0.65299299949749","2"
"Yes","2006","35-65 y.","in school","","","","","1"
"Yes","2006","35-65 y.","inadequately","8","","","","1"
"Yes","2006","35-65 y.","general elemantary","74","0.209442253026963","0.169565751883787","0.249318754170139","1"
"Yes","2006","35-65 y.","middle vocational","913","0.21364592271856","0.201014705491432","0.226277139945687","1"
"Yes","2006","35-65 y.","vocational + Abi","107","0.234919276868546","0.196261216427363","0.273577337309728","1"
"Yes","2006","35-65 y.","higher vocational","259","0.285938761106358","0.25541793458442","0.316459587628296","1"
"Yes","2006","35-65 y.","higher education","1017","0.365767440888838","0.34700700050251","0.384527881275165","1"
"Yes","2006","16-34 y.","general elemantary","60","0.149898756959019","0.11362346116563","0.186174052752407","1"
"Yes","2006","16-34 y.","middle vocational","234","0.205575391905195","0.183766299084373","0.227384484726016","1"
"Yes","2006","16-34 y.","vocational + Abi","55","0.195291680404896","0.150728886030801","0.239854474778991","1"
"Yes","2006","16-34 y.","higher vocational","33","0.270946420864906","0.198101126147389","0.343791715582423","1"
"Yes","2006","16-34 y.","higher education","159","0.332481898889301","0.287640341324741","0.37732345645386","1"
"Yes","2006","16-34 y.","inadequately","2","","","","1"
"Yes","2006","16-34 y.","in school","1","","","","1"
"Yes","2006","66 and older","in school","","","","","1"
"Yes","2006","66 and older","inadequately","","","","","1"
"Yes","2006","66 and older","middle vocational","2","","","","1"
"Yes","2006","66 and older","vocational + Abi","","","","","1"
"Yes","2006","66 and older","higher vocational","","","","","1"
"Yes","2006","66 and older","general elemantary","2","","","","1"
"Yes","2006","66 and older","higher education","5","","","","1"
"No","2007","66 and older","in school","","","","","2"
"No","2007","66 and older","inadequately","1","","","","2"
"No","2007","66 and older","general elemantary","12","","","","2"
"No","2007","66 and older","middle vocational","71","0.979368438697923","0.946981393258583","1.01175548413726","2"
"No","2007","66 and older","vocational + Abi","2","","","","2"
"No","2007","66 and older","higher vocational","12","","","","2"
"No","2007","66 and older","higher education","67","0.778571665555666","0.68642774567249","0.870715585438843","2"
"No","2007","16-34 y.","in school","29","","","","2"
"No","2007","16-34 y.","inadequately","20","","","","2"
"No","2007","16-34 y.","general elemantary","336","0.884344387231388","0.853081496453805","0.91560727800897","2"
"No","2007","16-34 y.","middle vocational","1222","0.82304976326109","0.80356756447116","0.842531962051021","2"
"No","2007","16-34 y.","vocational + Abi","275","0.875562550618146","0.839509726125395","0.911615375110897","2"
"No","2007","16-34 y.","higher vocational","98","0.667158456154024","0.584878115730893","0.749438796577155","2"
"No","2007","16-34 y.","higher education","297","0.651472090264417","0.608393066765631","0.694551113763203","2"
"No","2007","35-65 y.","in school","","","","","2"
"No","2007","35-65 y.","inadequately","25","","","","2"
"No","2007","35-65 y.","general elemantary","299","0.789609847449148","0.748023201965087","0.831196492933209","2"
"No","2007","35-65 y.","middle vocational","3219","0.792912266746467","0.780492046669485","0.80533248682345","2"
"No","2007","35-65 y.","vocational + Abi","383","0.778265855671146","0.741408985244964","0.815122726097327","2"
"No","2007","35-65 y.","higher vocational","613","0.731369111745209","0.701588775818455","0.761149447671963","2"
"No","2007","35-65 y.","higher education","1499","0.633674080744014","0.614738571289852","0.652609590198176","2"
"Yes","2007","35-65 y.","in school","","","","","1"
"Yes","2007","35-65 y.","inadequately","9","","","","1"
"Yes","2007","35-65 y.","general elemantary","70","0.210390152550852","0.168803507066791","0.251976798034913","1"
"Yes","2007","35-65 y.","middle vocational","870","0.207087733253533","0.19466751317655","0.219507953330515","1"
"Yes","2007","35-65 y.","vocational + Abi","105","0.221734144328854","0.184877273902673","0.258591014755036","1"
"Yes","2007","35-65 y.","higher vocational","238","0.268630888254791","0.238850552328038","0.298411224181545","1"
"Yes","2007","35-65 y.","higher education","988","0.366325919255986","0.347390409801824","0.385261428710148","1"
"Yes","2007","16-34 y.","general elemantary","66","0.115655612768612","0.08439272199103","0.146918503546195","1"
"Yes","2007","16-34 y.","middle vocational","252","0.17695023673891","0.157468037948979","0.19643243552884","1"
"Yes","2007","16-34 y.","vocational + Abi","47","0.124437449381854","0.0883846248891027","0.160490273874606","1"
"Yes","2007","16-34 y.","higher vocational","28","","","","1"
"Yes","2007","16-34 y.","higher education","173","0.348527909735583","0.305448886236797","0.391606933234369","1"
"Yes","2007","16-34 y.","in school","","","","","1"
"Yes","2007","16-34 y.","inadequately","5","","","","1"
"Yes","2007","66 and older","in school","","","","","1"
"Yes","2007","66 and older","inadequately","","","","","1"
"Yes","2007","66 and older","general elemantary","","","","","1"
"Yes","2007","66 and older","middle vocational","3","","","","1"
"Yes","2007","66 and older","vocational + Abi","","","","","1"
"Yes","2007","66 and older","higher vocational","1","","","","1"
"Yes","2007","66 and older","higher education","11","","","","1"
"No","2008","66 and older","in school","","","","","2"
"No","2008","66 and older","inadequately","1","","","","2"
"No","2008","66 and older","general elemantary","10","","","","2"
"No","2008","66 and older","middle vocational","64","0.97825779606299","0.943336598314344","1.01317899381164","2"
"No","2008","66 and older","vocational + Abi","1","","","","2"
"No","2008","66 and older","higher vocational","11","","","","2"
"No","2008","66 and older","higher education","62","0.84416330580619","0.757956464350133","0.930370147262247","2"
"No","2008","16-34 y.","in school","24","","","","2"
"No","2008","16-34 y.","inadequately","19","","","","2"
"No","2008","16-34 y.","general elemantary","274","0.863285396392708","0.825877762689912","0.900693030095503","2"
"No","2008","16-34 y.","middle vocational","1061","0.844299802455709","0.824429442047782","0.864170162863637","2"
"No","2008","16-34 y.","vocational + Abi","236","0.883848749766164","0.845910811107167","0.92178668842516","2"
"No","2008","16-34 y.","higher vocational","80","0.702795166694603","0.614101967135893","0.791488366253313","2"
"No","2008","16-34 y.","higher education","281","0.716599110139245","0.674054142957226","0.759144077321264","2"
"No","2008","35-65 y.","in school","","","","","2"
"No","2008","35-65 y.","inadequately","25","","","","2"
"No","2008","35-65 y.","general elemantary","274","0.784430212074115","0.740784457647191","0.828075966501038","2"
"No","2008","35-65 y.","middle vocational","2964","0.792016396310906","0.779081320916628","0.804951471705184","2"
"No","2008","35-65 y.","vocational + Abi","368","0.776176803526469","0.738574888098649","0.813778718954289","2"
"No","2008","35-65 y.","higher vocational","553","0.722594889415483","0.690971573974285","0.754218204856682","2"
"No","2008","35-65 y.","higher education","1389","0.629755207398128","0.609986824358135","0.64952359043812","2"
"Yes","2008","35-65 y.","in school","","","","","1"
"Yes","2008","35-65 y.","inadequately","8","","","","1"
"Yes","2008","35-65 y.","general elemantary","67","0.215569787925885","0.171924033498962","0.259215542352809","1"
"Yes","2008","35-65 y.","middle vocational","818","0.207983603689094","0.195048528294816","0.220918679083372","1"
"Yes","2008","35-65 y.","vocational + Abi","104","0.223823196473531","0.186221281045711","0.261425111901351","1"
"Yes","2008","35-65 y.","higher vocational","217","0.277405110584517","0.245781795143318","0.309028426025715","1"
"Yes","2008","35-65 y.","higher education","903","0.370244792601872","0.35047640956188","0.390013175641865","1"
"Yes","2008","16-34 y.","general elemantary","50","0.136714603607292","0.0993069699044967","0.174122237310088","1"
"Yes","2008","16-34 y.","middle vocational","218","0.155700197544291","0.135829837136364","0.175570557952218","1"
"Yes","2008","16-34 y.","in school","1","","","","1"
"Yes","2008","16-34 y.","inadequately","4","","","","1"
"Yes","2008","16-34 y.","vocational + Abi","38","0.116151250233836","0.0782133115748397","0.154089188892833","1"
"Yes","2008","16-34 y.","higher vocational","22","","","","1"
"Yes","2008","16-34 y.","higher education","150","0.283400889860755","0.240855922678736","0.325945857042774","1"
"Yes","2008","66 and older","in school","","","","","1"
"Yes","2008","66 and older","inadequately","","","","","1"
"Yes","2008","66 and older","general elemantary","","","","","1"
"Yes","2008","66 and older","middle vocational","3","","","","1"
"Yes","2008","66 and older","vocational + Abi","","","","","1"
"Yes","2008","66 and older","higher vocational","1","","","","1"
"Yes","2008","66 and older","higher education","6","","","","1"
"No","2009","66 and older","in school","","","","","2"
"No","2009","66 and older","inadequately","1","","","","2"
"No","2009","66 and older","general elemantary","11","","","","2"
"No","2009","66 and older","middle vocational","101","0.934873938643951","0.887677701449975","0.982070175837928","2"
"No","2009","66 and older","vocational + Abi","","","","","2"
"No","2009","66 and older","higher vocational","15","","","","2"
"No","2009","66 and older","higher education","78","0.860954993155673","0.790635692940142","0.931274293371204","2"
"No","2009","16-34 y.","in school","36","0.978023436105922","0.930784320869142","1.0252625513427","2"
"No","2009","16-34 y.","inadequately","22","","","","2"
"No","2009","16-34 y.","general elemantary","292","0.89602990009414","0.863345451000365","0.928714349187914","2"
"No","2009","16-34 y.","middle vocational","1025","0.847433930181828","0.827323062375749","0.867544797987907","2"
"No","2009","16-34 y.","vocational + Abi","207","0.833637600594026","0.78756661900104","0.879708582187012","2"
"No","2009","16-34 y.","higher vocational","67","0.672443838931261","0.578561614704497","0.766326063158025","2"
"No","2009","16-34 y.","higher education","282","0.672748560845106","0.629916911380302","0.715580210309911","2"
"No","2009","35-65 y.","in school","","","","","2"
"No","2009","35-65 y.","inadequately","23","","","","2"
"No","2009","35-65 y.","general elemantary","249","0.785140511418273","0.739783568393029","0.830497454443518","2"
"No","2009","35-65 y.","middle vocational","2887","0.79406089208812","0.780975987736602","0.807145796439638","2"
"No","2009","35-65 y.","vocational + Abi","365","0.794560686943385","0.757478018044461","0.831643355842309","2"
"No","2009","35-65 y.","higher vocational","533","0.73024341216685","0.698222052862374","0.762264771471326","2"
"No","2009","35-65 y.","higher education","1345","0.644262323273948","0.624275738254437","0.664248908293459","2"
"Yes","2009","35-65 y.","in school","","","","","1"
"Yes","2009","35-65 y.","inadequately","6","","","","1"
"Yes","2009","35-65 y.","general elemantary","66","0.214859488581727","0.169502545556482","0.260216431606971","1"
"Yes","2009","35-65 y.","middle vocational","782","0.205939107911879","0.192854203560361","0.219024012263398","1"
"Yes","2009","35-65 y.","vocational + Abi","91","0.205439313056615","0.168356644157691","0.242521981955538","1"
"Yes","2009","35-65 y.","higher vocational","205","0.26975658783315","0.237735228528674","0.301777947137626","1"
"Yes","2009","35-65 y.","higher education","859","0.355737676726052","0.335751091706541","0.375724261745563","1"
"Yes","2009","16-34 y.","general elemantary","43","0.10397009990586","0.071285650812086","0.136654548999635","1"
"Yes","2009","16-34 y.","middle vocational","203","0.152566069818172","0.132455202012093","0.172676937624251","1"
"Yes","2009","16-34 y.","in school","1","","","","1"
"Yes","2009","16-34 y.","inadequately","3","","","","1"
"Yes","2009","16-34 y.","vocational + Abi","44","0.166362399405974","0.120291417812988","0.212433380998961","1"
"Yes","2009","16-34 y.","higher vocational","29","","","","1"
"Yes","2009","16-34 y.","higher education","179","0.327251439154894","0.284419789690089","0.370083088619698","1"
"Yes","2009","66 and older","higher vocational","","","","","1"
"Yes","2009","66 and older","in school","","","","","1"
"Yes","2009","66 and older","inadequately","","","","","1"
"Yes","2009","66 and older","general elemantary","","","","","1"
"Yes","2009","66 and older","vocational + Abi","","","","","1"
"Yes","2009","66 and older","higher education","15","","","","1"
"Yes","2009","66 and older","middle vocational","4","","","","1"
"No","2010","66 and older","in school","","","","","2"
"No","2010","66 and older","inadequately","1","","","","2"
"No","2010","66 and older","general elemantary","8","","","","2"
"No","2010","66 and older","middle vocational","78","0.930975016224727","0.876439275705894","0.98551075674356","2"
"No","2010","66 and older","vocational + Abi","1","","","","2"
"No","2010","66 and older","higher vocational","15","","","","2"
"No","2010","66 and older","higher education","66","0.815440509651675","0.729348048736841","0.901532970566509","2"
"No","2010","16-34 y.","in school","33","0.922224867638016","0.835929790202268","1.00851994507376","2"
"No","2010","16-34 y.","inadequately","42","0.935582422051021","0.863855027321231","1.00730981678081","2"
"No","2010","16-34 y.","general elemantary","396","0.938586789668286","0.915973056586564","0.961200522750009","2"
"No","2010","16-34 y.","middle vocational","1460","0.835549191429483","0.818086805776059","0.853011577082907","2"
"No","2010","16-34 y.","vocational + Abi","317","0.838020924302592","0.800928486637534","0.875113361967651","2"
"No","2010","16-34 y.","higher vocational","106","0.667268254943391","0.588653168073898","0.745883341812883","2"
"No","2010","16-34 y.","higher education","400","0.651968621922104","0.615064009231357","0.688873234612851","2"
"No","2010","35-65 y.","in school","","","","","2"
"No","2010","35-65 y.","inadequately","48","0.892942794027305","0.81337196826181","0.972513619792801","2"
"No","2010","35-65 y.","general elemantary","389","0.802370865068501","0.766370059222068","0.838371670914933","2"
