"pgoeffd","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","2014","66 and older","Employed","158","0.818524380557376","0.763722401271824","0.873326359842929","2"
"Yes","2014","16-34 y.","Not Employed","53","0.211092652559799","0.164524753804695","0.257660551314903","1"
"Yes","2014","16-34 y.","Employed","739","0.230499883624115","0.217061581878606","0.243938185369625","1"
"Yes","2014","35-65 y.","Not Employed","59","0.229594670431869","0.180244741686997","0.27894459917674","1"
"Yes","2014","35-65 y.","Employed","2870","0.269935155847683","0.26158790108634","0.278282410609027","1"
"Yes","2014","66 and older","Not Employed","1","","","","1"
"Yes","2014","66 and older","Employed","32","0.181475619442624","0.126673640157071","0.236277598728176","1"
"No","2015","16-34 y.","Not Employed","682","0.843700064827787","0.818215675580197","0.869184454075377","2"
"No","2015","16-34 y.","Employed","2703","0.784360898574049","0.770467363569302","0.798254433578796","2"
"No","2015","35-65 y.","Not Employed","557","0.754643128368732","0.721563445572502","0.787722811164963","2"
"No","2015","35-65 y.","Employed","7529","0.731271122743459","0.722705520800745","0.739836724686173","2"
"No","2015","66 and older","Not Employed","7","","","","2"
"No","2015","66 and older","Employed","161","0.830037205942272","0.77772040177207","0.882354010112475","2"
"Yes","2015","16-34 y.","Not Employed","98","0.156299935172213","0.130815545924623","0.181784324419803","1"
"Yes","2015","16-34 y.","Employed","663","0.215639101425951","0.201745566421204","0.229532636430698","1"
"Yes","2015","35-65 y.","Not Employed","93","0.245356871631268","0.212277188835037","0.278436554427498","1"
"Yes","2015","35-65 y.","Employed","2760","0.268728877256541","0.260163275313827","0.277294479199255","1"
"Yes","2015","66 and older","Not Employed","1","","","","1"
"Yes","2015","66 and older","Employed","37","0.169962794057727","0.117645989887525","0.22227959822793","1"
"No","2016","16-34 y.","Not Employed","428","0.811861878696205","0.777328027301983","0.846395730090428","2"
"No","2016","16-34 y.","Employed","2637","0.774653015699838","0.760434481122219","0.788871550277458","2"
"No","2016","35-65 y.","Not Employed","302","0.768368774411434","0.724969928093128","0.811767620729741","2"
"No","2016","35-65 y.","Employed","7361","0.73375507219218","0.725099505963639","0.74241063842072","2"
"No","2016","66 and older","Not Employed","3","","","","2"
"No","2016","66 and older","Employed","171","0.825586596821584","0.774141238922821","0.877031954720347","2"
"Yes","2016","16-34 y.","Not Employed","64","0.188138121303795","0.153604269909572","0.222671972698017","1"
"Yes","2016","16-34 y.","Employed","680","0.225346984300162","0.211128449722542","0.239565518877781","1"
"Yes","2016","35-65 y.","Employed","2656","0.26624492780782","0.25758936157928","0.274900494036361","1"
"Yes","2016","35-65 y.","Not Employed","61","0.231631225588566","0.188232379270259","0.275030071906872","1"
"Yes","2016","66 and older","Not Employed","1","","","","1"
"Yes","2016","66 and older","Employed","38","0.174413403178416","0.122968045279653","0.225858761077179","1"
"No","2017","16-34 y.","Not Employed","610","0.822552673062986","0.794005016614116","0.851100329511855","2"
"No","2017","16-34 y.","Employed","3045","0.778616401504628","0.765484821801929","0.791747981207328","2"
"No","2017","35-65 y.","Not Employed","345","0.745585584247919","0.703982392328721","0.787188776167117","2"
"No","2017","35-65 y.","Employed","8287","0.732517965364013","0.724361964537354","0.740673966190672","2"
"No","2017","66 and older","Not Employed","7","","","","2"
"No","2017","66 and older","Employed","202","0.842205605174568","0.796834735870407","0.887576474478729","2"
"Yes","2017","16-34 y.","Not Employed","78","0.177447326937014","0.148899670488145","0.205994983385884","1"
"Yes","2017","16-34 y.","Employed","795","0.221383598495372","0.208252018792672","0.234515178198071","1"
"Yes","2017","35-65 y.","Employed","3028","0.267482034635987","0.259326033809328","0.275638035462646","1"
"Yes","2017","35-65 y.","Not Employed","76","0.254414415752081","0.212811223832883","0.296017607671279","1"
"Yes","2017","66 and older","Employed","46","0.157794394825432","0.112423525521271","0.203165264129593","1"
"Yes","2017","66 and older","Not Employed","2","","","","1"
"No","2018","16-34 y.","Not Employed","563","0.863994707238865","0.837540077984384","0.890449336493346","2"
"No","2018","16-34 y.","Employed","3085","0.769980003354825","0.756726006530801","0.783234000178848","2"
"No","2018","35-65 y.","Not Employed","333","0.763610854156595","0.721552248598036","0.805669459715154","2"
"No","2018","35-65 y.","Employed","7728","0.72330077559694","0.714793550256998","0.731808000936881","2"
"No","2018","66 and older","Not Employed","5","","","","2"
"No","2018","66 and older","Employed","205","0.843901868187096","0.799090041513924","0.888713694860267","2"
"Yes","2018","16-34 y.","Not Employed","82","0.136005292761135","0.109550663506654","0.162459922015615","1"
"Yes","2018","16-34 y.","Employed","788","0.230019996645176","0.216765999821152","0.243273993469199","1"
"Yes","2018","35-65 y.","Not Employed","59","0.236389145843405","0.194330540284846","0.278447751401964","1"
"Yes","2018","35-65 y.","Employed","2895","0.276699224403061","0.268191999063119","0.285206449743002","1"
"Yes","2018","66 and older","Not Employed","2","","","","1"
"Yes","2018","66 and older","Employed","47","0.156098131812904","0.111286305139733","0.200909958486076","1"
"No","2019","16-34 y.","Not Employed","459","0.744473580256499","0.707341207089658","0.78160595342334","2"
"No","2019","16-34 y.","Employed","2930","0.76632198360891","0.752683087899991","0.779960879317829","2"
"No","2019","35-65 y.","Not Employed","383","0.781771559436645","0.744229575230303","0.819313543642988","2"
"No","2019","35-65 y.","Employed","7516","0.727002806335287","0.71838923651897","0.735616376151604","2"
"No","2019","66 and older","Not Employed","24","","","","2"
"No","2019","66 and older","Employed","230","0.787788248452594","0.739982029624522","0.835594467280666","2"
"Yes","2019","16-34 y.","Not Employed","71","0.255526419743501","0.21839404657666","0.292658792910342","1"
"Yes","2019","16-34 y.","Employed","768","0.23367801639109","0.220039120682171","0.247316912100009","1"
"Yes","2019","35-65 y.","Not Employed","82","0.218228440563355","0.180686456357012","0.255770424769697","1"
"Yes","2019","66 and older","Not Employed","4","","","","1"
"Yes","2019","35-65 y.","Employed","2760","0.272997193664713","0.264383623848395","0.28161076348103","1"
"Yes","2019","66 and older","Employed","51","0.212211751547406","0.164405532719334","0.260017970375478","1"
