"pgoeffd","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1992","Single parent ","in school","","","","","2"
"No","1992","Single parent ","inadequately","10","","","","2"
"No","1992","Single parent ","general elemantary","70","0.819223247837513","0.736926841364796","0.901519654310231","2"
"No","1992","Single parent ","middle vocational","144","0.692672388915891","0.629358682875884","0.755986094955897","2"
"No","1992","Single parent ","vocational + Abi","6","","","","2"
"No","1992","Single parent ","higher vocational","6","","","","2"
"No","1992","Single parent ","higher education","32","0.513038670648299","0.386566563674471","0.639510777622127","2"
"No","1992","Couple + C. LE 16 ","in school","","","","","2"
"No","1992","Couple + C. LE 16 ","inadequately","56","0.876540896822193","0.795946331953433","0.957135461690953","2"
"No","1992","Couple + C. LE 16 ","general elemantary","230","0.85720820814179","0.814682045163923","0.899734371119656","2"
"No","1992","Couple + C. LE 16 ","middle vocational","984","0.753827781982616","0.730544681978618","0.777110881986615","2"
"No","1992","Couple + C. LE 16 ","vocational + Abi","57","0.887103349056497","0.810169218249155","0.964037479863838","2"
"No","1992","Couple + C. LE 16 ","higher vocational","122","0.660183468211968","0.590207916528799","0.730159019895137","2"
"No","1992","Couple + C. LE 16 ","higher education","277","0.561013179204986","0.518027342609175","0.603999015800796","2"
"Yes","1992","1-pers.-HH","in school","","","","","1"
"Yes","1992","1-pers.-HH","inadequately","4","","","","1"
"Yes","1992","1-pers.-HH","general elemantary","22","","","","1"
"Yes","1992","1-pers.-HH","middle vocational","82","0.251460888318825","0.202850415065997","0.300071361571654","1"
"Yes","1992","1-pers.-HH","vocational + Abi","5","","","","1"
"Yes","1992","1-pers.-HH","higher vocational","17","","","","1"
"Yes","1992","1-pers.-HH","higher education","47","0.504269905801222","0.402654212568989","0.605885599033455","1"
"Yes","1992","(Married) couple without C. ","in school","","","","","1"
"Yes","1992","(Married) couple without C. ","inadequately","7","","","","1"
"Yes","1992","(Married) couple without C. ","general elemantary","57","0.292862827972754","0.233663180306045","0.352062475639462","1"
"Yes","1992","(Married) couple without C. ","middle vocational","224","0.251796785272365","0.223611412827514","0.279982157717215","1"
"Yes","1992","(Married) couple without C. ","vocational + Abi","15","","","","1"
"Yes","1992","(Married) couple without C. ","higher vocational","55","0.418995783339266","0.336972875954382","0.50101869072415","1"
"Yes","1992","(Married) couple without C. ","higher education","101","0.458908305779986","0.394084644706003","0.523731966853968","1"
"Yes","1992","Single parent ","in school","1","","","","1"
"Yes","1992","Single parent ","inadequately","1","","","","1"
"Yes","1992","Single parent ","general elemantary","14","","","","1"
"Yes","1992","Single parent ","middle vocational","60","0.307327611084109","0.244013905044103","0.370641317124116","1"
"Yes","1992","Single parent ","vocational + Abi","6","","","","1"
"Yes","1992","Single parent ","higher vocational","5","","","","1"
"Yes","1992","Single parent ","higher education","28","","","","1"
"Yes","1992","Couple + C. LE 16 ","in school","","","","","1"
"Yes","1992","Couple + C. LE 16 ","inadequately","8","","","","1"
"Yes","1992","Couple + C. LE 16 ","general elemantary","30","0.14279179185821","0.100265628880344","0.185317954836077","1"
"Yes","1992","Couple + C. LE 16 ","middle vocational","331","0.246172218017384","0.222889118013385","0.269455318021382","1"
"Yes","1992","Couple + C. LE 16 ","vocational + Abi","8","","","","1"
"Yes","1992","Couple + C. LE 16 ","higher vocational","54","0.339816531788032","0.269840980104863","0.409792083471201","1"
"Yes","1992","Couple + C. LE 16 ","higher education","235","0.438986820795014","0.396000984199204","0.481972657390825","1"
"Yes","1992","Couple + C. GT 16 ","in school","1","","","","1"
"Yes","1992","Couple + C. GT 16 ","inadequately","11","","","","1"
"Yes","1992","Couple + C. GT 16 ","general elemantary","71","0.197982109647123","0.157046392695637","0.238917826598608","1"
"Yes","1992","Couple + C. GT 16 ","middle vocational","217","0.247524290748599","0.219344299726779","0.275704281770418","1"
"Yes","1992","Couple + C. GT 16 ","vocational + Abi","11","","","","1"
"Yes","1992","Couple + C. GT 16 ","higher vocational","33","0.319317788435283","0.229282401434685","0.409353175435882","1"
"Yes","1992","Couple + C. GT 16 ","higher education","93","0.421836687990603","0.354722573787285","0.488950802193922","1"
"Yes","1992","Couple + C. LE and GT 16","in school","1","","","","1"
"Yes","1992","Couple + C. LE and GT 16","inadequately","10","","","","1"
"Yes","1992","Couple + C. LE and GT 16","general elemantary","39","0.15618142870558","0.108319390453788","0.204043466957371","1"
"Yes","1992","Couple + C. LE and GT 16","middle vocational","72","0.243346027188684","0.196109359961032","0.290582694416336","1"
"Yes","1992","Couple + C. LE and GT 16","vocational + Abi","3","","","","1"
"Yes","1992","Couple + C. LE and GT 16","higher vocational","8","","","","1"
"Yes","1992","Couple + C. LE and GT 16","higher education","50","0.540747614158111","0.438359295496743","0.643135932819478","1"
"No","1993","1-pers.-HH","inadequately","18","","","","2"
"No","1993","1-pers.-HH","general elemantary","80","0.755150755021621","0.672509360613141","0.837792149430101","2"
"No","1993","1-pers.-HH","middle vocational","248","0.751855844782102","0.705323663713419","0.798388025850785","2"
"No","1993","1-pers.-HH","vocational + Abi","23","","","","2"
"No","1993","(Married) couple without C. ","middle vocational","700","0.762169328962392","0.734923104104301","0.789415553820484","2"
"No","1993","(Married) couple without C. ","vocational + Abi","67","0.788598364198356","0.699126763907212","0.878069964489501","2"
"No","1993","(Married) couple without C. ","higher vocational","70","0.586672232836504","0.497060648822907","0.676283816850101","2"
"No","1993","(Married) couple without C. ","higher education","125","0.523042340940684","0.458210402856697","0.587874279024671","2"
"No","1993","Couple + C. LE and GT 16","vocational + Abi","12","","","","2"
"No","1993","Couple + C. LE and GT 16","higher vocational","47","0.818719411072984","0.719572933466903","0.917865888679064","2"
"No","1993","Couple + C. LE and GT 16","higher education","52","0.533724548092147","0.43920185929443","0.628247236889865","2"
"No","1993","1-pers.-HH","in school","","","","","2"
"No","1993","1-pers.-HH","higher vocational","24","","","","2"
"No","1993","1-pers.-HH","higher education","56","0.511801519455372","0.416191713090074","0.607411325820671","2"
"No","1993","(Married) couple without C. ","in school","","","","","2"
"No","1993","(Married) couple without C. ","inadequately","34","0.774592984191327","0.648222997414695","0.90096297096796","2"
"No","1993","(Married) couple without C. ","general elemantary","166","0.738764770804548","0.680714304701961","0.796815236907135","2"
"No","1993","Couple + C. GT 16 ","inadequately","56","0.832731553614051","0.744025520799966","0.921437586428136","2"
"No","1993","Couple + C. GT 16 ","general elemantary","287","0.814406493589637","0.773500649756684","0.85531233742259","2"
"No","1993","Couple + C. GT 16 ","middle vocational","672","0.789164452394449","0.761854977137179","0.81647392765172","2"
"No","1993","Couple + C. GT 16 ","vocational + Abi","26","","","","2"
"No","1993","Couple + C. LE and GT 16","middle vocational","239","0.730469912832799","0.681929846332503","0.779009979333096","2"
"No","1993","Couple + C. GT 16 ","in school","6","","","","2"
"No","1993","Couple + C. GT 16 ","higher vocational","59","0.665424244203455","0.564521032039997","0.766327456366914","2"
"No","1993","Couple + C. GT 16 ","higher education","104","0.578080754555368","0.507857619550979","0.648303889559757","2"
"No","1993","Couple + C. LE and GT 16","in school","1","","","","2"
"No","1993","Couple + C. LE and GT 16","inadequately","60","0.850698468645697","0.767211435557373","0.934185501734021","2"
"No","1993","Couple + C. LE and GT 16","general elemantary","180","0.798053395583282","0.745005152727652","0.851101638438912","2"
"No","1993","Single parent ","in school","","","","","2"
"No","1993","Single parent ","inadequately","10","","","","2"
"No","1993","Single parent ","general elemantary","64","0.851330851803131","0.772379348748593","0.930282354857669","2"
"No","1993","Single parent ","middle vocational","140","0.712894337058737","0.649067562487036","0.776721111630438","2"
"No","1993","Single parent ","vocational + Abi","3","","","","2"
"No","1993","Single parent ","higher vocational","5","","","","2"
"No","1993","Single parent ","higher education","23","","","","2"
"No","1993","Couple + C. LE 16 ","in school","","","","","2"
"No","1993","Couple + C. LE 16 ","inadequately","55","0.925813818810154","0.858941647841485","0.992685989778824","2"
"No","1993","Couple + C. LE 16 ","general elemantary","209","0.82961242406025","0.781946751378224","0.877278096742277","2"
"No","1993","Couple + C. LE 16 ","middle vocational","949","0.767244780145781","0.7437048887627","0.790784671528863","2"
"No","1993","Couple + C. LE 16 ","vocational + Abi","59","0.861436099173572","0.781073217609989","0.941798980737154","2"
"No","1993","Couple + C. LE 16 ","higher vocational","136","0.732828240506962","0.6685433703782","0.797113110635724","2"
"No","1993","Couple + C. LE 16 ","higher education","269","0.584689152592221","0.541190702075727","0.628187603108715","2"
"Yes","1993","Single parent ","in school","","","","","1"
"Yes","1993","Single parent ","inadequately","3","","","","1"
"Yes","1993","Single parent ","general elemantary","14","","","","1"
"Yes","1993","Single parent ","middle vocational","53","0.287105662941263","0.223278888369562","0.350932437512964","1"
"Yes","1993","Single parent ","vocational + Abi","2","","","","1"
"Yes","1993","Single parent ","higher vocational","3","","","","1"
"Yes","1993","Single parent ","higher education","28","","","","1"
"Yes","1993","Couple + C. LE 16 ","in school","","","","","1"
"Yes","1993","Couple + C. LE 16 ","inadequately","4","","","","1"
"Yes","1993","Couple + C. LE 16 ","general elemantary","30","0.17038757593975","0.122721903257723","0.218053248621776","1"
"Yes","1993","Couple + C. LE 16 ","middle vocational","289","0.232755219854219","0.209215328471137","0.2562951112373","1"
"Yes","1993","Couple + C. LE 16 ","vocational + Abi","12","","","","1"
"Yes","1993","Couple + C. LE 16 ","higher vocational","46","0.267171759493038","0.202886889364276","0.3314566296218","1"
"Yes","1993","Couple + C. LE 16 ","higher education","224","0.415310847407779","0.371812396891285","0.458809297924273","1"
"Yes","1993","1-pers.-HH","in school","","","","","1"
"Yes","1993","1-pers.-HH","inadequately","3","","","","1"
"Yes","1993","1-pers.-HH","general elemantary","24","","","","1"
"Yes","1993","1-pers.-HH","middle vocational","83","0.248144155217898","0.201611974149215","0.294676336286581","1"
"Yes","1993","1-pers.-HH","vocational + Abi","9","","","","1"
"Yes","1993","1-pers.-HH","higher vocational","20","","","","1"
"Yes","1993","1-pers.-HH","higher education","49","0.488198480544628","0.392588674179329","0.583808286909926","1"
"Yes","1993","(Married) couple without C. ","in school","","","","","1"
"Yes","1993","(Married) couple without C. ","inadequately","8","","","","1"
"Yes","1993","(Married) couple without C. ","general elemantary","54","0.261235229195452","0.203184763092865","0.319285695298039","1"
"Yes","1993","(Married) couple without C. ","middle vocational","238","0.237830671037608","0.210584446179516","0.265076895895699","1"
"Yes","1993","(Married) couple without C. ","vocational + Abi","13","","","","1"
"Yes","1993","(Married) couple without C. ","higher vocational","46","0.413327767163496","0.323716183149899","0.502939351177093","1"
"Yes","1993","(Married) couple without C. ","higher education","103","0.476957659059316","0.412125720975329","0.541789597143303","1"
"Yes","1993","Couple + C. GT 16 ","in school","1","","","","1"
"Yes","1993","Couple + C. GT 16 ","inadequately","12","","","","1"
"Yes","1993","Couple + C. GT 16 ","general elemantary","60","0.185593506410363","0.14468766257741","0.226499350243316","1"
"Yes","1993","Couple + C. GT 16 ","middle vocational","185","0.210835547605551","0.18352607234828","0.238145022862821","1"
"Yes","1993","Couple + C. GT 16 ","vocational + Abi","9","","","","1"
"Yes","1993","Couple + C. GT 16 ","higher vocational","25","","","","1"
"Yes","1993","Couple + C. GT 16 ","higher education","86","0.421919245444632","0.351696110440243","0.492142380449021","1"
"Yes","1993","Couple + C. LE and GT 16","in school","3","","","","1"
"Yes","1993","Couple + C. LE and GT 16","inadequately","10","","","","1"
"Yes","1993","Couple + C. LE and GT 16","general elemantary","40","0.201946604416718","0.148898361561088","0.254994847272348","1"
"Yes","1993","Couple + C. LE and GT 16","middle vocational","82","0.269530087167201","0.220990020666904","0.318070153667497","1"
"Yes","1993","Couple + C. LE and GT 16","vocational + Abi","5","","","","1"
"Yes","1993","Couple + C. LE and GT 16","higher vocational","11","","","","1"
"Yes","1993","Couple + C. LE and GT 16","higher education","55","0.466275451907853","0.371752763110135","0.56079814070557","1"
"No","1994","1-pers.-HH","in school","","","","","2"
"No","1994","1-pers.-HH","inadequately","13","","","","2"
"No","1994","1-pers.-HH","general elemantary","69","0.794239560690721","0.710253002394701","0.87822611898674","2"
"No","1994","1-pers.-HH","middle vocational","234","0.721371264711076","0.672853192083347","0.769889337338805","2"
"No","1994","1-pers.-HH","vocational + Abi","26","","","","2"
"No","1994","(Married) couple without C. ","middle vocational","681","0.755889487005184","0.728041270453362","0.783737703557006","2"
"No","1994","(Married) couple without C. ","vocational + Abi","58","0.74528782457582","0.64394201824234","0.8466336309093","2"
"No","1994","(Married) couple without C. ","higher vocational","78","0.557773140532034","0.473682618470829","0.64186366259324","2"
"No","1994","(Married) couple without C. ","higher education","141","0.558969361063575","0.497667140959495","0.620271581167655","2"
"No","1994","Couple + C. GT 16 ","inadequately","56","0.824863415823641","0.735181886761295","0.914544944885986","2"
"No","1994","Couple + C. GT 16 ","general elemantary","236","0.815142744537218","0.769674921666778","0.860610567407659","2"
"No","1994","Couple + C. GT 16 ","middle vocational","622","0.777186179362427","0.748313955083754","0.806058403641101","2"
"No","1994","Couple + C. GT 16 ","vocational + Abi","23","","","","2"
"No","1994","Couple + C. LE and GT 16","middle vocational","241","0.722493245647537","0.674182382621726","0.770804108673347","2"
"No","1994","Couple + C. LE and GT 16","vocational + Abi","12","","","","2"
"No","1994","Couple + C. LE and GT 16","higher vocational","38","0.781530640831066","0.666997449734207","0.896063831927925","2"
"No","1994","Couple + C. LE and GT 16","higher education","51","0.547997136160188","0.450935604173794","0.645058668146582","2"
"No","1994","1-pers.-HH","higher vocational","21","","","","2"
"No","1994","1-pers.-HH","higher education","55","0.499968232189159","0.401970033159955","0.597966431218363","2"
"No","1994","(Married) couple without C. ","in school","","","","","2"
"No","1994","(Married) couple without C. ","inadequately","32","0.8120861909293","0.686214623665976","0.937957758192625","2"
"No","1994","(Married) couple without C. ","general elemantary","153","0.772055860840151","0.713475295968055","0.830636425712247","2"
"No","1994","Couple + C. GT 16 ","in school","4","","","","2"
"No","1994","Couple + C. GT 16 ","higher vocational","51","0.666075556701529","0.557889195315996","0.774261918087061","2"
"No","1994","Couple + C. GT 16 ","higher education","111","0.571211730575299","0.50279377874229","0.639629682408308","2"
"No","1994","Couple + C. LE and GT 16","in school","3","","","","2"
"No","1994","Couple + C. LE and GT 16","inadequately","54","0.911409909630767","0.840102835146275","0.98271698411526","2"
"No","1994","Couple + C. LE and GT 16","general elemantary","142","0.787538797141875","0.727277669416396","0.847799924867355","2"
"No","1994","Single parent ","in school","1","","","","2"
"No","1994","Single parent ","inadequately","7","","","","2"
"No","1994","Single parent ","general elemantary","50","0.695367581707609","0.585161396724228","0.80557376669099","2"
"No","1994","Single parent ","middle vocational","129","0.743726012827762","0.678481706761272","0.808970318894252","2"
"No","1994","Single parent ","vocational + Abi","4","","","","2"
"No","1994","Single parent ","higher vocational","9","","","","2"
"No","1994","Single parent ","higher education","20","","","","2"
"No","1994","Couple + C. LE 16 ","in school","","","","","2"
"No","1994","Couple + C. LE 16 ","inadequately","39","0.900517977264251","0.811057263198086","0.989978691330417","2"
"No","1994","Couple + C. LE 16 ","general elemantary","177","0.888720149559745","0.844581243497901","0.932859055621589","2"
"No","1994","Couple + C. LE 16 ","middle vocational","893","0.784098992645637","0.760162366184029","0.808035619107246","2"
"No","1994","Couple + C. LE 16 ","vocational + Abi","68","0.805197917119261","0.718948990074856","0.891446844163666","2"
"No","1994","Couple + C. LE 16 ","higher vocational","131","0.713527512355559","0.647109647333862","0.779945377377255","2"
"No","1994","Couple + C. LE 16 ","higher education","258","0.580593194308387","0.535838009187774","0.625348379428999","2"
"Yes","1994","Single parent ","in school","","","","","1"
"Yes","1994","Single parent ","inadequately","3","","","","1"
"Yes","1994","Single parent ","general elemantary","17","","","","1"
"Yes","1994","Single parent ","middle vocational","43","0.256273987172238","0.191029681105748","0.321518293238728","1"
"Yes","1994","Single parent ","vocational + Abi","1","","","","1"
"Yes","1994","Single parent ","higher vocational","3","","","","1"
"Yes","1994","Single parent ","higher education","27","","","","1"
"Yes","1994","Couple + C. LE 16 ","in school","","","","","1"
"Yes","1994","Couple + C. LE 16 ","inadequately","4","","","","1"
"Yes","1994","Couple + C. LE 16 ","general elemantary","18","","","","1"
"Yes","1994","Couple + C. LE 16 ","middle vocational","242","0.215901007354363","0.191964380892754","0.239837633815971","1"
"Yes","1994","Couple + C. LE 16 ","vocational + Abi","13","","","","1"
"Yes","1994","Couple + C. LE 16 ","higher vocational","47","0.286472487644441","0.220054622622745","0.352890352666138","1"
"Yes","1994","Couple + C. LE 16 ","higher education","209","0.419406805691613","0.374651620571001","0.464161990812226","1"
"Yes","1994","1-pers.-HH","in school","","","","","1"
"Yes","1994","1-pers.-HH","inadequately","1","","","","1"
"Yes","1994","1-pers.-HH","general elemantary","20","","","","1"
"Yes","1994","1-pers.-HH","middle vocational","94","0.278628735288924","0.230110662661195","0.327146807916653","1"
"Yes","1994","1-pers.-HH","vocational + Abi","9","","","","1"
"Yes","1994","1-pers.-HH","higher vocational","20","","","","1"
"Yes","1994","1-pers.-HH","higher education","45","0.500031767810841","0.402033568781637","0.598029966840045","1"
"Yes","1994","(Married) couple without C. ","in school","","","","","1"
"Yes","1994","(Married) couple without C. ","inadequately","5","","","","1"
"Yes","1994","(Married) couple without C. ","general elemantary","44","0.227944139159849","0.169363574287753","0.286524704031945","1"
"Yes","1994","(Married) couple without C. ","middle vocational","233","0.244110512994816","0.216262296442994","0.271958729546638","1"
"Yes","1994","(Married) couple without C. ","vocational + Abi","13","","","","1"
"Yes","1994","(Married) couple without C. ","higher vocational","56","0.442226859467966","0.35813633740676","0.526317381529171","1"
"Yes","1994","(Married) couple without C. ","higher education","111","0.441030638936425","0.379728418832346","0.502332859040505","1"
"Yes","1994","Couple + C. GT 16 ","in school","1","","","","1"
"Yes","1994","Couple + C. GT 16 ","inadequately","13","","","","1"
"Yes","1994","Couple + C. GT 16 ","general elemantary","44","0.184857255462782","0.139389432592342","0.230325078333223","1"
"Yes","1994","Couple + C. GT 16 ","middle vocational","176","0.222813820637573","0.193941596358899","0.251686044916246","1"
"Yes","1994","Couple + C. GT 16 ","vocational + Abi","5","","","","1"
"Yes","1994","Couple + C. GT 16 ","higher vocational","22","","","","1"
"Yes","1994","Couple + C. GT 16 ","higher education","90","0.428788269424701","0.360370317591692","0.49720622125771","1"
"Yes","1994","Couple + C. LE and GT 16","in school","1","","","","1"
"Yes","1994","Couple + C. LE and GT 16","inadequately","7","","","","1"
"Yes","1994","Couple + C. LE and GT 16","general elemantary","35","0.212461202858125","0.152200075132645","0.272722330583604","1"
"Yes","1994","Couple + C. LE and GT 16","middle vocational","89","0.277506754352463","0.229195891326653","0.325817617378274","1"
"Yes","1994","Couple + C. LE and GT 16","vocational + Abi","5","","","","1"
"Yes","1994","Couple + C. LE and GT 16","higher vocational","12","","","","1"
"Yes","1994","Couple + C. LE and GT 16","higher education","50","0.452002863839812","0.354941331853418","0.549064395826206","1"
"No","1995","1-pers.-HH","in school","","","","","2"
"No","1995","1-pers.-HH","inadequately","11","","","","2"
"No","1995","1-pers.-HH","general elemantary","81","0.832671072241219","0.757611075538925","0.907731068943512","2"
"No","1995","1-pers.-HH","middle vocational","266","0.726362627791642","0.680245174362216","0.772480081221067","2"
"No","1995","1-pers.-HH","vocational + Abi","29","","","","2"
"No","1995","Couple + C. GT 16 ","inadequately","56","0.813743084950615","0.721883727354385","0.905602442546846","2"
"No","1995","Couple + C. GT 16 ","general elemantary","268","0.845525520002567","0.805164283401102","0.885886756604031","2"
"No","1995","Couple + C. GT 16 ","middle vocational","617","0.751732274012181","0.721981565505392","0.78148298251897","2"
"No","1995","Couple + C. GT 16 ","vocational + Abi","23","","","","2"
"No","1995","1-pers.-HH","higher vocational","18","","","","2"
"No","1995","1-pers.-HH","higher education","68","0.560375538043","0.468040377005152","0.652710699080849","2"
"No","1995","(Married) couple without C. ","in school","","","","","2"
"No","1995","(Married) couple without C. ","inadequately","24","","","","2"
"No","1995","(Married) couple without C. ","general elemantary","163","0.777709957248441","0.721205168196629","0.834214746300253","2"
"No","1995","(Married) couple without C. ","middle vocational","733","0.75322026121984","0.726158158998885","0.780282363440795","2"
"No","1995","(Married) couple without C. ","vocational + Abi","62","0.765456200684491","0.673746914000609","0.857165487368373","2"
"No","1995","(Married) couple without C. ","higher vocational","92","0.617068924560016","0.537948021844427","0.696189827275606","2"
"No","1995","(Married) couple without C. ","higher education","184","0.598872356085942","0.543956746682767","0.653787965489118","2"
"No","1995","Couple + C. GT 16 ","in school","3","","","","2"
"No","1995","Couple + C. GT 16 ","higher vocational","53","0.658883397150387","0.553673523097434","0.76409327120334","2"
"No","1995","Couple + C. GT 16 ","higher education","121","0.594038918563123","0.527302011807343","0.660775825318903","2"
"No","1995","Couple + C. LE and GT 16","in school","5","","","","2"
"No","1995","Couple + C. LE and GT 16","inadequately","43","0.847079053755515","0.748301455388853","0.945856652122177","2"
"No","1995","Couple + C. LE and GT 16","general elemantary","155","0.842684644259635","0.78978771085148","0.895581577667789","2"
"No","1995","Couple + C. LE and GT 16","middle vocational","269","0.732580558523059","0.686602855025805","0.778558262020313","2"
"No","1995","Couple + C. LE and GT 16","vocational + Abi","20","","","","2"
"No","1995","Couple + C. LE and GT 16","higher vocational","32","0.707257835080057","0.572810166215861","0.841705503944252","2"
"No","1995","Couple + C. LE and GT 16","higher education","62","0.529937306324858","0.442442308650873","0.617432303998844","2"
"No","1995","Single parent ","in school","2","","","","2"
"No","1995","Single parent ","inadequately","4","","","","2"
"No","1995","Single parent ","general elemantary","61","0.848730478980103","0.76479227234432","0.932668685615886","2"
"No","1995","Single parent ","middle vocational","137","0.736354070519593","0.673371113369707","0.799337027669479","2"
"No","1995","Single parent ","vocational + Abi","4","","","","2"
"No","1995","Single parent ","higher vocational","9","","","","2"
"No","1995","Single parent ","higher education","25","","","","2"
"No","1995","Couple + C. LE 16 ","in school","","","","","2"
"No","1995","Couple + C. LE 16 ","inadequately","40","0.834047318988695","0.729878549786829","0.938216088190561","2"
"No","1995","Couple + C. LE 16 ","general elemantary","189","0.911410505510962","0.872979073206307","0.949841937815616","2"
"No","1995","Couple + C. LE 16 ","middle vocational","951","0.785835208301838","0.762565780361673","0.809104636242003","2"
"No","1995","Couple + C. LE 16 ","vocational + Abi","93","0.832765886752799","0.762056006578883","0.903475766926714","2"
"No","1995","Couple + C. LE 16 ","higher vocational","135","0.655164272296635","0.58862143933217","0.7217071052611","2"
"No","1995","Couple + C. LE 16 ","higher education","278","0.621724677582266","0.577164650036046","0.666284705128486","2"
"Yes","1995","Single parent ","in school","","","","","1"
"Yes","1995","Single parent ","inadequately","3","","","","1"
"Yes","1995","Single parent ","general elemantary","9","","","","1"
"Yes","1995","Single parent ","middle vocational","51","0.263645929480407","0.200662972330521","0.326628886630293","1"
"Yes","1995","Single parent ","vocational + Abi","1","","","","1"
"Yes","1995","Single parent ","higher vocational","8","","","","1"
"Yes","1995","Single parent ","higher education","36","0.534466559824773","0.409291189847133","0.659641929802412","1"
"Yes","1995","Couple + C. LE 16 ","in school","","","","","1"
"Yes","1995","Couple + C. LE 16 ","inadequately","9","","","","1"
"Yes","1995","Couple + C. LE 16 ","general elemantary","21","","","","1"
"Yes","1995","Couple + C. LE 16 ","middle vocational","243","0.214164791698162","0.190895363757997","0.237434219638327","1"
"Yes","1995","Couple + C. LE 16 ","vocational + Abi","14","","","","1"
"Yes","1995","Couple + C. LE 16 ","higher vocational","61","0.344835727703365","0.2782928947389","0.41137856066783","1"
"Yes","1995","Couple + C. LE 16 ","higher education","177","0.378275322417734","0.333715294871514","0.422835349963954","1"
"Yes","1995","1-pers.-HH","in school","","","","","1"
"Yes","1995","1-pers.-HH","inadequately","2","","","","1"
"Yes","1995","1-pers.-HH","general elemantary","14","","","","1"
"Yes","1995","1-pers.-HH","middle vocational","93","0.273637372208358","0.227519918778933","0.319754825637784","1"
"Yes","1995","1-pers.-HH","vocational + Abi","12","","","","1"
"Yes","1995","1-pers.-HH","higher vocational","17","","","","1"
"Yes","1995","1-pers.-HH","higher education","43","0.439624461956999","0.347289300919151","0.531959622994848","1"
"Yes","1995","(Married) couple without C. ","in school","","","","","1"
"Yes","1995","(Married) couple without C. ","inadequately","4","","","","1"
"Yes","1995","(Married) couple without C. ","general elemantary","45","0.222290042751559","0.165785253699747","0.278794831803371","1"
"Yes","1995","(Married) couple without C. ","middle vocational","242","0.24677973878016","0.219717636559205","0.273841841001115","1"
"Yes","1995","(Married) couple without C. ","vocational + Abi","20","","","","1"
"Yes","1995","(Married) couple without C. ","higher vocational","53","0.382931075439984","0.303810172724394","0.462051978155573","1"
"Yes","1995","(Married) couple without C. ","higher education","122","0.401127643914058","0.346212034510883","0.456043253317233","1"
"Yes","1995","Couple + C. GT 16 ","in school","3","","","","1"
"Yes","1995","Couple + C. GT 16 ","inadequately","13","","","","1"
"Yes","1995","Couple + C. GT 16 ","general elemantary","40","0.154474479997433","0.114113243395969","0.194835716598898","1"
"Yes","1995","Couple + C. GT 16 ","middle vocational","193","0.248267725987819","0.21851701748103","0.278018434494608","1"
"Yes","1995","Couple + C. GT 16 ","vocational + Abi","11","","","","1"
"Yes","1995","Couple + C. GT 16 ","higher vocational","25","","","","1"
"Yes","1995","Couple + C. GT 16 ","higher education","87","0.405961081436877","0.339224174681097","0.472697988192657","1"
"Yes","1995","Couple + C. LE and GT 16","in school","","","","","1"
"Yes","1995","Couple + C. LE and GT 16","inadequately","8","","","","1"
"Yes","1995","Couple + C. LE and GT 16","general elemantary","27","","","","1"
"Yes","1995","Couple + C. LE and GT 16","middle vocational","87","0.267419441476941","0.221441737979687","0.313397144974195","1"
"Yes","1995","Couple + C. LE and GT 16","vocational + Abi","4","","","","1"
"Yes","1995","Couple + C. LE and GT 16","higher vocational","12","","","","1"
"Yes","1995","Couple + C. LE and GT 16","higher education","63","0.470062693675142","0.382567696001156","0.557557691349127","1"
"No","1996","1-pers.-HH","in school","","","","","2"
"No","1996","1-pers.-HH","inadequately","8","","","","2"
"No","1996","1-pers.-HH","general elemantary","71","0.80604408107327","0.72148906755218","0.89059909459436","2"
"No","1996","1-pers.-HH","middle vocational","257","0.739072099255396","0.692800585714814","0.785343612795978","2"
"No","1996","1-pers.-HH","vocational + Abi","37","0.773704987425777","0.654079326163651","0.893330648687903","2"
"No","1996","Couple + C. GT 16 ","inadequately","46","0.720092870793849","0.607429067202919","0.832756674384779","2"
"No","1996","Couple + C. GT 16 ","general elemantary","235","0.885664796198369","0.847278977835384","0.924050614561354","2"
"No","1996","Couple + C. GT 16 ","middle vocational","552","0.774165921106821","0.743517589760144","0.804814252453498","2"
"No","1996","Couple + C. GT 16 ","vocational + Abi","29","","","","2"
"No","1996","Couple + C. GT 16 ","higher vocational","50","0.610039132619028","0.502485791377526","0.71759247386053","2"
"No","1996","Couple + C. GT 16 ","higher education","124","0.563354679771329","0.497059154003727","0.629650205538931","2"
"No","1996","Couple + C. LE and GT 16","in school","6","","","","2"
"No","1996","Couple + C. LE and GT 16","inadequately","43","0.858157315688088","0.760470269835315","0.955844361540861","2"
"No","1996","Couple + C. LE and GT 16","general elemantary","166","0.880431140759106","0.834174517140329","0.926687764377884","2"
"No","1996","Couple + C. LE and GT 16","middle vocational","283","0.763240020986762","0.71962999227554","0.806850049697984","2"
"No","1996","Couple + C. LE and GT 16","vocational + Abi","21","","","","2"
"No","1996","Couple + C. LE and GT 16","higher vocational","35","0.702744454736688","0.570665728673218","0.834823180800159","2"
"No","1996","Couple + C. LE and GT 16","higher education","69","0.58173309027378","0.496279218610786","0.667186961936773","2"
"No","1996","1-pers.-HH","higher vocational","24","","","","2"
"No","1996","1-pers.-HH","higher education","63","0.491947331885125","0.401744377858054","0.582150285912195","2"
"No","1996","(Married) couple without C. ","in school","","","","","2"
"No","1996","(Married) couple without C. ","inadequately","23","","","","2"
