"pgoeffd","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","2004","66 and older","Male","7","","","","1"
"Yes","2004","66 and older","Female","1","","","","1"
"No","2005","16-34 y.","Male","1230","0.837512334392401","0.818589879931875","0.856434788852927","2"
"No","2005","16-34 y.","Female","1020","0.728063963612443","0.704450534721363","0.751677392503522","2"
"No","2005","35-65 y.","Male","3268","0.777507202412453","0.764996886263809","0.790017518561098","2"
"No","2005","66 and older","Male","74","0.976307353668869","0.942114026562187","1.01050068077555","2"
"No","2005","35-65 y.","Female","2421","0.696641987340694","0.681809381146408","0.71147459353498","2"
"No","2005","66 and older","Female","31","0.902068210937784","0.802162534199251","1.00197388767632","2"
"Yes","2005","16-34 y.","Male","230","0.162487665607599","0.143565211147073","0.181410120068125","1"
"Yes","2005","16-34 y.","Female","344","0.271936036387557","0.248322607496478","0.295549465278637","1"
"Yes","2005","35-65 y.","Male","978","0.222492797587547","0.209982481438902","0.235003113736191","1"
"Yes","2005","35-65 y.","Female","1269","0.303358012659306","0.28852540646502","0.318190618853592","1"
"Yes","2005","66 and older","Male","2","","","","1"
"Yes","2005","66 and older","Female","3","","","","1"
"No","2006","16-34 y.","Male","1171","0.827599319227412","0.807798915028201","0.847399723426623","2"
"No","2006","16-34 y.","Female","975","0.734782419925174","0.710822253633071","0.758742586217276","2"
"No","2006","35-65 y.","Male","3389","0.781899506705824","0.769710120563182","0.794088892848466","2"
"No","2006","35-65 y.","Female","2560","0.690795801425121","0.67632799819888","0.705263604651361","2"
"No","2006","66 and older","Male","85","0.933163689190199","0.881568170001004","0.984759208379394","2"
"No","2006","66 and older","Female","44","0.914443688827392","0.835315362214944","0.993572015439841","2"
"Yes","2006","16-34 y.","Male","227","0.172400680772588","0.152600276573377","0.192201084971799","1"
"Yes","2006","16-34 y.","Female","329","0.265217580074826","0.241257413782724","0.289177746366929","1"
"Yes","2006","35-65 y.","Male","1020","0.218100493294176","0.205911107151534","0.230289879436818","1"
"Yes","2006","35-65 y.","Female","1360","0.309204198574879","0.294736395348639","0.32367200180112","1"
"Yes","2006","66 and older","Male","5","","","","1"
"Yes","2006","66 and older","Female","4","","","","1"
"No","2007","16-34 y.","Male","1291","0.839834194152648","0.821534374651376","0.858134013653921","2"
"No","2007","16-34 y.","Female","1119","0.772409468254326","0.750880698912615","0.793938237596037","2"
"No","2007","35-65 y.","Male","3393","0.784267580772346","0.772099959898896","0.796435201645796","2"
"No","2007","35-65 y.","Female","2652","0.700781134097074","0.686480977686306","0.715081290507843","2"
"No","2007","66 and older","Male","110","0.864526050935265","0.803798591402868","0.925253510467663","2"
"No","2007","66 and older","Female","55","0.961604037265567","0.91215304459146","1.01105502993967","2"
"Yes","2007","16-34 y.","Male","252","0.160165805847352","0.141865986346079","0.178465625348624","1"
"Yes","2007","16-34 y.","Female","338","0.227590531745674","0.206061762403963","0.249119301087385","1"
"Yes","2007","35-65 y.","Male","997","0.215732419227654","0.203564798354204","0.227900040101104","1"
"Yes","2007","35-65 y.","Female","1287","0.299218865902926","0.284918709492157","0.313519022313694","1"
"Yes","2007","66 and older","Male","12","","","","1"
"Yes","2007","66 and older","Female","3","","","","1"
"No","2008","16-34 y.","Male","1124","0.848920250307135","0.82969510675358","0.868145393860691","2"
"No","2008","16-34 y.","Female","968","0.797643468731138","0.775477769628844","0.819809167833433","2"
"No","2008","35-65 y.","Male","3104","0.779192851810937","0.766384934899022","0.792000768722852","2"
"No","2008","35-65 y.","Female","2473","0.703392664408207","0.688604953125556","0.718180375690858","2"
"No","2008","66 and older","Male","97","0.90613517161748","0.850084688467445","0.962185654767515","2"
"No","2008","66 and older","Female","52","0.98243233140985","0.947712697719635","1.01715196510007","2"
"Yes","2008","16-34 y.","Male","209","0.151079749692865","0.131854606139309","0.17030489324642","1"
"Yes","2008","16-34 y.","Female","294","0.202356531268862","0.180190832166567","0.224522230371156","1"
"Yes","2008","35-65 y.","Male","925","0.220807148189063","0.207999231277148","0.233615065100978","1"
"Yes","2008","35-65 y.","Female","1192","0.296607335591793","0.281819624309142","0.311395046874444","1"
"Yes","2008","66 and older","Male","7","","","","1"
"Yes","2008","66 and older","Female","3","","","","1"
"No","2009","16-34 y.","Male","1089","0.866266862179326","0.84764255479272","0.884891169565933","2"
"No","2009","16-34 y.","Female","970","0.76789327444909","0.744952729141524","0.790833819756656","2"
"No","2009","35-65 y.","Male","2973","0.789341093941968","0.77642004185857","0.802262146025365","2"
"No","2009","35-65 y.","Female","2434","0.703273177260768","0.688332137602238","0.718214216919297","2"
"No","2009","66 and older","Male","130","0.881511109913376","0.829266422579418","0.933755797247334","2"
"No","2009","66 and older","Female","76","0.974436635170988","0.939410953163941","1.00946231717803","2"
"Yes","2009","16-34 y.","Male","194","0.133733137820674","0.115108830434068","0.15235744520728","1"
"Yes","2009","16-34 y.","Female","331","0.23210672555091","0.209166180243344","0.255047270858476","1"
"Yes","2009","35-65 y.","Male","853","0.210658906058032","0.197737853974635","0.22357995814143","1"
"Yes","2009","35-65 y.","Female","1157","0.296726822739232","0.281785783080703","0.311667862397761","1"
"Yes","2009","66 and older","Male","17","","","","1"
"Yes","2009","66 and older","Female","2","","","","1"
"No","2010","16-34 y.","Male","1583","0.84919914542395","0.832923102943113","0.865475187904788","2"
"No","2010","16-34 y.","Female","1278","0.769910311889222","0.749748061207636","0.790072562570809","2"
"No","2010","35-65 y.","Male","4023","0.782328099285848","0.771011438553705","0.79364476001799","2"
"No","2010","35-65 y.","Female","3242","0.700953350002159","0.687823577957586","0.714083122046732","2"
"No","2010","66 and older","Male","113","0.877399358163035","0.820357815982574","0.934440900343496","2"
"No","2010","66 and older","Female","56","0.937412672713966","0.87612387824719","0.998701467180741","2"
"Yes","2010","16-34 y.","Male","274","0.15080085457605","0.134524812095212","0.167076897056887","1"
"Yes","2010","16-34 y.","Female","396","0.230089688110778","0.209927437429191","0.250251938792364","1"
"Yes","2010","35-65 y.","Male","1085","0.217671900714152","0.20635523998201","0.228988561446295","1"
"Yes","2010","35-65 y.","Female","1429","0.299046649997841","0.285916877953268","0.312176422042414","1"
"Yes","2010","66 and older","Male","14","","","","1"
"Yes","2010","66 and older","Female","4","","","","1"
"No","2011","16-34 y.","Male","1647","0.848596625060654","0.832605174317476","0.864588075803832","2"
"No","2011","66 and older","Male","111","0.85481015194802","0.793539966959239","0.916080336936801","2"
"No","2011","16-34 y.","Female","1535","0.754659189185598","0.735899516152099","0.773418862219097","2"
"No","2011","35-65 y.","Male","4711","0.777223475747698","0.766731303845872","0.787715647649524","2"
"No","2011","35-65 y.","Female","4117","0.699031089842156","0.687365666823898","0.710696512860413","2"
"No","2011","66 and older","Female","63","0.918152427062765","0.854387889743867","0.981916964381663","2"
"Yes","2011","16-34 y.","Male","283","0.151403374939346","0.135411924196168","0.167394825682524","1"
"Yes","2011","16-34 y.","Female","486","0.245340810814402","0.226581137780903","0.264100483847901","1"
"Yes","2011","35-65 y.","Male","1331","0.222776524252302","0.212284352350477","0.233268696154128","1"
"Yes","2011","35-65 y.","Female","1822","0.300968910157844","0.289303487139587","0.312634333176102","1"
"Yes","2011","66 and older","Male","16","","","","1"
"Yes","2011","66 and older","Female","8","","","","1"
"No","2012","16-34 y.","Male","1563","0.838021320039623","0.821182421200124","0.854860218879122","2"
"No","2012","66 and older","Male","110","0.862790228433609","0.802230714881755","0.923349741985464","2"
"No","2012","16-34 y.","Female","1438","0.746976821585789","0.727277788312806","0.766675854858772","2"
"No","2012","35-65 y.","Male","4559","0.782430581456433","0.771841429825622","0.793019733087243","2"
"No","2012","35-65 y.","Female","4183","0.695293139037392","0.683682327076803","0.706903950997982","2"
