"pgoeffd","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"No","2014","16-34 y.","West Germany","2697","0.768122646381538","0.753846306699098","0.782398986063978"
"No","2014","16-34 y.","East Germany","579","0.78289213159619","0.7525879865177","0.813196276674679"
"No","2014","35-65 y.","West Germany","6584","0.727450033612253","0.718228233612475","0.736671833612031"
"No","2014","35-65 y.","East Germany","1631","0.747346925449868","0.729139528858395","0.765554322041341"
"No","2014","66 and older","West Germany","139","0.81273504789975","0.75391742280325","0.871552672996249"
"No","2014","66 and older","East Germany","","","",""
"Yes","2015","16-34 y.","West Germany","614","0.215219532498792","0.201455910472892","0.228983154524693"
"Yes","2015","16-34 y.","East Germany","147","0.18410197635149","0.155812323081657","0.212391629621322"
"Yes","2015","35-65 y.","West Germany","2323","0.272163134260861","0.262891964520255","0.281434304001467"
"Yes","2015","35-65 y.","East Germany","530","0.248502651642018","0.229957935980806","0.267047367303231"
"Yes","2015","66 and older","West Germany","35","0.179711430719633","0.122498233206058","0.236924628233209"
"Yes","2015","66 and older","East Germany","","","",""
"No","2015","16-34 y.","West Germany","2811","0.784780467501208","0.771016845475307","0.798544089527108"
"No","2015","16-34 y.","East Germany","574","0.81589802364851","0.787608370378678","0.844187676918343"
"No","2015","35-65 y.","West Germany","6530","0.727836865739139","0.718565695998533","0.737108035479745"
"No","2015","35-65 y.","East Germany","1556","0.751497348357982","0.732952632696769","0.770042064019194"
"No","2015","66 and older","West Germany","138","0.820288569280367","0.763075371766791","0.877501766793942"
"No","2015","66 and older","East Germany","30","0.938978235059964","0.857308477521869","1.02064799259806"
"Yes","2016","16-34 y.","West Germany","614","0.221764270579704","0.207284271666628","0.236244269492781"
"Yes","2016","16-34 y.","East Germany","130","0.231609464252879","0.199153471544658","0.2640654569611"
"Yes","2016","35-65 y.","West Germany","2198","0.268894832661556","0.259369871571965","0.278419793751146"
"Yes","2016","35-65 y.","East Germany","519","0.250152437900286","0.231431595050913","0.268873280749658"
"Yes","2016","66 and older","West Germany","35","0.175535570570523","0.119649108251285","0.231422032889762"
"Yes","2016","66 and older","East Germany","","","",""
"No","2016","16-34 y.","West Germany","2548","0.778235729420296","0.763755730507219","0.792715728333372"
"No","2016","16-34 y.","East Germany","519","0.768390535747121","0.7359345430389","0.800846528455342"
"No","2016","35-65 y.","West Germany","6126","0.731105167338444","0.721580206248854","0.740630128428035"
"No","2016","35-65 y.","East Germany","1537","0.749847562099714","0.731126719250342","0.768568404949087"
"No","2016","66 and older","West Germany","143","0.824464429429477","0.768577967110238","0.880350891748715"
"No","2016","66 and older","East Germany","31","0.854561993175239","0.737766842127417","0.97135714422306"
"Yes","2017","16-34 y.","West Germany","734","0.225478706581585","0.212142518939206","0.238814894223964"
"Yes","2017","16-34 y.","East Germany","139","0.182760803062318","0.155211963088684","0.210309643035953"
"Yes","2017","35-65 y.","West Germany","2514","0.267393760737985","0.258436385573252","0.276351135902717"
"Yes","2017","35-65 y.","East Germany","590","0.266364567890356","0.248518330082634","0.284210805698077"
"Yes","2017","66 and older","West Germany","44","0.159773204712776","0.110797679972202","0.20874872945335"
"Yes","2017","66 and older","East Germany","","","",""
"No","2017","16-34 y.","West Germany","3038","0.774521293418415","0.761185105776036","0.787857481060794"
"No","2017","16-34 y.","East Germany","617","0.817239196937682","0.789690356964047","0.844788036911316"
"No","2017","35-65 y.","West Germany","6865","0.732606239262016","0.723648864097283","0.741563614426748"
"No","2017","35-65 y.","East Germany","1767","0.733635432109645","0.715789194301923","0.751481669917366"
"No","2017","66 and older","West Germany","171","0.840226795287224","0.79125127054665","0.889202320027798"
"No","2017","66 and older","East Germany","38","0.883379720138886","0.786309906037224","0.980449534240548"
"Yes","2018","16-34 y.","West Germany","734","0.229395335271773","0.215936778873108","0.242853891670438"
"Yes","2018","16-34 y.","East Germany","136","0.20046208447866","0.172166375903654","0.228757793053666"
"Yes","2018","35-65 y.","West Germany","2387","0.277838002241323","0.268455187207596","0.287220817275051"
"Yes","2018","35-65 y.","East Germany","567","0.268283717903618","0.250016921467035","0.2865505143402"
"Yes","2018","66 and older","West Germany","42","0.156958303138065","0.108780975230287","0.205135631045843"
"Yes","2018","66 and older","East Germany","","","",""
"No","2018","16-34 y.","West Germany","3015","0.770604664728227","0.757146108329562","0.784063221126893"
"No","2018","16-34 y.","East Germany","633","0.79953791552134","0.771242206946334","0.827833624096346"
"No","2018","35-65 y.","West Germany","6368","0.722161997758677","0.712779182724949","0.731544812792404"
"No","2018","35-65 y.","East Germany","1693","0.731716282096382","0.713449485659799","0.749983078532965"
"No","2018","66 and older","West Germany","177","0.843041696861935","0.794864368954157","0.891219024769713"
"No","2018","66 and older","East Germany","33","0.855311304569598","0.74629348242552","0.964329126713676"
"Yes","2019","16-34 y.","West Germany","716","0.243055200463505","0.228885478686084","0.257224922240925"
"Yes","2019","16-34 y.","East Germany","119","0.186244694075322","0.157259891615955","0.215229496534688"
"Yes","2019","35-65 y.","West Germany","2266","0.269999071474486","0.260568801857019","0.279429341091954"
"Yes","2019","35-65 y.","East Germany","568","0.280084508148668","0.261303572405941","0.298865443891394"
"Yes","2019","66 and older","West Germany","47","0.207505311536483","0.157237396114989","0.257773226957977"
"Yes","2019","66 and older","East Germany","","","",""
"No","2019","16-34 y.","West Germany","2804","0.756944799536495","0.742775077759075","0.771114521313916"
"No","2019","16-34 y.","East Germany","574","0.813755305924678","0.784770503465312","0.842740108384045"
"No","2019","35-65 y.","West Germany","6248","0.730000928525514","0.720570658908046","0.739431198142981"
"No","2019","35-65 y.","East Germany","1628","0.719915491851332","0.701134556108606","0.738696427594059"
"No","2019","66 and older","West Germany","203","0.792494688463517","0.742226773042023","0.842762603885011"
"No","2019","66 and older","East Germany","51","0.826428192090195","0.729786563346124","0.923069820834266"
