"pgoeffd","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2013","35-65 y.","Rural Area","1099","0.253986525102239","0.240965465676219","0.26700758452826"
"Yes","2013","66 and older","Urban Area","17","","",""
"Yes","2013","66 and older","Rural Area","10","","",""
"No","2013","16-34 y.","Urban Area","2640","0.784237668789949","0.770132275946384","0.798343061633514"
"No","2013","16-34 y.","Rural Area","1223","0.795639343747963","0.775212843651216","0.816065843844711"
"No","2013","35-65 y.","Urban Area","6080","0.729019306175382","0.719376241221138","0.738662371129625"
"No","2013","35-65 y.","Rural Area","3194","0.746013474897761","0.73299241547174","0.759034534323781"
"No","2013","66 and older","Urban Area","84","0.838356249415969","0.766563403973818","0.91014909485812"
"No","2013","66 and older","Rural Area","43","0.754590202912281","0.638736028815222","0.870444377009339"
"Yes","2014","16-34 y.","Urban Area","549","0.230451209293983","0.21474315247807","0.246159266109895"
"Yes","2014","16-34 y.","Rural Area","243","0.227168591483401","0.204452855008298","0.249884327958504"
"Yes","2014","35-65 y.","Urban Area","1929","0.275110075539893","0.26482356470975","0.285396586370035"
"Yes","2014","35-65 y.","Rural Area","1000","0.256916612657935","0.243210696958309","0.270622528357561"
"Yes","2014","66 and older","Urban Area","14","","",""
"Yes","2014","66 and older","Rural Area","19","","",""
"No","2014","16-34 y.","Urban Area","2212","0.769548790706017","0.753840733890105","0.78525684752193"
"No","2014","16-34 y.","Rural Area","1064","0.772831408516599","0.750115672041496","0.795547144991702"
"No","2014","35-65 y.","Urban Area","5311","0.724889924460107","0.714603413629965","0.735176435290249"
"No","2014","35-65 y.","Rural Area","2904","0.743083387342065","0.729377471642439","0.756789303041691"
"No","2014","66 and older","Urban Area","108","0.860918568304485","0.799516388452828","0.922320748156142"
"No","2014","66 and older","Rural Area","56","0.751257013804354","0.653423612850118","0.849090414758591"
"Yes","2015","16-34 y.","Urban Area","534","0.214859152974737","0.19974817365597","0.229970132293504"
"Yes","2015","16-34 y.","Rural Area","227","0.198249824191933","0.176644033904806","0.21985561447906"
"Yes","2015","35-65 y.","Urban Area","1869","0.278895057866192","0.26845345521765","0.289336660514735"
"Yes","2015","35-65 y.","Rural Area","984","0.246219099412331","0.232616183286041","0.259822015538622"
"Yes","2015","66 and older","Urban Area","20","","",""
"Yes","2015","66 and older","Rural Area","18","","",""
"No","2015","16-34 y.","Urban Area","2304","0.785140847025263","0.770029867706496","0.80025182634403"
"No","2015","16-34 y.","Rural Area","1081","0.801750175808067","0.78014438552094","0.823355966095194"
"No","2015","35-65 y.","Urban Area","5217","0.721104942133808","0.710663339485265","0.73154654478235"
"No","2015","35-65 y.","Rural Area","2869","0.753780900587669","0.740177984461378","0.767383816713959"
"No","2015","66 and older","Urban Area","110","0.87301816933347","0.815783543499354","0.930252795167586"
"No","2015","66 and older","Rural Area","58","0.763669362856072","0.668158231006073","0.85918049470607"
"Yes","2016","16-34 y.","Urban Area","507","0.226957750811006","0.210835675069475","0.243079826552538"
"Yes","2016","16-34 y.","Rural Area","237","0.213311301125858","0.190305739767383","0.236316862484334"
"Yes","2016","35-65 y.","Urban Area","1786","0.2723810330004","0.26174417739255","0.283017888608251"
"Yes","2016","35-65 y.","Rural Area","931","0.251894398399248","0.237813418362679","0.265975378435817"
"Yes","2016","66 and older","Urban Area","22","","",""
"Yes","2016","66 and older","Rural Area","17","","",""
"No","2016","16-34 y.","Urban Area","2086","0.773042249188994","0.756920173447462","0.789164324930525"
"No","2016","16-34 y.","Rural Area","981","0.786688698874142","0.763683137515667","0.809694260232617"
"No","2016","35-65 y.","Urban Area","4943","0.727618966999599","0.716982111391749","0.73825582260745"
"No","2016","35-65 y.","Rural Area","2720","0.748105601600752","0.734024621564183","0.762186581637321"
"No","2016","66 and older","Urban Area","114","0.8754361111089","0.81993688279248","0.93093533942532"
"No","2016","66 and older","Rural Area","60","0.740971709800314","0.643118034651404","0.838825384949225"
"Yes","2017","16-34 y.","Urban Area","612","0.231283671844523","0.216312099829757","0.246255243859288"
"Yes","2017","16-34 y.","Rural Area","261","0.186220304573344","0.166394194963642","0.206046414183046"
"Yes","2017","35-65 y.","Urban Area","2028","0.275430918511995","0.265312528449437","0.285549308574553"
"Yes","2017","35-65 y.","Rural Area","1076","0.250531965144774","0.237501378545449","0.263562551744099"
"Yes","2017","66 and older","Urban Area","30","0.157034807110229","0.101008323247083","0.213061290973376"
"Yes","2017","66 and older","Rural Area","18","","",""
"No","2017","16-34 y.","Urban Area","2435","0.768716328155477","0.753744756140712","0.783687900170243"
"No","2017","16-34 y.","Rural Area","1220","0.813779695426656","0.793953585816954","0.833605805036358"
"No","2017","35-65 y.","Urban Area","5460","0.724569081488005","0.714450691425448","0.734687471550563"
"No","2017","35-65 y.","Rural Area","3172","0.749468034855226","0.736437448255901","0.762498621454551"
"No","2017","66 and older","Urban Area","132","0.842965192889771","0.786938709026624","0.898991676752917"
"No","2017","66 and older","Rural Area","77","0.846521575789493","0.774039775786201","0.919003375792785"
"Yes","2018","16-34 y.","Urban Area","615","0.238546289462038","0.22345304247019","0.253639536453887"
"Yes","2018","16-34 y.","Rural Area","255","0.189401841730367","0.169268702376837","0.209534981083897"
"Yes","2018","35-65 y.","Urban Area","1927","0.282248898771298","0.271752107780993","0.292745689761604"
"Yes","2018","35-65 y.","Rural Area","1027","0.263821206665169","0.250081225870887","0.27756118745945"
"Yes","2018","66 and older","Urban Area","30","0.14177023977156","0.0894891829594562","0.194051296583664"
"Yes","2018","66 and older","Rural Area","19","","",""
"No","2018","16-34 y.","Urban Area","2448","0.761453710537962","0.746360463546113","0.77654695752981"
"No","2018","16-34 y.","Rural Area","1200","0.810598158269633","0.790465018916103","0.830731297623163"
"No","2018","35-65 y.","Urban Area","5136","0.717751101228702","0.707254310238396","0.728247892219007"
"No","2018","35-65 y.","Rural Area","2925","0.736178793334831","0.72243881254055","0.749918774129113"
"No","2018","66 and older","Urban Area","141","0.85822976022844","0.805948703416336","0.910510817040544"
"No","2018","66 and older","Rural Area","69","0.81924544295246","0.738845007724658","0.899645878180262"
"Yes","2019","16-34 y.","Urban Area","561","0.257509148104465","0.240819971485382","0.274198324723548"
"Yes","2019","16-34 y.","Rural Area","221","0.190282210323601","0.169042572459987","0.211521848187216"
"Yes","2019","35-65 y.","Urban Area","1669","0.267886874454255","0.257031106465589","0.278742642442921"
"Yes","2019","35-65 y.","Rural Area","988","0.268665297132881","0.25455689583443","0.282773698431331"
"Yes","2019","66 and older","Urban Area","29","","",""
"Yes","2019","66 and older","Rural Area","22","","",""
"No","2019","16-34 y.","Urban Area","2076","0.742490851895535","0.725801675276452","0.759180028514618"
"No","2019","16-34 y.","Rural Area","1091","0.809717789676399","0.788478151812784","0.830957427540013"
"No","2019","35-65 y.","Urban Area","4724","0.732113125545745","0.721257357557079","0.742968893534411"
"No","2019","35-65 y.","Rural Area","2804","0.731334702867119","0.717226301568669","0.74544310416557"
"No","2019","66 and older","Urban Area","155","0.811489671684203","0.754976685963492","0.868002657404913"
"No","2019","66 and older","Rural Area","82","0.764858686060687","0.683353265395776","0.846364106725598"
