"pgoeffd","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","1992","16-34 y.","no degree/no degree yet","8","","",""
"Yes","1992","35-65 y.","lower secondary degree","484","0.244293149768308","0.225343688607235","0.263242610929381"
"Yes","1992","35-65 y.","secondary school degree","399","0.342195555475255","0.314309872774481","0.37008123817603"
"Yes","1992","35-65 y.","college entrance qualification","305","0.444216636858629","0.407169107707393","0.481264166009866"
"Yes","1992","35-65 y.","Other degree","62","0.127061880768838","0.0993790776352674","0.154744683902409"
"Yes","1992","35-65 y.","no degree/no degree yet","39","0.18651686667904","0.140140493984983","0.232893239373098"
"Yes","1992","66 and older","lower secondary degree","1","","",""
"Yes","1992","66 and older","secondary school degree","1","","",""
"Yes","1992","66 and older","college entrance qualification","","","",""
"Yes","1992","66 and older","Other degree","","","",""
"Yes","1992","66 and older","no degree/no degree yet","","","",""
"No","1992","16-34 y.","lower secondary degree","939","0.853324962788946","0.832437166537794","0.874212759040097"
"No","1992","16-34 y.","secondary school degree","959","0.688692100918869","0.664592070165468","0.71279213167227"
"No","1992","16-34 y.","college entrance qualification","308","0.596241473523284","0.55310527782659","0.639377669219978"
"No","1992","16-34 y.","Other degree","118","0.916032716752598","0.868358127683374","0.963707305821821"
"No","1992","16-34 y.","no degree/no degree yet","64","0.862299662261457","0.782706006300098","0.941893318222816"
"No","1992","35-65 y.","lower secondary degree","1491","0.755706850231692","0.736757389070618","0.774656311392765"
"No","1992","35-65 y.","secondary school degree","713","0.657804444524745","0.62991876182397","0.685690127225519"
"No","1992","35-65 y.","college entrance qualification","386","0.555783363141371","0.518735833990134","0.592830892292608"
"No","1992","35-65 y.","Other degree","494","0.872938119231162","0.845255316097591","0.900620922364733"
"No","1992","35-65 y.","no degree/no degree yet","232","0.81348313332096","0.767106760626902","0.859859506015017"
"No","1992","66 and older","lower secondary degree","10","","",""
"No","1992","66 and older","secondary school degree","3","","",""
"No","1992","66 and older","college entrance qualification","9","","",""
"No","1992","66 and older","Other degree","1","","",""
"No","1992","66 and older","no degree/no degree yet","","","",""
"Yes","1993","16-34 y.","lower secondary degree","146","0.141978716784607","0.121006809420687","0.162950624148527"
"Yes","1993","16-34 y.","secondary school degree","433","0.289579299154473","0.265811947384731","0.313346650924214"
"Yes","1993","16-34 y.","college entrance qualification","191","0.364501908467236","0.322974936107227","0.406028880827246"
"Yes","1993","16-34 y.","Other degree","9","","",""
"Yes","1993","16-34 y.","no degree/no degree yet","12","","",""
"Yes","1993","35-65 y.","lower secondary degree","430","0.230026693921415","0.210890648661846","0.249162739180985"
