"pgoeffd","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2012","no migration background","Urban Area","2227","0.269138485213166","0.259530824241482","0.278746146184849"
"Yes","2012","no migration background","Rural Area","1224","0.239947196983675","0.228200271000498","0.251694122966852"
"Yes","2012","direct migration background","Urban Area","208","0.161250335362127","0.141111237180026","0.181389433544228"
"Yes","2012","direct migration background","Rural Area","54","0.153084021492421","0.118770680832126","0.187397362152715"
"Yes","2012","indirect migration background","Urban Area","125","0.182575786397274","0.152899952211926","0.212251620582621"
"Yes","2012","indirect migration background","Rural Area","22","","",""
"No","2012","no migration background","Urban Area","5959","0.730861514786834","0.721253853815151","0.740469175758518"
"No","2012","no migration background","Rural Area","3853","0.760052803016325","0.748305877033148","0.771799728999502"
"No","2012","direct migration background","Urban Area","1073","0.838749664637873","0.818610566455772","0.858888762819974"
"No","2012","direct migration background","Rural Area","369","0.84691597850758","0.812602637847285","0.881229319167875"
"No","2012","indirect migration background","Urban Area","526","0.817424213602726","0.787748379417379","0.847100047788073"
"No","2012","indirect migration background","Rural Area","129","0.886945492594585","0.83643844017773","0.937452545011439"
"Yes","2013","no migration background","Urban Area","2121","0.27970826410485","0.269636138139206","0.289780390070493"
"Yes","2013","no migration background","Rural Area","1240","0.254023258405036","0.241588732005573","0.266457784804499"
"Yes","2013","direct migration background","Urban Area","419","0.158714497742957","0.145239805125324","0.172189190360589"
"Yes","2013","direct migration background","Rural Area","109","0.139221302751452","0.11672941037556","0.161713195127345"
"Yes","2013","indirect migration background","Urban Area","185","0.181304305834171","0.158273498022974","0.204335113645369"
"Yes","2013","indirect migration background","Rural Area","34","0.188105077763106","0.137041998076089","0.239168157450124"
"No","2013","no migration background","Urban Area","5508","0.72029173589515","0.710219609929507","0.730363861860794"
"No","2013","no migration background","Rural Area","3468","0.745976741594964","0.7335422151955","0.758411267994427"
"No","2013","direct migration background","Urban Area","2406","0.841285502257043","0.827810809639411","0.854760194874676"
"No","2013","direct migration background","Rural Area","801","0.860778697248548","0.838286804872655","0.88327058962444"
"No","2013","indirect migration background","Urban Area","890","0.818695694165829","0.795664886354631","0.841726501977026"
"No","2013","indirect migration background","Rural Area","191","0.811894922236894","0.760831842549876","0.862958001923911"
"Yes","2014","no migration background","Urban Area","1976","0.282041017052532","0.271463124233841","0.292618909871223"
"Yes","2014","no migration background","Rural Area","1122","0.257170039208102","0.244106262316215","0.270233816099989"
"Yes","2014","direct migration background","Urban Area","338","0.165820291911226","0.150479959500115","0.181160624322337"
"Yes","2014","direct migration background","Rural Area","103","0.201590818321071","0.173105653246112","0.23007598339603"
"Yes","2014","indirect migration background","Urban Area","178","0.232252058594929","0.20486144138346","0.259642675806397"
"Yes","2014","indirect migration background","Rural Area","37","0.181465206443022","0.130994505328012","0.231935907558032"
"No","2014","no migration background","Urban Area","4976","0.717958982947468","0.707381090128777","0.728536875766159"
"No","2014","no migration background","Rural Area","3178","0.742829960791898","0.729766183900011","0.755893737683785"
"No","2014","direct migration background","Urban Area","1920","0.834179708088774","0.818839375677663","0.849520040499885"
"No","2014","direct migration background","Rural Area","659","0.798409181678929","0.76992401660397","0.826894346753888"
"No","2014","indirect migration background","Urban Area","735","0.767747941405071","0.740357324193603","0.79513855861654"
"No","2014","indirect migration background","Rural Area","187","0.818534793556978","0.768064092441968","0.869005494671988"
"Yes","2015","no migration background","Urban Area","1908","0.287702897404279","0.276774859357493","0.298630935451065"
"Yes","2015","no migration background","Rural Area","1088","0.239992678663374","0.226950201661898","0.25303515566485"
"Yes","2015","direct migration background","Urban Area","355","0.141186780905352","0.127845651148922","0.154527910661782"
"Yes","2015","direct migration background","Rural Area","104","0.190774738170435","0.165330145481476","0.216219330859395"
"Yes","2015","indirect migration background","Urban Area","160","0.211046972018721","0.183534166834871","0.23855977720257"
"Yes","2015","indirect migration background","Rural Area","37","0.214845760478834","0.158207058680775","0.271484462276893"
"No","2015","no migration background","Urban Area","4684","0.712297102595721","0.701369064548935","0.723225140642507"
"No","2015","no migration background","Rural Area","3031","0.760007321336626","0.74696484433515","0.773049798338102"
"No","2015","direct migration background","Urban Area","2262","0.858813219094648","0.845472089338218","0.872154348851078"
"No","2015","direct migration background","Rural Area","812","0.809225261829565","0.783780669140605","0.834669854518524"
"No","2015","indirect migration background","Urban Area","685","0.788953027981279","0.76144022279743","0.816465833165129"
"No","2015","indirect migration background","Rural Area","165","0.785154239521166","0.728515537723107","0.841792941319225"
"Yes","2016","no migration background","Urban Area","1772","0.282711143120583","0.271468445957548","0.293953840283617"
"Yes","2016","no migration background","Rural Area","1038","0.254978170968444","0.241189207995281","0.268767133941606"
"Yes","2016","direct migration background","Urban Area","375","0.151733813800828","0.137633867358684","0.165833760242972"
"Yes","2016","direct migration background","Rural Area","103","0.138218493263511","0.115695480418085","0.160741506108937"
"Yes","2016","indirect migration background","Urban Area","168","0.239109111474562","0.20969866176793","0.268519561181195"
"Yes","2016","indirect migration background","Rural Area","44","0.265159056232958","0.204880285623223","0.325437826842693"
"No","2016","no migration background","Urban Area","4391","0.717288856879418","0.706046159716383","0.728531554042452"
"No","2016","no migration background","Rural Area","2800","0.745021829031556","0.731232866058393","0.758810792004719"
"No","2016","direct migration background","Urban Area","2112","0.848266186199172","0.834166239757027","0.862366132641316"
"No","2016","direct migration background","Rural Area","799","0.861781506736489","0.839258493891063","0.884304519581915"
"No","2016","indirect migration background","Urban Area","640","0.760890888525438","0.731480438818805","0.79030133823207"
"No","2016","indirect migration background","Rural Area","162","0.734840943767042","0.674562173157307","0.795119714376778"
"Yes","2017","no migration background","Urban Area","2123","0.286442778960833","0.275981115461077","0.296904442460589"
"Yes","2017","no migration background","Rural Area","1197","0.24184200286471","0.229489330671873","0.254194675057547"
"Yes","2017","direct migration background","Urban Area","362","0.167215721169822","0.152945757522474","0.18148568481717"
"Yes","2017","direct migration background","Rural Area","109","0.138614524416846","0.117165692111527","0.160063356722165"
"Yes","2017","indirect migration background","Urban Area","185","0.215141147738419","0.188234994750611","0.242047300726227"
"Yes","2017","indirect migration background","Rural Area","49","0.266165240232273","0.206532924871738","0.325797555592808"
"No","2017","no migration background","Urban Area","5051","0.713557221039167","0.703095557539411","0.724018884538923"
"No","2017","no migration background","Rural Area","3419","0.75815799713529","0.745805324942453","0.770510669328127"
"No","2017","direct migration background","Urban Area","2265","0.832784278830178","0.81851431518283","0.847054242477526"
"No","2017","direct migration background","Rural Area","888","0.861385475583154","0.839936643277835","0.882834307888473"
"No","2017","indirect migration background","Urban Area","711","0.784858852261581","0.757952699273773","0.811765005249389"
"No","2017","indirect migration background","Rural Area","162","0.733834759767727","0.674202444407192","0.793467075128262"
"Yes","2018","no migration background","Urban Area","1990","0.29408584769087","0.28317424544463","0.30499744993711"
"Yes","2018","no migration background","Rural Area","1131","0.252529923111436","0.239503206255322","0.26555663996755"
"Yes","2018","direct migration background","Urban Area","394","0.179831117025272","0.165374475994294","0.19428775805625"
"Yes","2018","direct migration background","Rural Area","124","0.182402698364918","0.158467697631305","0.20633769909853"
"Yes","2018","indirect migration background","Urban Area","188","0.217879595300845","0.190728541128747","0.245030649472943"
"Yes","2018","indirect migration background","Rural Area","46","0.179336151149421","0.12887139517173","0.229800907127112"
"No","2018","no migration background","Urban Area","4708","0.70591415230913","0.69500255006289","0.71682575455537"
"No","2018","no migration background","Rural Area","3142","0.747470076888564","0.73444336003245","0.760496793744678"
"No","2018","direct migration background","Urban Area","2317","0.820168882974728","0.80571224194375","0.834625524005706"
"No","2018","direct migration background","Rural Area","876","0.817597301635082","0.79366230090147","0.841532302368695"
"No","2018","indirect migration background","Urban Area","700","0.782120404699155","0.754969350527057","0.809271458871253"
"No","2018","indirect migration background","Rural Area","176","0.820663848850579","0.770199092872888","0.87112860482827"
"Yes","2019","no migration background","Urban Area","1728","0.288446042897367","0.27706872211726","0.299823363677473"
"Yes","2019","no migration background","Rural Area","1082","0.258979895001934","0.24549645575764","0.272463334246229"
"Yes","2019","direct migration background","Urban Area","345","0.179614122020821","0.164050951975862","0.19517729206578"
"Yes","2019","direct migration background","Rural Area","104","0.1866930660289","0.161822619875872","0.211563512181927"
"Yes","2019","indirect migration background","Urban Area","186","0.240219838742328","0.210353277065908","0.270086400418747"
"Yes","2019","indirect migration background","Rural Area","45","0.180445840436879","0.12843418093506","0.232457499938698"
"No","2019","no migration background","Urban Area","4363","0.711553957102634","0.700176636322527","0.72293127788274"
"No","2019","no migration background","Rural Area","2973","0.741020104998066","0.727536665753771","0.75450354424236"
"No","2019","direct migration background","Urban Area","1992","0.820385877979179","0.80482270793422","0.835949048024137"
"No","2019","direct migration background","Rural Area","839","0.8133069339711","0.788436487818073","0.838177380124127"
"No","2019","indirect migration background","Urban Area","600","0.759780161257672","0.729913599581253","0.789646722934092"
"No","2019","indirect migration background","Rural Area","165","0.819554159563121","0.767542500061302","0.87156581906494"
