"pgoeffd","year","education","sex","n","percent","lower_confidence","upper_confidence"
"No","2000","lower secondary degree","Male","2358","0.85483126648995","0.841679465527569","0.867983067452331"
"No","2000","no degree/no degree yet","Female","68","0.831061320933599","0.751869569620749","0.910253072246448"
"No","2000","no degree/no degree yet","Male","108","0.938656003280109","0.89460711719549","0.982704889364728"
"No","2000","Other degree","Female","260","0.728275349288505","0.681737441209948","0.774813257367061"
"No","2000","Other degree","Male","455","0.892340526776846","0.86514551493973","0.919535538613962"
"No","2000","secondary school degree","Female","1756","0.701583270853687","0.683736132304246","0.719430409403127"
"No","2000","secondary school degree","Male","1905","0.799068531697013","0.782970395203117","0.815166668190908"
"Yes","2000","college entrance qualification","Female","572","0.387848235798694","0.362223615958699","0.413472855638688"
"Yes","2000","college entrance qualification","Male","568","0.289066055988989","0.26883609008076","0.309296021897217"
"Yes","2000","lower secondary degree","Female","385","0.216465053007161","0.19724099728307","0.235689108731252"
"Yes","2000","lower secondary degree","Male","398","0.14516873351005","0.132016932547669","0.158320534472431"
"Yes","2000","no degree/no degree yet","Female","18","","",""
"Yes","2000","no degree/no degree yet","Male","6","","",""
"Yes","2000","Other degree","Female","91","0.271724650711495","0.225186742632939","0.318262558790052"
"Yes","2000","Other degree","Male","44","0.107659473223154","0.0804644613860384","0.13485448506027"
"Yes","2000","secondary school degree","Female","769","0.298416729146313","0.280569590596873","0.316263867695754"
"Yes","2000","secondary school degree","Male","475","0.200931468302988","0.184833331809092","0.217029604796883"
"No","2001","college entrance qualification","Female","738","0.622272762793569","0.595331531029901","0.649213994557237"
"No","2001","college entrance qualification","Male","1214","0.712217769976696","0.690728370029626","0.733707169923766"
"No","2001","lower secondary degree","Female","1145","0.79008570152693","0.769138650293854","0.811032752760007"
"No","2001","lower secondary degree","Male","1935","0.854191986097707","0.839654867844788","0.868729104350626"
"No","2001","no degree/no degree yet","Female","61","0.916940640714763","0.853633665979588","0.980247615449937"
"No","2001","no degree/no degree yet","Male","84","0.921302953174383","0.865361526624163","0.977244379724602"
"No","2001","Other degree","Female","229","0.738117375259657","0.689016550217302","0.787218200302012"
"No","2001","Other degree","Male","368","0.910323125501932","0.882288183456807","0.938358067547057"
"No","2001","secondary school degree","Female","1527","0.692657464160107","0.67348176118594","0.711833167134274"
"No","2001","secondary school degree","Male","1642","0.79004107783215","0.772487533212691","0.807594622451608"
"Yes","2001","college entrance qualification","Female","506","0.377727237206431","0.350786005442763","0.404668468970099"
"Yes","2001","college entrance qualification","Male","491","0.287782230023304","0.266292830076234","0.309271629970374"
"Yes","2001","lower secondary degree","Female","307","0.20991429847307","0.188967247239993","0.230861349706146"
"Yes","2001","lower secondary degree","Male","329","0.145808013902293","0.131270895649374","0.160345132155212"
"Yes","2001","no degree/no degree yet","Female","12","","",""
"Yes","2001","no degree/no degree yet","Male","5","","",""
"Yes","2001","Other degree","Female","79","0.261882624740343","0.212781799697988","0.310983449782698"
"Yes","2001","Other degree","Male","31","0.0896768744980681","0.0616419324529434","0.117711816543193"
"Yes","2001","secondary school degree","Female","697","0.307342535839893","0.288166832865726","0.32651823881406"
"Yes","2001","secondary school degree","Male","426","0.20995892216785","0.192405377548392","0.227512466787309"
"No","2002","college entrance qualification","Female","992","0.631355164647125","0.608529134057328","0.654181195236922"
"No","2002","college entrance qualification","Male","1619","0.723219779931579","0.704962882878731","0.741476676984428"
"No","2002","lower secondary degree","Female","1172","0.795713726149528","0.775166082636537","0.816261369662518"
"No","2002","lower secondary degree","Male","1879","0.849351844594736","0.834380717352513","0.864322971836959"
"No","2002","no degree/no degree yet","Female","75","0.873276960855741","0.804164416937935","0.942389504773547"
"No","2002","no degree/no degree yet","Male","81","0.932281862610752","0.879785057375846","0.984778667845658"
"No","2002","Other degree","Female","243","0.734777130554633","0.686708816943841","0.782845444165425"
"No","2002","Other degree","Male","359","0.931451698723722","0.906532844976036","0.956370552471409"
"No","2002","secondary school degree","Female","1680","0.696189175640392","0.677974604373625","0.714403746907159"
"No","2002","secondary school degree","Male","1750","0.783652579868416","0.766489652526012","0.800815507210819"
"Yes","2002","college entrance qualification","Female","724","0.368644835352875","0.345818804763078","0.391470865942672"
"Yes","2002","college entrance qualification","Male","688","0.276780220068421","0.258523323015573","0.295037117121269"
"Yes","2002","lower secondary degree","Female","307","0.204286273850473","0.183738630337482","0.224833917363463"
"Yes","2002","lower secondary degree","Male","314","0.150648155405264","0.135677028163041","0.165619282647487"
"Yes","2002","no degree/no degree yet","Female","14","","",""
"Yes","2002","no degree/no degree yet","Male","7","","",""
"Yes","2002","Other degree","Female","81","0.265222869445367","0.217154555834575","0.313291183056159"
"Yes","2002","Other degree","Male","36","0.0685483012762777","0.0436294475285915","0.0934671550239639"
"Yes","2002","secondary school degree","Female","769","0.303810824359608","0.285596253092841","0.322025395626375"
"Yes","2002","secondary school degree","Male","461","0.216347420131584","0.199184492789181","0.233510347473988"
"No","2003","college entrance qualification","Female","919","0.61883485843708","0.594872003183235","0.642797713690926"
"No","2003","college entrance qualification","Male","1435","0.714071486208754","0.694554197030852","0.733588775386656"
"No","2003","lower secondary degree","Female","980","0.771112906858761","0.747925072691597","0.794300741025925"
"No","2003","lower secondary degree","Male","1615","0.846509821194309","0.830233211914065","0.862786430474552"
"No","2003","no degree/no degree yet","Female","50","0.884373299026361","0.803460105197583","0.965286492855139"
"No","2003","no degree/no degree yet","Male","62","0.96786196616771","0.924986606480907","1.01073732585451"
"No","2003","Other degree","Female","213","0.759385066866207","0.709137156238666","0.809632977493748"
"No","2003","Other degree","Male","300","0.916926044519434","0.887238201274312","0.946613887764556"
"No","2003","secondary school degree","Female","1485","0.68072644446809","0.661272255843522","0.700180633092659"
"No","2003","secondary school degree","Male","1560","0.771238733346599","0.752788658868197","0.789688807825001"
"Yes","2003","college entrance qualification","Female","659","0.38116514156292","0.357202286309074","0.405127996816765"
"Yes","2003","college entrance qualification","Male","624","0.285928513791246","0.266411224613344","0.305445802969148"
"Yes","2003","lower secondary degree","Female","281","0.228887093141239","0.205699258974075","0.252074927308403"
"Yes","2003","lower secondary degree","Male","269","0.153490178805691","0.137213569525448","0.169766788085935"
"Yes","2003","no degree/no degree yet","Female","10","","",""
"Yes","2003","no degree/no degree yet","Male","3","","",""
"Yes","2003","Other degree","Female","65","0.240614933133793","0.190367022506252","0.290862843761334"
"Yes","2003","Other degree","Male","32","0.0830739554805659","0.0533861122354441","0.112761798725688"
"Yes","2003","secondary school degree","Female","721","0.31927355553191","0.299819366907341","0.338727744156478"
"Yes","2003","secondary school degree","Male","431","0.228761266653401","0.210311192174999","0.247211341131803"
"No","2004","college entrance qualification","Female","985","0.626540955529228","0.603382621847698","0.649699289210758"
"No","2004","college entrance qualification","Male","1491","0.714350880602243","0.695126604566193","0.733575156638293"
"No","2004","lower secondary degree","Female","1028","0.77535252033725","0.752656804133276","0.798048236541224"
"No","2004","lower secondary degree","Male","1625","0.861417935884315","0.845808085181451","0.877027786587178"
"No","2004","no degree/no degree yet","Female","58","0.881317794615441","0.803877006681068","0.958758582549813"
"No","2004","no degree/no degree yet","Male","59","0.924062087852946","0.859163087633008","0.988961088072883"
"No","2004","Other degree","Female","203","0.767521668350869","0.716854221212928","0.81818911548881"
"No","2004","Other degree","Male","297","0.841176202448165","0.801977098966291","0.88037530593004"
"No","2004","secondary school degree","Female","1564","0.707779516484188","0.689066872050483","0.726492160917893"
"No","2004","secondary school degree","Male","1597","0.775482694535271","0.757259298060336","0.793706091010206"
"Yes","2004","college entrance qualification","Female","691","0.373459044470772","0.350300710789242","0.396617378152302"
"Yes","2004","college entrance qualification","Male","630","0.285649119397757","0.266424843361707","0.304873395433807"
"Yes","2004","lower secondary degree","Female","271","0.22464747966275","0.201951763458776","0.247343195866725"
"Yes","2004","lower secondary degree","Male","257","0.138582064115685","0.122972213412822","0.154191914818549"
"Yes","2004","no degree/no degree yet","Female","9","","",""
"Yes","2004","no degree/no degree yet","Male","5","","",""
"Yes","2004","Other degree","Female","64","0.232478331649131","0.18181088451119","0.283145778787072"
"Yes","2004","Other degree","Male","37","0.158823797551835","0.11962469406996","0.198022901033709"
"Yes","2004","secondary school degree","Female","705","0.292220483515812","0.273507839082107","0.310933127949517"
"Yes","2004","secondary school degree","Male","417","0.224517305464729","0.206293908989794","0.242740701939664"
"No","2005","college entrance qualification","Female","900","0.621941102508331","0.59772288965161","0.646159315365053"
"No","2005","college entrance qualification","Male","1357","0.725559247104178","0.705562868644731","0.745555625563624"
"No","2005","lower secondary degree","Female","875","0.76634548429587","0.741585460753365","0.791105507838376"
"No","2005","lower secondary degree","Male","1394","0.856467673426488","0.839373119882717","0.873562226970258"
"No","2005","no degree/no degree yet","Female","37","0.868096109888743","0.769228384838049","0.966963834939437"
"No","2005","no degree/no degree yet","Male","46","0.879163803594112","0.789710491408646","0.968617115779577"
"No","2005","Other degree","Female","189","0.783822655735158","0.732898337317341","0.834746974152976"
"No","2005","Other degree","Male","256","0.899048817341091","0.86394921340905","0.934148421273132"
"No","2005","secondary school degree","Female","1409","0.702336944913264","0.682549009447526","0.722124880379002"
"No","2005","secondary school degree","Male","1444","0.77425412153733","0.755109929843873","0.793398313230787"
"Yes","2005","college entrance qualification","Female","640","0.378058897491668","0.353840684634947","0.40227711034839"
"Yes","2005","college entrance qualification","Male","556","0.274440752895822","0.254444374436376","0.294437131355269"
"Yes","2005","lower secondary degree","Female","247","0.23365451570413","0.208894492161624","0.258414539246635"
"Yes","2005","lower secondary degree","Male","222","0.143532326573513","0.126437773029742","0.160626880117283"
"Yes","2005","no degree/no degree yet","Female","8","","",""
"Yes","2005","no degree/no degree yet","Male","5","","",""
"Yes","2005","Other degree","Female","62","0.216177344264842","0.165253025847024","0.267101662682659"
"Yes","2005","Other degree","Male","27","","",""
"Yes","2005","secondary school degree","Female","642","0.297663055086736","0.277875119620998","0.317450990552474"
"Yes","2005","secondary school degree","Male","388","0.22574587846267","0.206601686769213","0.244890070156127"
"No","2006","college entrance qualification","Female","943","0.627739355754463","0.604177672029035","0.651301039479891"
"No","2006","college entrance qualification","Male","1392","0.713005797923895","0.693009968351975","0.733001627495814"
"No","2006","lower secondary degree","Female","880","0.7661223313142","0.741452838127152","0.790791824501249"
"No","2006","lower secondary degree","Male","1408","0.847795537047738","0.830462870760626","0.865128203334849"
"No","2006","no degree/no degree yet","Female","32","0.865560693774097","0.758500584582323","0.972620802965871"
"No","2006","no degree/no degree yet","Male","49","0.946475534726712","0.885879944357257","1.00707112509617"
"No","2006","Other degree","Female","192","0.76848340726422","0.717014310530428","0.819952503998012"
"No","2006","Other degree","Male","253","0.900784225890655","0.865954053653496","0.935614398127815"
"No","2006","secondary school degree","Female","1471","0.703396194445488","0.684075602179453","0.722716786711524"
"No","2006","secondary school degree","Male","1465","0.791803475315313","0.773321913645301","0.810285036985325"
"Yes","2006","college entrance qualification","Female","674","0.372260644245537","0.348698960520109","0.395822327970965"
"Yes","2006","college entrance qualification","Male","574","0.286994202076105","0.266998372504186","0.306990031648025"
"Yes","2006","lower secondary degree","Female","251","0.233877668685799","0.209208175498751","0.258547161872848"
"Yes","2006","lower secondary degree","Male","242","0.152204462952262","0.134871796665151","0.169537129239374"
"Yes","2006","no degree/no degree yet","Female","7","","",""
"Yes","2006","no degree/no degree yet","Male","4","","",""
"Yes","2006","Other degree","Female","66","0.23151659273578","0.180047496001988","0.282985689469572"
"Yes","2006","Other degree","Male","30","0.0992157741093447","0.0643856018721849","0.134045946346505"
"Yes","2006","secondary school degree","Female","676","0.296603805554512","0.277283213288476","0.315924397820547"
"Yes","2006","secondary school degree","Male","389","0.208196524684687","0.189714963014675","0.226678086354699"
"No","2007","college entrance qualification","Female","1042","0.62063503168437","0.59779638849908","0.643473674869661"
"No","2007","college entrance qualification","Male","1426","0.713027437258774","0.69326686522333","0.732788009294218"
"No","2007","lower secondary degree","Female","915","0.817540467889755","0.794991636401998","0.840089299377512"
"No","2007","lower secondary degree","Male","1433","0.856874472565514","0.840123505088767","0.873625440042261"
"No","2007","no degree/no degree yet","Female","37","0.822169806881884","0.711672247112869","0.9326673666509"
"No","2007","no degree/no degree yet","Male","43","0.843263462784303","0.739327479841208","0.947199445727398"
"No","2007","Other degree","Female","183","0.774933721603034","0.72316522160017","0.826702221605898"
"No","2007","Other degree","Male","240","0.910722865776747","0.87664791855127","0.944797813002225"
"No","2007","secondary school degree","Female","1544","0.727334261913761","0.708588600864033","0.746079922963488"
"No","2007","secondary school degree","Male","1533","0.803827184993362","0.786009155940371","0.821645214046353"
"Yes","2007","college entrance qualification","Female","692","0.37936496831563","0.356526325130339","0.40220361150092"
"Yes","2007","college entrance qualification","Male","587","0.286972562741226","0.267211990705783","0.30673313477667"
"Yes","2007","lower secondary degree","Female","212","0.182459532110245","0.159910700622488","0.205008363598002"
"Yes","2007","lower secondary degree","Male","246","0.143125527434486","0.126374559957739","0.159876494911233"
"Yes","2007","no degree/no degree yet","Female","9","","",""
"Yes","2007","no degree/no degree yet","Male","4","","",""
"Yes","2007","Other degree","Female","67","0.225066278396966","0.173297778394102","0.27683477839983"
"Yes","2007","Other degree","Male","29","","",""
"Yes","2007","secondary school degree","Female","624","0.272665738086239","0.253920077036512","0.291411399135967"
"Yes","2007","secondary school degree","Male","375","0.196172815006638","0.178354785953647","0.213990844059629"
"No","2008","college entrance qualification","Female","977","0.637750753571528","0.614250671001584","0.661250836141472"
"No","2008","college entrance qualification","Male","1304","0.723753050787733","0.703244184511471","0.744261917063996"
"No","2008","lower secondary degree","Female","805","0.815701778667337","0.791622432048187","0.839781125286488"
"No","2008","lower secondary degree","Male","1273","0.863299518858769","0.845833076406712","0.880765961310825"
"No","2008","no degree/no degree yet","Female","31","0.822412204916543","0.702471355973024","0.942353053860062"
"No","2008","no degree/no degree yet","Male","43","0.83644854456767","0.730706918746206","0.942190170389134"
"No","2008","Other degree","Female","171","0.825509055065125","0.776136849288939","0.874881260841311"
"No","2008","Other degree","Male","206","0.902303948341927","0.864099051304588","0.940508845379265"
"No","2008","secondary school degree","Female","1412","0.727497160214407","0.707949462741973","0.747044857686842"
"No","2008","secondary school degree","Male","1385","0.789651415138589","0.77050175929824","0.808801070978939"
"Yes","2008","college entrance qualification","Female","630","0.362249246428472","0.338749163858528","0.385749328998416"
"Yes","2008","college entrance qualification","Male","522","0.276246949212267","0.255738082936004","0.296755815488529"
"Yes","2008","lower secondary degree","Female","191","0.184298221332663","0.160218874713512","0.208377567951813"
"Yes","2008","lower secondary degree","Male","213","0.136700481141231","0.119234038689175","0.154166923593288"
"Yes","2008","no degree/no degree yet","Female","8","","",""
"Yes","2008","no degree/no degree yet","Male","4","","",""
"Yes","2008","Other degree","Female","56","0.174490944934875","0.125118739158689","0.223863150711061"
"Yes","2008","Other degree","Male","26","","",""
"Yes","2008","secondary school degree","Female","581","0.272502839785593","0.252955142313158","0.292050537258027"
"Yes","2008","secondary school degree","Male","355","0.21034858486141","0.191198929021061","0.22949824070176"
"No","2009","college entrance qualification","Female","988","0.634515775344105","0.611043855617673","0.657987695070536"
"No","2009","college entrance qualification","Male","1265","0.753501611329816","0.733395648691807","0.773607573967826"
"No","2009","lower secondary degree","Female","768","0.799146778354722","0.773882191229742","0.824411365479702"
"No","2009","lower secondary degree","Male","1205","0.866218769402284","0.848380586115395","0.884056952689173"
"No","2009","no degree/no degree yet","Female","33","0.853777033154776","0.742886156401654","0.964667909907898"
"No","2009","no degree/no degree yet","Male","49","0.894145960200558","0.812090187595079","0.976201732806037"
"No","2009","Other degree","Female","160","0.800941686822472","0.747692641703462","0.854190731941483"
"No","2009","Other degree","Male","179","0.90740735755128","0.867533389237583","0.947281325864976"
"No","2009","secondary school degree","Female","1433","0.737311955647995","0.718043583567263","0.756580327728728"
"No","2009","secondary school degree","Male","1363","0.798138310364059","0.778944575962166","0.817332044765952"
"Yes","2009","college entrance qualification","Female","629","0.365484224655895","0.342012304929464","0.388956144382327"
"Yes","2009","college entrance qualification","Male","500","0.246498388670184","0.226392426032174","0.266604351308193"
"Yes","2009","lower secondary degree","Female","198","0.200853221645278","0.175588634520298","0.226117808770258"
"Yes","2009","lower secondary degree","Male","194","0.133781230597716","0.115943047310827","0.151619413884605"
"Yes","2009","no degree/no degree yet","Female","6","","",""
"Yes","2009","no degree/no degree yet","Male","5","","",""
"Yes","2009","Other degree","Female","56","0.199058313177528","0.145809268058517","0.252307358296538"
"Yes","2009","Other degree","Male","24","","",""
"Yes","2009","secondary school degree","Female","571","0.262688044352005","0.243419672271273","0.281956416432737"
"Yes","2009","secondary school degree","Male","317","0.201861689635941","0.182667955234048","0.221055424037834"
"No","2010","college entrance qualification","Female","1326","0.609953578938861","0.589402908089594","0.630504249788127"
"No","2010","college entrance qualification","Male","1728","0.732263911300948","0.71453459627305","0.749993226328846"
"No","2010","lower secondary degree","Female","889","0.793278194776253","0.769401574379361","0.817154815173146"
"No","2010","lower secondary degree","Male","1562","0.862837575099936","0.846869428120047","0.878805722079826"
"No","2010","no degree/no degree yet","Female","43","0.907356113949428","0.827784114710761","0.986928113188094"
"No","2010","no degree/no degree yet","Male","94","0.950967910225334","0.908855457448614","0.993080363002053"
"No","2010","Other degree","Female","245","0.777819594172701","0.732484017186556","0.823155171158846"
"No","2010","Other degree","Male","413","0.878031175382534","0.848255029180795","0.907807321584273"
"No","2010","secondary school degree","Female","1990","0.757288084526862","0.740958873136523","0.773617295917201"
"No","2010","secondary school degree","Male","1798","0.794127272135667","0.777219844879365","0.811034699391969"
"Yes","2010","college entrance qualification","Female","838","0.390046421061139","0.369495750211873","0.410597091910406"
"Yes","2010","college entrance qualification","Male","668","0.267736088699052","0.250006773671154","0.28546540372695"
"Yes","2010","lower secondary degree","Female","216","0.206721805223747","0.182845184826854","0.230598425620639"
"Yes","2010","lower secondary degree","Male","221","0.137162424900064","0.121194277920174","0.153130571879954"
"Yes","2010","no degree/no degree yet","Female","8","","",""
"Yes","2010","no degree/no degree yet","Male","7","","",""
"Yes","2010","Other degree","Female","78","0.222180405827299","0.176844828841154","0.267515982813444"
"Yes","2010","Other degree","Male","51","0.121968824617466","0.0921926784157273","0.151744970819205"
"Yes","2010","secondary school degree","Female","658","0.242711915473138","0.226382704082799","0.259041126863477"
"Yes","2010","secondary school degree","Male","399","0.205872727864333","0.188965300608031","0.222780155120635"
"No","2011","college entrance qualification","Female","1674","0.631178425643513","0.613006205364264","0.649350645922762"
"No","2011","college entrance qualification","Male","1933","0.720572900834944","0.703712921272183","0.737432880397706"
"No","2011","lower secondary degree","Female","1132","0.802486507038529","0.781526871330372","0.823446142746685"
"No","2011","lower secondary degree","Male","1737","0.852228147395777","0.836714144851324","0.867742149940231"
"No","2011","no degree/no degree yet","Female","71","0.869283847736612","0.79676440175179","0.941803293721434"
"No","2011","no degree/no degree yet","Male","119","0.898403121160102","0.846268161122191","0.950538081198013"
"No","2011","Other degree","Female","338","0.782720592673481","0.743605278987467","0.821835906359494"
"No","2011","Other degree","Male","454","0.88260006075923","0.854635686076059","0.9105644354424"
"No","2011","secondary school degree","Female","2368","0.729773143011847","0.714489291492624","0.745056994531071"
"No","2011","secondary school degree","Male","2037","0.80469697167598","0.789172569034327","0.820221374317632"
"Yes","2011","college entrance qualification","Female","1034","0.368821574356487","0.350649354077238","0.386993794635736"
"Yes","2011","college entrance qualification","Male","788","0.279427099165056","0.262567119602295","0.296287078727817"
"Yes","2011","lower secondary degree","Female","254","0.197513492961471","0.176553857253315","0.218473128669628"
"Yes","2011","lower secondary degree","Male","273","0.147771852604223","0.132257850059769","0.163285855148676"
"Yes","2011","no degree/no degree yet","Female","12","","",""
"Yes","2011","no degree/no degree yet","Male","10","","",""
"Yes","2011","Other degree","Female","89","0.217279407326519","0.178164093640506","0.256394721012533"
"Yes","2011","Other degree","Male","55","0.11739993924077","0.0894355645575995","0.145364313923941"
"Yes","2011","secondary school degree","Female","875","0.270226856988152","0.254943005468929","0.285510708507376"
"Yes","2011","secondary school degree","Male","468","0.19530302832402","0.179778625682368","0.210827430965673"
"No","2012","college entrance qualification","Female","1671","0.615922793652384","0.597654555037568","0.634191032267199"
"No","2012","college entrance qualification","Male","1865","0.709651932335578","0.692293910934597","0.72700995373656"
"No","2012","lower secondary degree","Female","1096","0.806800319338622","0.785708609215468","0.827892029461776"
"No","2012","lower secondary degree","Male","1639","0.849837675333365","0.833804437817639","0.865870912849092"
"No","2012","no degree/no degree yet","Female","82","0.92434355172807","0.870010127346106","0.978676976110035"
"No","2012","no degree/no degree yet","Male","130","0.929130416090546","0.886471583031384","0.971789249149708"
"No","2012","Other degree","Female","362","0.759222139351607","0.720485862852272","0.797958415850943"
"No","2012","Other degree","Male","478","0.90161372111723","0.876161086520631","0.927066355713828"
"No","2012","secondary school degree","Female","2340","0.728039012785769","0.712573470186483","0.743504555385056"
"No","2012","secondary school degree","Male","1959","0.814035479446146","0.798466158138942","0.829604800753349"
"Yes","2012","college entrance qualification","Female","1052","0.384077206347616","0.365808967732801","0.402345444962432"
"Yes","2012","college entrance qualification","Male","762","0.290348067664422","0.27299004626344","0.307706089065403"
"Yes","2012","lower secondary degree","Female","250","0.193199680661378","0.172107970538224","0.214291390784532"
"Yes","2012","lower secondary degree","Male","268","0.150162324666635","0.134129087150908","0.166195562182361"
"Yes","2012","no degree/no degree yet","Female","9","","",""
"Yes","2012","no degree/no degree yet","Male","9","","",""
"Yes","2012","Other degree","Female","106","0.240777860648393","0.202041584149057","0.279514137147728"
"Yes","2012","Other degree","Male","48","0.0983862788827702","0.0729336442861719","0.123838913479368"
"Yes","2012","secondary school degree","Female","840","0.271960987214231","0.256495444614944","0.287426529813517"
"Yes","2012","secondary school degree","Male","440","0.185964520553854","0.170395199246651","0.201533841861058"
"No","2013","college entrance qualification","Female","1642","0.591046856536214","0.57260120268224","0.609492510390188"
"No","2013","college entrance qualification","Male","1760","0.691683948785071","0.673578183783349","0.709789713786794"
"No","2013","lower secondary degree","Female","1133","0.794565221341064","0.773256714816276","0.815873727865851"
"No","2013","lower secondary degree","Male","1655","0.862389075000729","0.846939750776411","0.877838399225047"
"No","2013","no degree/no degree yet","Female","163","0.879043749100335","0.832056325734178","0.926031172466492"
"No","2013","no degree/no degree yet","Male","177","0.923646913774308","0.885379552489523","0.961914275059092"
"No","2013","Other degree","Female","960","0.773612616631712","0.75007152327936","0.797153709984064"
"No","2013","Other degree","Male","1155","0.899926647907819","0.883356530023875","0.916496765791762"
"No","2013","secondary school degree","Female","2309","0.715308862407129","0.699621981340024","0.730995743474234"
"No","2013","secondary school degree","Male","1935","0.822128190847819","0.806650719849925","0.837605661845713"
"Yes","2013","college entrance qualification","Female","1087","0.408953143463786","0.390507489609812","0.42739879731776"
"Yes","2013","college entrance qualification","Male","739","0.308316051214929","0.290210286213206","0.326421816216651"
"Yes","2013","lower secondary degree","Female","248","0.205434778658936","0.184126272134149","0.226743285183724"
"Yes","2013","lower secondary degree","Male","255","0.137610924999271","0.122161600774953","0.153060249223589"
"Yes","2013","no degree/no degree yet","Female","22","","",""
"Yes","2013","no degree/no degree yet","Male","8","","",""
"Yes","2013","Other degree","Female","254","0.226387383368288","0.202846290015936","0.24992847672064"
"Yes","2013","Other degree","Male","105","0.100073352092181","0.0835032342082377","0.116643469976125"
"Yes","2013","secondary school degree","Female","870","0.284691137592871","0.269004256525766","0.300378018659976"
"Yes","2013","secondary school degree","Male","410","0.177871809152181","0.162394338154287","0.193349280150075"
"No","2014","college entrance qualification","Female","1535","0.584704171682321","0.565589380229306","0.603818963135336"
"No","2014","college entrance qualification","Male","1605","0.684037651839445","0.665034034556967","0.703041269121923"
"No","2014","lower secondary degree","Female","1002","0.784974197165201","0.76219879449292","0.807749599837481"
"No","2014","lower secondary degree","Male","1440","0.861022759102348","0.844387007268916","0.87765851093578"
"No","2014","no degree/no degree yet","Female","112","0.88690040459453","0.832033424337102","0.941767384851957"
"No","2014","no degree/no degree yet","Male","124","0.943332175274799","0.90388992175736","0.982774428792238"
"No","2014","Other degree","Female","761","0.751221873282822","0.723861060372028","0.778582686193616"
"No","2014","Other degree","Male","910","0.872205980156013","0.851575283361797","0.89283667695023"
"No","2014","secondary school degree","Female","2049","0.728768086647854","0.712338437400626","0.745197735895082"
"No","2014","secondary school degree","Male","1700","0.820817791720284","0.804312829368224","0.837322754072344"
"Yes","2014","college entrance qualification","Female","1018","0.415295828317679","0.396181036864663","0.434410619770694"
"Yes","2014","college entrance qualification","Male","694","0.315962348160555","0.296958730878077","0.334965965443033"
"Yes","2014","lower secondary degree","Female","248","0.215025802834799","0.192250400162519","0.23780120550708"
"Yes","2014","lower secondary degree","Male","221","0.138977240897652","0.12234148906422","0.155612992731084"
"Yes","2014","no degree/no degree yet","Female","16","","",""
"Yes","2014","no degree/no degree yet","Male","8","","",""
"Yes","2014","Other degree","Female","198","0.248778126717178","0.221417313806384","0.276138939627972"
"Yes","2014","Other degree","Male","96","0.127794019843987","0.10716332304977","0.148424716638203"
"Yes","2014","secondary school degree","Female","764","0.271231913352146","0.254802264104918","0.287661562599374"
"Yes","2014","secondary school degree","Male","374","0.179182208279716","0.162677245927656","0.195687170631776"
"No","2015","college entrance qualification","Female","1459","0.579290528552195","0.559770301208971","0.598810755895419"
"No","2015","college entrance qualification","Male","1520","0.696900517811769","0.677647305451906","0.716153730171632"
"No","2015","lower secondary degree","Female","865","0.769793584855115","0.744927907952022","0.794659261758208"
"No","2015","lower secondary degree","Male","1341","0.862225052648911","0.845061079448916","0.879389025848906"
"No","2015","no degree/no degree yet","Female","111","0.836991512492851","0.773250512613726","0.900732512371977"
"No","2015","no degree/no degree yet","Male","140","0.791634600085433","0.727696838517424","0.855572361653442"
"No","2015","Other degree","Female","967","0.778241480114163","0.754638222040723","0.801844738187603"
"No","2015","Other degree","Male","1198","0.894914336272916","0.878326940901165","0.911501731644667"
"No","2015","secondary school degree","Female","1965","0.726104243040084","0.709232926459056","0.742975559621112"
"No","2015","secondary school degree","Male","1611","0.834685122182151","0.818210545054581","0.85115969930972"
"Yes","2015","college entrance qualification","Female","998","0.420709471447805","0.401189244104581","0.440229698791029"
"Yes","2015","college entrance qualification","Male","669","0.303099482188231","0.283846269828369","0.322352694548094"
"Yes","2015","lower secondary degree","Female","236","0.230206415144885","0.205340738241792","0.255072092047978"
"Yes","2015","lower secondary degree","Male","208","0.137774947351089","0.120610974151094","0.154938920551084"
"Yes","2015","no degree/no degree yet","Female","18","","",""
"Yes","2015","no degree/no degree yet","Male","15","","",""
"Yes","2015","Other degree","Female","223","0.221758519885837","0.198155261812397","0.245361777959277"
"Yes","2015","Other degree","Male","115","0.105085663727084","0.0884982683553333","0.121673059098835"
"Yes","2015","secondary school degree","Female","719","0.273895756959916","0.257024440378888","0.290767073540944"
"Yes","2015","secondary school degree","Male","342","0.165314877817849","0.14884030069028","0.181789454945419"
"No","2016","college entrance qualification","Female","1423","0.592040987392179","0.572337944913105","0.611744029871252"
"No","2016","college entrance qualification","Male","1403","0.688715410457861","0.668701348185356","0.708729472730367"
"No","2016","lower secondary degree","Female","844","0.781426665196192","0.756523877860265","0.80632945253212"
"No","2016","lower secondary degree","Male","1232","0.866321697840592","0.84863412060724","0.884009275073944"
"No","2016","no degree/no degree yet","Female","125","0.912420580275294","0.865085144963271","0.959756015587316"
"No","2016","no degree/no degree yet","Male","228","0.866644238804867","0.824333698714031","0.908954778895703"
"No","2016","Other degree","Female","833","0.803449417284374","0.779378580500096","0.827520254068652"
"No","2016","Other degree","Male","1129","0.878383462206986","0.860300706248277","0.896466218165695"
"No","2016","secondary school degree","Female","1810","0.722582933160252","0.7049724947079","0.740193371612603"
"No","2016","secondary school degree","Male","1440","0.818708969706527","0.800725442856064","0.83669249655699"
