"pgoeffd","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1989","1-pers.-HH","indirect migration background","1","","",""
"Yes","1989","(Married) couple without C. ","no migration background","267","0.267588189660917","0.239941628695746","0.295234750626088"
"Yes","1989","(Married) couple without C. ","direct migration background","28","","",""
"Yes","1989","(Married) couple without C. ","indirect migration background","2","","",""
"Yes","1989","Single parent ","no migration background","46","0.200585369714101","0.147306635695717","0.253864103732485"
"Yes","1989","Single parent ","direct migration background","11","","",""
"Yes","1989","Single parent ","indirect migration background","2","","",""
"Yes","1989","Couple + C. LE 16 ","no migration background","246","0.254752242515431","0.22714637058254","0.282358114448322"
"Yes","1989","Couple + C. LE 16 ","direct migration background","53","0.154659866147158","0.12293481161063","0.186384920683687"
"Yes","1989","Couple + C. LE 16 ","indirect migration background","3","","",""
"Yes","1989","Couple + C. GT 16 ","no migration background","260","0.2599378391335","0.232685398482632","0.287190279784369"
"Yes","1989","Couple + C. GT 16 ","direct migration background","29","","",""
"Yes","1989","Couple + C. GT 16 ","indirect migration background","5","","",""
"Yes","1989","Couple + C. LE and GT 16","no migration background","61","0.208496274531336","0.162060781919234","0.254931767143438"
"Yes","1989","Couple + C. LE and GT 16","direct migration background","34","0.137677975157783","0.0988813676535961","0.176474582661971"
"Yes","1989","Couple + C. LE and GT 16","indirect migration background","3","","",""
"No","1989","1-pers.-HH","no migration background","273","0.680376031667215","0.635071143891515","0.725680919442916"
"No","1989","1-pers.-HH","direct migration background","98","0.740010345356085","0.66018955465387","0.819831136058299"
"No","1989","1-pers.-HH","indirect migration background","4","","",""
"No","1989","(Married) couple without C. ","no migration background","718","0.732411810339083","0.704765249373912","0.760058371304254"
"No","1989","(Married) couple without C. ","direct migration background","228","0.879525889723616","0.83965101917825","0.919400760268983"
"No","1989","(Married) couple without C. ","indirect migration background","13","","",""
"No","1989","Single parent ","no migration background","171","0.799414630285899","0.746135896267515","0.852693364304283"
"No","1989","Single parent ","direct migration background","49","0.586633562151967","0.462031989150359","0.711235135153576"
"No","1989","Single parent ","indirect migration background","8","","",""
"No","1989","Couple + C. LE 16 ","no migration background","711","0.745247757484569","0.717641885551678","0.77285362941746"
"No","1989","Couple + C. LE 16 ","direct migration background","446","0.845340133852842","0.813615079316313","0.87706518838937"
"No","1989","Couple + C. LE 16 ","indirect migration background","13","","",""
"No","1989","Couple + C. GT 16 ","no migration background","735","0.7400621608665","0.712809720215631","0.767314601517369"
"No","1989","Couple + C. GT 16 ","direct migration background","271","0.862388751302478","0.823406584717004","0.901370917887951"
"No","1989","Couple + C. GT 16 ","indirect migration background","45","0.915391172248698","0.838252121937566","0.992530222559831"
"No","1989","Couple + C. LE and GT 16","no migration background","233","0.791503725468664","0.745068232856562","0.837939218080766"
"No","1989","Couple + C. LE and GT 16","direct migration background","269","0.862322024842217","0.823525417338029","0.901118632346404"
"No","1989","Couple + C. LE and GT 16","indirect migration background","28","","",""
"Yes","1990","1-pers.-HH","no migration background","159","0.294479295420773","0.25503613800939","0.333922452832155"
"Yes","1990","1-pers.-HH","direct migration background","20","","",""
"Yes","1990","1-pers.-HH","indirect migration background","","","",""
"Yes","1990","(Married) couple without C. ","no migration background","472","0.297716068007502","0.275054642789817","0.320377493225188"
"Yes","1990","(Married) couple without C. ","direct migration background","33","0.128402600563227","0.0897661946712469","0.167039006455207"
"Yes","1990","(Married) couple without C. ","indirect migration background","3","","",""
"Yes","1990","Single parent ","no migration background","104","0.272667405676127","0.226536740614122","0.318798070738131"
"Yes","1990","Single parent ","direct migration background","12","","",""
"Yes","1990","Single parent ","indirect migration background","1","","",""
"Yes","1990","Couple + C. LE 16 ","no migration background","718","0.290372682316616","0.271641224250461","0.309104140382772"
"Yes","1990","Couple + C. LE 16 ","direct migration background","49","0.144892413234602","0.113662456487249","0.176122369981955"
"Yes","1990","Couple + C. LE 16 ","indirect migration background","2","","",""
"Yes","1990","Couple + C. GT 16 ","no migration background","423","0.274071134168805","0.251551042894688","0.296591225442921"
"Yes","1990","Couple + C. GT 16 ","direct migration background","46","0.179651931345521","0.138419304900017","0.220884557791025"
"Yes","1990","Couple + C. GT 16 ","indirect migration background","11","","",""
"Yes","1990","Couple + C. LE and GT 16","no migration background","146","0.274682851666686","0.236057792749464","0.313307910583907"
"Yes","1990","Couple + C. LE and GT 16","direct migration background","38","0.170546741403581","0.126012866856536","0.215080615950625"
"Yes","1990","Couple + C. LE and GT 16","indirect migration background","2","","",""
"No","1990","1-pers.-HH","no migration background","354","0.705520704579227","0.666077547167845","0.74496386199061"
"No","1990","1-pers.-HH","direct migration background","88","0.750649790468396","0.66905550081442","0.832244080122373"
"No","1990","1-pers.-HH","indirect migration background","7","","",""
"No","1990","(Married) couple without C. ","no migration background","1092","0.702283931992497","0.679622506774812","0.724945357210183"
"No","1990","(Married) couple without C. ","direct migration background","255","0.871597399436773","0.832960993544793","0.910233805328753"
"No","1990","(Married) couple without C. ","indirect migration background","16","","",""
"No","1990","Single parent ","no migration background","254","0.727332594323873","0.681201929261869","0.773463259385877"
"No","1990","Single parent ","direct migration background","47","0.588969448946137","0.463422685664526","0.714516212227749"
"No","1990","Single parent ","indirect migration background","7","","",""
"No","1990","Couple + C. LE 16 ","no migration background","1538","0.709627317683384","0.690895859617228","0.728358775749539"
"No","1990","Couple + C. LE 16 ","direct migration background","439","0.855107586765398","0.823877630018045","0.886337543512751"
"No","1990","Couple + C. LE 16 ","indirect migration background","12","","",""
"No","1990","Couple + C. GT 16 ","no migration background","1084","0.725928865831195","0.703408774557079","0.748448957105312"
"No","1990","Couple + C. GT 16 ","direct migration background","287","0.820348068654479","0.779115442208975","0.861580695099983"
"No","1990","Couple + C. GT 16 ","indirect migration background","58","0.863226511775145","0.78215152391976","0.94430149963053"
"No","1990","Couple + C. LE and GT 16","no migration background","367","0.725317148333314","0.686692089416093","0.763942207250536"
"No","1990","Couple + C. LE and GT 16","direct migration background","236","0.829453258596419","0.784919384049375","0.873987133143464"
"No","1990","Couple + C. LE and GT 16","indirect migration background","33","0.961822652561488","0.898338628931183","1.02530667619179"
"Yes","1991","1-pers.-HH","no migration background","157","0.30340179033704","0.263105660664303","0.343697920009776"
"Yes","1991","1-pers.-HH","direct migration background","15","","",""
"Yes","1991","1-pers.-HH","indirect migration background","3","","",""
"Yes","1991","(Married) couple without C. ","no migration background","434","0.30757154088221","0.283652674037703","0.331490407726717"
"Yes","1991","(Married) couple without C. ","direct migration background","48","0.223454605389724","0.174662770074888","0.27224644070456"
"Yes","1991","(Married) couple without C. ","indirect migration background","5","","",""
"Yes","1991","Single parent ","no migration background","101","0.273774316693708","0.227126997872457","0.320421635514959"
"Yes","1991","Single parent ","direct migration background","11","","",""
"Yes","1991","Single parent ","indirect migration background","1","","",""
"Yes","1991","Couple + C. LE 16 ","no migration background","651","0.295850897039482","0.276453962218049","0.315247831860916"
"Yes","1991","Couple + C. LE 16 ","direct migration background","55","0.135717934020755","0.105905977303819","0.165529890737691"
"Yes","1991","Couple + C. LE 16 ","indirect migration background","","","",""
"Yes","1991","Couple + C. GT 16 ","no migration background","388","0.254824215993833","0.232364013909339","0.277284418078326"
"Yes","1991","Couple + C. GT 16 ","direct migration background","40","0.138368602278405","0.100886941479831","0.175850263076979"
"Yes","1991","Couple + C. GT 16 ","indirect migration background","13","","",""
"Yes","1991","Couple + C. LE and GT 16","no migration background","142","0.248208370201653","0.211604403254796","0.284812337148509"
"Yes","1991","Couple + C. LE and GT 16","direct migration background","38","0.15562053293153","0.112777123402524","0.198463942460537"
"Yes","1991","Couple + C. LE and GT 16","indirect migration background","5","","",""
"No","1991","1-pers.-HH","no migration background","343","0.69659820966296","0.656302079990224","0.736894339335697"
"No","1991","1-pers.-HH","direct migration background","96","0.830791882102469","0.761042025163954","0.900541739040985"
"No","1991","1-pers.-HH","indirect migration background","9","","",""
"No","1991","(Married) couple without C. ","no migration background","996","0.69242845911779","0.668509592273283","0.716347325962297"
"No","1991","(Married) couple without C. ","direct migration background","232","0.776545394610276","0.72775355929544","0.825337229925112"
"No","1991","(Married) couple without C. ","indirect migration background","17","","",""
"No","1991","Single parent ","no migration background","250","0.726225683306292","0.679578364485041","0.772873002127543"
"No","1991","Single parent ","direct migration background","50","0.767841400609473","0.661888872588845","0.873793928630101"
"No","1991","Single parent ","indirect migration background","15","","",""
"No","1991","Couple + C. LE 16 ","no migration background","1476","0.704149102960518","0.684752168139084","0.723546037781951"
