"pgoeffd","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","1992","Saxony","in school","","","",""
"No","1992","Saxony","inadequately","3","","",""
"No","1992","Saxony","general elemantary","33","0.681154929555423","0.551980695727778","0.810329163383069"
"No","1992","Saxony","middle vocational","264","0.697308671014303","0.651357667344826","0.74325967468378"
"No","1992","Saxony","vocational + Abi","12","","",""
"No","1992","Saxony","higher vocational","32","0.737168565141209","0.600760467559455","0.873576662722964"
"No","1992","Saxony","higher education","101","0.567532088044561","0.495948850781284","0.639115325307837"
"No","1992","Saxony-Anhalt","in school","1","","",""
"No","1992","Saxony-Anhalt","inadequately","","","",""
"No","1992","Saxony-Anhalt","general elemantary","28","","",""
"No","1992","Saxony-Anhalt","middle vocational","181","0.711511083726419","0.655794223655983","0.767227943796855"
"No","1992","Saxony-Anhalt","vocational + Abi","4","","",""
"No","1992","Saxony-Anhalt","higher vocational","32","0.696105186363975","0.55532055708122","0.83688981564673"
"No","1992","Saxony-Anhalt","higher education","56","0.434467976325052","0.350852110064438","0.518083842585665"
"No","1992","Thuringia","in school","1","","",""
"No","1992","Thuringia","inadequately","1","","",""
"No","1992","Thuringia","general elemantary","19","","",""
"No","1992","Thuringia","middle vocational","193","0.673982300700324","0.618172781560012","0.729791819840636"
"No","1992","Thuringia","vocational + Abi","4","","",""
"No","1992","Thuringia","higher vocational","19","","",""
"No","1992","Thuringia","higher education","44","0.457421316072224","0.355064455191856","0.559778176952592"
"Yes","1993","Schleswig-Holstein","in school","","","",""
"Yes","1993","Schleswig-Holstein","inadequately","","","",""
"Yes","1993","Schleswig-Holstein","general elemantary","5","","",""
"Yes","1993","Schleswig-Holstein","middle vocational","29","","",""
"Yes","1993","Schleswig-Holstein","vocational + Abi","1","","",""
"Yes","1993","Schleswig-Holstein","higher vocational","8","","",""
"Yes","1993","Schleswig-Holstein","higher education","2","","",""
"Yes","1993","Hamburg","in school","","","",""
"Yes","1993","Hamburg","inadequately","1","","",""
"Yes","1993","Hamburg","general elemantary","3","","",""
"Yes","1993","Hamburg","middle vocational","9","","",""
"Yes","1993","Hamburg","vocational + Abi","1","","",""
"Yes","1993","Hamburg","higher vocational","3","","",""
"Yes","1993","Hamburg","higher education","1","","",""
"Yes","1993","Lower Saxony","in school","","","",""
"Yes","1993","Lower Saxony","inadequately","2","","",""
"Yes","1993","Lower Saxony","general elemantary","22","","",""
"Yes","1993","Lower Saxony","middle vocational","65","0.233581080342209","0.186018737493938","0.281143423190479"
"Yes","1993","Lower Saxony","vocational + Abi","4","","",""
"Yes","1993","Lower Saxony","higher vocational","22","","",""
"Yes","1993","Lower Saxony","higher education","27","","",""
"Yes","1993","Bremen","in school","","","",""
"Yes","1993","Bremen","inadequately","1","","",""
"Yes","1993","Bremen","general elemantary","2","","",""
"Yes","1993","Bremen","middle vocational","6","","",""
"Yes","1993","Bremen","vocational + Abi","","","",""
"Yes","1993","Bremen","higher vocational","","","",""
"Yes","1993","Bremen","higher education","","","",""
"Yes","1993","North Rhine-Westphalia","in school","1","","",""
"Yes","1993","North Rhine-Westphalia","inadequately","7","","",""
"Yes","1993","North Rhine-Westphalia","general elemantary","42","0.193435011635628","0.146145163535872","0.240724859735383"
"Yes","1993","North Rhine-Westphalia","middle vocational","152","0.207479205890637","0.178380659206934","0.23657775257434"
"Yes","1993","North Rhine-Westphalia","vocational + Abi","12","","",""
"Yes","1993","North Rhine-Westphalia","higher vocational","40","0.380544124674738","0.283923481823912","0.477164767525564"
"Yes","1993","North Rhine-Westphalia","higher education","90","0.476623950714335","0.403660277117886","0.549587624310783"
"Yes","1993","Hesse","in school","","","",""
"Yes","1993","Hesse","inadequately","4","","",""
"Yes","1993","Hesse","general elemantary","23","","",""
"Yes","1993","Hesse","middle vocational","71","0.284337016617498","0.23082667224631","0.337847360988687"
"Yes","1993","Hesse","vocational + Abi","8","","",""
"Yes","1993","Hesse","higher vocational","8","","",""
"Yes","1993","Hesse","higher education","24","","",""
"Yes","1993","Rhineland-Palatinate,Saarland","in school","","","",""
"Yes","1993","Rhineland-Palatinate,Saarland","inadequately","3","","",""
"Yes","1993","Rhineland-Palatinate,Saarland","general elemantary","10","","",""
"Yes","1993","Rhineland-Palatinate,Saarland","middle vocational","46","0.25811757595401","0.195730659731588","0.320504492176432"
"Yes","1993","Rhineland-Palatinate,Saarland","vocational + Abi","1","","",""
"Yes","1993","Rhineland-Palatinate,Saarland","higher vocational","6","","",""
"Yes","1993","Rhineland-Palatinate,Saarland","higher education","12","","",""
"Yes","1993","Baden-Württemberg","in school","1","","",""
"Yes","1993","Baden-Württemberg","inadequately","15","","",""
"Yes","1993","Baden-Württemberg","general elemantary","40","0.182914645582544","0.137873147545267","0.227956143619822"
"Yes","1993","Baden-Württemberg","middle vocational","80","0.164645012253086","0.133679225691623","0.195610798814549"
"Yes","1993","Baden-Württemberg","vocational + Abi","5","","",""
"Yes","1993","Baden-Württemberg","higher vocational","20","","",""
"Yes","1993","Baden-Württemberg","higher education","28","","",""
"Yes","1993","Bavaria","in school","","","",""
"Yes","1993","Bavaria","inadequately","4","","",""
"Yes","1993","Bavaria","general elemantary","39","0.164867064253983","0.11526798445592","0.214466144052046"
"Yes","1993","Bavaria","middle vocational","107","0.222687381016642","0.187789630579645","0.25758513145364"
"Yes","1993","Bavaria","vocational + Abi","6","","",""
"Yes","1993","Bavaria","higher vocational","21","","",""
"Yes","1993","Bavaria","higher education","48","0.428359699356259","0.340189641070898","0.51652975764162"
"Yes","1993","Berlin","in school","","","",""
"Yes","1993","Berlin","inadequately","2","","",""
"Yes","1993","Berlin","general elemantary","13","","",""
"Yes","1993","Berlin","middle vocational","49","0.302733431762781","0.231984449458213","0.373482414067349"
"Yes","1993","Berlin","vocational + Abi","1","","",""
"Yes","1993","Berlin","higher vocational","11","","",""
"Yes","1993","Berlin","higher education","42","0.437402194109263","0.342518204529751","0.532286183688775"
"Yes","1993","Brandenburg","in school","","","",""
"Yes","1993","Brandenburg","inadequately","","","",""
"Yes","1993","Brandenburg","general elemantary","5","","",""
"Yes","1993","Brandenburg","middle vocational","64","0.300794960273677","0.237236898332152","0.364353022215203"
"Yes","1993","Brandenburg","vocational + Abi","2","","",""
"Yes","1993","Brandenburg","higher vocational","5","","",""
"Yes","1993","Brandenburg","higher education","59","0.563264135591002","0.471408764063388","0.655119507118616"
"Yes","1993","Mecklenburg-Western Pomerania","in school","2","","",""
"Yes","1993","Mecklenburg-Western Pomerania","inadequately","","","",""
"Yes","1993","Mecklenburg-Western Pomerania","general elemantary","8","","",""
"Yes","1993","Mecklenburg-Western Pomerania","middle vocational","43","0.311797034973294","0.229259847461113","0.394334222485475"
"Yes","1993","Mecklenburg-Western Pomerania","vocational + Abi","1","","",""
"Yes","1993","Mecklenburg-Western Pomerania","higher vocational","3","","",""
"Yes","1993","Mecklenburg-Western Pomerania","higher education","36","0.558637872650306","0.435038870100181","0.68223687520043"
"Yes","1993","Saxony","in school","","","",""
"Yes","1993","Saxony","inadequately","1","","",""
"Yes","1993","Saxony","general elemantary","17","","",""
"Yes","1993","Saxony","middle vocational","114","0.303984758290965","0.256535462697985","0.351434053883945"
"Yes","1993","Saxony","vocational + Abi","9","","",""
"Yes","1993","Saxony","higher vocational","6","","",""
"Yes","1993","Saxony","higher education","90","0.465346436457733","0.393274928543032","0.537417944372434"
"Yes","1993","Saxony-Anhalt","in school","","","",""
"Yes","1993","Saxony-Anhalt","inadequately","","","",""
"Yes","1993","Saxony-Anhalt","general elemantary","6","","",""
"Yes","1993","Saxony-Anhalt","middle vocational","66","0.262129827935979","0.205900569184766","0.318359086687192"
"Yes","1993","Saxony-Anhalt","vocational + Abi","2","","",""
"Yes","1993","Saxony-Anhalt","higher vocational","6","","",""
"Yes","1993","Saxony-Anhalt","higher education","70","0.581477989148009","0.492843978388862","0.670111999907156"
"Yes","1993","Thuringia","in school","","","",""
"Yes","1993","Thuringia","inadequately","1","","",""
"Yes","1993","Thuringia","general elemantary","3","","",""
"Yes","1993","Thuringia","middle vocational","68","0.281082051116614","0.224328140740662","0.337835961492567"
"Yes","1993","Thuringia","vocational + Abi","","","",""
"Yes","1993","Thuringia","higher vocational","2","","",""
"Yes","1993","Thuringia","higher education","43","0.51543648280664","0.411608116266724","0.619264849346557"
"No","1993","Schleswig-Holstein","in school","","","",""
"No","1993","Schleswig-Holstein","inadequately","3","","",""
"No","1993","Schleswig-Holstein","general elemantary","20","","",""
"No","1993","Schleswig-Holstein","middle vocational","78","0.736975901572968","0.653553898037758","0.820397905108177"
"No","1993","Schleswig-Holstein","vocational + Abi","5","","",""
"No","1993","Schleswig-Holstein","higher vocational","5","","",""
"No","1993","Schleswig-Holstein","higher education","11","","",""
"No","1993","Hamburg","in school","","","",""
"No","1993","Hamburg","inadequately","4","","",""
"No","1993","Hamburg","general elemantary","7","","",""
"No","1993","Hamburg","middle vocational","39","0.821541242011325","0.713220633641101","0.929861850381549"
"No","1993","Hamburg","vocational + Abi","4","","",""
"No","1993","Hamburg","higher vocational","4","","",""
"No","1993","Hamburg","higher education","5","","",""
"No","1993","Lower Saxony","in school","","","",""
"No","1993","Lower Saxony","inadequately","19","","",""
"No","1993","Lower Saxony","general elemantary","78","0.729468983126888","0.642400688386728","0.816537277867048"
"No","1993","Lower Saxony","middle vocational","239","0.766418919657791","0.718856576809521","0.813981262506062"
"No","1993","Lower Saxony","vocational + Abi","15","","",""
"No","1993","Lower Saxony","higher vocational","32","0.646835402948194","0.519356979826519","0.774313826069869"
"No","1993","Lower Saxony","higher education","39","0.612481604718043","0.494946172263142","0.730017037172944"
"No","1993","Bremen","in school","","","",""
"No","1993","Bremen","inadequately","","","",""
"No","1993","Bremen","general elemantary","5","","",""
"No","1993","Bremen","middle vocational","19","","",""
"No","1993","Bremen","vocational + Abi","4","","",""
"No","1993","Bremen","higher vocational","2","","",""
"No","1993","Bremen","higher education","1","","",""
"No","1993","North Rhine-Westphalia","in school","","","",""
"No","1993","North Rhine-Westphalia","inadequately","74","0.866726629852263","0.79271186873879","0.940741390965737"
"No","1993","North Rhine-Westphalia","general elemantary","226","0.806564988364372","0.759275140264617","0.853854836464128"
"No","1993","North Rhine-Westphalia","middle vocational","594","0.792520794109363","0.76342224742566","0.821619340793066"
"No","1993","North Rhine-Westphalia","vocational + Abi","57","0.743010144324064","0.639905338778155","0.846114949869973"
"No","1993","North Rhine-Westphalia","higher vocational","57","0.619455875325262","0.522835232474437","0.716076518176088"
"No","1993","North Rhine-Westphalia","higher education","90","0.523376049285665","0.450412375689217","0.596339722882113"
"No","1993","Hesse","in school","","","",""
"No","1993","Hesse","inadequately","28","","",""
"No","1993","Hesse","general elemantary","119","0.828367717969595","0.766350113029028","0.890385322910162"
"No","1993","Hesse","middle vocational","202","0.715662983382502","0.662152639011313","0.76917332775369"
"No","1993","Hesse","vocational + Abi","20","","",""
"No","1993","Hesse","higher vocational","18","","",""
"No","1993","Hesse","higher education","43","0.55550584112102","0.436521986650977","0.674489695591064"
"No","1993","Rhineland-Palatinate,Saarland","in school","","","",""
"No","1993","Rhineland-Palatinate,Saarland","inadequately","10","","",""
"No","1993","Rhineland-Palatinate,Saarland","general elemantary","75","0.847568422456761","0.771156085121517","0.923980759792006"
"No","1993","Rhineland-Palatinate,Saarland","middle vocational","143","0.74188242404599","0.679495507823568","0.804269340268412"
"No","1993","Rhineland-Palatinate,Saarland","vocational + Abi","5","","",""
"No","1993","Rhineland-Palatinate,Saarland","higher vocational","18","","",""
"No","1993","Rhineland-Palatinate,Saarland","higher education","16","","",""
"No","1993","Baden-Württemberg","in school","1","","",""
"No","1993","Baden-Württemberg","inadequately","84","0.842643431460044","0.770914418979124","0.914372443940964"
"No","1993","Baden-Württemberg","general elemantary","243","0.817085354417455","0.772043856380177","0.862126852454733"
"No","1993","Baden-Württemberg","middle vocational","471","0.835354987746914","0.804389201185451","0.866320774308377"
"No","1993","Baden-Württemberg","vocational + Abi","33","0.833529138705298","0.715092574754725","0.951965702655872"
"No","1993","Baden-Württemberg","higher vocational","47","0.678670047211178","0.566851039007905","0.790489055414451"
"No","1993","Baden-Württemberg","higher education","52","0.65341176443512","0.549131174149366","0.757692354720874"
"No","1993","Bavaria","in school","","","",""
"No","1993","Bavaria","inadequately","32","0.785024020786065","0.650829964205508","0.919218077366622"
"No","1993","Bavaria","general elemantary","176","0.835132935746017","0.785533855947954","0.88473201554408"
"No","1993","Bavaria","middle vocational","439","0.777312618983358","0.74241486854636","0.812210369420355"
"No","1993","Bavaria","vocational + Abi","28","","",""
"No","1993","Bavaria","higher vocational","42","0.599395589602756","0.47839361682819","0.720397562377322"
"No","1993","Bavaria","higher education","73","0.571640300643741","0.483470242358379","0.659810358929102"
"No","1993","Berlin","in school","","","",""
"No","1993","Berlin","inadequately","6","","",""
"No","1993","Berlin","general elemantary","34","0.713298047791402","0.584012492579103","0.842583603003701"
"No","1993","Berlin","middle vocational","113","0.697266568237219","0.626517585932651","0.768015550541787"
"No","1993","Berlin","vocational + Abi","6","","",""
"No","1993","Berlin","higher vocational","14","","",""
"No","1993","Berlin","higher education","63","0.562597805890737","0.467713816311225","0.657481795470249"
"No","1993","Brandenburg","in school","2","","",""
"No","1993","Brandenburg","inadequately","1","","",""
"No","1993","Brandenburg","general elemantary","12","","",""
"No","1993","Brandenburg","middle vocational","136","0.699205039726323","0.635646977784797","0.762763101667849"
"No","1993","Brandenburg","vocational + Abi","5","","",""
"No","1993","Brandenburg","higher vocational","24","","",""
"No","1993","Brandenburg","higher education","53","0.436735864408998","0.344880492881384","0.528591235936612"
"No","1993","Mecklenburg-Western Pomerania","in school","","","",""
"No","1993","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","1993","Mecklenburg-Western Pomerania","general elemantary","9","","",""
"No","1993","Mecklenburg-Western Pomerania","middle vocational","78","0.688202965026706","0.605665777514525","0.770740152538887"
"No","1993","Mecklenburg-Western Pomerania","vocational + Abi","1","","",""
"No","1993","Mecklenburg-Western Pomerania","higher vocational","17","","",""
"No","1993","Mecklenburg-Western Pomerania","higher education","26","","",""
"No","1993","Saxony","in school","","","",""
"No","1993","Saxony","inadequately","2","","",""
"No","1993","Saxony","general elemantary","26","","",""
"No","1993","Saxony","middle vocational","247","0.696015241709035","0.648565946116055","0.743464537302015"
"No","1993","Saxony","vocational + Abi","10","","",""
"No","1993","Saxony","higher vocational","30","0.804932507101435","0.675492351870263","0.934372662332607"
"No","1993","Saxony","higher education","94","0.534653563542267","0.462582055627566","0.606725071456968"
"No","1993","Saxony-Anhalt","in school","1","","",""
"No","1993","Saxony-Anhalt","inadequately","","","",""
"No","1993","Saxony-Anhalt","general elemantary","26","","",""
"No","1993","Saxony-Anhalt","middle vocational","169","0.737870172064021","0.681640913312807","0.794099430815234"
"No","1993","Saxony-Anhalt","vocational + Abi","6","","",""
"No","1993","Saxony-Anhalt","higher vocational","29","","",""
"No","1993","Saxony-Anhalt","higher education","49","0.418522010851991","0.329888000092844","0.507156021611138"
"No","1993","Thuringia","in school","3","","",""
"No","1993","Thuringia","inadequately","","","",""
"No","1993","Thuringia","general elemantary","22","","",""
"No","1993","Thuringia","middle vocational","173","0.718917948883385","0.662164038507433","0.775671859259338"
"No","1993","Thuringia","vocational + Abi","5","","",""
"No","1993","Thuringia","higher vocational","18","","",""
"No","1993","Thuringia","higher education","46","0.48456351719336","0.380735150653443","0.588391883733276"
"Yes","1994","Schleswig-Holstein","in school","","","",""
"Yes","1994","Schleswig-Holstein","inadequately","","","",""
"Yes","1994","Schleswig-Holstein","general elemantary","8","","",""
"Yes","1994","Schleswig-Holstein","middle vocational","29","","",""
"Yes","1994","Schleswig-Holstein","vocational + Abi","2","","",""
"Yes","1994","Schleswig-Holstein","higher vocational","9","","",""
"Yes","1994","Schleswig-Holstein","higher education","5","","",""
"Yes","1994","Hamburg","in school","","","",""
"Yes","1994","Hamburg","inadequately","1","","",""
"Yes","1994","Hamburg","general elemantary","1","","",""
"Yes","1994","Hamburg","middle vocational","5","","",""
"Yes","1994","Hamburg","vocational + Abi","2","","",""
"Yes","1994","Hamburg","higher vocational","","","",""
"Yes","1994","Hamburg","higher education","2","","",""
"Yes","1994","Lower Saxony","in school","","","",""
"Yes","1994","Lower Saxony","inadequately","1","","",""
"Yes","1994","Lower Saxony","general elemantary","17","","",""
"Yes","1994","Lower Saxony","middle vocational","69","0.25286255855581","0.204002519068478","0.301722598043141"
"Yes","1994","Lower Saxony","vocational + Abi","4","","",""
"Yes","1994","Lower Saxony","higher vocational","22","","",""
"Yes","1994","Lower Saxony","higher education","26","","",""
"Yes","1994","Bremen","in school","","","",""
"Yes","1994","Bremen","inadequately","1","","",""
"Yes","1994","Bremen","general elemantary","2","","",""
"Yes","1994","Bremen","middle vocational","6","","",""
"Yes","1994","Bremen","vocational + Abi","","","",""
"Yes","1994","Bremen","higher vocational","","","",""
"Yes","1994","Bremen","higher education","","","",""
"Yes","1994","North Rhine-Westphalia","in school","","","",""
"Yes","1994","North Rhine-Westphalia","inadequately","9","","",""
"Yes","1994","North Rhine-Westphalia","general elemantary","32","0.167751747972894","0.119463200054468","0.21604029589132"
"Yes","1994","North Rhine-Westphalia","middle vocational","145","0.194833755497094","0.165720674325771","0.223946836668417"
"Yes","1994","North Rhine-Westphalia","vocational + Abi","10","","",""
"Yes","1994","North Rhine-Westphalia","higher vocational","44","0.38892583140594","0.292894964175143","0.484956698636737"
"Yes","1994","North Rhine-Westphalia","higher education","88","0.50466696004506","0.43182864533637","0.57750527475375"
"Yes","1994","Hesse","in school","","","",""
"Yes","1994","Hesse","inadequately","4","","",""
"Yes","1994","Hesse","general elemantary","18","","",""
"Yes","1994","Hesse","middle vocational","70","0.297567238655652","0.242417804047591","0.352716673263713"
"Yes","1994","Hesse","vocational + Abi","9","","",""
"Yes","1994","Hesse","higher vocational","8","","",""
"Yes","1994","Hesse","higher education","26","","",""
"Yes","1994","Rhineland-Palatinate,Saarland","in school","","","",""
"Yes","1994","Rhineland-Palatinate,Saarland","inadequately","1","","",""
"Yes","1994","Rhineland-Palatinate,Saarland","general elemantary","7","","",""
"Yes","1994","Rhineland-Palatinate,Saarland","middle vocational","49","0.274281398880084","0.211661394940182","0.336901402819986"
"Yes","1994","Rhineland-Palatinate,Saarland","vocational + Abi","","","",""
"Yes","1994","Rhineland-Palatinate,Saarland","higher vocational","7","","",""
"Yes","1994","Rhineland-Palatinate,Saarland","higher education","13","","",""
"Yes","1994","Baden-Württemberg","in school","","","",""
"Yes","1994","Baden-Württemberg","inadequately","11","","",""
"Yes","1994","Baden-Württemberg","general elemantary","32","0.175900768275723","0.126480591981181","0.225320944570266"
"Yes","1994","Baden-Württemberg","middle vocational","80","0.187669237451957","0.153479778921433","0.221858695982481"
"Yes","1994","Baden-Württemberg","vocational + Abi","5","","",""
"Yes","1994","Baden-Württemberg","higher vocational","20","","",""
"Yes","1994","Baden-Württemberg","higher education","30","0.356799893584693","0.254354163958341","0.459245623211045"
"Yes","1994","Bavaria","in school","1","","",""
"Yes","1994","Bavaria","inadequately","4","","",""
"Yes","1994","Bavaria","general elemantary","33","0.166341364125808","0.111788716706981","0.220894011544635"
"Yes","1994","Bavaria","middle vocational","107","0.241776846828124","0.204210090846441","0.279343602809807"
"Yes","1994","Bavaria","vocational + Abi","3","","",""
"Yes","1994","Bavaria","higher vocational","21","","",""
"Yes","1994","Bavaria","higher education","50","0.462639597467283","0.373055929322681","0.552223265611886"
"Yes","1994","Berlin","in school","","","",""
"Yes","1994","Berlin","inadequately","1","","",""
"Yes","1994","Berlin","general elemantary","8","","",""
"Yes","1994","Berlin","middle vocational","50","0.310362968022668","0.237530089068301","0.383195846977036"
"Yes","1994","Berlin","vocational + Abi","1","","",""
"Yes","1994","Berlin","higher vocational","10","","",""
"Yes","1994","Berlin","higher education","38","0.384906617737669","0.289059576703537","0.480753658771801"
"Yes","1994","Brandenburg","in school","","","",""
"Yes","1994","Brandenburg","inadequately","","","",""
"Yes","1994","Brandenburg","general elemantary","5","","",""
"Yes","1994","Brandenburg","middle vocational","52","0.254346080981333","0.191076701578067","0.317615460384598"
"Yes","1994","Brandenburg","vocational + Abi","2","","",""
"Yes","1994","Brandenburg","higher vocational","8","","",""
"Yes","1994","Brandenburg","higher education","52","0.560906302371522","0.464596217213667","0.657216387529376"
"Yes","1994","Mecklenburg-Western Pomerania","in school","1","","",""
"Yes","1994","Mecklenburg-Western Pomerania","inadequately","","","",""
"Yes","1994","Mecklenburg-Western Pomerania","general elemantary","4","","",""
"Yes","1994","Mecklenburg-Western Pomerania","middle vocational","44","0.297463781969737","0.218269374630437","0.376658189309037"
"Yes","1994","Mecklenburg-Western Pomerania","vocational + Abi","1","","",""
"Yes","1994","Mecklenburg-Western Pomerania","higher vocational","4","","",""
"Yes","1994","Mecklenburg-Western Pomerania","higher education","36","0.548163898183048","0.426235804717101","0.670091991648996"
"Yes","1994","Saxony","in school","1","","",""
"Yes","1994","Saxony","inadequately","1","","",""
"Yes","1994","Saxony","general elemantary","12","","",""
"Yes","1994","Saxony","middle vocational","95","0.259263707759135","0.212682439587872","0.305844975930398"
"Yes","1994","Saxony","vocational + Abi","7","","",""
"Yes","1994","Saxony","higher vocational","8","","",""
"Yes","1994","Saxony","higher education","92","0.472206908010789","0.399876558267351","0.544537257754227"
"Yes","1994","Saxony-Anhalt","in school","","","",""
"Yes","1994","Saxony-Anhalt","inadequately","","","",""
"Yes","1994","Saxony-Anhalt","general elemantary","7","","",""
"Yes","1994","Saxony-Anhalt","middle vocational","57","0.26747237352614","0.208442386823942","0.326502360228337"
"Yes","1994","Saxony-Anhalt","vocational + Abi","2","","",""
"Yes","1994","Saxony-Anhalt","higher vocational","6","","",""
"Yes","1994","Saxony-Anhalt","higher education","65","0.555453202741898","0.464633170587069","0.646273234896727"
"Yes","1994","Thuringia","in school","","","",""
"Yes","1994","Thuringia","inadequately","","","",""
"Yes","1994","Thuringia","general elemantary","3","","",""
"Yes","1994","Thuringia","middle vocational","57","0.269643696075093","0.211786631143577","0.32750076100661"
"Yes","1994","Thuringia","vocational + Abi","2","","",""
"Yes","1994","Thuringia","higher vocational","1","","",""
"Yes","1994","Thuringia","higher education","43","0.484913844787568","0.381661703589766","0.58816598598537"
"No","1994","Schleswig-Holstein","in school","","","",""
"No","1994","Schleswig-Holstein","inadequately","2","","",""
"No","1994","Schleswig-Holstein","general elemantary","16","","",""
"No","1994","Schleswig-Holstein","middle vocational","75","0.72359129258508","0.637639696168962","0.809542889001197"
"No","1994","Schleswig-Holstein","vocational + Abi","4","","",""
"No","1994","Schleswig-Holstein","higher vocational","3","","",""
"No","1994","Schleswig-Holstein","higher education","14","","",""
"No","1994","Hamburg","in school","","","",""
"No","1994","Hamburg","inadequately","4","","",""
"No","1994","Hamburg","general elemantary","10","","",""
"No","1994","Hamburg","middle vocational","35","0.827025239844792","0.709814111739228","0.944236367950357"
"No","1994","Hamburg","vocational + Abi","4","","",""
"No","1994","Hamburg","higher vocational","5","","",""
"No","1994","Hamburg","higher education","8","","",""
"No","1994","Lower Saxony","in school","","","",""
"No","1994","Lower Saxony","inadequately","18","","",""
"No","1994","Lower Saxony","general elemantary","66","0.71123568487341","0.613739510347409","0.808731859399412"
"No","1994","Lower Saxony","middle vocational","235","0.74713744144419","0.698277401956859","0.795997480931522"
"No","1994","Lower Saxony","vocational + Abi","14","","",""
"No","1994","Lower Saxony","higher vocational","30","0.630268845104138","0.499063247741061","0.761474442467214"
"No","1994","Lower Saxony","higher education","42","0.649592791176185","0.536196004243064","0.762989578109306"
"No","1994","Bremen","in school","","","",""
"No","1994","Bremen","inadequately","","","",""
"No","1994","Bremen","general elemantary","6","","",""
"No","1994","Bremen","middle vocational","14","","",""
"No","1994","Bremen","vocational + Abi","3","","",""
"No","1994","Bremen","higher vocational","3","","",""
"No","1994","Bremen","higher education","1","","",""
"No","1994","North Rhine-Westphalia","in school","2","","",""
"No","1994","North Rhine-Westphalia","inadequately","60","0.873075850550665","0.794530286211289","0.95162141489004"
"No","1994","North Rhine-Westphalia","general elemantary","198","0.832248252027106","0.78395970410868","0.880536799945532"
"No","1994","North Rhine-Westphalia","middle vocational","566","0.805166244502906","0.776053163331583","0.834279325674229"
"No","1994","North Rhine-Westphalia","vocational + Abi","55","0.757174105713414","0.652933533246358","0.86141467818047"
"No","1994","North Rhine-Westphalia","higher vocational","55","0.61107416859406","0.515043301363263","0.707105035824857"
"No","1994","North Rhine-Westphalia","higher education","93","0.49533303995494","0.42249472524625","0.56817135466363"
"No","1994","Hesse","in school","","","",""
"No","1994","Hesse","inadequately","22","","",""
"No","1994","Hesse","general elemantary","90","0.826489132894519","0.755069415535329","0.897908850253708"
"No","1994","Hesse","middle vocational","194","0.702432761344348","0.647283326736287","0.757582195952409"
"No","1994","Hesse","vocational + Abi","18","","",""
"No","1994","Hesse","higher vocational","18","","",""
"No","1994","Hesse","higher education","47","0.671990744117479","0.56429182218163","0.779689666053327"
"No","1994","Rhineland-Palatinate,Saarland","in school","","","",""
"No","1994","Rhineland-Palatinate,Saarland","inadequately","12","","",""
"No","1994","Rhineland-Palatinate,Saarland","general elemantary","55","0.871205634845866","0.787825802891904","0.954585466799829"
"No","1994","Rhineland-Palatinate,Saarland","middle vocational","146","0.725718601119916","0.663098597180014","0.788338605059818"
"No","1994","Rhineland-Palatinate,Saarland","vocational + Abi","6","","",""
"No","1994","Rhineland-Palatinate,Saarland","higher vocational","19","","",""
"No","1994","Rhineland-Palatinate,Saarland","higher education","16","","",""
"No","1994","Baden-Württemberg","in school","","","",""
"No","1994","Baden-Württemberg","inadequately","75","0.882493927591783","0.814435034188513","0.950552820995052"
"No","1994","Baden-Württemberg","general elemantary","196","0.824099231724277","0.774679055429734","0.873519408018819"
"No","1994","Baden-Württemberg","middle vocational","421","0.812330762548043","0.778141304017519","0.846520221078567"
"No","1994","Baden-Württemberg","vocational + Abi","33","0.904997448234638","0.811769182514301","0.998225713954975"
"No","1994","Baden-Württemberg","higher vocational","44","0.714551214290002","0.60390440754323","0.825198021036775"
"No","1994","Baden-Württemberg","higher education","54","0.643200106415307","0.540754376788955","0.745645836041659"
"No","1994","Bavaria","in school","","","",""
"No","1994","Bavaria","inadequately","28","","",""
"No","1994","Bavaria","general elemantary","146","0.833658635874192","0.779105988455365","0.888211283293019"
"No","1994","Bavaria","middle vocational","392","0.758223153171876","0.720656397190193","0.795789909153559"
"No","1994","Bavaria","vocational + Abi","30","0.950244710285613","0.87605759552028","1.02443182505095"
"No","1994","Bavaria","higher vocational","39","0.593928418469074","0.469665709452974","0.718191127485175"
"No","1994","Bavaria","higher education","69","0.537360402532717","0.447776734388114","0.626944070677319"
"No","1994","Berlin","in school","","","",""
"No","1994","Berlin","inadequately","4","","",""
"No","1994","Berlin","general elemantary","27","","",""
"No","1994","Berlin","middle vocational","105","0.689637031977332","0.616804153022964","0.762469910931699"
"No","1994","Berlin","vocational + Abi","5","","",""
"No","1994","Berlin","higher vocational","12","","",""
"No","1994","Berlin","higher education","61","0.615093382262331","0.519246341228199","0.710940423296463"
"No","1994","Brandenburg","in school","2","","",""
"No","1994","Brandenburg","inadequately","1","","",""
"No","1994","Brandenburg","general elemantary","16","","",""
"No","1994","Brandenburg","middle vocational","130","0.745653919018668","0.682384539615402","0.808923298421933"
"No","1994","Brandenburg","vocational + Abi","4","","",""
"No","1994","Brandenburg","higher vocational","21","","",""
"No","1994","Brandenburg","higher education","50","0.439093697628478","0.342783612470624","0.535403782786333"
"No","1994","Mecklenburg-Western Pomerania","in school","","","",""
"No","1994","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","1994","Mecklenburg-Western Pomerania","general elemantary","7","","",""
